sources,product,orthographic_normalization,simplification,categorization,sitc_rev1,sitc_rev2,medicinal
toflit18,Gaine ; jaune,gaine ; jaune,graine ; jaune,graine,2,,
toflit18,Herbes ; perette,herbe ; pérelle,herbe ; pérelle,,2,,
toflit18,Huile ; de jasmin,huile ; de jasmin,huile ; de jasmin,huile,4,4,huile ; de jasmin
toflit18,J..is,jais,jais,jais,2,,
toflit18,Orcanette,orcanette,orcanette,orcanettes,2,,
toflit18,Pignons ; cassés,pignon ; cassé,pignon ; cassé,,0,0a,
toflit18,Sirop ; d'alkerme,sirop ; d'alkermès,,,,,
toflit18,Terre ; segillée,terre ; sigillée,terre ; sigillée,terre,2,,terre ; sigillée
toflit18,Capottes,capot,capoterie,capoterie,6,6,
toflit18,Chapeaux ; assortis,chapeau ; assorti,chapeau ; assorti,chapeaux,8,8,
toflit18,Chemises ; communes,chemise ; commune,chemise ; commune,chemises,8,8,
toflit18,Jarres ; de terre,jarre ; de terre,jarre ; de terre,jarres ; de terre,6,6,
toflit18,Agremens ; or et argent,agrément ; d'or et d'argent,agrément ; d'or et d'argent,agrément,6,6,
toflit18,Amandes : cassées,amande ; cassée,amande ; cassée,amande,0,0a,
toflit18,Balaustre,balustre,balustre,balustre,8,8,
toflit18,Bois ; pour cribles,bois ; pour crible,bois ; pour crible,,2,,
toflit18,Boucassin,boucassin,boucassin,boucassin,6,6d,
toflit18,Bours ; de coton,bourse ; de coton,bourse ; de coton,bourse,8,8,
toflit18,Bours ; coton et fil,bourse ; de coton et fil,bourse ; de coton et fil,bourse,8,8,
toflit18,Bours ; en soye,bourre ; de soie,bourre ; de soie,bourre,2,,
toflit18,Bourses ; à chevaux,bourse ; à cheval,bourse ; à cheval,bourse,8,8,
toflit18,Boussolles,boussole,boussole,boussole,8,8,
toflit18,Boyaux ; sales,boyau ; salé,boyau ; salé,boyau ; salé,0,0a,
toflit18,Carreaux ; de brique,carreau ; de brique,carreau ; de brique,carreaux,6,6,
toflit18,Chaises ; de maroquin,chaise ; de maroquin,,,,,
toflit18,Civadille,cevadille,drogue ; médicinale ; cévadille,drogue ; médicinale,2,,drogue ; médicinale ; cévadille
toflit18,Corail ; gros,corail ; gros,corail ; gros,corail,2,,
toflit18,Corail ; terraille,corail ; terraille,corail ; terraille,corail,2,,
toflit18,Cordage ; de chanvre,cordage ; de chanvre,cordage ; de chanvre,cordage,6,6,
toflit18,Cordage ; d'espars,cordage ; d'espar,cordage ; d'espar,cordage,6,6,
toflit18,Crème : de tartre,crème ; de tartre,crème ; de tartre,crème,5,,crème ; de tartre
toflit18,Croix ; de grèna,croix ; de grès,croix ; de grès,croix,8,8,
toflit18,Eau ; mineralle,eau ; minérale,eau ; minérale,eau,5,,
toflit18,Ecaille ; de tortüe,écaille ; de tortue,écaille ; de tortue,écaille,2,,
toflit18,Ecritoire ; garnie d'or,écritoire ; garni d'or,ecritoire ; garni d'or,ecritoire,8,8,
toflit18,Ences,encens,encens,encens,2,,encens
toflit18,Escayotte,escayolle,escayolle,escayolle,2,,
toflit18,Fil ; d'Estames,fil ; d'étamine,,,,,
toflit18,Fil ; de Piémont,fil ; de Piémont,fil ; de Piémont,fil,6,6a,
toflit18,Filets ; pour la pesche,filet ; pour la pêche,filet ; pour la pêche,filets,6,6,
toflit18,Fleurs ; de jasmin,fleur ; de jasmin,fleur ; de jasmin,fleurs,2,,
toflit18,Fleurs ; de souffre,fleur ; de soufre,fleur ; de souffre,fleur ; de soufre,2,,fleur ; de souffre
toflit18,Fraisset ; de vermitton,fraisset ; de vermillon,fraisset ; de vermillon,fraisset ; de vermillon,5,,
toflit18,Garnitures,garniture,garniture,garnitures,???,,
toflit18,Grabeau ; de mirrhe,grabeau ; de mirthe,grabeau ; de mirthe,grabeau,2,,grabeau ; de mirthe
toflit18,Grabeau ; de poivre,grabeau ; de poivre,épicerie ; poivre en grabeau,épicerie,0,0b,
toflit18,Grabeau ; de séné,grabeau ; de séné,,,,,
toflit18,Graine ; d'alkerme,graine ; d'alkermès,graine ; d'alkermès,,,,
toflit18,Graine ; d'aspie,graine ; d'aspic,graine ; d'aspic,graine,2,,graine ; d'aspic
toflit18,Graine ; de génievre,graine ; de genièvre,,graine,2,,
toflit18,Herbes ; d'orseille,herbe ; d'orseille,drogue ; pour la peinture et la teinture ; orseille,drogue ; pour la peinture et la teinture,5,,
toflit18,Huile ; d'aspie,huile ; d'aspic,huile ; d'aspic,huile,4,4,huile ; d'aspic
toflit18,Jaye,jais,jais,jais,2,,
toflit18,Laine ; de segovie,laine ; de Ségovie,laine ; d'Espagne,,,,
toflit18,Marbre ; en pierres,marbre ; en pierre,marbre ; en pierre,,2,,
toflit18,Mastie,mastic,mastic,mastic,2,,mastic
toflit18,Merevillons,mervillon,mervillon,mervillons,???,,
toflit18,Mirrge,myrrhe,myrrhe,,2,,myrrhe
toflit18,Orcanettes,orcanette,orcanette,orcanettes,2,,
toflit18,Pendans ; d'oreilles,pendant ; d'oreille,pendant ; d'oreille,pendants ; d'oreilles,8,8,
toflit18,Pierrestre,pyrethre,,,,,
toflit18,Pignons ; d'épine,pignon ; d'épine,pignon ; d'épine,,0,0a,
toflit18,Plomb ; en grenailke,plomb ; en grenaille,plomb ; en grenaille,plomb,6,6,
toflit18,Plume ; d'autruche ; aprestées,plume ; d'autruche ; apprêtée,plume ; apprêtée ; d'autruche,,8,8,
toflit18,Plume ; d'oye,plume ; d'oie,plume ; d'oie,plume,2,,
toflit18,Rognures ; de cuir,rognure ; de cuir,rognure ; de cuir,,2,,
toflit18,Salsepaille,salsepareille,salsepareille,salsepareille,0,0a,salsepareille
toflit18,Satin ; brodé ; en or,satin ; brodé ; en or,satin ; brodé ; en or,satin,6,6c,
toflit18,Savon ; madré,savon ; madré,savon ; madré,,,,
toflit18,Toile ; de France,toile ; de France,toile ; de France,,???,,
toflit18,Trénelles ; d'espars,trenelles ; d'espars,,,,,
toflit18,Vin ; de teinte,vin ; de teinte,,,,,
toflit18,Corail ; de Jardin,corail ; de jardin,corail ; de jardin,corail,2,,
toflit18,Elebor,hellébore,,,,,
toflit18,Herbes ; perelles,herbe ; pérelle,herbe ; pérelle,,2,,
toflit18,Mane ; de Calabre,manne ; de Calabre,manne ; de Calabre,,2,,manne ; de Calabre
toflit18,Morües ; seches,morue ; sèche,poisson ; de mer ; salé ; morue,poisson,0,0a,
toflit18,Pignons ; d'Epine,pignon ; d'épine,pignon ; d'épine,,0,0a,
toflit18,Sirop ; capilaire,sirop ; capillaire,,,,,
toflit18,Plants ; de vigne,plant ; de vigne,plant ; de vigne,plants,2,,
toflit18,Colombinc,colombine,colombine,laque ; colombine,5,,
toflit18,Cordcillards,cordeillard,drap ; cordeillard,drap,6,,
toflit18,Escarasse,escarasse,escarasse,escarasse,???,,
toflit18,Formes ; à souliers,forme ; à soulier,forme ; à soulier,formes ; à souliers,6,6,
toflit18,Peau ; de veau ; tannées,peau ; de veau ; tannée,,,,,
toflit18,Porcaux,pourceau,porc ; porcelet,,0,0a,
toflit18,Terre ; à Toulon,terre ; à Toulon,,,,,
toflit18,Cedra,cédra,cédrat,cédrat,0,0a,
toflit18,Cordes ; d'arçons,corde ; à arçon,corde ; à arçon,cordes,6,6,
toflit18,Bois ; de roze,bois ; de rose,bois ; de rose,,2,,bois ; de rose
toflit18,Couffes ; à boulanger,coiffe ; à boulanger,,,,,
toflit18,Courdouans,courdouan,,,,,
toflit18,Ecorce ; de grenade,écorce ; de grenade,ecorce ; de grenade,écorce,2,,
toflit18,Estrasse ; de soye,estrasse ; de soie,estrasse ; de soie,estrasse ; de soie,6,6c,
toflit18,Fondettes ; de corail,fondette ; de corail,,,,,
toflit18,Fraisset ; de Vermillon,fraisset ; de vermillon,fraisset ; de vermillon,fraisset ; de vermillon,5,,
toflit18,Graine ; de laitüe,graine ; de laitue,graine ; de laitue,graine,2,,
toflit18,Graine ; de vers ; à soye,graine ; de verre ; à soie,graine ; de verre ; à soie,graine,6,6,
toflit18,Palmes ; en feüilles,palme ; en feuille,palme ; en feuille,palmes ; en feuilles,2,,
toflit18,Peaux ; de chevron,peau ; de chevron,peau ; de chevreuil,,2,,
toflit18,Poutargues,poutargue,poutargue,poutargues,0,0a,
toflit18,Racines ; de pierrestre,racine ; de pyrethre,,,,,
toflit18,Vin ; d'Espagne ; de Tinto,vin ; d'Espagne ; Tinto,vin ; d'Espagne ; Tinto,vin ; étranger,1,1,
toflit18,Vin ; d'Espagne ; de Xirez,vin ; d'Espagne ; de Xérès,vin ; d'Espagne ; de Xérès,vin ; étranger,1,1,
toflit18,Graine ; pour teinture,graine ; pour teinture,drogue ; pour la peinture et la teinture ; graine,drogue ; pour la peinture et la teinture,5,,
toflit18,Matereaux ; ou petits mats,mât ; petit (mâtereau),,,,,
toflit18,Pelleterie ; apretée,pelleterie ; apprêtée,peau ; apprêtée,peaux,2,,
toflit18,Sivadille,sivadille,drogue ; médicinale ; cévadille,drogue ; médicinale,2,,drogue ; médicinale ; cévadille
toflit18,Caffé ; en parchemin,café ; en parchemin,,,,,
toflit18,Ameçons ; cassées,hameçon ; cassé,,,,,
toflit18,Aul,ail,ail,ail,0,0a,ail
toflit18,Aurcsats,aurcsats,aurcsats,,,,
toflit18,Barres : de cabestant,barre ; de cabestan,barre ; de cabestan,barre,2,,
toflit18,Barres ; pous édifiées,barre ; pour édifiée,barre ; pour construction,barre,2,,
toflit18,Bois ; à bats,bois ; à bâtir,bois ; à bâtir,,2,,
toflit18,Bours ; coton,bourse ; de coton,bourse ; de coton,bourse,8,8,
toflit18,Bouton ; de fil blanc,bouton ; de fil blanc,bouton ; de fil blanc,bouton,8,8,
toflit18,Boyaux ; salé,boyau ; salé,boyau ; salé,boyau ; salé,0,0a,
toflit18,Cartes : géographiques,carte ; géographique,carte ; géographique,cartes ; géographiques,8,8,
toflit18,Cercles : de bois,cercle ; de bois,cercle ; de bois,,6,6,
toflit18,Charbon ;de bois,charbon ; de bois,charbon ; de bois,charbon ; de bois,3,3,
toflit18,Cheminée ; de marbre,cheminée ; de marbre,cheminée ; de marbre,cheminée,8,8,
toflit18,Colle ; à papetier,colle ; à papetier,,,,,
toflit18,Conscrues ; de fleures d'orange,conserve ; de fleure d'orange,conserve ; de fleure d'orange,conserve ; de fleures d'orange,5,,
toflit18,Cordage ; d'emballage,cordage ; d'emballage,cordage ; d'emballage,cordage,6,6,
toflit18,Coucons ; de soye,cocon ; de soie,cocon ; de soie,cocons ; de soie,2,,
toflit18,Couffins ; de palmes,couffin ; de palme,couffin ; de palme,couffins ; de palmes,6,6,
toflit18,Courdoüans,courdouan,,,,,
toflit18,Cuillieres ; de bois,cuillère ; de bois,cuillère ; de bois,cuillères,6,6,
toflit18,Cuivre ; en marmittes,cuivre ; en marmite,récipient ; en cuivre,,6,6,
toflit18,Cuve,cuve,cuve,cuve,6,6,
toflit18,Dossiers ; de chaises,dossier ; de chaise,dossier ; de chaise,dossiers ; de chaises,8,8,
toflit18,Doüeles ; à tonneaux,douelle ; à tonneau,douelle ; à tonneau,douelles,6,6,
toflit18,Drapeaux,drapeau,drapeau,drapeaux,???,,
toflit18,Eau ; de citron,eau ; de citron,eau ; de citron,eau,5,,eau ; de citron
toflit18,Eau ; de fleur ; d'orange,eau ; de fleur d'orange,,,,,
toflit18,Egoutoirs,égouttoir,égouttoir,,,,
toflit18,Esprit ; de citron,esprit ; de citron,esprit ; de citron,esprit,5,,esprit ; de citron
toflit18,Fenoüil,fenouil,fenouil,fenouil,0,0a,
toflit18,Fiasques,fiasque,fiasque,fiasques,???,,
toflit18,Folicule ; de sene,follicule ; de séné,,,,,
toflit18,Formes ; de chapeaux,forme ; de chapeau,forme ; de chapeau,formes ; de chapeaux,6,6,
toflit18,Fourneaux ; de briques,fourneau ; de brique,fourneau ; de brique,,7,7,
toflit18,Gentes,gente,gente,gentes,6,6,
toflit18,Gertes ; de terre,gerle ; de terre,,,,,
toflit18,Gomme : édorée,gomme ; édorée,gomme ; édorée,gomme,2,,gomme ; édorée
toflit18,Gomme ; Sandarac,gomme ; sandaraque,,,,,
toflit18,Grabeau ; de sene,grabeau ; de séné,,,,,
toflit18,Graine ; longue,graine ; jaune,graine ; jaune,graine,2,,
toflit18,Graisse ; de porc,graisse ; de porc,graisse ; de porc,graisse,4,4,
toflit18,Guestre ; de toille,guêtre ; de toile,guêtre ; de toille,guêtres ; de toille,8,8,
toflit18,Herbages,herbage,herbe,,2,,
toflit18,Herbes ; capilaire,herbe ; capillaire,,,2,,herbe ; capilaire
toflit18,Hermodattes,hermodatte,hermodatte,hermodattes,2,,
toflit18,Ipécacuana,ipécacuanha,,,,,
toflit18,Lustres ; de venise,lustre ; de Venise,lustre ; de Venise,lustre,8,8,
toflit18,Maquet,maquet,maquet,maquet,???,,
toflit18,Masques ; de venise,masque ; de Venise,masque ; de Venise,masque,8,8,
toflit18,Oignons ;de fleur,oignon ; de fleur,,,,,
toflit18,Papier ; de pliage,papier ; de pliage,papier ; de pliage,papier,6,6,
toflit18,Papier ; d'estrasse,papier ; d'Estrasse,,,,,
toflit18,Peignes ; d'yvoire,peigne ; d'ivoire,peigne ; d'ivoire,peignes,8,8,
toflit18,Percerelles,percerette,percerette,percerettes,6,6,
toflit18,Pierres ; codes,pierre ; code,pierre ; code,,2,,
toflit18,Plants ; d'orangers,plant ; d'oranger,plant ; d'oranger,,2,,
toflit18,Plume ; d'autruche ; brute,plume ; d'autruche ; brute,plume ; brute ; d'autruche,,2,,
toflit18,Pointes ; de bois ; pour bâtir,pointe ; de bois ; pour bâtir,pointe ; de bois ; pour bâtir,pointes ; de bois ; pour bâtir,6,6,
toflit18,Poncire,poncire,poncire,fruits et légumes,0,0a,
toflit18,Poussiere ; d'encens,poussière ; d'encens,poussière ; d'encens,poussière ; d'encens,5,,
toflit18,Poussiere ; de tartre,poussière ; de tartre,poussière ; de tartre,poussière ; de tartre,5,,poussière ; de tartre
toflit18,Rapure ; de corne ; de cerf,râpure ; de corne ; de cerf,rognure ; de corne ; de cerf,,2,,rognure ; de corne ; de cerf
toflit18,Rubea ; major,rubea major,,,,,
toflit18,Sels ; artique,sel ; arctique,,,,,
toflit18,Sucriers ; de fayance,sucriers ; de faïence,,,,,
toflit18,Tabatieres : d'olivier,tabatière ; d'olivier,tabatière ; d'olivier,tabatière,8,8,
toflit18,Tabatieres ; vernies,tabatière ; vernies,,,,,
toflit18,Tasse ; de fayance,tasse ; de faïence,ouvrage ; de faïence ; tasse,ouvrage ; de faïence,6,6,
toflit18,Téraille,terraille,terraille,,,,
toflit18,Terre ; de porcelaine,terre ; de porcelaine,terre ; de porcelaine,terre,2,,
toflit18,Toile ; de Piémon,toile ; de Piémont,toile ; de Piémont,,6,6c,
toflit18,Vazes ; de terre,vases ; de terre,,,,,
toflit18,Vin ; Grec,vin ; Grec,,,,,
toflit18,Bigues,bigue,,,,,
toflit18,Billons,billon,billon,,,,
toflit18,Morües ; vertes,morue ; verte,,,,,
toflit18,Canelle ; gerofflée,cannelle ; gerofflée,épicerie ; cannelle ; gerofflée,épicerie,0,0b,
toflit18,Dents ; d'éléphant,dent ; d'éléphant,dent ; d'éléphant,,2,,
toflit18,Couvertures ; de Bearn,couverture ; de Béarn,couverture ; de Béarn,couvertures,6,6,
toflit18,Couvertures ; de filozelle,couverture ; de filoselle,couverture ; de filoselle,couvertures,6,6,
toflit18,Etoffe ; filozelle ; meslée,étoffe ; de filoselle,étoffe ; de filoselle,étoffe,6,6c,
toflit18,Gomme ; élemy,gomme ; élemi,,,,,
toflit18,Mules ; et mulet,mule et mulet,mule et mulet,mules et mulets,9,,
toflit18,Peaux ; en couleur,peau ; en couleur,peau ; en couleur,peaux,2,,
toflit18,Spermaceti,spermaceti,spermaceti,spermaceti,4,4,spermaceti
toflit18,Toile ; serpillieres,toile ; serpillière,,,6,6a,
toflit18,Fruit ; à l'eau ; de vie,fruit ; à l'eau de vie,fruit ; à l'eau de vie,fruits,0,0a,
toflit18,Masses ; de mail,masse ; de mail,masse ; de mail,masse ; de mail,6,6,
toflit18,Pierres ; toilées,pierre ; toilée,pierre ; toilée,,2,,
toflit18,Sels ; vegetal,sels ; végétal,,,,,
toflit18,Chapeaux ; Vigognes,chapeau ; de vigogne,chapeau ; de vigogne,,,,
toflit18,Poupées,poupée,poupée,,8,8,
toflit18,Racines ; de lizary,racine ; de lizari,,,,,
toflit18,Raisin ; frais,fruit ; cru ; raisin,fruit ; cru ; raisin,fruits,0,0a,
toflit18,Raisin ; fer,raisin ; fer,,,,,
toflit18,Doüelles,douelle,douelle,douelles,6,6,
toflit18,Sel ; de Poulinguen,sel ; de Poulinguen,sel ; de Poulinguen,sel,2,,
toflit18,Vin ; de Amont,vin ; de Amont,vin ; de Amont,vin ; de france,1,1,
toflit18,Coëffure ; de gaze,coiffe ; de gaze,coiffe ; de gaze,chapeaux,8,8,
toflit18,Cuirs ; de vache ; en croutte,cuir ; de vache ; corroyé,cuir ; de vache ; corroyé,cuirs ; corroyés,6,6,
toflit18,Cuivre ; doré,cuivre ; doré,cuivre ; doré,cuivre,6,6,
toflit18,Guingans ; divers,guingan ; divers,toile ; guingamp,,6,6d,
toflit18,Lamproïes,lamproie,lamproie,lamproie,0,0a,
toflit18,Soyrie,soieries,,,,,
toflit18,Drap ; de Varobais,drap ; de Van Robais,drap ; de Van Robais,drap,6,,
toflit18,Mouchoirs ; de toile ...,mouchoir ; de soie,mouchoir ; de soie,mouchoirs,8,8,
toflit18,Serge ; de soye,serge ; de soie,étoffe ; serge de soie,étoffe,6,6c,
toflit18,Vestes ; de soye,veste ; de soie,veste ; de soie,vestes,8,8,
toflit18,Vin ; d'Aument,vin ; d'Aument,vin ; d'Aument,vin ; de france,1,1,
toflit18,Vin ; Natois,vin ; Natois,,,,,
toflit18,Ecorce ; d'arbre,écorce ; d'arbre,ecorce ; d'arbre,écorce,2,,
toflit18,Vin ; de Rivesac,vin ; de Rivesac,vin ; de Rivesac,vin ; de france,1,1,
toflit18,Alambic,alambic,alambic,alambic,5,,
toflit18,Bats ; de cheval,bat ; de cheval,bat ; de cheval,bat d'âne ou de cheval,7,7,
toflit18,Carreaux ; à paver,carreau ; à paver,carreau ; à paver,carreaux,6,6,
toflit18,Crapaudines ; de fer,crapaudine ; de fer,crapaudine ; de fer,crapaudines,6,6,
toflit18,Cuirs : tannés,cuir ; tanné,cuir ; tanné,cuirs ; tannés,6,6,
toflit18,Drap ; de Dauphiné,drap ; de castor,drap ; de castor,drap,6,,
toflit18,Drape ; petite,drap ; petite,drap ; petit,drap,6,,
toflit18,Fers ; à repasser,fer ; à repasser,ouvrage ; de fer ; à repasser,ouvrage ; de fer,6,6,
toflit18,Males ; de cuir,malle ; de cuir,malle ; de cuir,malles,8,8,
toflit18,Ortites ; de menuisier,ortite ; de menuisier,ortite ; de menuisier,ortites ; de menuisier,???,,
toflit18,Pierres ; de Grison,pierre ; de grison,pierre ; de grison,,2,,
toflit18,Platines ; à fassave,platine ; à cassave,platine ; à cassave,,6,6,
toflit18,Pompes ; à hollande,pompe ; à hollande,pompe ; à hollande,,7,7,
toflit18,Souliers ; de maroquin,souliers ; de maroquin,,,,,
toflit18,Tabac ; en rouleau,tabac ; en poudre,tabac ; en poudre,tabac,1,1,
toflit18,Tapisserie ; de cuir doré,tapisseries ; de cuir doré,,,,,
toflit18,Vin ; de Saintonges,vin ; de Saintonge,,,,,
toflit18,Chapeaux ; à negres,chapeau ; à nègre,chapeau ; à nègre,chapeaux,8,8,
toflit18,Esprit ; de Coclearia,esprit ; de coclearia,esprit ; de coclearia,esprit,5,,esprit ; de coclearia
toflit18,Fer ; à negres,fer ; à nègre,ouvrage ; de fer ; à nègre,ouvrage ; de fer,6,6,
toflit18,Foulas,foulas,foulas,foulas,???,,
toflit18,Rouauls,rouauls,rouauls,rouauls,???,,
toflit18,Tabac ; de St. Domingue,tabac ; de St. Domingue,tabac ; de St. Domingue,tabac,1,1,
toflit18,Toile ; de Bretagne ; de bas brin,toile ; de Bretagne ; de bas-brin,,,,,
toflit18,Cuirs ; de vache ; coroïes,cuir ; de vache ; corroyé,cuir ; de vache ; corroyé,cuirs ; corroyés,6,6,
toflit18,Mouchoirs ; de Pondichery,mouchoir ; de Pondichéry,mouchoir ; de Pondichéry,mouchoirs,8,8,
toflit18,Cuirs ; de genisses ; corroyés,cuir ; de génisse ; corroyé,cuir ; de génisse ; corroyé,cuirs ; corroyés,6,6,
toflit18,Peaux ; de Dain,peau ; de daim,peau ; de daim,peaux,2,,
toflit18,Sucre : en pain,sucre ; en pain,sucre ; en pain,sucre,0,0b,
toflit18,Moël ; de beuf,moelle ; de bœuf,moelle ; de bœuf,moelle ; de bœuf,0,0a,
toflit18,Batons ; de Gabares,bâton ; de Gabares,bâton ; de Gabares,bâtons,2,,
toflit18,Batons ; de Gaffes,bâton ; de Gaffes,bâton ; de Gaffes,bâtons,2,,
toflit18,Pierres ; à filtrer l'eau,pierre ; à filtrer l'eau,pierre ; à filtrer l'eau,,7,7,
toflit18,Barbaçons ; de grez,barbaçon ; de grès,barbaçon ; de grès,barbaçon ; de grès,6,6,
toflit18,Boucles ; de cuivre,boucle ; de cuivre,boucle ; de cuivre,boucle,8,8,
toflit18,Coffres ; forts,coffre ; fort,coffre ; fort,boîtes,8,8,
toflit18,Compas ; de mer,compas ; de mer,compas ; de mer,instruments de marine,8,8,
toflit18,Courbes ; de bois,courbe ; de bois,courbe ; de bois,courbes ; de bois,6,6,
toflit18,Couvercles ; de fer,couvercle ; de fer,,,,,
toflit18,Cullieres ; de fer,cuillère ; de fer,cuillère ; de fer,cuillères,6,6,
toflit18,Etaim ; de glace,étain ; de glace,étain ; de glace,étain,6,6,
toflit18,Fautas,fautas,fautas,fautas,???,,
toflit18,Flèches ; marinés,flèche ; marine,flèche ; marine,flèches ; marines,???,,
toflit18,Graine ; d'asperge,graine ; d'asperge,graine ; d'asperge,graine,2,,
toflit18,Lechefritte,lèchefrite,,,,,
toflit18,Liens ; de fil,liège ; en fil,,,,,
toflit18,Marbre ; à joüer,marbre ; à jouer,marbre ; à jouer,marbre ; ouvré,6,6,
toflit18,Moulins ; à grains,moulin ; à grain,moulin ; à grain,moulins,7,7,
toflit18,Plateaux ; de bois,plateau ; de bois,plateau ; de bois,plateaux,6,6,
toflit18,Seaux,seau,seau,seaux,6,6,
toflit18,Tables ; vernies,table ; vernie,,,,,
toflit18,Tambourgs ; de fer,tambours ; de fer,,,,,
toflit18,Taupine ; soye et coton,taupine ; de soie ; et coton,,,,,
toflit18,Theyères ; de métal,théières ; de métal,,,,,
toflit18,Toile ; platitte,toile ; platille,toile ; platille,,6,6a,
toflit18,Bois ; vert,bois ; verni,bois ; verni,,2,,
toflit18,Eau ; vulneraire,eau ; vulnéraire,eau ; vulnéraire,eau ; vulnéraire,5,,eau ; vulnéraire
toflit18,Ecaille ; de Cabouanne,écaille ; de caouane,,,,,
toflit18,Ongles ; de carres,ongle ; de carne,,,,,
toflit18,Sirop ; melssae,sirop ; mélasse,sirop ; mélasse,sirop,1,1,
toflit18,Alaisnes,alesne,alesne,,,,
toflit18,Bureau ; de noyer,bureau ; de noyer,bureau ; de noyer,bureaux ; de noyer,8,8,
toflit18,Cheval ; de bois,cheval ; de bois,cheval ; de bois,cheval ; de bois,8,8,
toflit18,Cornes ; de lanterne,corne ; de lanterne,corne ; de lanterne,cornes,2,,
toflit18,Doüelles ; à toneaux,douelle ; à tonneau,douelle ; à tonneau,douelles,6,6,
toflit18,Haricots ; confits,haricot ; confit,haricot ; confit,haricot,0,0a,
toflit18,Langues ; fumées,langue ; fumée,langue ; fumée,,0,0a,
toflit18,Madriers ; de chêne,madrier ; de chêne,madrier ; de chêne,,2,,
toflit18,Plumes ; duves,plume ; à duvet,plume ; à duvet,,2,,
toflit18,Terriers ; de fer,terrier ; de fer,terrier ; de fer,terriers ; de fer,???,,
toflit18,Chanvre ; crü,chanvre ; crû,chanvre ; cru,chanvre,2,,
toflit18,Matreaux ; ou petits mats,mâtereau ; ou petit ; mât,,,,,
toflit18,Merrain ; à bariques,merrain ; à barrique,,,,,
toflit18,Lin ; crü,lin ; cru,lin ; cru,lin,2,,
toflit18,Assiettes ; de terre,assiette ; de terre,assiette ; de terre,assiette,6,6,
toflit18,Blanquette,blanquette,blanquette,blanquette,1,1,
toflit18,Housse ; de cheval,housse ; de cheval,housse ; de cheval,housse,6,6,
toflit18,Meules ; à moukin,meule ; à moulin,meule ; à moulin,meule,6,6,
toflit18,Pendans ; d'oreille,pendant ; d'oreille,pendant ; d'oreille,pendants ; d'oreilles,8,8,
toflit18,Robe ; de chambre,robe ; de chambre,robe ; de chambre,robes,8,8,
toflit18,Rozaires,rosaire,rosaire,rosaire,8,8,
toflit18,Veau,veau,,,,,
toflit18,Bagues ; de leton,bague ; de laiton,bague ; de laiton,bague,8,8,
toflit18,Basse ; de violle,basse ; de viole,basse ; de viole,instrument de musique,8,8,
toflit18,Batteau ; de pecheur,bateau ; de pêcheur,bateau ; de pêcheur,bateau,7,7,
toflit18,Beccassines,bécassine,bécassine,bécasses,0,0a,
toflit18,Boutons ; à pierres ; fausses,bouton ; à pierre ; fausse,bouton ; à pierre ; fausse,bouton,8,8,
toflit18,Croix ; à pierres ; fausses,croix ; à pierre ; fausse,croix ; à pierre ; fausse,croix,8,8,
toflit18,Dentelles ; commune,dentelle ; commune,dentelle ; commune,,6,6a,
toflit18,Molton ; de laine,molleton ; de laine,étoffe ; de laine ; en molton,étoffe,6,,
toflit18,Mortiers ; de pierre,mortier ; de pierre,mortier ; de pierre,mortiers,2,,
toflit18,Moules ; de mouton,moule ; de mouton,moule,moules,0,0a,
toflit18,Oiseaux ; petits,oiseau ; petit,oiseau ; petit,oiseaux ; petits,0,0a,
toflit18,Palangres,palangre,palangre,filets,8,8,
toflit18,Paniers ; de jongs,panier ; de jonc,panier ; de jonc,panier,6,6,
toflit18,Peignes ; à tisserand,peigne ; à tisserand,peigne ; à tisserand,peignes,6,6,
toflit18,Robinets ; de bronze,robinet ; de bronze,robinet ; de bronze,robinets ; de bronze,8,8,
toflit18,Roldor,roldor,roldor,roldor,???,,
toflit18,Ruches ; à mouche,ruche ; à mouche,ruche ; à mouche,ruches,6,6,
toflit18,Rusque ; de pin,rusque ; de pin,rusque ; de pin,rusque ; de pin,2,,
toflit18,Tours,tours,tours,tours,7,7,
toflit18,Truelles ; de fer,truelles ; de fer,,,,,
toflit18,Aigrettes,aigrette,aigrette,aigrette,6,6,
toflit18,Corps ; piqués,corps ; piqué,corps ; piqué,corps ; piqués,???,,
toflit18,Lits ; de plumes,lit ; de plume,lit ; de plume,lit,8,8,
toflit18,Mouchoirs ; de mousseline,mouchoir ; de mousseline,mouchoir ; de mousseline,mouchoirs,8,8,
toflit18,Toile ; de Bretagne ; blanche,toile ; de Bretagne ; blanche,toile ; de Bretagne ; blanche,,6,6a,
toflit18,Toile ; de Bretagne ; de chanvre,toile ; de Bretagne ; de chanvre,toile ; de Bretagne ; de chanvre,,6,6a,
toflit18,Toile ; de Bretagne ; étroite,toile ; de Bretagne ; étroite,toile ; de Bretagne ; étroite,,6,6a,
toflit18,Toile ; de Bretagne ; de Savigny,toile ; de Bretagne ; de Savigny,toile ; de Bretagne ; de Savigny,,6,6a,
toflit18,Toile ; de Bretagne ; de Langernau,toile ; de Bretagne ; de Landerneau,toile ; de Bretagne ; de Landerneau,,6,6a,
toflit18,Toile ; de Bretagne ; de Morlaise,toile ; de Bretagne ; de Morlaix,,,,,
toflit18,Toile ; de Bretagne ; de Pouldavi,toile ; de Bretagne ; de Pouldavy,toile ; de Bretagne ; de Pouldavy,,6,6a,
