simplification,sitc_rev2,note
collier ; de nacre ; de perle,,
collier ; de jais,8,
collier ; de grenat,8,
collier ; de cheval,6,
collier ; d'ambre,8,
colle ; à papier,,
colle ; ordinaire,,
colle ; forte ; de poisson,,
colle ; forte ; de Flandres,,
colle ; forte,,
colle ; faible,,
colle ; de poisson,,
colle ; de Flandre,,
colle ; commune,,
colle,,
colin,0a,
coity,,
coin,,
coiffure ; à dentelle,8,
coiffure ; de gaze,,
coiffure ; de blonde et palatine,,
coiffure ; de blonde,,
coiffure,8,
coiffe de chapeau,8,
coiffe ; à perruque,,
coiffe ; de tambou,8,
coiffe ; de gaze,8,
coiffe ; de dentelle ; de soie,,
coiffe ; de chapeau,8,
coiffe ; blonde,,
cognac,,
coffre fort ; de fer,,
coffre et cercueil en cyprès,,
coffre ; à garniture de peau,,
coffre ; vieux,8,
coffre ; fort,8,
coffre ; de voyage,,
coffre ; de thé,8,
coffre ; de sapin,,
coffre ; de noyer,,
coffre ; de fer et berse,,
coffre ; de fer,,
coffre ; de chirurgie,8,
coffre ; de bois,8,
coffre,,
codearia,,
codde blanc,,
cocullus,,
coctif,,
cocon ; de soie,,
cocon,,
coco ; du levant,,
coco ; de levant,,
coco,0b,
cochon ; salé,0a,
cochon ; de lait,0a,
cochenille et indigo,,
cochenille ; sylvestre,,
cochenille ; silvestre,,
cochenille ; mestèque,,
cochenille ; mesteque,,
cochenille ; campêche,,
drogue ; pour la peinture et la teinture ; cochenille,,
cocalum,0a,
coas ; de soie,,
cloutier,,
clou et caboche de fer,6,
clou et acier,,
épicerie ; girofle,0b,
clou ; doré,6,
clou ; de girofle,,
clou ; de fer,6,
clou ; de cuivre ; doré,,
clou ; de cuivre,,
clou,,
cloporte,,
clochette ; de fonte,8,
clochette,8,
cloche ; en fonte,,
cloche ; de verre,8,
cloche ; de métal,8,
cloche ; de fonte,8,
cloche ; de cuivre,8,
cloche,8,
clinquant ; d'or faux,8,
claye ; à parquer,6,
clavecin ; vieux,8,
clavecin,8,
clarifiant,,
clappe ou douve à baril de sapin,,
clappe ou douve à baril,,
claphout en blocq,,
claphout,,
clairon,,
citron et orange,0a,
citron ; vert,,
citron ; salé,,
citron ; en conserve,,
citron ; confit,0a,
citron ; aigre,,
citron,0a,
ciseau,6,
cirsaca,6d,
cire et chandelle ; de cire,,
cire ; à cacheter,4,
cire ; verte,4,
cire ; rouge en flambeau,,
cire ; jaune et blanche,4,
cire ; jaune en pain,,
cire ; jaune en cierge et flambeau,,
cire ; jaune en bougie et chandelle,,
cire ; jaune ; du levant,,
cire ; jaune,4,
cire ; en pain,4,
cire ; en grain,4,
cire ; en grabeau,4,
cire ; en flambeau,4,
cire ; en figure,,
cire ; en crasse,4,
cire ; en bougie,4,
cire ; diverse,4,
cire ; de bougie,4,
cire ; d'Espagne à cacheter,,
cire ; d'Espagne,4,
cire ; blanche et jaune ; fondue et en bougie,4,
cire ; blanche et jaune,4,
cire ; blanche en flambeau,,
cire ; blanche en feuille,,
cire ; blanche en bougie,,
cire ; blanche ; ouvrée,4,
cire ; blanche,4,
cire,4,
cirage ; pour chaussure,,
cinabre ; fin,,
cinabre ; en roche,,
cinabre ; broyé,,
drogue ; pour la peinture et la teinture ; cinabre,,
ciment ou tiras,,
ciment,6,
cime,,
cierge et flambeau,8,
cierge ; de cire ; blanche,,
cierge,8,
cidre,1,
fruit ; cru ; châtaigne et noix,,
fruit ; cru ; châtaigne ; sèche,0a,
fruit ; cru ; châtaigne ; blanche,0a,
fruit ; cru ; châtaigne,0a,
chuquelas,,
christ ; d'ivoire ; monté de velours,,
christ ; d'ivoire,8,
chou ; à planter,,
chou ; salé,,
chou ; confit,0a,
chou ; cabus,0a,
chou,0a,
chocolat ; en patte,0b,
chocolat,0b,
chivelle,,
chitte ; étoffe,6,
chitte,6,
chitspamabage,,
chise de fourneau,,
chinois,,
chine,,
chima ; calin,,
chilas,6d,
chiffon,,
chien,,
chicotin,,
chicorée ; moulue,,
chicorée,,
chicas,,
chialar,,
chevron ; de sapin ; de 24 pieds,,
chevron ; de sapin ; de 14 pieds,,
chevron ; de sapin ; de 10 pieds,,
chevron ; de sapin ; 12 pieds,,
chevron ; de sapin,,
chevron ; de merisier,,
chevron ; de cèdre,6,
chevron ; de bois ; d'acajou,,
chevron ; de bois,6,
chevron ; de 26 pieds,,
chevron ; de 18 pieds,,
chevron ; de 16 pieds,,
chevron,,
cheveu,,
cheval ; à moyen prix,,
cheval ; à haut prix,,
cheval ; à bas prix,,
cheval ; petit,,
cheval ; de selle,,
cheval ; de labour,,
cheval ; de bois,8,
cheval ; de 3 ans,,
cheval ; d'un an,,
chenille ; de soie,,
chenille ; de flavret,,
chenille ; de chêne,,
chenille ; au quart,,
chemise ouvrée ; blanche,8,
chemise ; écossaise,,
chemise ; à nègre,8,
chemise ; à fumer,8,
chemise ; unie,8,
chemise ; de toile ; de lin,,
chemise ; pour homme,8,
chemise ; neuve,,
chemise ; neutre,8,
chemise ; garnie ; pour homme,8,
chemise ; garnie ; pour femme,8,
chemise ; garnie ; de Batiste,8,
chemise ; garnie,8,
chemise ; fine,8,
chemise ; de toile de lin,8,
chemise ; de toile de St Jean,8,
chemise ; de toile de Bretagne,8,
chemise ; de toile ; de lin ; garnie,,
chemise ; de toile ; commune,,
chemise ; de toile,,
chemise ; de nègre,8,
chemise ; de lin,8,
chemise ; de laine,,
chemise ; de gingas,8,
chemise ; de Laval,8,
chemise ; commune,8,
chemise ; bretonne,8,
chemise ; bleue,8,
chemise,8,
cheminée ; statue,,
cheminée ; de pierre ; de lierre,,
cheminée ; de marbre,8,
chaîne ; de montre,8,
chaîne ; de laiton,6,
chaîne ; de fer,,
chazetas,,
"chaux, plâtre et ciment",6,
chaux et cendre de chaux mellé,,
chaux et cendre,6,
chaux ; éteinte,6,
chaux ; à bâtir,6,
chaux ; vive,6,
chaux ; fondu,,
chaux ; de calcaire,,
chaux,6,
chaussure,,
chausson ; de laine,8,
chausson ; de fil,8,
chausson ; de carisee et drap à laver maison,,
chausson,8,
chaussette ; de fil,8,
chaussette,8,
chausseterie,8,
chaufferette ; de bois,,
chauffe ; pieds,,
chaudron ; fond,,
chaudron ; en laiton,,
chaudron ; de potin,6,
chaudron ; de fer,6,
chaudron,6,
chaudière et cuve,,
chaudière ; de potin,6,
chaudière ; de fonte,6,
chaudière ; de fer,6,
chaudière ; de cuivre,,
chaudière ; de bray,6,
chaton,,
chasuble,8,
chasselas,0a,
chasse mouche,,
charrue,6,
charrette,,
charpie,,
charonin,,
charonie,,
charlotonne,,
chariot ; à feu,,
chariot ; neuf,7,
chariot,7,
charge en fer ; blanc,,
chardon ; à drapier,,
chardon ; cardier,,
chardon,,
charbon ; de terre,3,
charbon ; de pierre,3,
charbon ; de boulanger et bresette,,
charbon ; de boulanger,3,
charbon ; de bois et de terre,3,
charbon ; de bois,3,
charbon,3,
chapon,0a,
chapla,,
chapellerie ; en poil et en laine,8,
chapellerie ; en paille et sparterie,8,
chapellerie ; divers,8,
chapellerie,8,
chapelet ; de verre,8,
chapelet ; de coco,8,
chapelet ; de bois,8,
chapelet ; commun,8,
chapelet,8,
chapeau ; à nègre,8,
chapeau ; vieux,,
chapeau ; uni et demi forme,8,
chapeau ; uni,8,
chapeau ; sorti,8,
chapeau ; perse,8,
chapeau ; neuf,,
chapeau ; mêlé,8,
chapeau ; mi vigogne,8,
chapeau ; mi castor,8,
chapeau ; fin,8,
chapeau ; divers,8,
chapeau ; demi-castor,,
chapeau ; demi,,
chapeau ; de vigogne,,
chapeau ; de velours,8,
chapeau ; de soie,8,
chapeau ; de satin,8,
chapeau ; de poil et laine,8,
chapeau ; de poil ; brodé d'or et d'argent,8,
chapeau ; de poil,8,
chapeau ; de paille,8,
chapeau ; de loutre,,
chapeau ; de laine ; commun,8,
chapeau ; de laine,8,
chapeau ; de feutre uni,8,
chapeau ; de feutre,8,
chapeau ; de femme,8,
chapeau ; de cuir,8,
chapeau ; de castor ; verni,8,
chapeau ; de castor ; uni,8,
chapeau ; de castor ; non brodé,8,
chapeau ; de castor ; fin,8,
chapeau ; de castor ; brodé d'or et d'argent,8,
chapeau ; de castor ; brodé d'or,8,
chapeau ; de castor ; brodé,8,
chapeau ; de castor ; bordé or et argent,,
chapeau ; de castor,8,
chapeau ; de bois,8,
chapeau ; dauphin,8,
chapeau ; d'écorce d'arbre,8,
chapeau ; d'écorce ; de tilleul,,
chapeau ; d'enfant,,
chapeau ; d'Angleterre,8,
chapeau ; commun,,
chapeau ; castor ; uni,,
chapeau ; castor ; brodé d'or,,
chapeau ; castor ; bordé ; d'or,,
chapeau ; castor ; bordé ; d'argent,,
chapeau ; castor ; bordé,,
chapeau ; brodé d'or,8,
chapeau ; brodé,8,
chapeau ; bordé d'argent,,
chapeau ; bordé ; d'or et d'argent,,
chapeau ; assorti,8,
chapeau ; ? castor,8,
chapeau ; 1/2 castor,,
chapeau,8,
chanvre et lin,,
chanvre ; écru,,
chanvre ; tressé,,
chanvre ; tillé,,
chanvre ; sérancé,,
chanvre ; saisir,,
chanvre ; peigné,,
chanvre ; en rame,,
chanvre ; en ramade,,
chanvre ; en masse,,
chanvre ; en lien,,
chanvre ; eau,,
chanvre ; divers,,
chanvre ; dit chenevolle,,
chanvre ; de masse,,
chanvre ; cru,,
chanvre ; brut,,
chanvre ; battu,,
chanvre ; apprêté,,
chanvre ; 2e qualité,,
chanvre ; 1ère qualité,,
chanvre,,
chanoni,,
changeante,,
chandelle ; à porteur,8,
chandelle ; à l'huile de baleine,,
chandelle ; roulante,8,
chandelle ; moitié cire,8,
chandelle ; de suif,8,
chandelle ; de rotin,8,
chandelle ; de paille,8,
chandelle ; de jonc,8,
chandelle ; de commodité,8,
chandelle ; de canne,8,
chandelle ; de bois,8,
chandelle,8,
chandelier ; à pique,,
chandelier ; de laiton,,
chandelier ; de cuivre,8,
chandelier ; de bois,,
chandal,,
chamure,,
champignon ; sec,0a,
champignon ; mariné,,
champignon,0a,
champhew,,
chamois,,
chambranle ; de porte,,
chaloupe ; démontée,7,
chaloupe,,
chalon ; peint,,
chalon ; blanc souphré,,
chalon ; blanc,,
chalon,,
chalbafs,,
chaise et fauteuil de paille,8,
chaise et fauteuil de canne,8,
chaise et fauteuil ; de jonc,,
chaise et fauteuil,8,
chaise et cabriolet,,
chaise ; à porteur,7,
chaise ; à deux roue,,
chaise ; roulante ; vieille,,
chaise ; roulante ; avec son train,7,
chaise ; roulante ; avec harnais,7,
chaise ; roulante,7,
chaise ; pliante ; de cuir de Russie,8,
chaise ; pliante,8,
chaise ; de tapisserie,8,
chaise ; de rotin,,
chaise ; de poste,,
chaise ; de passerame leurs arnoies,8,
chaise ; de paille,8,
chaise ; de noyer,8,
chaise ; de jonc,8,
chaise ; de fer,8,
chaise ; de commodité,,
chaise ; de canne,8,
chaise ; de bois,8,
chaise ; d'enfant,8,
chaise ; commune,8,
chaise,,
chair salée ; chair de porc ; saucisson,0a,
chair salée ; chair de porc ; lard,0a,
chair salée ; chair de porc ; jambon,0a,
chair salée ; chair de porc ; diverse,0a,
chair salée ; chair de bœuf ; langue de bœuf,0a,
chair salée ; chair de bœuf ; diverse,0a,
chair salée ; chair de bœuf ; bœuf salé,0a,
chair salée ; chair de bœuf ; boyau salé,0a,
chair ; volaille et gibier,0a,
chair ; salée et fraîche,0a,
chair ; salée ; saumure,0a,
chair ; salée ; saucisson,0a,
chair ; salée ; porc,0a,
chair ; salée ; petit salé,0a,
chair ; salée ; lard,0a,
chair ; salée ; langue de bœuf,0a,
chair ; salée ; jambon,0a,
chair ; salée ; diverse,0a,
chair ; salée ; de toute sorte,0a,
chair ; salée ; de porc,0a,
chair ; salée ; cuisse d'oie,0a,
chair ; salée ; bœuf ; fumé,0a,
chair ; salée ; bœuf,0a,
chair ; salée ; boyau,0a,
chair ; salée,0a,
chair ; fumée,0a,
chair ; fraîche ; de viande,0a,
chair ; fraîche,,
chair ; diverse,0a,
chair ; de porc ; en jambon,0a,
chair ; de bœuf,0a,
chair ; de boucherie,0a,
chair ; cuite,0a,
chair ; ?,0a,
chagrin,,
chade,,
drogue ; médicinale ; cévadille,,
cervelas,0a,
cerneau,0a,
cerise,0a,
cercocole,,
cercle ; de jonc,6,
cercle ; à tonneau,6,
cercle ; à tamis,6,
cercle ; à quart,6,
cercle ; à pipe,6,
cercle ; à barrique,,
cercle ; à baril,6,
cercle ; ocloir,6,
cercle ; de feuillard,6,
cercle et feuillard ; en fer,6,
cercle ; de bois ; de barrique,,
cercle ; de bois,6,
cercle et feuillard,,
cercle et feuillard ; en bois,6,
cercle,6,
cerceau ; de fût,,
cerceau,,
centaurée et bleuet,,
cendre ; à savon,,
cendre ; à orfèvre,,
cendre ; à fumer ; terre,,
cendre ; à fumer,,
cendre ; verte,,
cendre ; vedasse,,
cendre ; tourbe,,
"cendre ; soude, natron et salin",,
cendre ; soude et potasse,,
cendre ; soude ; d'Egypte ou Natrum,,
cendre ; soude,,
cendre ; pour manufacture,,
"cendre ; potasse, vedasse et gravelée",,
cendre ; potasse et vedasse,,
cendre ; potasse,,
cendre ; poreuse,,
cendre ; menuisée,,
cendre ; gravelée,,
cendre ; gravelin,,
cendre ; fonde,,
cendre ; flore,,
cendre ; diverse,,
cendre ; des tourbe,,
cendre ; des rois,,
cendre ; de vitarch,,
cendre ; de verre,,
cendre ; de varet,,
cendre ; de varech,,
cendre ; de toute espece à engraisser,,
cendre ; de tourbe et de paille,,
cendre ; de tourbe,,
cendre ; de soude,,
cendre ; de plomb,,
cendre ; de mer,,
cendre ; de matron,,
cendre ; de malte,,
cendre ; de lessive,,
cendre ; de houille,,
cendre ; de grignon,,
cendre ; de frêne,,
cendre ; de courbe,,
cendre ; de chaux,,
cendre ; de bois,,
cendre ; de Sicile,,
cendre ; d'os,,
cendre ; d'Angleterre,,
cendre ; commune,,
cendre ; casseaux,,
cendre ; cassant,,
cendre ; caleinée,,
cendre ; broyée ; à l'huile,,
cendre ; bleue et verte,,
cendre ; bleue,,
cendre ; bleu,,
cendre ; blan,,
cendre ; barille et fonde,,
cendre ; barille,,
cendre ; ??,,
cendre,,
cendaline,,
cement,,
ceinturons; piqué,,
ceinturon et bandouilliere,,
ceinturon ; uni,,
ceinturon ; de soie,8,
ceinturon ; de peau,,
ceinturon ; de buffle,,
ceinturon ; brodé d'or,8,
ceinturon ; brodé ; d'argent,,
ceinturon ; brodé,,
ceinturon,8,
ceinture; brodée ; de soie,,
ceinture de prêtre,,
ceinture ; marine,,
ceinture ; de soie,,
ceinture ; d'argent fin,,
ceinture,8,
ceaustatille étoffe,,
cazé,,
cayette,,
cavizé,,
caviar,0a,
cave ; à tabac,,
cave ; garnie,8,
cave ; file,8,
cave,8,
causel de bar,,
cauris,,
caume ; de jonc,,
caume ; de bois,,
caume ; bambou,,
catéchisme,,
catequin,,
catendevy,,
catadarit,,
castoteunt,,
castoreum,,
castor ; sec,,
castor ; gras,,
castor ; blanc,,
castor,,
castalogne,,
cassonnade,0b,
cassole,6,
cassis,0a,
drogue ; médicinale ; cassia lignea,,
casserole ; de fer,,
casserole,,
cassela,,
casse étoffe,6d,
casse ; remède,,
casse ; garnie,7,
casse ; en bâton,,
casse ; de laiton,7,
casse ; de fer,7,
casse ; au canéfice,,
casse,7,
casque et cuirasse,,
casque de charge,,
cascarille,,
casaque de peau,8,
casaque de froc,8,
casaque ; à nègre,,
casaque,,
carzé,,
carvi,0a,
carubi,,
cartouche,,
carton ; à drapier,,
carton ; ouvré et en feuille,6,
ouvrage ; de carton,6,
carton ; moulé,6,
carton ; en feuille,,
carton,6,
carte ; à jouer,8,
carte ; marine,8,
carte ; géographique,8,
carte ; de la côte d'Angleterre,8,
carte ; de géographie ; sur toile,,
carte ; de géographie,,
carte,,
cartager,8,
carré,6,
carrouge,0b,
carrosse et harnois,,
carrosse ; vieux,,
carrosse ; neuf,,
carrosse ; grand ; monté sur leur train et harnois riche,,
carrosse,7,
carret,,
carrelet séché,,
carrelage,,
carreau ; à paver,6,
carreau ; à dentelle,6,
carreau ; Île de France,,
carreau ; rouge,,
carreau ; pour le sol,,
carreau ; noir,6,
carreau ; moulage ; de France,,
carreau ; moulage ; de Brie,,
carreau ; moulage,6,
carreau ; meulage de France,,
carreau ; meulage de Brie,,
carreau ; de verre à vitre,6,
carreau ; de verre,,
carreau ; de terre à paver,6,
carreau ; de terre,6,
carreau ; de sera,6,
carreau ; de pierre à paver,6,
carreau ; de pierre noire,6,
carreau ; de pierre de terre,6,
carreau ; de pierre,,
carreau ; de marbre à paver,,
carreau ; de marbre ; pour le roi,,
carreau ; de marbre,6,
carreau ; de lorre,6,
carreau ; de faïence,6,
carreau ; de dentelle,6,
carreau ; de brique,6,
carreau ; de bidache,6,
carreau ; d'ardoise,6,
carreau ; bleu,6,
carreau ; ?,6,
carreau,6,
carpette,6a,
carpeaux ; alvin,0a,
carpe,0a,
carotte ; d'enfant,,
carotte,0a,
carol,,
carny,,
carnifié,,
carnatane,,
carnasse,,
carnadière,,
carmin,,
carlé,,
carizé ; étoffe,,
carizé ; vieille,,
carizé,,
carisaye ; teinte,,
carisaye ; mellée,,
carisaye ; blanche,,
caril,,
cargaison,,
caret,,
carelet,0a,
cardon,0a,
cardine ; de sapin,,
cardine,0a,
carde ; à carder,6,
carde ; vieille,,
carde ; à drapier,6,
carde ; neuve,6,
carde et cardon champêtre,,
carde ; en fer,,
carde ; de bois et fil de fer,,
carde ; carder,,
carde,,
carcasse ; à peu de soie,,
carcasse,,
carcajou,,
caramel,0a,
caractère d'imprimerie,7,
caractère ; à imprimer,,
carabine à air comprimé,,
caput mortum,,
capsliatte,,
capoterie,6,
capons,,
capiton ; de soie,,
capiton,,
capilaire ; vert,,
capilaire ; en herbe,,
capilaire,,
capies,,
capeabas,,
cape ; de drap,,
cape ; de camelot,8,
cape ; de Bearn,8,
cape ; cabas,8,
cape,8,
caparaçon,6,
capalme,,
capa,,
caoutchouc,,
canéfice,,
cantine,,
canonnière ; de cantil,,
canon et boulet de fer,,
canon et boulet ; de fer,,
canon et boulet,,
canon et balle ; de fer,,
canon ; en fer ; de 2 livre,,
canon ; de métal,,
canon ; de fonte ; petit,,
canon ; de fonte,,
canon ; de fer de 4 livre de balle,,
canon ; de fer ; petit,,
canon ; de fer ; de 4 livre,,
canon ; de fer ; de 3 livre,,
canon ; de fer ; de 18 et 30 livre de balle,,
canon ; de fer ; de 18 a 24 livre,,
canon ; de fer,,
canon ; de cuivre,,
canon ; de fusil,,
canon ; de 18 de balle,,
cannette ; de terre et de grès,6,
cannette ; de terre,6,
cannette ; de grès,6,
cannette ; de bois ; de sapin,6,
cannette ; de ?,6,
cannette ; d'étain,,
cannette,6,
cannelle et poivre,0b,
épicerie ; cannelle ; gerofflée,0b,
épicerie ; cannelle,0b,
canne ; à pomme d'or ; ayant servi,,
canne ; à pomme d'or,8,
canne ; à main,,
canne ; garnie,8,
canne et bâton ; verni,,
canne ; diverse,8,
canne ; dit genette,,
canne ; de jonc,8,
canne ; de bois montée et non montée,,
canne ; de bois,8,
canne ; bambou,8,
canne,8,
canique,,
canif,,
canevette ; à flacon,6,
canevette ; de grès,6,
canevette,6,
canevas ; tracé,,
canevas ; de fil,,
canevas,6a,
canette ; de terre,,
canette ; de grès,,
canetille ; d'or faux,8,
"canelle, giroffle, poivre, etc.",0b,
canefiée,,
drogue ; médicinale ; canéfice,,
candeta,,
canaux,,
canari ou serin,,
canard ; en vie,,
canard,0a,
canapé ; de maroquin et table à joué,,
canapé ; de cuir de Russie,8,
canapé,8,
camphre ; raffiné,,
camphre,,
camisolle,8,
camelot; écarlate,,
camelot ; à peu de soie,,
camelot ; soie et laine,,
camelot ; rayé,,
camelot ; poil et soie,6c,
camelot ; poil et laine,,
étoffe ; de laine ; camelot petit dit de Berlin,,
camelot ; mêlé ; de soie,,
camelot ; mi soie,6c,
camelot ; laine et soie,,
camelot ; des isles,,
camelot ; des Indes,,
camelot ; de terrine,,
camelot ; de soie,6c,
camelot ; de laine,,
camelot ; de burail,,
camelot ; de Lille et autre,,
camelot ; de Lille,,
camelot ; de Hollande,,
camelot ; de Bruxelles,,
camelot ; d'écarlatte,,
camelot ; d'Auvergne,,
camelot ; d'Angleterre et Hollande,,
camelot ; d'Amiens,,
camelot ; burail,,
camelot ; au sixième de soie,,
camelot ; au quart,,
camelot ; a peu de soie,,
camelot,,
cambray,,
cambouis,3,
cambaye,6d,
calèche,7,
calotte et sac de papier,8,
calotte ; de prêtre,,
calotte ; de peau divine,,
calotte,8,
calmotte,,
camelot ; de laine et soie,,
callemande,,
calicot,,
calice ; d'argent,8,
cale ; en bois,,
calandrine,,
calamus ; aromatisé,,
calamus,,
calamine ; grillée,,
calamine,,
caisse ; à carafon,6,
caisse ; vide,,
caisse et tête ; de carton,,
caisse ; de liège,6,
caisse ; de carosse,,
caisse ; de berline et train,,
caisse,6,
caillou,,
caille,,
cage ; d'oiseau,,
cage,6,
café et provision,,
café et cacao,0b,
café ; des Indes,0b,
café ; de moka,0b,
café ; de Martinique,0b,
café ; du Levant,0b,
café,0b,
caffard ; carpette et ligature,,
caffar ; de laine,,
caffar ; blanc,,
caffar,,
cafetou fer,,
cafetière ; de métal,,
cafetière ; de fer ; blanc,,
cafetière ; de cuivre,,
cafetière ; de Levant,8,
cafetière,8,
cadre ; doré,8,
cadre ; de bois,8,
cachou ; brut,,
cachou,,
cachet ; doré,8,
cachet ; d'argent,8,
cache,,
cacao et chocolat,0b,
cacao ; en graine,0b,
cacao ; des îles,,
cacao ; broyé,0b,
cacao,0b,
cabrouet,,
cabrion,,
cabriolet,7,
cabochon,,
caboche ; de fer,,
caboche,6,
cabinet ; peint,,
cabinet ; de sapin,8,
cabinet ; de noyer,8,
cabinet,8,
cabine de bain,,
cabillaud,0a,
cabas ; de palme,6,
cabas ; de laine,6,
cabas ; de jonc,6,
cabas ; d'auf,6,
cabas,6,
cabaret ; verni,8,
cabaret ; peint,,
cabaret ; de bois ; verni,,
cabaret,8,
bœuf et langue salée,0a,
bœuf ; à la mode,0a,
bœuf ; à la daube,0a,
bœuf ; à l'écarlate,0a,
bœuf ; taureau,,
bœuf ; salé,0a,
bœuf ; illinois,0a,
bœuf ; fumé,0a,
bœuf ; froment,0a,
bœuf ; en vie,,
bœuf ; d'Irlande,0a,
bœuf,,
bête de somme ; âne,,
bête de somme ; poulain,,
bête de somme ; mulet,,
"bête de somme ; mule, mulet et cheval",,
bête de somme ; mule et mulet,,
bête de somme ; diverse,,
bête ; de somme ; chèvre,,
bête de somme ; cheval ; arabe,,
bête de somme : agneau et cabri,,
bête de somme,,
bêche ; en fer,,
bêche,,
bézoard,,
bétille,,
bétail ; chèvre,,
béret,,
bécassine,0a,
bécasse,0a,
bâton à faire cercle,,
bâton ; à étendre le linge,,
bâton ; à lave-place,,
bâton ; à chandelle,,
bâton ; verni,,
bâton ; peint,,
bâton ; d'éventail ; d'ivoire,,
bâton ; de sapin,,
bâton ; de gaffe,,
bâton ; de collier,,
bâton ; de brosse ; à goudronner,,
bâton ; de bois,,
bâton ; de Gaffes,,
bâton ; de Gabares,,
bâtiment de mer et agrès,7,
bâtiment de mer,7,
bâche,,
buvie,,
buste ; de marbre,,
busquière or et argent,8,
bureau de bois ; de sapin,,
bureau ; verni,,
bureau ; garni de cuivre doré,,
bureau ; de sapin,,
bureau ; de noyer,8,
bureau ; de bois ; de sapin,,
bureau,8,
bure ; étoffe,,
bure ; de sanglier,,
bure,,
étoffe ; de soie et laine ; burat,,
étoffe ; de laine ; burat,,
burail,6c,
buldan,,
buffletin,8,
buffle,,
buffet,,
bruyère,,
bruste ; à tisserand,,
drogue ; pour la peinture et la teinture ; brun rouge,,
brun,,
broute de chaderdoral,,
brousse fraiche,0a,
broule,,
brouette,6,
brosserie,8,
brosse et vergette,,
brosse et pinceau,,
brosse ; à goudronner,8,
brosse ; à goudron,,
brosse ; à cirer,8,
brosse ; a peindre,,
broole,,
bronze,6,
broderie ; commune,8,
broderie,8,
brochet,0a,
broche,,
brocatelle ; de Venise,,
brocatelle,,
brocade,,
bris d'espar,,
briquet,8,
brique ; hollandaise en terre cuite,,
brique ; de terre,6,
brique,6,
brignole,,
brigadis,,
bride ; argentée,,
brian,,
brebis,0a,
bray et eau de rose,,
brai ; à brasser,,
brai ; térébenthine,,
bray ; sec,,
brai ; résine,,
brai ; raze,,
brai ; poix blanche et noire,,
brai ; poix,,
brai ; gros,,
bray ; gras,,
"brai ; goudron, poix et résine",,
"brai ; goudron, galipot et résine",,
bray ; goudron et résine,,
bray ; goudron et poix,,
bray ; goudron et eau de rose,,
brai et goudron,,
brai ; en poix ; résine,,
braule,,
brasselet ; de crin,,
brasselet,,
braserie,,
bras ; de soie,,
bras ; de cheminée,,
bras ; de chandelle,6,
brandebourg ; de fil,8,
brandebourg ; d'or,8,
brandebourg,8,
brandan,,
brancard ; de soie,6,
brancard ; de fer,6,
brancard ; de chaise,6,
brai ; sec,,
brai ; gras,,
boîte ; à sucre,6,
boîte ; à cadrille,6,
boîte ; vernie,6,
boîte ; sapin ; teinte,6,
boîte ; sapin,6,
boîte ; peinte,6,
boîte ; de sapin ; blanc,6,
boîte ; de sapin,6,
boîte ; de fer ; blanc,6,
boîte ; de carton,6,
boîte ; de cadrille,6,
boîte ; de bois ; violet,6,
boîte ; de bois,6,
boîte ; de bergamote,6,
boîte ; de Nuremberg,6,
boîte ; blanche,6,
boîte ; assortie,6,
boîte,6,
bozemin,,
boyau ; salé,0a,
boutty,,
boutonnière ; d'or,8,
bouton ; à pierre ; fausse ; par douzaine,8,
bouton ; à pierre ; fausse,8,
bouton ; or et argent ; faux,8,
bouton ; masquiné,8,
bouton ; fil d'or,8,
bouton ; dorure ; d'or fin,8,
bouton ; dorure ; d'or faux,8,
bouton ; dorure ; d'or et d'argent,8,
bouton ; dorure ; d'argent,8,
bouton ; divers,8,
bouton ; de verre ; émaillé,8,
bouton ; de verre,8,
bouton ; de trait d'or et d'argent fin,8,
bouton ; de tombacq doré,8,
bouton ; de soie à poil,8,
bouton ; de soie,8,
bouton ; de poil ; de chèvre,8,
bouton ; de poil,8,
bouton ; de nacre de perle et jayet,8,
bouton ; de nacre de perle,8,
bouton ; de nacre,8,
bouton ; de métal doré,8,
bouton ; de métal,8,
bouton ; de manche,8,
bouton ; de livrée,8,
bouton ; de laiton,8,
bouton ; de jayet,8,
bouton ; de jais,8,
"bouton ; de fil, or et argent",8,
bouton ; de fil or et argent,8,
bouton ; de fil de poil de chevre,8,
bouton ; de fil d'or et d'argent,8,
bouton ; de fil d'or,8,
bouton ; de fil d'argent,8,
bouton ; de fil blanc,8,
bouton ; de fil ; or et argent,8,
bouton ; de fil,8,
"bouton ; de cuivre sur bois, d'os de cocq et de corne",8,
bouton ; de cuivre sur bois,8,
bouton ; de cuivre et d'étain argenté,8,
bouton ; de cuivre et d'étain,8,
bouton ; de cuivre doré,8,
bouton ; de cuivre argenté et dorée,8,
bouton ; de cuivre ; doré,8,
bouton ; de cuivre,8,
bouton ; de cristal,8,
"bouton ; de crin, poil de soie",8,
bouton ; de crin et poil,8,
bouton ; de crin,8,
bouton ; de coton,8,
bouton ; de corne,8,
bouton ; de coco,8,
bouton ; de bois de coco,8,
bouton ; d'étain,8,
bouton ; d'uniforme,8,
bouton ; d'os et de corne,8,
bouton ; d'os,8,
bouton ; d'or traité,8,
bouton ; d'or et d'argent,8,
bouton ; d'or ; fin,8,
bouton ; d'or ; faux,8,
bouton ; d'or,8,
bouton ; d'argent trait,8,
bouton ; d'argent sur bois,8,
bouton ; d'argent,8,
bouton ; d'acier,8,
bouton ; brodé ; or et argent,8,
bouton ; brodé ; de nacre ; de perle et d'acier,8,
bouton ; blanc ; étamé,8,
