orthographic_normalization,simplification,note
filin,filin,
filage,filage,
fil ; à ligne,fil ; à ligne,
fil ; à forme,fil ; à forme,
fil ; à fondre,fil ; à fondre,
fil ; teine,,
fil ; pour dentelle ?,fil ; pour dentelle ?,
fil ; ouvré,,
fil ; de lin et de chanvre,fil ; de lin et de chanvre,
fil ; de laret,,
fil ; de laine ; à coudre,fil ; de laine ; à coudre,
fil ; de Flandre ; fin,fil ; de Flandre ; fin,
fil ; de cuivre,fil ; de cuivre,
fil ; de couleur,fil ; de couleur,
fil ; de chanvre ; cru,,
fil ; de bourgogne,,
fil ; de Turquie,fil ; de Turquie,
fil ; de Morlaix,fil ; de Morlaix,
fil ; caret,,
fil ; d'étamé,,
fil ; d'acier,fil ; d'acier,
fil ; auville,fil ; auville,
fil ; arcts,,
fil ; à Sennes,fil ; à Sennes,
fil ; à toile,fil ; à toile,
fil ; blanc ; ...pinal,,
fil ; ...pinal,,
fil ; écru,fil ; écru,
fil ; à tricoter,fil ; à tricoter,
fil ; à tisserand ; divers,fil ; à tisserand ; divers,
fil ; à tisserand ; de chenette,fil ; à tisserand ; de chenette,
fil ; à tisserand,fil ; à tisserand,
fil ; à ralingue,,
fil ; à papillon,fil ; à papillon,
fil ; à marquer,fil ; à marquer,
fil ; à gargousse,,
fil ; à gant,,
fil ; à folle,fil ; à folle,
fil ; à faire toile cru,fil ; à faire toile cru,
fil ; à dentelle ; sain,fil ; à dentelle ; sain,
fil ; à dentelle ; moyen,fil ; à dentelle ; moyen,
fil ; à dentelle ; mi fin,fil ; à dentelle ; mi fin,
fil ; à dentelle ; fin,fil ; à dentelle ; fin,
fil ; à dentelle ; cru,fil ; à dentelle ; cru,
fil ; à dentelle ; commun,fil ; à dentelle ; commun,
fil ; à dentelle ; blanc,fil ; à dentelle ; blanc,
fil ; à coudre ; à voile,fil ; à coudre ; à voile,
fil ; à coudre ; moyen,fil ; à coudre ; moyen,
fil ; à coudre ; en poignée,fil ; à coudre ; en poignée,
fil ; à coudre ; en masse,fil ; à coudre ; en masse,
fil ; à coudre ; du fin,fil ; à coudre ; du fin,
fil ; à coudre ; divers,fil ; à coudre ; divers,
fil ; à coudre ; de ritte,fil ; à coudre ; de ritte,
fil ; à coudre ; de ménage,fil ; à coudre ; de ménage,
fil ; à coudre ; de couteau,fil ; à coudre ; de couteau,
fil ; à coudre ; de couleur,fil ; à coudre ; de couleur,
fil ; à coudre ; de chanvre,fil ; à coudre ; de chanvre,
fil ; à coudre ; de Rennes,fil ; à coudre ; de Rennes,
fil ; à coudre ; de Piedmont,fil ; à coudre ; de Piedmont,
fil ; à coudre ; de Bretagne,fil ; à coudre ; de Bretagne,
fil ; à coudre ; commun,fil ; à coudre ; commun,
fil ; à coudre ; blanc,fil ; blanc ; à coudre,
fil ; à coudre ; d'...pinal,,
fil ; à broder,fil ; à broder,
fil ; à brocher,fil ; à brocher,
fil ; à Seine,,
fil ; à esturgeon,fil ; à esturgeon,
fil ; tord,fil ; tord,
fil ; teint,fil ; teint,
fil ; fin,fil ; fin,
fil ; single,fil ; single,
fil ; simple,fil,
fil ; retord,fil ; retord,
fil ; plat,fil ; plat,
fil ; passe perle,,
fil ; ordinaire,,
fil ; or et argent ; fin,fil ; or et argent ; fin,
fil ; or et argent,fil ; or et argent,
fil ; non retord,fil ; non retord,
fil ; noir,,
fil ; gros,fil ; gros,
fil ; gris single,fil ; gris single,
fil ; gris ; simple,fil ; gris ; simple,
fil ; gris,fil ; gris,
fil ; everda,fil ; everda,
fil ; simple ; ...pinal,,
fil ; en poignée,fil ; en poignée,
fil ; en masse,fil ; en masse,
fil ; en gueule,fil ; en gueule,
fil ; en gros,,
fil ; dorure ; or et argent ; fin,fil ; dorure ; or et argent ; fin,
fil ; dorure ; d'or et d'argent ; faux,fil ; dorure ; d'or et d'argent ; faux,
fil ; dorure ; or et argent,fil ; dorure ; or et argent,
fil ; dorure ; or et argent ; faux,fil ; dorure ; or et argent faux,
fil ; dorure ; d'or,fil ; dorure ; d'or,
fil ; dorure ; d'argent,fil ; dorure ; d'argent,
fil ; dorure ; d'or ; fin,fil ; dorure ; d'or ; fin,
fil ; divers,fil ; divers,
fil ; de ville,fil ; de ville,
fil ; de soie,fil ; de soie,
fil ; de ritte,fil ; de ritte,
fil ; de poil ; de chèvre,fil ; de poil ; de chèvre,
fil ; de palangre,fil ; de palangre,
fil ; de ménage,fil ; de ménage,
fil ; de loupe,fil ; de loupe,
fil ; de lin ; écru ; audelis,fil ; de lin ; écru ; audelis,
fil ; de lin ; écru,fil ; de lin ; écru,
fil ; de lin ; à coudre,fil ; de lin ; à coudre,
fil ; de lin ; teint ; à coudre,fil ; de lin ; teint ; à coudre,
fil ; de lin ; teint ; retord,fil ; de lin ; teint ; retord,
fil ; de lin ; simple ; commun,fil ; de lin ; simple ; commun,
fil ; de lin ; simple,fil ; de lin ; simple,
fil ; de lin ; retord,fil ; de lin ; retord,
fil ; de lin ; non retord,fil ; de lin ; non retord,
fil ; de lin ; gris ; simple,fil ; de lin ; gris ; simple,
fil ; de lin ; gris ; retord,fil ; de lin ; gris ; retord,
fil ; de lin ; gris,,
fil ; de lin ; fin ; retord,fil ; de lin ; fin ; retord,
fil ; de lin ; divers,fil ; de lin ; divers,
fil ; de lin ; de couleur,fil ; de lin ; de couleur,
fil ; de lin ; crû,fil ; de lin ; crû,
fil ; de lin ; blanc ; retord,fil ; de lin ; blanc ; retord,
fil ; de lin ; blanc,fil ; de lin ; blanc,
fil ; de lin ; bis ; simple,fil ; de lin ; bis ; simple,
fil ; de lin ; bis ; retord,fil ; de lin ; bis ; retord,
fil ; de lin ; bis ; blanc,fil ; de lin ; bis ; blanc,
fil ; de lin ; bis,fil ; de lin ; bis,
fil ; de lin ; ...pinal,,
fil ; de laine,fil ; de laine,
fil ; de fleuret,fil ; de fleuret,
fil ; de Flandres,,
fil ; de fer ; passepoile,quincaillerie ; de fer ; fil,
fil ; de fer ; passe perle,quincaillerie ; de fer ; fil,
fil ; de fer ; ordinaire,quincaillerie ; de fer ; fil,
fil ; de fer ; gros,quincaillerie ; de fer ; fil,
fil ; de fer ; divers,quincaillerie ; de fer ; fil,
fil ; de fer ; assorti,quincaillerie ; de fer ; fil,
fil ; de fer ; à carde,fil ; de fer ; à carde,
fil ; de fer ; à carder,,
fil ; de fer,quincaillerie ; de fer ; fil,
fil ; de crin,fil ; de crin,
fil ; de corailleur,fil ; de corailleur,
fil ; de chevrette,fil ; de chevrette,
fil ; de chenette,fil ; de chenette,
fil ; de charrette,fil ; de charrette,
fil ; de caret ou de voile,,
fil ; de caret,fil ; de caret,
fil ; de Silésie,fil ; de Silésie,
fil ; de sayette,,
fil ; de pitte,,
fil ; de Piémont,fil ; de Piémont,
fil ; de Niort,fil ; de Niort,
fil ; de Mulquinerie,fil ; de mulquinerie,
fil ; de lin,fil ; de lin,
fil ; de laiton,fil ; de laiton,
fil ; de coton,fil ; de coton,
fil ; de chanvre,fil ; de chanvre,
fil ; cardé,fil ; cardé,
fil ; de Bretagne,fil ; de Bretagne,
fil ; de Bourgogne,fil ; de Bourgogne,
fil ; de Bieustons,fil ; de Bieustons,
fil ; d'épreuve,fil ; d'épreuve,
fil ; d'or trait,,
fil ; d'or et d'argent ; fin,,
fil ; d'or et d'argent ; faux,,
fil ; d'or et d'argent,fil ; d'or et d'argent,
fil ; d'or ; fin,fil ; d'or ; fin,
fil ; d'or ; faux,fil ; d'or ; faux,
fil ; d'or,fil ; d'or,
fil ; d'étoupe ; de chanvre,,
fil ; d'étoupe ; de lin,,
fil ; d'argent ; faux,,
fil ; d'argent,fil ; d'argent,
fil ; d'arbalète,fil ; d'arbalète,
fil ; d'étamine,,
fil ; d'Espinay,fil ; d'Espinay,
fil ; d'Auvergne,,
fil ; d'archal,fil ; d'archal,
fil ; d'étoupe,fil ; d'étoupe,
fil ; de lin ; crû ; simple,fil ; de lin ; crû ; simple,
fil ; cru ; simple,fil ; cru ; simple,
fil ; cru ; à toile,fil ; cru ; à toile,
fil ; cru,fil ; cru,
fil ; crin,,
fil ; blanc et couleur,fil ; blanc et couleur,
fil ; de lin ; blanc ; simple,fil ; de lin ; blanc ; simple,
fil ; blanc ; retord,fil ; blanc ; retord,
fil ; de lin ; blanc ; d'...pinal,,
fil ; blanc ; à coudre,fil ; à coudre ; blanc,
fil ; blanc,fil ; blanc,
fil ; à rez,fil ; à rez,
fil ; à velinque,,
fil ; a tisserand,fil ; à tisserand,
fil ; à cordonnier,fil ; à cordonnier,
fil ; à carder,,
fil ; à senne,fil ; à senne,
fil ; divers de lin et de chanvre,fil ; divers de lin et de chanvre,
fil ; à voile,fil ; à voile,
fil ; à dentelle,fil ; à dentelle,
fil ; à coudre,fil ; à coudre,
fil ; de tisserand,,
fil ; de chèvre,fil ; de chèvre,
fil,fil,
figure ; sur bois,,
figure ; peinte ; sur bois,,
figure ; en plâtre,figure ; en plâtre,
figure ; de terre,,
figure ; de cuivre,,
figure ; d'albâtre,,
figure ; de plâtre,,
figure ; de bronze,figure ; de bronze,
figure,figure,
figue et sumac,figue et sumac,
figue et raisin,figue et raisin,
figue,figue,
fideau,fideau,
fichu ; de soye,,
fichu,fichu,
ficelle,ficelle,
fiasque,fiasque,
feuille ; d'or ; battu,,
fève ; séchée,fève ; séchée,
féverole,féverole,
feu ; argenté,feu ; argenté,
fève,fève,
feutre,feutre,
feuille et herbe ; à teindre,feuille et herbe ; à teindre,
feuilles ; de tabac,,
moutarde ; feuille,moutarde ; feuille,
bigaradier ; feuille,bigaradier ; feuille,
feuille ; de laurier,feuille ; de laurier,
feuille ; d'or et d'argent ; battu,,
feuille ; à poing,feuille a poing,
feuille ; d'or et d'argent,,
feuillard ; de fer,feuillard ; de fer,
feuillard ; de bois,feuillard ; de bois,
fer ; argenté,fer ; argenté,
ferré,ferré,
fer ; marchand,fer ; marchand,
fer ; à coiffer,,
"fer ; en feuille, feuillard et tôle","fer ; en feuille, feuillard et tôle",
fer ; en clou,fer ; en clou,
fer ; de fonte ; ouvré ; divers,,
fer ; divers ; en barre,,
ferronnerie,ferronnerie,
ferrement ; ouvré,,
ferrement ; à moulin ; à sucre,,
ferrement ; à sucre,ferrement ; à sucre,
ferrachon,,
ferrement,ferrement,
ferrandine,ferrandine,
ferraille,feraille,
fer ; écuré avec de l'acier,fer ; écuré avec de l'acier,
fer ; à sculpter,fer ; à sculpter,
fer ; suédois,fer ; suédois,
fer ; à poêle,poêle ; de fer,
fer ; noir ; ouvré,,
fer ; malléable,fer ; malléable,
fer ; forgé,fer ; forgé,
fer et canon de fer,fer et canon de fer,
fer et acier,fer et acier,
fer ; en taule,,
fer ; en plat,,
fer ; en metume,fer ; en metume,
fer ; en charrue,fer ; en charrue,
fer ; en cercle,fer ; en cercle,
fer ; en caverge,fer ; en caverge,
fer ; de traite,fer ; de traite,
fer ; de moulin ; à sucre,,
fer ; blanc ouvré,,
fer ; blanc double,,
fer ; raille,fer ; raille,
fer ; Dhipsium,fer ; Dhipsium,
fer ; ?,fer,
fer ; à repasser,ouvrage ; de fer ; à repasser,
fer ; à moulin,fer ; à moulin,
fer ; à lame,fer ; à lame,
fer ; à la valeur,fer ; à la valeur,
fer ; à friser,fer ; à friser,
fer ; à cheval,fer ; à cheval,
fer ; spâté,fer ; spatté,
fer ; spatté,fer ; spatté,
fer ; rond,fer ; rond,
fer ; pour foyer,fer ; pour foyer,
fer ; plat ; en carré,,
fer ; plat,fer ; plat,
fer ; ouvré en son et vesse,fer ; ouvré en son et vesse,
fer ; ouvré ; en ancre,,
fer ; ouvré ; de plomb,ouvrage ; de fer ; de plomb,
fer ; ouvré,ouvrage ; de fer,
fer ; noir et en tôle,fer ; noir et en tôle,
fer ; noir ; simple ; de 450 feuille,,
fer ; noir ; simple,fer ; noir ; simple,
fer ; noir ; par 450 feuille,,
fer ; noir ; double,,
fer ; noir ; de 450 feuille,,
fer ; neuf,fer ; neuf,
fer ; marth,fer ; marth,
fer ; en laminé,,
fer ; quarré,fer ; quarré,
fer ; fondu ; en chaudière,fer ; en chaudière,
fer ; en figuré,,
fer ; en feuillard et en cercle,fer ; en feuillard et en cercle,
cercle et feuillard ; en fer,cercle et feuillard ; en fer,
feuillard ; en fer,cercle et feuillard ; en fer,
fer ; ferrement,fer ; ferrement,
fer ; ferraille,ferraille,
fer ; en verge ; barre et battu,,
fer ; en verge,fer ; en verge,
fer ; en tôle et en feuille,fer ; en tôle et en feuille,
fer ; en tuyau,fer ; en tuyau,
fer ; en trépied,,
fer ; en tôle ; simple,,
fer ; en tôle ; double,,
fer ; en tambour,,
fer ; en taillanderie,fer ; en taillanderie,
fer ; en tacelle,,
fer ; en suc,fer ; en suc,
fer ; en serrure,ouvrage ; de serrurerie ; fer,
fer ; en scie,fer ; en scie,
fer ; en rechaux,fer ; en rechaux,
fer ; en rampe,fer ; en rampe,
fer ; en pot,fer ; en poterie,
fer ; en potin,,
fer ; en poterie,fer ; en poterie,
fer ; en poêlon,,
fer ; en poids,fer ; en poids,
fer ; en poêle,,
fer ; en plature,fer ; en plature,
fer ; en platine,fer ; en platine,
fer ; en plateau ; verni,,
fer ; en plate,fer ; en plate,
fer ; en plançon,fer ; en plançon,
fer ; en pivot,fer ; en pivot,
fer ; en pierrier,fer ; en pierrier,
fer ; en poêle à frire,fer ; en poêle à frire,
fer ; en pelle,fer ; en pelle,
fer ; en pellerie,,
fer ; en paquet,fer ; en paquet,
fer ; en palme,fer ; en palme,
fer ; en outil,outil ; en fer,
fer ; en mittière,,
fer ; en mitraille,fer ; en mitraille,
fer ; en mine,fer ; en mine,
fer ; en masse,fer ; en masse,
fer ; en laiton,,
fer ; en lèchefrite,fer ; en lèchefrite,
fer ; en limaille,fer ; en limaille,
fer ; en lame,fer ; en lame,
fer ; en laine,,
fer ; en grillage,fer ; en grillage,
fer ; en grillon,fer ; en grillon,
fer ; en grille,fer ; en grille,
fer ; en grenaille,fer ; en grenaille,
fer ; en gratte,fer ; en gratte,
fer ; en grappin,fer ; en grappin,
fer ; en fourneau,,
fer ; en fonte,,
fer ; en fleur,,
fer ; en fléau,fer ; en fléau,
fer ; en figure,fer ; en figure,
fer ; en ferrement,,
fer ; en ferraille,ferraille,
fer ; en fafion,fer ; en fafion,
fer ; en étuve,,
fer ; en étrille,fer ; en étrille,
fer ; en étau,fer ; en étau,
fer ; en estoc,,
fer ; en essieu,fer ; en essieu,
fer ; en enclume et étau,ouvrage ; de fer ; enclume et étau,
fer ; en enclume,ouvrage ; de fer ; enclume,
fer ; en écope,fer ; en écope,
fer ; en culture,fer ; en culture,
fer ; en cuillère,cuillère ; de fer,
fer ; en crochet,,
fer ; en crapaudine,fer ; en crapaudine,
fer ; en couvercle,fer ; en couvercle,
fer ; en coule,,
fer ; en compas,fer ; en compas,
fer ; en coffre,fer ; en coffre,
fer ; en cloche,fer ; en cloche,
fer ; en chou,fer ; en chou,
fer ; en chaudronnerie,fer ; en chaudronnerie,
fer ; en chape,fer ; en chape,
fer ; en chaudière,fer ; en chaudière,
fer ; en chaîne,,
fer ; en casse,fer ; en casse,
fer ; en carillon,ouvrage ; de fer ; carillon,
fer ; en canon,canon ; de fer,
fer ; en cadenas,,
fer ; en brancard ; de balance,,
fer ; en brancard,fer ; en brancard,
fer ; en boue,fer ; en boue,
fer ; en botte,fer ; en botte,
fer ; en bombe,fer ; en bombe,
fer ; en boite,fer ; en boite,
fer ; en bocage,fer ; en bocage,
fer ; en blanc,,
fer ; en bâton,,
fer ; en bassin,fer ; en bassin,
fer ; en baril,,
fer ; en barre ; écru,fer ; en barre,
fer ; en barre et verge,fer ; en barre et verge,
fer ; en bande,fer ; en bande,
fer ; en ballon,fer ; en ballon,
fer ; en balance,fer ; en balance,
armure ; de fer,armure ; de fer,
fer ; en ancre,ouvrage ; de fer ; ancre,
fer ; en Guéné,fer ; en Guéné,
fer ; en gueuse,fer ; en gueuse,
fer ; en cierge,fer ; en cierge,
fer ; en ?,fer ; en ?,
fer ; en,fer ; en ?,
fer ; de voyage,,
fer ; de tête,fer ; de tête,
fer ; de Sibérie,,
fer ; de fonte,fer ; de fonte,
fer ; de lin Cierge,fer ; de lin Cierge,
fer ; de fonte ; ouvré,fer ; de fonte ; ouvré,
fer ; cuillère,cuillère ; de fer,
fer ; courbe,fer ; courbe,
fer ; coulé,,
fer ; caverge,fer ; caverge,
fer ; bleu,,
ferblanterie,ferblanterie,
fer ; blanc simple ; de 450 feuille,,
fer ; blanc ; vieux,fer ; blanc ; vieux,
fer ; blanc ; simple ; de 450 feuille,,
fer ; blanc ; simple,fer ; blanc simple,
fer ; blanc ; par baril de 600 feuille,,
fer ; blanc ; par baril de 450 feuille,,
fer ; blanc ; par 600 feuille,,
fer ; blanc ; par 450 feuille,,
fer ; blanc ; ouvré,ouvrage ; de fer ; blanc,
fer ; blanc ; en tôle,fer ; blanc en tôle,
fer ; blanc ; en feuille,fer ; blanc ; en feuille,
fer ; blanc ; en barre,fer ; blanc ; en barre,
fer ; blanc ; double; de 450 feuille,,
fer ; blanc ; double,,
fer ; blanc ; de 600 feuille,,
fer ; battu et fondu,fer ; battu et fondu,
fer ; battu ; en poêle à frire,poêle ; de fer,
fer ; à poêle à frire,,
fer ; à nègre,ouvrage ; de fer ; à nègre,
fer ; vieux,fer ; vieux,
ouvrage ; de fer en fonte,ouvrage ; de fer en fonte,
ouvrage ; de fer ; divers,ouvrage ; de fer,
ouvrage ; de fer,ouvrage ; de fer,
fer ; noir,fer ; noir,
fer ; maqua,fer ; maqua,
ouvrage ; de fer ; fonte,ouvrage ; de fer ; fonte,
fer ; en marmite,fer ; en marmite,
fer ; en feuillard,fer ; en feuillard,
fer ; en batterie,fer ; en batterie,
fer ; en tôle,fer ; en tôle,
fer ; divers,fer,
fer ; de fonte ou coulé,fer ; de fonte,
fer ; blanc,fer ; blanc,
fer ; battu,fer ; battu,
fer ; en plaque,fer ; en plaque,
fer ; en feuille,fer ; en feuille,
fer,fer,
fenugrec,fenugrec,
fenouil,fenouil,
fer ; en barre,fer ; en barre,
feuillard,feuillard,
fer ; en truffe,fer ; en truffe,
"faïence, poterie et verrerie","faïence, poterie et verrerie",
"faïence, poterie ; de grès et de terre","faïence, poterie ; de grès et de terre",
faytiers,,
fayotte,fayotte,
faïence ; de Rouen,faïence ; de Rouen,
faïence ; pour jardin,,
faïence ; en vase,,
faïence ; en carreau,faïence ; en carreau,
faïence ; pour cheminée,,
faïence ; en vase ; de jardin,,
faïence ; en vaisselle,,
faïence ; diverse,faïence ; diverse,
faïence ; commune,faïence ; commune,
faïence,faïence,
faux et faucille,faux et faucille,
fauteuil et chaise ; de canne,,
fauteuil ; de tapisserie,fauteuil de tapisserie,
fauteuil ; de jonc,,
fauteuil ; de cuir de Russie,,
fauteuil ; de canne,,
fauteuil ; de bois,,
fauteuils et chaise ; de canne,,
fauteuil ; de tapisserie ; petit point,,
fauteuil ; en jonc,,
fauteuil de tapisserie,fauteuil de tapisserie,
faute,faute,
fautas,fautas,
FAUX,,
faux ; à faucher,faux ; à faucher,
faucon,faucon,
faucille,faucille,
fasoche,fasoche,
"farine, gruau, biscuit et pâte","farine, gruau, biscuit et pâte",
fine et biscuit,fine et biscuit,
"farine, gruau et biscuit","farine, gruau et biscuit",
"farine, gruau et pâte","farine, gruau et pâte",
"farine, biscuit et pâte","farine, biscuit et pâte",
"farine, biscuit de mer et pâte d'Italie","farine, biscuit de mer et pâte d'Italie",
"farine, biscuit de mer et pâte","farine, biscuit et pâte",
"farine, pâte et vermicelle","farine, pâte et vermicelle",
farine et pâte ; d'Italie,farine et pâte ; d'Italie,
farine et biscuit de mer,farine et biscuit de mer,
farine ; en tonneau,farine ; en tonneau,
farine ; en sac,farine ; en sac,
fraine ; de blé ; noir,,
farine ; de Mayoc,,
farine ; en gruau,farine ; en gruau,
farine ; en fleure,farine ; en fleure,
farine ; en déchet,farine ; en déchet,
farine ; diverse,farine ; diverse,
farine ; de seigle,farine ; de grain ; seigle,
farine ; de froment ; fleur,farine ; de grain ; froment ; fleur,
farine ; de froment,farine ; de grain ; froment,
farine ; de fleur,farine ; de fleur,
farine ; de bouquette,farine ; de bouquette,
farine ; de blé,farine ; de grain ; blé,
farine ; d'orge et gruau,farine et gruau ; d'orge,
farine ; d'orge,farine ; d'orge,
farine ; d'avoine,farine ; d'avoine,
farine ; ordinaire,farine ; ordinaire,
farine ; dite gruau,farine ; en gruau,
farine ; de sarrasin,farine ; de grain ; sarrasin,
farine,farine,
farce a drapier,farce a drapier,
fanon ; de baleine,fanon ; de baleine,
fanon,fanon,
fange ; de soie,fange ; de soie,
fanal de vaisseau,fanal de vaisseau,
fanal ; de verre,fanal ; de verre,
fanaile,fanaile,
falquiere de mulet,falquiere de mulet,
faisan,faisan,
faïence et poterie,faïence et poterie,
flacon ; de crème,flacon ; de crème,
fil ; de Rennes,fil ; de Rennes,
extrait ; de citron,extrait ; de citron,
extrait ; d'odaw,extrait ; d'odaw,
extrait ; de quinquina,drogue ; médicinale ; quinquina ; extrait,
extrait ; de lavande,extrait ; de lavande,
extrait ; de genièvre,extrait ; de genièvre,
évier,évier,
éventail ; à bâton d'ivoire,éventail ; d'ivoire,
éventail ; à brin d'ivoire et écaille,,
éventail ; taffetas,,
éventail ; par douzaine,,
"éventail ; garni ; en ivoire, nacre et écaille",,
éventail ; fin ; d'ivoire,,
éventail ; en taffetas,,
éventail ; de palme,éventail ; de palme,
éventail ; de nacre ivoire et écaille,,
éventail ; de la fetas,,
éventail ; d'or,,
éventail ; de nacre de perle ; incrusté d'or,,
éventail ; d'ivoire ; fin,,
éventail ; sur écaille,,
éventail ; à brin d'os ; avec écaille,,
éventail ; fin,éventail ; fin,
"éventail ; en ivoire, nacre et écaille",,
éventail ; de taffetas,,
"éventail ; d'ivoire, nacre et écaille","éventail ; d'ivoire, nacre et écaille",
éventail ; commun,,
éventail,éventail,
éventail ; d'ivoire,,
euphorbe,euphorbe,
étui ; d'or,,
étuve ; de fer,étuve ; de fer,
étuve ; commune,étuve ; commune,
étuve,étuve,
étui ; pour plume à écrire,étui ; pour plume à écrire,
étui ; de chapeau,,
étui ; à cure dent,,
étui ; à cachet,,
étui ; de ciseau ; garni d'argent,,
étui ; de chirurgie,,
étui,étui,
étui à lunette,,
étrier,étrier,
étoupe ; à calfeutrer,étoupe ; à calfeutrer,
étoupe ; noir,,
étoupe ; de soie,étoupe ; de soie,
étoupe ; de chanvre,étoupe ; de chanvre,
étoffe ; riche,étoffe ; riche,
étoffe ; or ; et argent,,
étoffe ; diverses ; couverture et draperie pour le gouvernement,,
étoffe ; diverse ; des Indes,étoffe ; diverse ; des Indes,
étoffe ; étrangère ; de jute,étoffe ; étrangère ; de jute,
étoffe ; mêlée ; éternelle ; au ? de soie,étoffe ; mêlée ; éternelle ; au ? de soie,
étoffe ; voile,étoffe ; voile,
étoffe ; serge ; de laine,drap ; serge,
étoffe ; de poil ; velours,étoffe ; de poil ; velours,
étoffe ; de poil ; panne ; à long poil,étoffe ; de poil ; panne,
étoffe ; mêlée ; de soie,étoffe ; mêlée ; de soie,
étoffe ; mêlée,étoffe ; mêlée,
étoffe ; mêlée ; serge et laine ; satin ; turc,drap ; serge et satin ; turc,
étoffe ; mêlée ; serge et laine ; large,drap ; serge ; large,
étoffe ; mêlée ; serge et laine ; en prunelle ; étroite,étoffe ; mêlée ; serge et laine ; en prunelle ; étroite,
étoffe ; mêlée ; fil et soie,étoffe ; mêlée ; fil et soie,
étoffe ; mêlée ; diverse,étoffe ; mêlée,
étoffe ; mêlée de soie ; éternelle,étoffe ; mêlée de soie ; éternelle,
étoffe ; mêlée de soie ; galet et soie,étoffe ; mêlée de soie ; galet et soie,
étoffe ; mêlée ; de Bours ; en molleton,étoffe ; mêlée ; de bourre ; en molleton,
étoffe ; mêlée ; de Bours ; de soie,étoffe ; mêlée ; de bourre ; de soie,
étoffe ; mêlée de soie ; au ?,étoffe ; mêlée de soie,
étoffe ; mêlée de soie ; au 6e ; siamoise,toile ; de fil de coton ; siamoise,
étoffe ; mêlée de soie ; au 1/3,étoffe ; mêlée de soie ; au 1/3,
étoffe ; filoselle,,
étoffe ; fil et laine,étoffe ; fil et laine,
étoffe ; fil et coton ; siamois ; broché,étoffe ; fil et coton ; siamois ; broché,
étoffe ; de soie et laine ; prunelle,étoffe ; de soie et laine ; prunelle,
étoffe ; de soie et coton ; des Indes,étoffe ; de soie et coton ; des Indes,
étoffe ; de soie ; et ?,étoffe ; de soie,
étoffe ; de soie ; riche,étoffe ; de soie ; riche,
étoffe ; de soie ; étrangère,étoffe ; de soie ; étrangère,
étoffe ; de soie ; d'or et d'argent,étoffe ; de soie ; d'or et d'argent,
étoffe ; de soie ; en drap,étoffe ; de soie ; en drap,
étoffe ; de soie ; crue,étoffe ; de soie ; crue,
étoffe ; de soie ; brodée,etoffe ; de soie ; brodée,
étoffe ; de soie ; bourre du Levant,,
étoffe ; de soie et dorure,étoffe ; de soie et dorure,
étoffe ; de poil et laine ; velours ; d'Utrecht,étoffe ; de poil et laine ; velours ; d'Utrecht,
étoffe ; de poil et laine ; velours,étoffe ; de poil et laine ; velours,
étoffe ; de poil et laine ; en ?,étoffe ; de laine et poil,
étoffe ; de poil et fil,étoffe ; de poil et fil,
étoffe ; de poil ; panne ; longue,étoffe ; de poil ; panne,
étoffe ; de laine ; à la valeur,étoffe ; de laine ; à la valeur,
étoffe ; de laine ; verlastine,étoffe ; de laine ; verlastine,
étoffe ; de laine ; velverde,étoffe ; de laine ; velverde,
étoffe ; de laine ; tanier,étoffe ; de laine ; tanier,
étoffe ; de laine ; slin,étoffe ; de laine ; slin,
étoffe ; de laine ; sigle ; vis,étoffe ; de laine ; sigle ; vis,
étoffe ; de laine ; serge ; sagati,étoffe ; serge ; sagati,
étoffe ; de laine ; serge ; large,étoffe ; serge ; large,
étoffe ; de laine ; serge ; forte,étoffe ; serge ; forte,
étoffe ; de laine ; serge ; étroite,étoffe ; serge ; étroite,
étoffe ; de laine ; serge ; de Rouen,étoffe ; serge ; de Rouen,
étoffe ; de laine ; serge ; de Rome,étoffe ; serge ; de Rome,
étoffe ; de laine; satinette,étoffe ; de laine; satinette,
étoffe ; de laine ; satin et serge,étoffe ; satin et serge,
étoffe ; de laine ; satin ; de Roubaix,étoffe ; de laine ; satin ; de Roubaix,
étoffe ; de laine ; satin ; Turc,étoffe ; de laine ; satin ; Turc,
étoffe ; de laine ; sagati,étoffe ; de laine ; sagati,
étoffe ; de laine ; russel,étoffe ; de laine ; russel,
étoffe ; de laine ; reste,étoffe ; de laine ; reste,
étoffe ; de laine ; prunelle ; étroite,étoffe ; de laine ; prunelle,
étoffe ; de laine ; prunelle ; raz ; de castor,étoffe ; de laine ; prunelle ; raz ; de castor,
étoffe ; de laine ; prunelle ; burail,étoffe ; de laine ; prunelle,
étoffe ; de laine ; pinchinal,étoffe ; de laine ; pinchinal,
étoffe ; de laine ; perpetuanne,étoffe ; de laine ; perpetuanne,
étoffe ; de laine ; passepoil,étoffe ; de laine ; passepoil,
étoffe ; de laine ; panne et peluche,étoffe ; de laine ; panne et peluche,
étoffe ; de laine ; lerfage,étoffe ; de laine ; lerfage,
étoffe ; de laine ; lampareille,étoffe ; de laine ; lampareille,
étoffe ; de laine ; impériale,étoffe ; de laine ; impériale,
étoffe ; de laine ; futaine,étoffe ; de laine ; futaine,
étoffe ; de laine ; frisette,étoffe ; de laine ; frisette,
étoffe ; de laine ; frisade,étoffe ; de laine ; frisade,
étoffe ; de laine ; florentine,étoffe ; de laine ; florentine,
étoffe ; de laine ; flanelle,étoffe ; de laine ; flanelle,
étoffe ; de laine ; étamine ; burail,étoffe ; étamine ; burail,
