marchandises_simplifiees,marchandises_tres_simplifiees,sitc_rev1,sitc_rev2,classificationproduitsmdicinaux,remarques_marchandises,wallislist,exclusion_not_medical_primarily,nom_wallis,large,narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,commestibles_eur_grainsetsubstit,grains_ou_farine,categories_de_grains,v9,source_bdc,nbr_bdc_marchandises_simplifiees
huile ; d'Harlem,,,,,,,,,,,,,,,,,,,,,1,1
huile ; d'absinthe,huile,4,4,0,,0,,,0,0,,,0,,,,0,0,0,,1,1
huile ; d'amande,huile,4,4,1,"Savary, volume 1, 1748 : « mais l'huile d'amende douce tirée sans feu, est employée à bien des usages différents, soit dans la Médecine, soit chez les parfumeurs […] les maux d'oreilles ».",1,0,Ol Almonds,1,0,,,2,,,,0,0,0,,1,38
huile ; d'amande douce,huile,4,4,1,"Savary, volume 1, 1748 : « mais l'huile d'amende douce tirée sans feu, est employée à bien des usages différents, soit dans la Médecine, soit chez les parfumeurs […] les maux d'oreilles ».",1,0,Ol Almonds,0,1,4,4,14,,,,0,0,0,,1,4
huile ; d'ambre,huile,4,4,0,,0,,,0,0,,,3,,,,0,0,0,,1,9
huile ; d'anis,huile,4,4,0,,0,,,0,0,,,17,,,,0,0,0,,1,18
huile ; d'aspic,huile,4,4,1,"Savary, volume 1, 1748 : « Plante […] L'huile d'aspic dont les peintres, les maréchaux & ouvriers se servent, & qui est de quelque usage en médecine entrant dans plusieurs compositions galéniques. »",0,,,1,0,,,34,,,,0,0,0,,1,20
huile ; d'etaim,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; d'oeillette et de pavot,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
"huile ; d'oeillette, de pavot et de noix",,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; d'olive,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1772
huile ; d'olive ; blanc ; de Gênes,,,,,,,,,,,,,,,,,,,,,1,1
huile ; d'olive ; commune,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; d'olive ; fine,,4,4,0,,,,,0,0,,,,,,,0,0,0,,0,0
huile ; d'olive ; importée en grande partie à Marseille,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; d'olive ; pour fabrique,huile,4,4,0,,0,,,0,0,,,10,,,,0,0,0,,0,0
huile ; d'ours,,4,4,1,"Savary, volume 3, 1748 :  «les épicier-droguistes en vendent auss la graisse ou suif […] cet axonge est un souverain remède pour la guérison des humeurs froides & des rhumatismes ; l'on s'en sert pour la goute & on l'employe dans plusieurs comp",1,0,Adeps Ursi,0,1,,,,,,,0,0,0,,1,1
huile ; d'élite dite keurolie,,,,,,,,,,,,,,,,,,,,,1,1
huile ; de Lisbonne,,,,,,,,,,,,,,,,,,,,,1,1
huile ; de Rhodes,huile,4,4,1,Cf. P.H.Wallis,1,0,Ol Rhodium,0,1,,,5,,,,0,0,0,,0,0
huile ; de Salmus,huile,4,4,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
huile ; de baleine,huile,4,4,0,Blanc de baleine : Le blanc de baleine ou spermaceti est une substance blanche présente dans la tête de certains cétacés comme le cachalot ou l'hyperoodon.,1,0,Spermaceti Course Oily,0,0,,,24,Huile ; de baleine,Huile ; de baleine,,0,0,0,,1,53
huile ; de baume,,4,4,1,,0,,,1,0,,,,,,,0,0,0,,1,1
huile ; de betterave,,,,,,,,,,,,,,,,,,,,,1,1
huile ; de caboüanne,huile,4,4,0,,0,,,0,0,,,3,,,,0,0,0,,1,1
huile ; de cacao,huile,4,4,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
huile ; de cannelle,huile,4,4,1,Wallis List,1,0,Ol Cinamon,0,1,,,11,,,,0,0,0,,1,13
huile ; de carabe,huile,4,4,1,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,0,Carrabe,1,0,,,4,,,,0,0,0,,1,5
huile ; de carde,huile,4,4,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
huile ; de chanvre,,4,4,0,,0,,,0,0,,,3,,,,0,0,0,,1,8
huile ; de chimie,,5,5,1,Wallis list,1,0,Ol Chemical,1,0,,,,,,,0,0,0,,1,1
huile ; de colza,,,,,,,,,,,,,,,,,,,,,1,1
huile ; de copahu,huile,4,4,1,"Savary, volume 1, 1748 : « On tire du Benjoin des fleurs blanches propres pour les asthmatiques ; et une huile, qui est une espèce de baume pour les plaies. » + purgatif. Utilisé également en teinture",1,0,Balsam Capivia,0,1,,,7,,,,0,0,0,,1,18
huile ; de corne de cerf,,4,4,1,"Savary, volume 2, 1723 : CERF « Un esprit, un sel, une huile & un espèce de spode ou cendre propres à la médecine.  »",1,,,0,1,,,,,,,0,0,0,,1,2
huile ; de crabette,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de cumin,huile,4,4,1,"CARVI ou CUMIN : Savary, volume 2, 1748 : « Est d'usage dans la médecine où elle est employée avec succès dans le vertige, dans les coliques venteuses, et dans les enflures de bas ventre, que l'on nomme Hydropisie Tympanique. On l'estime encore",1,0,Ol Carui,0,1,,,0,,,,0,0,0,,1,1
huile ; de dégras,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de faine et de noix,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de farde,huile,4,4,0,,0,,,0,0,,,0,,,,0,0,0,,1,1
huile ; de flanelle,huile,4,4,0,,0,,,0,0,,,0,,,,0,0,0,,1,1
huile ; de gayac,huile,4,4,1,"Pierre Hubert Nysten, Isidore Bricheteau, Ossian Henry, Joseph Briand, Dictionnaire de médecin, de chirurgie, de pharmacie, des sciences accessoires et de l'art vétérinaire, 8ème édition, 1840 : «GAYAC, ou GAÏAC ou GUAJACUM OFFICINALE est un ar",0,,,0,1,,,0,,,,0,0,0,,1,1
huile ; de genièvre,huile,4,4,1,Cf. P.H.Wallis,1,0,Ol Juniper,0,1,,,25,,,,0,0,0,,1,8
huile ; de girofle,huile,4,4,1,"Savary, volume 2, 1723 : « L'huile de girofle se tire par distilation. […] On s'en sert en Médecine et on la croit souveraine pour les maux de tête mais surtout elle est d'un grand usage en parfumerie  »",1,0,Ol Cloves,0,1,,,4,,,,0,0,0,,1,1
huile ; de graine,huile,4,4,0,,0,,,0,0,,,115,,,,0,0,0,,1,383
huile ; de graine ; de navette,huile,4,4,0,,0,,,0,0,,,0,,,,0,0,0,,1,1
huile ; de graine ; ordinaire,,4,4,0,,,,,0,0,,,,,,,0,0,0,,0,0
huile ; de graine de navette et de chanvre,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,2
huile ; de graine et de noix,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de graine et noix,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,6
huile ; de graisse,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,2
huile ; de graisse ; de poisson,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de gras ; pour tanneur,,,,,,,,,,,,,,,,,,,,,1,2
huile ; de hareng,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de jasmin,huile,4,4,1,Cf. P.H.Wallis,1,0,Ol Jessamin,0,1,,,2,,,,0,0,0,,1,5
huile ; de jayet,huile,4,4,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
huile ; de laurier,huile,4,4,1,Cf. P.H.Wallis,1,0,Ol Bay,0,1,4,4,6,,,,0,0,0,,1,60
huile ; de lavande,huile,4,4,1,Wallis List,1,0,Ol Spike,1,0,4,4,7,,,,0,0,0,,1,3
huile ; de lin,huile,4,4,0,,0,,,0,0,,,55,,,,0,0,0,,1,90
huile ; de loup marin,huile,4,4,0,,0,,,0,0,,,1,,,,0,0,0,,0,0
huile ; de maïs,,4,4,0,,0,,,0,0,,,,,,,0,0,0,,1,1
huile ; de morue,,4,4,0,,0,,,0,0,,,6,,,,0,0,0,,1,23
huile ; de muscade,huile,4,4,1,Cf. P.H.Wallis : food,1,1,Nutmegs Condited,1,0,,,1,,,,0,0,0,,1,15
huile ; de navette,huile,4,4,0,,0,,,0,0,,,26,,,,0,0,0,,0,0
huile ; de nitriol,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,3
huile ; de noix,huile,4,4,1,"Wallis List: 1725 Rate Book has Nucis Muscatae liquidum. ECCO: A precise form is drug in 1792 Customs and Excise. discussed in Monro, Donald. A treatise on medical and pharmaceutical chymistry, 1788. Unclear what nut is referred to and may be a",1,1,Ol Nucis,1,0,,,19,,,,0,0,0,,1,112
huile ; de palme,huile,4,4,1,Wallis List,1,1,Ol Palm,1,0,,,0,,,,0,0,0,,1,9
huile ; de parfum,huile,5,5,0,,0,,,0,0,,,2,,,,0,0,0,,1,3
huile ; de pierre,,,,,,,,,,,,,,,,,,,,,1,1
huile ; de pin,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de plante,huile,4,4,0,,0,,,0,0,,,13,,,,0,0,0,,1,1
huile ; de poil cru,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de poisson,huile,4,4,0,,0,,,0,0,,,81,,Huile ; de baleine,,0,0,0,,1,982
huile ; de poisson et de lin,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de poisson et poix,,,,,,,,,,,,,,,,,,,,,1,1
huile ; de poix,,,,,,,,,,,,,,,,,,,,,1,1
huile ; de rabelle,huile,4,4,0,,0,,,0,0,,,0,,,,0,0,0,,1,55
huile ; de rave,,4,4,0,,,,,0,0,,,,,,,0,0,0,,0,0
huile ; de rhue,huile,4,4,1,"Pierre Joseph Buchoz, Dictionnaire universel des plantes, arbres et arbustes de la France, Volume 3, 1770",0,,,0,1,,,6,,,,0,0,0,,1,1
huile ; de rose,huile,4,4,0,,0,,,0,0,,,4,,,,0,0,0,,1,2
huile ; de saxafrax,huile,4,4,1,"David de Planis Campy, médecin du roi, Les Oeuvres de David de Planis Campy , 1646 : « [L'effet] de Saxafrax est singulier aux obstruction, pour corroborer & fortifier les parties internes, contre les sueures tierces, il est très propre aux mal",1,0,Ol Sassafras,0,1,,,5,,,,0,0,0,,1,1
huile ; de scorpion,huile,4,4,1,"Savary, volume 3, 1748 : Contre-poison aux piqures",1,0,Ol Scorpions,0,1,,,12,,,,0,0,0,,1,2
huile ; de semence,,,,,,,,,,,,,,,,,,,,,1,1
huile ; de senteur,huile,4,4,0,"Wallis List: All 'other Perfum'd Oils, not otherwise rated' are given the ol jessamin rate in the 1725 rate book",1,0,Ol perfumed,0,0,,,8,,,,0,0,0,,1,15
huile ; de soldat,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1
huile ; de souffre,huile,4,4,1,"Savary, volume 3, 1748 :  « On tire du souffre par les opérations chimiques, des huiles, des esprits, des sels, des laits & des baumes dont on peut voir les manières dans la pharmacopée ou dans l'Histoire Générale des Drogues du Sieur Pomer »",1,0,Sulphur Vivum,0,1,,,0,,,,0,0,0,,1,2
huile ; de spermaceti,,4,4,0,,1,0,Spermaceti Course Oily,0,0,,,20,,,,0,0,0,,1,3
huile ; de storax,,4,4,1,"Savary, volume 3, 1748 : « Gomme rétineuse et odorante qui vient d'Arabie et de Syrie par la voie de Marseille. Il y a de trois sortes de Storax ; le Storax rouge, le Calamite et le Liquide. […] Le storax rouge est de quelque usage dans la méde",1,0,Storex Liquida,0,1,,,1,,,,0,0,0,,1,4
huile ; de tamarin,huile,4,4,1,"Savary, volume 3, 1748 « Espèce de fruit médicinal et purgatif, d'un goût aigret et assez agréable ». Peut servir dans la confection de baumes (Dictionnaire classique des sciences naturelles, Drapiez)",1,0,Tamarindes,0,1,,,9,,,,0,0,0,,1,2
huile ; de térébenthine,,4,4,1,"Savary, volume 3, 1748 :  « Gomme ou résine qui coule des arbres […] cette liqueur est un excellent baume naturel et grand stomachique, & un bon remède à pousser les urines ». Utilisé également pour la teinture",1,0,Ol Terbinthinae,0,1,,,,,,,0,0,0,,0,0
huile ; de verre,,,,,,,,,,,,,,,,,,,,,1,1
huile ; de vialle,huile,4,4,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
huile ; de vitriol,,4,4,1,"Savary, volume 3, 1748 : « Espèce de sel solide ou de minéral qui se trouve dans les mines de cuivre. […] Il faut pourtant convenir que cette poudre bien composé est excellente pour guérir les plaies et arrêter le sang, pourvu que ce soit par a",1,1,Ol Vitriol,1,0,,,,,,,0,0,0,,0,0
huile ; diverse,huile,4,4,0,,0,,,0,0,,,4,Huile ; d'olive ; blanc ; de Gènes,Huile ; d'olive ; blanc ; de Gènes,,0,0,0,,1,26
huile ; fine,,4,4,0,,0,,,0,0,,,2,,,,0,0,0,,1,1
huile ; médicinale,,,,,,,,,,,,,,,,,,,,,1,1
huile ; pétrole,pétrole,3,3,1,Cf. P.H.Wallis,1,0,Ol Petroleum,1,0,,,57,,,,0,0,0,,1,8
huile ; stale,,4,4,0,,0,,,0,0,,,,,,,0,0,0,,1,1
huile ; succin,huile,4,4,1,Autre nom pour AMBRE JAUNE ou KARABE (ambre jaune vieilli),1,0,Carrabe,1,0,,,7,,,,0,0,0,,1,3
huile ; à brûler,huile,4,4,0,,0,,,0,0,,,9,,,,0,0,0,,1,27
huile et acide vitriolique,,4,4,1,"Savary, volume 3, 1748 : « Espèce de sel solide ou de minéral qui se trouve dans les mines de cuivre. […] Il faut pourtant convenir que cette poudre bien composé est excellente pour guérir les plaies et arrêter le sang, pourvu que ce soit par a",1,1,Ol Vitriol,1,0,,,,,,,0,0,0,,1,29
huile et provision,,,,,,,,,,,,,,,,,,,,,1,1
huile et sirop,,,,,,,,,,,,,,,,,,,,,1,2
huitre ; à la daube ou marinée,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,1
hulie ; superfine,,4,4,0,,0,,,0,0,,,24,,,,0,0,0,,1,1
huître,huître,0,0a,0,,0,,,0,0,,,3,,,,0,0,0,,1,52
huître ; fraîche,huître,0,0a,0,,0,,,0,0,,,8,,,,0,0,0,,1,3
huître ; marinée,huître,0,0a,0,,0,,,0,0,,,7,,,,0,0,0,,0,0
huître ; verte,huître,0,0a,0,,0,,,0,0,,,2,,,,0,0,0,,1,5
huître ; à l'écaille,huître,0,0a,0,,0,,,0,0,,,214,,,,0,0,0,,1,19
huître ; à la daube,huître,0,0a,0,,0,,,0,0,,,81,,,,0,0,0,,1,10
hydromel,hydromel,1,1,0,,0,,,0,0,,,4,,,,0,0,0,,1,11
hypocristis,hypocristis,2,2,1,"Cf. P.H.Wallis  : Elle était connue sous le nom de sucs d'hypocistis, l'un des multiples constituants de la thériaque de la pharmacopée maritime occidentale au xviiie siècle.",1,0,Hypocistis,0,1,,,1,,,,0,0,0,,1,1
hôpitaux,hôpitaux,???,???,0,,0,,,0,0,,,7,,,,0,0,0,,1,2
hôpitaux ; de cuivre,hôpitaux ; de cuivre,???,???,0,,0,,,0,0,,,4,,,,0,0,0,,1,40
image,images,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,12
image ; de corne,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
image ; de papier,images,8,8,0,,0,,,0,0,,,12,,,,0,0,0,,1,36
"image ; de papier, estampe et carte géographique",,,,,,,,,,,,,,,,,,,,,1,1
image ; de parchemin,images,8,8,0,,0,,,0,0,,,102,,,,0,0,0,,1,11
image ; de parchemin de corne,,,,,,,,,,,,,,,,,,,,,1,1
image ; de vélin,images,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,5
image ; des îles,,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
image ; peinte,,8,8,0,,,,,0,0,,,,,,,0,0,0,,0,0
image et carte géographique,,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
image et dominoterie,,8,8,0,,0,,,0,0,,,4,,,,0,0,0,,1,6
impériale,,???,???,0,A la fois une serge et une monnaie,,,,0,0,,,,,,,0,0,0,,0,0
inde,indes,5,5,0,Couleur bleu foncé,0,,,0,0,,,29,,,,0,0,0,,1,5
indes ; fine,indes,5,5,0,"Inde : C'est encore une drogue propre à la teinture, qui est faite à partir des feuilles d'un arbrisseau nommé Indigo ou Anil. (Savary)",0,,,0,0,,,18,,,,0,0,0,,1,23
indes ; flottante,indes,5,5,0,"Inde : C'est encore une drogue propre à la teinture, qui est faite à partir des feuilles d'un arbrisseau nommé Indigo ou Anil. (Savary)",0,,,0,0,,,4,,,,0,0,0,,1,3
indes ; java,,5,5,0,,0,,,0,0,,,,,,,0,0,0,,1,1
indes ; plate,indes,5,5,0,"Inde : C'est encore une drogue propre à la teinture, qui est faite à partir des feuilles d'un arbrisseau nommé Indigo ou Anil. (Savary)",0,,,0,0,,,13,,,,0,0,0,,1,65
indienne,indienne,6,6d,0,,0,,,0,0,,,1,,,,0,0,0,,1,207
indienne ; bajutapeau,,6,6d,0,,0,,,0,0,,,3,,,,0,0,0,,0,0
indienne ; française,,6,6d,0,,,,,0,0,,,,,,,0,0,0,,1,1
indienne ; guinée,,6,6d,0,,0,,,0,0,,,36,,,,0,0,0,,1,1
indienne ; guinée ; blanc,,6,6d,0,,0,,,0,0,,,8,,,,0,0,0,,1,10
indienne ; guinée ; bleu,,6,6d,0,,0,,,0,0,,,15,,,,0,0,0,,0,0
indienne ; étrangère,,6,6d,0,,,,,0,0,,,,,,,0,0,0,,1,1
indigo,,5,5,0,,,,,0,0,,,,,,,0,0,0,,0,0
industrie ; divers,,???,???,0,,0,,,0,0,,,39,,,,0,0,0,,1,56
industrie étrangère ; divers,,???,???,0,,0,,,0,0,,,3,,,,0,0,0,,1,1
insecte,insectes,???,???,0,,0,,,0,0,,,12,,,,0,0,0,,1,4
instrument,,,,,,,,,,,,,,,,,,,,,1,56
instrument ; astronomie,,8,8,0,,0,,,0,0,,,3,,,,0,0,0,,1,3
instrument ; d'optique,,8,8,0,,0,,,0,0,,,33,,,,0,0,0,,1,12
instrument ; d'orfèvre,,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
instrument ; de chimie,,8,8,0,,0,,,0,0,,,2,,,,0,0,0,,1,3
instrument ; de chirurgie,,8,8,1,,1,0,Surgeon's Instruments,0,1,,,3,,,,0,0,0,,1,14
instrument ; de jardinage,,8,8,0,,0,,,0,0,,,5,,,,0,0,0,,1,1
instrument ; de marine,,8,8,0,,0,,,0,0,,,8,,,,0,0,0,,1,9
instrument ; de mathématique,,8,8,0,,0,,,0,0,,,6,,,,0,0,0,,0,0
"instrument ; de mathématique, chirurgie, etc.",,,,,,,,,,,,,,,,,,,,,1,1
instrument ; de musique,,8,8,0,,0,,,0,0,,,132,,,,0,0,0,,1,324
instrument ; de musique ; basse,,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,0,0
instrument ; de musique ; clavecin,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,3
instrument ; de musique ; de vessie,,8,8,0,,0,,,0,0,,,5,,,,0,0,0,,1,1
instrument ; de musique ; divers,,8,8,0,,,,,0,0,,,,,,,0,0,0,,0,0
instrument ; de musique ; flute,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,4
instrument ; de musique ; harpe,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
instrument ; de musique ; luth,instruments ; de musique,8,8,0,,0,,,0,0,,,2,,,,0,0,0,,1,4
instrument ; de musique ; violon,,8,8,0,,0,,,0,0,,,10,,,,0,0,0,,1,37
instrument ; de musique ; épinette,,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,3
instrument ; de musique et autre,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
instrument ; de mécanique,,8,8,0,,0,,,0,0,,,5,,,,0,0,0,,1,3
instrument ; de physique,,8,8,0,,0,,,0,0,,,32,,,,0,0,0,,1,19
instrument ; de pillotage,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
instrument ; de pilotage,,,,,,,,,,,,,,,,,,,,,1,2
instrument ; divers,,8,8,0,,,,,0,0,,,,,,,0,0,0,,0,0
instrument ; divers ; propre aux art libéraux,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
instrument ; pour les art et les science,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
instrument ; propre aux science,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
ipécacuana,,2,2,1,"Savary, volume 2, 1748 : IPECACUANHA « Racine qui vienne du Brésil, et qui est un souverain spécifique pour guérir les dysenteries. »",1,0,Hypocacuana,0,1,,,,,,,0,0,0,,0,0
iris,iris,5,5,0,,0,,,0,0,,,12,,,,0,0,0,,1,68
isaris,isaris,???,???,0,,0,,,0,0,,,37,,,,0,0,0,,1,2
ivoire,ivoire,2,2,0,,0,,,0,0,,,10,,,,0,0,0,,1,31
ivoire ; brut,,,,,,,,,,,,,,,,,,,,,1,1
ivoire ; brûlé,,,,,,,,,,,,,,,,,,,,,1,1
ivoire ; dent d'éléphant,ivoire,2,2,0,,0,,,0,0,,,12,,,,0,0,0,,1,19
ivoire ; divers,,2,2,0,,,,,0,0,,,,,,,0,0,0,,0,0
ivoire ; noir,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
ivoire ; ouvré,ivoire,2,2,0,,0,,,0,0,2,2,0,,,,0,0,0,,1,2
ivoire de Dieppe,,,,,,,,,,,,,,,,,,,,,1,1
jais,jais,2,2,0,,0,,,0,0,,,9,,,,0,0,0,,1,74
jais ; de chêne,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
"jais ; en dentelle, collier et bouton",,,,,,,,,,,,,,,,,,,,,1,1
jais ; ouvré,jais,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,0,0
jalap,,2,2,1,"Savary, volume 2, 1748 : « ou SOLANUM MEXICAMON. Racine très purgative qu'on apporte des Indes Occidentales & de l'Ile de Madère. […]  On tire du Jalap […] une résine liquide qu'on estime plus que le Jalap même »",1,0,Jalap,0,1,,,,,,,0,0,0,,1,153
jambon,jambon,0,0a,0,,0,,,0,0,,,5,,,,0,0,0,,1,547
jambon ; de Bayonne,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,1
janne,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
janne ; gros,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
jante,,,,,,,,,,,,,,,,,,,,,1,1
jante et rais,,,,,,,,,,,,,,,,,,,,,1,1
jardinage ; divers,,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
jardiére de laine,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
jarre,jarres,6,6,0,,0,,,0,0,,,8,,,,0,0,0,,1,48
jarre ; de terre,jarres ; de terre,6,6,0,,0,,,0,0,,,4,,,,0,0,0,,1,9
jarretière ; d'argent,jarretière,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
jarretière ; d'or et d'argent,jarretière,8,8,0,,0,,,0,0,,,2,,,,0,0,0,,1,1
jarretière ; de fil,jarretière,8,8,0,,0,,,0,0,,,8,,,,0,0,0,,1,2
jarretière ; de filoselle,jarretière,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
jarretière ; de fleuret,jarretière,8,8,0,,0,,,0,0,,,17,,,,0,0,0,,1,12
jarretière ; de laine,jarretière,8,8,0,,0,,,0,0,,,3,,,,0,0,0,,1,5
jarretière ; de soie,jarretière,8,8,0,,0,,,0,0,,,2,,,,0,0,0,,1,12
jarretière et ruban ; de laine,jarretière,8,8,0,,0,,,0,0,,,2,,,,0,0,0,,1,1
jaspe,jaspe,6,6,0,,0,,,0,0,,,,,,,0,0,0,,1,3
jaspe ; ouvré,jaspe,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,17
jaune ; commun,,,,,,,,,,,,,,,,,,,,,1,1
jaune ; de naples,jaune,5,5,0,,0,,,0,0,,,66,,,,0,0,0,,1,1
jaune ; doré,,,,,,,,,,,,,,,,,,,,,1,1
jaune ; paille,,,,,,,,,,,,,,,,,,,,,1,2
jaune ; royale,,,,,,,,,,,,,,,,,,,,,1,1
jet ; de bière,,,,,,,,,,,,,,,,,,,,,1,1
jet et lie ; de bière,,,,,,,,,,,,,,,,,,,,,1,1
jeton ; d'argent,,8,8,0,,0,,,0,0,,,,,,,0,0,0,,1,1
jeu ; de camagnolle,,,,,,,,,,,,,,,,,,,,,1,1
jeu ; de canne,jeux ; de cannes,7,7,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
jeu ; de moulin,jeux ; de moulin,7,7,0,,0,,,0,0,,,19,,,,0,0,0,,1,12
jeu ; de terre,jeux ; de terre,???,???,0,,0,,,0,0,,,4,,,,0,0,0,,1,1
jeu ; de voile,jeux ; de voiles,7,7,0,,0,,,0,0,,,46,,,,0,0,0,,1,38
jeu ; en cristal garni de cuivre,,,,,,,,,,,,,,,,,,,,,1,1
joaillerie,,8,8,0,,0,,,0,0,,,0,,,,0,0,0,,1,1
jolité ; en pinsbeck,,,,,,,,,,,,,,,,,,,,,1,1
jolité ; mêlée,,,,,,,,,,,,,,,,,,,,,1,1
jonc,jonc,2,2,0,,0,,,0,0,,,51,,,,0,0,0,,1,40
jonc ; commun,,,,,,,,,,,,,,,,,,,,,1,1
jonc ; des Indes,jonc,2,2,0,,0,,,0,0,,,,,,,0,0,0,,1,1
jonc ; entes,jonc,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,4
jonc ; ouvré,,,,,,,,,,,,,,,,,,,,,0,0
jonc ; ouvré en cabas,,,,,,,,,,,,,,,,,,,,,0,0
"jonc ; pour canne, bambou et rotin",,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
"jonc ; pour canne, bambou et ruban",,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
jonc ; rotin,jonc,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
jonc ; à couvrir les toit,,,,,,,,,,,,,,,,,,,,,1,3
jonc ; à faire des canne,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
jonc ; à faire des chaise,jonc,2,2,0,,0,,,0,0,,,145,,,,0,0,0,,1,37
jonc ; à faire des vertgadins,,,,,,,,,,,,,,,,,,,,,1,1
jonc ; à voile,jonc,2,2,0,,0,,,0,0,,,,,,,0,0,0,,1,5
jonc et paille travaillée,,,,,,,,,,,,,,,,,,,,,1,1
jonc et roseau,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,32
jonquine,jonquine,2,2,0,Autre forme du mot Jonquillle,0,,,0,0,,,1,,,,0,0,0,,1,9
jouet,,8,8,0,,0,,,0,0,,,7,,,,0,0,0,,1,15
jouet ; en bois,,,,,,,,,,,,,,,,,,,,,1,1
jude fin,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
juif qui payent le droit corporel à la sortie,,,,,,,,,,,,,,,,,,,,,1,1
juillienne,,???,???,0,Peut-être « julienne » le poisson,,,,0,0,,,,,,,0,0,0,,0,0
jujubes,jujubes,0,0a,1,"Wallis List : Le jujube est employé en décoction comme adoucissant. À la Réunion, le fruit sert à la préparation du rhum arrangé. Il fait partie, avec la datte, le raisin sec et la figue sèche, des quatre fruits pectoraux.",1,0,Jujubes,1,0,,,1,,,,0,0,0,,1,20
julienne,,,,,,,,,,,,,,,,,,,,,1,1
jupe,,,,,,,,,,,,,,,,,,,,,1,1
jupe ; de coton,,,,,,,,,,,,,,,,,,,,,1,1
jupe ; de molson,,8,8,0,,,,,0,0,,,,,,,0,0,0,,0,0
jupe ; de molton,,,,,,,,,,,,,,,,,,,,,1,1
jupe ; piqué,,,,,,,,,,,,,,,,,,,,,1,1
