marchandises_simplification,sitc18_rev3,imprimatur,status,beforeitems,afteritems,obsolete,urgent
manne ; de Calabre,2,,existing,,,yes,
manne ; fine,2,,existing,,,yes,
manne de Calabre,2,,ambiguous,,[Main de calabre] [Mane ; de Calabre] [Mane de Calabre] [Mane de calabre] [Manne ; de Calabre] [Manne ; de calabre] [Manne de Calabre] [Manne de calabre] [Marre de Calabre] [Mâne de Calabre] [Mâne de calabre] [mane de calabre] [manne de calabre],no,
manne fine,2,,ambiguous,,[Mane fine],no,
manne vide,,,new,,,no,
manouf,,,new,,,no,
manteau,8,,ambiguous,[Manteaux],[Manteaux] [Manteau],no,
manteau ; vieux,8,,existing,,,yes,
manteau court,,,new,,,yes,
manteau de fourrure d'agneau,,,new,,,yes,
manteau vieux,8,,ambiguous,,[Manteaux ; vieux],no,
mantelet,8,,ambiguous,[Mantelets] [Mautelet],[Mantelets] [Mautelet],no,
mantelet court,,,new,,,yes,
mantelet de soie,,,new,,,yes,
mantelets de drap écarlate,,,new,,,no,
mantes,,,new,,,no,
mantilles brodées d'or d'écarlate,,,new,,,no,
maquereau,0a,,ambiguous,[Maqueraux] [Maquereaux] [macquerEaux] [macqueraux] [macquereau] [maequerEaux],[Maqueraux] [Maquereaux] [macquerEaux] [macqueraux] [macquereau] [maequerEaux],no,
maquereau ; salé,0a,,existing,,,yes,
maquereau salé,0a,,ambiguous,,[Macqueraux Salés] [Macquereaux ; salés] [Macquereaux salés] [Maqueraux ; salés] [Maqueraux Salin] [Maqueraux Sallés] [Maqueraux salés] [Maquereaux ; salés] [Maquereaux salé] [Maquereaux salés] [Maquereaux; Sallé],no,
maquereaux,,,,,,no,
maquereaux frais,,,new,,,no,
maquereaux salés,,,,,,no,
maquet,???,,ambiguous,[Maquet] [Maquets] [maquet],[maguet],no,
maquets,???,,ambiguous,,[Maquet] [Maquets] [maquet] [maquets],no,
marbre,2,,ambiguous,[Marbre] [Marbres] [marbre],[Marbre] [Marbres] [marbre] [///Industrie étrangère///Marbres] [Marbre;] [///Industrie Etrangère///Marbres],no,
marbre ; à jouer,6,,existing,,,yes,
marbre ; brun,2,,existing,,,yes,
marbre ; brut,2,,existing,,,yes,
marbre ; divers,2,,existing,,,yes,
marbre ; en pierre,2,,existing,,,yes,
marbre ; en table,8,,existing,,,yes,
marbre ; ouvré,6,,existing,,,yes,
marbre ; ouvré ; à jouer,8,,existing,,,yes,
marbre ; ouvré ; en carreau,6,,existing,,,yes,
marbre ; ouvré ; en mortier,6,,existing,,,yes,
marbre ; ouvré ; en table,8,,existing,,,yes,
marbre ; rond,6,,existing,,,yes,
marbre à jouer,6,,ambiguous,,[Marbre ; à joüer] [Marbre a jouer] [Marbre a joüer] [Marbres a jouer] [Marbres a joüer] [marbre a jouër] [marbre à jouer],no,
marbre à marbrer couleurs,,,new,,,no,
marbre bâtard,,,new,,,no,
marbre blanc,,,new,,,yes,
marbre brun,2,,ambiguous,,[Marbre ; brun],no,
marbre brut,2,,ambiguous,,[Marbre ; Brut] [Marbre ; Brute] [Marbre ; brut] [Marbre brut] [marbre brut] [Marbre; Brut],no,
marbre brut en morceaux,,,new,,,no,
marbre brut et ouvré,,,new,,,no,
marbre divers,2,,ambiguous,,[Marbre ; Divers] [Marbre ; divers] [Marbre divers],no,
marbre en bloc,,,new,,,no,
marbre en pierre,2,,ambiguous,,[Marbre ; en pierres] [Marbre en pierres],no,
marbre en table,8,,ambiguous,,[Marbre en table] [Marbre en tables] [marbre en table] [marbre en tables] [marbre à table],no,
marbre mortiers,,,new,,,no,
marbre noir travaillé,,,new,,,yes,
marbre rond,6,,ambiguous,,[Marbre Rond],no,
marbre rouge et gris,,,new,,,yes,
marbre travaillé,,,new,,,no,
marc,6j,,ambiguous,[Mares],[Mares],no,1
marc d'olive,0a,,ambiguous,[Marc D'olive],[Marc D'olive] [Marc d'olive],no,
marc de raisin,0a,,ambiguous,[Mar ; de raisin] [Mar de raisin],[Mar ; de raisin] [Mar de raisin],no,
marc divers,6j,,ambiguous,,[Mares divers],no,1
marcassin,,,existing,,,yes,
marcassite,2,,ambiguous,[Marcacitte] [Marcassite] [Marcassites] [Marcassitte],[Marcacitte] [Marcassite] [Marcassites] [Marcassitte],no,
marchanderie,9b,,ambiguous,,[Marchanderie],yes,
marchandise,9b,,ambiguous,"[D'une valeur moindre de 2 000 Fr chacun] [D'une valeur moindre de 2 000 chacun] [D'une valeur moindre de 2 000 francs chacun] [D'une valeur moindre de 2,000 fr chacun] [D'une valeur moindre de 2,000 fr. chacun] [D'une valeur moindre de 2,000 francs chacun] [D'une valeur moindre de 2000 fr chacun] [D'une valeur moindre de 2000 francs chacun] [Marchanderie] [Marchandises] [Marchandises de détail] [Marchandises des magasins prussians royaux] [Divers marchandises] [Marchand. ; diverses] [Marchandises ; diverses] [Marchandises diverses] [marchandises diverses] [Marchandises ; diverses ; à la valeur] [Marchandises en tonneaux] [Marchand ; à l'estimation] [Marchand à l'estimation] [Marchand. ; à l'estimaon] [Marchand. ; à l'estimation] [Marchand.. ; à l'estimaon] [Marchandise estimation] [Marchandises ; a l'estimation] [Marchandises ; à l'estimation] [Marchandises a l'estimation] [Marchandises a lestimation] [Marchandises d'estimation] [Marchandises à l'estimation] [marchandises à l'estimation] [Marchandises ; à la valeur] [De peu de valeur]",[Marchandise estimation],no,
marchandise ; blanche,9b,,existing,,,yes,
marchandise ; blanche ; de la compagnie,9b,,existing,,,yes,
marchandise ; de la cote,9b,,existing,,,yes,
marchandise ; de mode,8,,existing,,,yes,
marchandise ; de Montauban,9b,,existing,,,yes,
marchandise ; de retour faute de vente ; contrebordée,9b,,existing,,,yes,
marchandise ; de retour faute de vente ; etain,2,,existing,,,yes,
marchandise ; de retour faute de vente ; platille,6d,,existing,,,yes,
marchandise ; de retour faute de vente ; satin,6f,,existing,,,yes,
marchandise ; des Indes,9b,,existing,,,yes,
marchandise ; des Indes ; aloës,9b,,existing,,,yes,
marchandise ; des Indes ; arack,1,,existing,,,yes,
marchandise ; des Indes ; diverse,9b,,existing,,,yes,
marchandise ; des Indes ; étoffe diverse des Indies,6g,,existing,,,yes,
marchandise ; des Indes ; mouchoir des Indes,8,,existing,,,yes,
marchandise ; des Indes ; mousseline,6g,,existing,,,yes,
marchandise ; des Indes ; poivre,0b,,existing,,,yes,
marchandise ; des Indes ; porcelaine,6k,,existing,,,yes,
marchandise ; des Indes ; thé,0b,,existing,,,yes,
marchandise ; des Indes ; toile des Indes ; caladarit,6g,,existing,,,yes,
marchandise ; des Indes ; toile des Indes ; diverse,6g,,existing,,,yes,
marchandise ; des Indes ; toile des Indes ; guinée,6g,,existing,,,yes,
marchandise ; des Indes ; toile des Indes ; guingamp,6g,,existing,,,yes,
marchandise ; des Indes ; toile des Indes ; nankin,6g,,existing,,,yes,
marchandise ; des Indes ; toile des Indes ; peinte de thille,6g,,existing,,,yes,
marchandise ; des prise,9b,,existing,,,yes,
marchandise ; diverse venant de l'étranger et à réexporter,9b,,existing,,,yes,
marchandise ; en fer ; blanc,6j,,existing,,,yes,
marchandise ; mêlée,9b,,existing,,,yes,
marchandise ; mêlée ; à la valeur,9b,,existing,,,yes,
marchandise ; prohibée,9b,,existing,,,yes,
marchandise ; provenant du commerce français dans l'Inde,9b,,existing,,,yes,
marchandise ; sèche,9b,,existing,,,yes,
marchandise blanche,9b,,ambiguous,,[Marchand ; blanches] [Marchand. ; blanches] [Marchand.. ; blanches] [Marchandises ; blanches] [Marchandises ; blanches (?)] [Marchandises blanches],no,
marchandise blanche de la compagnie,9b,,ambiguous,,[Marchandises blanches de la compagnie],no,
marchandise de la cote,9b,,ambiguous,,[Marchand ; de la cote] [Marchandises ; de la côte],no,
marchandise de mode,8,,ambiguous,,[Marchand ; de mode] [Marchand ; de modes] [Marchand. ; de modes] [Marchand. De mode] [Marchand.. ; de modes] [Marchandises ; de mode] [Marchandises ; de modes] [Marchandises de mode] [Marchandises de modes],no,
marchandise de Montauban,9b,,ambiguous,,[Marchand ; de montanban] [Marchand ; de montauban] [Marchand. ; de Montauban] [Marchand. De Montauban] [Marchandises ; de Montauban] [Marchandises ; à Montauban] [Marchandises de Montauban] [marchandises de Montauban] [Maarchandises de Montauban],no,
marchandise de retour faute de vente ( AMAC),9b,,ambiguous,[Marchandise de Retour Faute de Vente ( AMAC)],[Marchandise de Retour Faute de Vente ( AMAC)],yes,
marchandise de retour faute de vente contrebordée,,,new,,,no,
marchandise de retour faute de vente étain,6j,,new,,,yes,
marchandise de retour faute de vente platille,,,new,,,yes,
marchandise de retour faute de vente satin,,,new,,,yes,
marchandise des citoyen,,,new,,,yes,
marchandise des Indes,9b,,ambiguous,,[Marchandises ; de l'Indes] [Marchandises ; des Indes],no,
marchandise des Indes cannelle,0b,,new,,,no,
marchandise des Indes diverse,9b,,ambiguous,,[Marchandises des Indes ; diverses],no,
marchandise des Indes mouchoir des Indes,8,,ambiguous,,[Marchandises des Indes ; Mouchoirs des Indes],no,
marchandise des Indes mousseline,6g,,ambiguous,,[Marchandises des Indes ; Mousseline],no,
marchandise des Indes poivre,0b,,ambiguous,,[Marchandises des Indes ; Poivre],no,
marchandise des Indes porcelaine,6k,,ambiguous,,[Marchandises des Indes ; Porcelaine],no,
marchandise des Indes thé,0b,,ambiguous,,[Marchandises des Indes ; Thés],no,
marchandise des prise,9b,,ambiguous,,[Marchandises ; des prises],no,
marchandise diverse,,,existing,,,yes,
marchandise en fer,6j,,new,,,yes,
marchandise en fer blanc,6j,,ambiguous,,[Marche de fer blanches],yes,
marchandise en fer-blanc,,,,,,,
marchandise exportée par les port et pays du royaume traité comme étranger,9b,,ambiguous,[Marchandises exportées par les ports et pays du Royaume traités comme Etranger],[Marchandises exportées par les ports et pays du Royaume traités comme Etranger],no,
marchandise mêlée à la valeur,9b,,ambiguous,,[Marchandises ; mêlées ; à la valeur],no,
marchandise non classifiée,,,existing,,,yes,
marchandise prohibée,9b,,ambiguous,,[Probibé] [Prohibé],no,
marchandise sèche,9b,,ambiguous,,[Marchandises ; seches] [Marchandises sèches],no,
marchandises,9b,,ambiguous,,"[Marchand ; meslées] [Marchand melés] [Marchand meslées] [Marchand. ; meslées] [Marchand. Meslées] [Marchand.meslées] [Marchandise ; mêlées] [Marchandises ; ,melées] [Marchandises ; melées] [Marchandises ; meslées] [Marchandises ; mêlées] [Marchandises Meslée] [Marchandises mellées] [Marchandises mellés] [Marchandises melées] [Marchandises mesleer] [Marchandises mesleés] [Marchandises meslées] [Marchandises mélées] [Marchandises mêlléer] [Marchandises mêléer] [Marchandises mêlées] [Marchandises mêslées] [marchandises mellées] [marchandises mesleés] [marchandises meslées] [Marchandises] [Divers marchandises] [Marchand. ; diverses] [Marchandises ; diverses] [Marchandises diverses] [marchandises diverses] [Marchandises ; diverses ; à la valeur] [Marchandises d'estimation] [Marchandises mêlée] [Marchandises diverses à la valeur ; méslées] [Marchandises diverses mêlées comme chandelles, liqueurs, huile, savon, vin, etc] [marchandises melées] [marchandises mêlées] [marchandises] [Marchandise melée] [Marchandises diverses à la valeur ; Meslées] [marchandise melée] [Marchandise Mêlées] [Marchandise mêlée] [Marchandises diverses à la valeur] [Marchandises diverses mêlées] [Marchandises diverses ; mêlées en différents articles] [marchandises mélées] [marchandises ; melées] [Marchandise Mêléer] [Marchandises Meslées] [Marchandises mêllées] [Marchandies melées] [Marchandises diverses ; mêlées en une infinité d'articles]",no,
marchandises à l'estimation,9b,,ambiguous,,[Marchand ; à l'estimation] [Marchand à l'estimation] [Marchand. ; à l'estimaon] [Marchand. ; à l'estimation] [Marchand.. ; à l'estimaon] [Marchandises ; a l'estimation] [Marchandises ; à l'estimation] [Marchandises a l'estimation] [Marchandises a lestimation] [Marchandises à l'estimation] [marchandises à l'estimation] [marchandises a l'estimation],no,
marchandises à la valeur,9b,,ambiguous,,[Marchandises ; à la valeur] [Marchandise ; à la valeur] [Marchandises à la valeur],no,
marchandises aloès des Indes,,,new,,,no,
marchandises arak des Indes,,,new,,,no,
marchandises blanche,,,,,,no,
marchandises blanche de la compagnie,,,,,,no,
marchandises blanches de la Compagnie des Indes,,,new,,,no,
marchandises de détail,9b,,ambiguous,,[Marchandises de détail],yes,
marchandises de Flandre,,,new,,,no,
marchandises de la cote,,,,,,no,
marchandises de mode,,,,,,no,
marchandises de Montauban,,,new,,,no,
marchandises de Paris,,,new,,,no,
marchandises de retour faute de vente contrebordée,,,,,,no,
marchandises des Indes,9b,,new,,,no,
marchandises des magasins prussiens royaux,9b,,ambiguous,,[Marchandises des magasins prussians royaux],yes,
marchandises des prise,,,,,,no,
marchandises diverses venant de l'étranger pour être réexportées aux colonies françaises principalement en toile Guinée viande salée barres de fers armes etc.,9b,,new,,,no,
marchandises en articles de peu importance,,,new,,,no,
marchandises en tonneaux,9b,,ambiguous,,[Marchandises en tonneaux] [Marchandises envoyées en tonneaux],yes,
marcottes d'œillets,2,,new,,,no,
marechauderie,???,,ambiguous,[Marechauderie] [Marechaudrie],[Marechauderie] [Marechaudrie],no,
maréchauderie,,,,,,no,
marée,,,new,,,no,
marée ; fraiche,0a,,existing,,,yes,
marée fraiche,0a,,new,,,no,
marègue,6e,,ambiguous,[Maregne] [Maregue] [Maregues] [Marègue],[Maregne] [Maregue] [Maregues] [Marègue],no,
mareule,???,,ambiguous,[Mareule],[Mareule],no,
marine d'alizari,,,new,,,no,
Marly broché,,,new,,,no,
marmelade,,,existing,,,yes,
marmite,6,,ambiguous,[Marmittes],[Marmittes],no,
marmite ; de fer,6j,,existing,,,yes,
marmite ; de fonte,6,,existing,,,yes,
marmite ; en fer,6j,,existing,,,yes,
marmite de cuivre,6j,,new,,,no,
marmite de fonte,6,,ambiguous,,[Marmittes ; de fonte],no,
marmites de cuivre,,,,,,,
marmites de fer,6j,,ambiguous,,[Marmite de fer] [Marmites ; de fer] [Marmites en fer] [Marmitte de fer] [Marmittes en Fer] [marmites ; de fer] [marmites de fer] [Marmite ; de fer] [Marmite de Fer] [Marmites de Fer] [Marmites de fer] [Marmittes ; de fer] [Marmittes de fer] [Marmittes de fers] [marmittes de Fer] [Fer ouvré en marmites],no,
marmites de fer de fonte,6j,,new,,,no,
marmites de fer grandes,6j,,new,,,no,
marmites de fer moyennes,6j,,new,,,no,
marmites de feu,6,,ambiguous,,[Marmites de feu],no,
marmites de fonte,,,new,,,no,
marmittes de cuivre,6j,,ambiguous,,[Cuivre ; en marmitte] [Cuivre ; en marmittes] [Cuivre ; en marmites],yes,
marne,2,,existing,,,no,
maroc ; ras de maron,6e,,existing,,,yes,
Maroc de laine,,,,,,no,
Maroc raz de marron,,,new,,,no,
maronic,,,new,,,no,
maroquins,2,,ambiguous,,[Marroquins] [Maroquin],no,
marquise,8,,ambiguous,[Marquise],[Marquise],no,
marraye,,,new,,,no,
marregues,,,new,,,no,
marron frais,0a,,ambiguous,,[Fruits ; cruds ; en marron],no,
marrons,5,,ambiguous,,[Drogues ; pour peinture et teinture ; marron] [Marons] [Marrons] [Maron] [marons],no,
marrons et chataignes,,,,,,no,
marsouin,0a,,ambiguous,[Marsoin],[Marsoin] [Poisson ; De mer salés ou marinés ; Marsouin],no,
marteau,6,,ambiguous,[Marteaux],[Marteaux],no,
marteau de forge,,,new,,,yes,
marteau en fer,6j,,new,,,yes,
martinets à tonnelier,,,new,,,no,
marue,5,,ambiguous,,[Drogues ; médicinale ; marue],no,
masque,8,,ambiguous,[Masques] [masques],[Masques] [masques],no,
masque ; de Venise,8,,existing,,,yes,
masque de Venise,8,,ambiguous,,[Masques ; de Venise] [Masques ; de venise] [Masques de Venise],no,
masques communs,8,,new,,,no,
masques fins,8,,new,,,no,
masse ; de bois,6,,existing,,,yes,
masse ; de mail,6,,existing,,,yes,
masse de mail,6,,ambiguous,,[Masses ; de mail] [Masses de mail],no,
masse en fer,6j,,new,,,no,
masses,,,new,,,no,
masses de bois,6,,ambiguous,,[Masses ; de bois],no,
masses de coton,2,,ambiguous,,[Coton en masse],no,
masses de cuivre,2,,new,,,yes,
masses de cuivre rouge pour être raffiné,2,,new,,,yes,
masses de lin,2,,ambiguous,,[Lin ; en masse] [Lin ; en masses] [Lin en Masses] [Lin en masse] [Lin massé] [lin crû en masse],no,
massicot,2,,ambiguous,[Masicot] [Masicots] [Massicol] [Massicos] [Massicot] [Massicots] [Massisot] [masicot] [masiscot] [massicot],[Masicot] [Masicots] [Massicol] [Massicos] [Massicot] [Massicots] [Massisot] [masicot] [masiscot] [massicot],no,
massie,,,new,,,no,
massis,,,new,,,no,
massy,???,,ambiguous,[Massy],[Massy],no,
mastic,5,,ambiguous,[Mastic] [Mastie] [mastic],[Mastic] [Mastie] [mastic] [Drogues ; melées ; Mastic] [Drogues ; mêlées ; mastic] [Drogues ; mastic],no,
mastic ; en larme,2,,existing,,,yes,
mastic en larme,2,,ambiguous,,[Mastic ; en larmes] [Mastic en Larmes] [Mastic en larmes],no,
mastie,5,,ambiguous,,[Drogue ; pour peinture et teinture ; mastie],no,
mastrre,,,new,,,no,
mât,7,,existing,,,yes,
mât ; assorti,7,,existing,,,yes,
mât ; de 20 pieds,7,,existing,,,yes,
mât ; de 24 a 30,7,,existing,,,yes,
mât ; de 4 paumes,7,,existing,,,yes,
mât ; de 60 a 70,7,,existing,,,yes,
mât ; de barque,7,,existing,,,yes,
mât ; de divers grandeur,7,,existing,,,yes,
mât ; de hune,7,,existing,,,yes,
mât ; de navire,7,,existing,,,yes,
mât ; de sapin,7,,existing,,,yes,
mât ; de sapin ; assorti,7,,existing,,,yes,
mât ; de sapin ; moyen,7,,existing,,,yes,
mât ; de vaisseau,7,,existing,,,yes,
mât ; grand,7,,existing,,,yes,
mât ; peint,7,,existing,,,yes,
mât ; petit,7,,existing,,,yes,
mât ; pour navire,7,,existing,,,yes,
mât ; pour navire ; assorti,7,,existing,,,yes,
mât ; pour navire ; de 40 à 50 pieds,7,,existing,,,yes,
mât ; pour navire ; de differente grandeur,7,,existing,,,yes,
mât ; pour navire ; de sapin,7,,existing,,,yes,
mât ; pour navire ; grand,7,,existing,,,yes,
mât assorti,7,,ambiguous,,[Mats Asortie] [Mats Asorties] [Mats asortis] [mat assortis] [mats assortis] [mâts assortis],no,
mat beaupré,7,,new,,,yes,
mât de 20 pieds,7,,ambiguous,,[Mats de 20 pieds],no,
mât de 24 a 30,7,,ambiguous,,[Mats de 24 a 30],no,
mât de 4 paumes,7,,ambiguous,,[Mats de 4 paumes],no,
mât de barque,7,,ambiguous,,[Mats ; de barque] [Mats;Mats de barque],no,
mât de divers grandeur,7,,ambiguous,,[Mats de divers grandeur],no,
mât de hune,7,,ambiguous,,[Mats d'hune],no,
mât de navire,7,,ambiguous,,[Mats ; de batteaux] [Mâts de bateau] [Mâts pour bateau],no,
mât de sapin,7,,ambiguous,,[Mats ; de sapin] [Mats de Sapin] [mats de sapin] [mâts de Sapin] [mats de sapin de 12 à 16 paumes] [mats de sapin de 3 paumes] [mats de sapin de 4 à 8 paumes] [mats de sapin de 5 paumes] [mats de sapin de 8 à 12 paumes],no,
mât de sapin assorti,7,,ambiguous,,[Mats de Sapin asortis],no,
mât de sapin moyen,7,,ambiguous,,[Mats de sapin moyens],no,
mât de vaisseau,7,,ambiguous,,[Mats ; de vaisseaux] [Mats de Vaisseaux] [Mats de vaisseau] [Mats de vaisseaux],no,
mât façonné,7,,new,,,yes,
mât grand,7,,ambiguous,,[Grands mâts] [Mats ; grands] [Mats grand],no,
mât peint,7,,ambiguous,,[Mats peints],no,
mât petit,7,,ambiguous,,[Mats ; petits] [Mats petits] [Mâts ; petits] [mats petits] [Mats ; petit],no,
mât pour navire assorti,7,,ambiguous,,[Mats de navires asortis] [mâts de navire asortie],no,
mât pour navire de 40 à 50 pieds,7,,ambiguous,,[Mats de navires de 40 A 50 pieds] [Mats de navires de 40 a 50 pieds],no,
mât pour navire de sapin,7,,ambiguous,,[Mats de navire en Sapin],no,
mât pour navire grand,7,,ambiguous,,[Mats de navire grands],no,
mateaux,,,new,,,no,
matelas,8,,ambiguous,[Matelas] [Matelat] [Matelats] [matelats],[Matelas] [Matelat] [Matelats] [matelats] [Mattelats],no,
matelas ; de crin,8,,existing,,,yes,
matelas ; de laine,8,,existing,,,yes,
matelas ; vieux,8,,existing,,,yes,
matelas de crin,8,,ambiguous,,[Matelats ; de crin] [Matelats ; de frin],no,
matelas de crin et noppe,8,,new,,,yes,
matelas de laine,8,,ambiguous,,[Matelas ; de laine] [Matelas de laine] [Matelats ; de laine] [Matelats de laine] [matelats de laine],no,
matelas de lit,8,,new,,,no,
matelas vieux,8,,ambiguous,,[Matelats ; vieux],no,
matéreaux,7,,new,,,no,
mâtereaux,7,,new,,,no,
mâtereaux 30 pieds,7,,new,,,no,
mâtereaux à barques,7,,new,,,no,
mâtereaux communs à 30 pieds,7,,new,,,no,
mâtereaux d'acajou de 7 à 8 pieds,7,,new,,,no,
mâtereaux de 12 pieds,7,,new,,,no,
mâtereaux de 16 pieds,7,,new,,,no,
mâtereaux de 18 à 19 pieds,7,,new,,,no,
mâtereaux de 19 pieds,7,,new,,,no,
mâtereaux de 20 à 22 pieds,7,,new,,,no,
mâtereaux de 20 à 24 pieds,7,,new,,,no,
mâtereaux de 20 pieds,7,,new,,,no,
mâtereaux de 22 à 26 pieds,7,,new,,,no,
mâtereaux de 22 pieds,7,,new,,,no,
mâtereaux de 24,7,,new,,,no,
mâtereaux de 24 pieds 6 pouces,7,,new,,,no,
mâtereaux de 25 à 28 pieds,7,,new,,,no,
mâtereaux de 25 à 30 pieds,7,,new,,,no,
mâtereaux de 25 pieds,7,,new,,,no,
mâtereaux de 26 à 28 pieds,7,,new,,,no,
mâtereaux de 26 à 30 pieds,7,,new,,,no,
mâtereaux de 27 pieds,7,,new,,,no,
mâtereaux de 28 à 30 pieds,7,,new,,,no,
mâtereaux de 28 pieds,7,,new,,,no,
mâtereaux de 30 à 34 pieds,7,,new,,,no,
mâtereaux de 30 à 35 pieds,7,,new,,,no,
mâtereaux de 30 à 36 pieds,7,,new,,,no,
mâtereaux de 30 à 40 pieds,7,,new,,,no,
mâtereaux de 30 pieds,7,,new,,,no,
mâtereaux de 32 à 33 pieds,7,,new,,,no,
mâtereaux de 32 à 34 pieds,7,,new,,,no,
mâtereaux de 32 pieds,7,,new,,,no,
mâtereaux de 33 pieds,7,,new,,,no,
mâtereaux de 34 à 36 pieds,7,,new,,,no,
mâtereaux de 35 à 37 pieds,7,,new,,,no,
mâtereaux de 35 pieds,7,,new,,,no,
mâtereaux de 36 à 38 pieds,7,,new,,,no,
mâtereaux de 36 à 45 pieds,7,,new,,,no,
mâtereaux de 36 pieds,7,,new,,,no,
mâtereaux de 36 pieds 9 pouces,7,,new,,,no,
mâtereaux de 37 à 38 pieds,7,,new,,,no,
mâtereaux de 38 pieds,7,,new,,,no,
mâtereaux de 40 à 44 pieds,7,,new,,,no,
mâtereaux de 40 à 45 pieds,7,,new,,,no,
mâtereaux de 40 pieds,7,,new,,,no,
mâtereaux de 42 à 47 pieds,7,,new,,,no,
mâtereaux de 45 à 50 pieds,7,,new,,,no,
mâtereaux de 45 pieds,7,,new,,,no,
mâtereaux de 46 à 60 pieds,7,,new,,,no,
mâtereaux de 47 à 48 pieds,7,,new,,,no,
mâtereaux de 47 à 49 pieds,7,,new,,,no,
mâtereaux de 48 pieds,7,,new,,,no,
mâtereaux de 50 à 55 pieds,7,,new,,,no,
mâtereaux de 54 à 60 pieds,7,,new,,,no,
mâtereaux de 60 pieds,7,,new,,,no,
mâtereaux de bois,7,,ambiguous,,[Bois ; matraux],no,
mâtereaux de chaloupe,7,,new,,,no,
mâtereaux de différente longueur,7,,new,,,no,
mâtereaux de sapin,7,,new,,,no,
mâtereaux de sapin de 20 pieds,7,,new,,,no,
mâtereaux de sapin de 25 pieds,7,,new,,,no,
mâtereaux de sapin de 28 pieds,7,,new,,,no,
mâtereaux de sapin de 30 pieds,7,,new,,,no,
mâtereaux petits,7,,new,,,no,
matériau,2,,ambiguous,[Matériaux],[Matériaux],yes,
matériau ; de bois,2,,existing,,,yes,
matériau ; de construction,2,,existing,,,yes,
materiaux de bois,,,new,,,no,
matériaux de construction,,,new,,,no,
matière colorante,,,existing,,,yes,
matière tannante,,,existing,,,yes,
matières ; d'or et d'argent,6,,existing,,,yes,
matières blanches dérivées du plomb,5,,ambiguous,,[matière blanche dérivée du plomb],yes,
matières colorantes noires,5,,ambiguous,,[matière colorante noir],yes,
matières d'argent ; en piastre ; d'Espagne,9a,,existing,,,yes,
matières d'argent en piastre d'Espagne,9a,,ambiguous,,[Matières d'argent ; en piastres d'Espagne],no,
matières d'argent et d'or,9a,,ambiguous,,[Matières d'or et d'argent] [matières d'or et d'argent],no,
matières d'or ; en lingot d'or du Brésil reçu par l'envoie d'Angleterre,9a,,existing,,,yes,
matières d'or ; en quadruple ou pièce d'or ; d'Espagne,9a,,existing,,,yes,
matières d'or en quadruple ou pièce d'or d'Espagne,9a,,ambiguous,,[Matières d'or ; en quadruples ou pièces d'or importées d'Espagne],no,
matières de verre composées,,,new,,,no,
matières grasses,,,new,,,yes,
matières première ; diverse,2,,existing,,,yes,
matières premières,2,,new,,,no,
matis,7,,ambiguous,,[Matis ; divers],no,
matocaux,???,,ambiguous,[Matocaux],[Matocaux],no,
matre,???,,ambiguous,[Matre],[Matre],no,
mâts,7,,ambiguous,,[Bois ; en mats] [Mats] [Mâts] [mats] [Mats ; divers] [Mats Diffentes grandeurs] [Mats de Différentes grandeur] [Mats divers] [Mats diverse] [Mâts ; divers] [Bois ; mats] [Mats ; de différentes longueurs] [Bois en mâts] [Mat],no,
mâts assortis,,,,,,no,
mâts au dessous de 6 paumes,7,,new,,,no,
mâts bouts de 3 à 4 pieds,7,,new,,,no,
mâts communs,7,,new,,,no,
mâts de 16 à 18 pieds,7,,new,,,no,
mâts de 18 pieds,,,,,,no,
mâts de 20 à 30 pieds,7,,new,,,no,
mâts de 20 pieds,,,,,,no,
mâts de 24 a 30,,,,,,no,
mâts de 28 à 32 pieds,7,,new,,,no,
mâts de 30 à 40 pieds,7,,new,,,no,
mâts de 30 pieds,7,,new,,,no,
mâts de 31 à 36 pieds,7,,new,,,no,
mâts de 33 à 43 pieds,7,,new,,,no,
mâts de 35 à 40 pieds,7,,new,,,no,
mâts de 35 à 45 pieds,7,,new,,,no,
mâts de 36 à 38 pieds,7,,new,,,no,
mâts de 39 à 40 pieds,7,,new,,,no,
mâts de 4 paumes,,,,,,no,
mâts de 40 à 45 pieds,7,,new,,,no,
mâts de 40 à 50 pieds,7,,new,,,no,
mâts de 40 pieds,7,,new,,,no,
mâts de 42 à 48 pieds,7,,new,,,no,
mâts de 45 à 50 pieds,7,,new,,,no,
mâts de 45 pieds,7,,new,,,no,
mâts de 48 à 50 pieds,7,,new,,,no,
mâts de 50 à 52 pieds,7,,new,,,no,
mâts de 50 à 53 pied,7,,new,,,no,
mâts de 50 à 55 pieds,7,,new,,,no,
mâts de 50 à 56 pieds,7,,new,,,no,
mâts de 50 à 60 pieds,7,,new,,,no,
mâts de 50 pieds,7,,new,,,no,
mâts de 52 à 55 pieds,7,,new,,,no,
mâts de 55 à 56 pieds,7,,new,,,no,
mâts de 55 à 60 pieds,7,,new,,,no,
mâts de 55 pieds,7,,new,,,no,
mâts de 59 à 60 pieds,7,,new,,,no,
mâts de 60 à 65 pieds,7,,new,,,no,
mâts de 60 à 66 pieds,7,,new,,,no,
mâts de 60 à 70,7,,new,,,no,
mâts de 60 pieds,7,,new,,,no,
mâts de 66 à 55 pieds,7,,new,,,no,
mâts de 66 à 70 pieds,7,,new,,,no,
mâts de 66 à 72 pieds,7,,new,,,no,
mâts de 68 à 70 pieds,7,,new,,,no,
mâts de 68 pieds de long,7,,new,,,no,
