ÊÈCode","Description"
"673.42","Autres produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur excédant 1 mm mais inférieure à 3 mm, enroulés"
"673.43","Autres produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur de 0,5 mm ou plus mais n’excédant pas 1 mm, enroulés"
"673.44","Autres produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur inférieure à 0,5 mm, en rouleaux"
"673.45","Autres produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur de 3 mm ou plus, non enroulés"
"673.46","Autres produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur excédant 1 mm mais inférieure à 3 mm, non enroulés"
"673.47","Autres produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur de 0,5 mm ou plus mais n’excédant pas 1 mm, non enroulés"
"673.48","Autres produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur inférieure à 0,5 mm, non enroulés"
"673.49","Autres produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, simplement laminés à froid, d’une largeur inférieure à 600 mm"
"673.5","Produits laminés plats, en fer ou en aciers non alliés, non plaqués ni revêtus, n.d.a."
"673.51","Produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, n.d.a., d’une largeur de 600 mm ou plus, laminés à chaud"
"673.52","Produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, n.d.a., d’une largeur de 600 mm ou plus, laminés à froid"
"673.53","Produits laminés plats de fer ou d’acier non allié, non plaqués ni revêtus, n.d.a., d’une largeur inférieure à 600 mm"
"674","Produits lamines plats, en fer ou en aciers non allies,  plaques ou revetus"
"674.1","Produits laminés plats, en fer ou en aciers non alliés, zingués"
"674.11","Produits laminés plats de fer ou d’acier non allié, zingués électrolytiquement, d’une largeur de 600 mm ou plus"
"674.12","Produits laminés plats de fer ou d’acier non allié, zingués électrolytiquement, d’une largeur inférieure à 600 mm"
"674.13","Produits laminés plats de fer ou d’acier non allié, autrement zingués, d’une largeur de 600 mm ou plus"
"674.14","Produits laminés plats de fer ou d’acier non allié, autrement zingués, d’une largeur inférieure à 600 mm"
"674.2","Produits laminés plats, en fer ou en aciers non alliés, étamés"
"674.21","Produits laminés plats de fer ou d’acier non allié, étamés, d’une largeur de 600 mm ou plus"
"674.22","Produits laminés plats de fer ou d’acier non allié, étamés, d’une largeur inférieure à 600 mm"
"674.3","Produits laminés plats, en fer ou en aciers non alliés, peints, vernis ou revêtus de matières plastiques"
"674.31","Produits laminés plats de fer ou d’acier non allié, peints, vernis ou revêtus de matières plastiques, d’une largeur de 600 mm ou plus"
"674.32","Produits laminés plats de fer ou d’acier non allié, peints, vernis ou revêtus de matières plastiques, d’une largeur inférieure à 600 mm"
"674.4","Produits laminés plats, en fer ou en aciers non alliés, plaqués, peints ou revêtus, n.d.a., d'une largeur de 600 mm ou plus"
"674.41","Produits laminés plats de fer ou d’acier non allié, plombés, et tôles plombées, d’une largeur de 600 mm ou plus"
"674.42","Produits laminés plats de fer ou d’acier non allié, plaqués ou revêtus d’oxydes de chrome ou de chrome et d’oxydes de chrome, d’une largeur de 600 mm ou plus"
"674.43","Produits laminés plats de fer ou d’acier non allié, plaqués ou revêtus d’aluminium, d’une largeur de 600 mm ou plus"
"674.44","Autres produits laminés plats de fer ou d’acier non allié, plaqués ou revêtus, d’une largeur de 600 mm ou plus"
"674.5","Produits laminés plats, en fer ou en aciers non alliés, plaqués ou revêtus, n.d.a., d'une largeur inférieure à 600 mm"
"674.51","Produits laminés plats de fer ou d’acier non allié, plaqués ou revêtus autrement que par électrolyse, d’une largeur inférieure à 600 mm"
"674.52","Produits laminés plats de fer ou d’acier non allié, plaqués, d’une largeur inférieure à 600 mm"
"675","Produits lamines plats, en aciers allies"
"675.1","Produits laminés plats, en aciers au silicium, dits ""magnétiques"""
"675.11","Produits laminés plats en acier au silicium dit « magnétique », d’une largeur de 600 mm ou plus"
"675.12","Produits laminés plats en acier au silicium dit « magnétique » d’une largeur inférieure à 600 mm"
"675.2","Produits laminés plats, en aciers à coupe rapide"
"675.21","Produits laminés plats en acier à coupe rapide, d’une largeur de 600 mm ou plus"
"675.22","Produits laminés plats en acier à coupe rapide, d’une largeur inférieure à 600 mm"
"675.3","Produits laminés plats, en aciers inoxydables, simplement laminés à chaud"
"675.31","Produits laminés plats en acier inoxydable, simplement laminés à chaud, d’une largeur de 600 mm ou plus et d’une épaisseur de 4,75 mm ou plus, enroulés"
"675.32","Produits laminés plats en acier inoxydable, simplement laminés à chaud, d’une largeur de 600 mm ou plus et d’une épaisseur de 3 mm ou plus, mais inférieure à 4,75 mm, enroulés"
"675.33","Produits laminés plats en acier inoxydable, simplement laminés à chaud, d’une largeur de 600 mm ou plus et d’une épaisseur inférieure à 3 mm, enroulés"
"675.34","Produits laminés plats en acier inoxydable, simplement laminés à chaud, d’une largeur de 600 mm ou plus et d’une épaisseur de 4,75 mm ou plus, non enroulés"
"675.35","Produis laminés plats en acier inoxydable, simplement laminés à chaud, d’une largeur de 600 mm ou plus et d’une épaisseur de 3 mm ou plus, mais inférieure à 4,75 mm, non enroulés"
"675.36","Produits laminés plats en acier inoxydable, simplement laminés à chaud, d’une largeur de 600 mm ou plus et d’une épaisseur inférieure à 3 mm, non enroulés"
"675.37","Produits laminés plats en acier inoxydable, simplement laminés à chaud, d’une largeur inférieure à 600 mm et d’une épaisseur de 4,75 mm ou plus"
"675.38","Produits laminés plats en acier inoxydable, simplement laminés à chaud, d’une largeur inférieure à 600 mm et d’une épaisseur inférieure à 4,75 mm"
"675.4","Produits laminés plats, en autres aciers alliés, simplement laminés à chaud"
"675.41","Produits laminés plats en autres aciers alliés, simplement laminés à chaud, d’une largeur de 600 mm ou plus, enroulés"
"675.42","Produits laminés plats en autres aciers alliés, simplement laminés à chaud, d’une largeur de 600 mm ou plus, non enroulés"
"675.43","Produits laminés plats en autres aciers alliés, simplement laminés à chaud, d’une largeur inférieure à 600 mm"
"675.5","Produits laminés plats, en aciers inoxydables, simplement laminés à froid"
"675.51","Produits laminés plats en acier inoxydable, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur de 4,75 mm ou plus"
"675.52","Produits laminés plats en acier inoxydable, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur de 3 mm ou plus, mais inférieure à 4,75 mm"
"675.53","Produits laminés plats en acier inoxydable, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur excédant 1 mm mais inférieure à 3 mm"
"675.54","Produits laminés plats en acier inoxydable, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur de 0,5 mm ou plus mais n’excédant pas 1 mm"
"675.55","Produits laminés plats en acier inoxydable, simplement laminés à froid, d’une largeur de 600 mm ou plus et d’une épaisseur inférieure à 0,5 mm"
"675.56","Produits laminés plats en acier inoxydable, simplement laminés à froid, d’une largeur inférieure à 600 mm"
"675.6","Produits laminés plats, en autres aciers alliés, simplement laminés à froid"
"675.61","Produits laminés plats en autres aciers alliés, simplement laminés à froid, d’une largeur de 600 mm ou plus"
"675.62","Produits laminés plats en autres aciers alliés, simplement laminés à froid, d’une largeur inférieure à 600 mm"
"675.7","Produits laminés plats, en aciers alliés, n.d.a."
"675.71","Produits laminés plats en acier inoxydable, n.d.a., d’une largeur de 600 mm ou plus"
"675.72","Produits laminés plats en acier inoxydable, n.d.a., d’une largeur inférieure à 600 mm"
"675.73","Produits laminés plats, en autres aciers alliés, d’une largeur de 600 mm ou plus"
"675.74","Produits laminés plats, en autres aciers alliés, n.d.a., d’une largeur inférieure à 600 mm"
"676","Barres et profiles en fer ou en acier (y compris les palplanches)"
"676.1","Fil machine en fer ou en acier"
"676.11","Barres et tiges laminées à chaud, en fer ou en acier non allié, comportant des indentations, bourrelets, creux ou reliefs obtenus au cours du laminage, enroulées en spires non rangées"
"676.12","Barres et tiges laminées à chaud, en acier non allié de décolletage, enroulées en spires non rangées"
"676.13","Autres barres et tiges laminées à chaud, de fer ou d’acier non allié, contenant en poids moins de 0,6 % de carbone, enroulées en spires non rangées"
"676.14","Autres barres et tiges laminées à chaud, de fer ou d’acier non allié, contenant en poids 0,6 % ou plus de carbone, enroulées en spires non rangées"
"676.15","Barres et tiges d’acier inoxydable, laminées à chaud et enroulées en spires non rangées"
"676.17","Barres et tiges d’acier à coupe rapide, laminées à chaud et enroulées en spires non rangées"
"676.19","Barres et tiges d’autres aciers alliés, laminées à chaud et enroulées en spires non rangées"
"676.2","Barres (autres que le fil machine du sous-groupe 676.1), en fer ou en acier, simplement forgées, laminées ou filées à chaud; y compris celles ayant subi une torsion après laminage"
"676.21","Barres et tiges (autres que celles du sous-groupe 676.1) de fer ou d’acier non allié, simplement laminées, étirées ou filées à chaud, comportant des indentations, bourrelets, creux ou reliefs obtenus au cours du laminage, ou ayant subi une torsion après laminage"
"676.22","Barres et tiges (autres que celles du sous-groupe 676.1) d’acier de décolletage, simplement laminées, étirées ou filées à chaud, y compris celles torsadées après laminage"
"676.23","Autres barres et tiges (autres que celles du sous-groupe 676.1) de fer ou d’acier non allié, contenant en poids moins de 0,6 % de carbone, simplement laminées, étirées ou filées à chaud, y compris celles torsadées après laminage"
"676.24","Autres barres et tiges (autres que celles du sous-groupe 676.1) de fer ou d’acier non allié contenant en poids 0,6 % ou plus de carbone, simplement laminées, étirées ou filées à chaud, y compris celles torsadées après laminage"
"676.25","Barres et tiges (autres que celles du sous-groupe 676.1) d’acier inoxydable simplement laminées, étirées ou filées à chaud, y compris celles torsadées après laminage"
"676.29","Barres et tiges (autres que celles du sous-groupe 676.1) d’autres aciers alliés (à l’exclusion des aciers à coupe rapide et des aciers silico-manganeux) simplement laminées, étirées ou filées à chaud, y compris celles torsadées après laminage"
"676.3","Barres (autres que le fil machine du sous-groupe 676.1), en fer ou en acier, simplement obtenues ou parachevées à froid"
"676.31","Barres et tiges (autres que celles du sous-groupe 676.1) d’acier non allié de décolletage simplement obtenues ou parachevées à froid"
"676.32","Barres et tiges (autres que celles du sous-groupe 676.1) de fer ou d’acier non allié simplement obtenues ou parachevées à froid, contenant en poids moins de 0,6 % de carbone"
"676.33","Autres barres et tiges (autres que celles du sous-groupe 676.1) de fer ou d’acier non allié simplement obtenues ou parachevées à froid, contenant en poids 0,6 % ou plus de carbone"
"676.34","Barres et tiges (autres que celles du sous-groupe 676.1) d’acier inoxydable simplement obtenues ou parachevées à froid"
"676.39","Barres et tiges (autres que celles du sous-groupe 676.1) d’autres aciers alliés, à l’exclusion des aciers à coupe rapide et des aciers silico-manganeux, simplement obtenues ou parachevées à froid"
"676.4","Autres barres en fer ou en acier"
"676.41","Autres barres et tiges d’acier à coupe rapide"
"676.42","Autres barres et tiges d’acier silico-manganeux"
"676.43","Autres barres et tiges de fer ou d’acier non allié, simplement forgées"
"676.44","Autres barres et tiges de fer ou d’acier non allié"
"676.45","Autres barres et tiges d’acier inoxydable"
"676.46","Autres barres et tiges d’autres aciers alliés (à l’exclusion des aciers à coupe rapide et des aciers silico-manganeux), simplement forgées"
"676.47","Barres et tiges en aciers alliés, n.d.a."
"676.48","Barres creuses pour le forage en acier allié ou non allié"
"676.8","Profilés (à l'exclusion des rails pour voies ferrées) et palplanches, en fer ou en acier"
"676.81","Profilés de fer ou d’acier non allié en U, I, H, L ou T, simplement laminés, étirés ou filés à chaud, d’une hauteur de moins de 80 mm"
"676.82","Profilés de fer ou d’acier non allié en U, I, H, L ou T, simplement laminés, étirés ou filés à chaud, d’une hauteur de 80 mm ou plus"
"676.83","Autres profilés de fer ou d’acier non allié, simplement laminés, étirés ou filés à chaud"
"676.84","Profilés de fer ou d’acier non allié, simplement obtenus ou parachevés à froid"
"676.85","Autres profilés de fer ou d’acier non allié"
"676.86","Palplanches en fer ou en acier, même percées ou faites d’éléments assemblés ; profilés obtenus par soudage, en fer ou en acier"
"676.87","Profilés en acier inoxydable"
"676.88","Profilés en autres aciers alliés"
"677","Rails et autres elements de voies ferrees, en fonte, fer ou acier"
"677.0","Rails et éléments de voies ferrées, en fonte, fer ou acier"
"677.01","Rails (y compris contre-rails et crémaillères) en fonte, fer ou acier"
"677.09","Autres éléments de voies ferrées en fonte, fer ou acier (c’est-à-dire aiguilles, pointes de œillets, tringles d’aiguillage et autres éléments de croisement ou changement de voies, traverses, éclisses, coussinets, coins, selles d’assise, plaques de serrage, plaques et barres d’écartement et autres pièces spécialement conçues pour la pose, le jointoiement ou la fixation des rails)"
"678","Fils de fer ou d’acier"
"678.1","Fils de fer ou d'aciers non alliés"
"678.11","Fils de fer ou d’acier non allié contenant en poids moins de 0,25 % de carbone"
"678.12","Fils de fer ou d’acier non allié contenant en poids 0,25 % ou plus, mais moins de 0,6 %, de carbone"
"678.13","Fils de fer ou d’acier non allié contenant en poids 0,6 % ou plus de carbone"
"678.2","Fils d'aciers inoxydables ou d'autres aciers alliés"
"678.21","Fils d’acier inoxydable"
"678.29","Fils d’autres aciers alliés"
"679","Tubes, tuyaux, profiles creux et accessoires de tuyauterie, en fonte, fer ou acier"
"679.1","Tubes, tuyaux et profilés creux, sans soudure, en fer ou en acier"
"679.11","Tubes, tuyaux et profilés creux en fonte"
"679.12","Tubes et tuyaux en fer ou en acier, sans soudure, des types utilisés pour oléoducs ou gazoducs"
"679.13","Tubes et tuyaux de cuvelage ou de production et guides de tiges de forage en fer ou en acier, sans soudure, des types utilisés pour l’extraction du pétrole ou du gaz"
"679.14","Autres tubes, tuyaux et profilés creux, de section circulaire, sans soudure, en fer ou en acier non allié"
"679.15","Autres tubes, tuyaux et profilés creux en acier inoxydable, sans soudure, de section circulaire"
"679.16","Autres tubes, tuyaux et profilés creux en autres aciers alliés, sans soudure, de section transversale circulaire"
"679.17","Autres tubes, tuyaux et profilés creux en fer ou en acier, sans soudure"
"679.3","Autres tubes et tuyaux (soudés ou rivés, par exemple), de sections intérieure et extérieure circulaires, d'un diamètre extérieur excédant 406,4 mm, en fer ou en acier"
"679.31","Tubes en fer ou en acier des types utilisés pour oléoducs ou gazoducs, soudés, à bords rivés ou agrafés, de sections transversales intérieure et extérieure circulaires et d’un diamètre extérieur de plus de 406,4 mm"
"679.32","Tubes en fer ou en acier de cuvelage, des types utilisés pour l’extraction du pétrole ou du gaz, de sections transversales intérieure et extérieure circulaires et d’un diamètre extérieur de plus de 406,4 mm"
"679.33","Autres tubes et tuyaux en fer ou en acier, soudés, de sections transversales intérieure et extérieure circulaires et d’un diamètre extérieur de plus de 406,4 mm"
"679.39","Autres tubes et tuyaux de sections transversales intérieure et extérieure circulaires et d’un diamètre extérieur de plus de 406,4 mm"
"679.4","Autres tubes, tuyaux et profilés creux (soudés, rivés, agrafés ou à gords simplement rapprochés, par exemple), en fer ou en acier"
"679.41","Tubes et tuyaux des types utilisés pour oléoducs ou gazoducs, autres que ceux des Nos 679.12 et 679.31."
"679.42","Tubes et tuyaux de cuvelage ou de production, des types utilisés pour l’extraction du pétrole ou du gaz et autres que ceux des Nos 679.13 et 679.32"
"679.43","Autres tubes, tuyaux et profilés creux en fer ou en acier, soudés, de section circulaire"
"679.44","Autres tubes, tuyaux et profilés creux en fer ou en acier, soudés, de section autre que circulaire"
"679.49","Autres tubes, tuyaux et profilés creux en fer ou en acier"
"679.5","Accessoires de tuyauterie (raccords, coudes, manchons, par exemple), en fonte, fer ou acier"
"679.51","Accessoires de tuyauterie en fonte non malléable, moulés"
"679.52","Autres accessoires de tuyauterie en fonte, moulés"
"679.53","Brides en acier inoxydable"
"679.54","Coudes, courbes et manchons en acier inoxydable, filetés"
"679.55","Accessoires à souder bout à bout, en acier inoxydable"
"679.56","Autres accessoires de tuyauterie en acier inoxydable"
"679.59","Accessoires de tuyauterie en fer ou acier, n.d.a."
"68","Metaux non ferreux"
"681","Argent, platine et metaux de la mine du platine"
"681.1","Argent (y compris le plaqué ou doublé d'argent sur métaux communs), sous forme brutes ou mi-ouvrées"
"681.12","Plaqué ou doublé d’argent sur métaux communs, sous formes brutes ou mi-ouvrées"
"681.13","Argent (y compris l’argent doré ou vermeil et l’argent platiné), sous formes brutes"
"681.14","Argent (y compris l’argent doré ou vermeil et l’argent platiné), sous formes mi-ouvrées ou en poudre"
"681.2","Platine et métaux de la mine du platine (y compris le plaqué ou doublé de platine ou de métaux de la mine du platine), sous formes brutes ou mi-ouvrées"
"681.22","Plaqué ou doublé de platine ou de métaux de la mine du platine sur métaux communs, sur argent ou sur or, sous formes brutes ou mi-ouvrées"
"681.23","Platine et ses alliages, sous formes brutes ou en poudre"
"681.24","Autres métaux de la mine du platine et leurs alliages, sous formes brutes ou en poudre"
"681.25","Platine, autres métaux de la mine du platine, et leurs alliages, sous autres formes mi-ouvrées"
"682","Cuivre"
"682.1","Cuivre affiné et non affiné; anodes en cuivre pour affinage électrolytique; alliages de cuivre, bruts"
"682.11","Cuivre non affiné (y compris le cuivre blister, mais à l’exclusion du cuivre de cément) ; anodes en cuivre pour affinage électrolytique"
"682.12","Cuivre affiné"
"682.13","Alliages mères de cuivre"
"682.14","Alliages de cuivre (sauf alliages mères)"
"682.3","Barres et profilés en cuivre"
"682.31","Barres et profilés en cuivre affiné"
"682.32","Barres, baguettes et profilés en alliages de cuivre"
"682.4","Fils de cuivre"
"682.41","Fils de cuivre affiné"
"682.42","Fils en alliages de cuivre"
"682.5","Tôles et bandes en cuivre, d'une épaisseur excédant 0,15 mm"
"682.51","Planches, feuilles et bandes de cuivre affiné, d’une épaisseur excédant 0,15 mm"
"682.52","Planches, feuilles et bandes en alliages de cuivre, d’une épaisseur excédant 0,15 mm"
"682.6","Feuilles et bandes minces en cuivre (même imprimées ou fixées sur paiper, carton, matière plastique ou supports similaires) d'une épaisseur n'excédant pas 0,15 mm (support non compris); poudres et paillettes de cuivre"
"682.61","Feuilles et bandes minces en cuivre (même imprimées ou fixées sur papier, carton, matières plastiques ou supports similaires), d’une épaisseur n’excédant pas 0,15 mm (support non compris)"
"682.62","Paillettes de cuivre"
"682.7","Tubes, tuyaux et accessoires de tuyauterie (raccords, coudes, manchons, par exemple), en cuivre"
"682.71","Tubes et tuyaux en cuivre"
"682.72","Accessoires de tuyauterie en cuivre"
"683","Nickel"
"683.1","Nickel et alliages de nickel, bruts (à l'exclusion des anodes pour nickelage)"
"683.11","Nickel non allié"
"683.12","Alliages de nickel"
"683.2","Nickel et alliages de nickel, ouvrés (à l'exclusion des anodes pour nickelage)"
"683.21","Barres, profilés et fils en nickel"
"683.22","Tubes, tuyaux et accessoires de tuyauterie (raccords, coudes, manchons, p.ex.), en nickel"
"683.23","Poudres et paillettes de nickel"
"683.24","Tôles, bandes et feuilles en nickel"
"684","Aluminium"
"684.1","Aluminium et alliages d'aluminium, bruts"
"684.11","Aluminium non allié"
"684.12","Alliages d’aluminium"
"684.2","Aluminium et alliages d'aluminium, ouvrés"
"684.21","Barres et profilés en aluminium"
"684.22","Fils d’aluminium"
"684.23","Tôles et bandes d’aluminium, d’une épaisseur excédant 0,2 mm"
"684.24","Feuilles et bandes minces d’aluminium (même imprimées ou fixées sur papier, carton, matière plastique ou supports similaires), d’une épaisseur n’excédant pas 0,2 mm (support non compris)"
"684.25","Poudres et paillettes d’aluminium"
"684.26","Tubes et tuyaux en aluminium"
"684.27","Accessoires de tuyauterie (raccords, coudes, manchons, p.ex.), en aluminium"
"685","Plomb"
"685.1","Plomb et alliages de plomb, bruts"
"685.11","Plomb et alliages de plomb pour affinage"
"685.12","Plomb affiné"
"685.2","Plomb et alliages de plomb, ouvrés"
"685.21","Barres, profilés et fils de plomb"
"685.22","Tables, feuilles et bandes de plomb ; poudres et paillettes de plomb"
"685.24","Tubes, tuyaux et accessoires de tuyauterie (raccords, coudes, manchons, p.ex.), en plomb"
"686","Zinc"
"686.1","Zinc et alliages de zinc, bruts"
"686.11","Zinc non allié"
"686.12","Alliages de zinc"
"686.3","Zinc et alliages de zinc, ouvrés"
"686.31","Barres, profilés et fils de zinc"
"686.32","Tôles, feuilles et bandes de zinc"
"686.33","Poussières (poudre bleue), poudres et paillettes de zinc"
"686.34","Tubes, tuyaux et accessoires de tuyauterie (raccords, coudes, manchons, p.ex.), en zinc"
"687","Etain"
"687.1","Etain et alliages d'étain, bruts"
"687.11","Etain non allié"
"687.12","Alliages d’étain"
"687.2","Etain et alliages d'étain, ouvrés"
"687.21","Barres, profilés et fils d’étain"
"687.22","Tôles, feuilles et bandes d’étain d’une épaisseur excédant 0,2 mm"
"687.23","Feuilles et bandes minces d’étain (même imprimées ou fixées sur papier, carton, matière plastique ou supports similaires), d’une épaisseur n’excédant pas 0,2 mm (support non compris) ; poudres et paillettes d’étain"
"687.24","Tubes, tuyaux et accessoires de tuyauterie (raccords, coudes, manchons p.ex.), en étain"
"689","Autres metaux communs non ferreux utilises en metallurgie, et cermets"
"689.1","Tungstène (wolfram), molybdène, tantale et magnésium, bruts (y compris les déchets et débris)"
"689.11","Tungstène (wolfram) brut ; déchets et débris de tungstène"
"689.12","Molybdène brut ; déchets et débris de molybdène"
"689.13","Tantale brut (y compris les barres simplement obtenues par frittage) ; déchets et débris ; poudres"
"689.14","Déchets et débris de magnésium"
"689.15","Magnésium brut"
"689.8","Produits intermédiaires de la métallurgie du cobalt; cobalt, cadmium, titane et zirconium, bruts (y compris les déchets et débris)"
"689.81","Mattes de cobalt et autres produits intermédiaires de la métallurgie du cobalt ; cobalt brut ; déchets et débris ; poudres"
"689.82","Cadmium brut ; déchets et débris de cadmium ; poudres"
"689.83","Titane brut ; déchets et débris de titane ; poudres"
"689.84","Zirconium brut ; déchets et débris de zirconium ; poudres"
"689.9","Métaux communs, n.d.a., et cermets et leurs ouvrages, n.d.a. (y compris les déchets et débris)"
"689.91","Béryllium brut ; déchets et débris de béryllium ; poudres"
"689.92","Bismuth et ouvrages en bismuth (y compris les déchets et débris)"
"689.93","Antimoine et ouvrages en antimoine (y compris les déchets et débris)"
"689.94","Manganèse et ouvrages en manganèse (y compris les déchets et débris)"
"689.95","Chrome et ouvrages en chrome (y compris les déchets et débris)"
"689.96","Germanium et ouvrages en germanium (y compris les déchets et débris)"
"689.97","Vanadium et ouvrages en vanadium (y compris les déchets et débris)"
"689.98","Autres métaux communs bruts ; déchets et débris ; poudres"
"689.99","Cermets et ouvrages en cermets (y compris les déchets et débris)"
"69","Articles manufactures en metal, n.d.a."
"691","Constructions et parties de construction, n.d.a., en fonte, fer, acier ou aluminium"
"691.1","Constructions (à l'exclusion des constructions préfabriquées du groupe 811) et parties de constructions (ponts et éléments de ponts, portes d'écluses, tours, pylônes, piliers, colonnes, charpentes, toitures, portes et fenêtres et leurs cadres, chambranles et seuils, rideaux de fermeture, balustrades, par exemple), en fonte, fer ou acier; tôle, barres, profilés, tubes et similaires, en fonte, fer ou acier, préparés en vue de leur utilisation dans la construction"
"691.11","Ponts et éléments de ponts, en fonte, fer ou acier"
"691.12","Tours et pylônes"
"691.13","Portes, fenêtres et leurs cadres, chambranles et seuils en fer ou acier"
"691.14","Matériels d’échafaudage, de coffrage ou d’étayage"
"691.19","Autres constructions et parties de constructions en fonte, fer ou acier"
"691.2","Constructions (à l'exclusion des constructions préfabriquées du groupe 811) et parties de constructions (ponts et éléments de ponts, tours, pylônes, piliers, colonnes, charpentes, toitures, portes et fenêtres et leurs cadres, chambranles et seuils, balustrades, par exemple), en aluminium; tôles, barres, profilés, tubes et similaires, en aluminium, préparés en vue de leur utilisation dans la construction"
"691.21","Portes, fenêtres et leurs cadres, chambranles et seuils en aluminium"
"691.29","Constructions et parties de constructions en aluminium, n.d.a. ; tôles, barres, profilés, tubes et similaires préparés en vue de leur utilisation dans la construction"
"692","Recipients metalliques pour le stockage ou le transport"
"692.1","Réservoirs, foudres, cuves et récipients similaires pour toutes matières (à l'exclusion des gaz comprimés ou liquéfiés), en fonte, fer, acier ou aluminium, d'une contenance supérieure à 300 litres, sans dispositifs mécaniques ou thermiques, même avec revêtement intérieur ou calorifuge"
"692.11","Réservoirs, foudres, cuves et récipients similaires pour toutes matières (à l’exclusion des gaz comprimés ou liquéfiés), en fonte, fer ou acier, d’une capacité supérieure à 300 litres, sans dispositifs mécaniques ou thermiques, même avec revêtement intérieur ou calorifuge"
"692.12","Réservoirs, foudres, cuves et récipients similaires pour toutes matières (à l’exclusion des gaz comprimés ou liquéfiés), en aluminium, d’une capacité supérieure à 300 litres, sans dispositifs mécaniques ou thermiques, même avec revêtement intérieur ou calorifuge"
"692.4","Réservoirs, fûts, tambours, bidons, boîtes et récipients similaires pour toutes matières (y compris les gaz comprimés ou liquéfiés), en fonte, fer, acier ou aluminium, d'une contenance n'excédant pas 300 litres, sans dispositifs mécaniques ou thermiques, même avec revêtement intérieur ou calorifuge"
"692.41","Réservoirs, fûts, tambours, bidons, boîtes et récipients similaires pour toutes matières (à l’exclusion des gaz comprimés ou liquéfiés), en fonte, fer ou acier, d’une capacité n’excédant pas 300 litres, sans dispositifs mécaniques ou thermiques, même avec revêtement intérieur ou calorifuge"
"692.42","Réservoirs, fûts, tambours, bidons, boîtes et récipients similaires (y compris les étuis tubulaires rigides ou souples) pour toutes matières (à l’exclusion des gaz comprimés ou liquéfiés), d’une capacité n’excédant pas 300 litres, sans dispositifs mécaniques ou thermiques, même avec revêtement intérieur ou calorifuge"
"692.43","Récipients en fonte, fer ou acier, pour gaz comprimés ou liquéfiés"
"692.44","Récipients pour gaz comprimés ou liquéfiés, en aluminium"
"693","Ouvrages en fils metalliques (a l’exclusion des articles isoles pour l’electricite), grillages et articles similaires"
"693.1","Torons, câbles, tresses, élingues et articles similaires, en fer, acier, cuivre ou aluminium, non isolés pour l'électricité"
"693.11","Torons, câbles, tresses, élingues et articles similaires en fer ou en acier, non isolés pour l’électricité"
"693.12","Torons, câbles, tresses, élingues et articles similaires en cuivre, non isolés pour l’électricité"
"693.13","Torons, câbles, tresses, élingues et articles similaires en aluminium, non isolés pour l’électricité"
"693.2","Ronces artificielles en fer ou en acier ; torsades, barbelées ou non, en fils ou en  feuillards de fer ou d’acier, des types utilisés pour les clôtures"
"693.5","Toiles métalliques (y compris les oiles continues ou sans fin), grillages et treillis en fils de fer, d'acier ou de vuivre; tôles et bandes déployées, en fer, en acier ou en cuivre"
"693.51","Toiles métalliques (y compris les toiles continues ou sans fin), grillages et treillis de fer ou d’acier ; feuilles et bandes déployées de fer ou d’acier"
"693.52","Toiles métalliques (y compris les toiles continues ou sans fin), grillages et treillis de cuivre ; feuilles et bandes déployées de cuivre"
"694","Pointes, clous, vis, ecrous, boulons, rondelles, rivets et articles similaires, en fer, en acier, en cuivre ou en aluminium"
"694.1","Pointes, clous, punaises, crampons appointés, agrafes ondulées ou biseautées (autres que celles du No 895.12) et articles similaires, en fer ou acier, même avec tête en autre matière, à l’exclusion de ceux à tête de cuivre"
"694.2","Vis, boulons, écrous, tire-fond, crochets à pas de vis, rivets, goupilles, chevilles, clavettes, rondelles (y compris les rondelles destinées à faire ressort) et articles similaires, en fonte, fer ou acier"
"694.21","Vis, boulons, écrous, tire-fond, crochets à pas de vis et articles filetés similaires, en fer ou acier"
"694.22","Rivets, goupilles, chevilles, clavettes, rondelles (y compris les rondelles destinées à faire ressort) et articles non filetés similaires, en fer ou acier"
