marchandises_simplification,code,sitc18_rev3,v3,imprimatur,status,beforeitems,afteritems,obsolete
huile de dégras,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de dégras],non
huile de faine et de noix,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile de faine et de noix] [Huiles de faine et de noix],non
huile de farde,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de farde],non
huile de Flandre,,,,,new,,,non
huile de flanelle,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de flanelle],non
huile de gayac,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de gayac],non
huile de genièvre,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de genievre] [Huile ; de genièvre] [Huiles de genièvre] [Huille de genievre] [Huile de genievre] [Huile de genièvre],non
huile de girofle,400,4,Huiles graisses cires végétales animales,,ambiguous,,[huile de cloux de girofle] [Huile ; de geroffle] [Huile ; de giroffle] [Huile ; de gérofle] [Huile de girofle] [huille de girofle] [Huille ; de geroffle] [Huiles; De girofle] [huile de géroffle] [Huile ; de gerofle] [Huile ; de géroffle] [Huile ; de Geroffle] [Huile ; de girofle] [Huile ; de Giroffle],non
huile de girofle et spirituelle,,,,,new,,,non
huile de grain,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile de Grain] [Huile de grain] [Huile ; de grain] [2///Matières premières///Huile de grains],non
huile de grain à peintures,500,5,Produits chimiques,,new,,,non
huile de graine,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; De graine] [Huile ; de Graine] [Huile ; de graine] [Huile ; de graines] [Huile de Graine] [Huile de graine] [Huile de graines] [Huiles ; De graine] [Huiles de graines] [Huille ; de Graine] [Huille de graine] [huile de Graine] [huile de graine] [huille de graine] [Huile de graines et autres] [Huiles de graines et autres] [2///Matières premières///Huile de graine] [Huiles diverses ; de graines] [Huiles ; de graine ; de graine] [Huile ; de graines ; diverses] [Huille ; de graine] [2///Matières première///Huile de graine] [Huile de grains],non
huile de graine commun,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine d'anis,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine d'olive,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine de cannelle,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine de girofle,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine de lin,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine de macis,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine de moutarde,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine de navette,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; De graine de navette],non
huile de graine de navette et de chanvre,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de graines de navette et de chanvre],non
huile de graine de poisson,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine de Rhodes,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de graine de térébenthine,500,5,Produits chimiques,,new,,,non
huile de graine et de lin,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Epiceries ; huile ; de lin et de graines],non
huile de graine et de noix,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile de graine et de noix] [Huiles de graines et de noix],non
huile de graisse,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de graisse],non
huile de graisse de poisson,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de graisse ; de poisson],non
huile de gras pour tanneur,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de hareng,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de harengs],non
huile de jasmin,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de jasmin] [Huile de Jasmin] [Huile de jasmin] [Huiles; De jasmin],non
huile de jayet,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huiles ; De jayet],non
huile de laine,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huille de laine],non
huile de laurier,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; De Laurier] [Huile ; de laurier] [Huile ; de lauriés] [Huile de Laurier] [Huile de laurier] [Huille ; de laurier] [Huille de Laurier] [Huille de laurier] [huile de laurier] [Huiles ; de graine ; de laurier],non
huile de lavande,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de lavande] [huile de lavende],non
huile de lin,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; De lin] [Huile ; de lin] [Huile de Lain] [Huile de Lin] [Huile de lin] [Huiles ; De lin] [Huille ; de lin] [Huille de Lin] [Huille de lin] [Huilles de lin] [Hulille ; de lin] [huile de Lin] [huile de lin] [huille de Lin] [huille de lin] [Huile; De lin] [Huiles; De lin] [Epicerie ; huile de lin] [Huile; de lin],non
huile de lin et spirituelle,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de loifon,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; De loifon],non
huile de loup marin,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de loup marin] [Huile de Loup Marin] [Huile de Loup marain] [Huile de loup marin],non
huile de maïs,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de maïs],non
huile de Majorque,,,,,new,,,non
huile de morne,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huiles ; De morne],non
huile de morue,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de morue] [Huile ; de morüe] [Huile de Morue] [Huile de Moruë] [Huile de morue] [Huile de moruë] [Huile de morüe] [Huile démordue] [Huille de Morue] [Huille de morue] [Huille de moruë] [huile de Morüe] [huile de morue] [huile de morüe] [Huiles; De morue],non
huile de muscade,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de muscade] [Huile ; de muscades] [Huile ; de museades] [huile de muscade] [huille de muscade] [Huile de muscade],non
huile de navette,,,,,new,,,non
huile de noix,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Epiceries ; huile ; de noix] [Huile ; De noix] [Huile ; de noix] [Huile de Noix] [Huile de noix] [Huiles ; DE noix] [Huiles ; De noix] [Huiles de noix] [Huille ; de noix] [Huille de Noix] [Huille de noix] [huile ; de noix] [huile de Noix],non
huile de Palma Christi,,,,,new,,,non
huile de palme,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de palmes] [Huile de palme] [Huille ; de palme] [Huille de palme] [huile de palmes] [huille de palme] [huille de palmes] [Huile ; de palme],non
huile de parfum,500,5,Produits chimiques,,ambiguous,,[Huile ; de parfum] [Huile de Parfum],non
huile de peinture,,,,,new,,,non
huile de pierre,300,3,Combustibles,,new,,,non
huile de pin,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de pin],non
huile de plante,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de plantes],non
huile de poisson,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Epiceries ; huile ; de poisson] [Huile ; De poisson] [Huile ; de poisson] [Huile ; de poissons] [Huile de Poisson] [Huile de poison] [Huile de poisson] [Huile de poissons] [Huile s de poison] [Huiles ; De poisson] [Huiles de poisson] [Huiles de poissons] [Huille ; de Poisson] [Huille ; de poisson] [Huille de Poisson] [Huille de poisson] [huile de Poisson] [huile de poisson] [huile de poissons] [huille ; de poisson] [huille de Poisson] [huille de poison] [huille de poisson] [huilles de poisson] [huilles de Poils Cru] [2///Matières premières///Huile de poisson] [Huilles de poisson] [Huiles; De poisson] [Huile ; de poisson ; divers] [Huile; De poisson] [2///Matières premières///Huile de poissons],non
huile de poisson des Indes,400,4,Huiles graisses cires végétales animales,,new,,,non
huile de poisson et de lin,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de poisson et de lin],non
huile de poisson et poix,,,,,new,,,non
huile de poisson et spirituelle,,,,,new,,,non
huile de poix,300,3,Combustibles,,new,,,non
huile de rabette,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de rabelle] [Huile ; de rabette] [Huile de Rabelle] [Huile de rabelles] [Huile de rabette] [Huile derabette] [Huille ; de rabette] [Huille de rabette] [huile de rabette] [huille de Rabette] [huille de Rabotte] [huilr de rabette] [Huile ; de Rabette] [Huile de Rabette],non
huile de rave,,,,,new,,,non
huile de Rhodes,,,,,new,,,non
huile de rhue,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de rhue],non
huile de rose,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de roze] [Huile de rose],non
huile de Salmus,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de Salmus],non
huile de saxafrax,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de saxafrax],non
huile de scorpion,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de scorpion] [Huile de scorpion] [Huille ; de scorpion],non
huile de sein,,,,,new,,,non
huile de semence,,,,,new,,,non
huile de senteur,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de Senteur] [Huile ; de senteur] [Huile de senteur] [Huille de Senteur] [Huille de senteur] [Huilles de senteur] [huile de senteur] [huille de senteur],non
huile de soldat,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile de soldat],non
huile de souffre,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de souffre],non
huile de spermaceti,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de spermacati] [Huile ; de spermacety] [Huile ; de spermanty] [Huile de spermacety],non
huile de storax,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de storax] [Huile ; deftorax] [huile de storax],non
huile de tamarin,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de tamarin] [huile de tamarin],non
huile de tartre,,,,,new,,,non
huile de térébenthine,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture ; Huile de térébenthine] [Drogue ; pour la peinture et la teinture ; huile de térébenthine] [Drogues ; Pour la peinture et la teinture ; Huile de thérébentine] [Drogues ; pour peinture et teinture ; huile ; de thérébentine] [Huile ; de terebenthine] [Huile ; de terrebentine] [Huile ; de therebentine] [Huile ; de térébenthine] [Huile ; de tétébenthine] [Huile de Terebentine] [Huile de therebentine] [Huile de térébenthine] [Huille de terbantine] [huile de therebentinne] [Huille de terebantine] [Huile de Therebentine] [Huile de terebentine] [Drogueries ; pour la peinture et la teinture ; huile ; de térébentine] [Huille de therebentine] [Huile de terebenthine] [Huile de thérébenthine] [Huile ; de therebantine] [Drogues ; huile ; de thérébenthine] [Huille de terebenthine] [Huile de terrebenthine] [Drogues ; pour la peinture et la teinture ; huile ; de térébenthine] [Drogueries ; pour peinture et teinture ; huile ; de thérébenthine] [Huile de terebanthine] [Huile de terebenctine] [Huille de thérébentine] [Huille de therebantine] [Huile ; de therebenthine],non
huile de verre,,,,,new,,,non
huile de vialle,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; de vialles],non
huile de vitriol,500,5,Produits chimiques,,ambiguous,,[Huile de Nitriol] [huile de Nitriol] [huille de nitriol] [Drogueries ; huile ; de vitriol] [Drogues ; Huile de vitol] [Drogues ; Huile de vitriol] [Drogues ; huile ; de vitriol] [huile de Vitriol] [Huiles; De vitriol] [Drogueries ; médecinales ; huile ; de vitriol] [huille de vitriol] [Drogues; Chimiques huile de vitriol] [Huille ; de vitriol] [Huile ; de Vitriol] [Huile de Vitriol] [Huile de vitriol] [huille de Vitriol] [Huille de Vitriol] [huile de vitriol] [Huile ; de vitriol],non
huile de vitriol et vitriol,,,,,new,,,non
huile dellevette,,,,,new,,,non
huile diverse,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; diverse] [Huile ; diverses] [Huile diverse] [Huiles ; Diverses] [Huiles diverses] [Huiles ; diverses] [Huiles; Diverses],non
huile en crasse,,,,,new,,,non
huile en crasse ou degnes ???,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huiles ; En crasse ou Degnes ****],non
huile en dignar,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; en dignar],non
huile et acide vitriolique,400,4,Huiles graisses cires végétales animales,,ambiguous,[Huiles et acides vitrioliques],[Huiles et acides vitrioliques],non
huile et essence de térébenthine,500,5,Produits chimiques,,ambiguous,,[Huile et essence de térébenthine] [Huile et essence de térébentine] [///Drogues diverses///Huile et essence de Térébenthine] [///Drogues diverses///Huile et essence de térébenthine],non
huile et provision,,,,,existing,,,non
huile et sirop,,,,,existing,,,non
huile fine,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; fine] [Huile fine],non
huile grap indigo,500,5,Produits chimiques,,ambiguous,,[Huile ; grap ; indigo],non
huile marc d'olive ou amurca,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huiles (marc d'olive ou amurca)],non
huile médicinale,,,,,new,,,non
huile pétrole,300,3,Combustibles,,ambiguous,,[Huile ; de pétrole] [Huile ; petrolle] [Huille petrolle] [huille petrolle],non
huile pour étranger de poisson,,,,,new,,,non
huile pour fabrique,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huiles d'olive et autres pour fabriques],non
huile pour France de poisson,,,,,new,,,non
huile rabette,400,4,Huiles graisses cires végétales animales,,ambiguous,,[huile rabette],non
huile spirituelle d'olive,,,,,new,,,non
huile stale,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; stale],non
huile succin,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Huile ; succin] [Huile ; succint] [Huile ; sucein],non
huile superfine,,,,,new,,,non
huile térébenthine,500,5,Produits chimiques,,ambiguous,,[Huile Terebantine] [Huile terebentine] [Huile therebentine] [Huile trebenthine] [Huile ; terebentine],non
huile vierge,,,,,,,,non
huîtres,,,,,new,,,non
huîtres à la daube,,,,,,,,non
huîtres à la daube ou huîtres marinées,,,,,new,,,non
huîtres à mariner,,,,,new,,,non
huîtres en écaille,,,,,,,,non
huîtres en pierres,,,,,new,,,non
huîtres fraîches,,,,,,,,non
huîtres frais et salées,,,,,new,,,non
huîtres marines,,,,,new,,,non
hydromel,100,1,Boissons et tabac,x,ambiguous,[Hidromel] [Hydromel] [hidromel],[Hidromel] [Hydromel] [hidromel],non
hypochetia,,,,,new,,,non
hypocristis,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Hypocristis],[Hypocristis],non
igname,,,,,new,,,non
images,,,,,,,,non
images de corne,,,,,,,,non
images de papier,,,,,,,,non
images de papier et estampes et carte géographique,,,,,,,,non
images de parchemin,,,,,,,,non
images de parchemins de corne,,,,,,,,non
images de vélin,,,,,,,,non
images des Indes,800,8,Manufs divers,,new,,,non
images et carte géographique,,,,,,,,non
images et dominoterie,,,,,,,,non
images peintes,800,8,Manufs divers,,new,,,non
impériale de laine,652,6e,Textiles laine poil,,,,,non
inde,500,5,Produits chimiques,,ambiguous,[Inde],[Inde],non
Inde de Java,999,???,???,,,,,non
Inde fine,999,???,???,,ambiguous,,[Jude fin] [Inde ; fine] [Inde fine] [Indes ; fine] [Indes ; fines] [Indes fines] [Jude ; fine],non
Inde florée,999,???,???,,,,,non
Inde flottante,500,5,Produits chimiques,,ambiguous,,[Inde ; flottante] [Jude ; flottante] [Indes flottante] [Inde flotante] [Inde flottante],non
Inde Java,500,5,Produits chimiques,,ambiguous,,[Inde ; java] [Inde Java],non
Inde plante,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Inde Plante],non
Inde plate,500,5,Produits chimiques,,ambiguous,,[Inde ; platte] [Inde Plats] [Inde Platte] [Inde Plattes] [Inde plate] [Inde plates] [Inde platte] [Indeplate] [Indeplatte] [Indes ; platte] [Indes ; plattes] [Indes Plates] [Indes platte] [inde plate] [inde platte] [indeplats] [indeplatte] [Drogueries ; pour peinture et teinture ; Inde ; platte] [Drogues ; pour la peinture et la teinture ; Inde ; platte] [Drogues ; pour peinture et teinture ; inde ; platte] [Inde-plate] [Drogues; Pour peintures et teintures; Indeplatte] [Inde ; plate] [Jude ; platte],non
indienne,654,6g,Textiles coton,,ambiguous,[Indiene] [Indienne] [Indiennes] [Indiènes] [indiene] [indienne] [indiennes] [Toile ; des Indes ; diverses],[Indiene] [Indienne] [Indiennes] [Indiènes] [indiene] [indienne] [indiennes],non
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,654,6g,Textiles coton,,ambiguous,,"[Cotonades ; toiles peintes, teintes et imprimées, indiennes et siamoises] [Cotonnades ; toiles peintes, teintes et imprimées, indiennes et siamoises]",non
indienne de coton et siamoise de coton et toile de coton peinte,654,6g,Textiles coton,,ambiguous,,"[Cotonades ; Toiles peintes, indiennes et siamoises] [Cotonnades ; toiles peintes, indiennes et siamoises]",non
indienne de coton et toile de coton peinte,654,6g,Textiles coton,,ambiguous,,[Cotonades ; Toiles peintes et indiennes] [Cotonnade ; Toiles peintes et indiennes] [Cotonnades ; Toiles peintes et indiennes] [Cotonnades ; toiles peintes et indiennes],non
indienne des Indes,654,6g,Textiles coton,,new,,,non
indienne des Indes et toile peinte,654,6g,Textiles coton,,new,,,non
indienne et sitz,654,6g,Textiles coton,,new,,,non
indienne et toile perse,654,6g,Textiles coton,,new,,,non
indienne étrangère,654,6g,Textiles coton,,ambiguous,,[Indiennes étrangéres],non
indienne étrangère et toile peinte,654,6g,Textiles coton,,new,,,non
indienne française,654,6g,Textiles coton,,ambiguous,,[Indiennes Françoise],non
indienne Guinée blanc,,,,,,,,non
indienne nationale et toile peinte,654,6g,Textiles coton,,new,,,non
indigo,500,5,Produits chimiques,,ambiguous,,[Drogue ; pour la peinture et la teinture ; Indigo] [Drogue ; pour peinture et teinture ; indigo] [Drogueries ; pour la peinture et la teinture ; indigo] [Drogueries ; pour peinture et teinture ; Indigo] [Drogueries ; pour peinture et teinture ; indigo] [Drogues ; pour la peinture et la teinture ; indigo] [Drogues ; pour la peinture et teinture ; indigo] [Drogues ; pour peinture et teinture ; indigo] [Drogues ; pour teinture et teinture ; indigo] [Drogues ; Pour la teinture ; Indigo] [Indigo] [indigo] [Drogues ; indigo] [Indigo ; des Isles] [Denrées coloniales ; Indigo] [Marchandises de Colonies françaises de l'Amérique ; Indigo] [Drogues; Pour peintures et teintures; Indigo] [Drogues; pour teinture et peinture; Indigo] [Indigo des Isles] [3///Suite des matières premières///Indigo] [Denrées des Isles Françaises de l'Amérique : Indigo] [3///Matières première///Indigo] [3///Matières premières///Indigo] [Drogues; Pour peinture et teinture; Indigo],non
indigo commun,500,5,Produits chimiques,,ambiguous,,[Indigo commun],non
indigo de guatimalo,500,5,Produits chimiques,,new,,,non
indigo de retour,500,5,Produits chimiques,,new,,,non
indigo des Îles françaises,500,5,Produits chimiques,,ambiguous,,[Drogues ; indigo ; des Isles françaises],non
indigo des Indes,500,5,Produits chimiques,,new,,,non
indigo du Guatemala,500,5,Produits chimiques,,new,,,non
indigo en gr ???,500,5,Produits chimiques,,new,,,non
indigo floré,500,5,Produits chimiques,,new,,,non
indigo guatimalo,500,5,Produits chimiques,,ambiguous,,[Drogues ; pour la peinture et la teinture ; indigo ; gatimalo] [Indigo guatimale] [Indigo gatimalo],non
indigo par Bordeaux Nantes Le Havre et Dunkerque,500,5,Produits chimiques,,new,,,non
injubes,,,,,new,,,non
insecte,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Insectes] [Insects],[Insectes] [Insects],non
instruments,800,8,Manufs divers,,new,,,non
instruments astronomie,,,,,,,,non
instruments astronomiques,800,8,Manufs divers,,new,,,non
instruments clavecin,800,8,Manufs divers,,new,,,non
instruments d'optique,,,,,,,,non
instruments d'optiques et ouvrages ditto,800,8,Manufs divers,,new,,,non
instruments d'orfèvre,,,,,,,,non
instruments de chimie,,,,,,,,non
instruments de chirurgie,800,8,Manufs divers,,ambiguous,,[Instrument ; de chirurgie] [Instruments ; De chirurgie] [Instruments ; de chirurgie] [Instrumts ; de chirurgie] [instrumens de chirurgie] [Instruments de chirurgie],non
instruments de jardinage,,,,,,,,non
instruments de marine,800,8,Manufs divers,,ambiguous,,[Instruments ; De marine] [Instruments ; de marine] [Instrument de marine] [Instruments de marine],non
instruments de mathématique,800,8,Manufs divers,,new,,,non
instruments de mathématique et de musique,800,8,Manufs divers,,ambiguous,,[Instruments ; de musique ; de mathématique],non
instruments de mécanique,,,,,,,,non
instruments de mer,800,8,Manufs divers,,ambiguous,,[Instruments ; de mer],non
instruments de musique,800,8,Manufs divers,,ambiguous,,[Instrumens de musique ; divers] [Instrum de musique] [Instrum. ; de musique] [Instrumens ; de musique] [Instrumens de musique] [Instrument ; de musique] [Instrument de musique] [Instruments ; De musique] [Instruments ; de musique] [Instruments de musique] [Instruments de musiques] [Instrumts ; de musique] [Intrusments ; de musique] [instrumens de musique] [Instruments ; de musique ; divers] [Instruments de musique ; divers] [Instruments de musique divers] [Instruments ; à jouer],non
instruments de musique et autre,,,,,,,,non
instruments de navigation,800,8,Manufs divers,,,,,non
instruments de physique,,,,,,,,non
instruments de pilotage,,,,,,,,non
instruments épinettes,800,8,Manufs divers,,new,,,non
instruments machine et mécanique propres aux arts et aux sciences,800,8,Manufs divers,,new,,,non
instruments pour la pêche,800,8,Manufs divers,,new,,,non
instruments pour les art et les science,800,8,Manufs divers,,,,,non
instruments propre aux science,800,8,Manufs divers,,,,,non
instruments propres aux arts libéraux,800,8,Manufs divers,,new,,,non
ipécacuanha,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
iris,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Iris] [Irix] [Jris] [Jrix] [iris],[Iris] [Irix] [Jris] [Jrix] [iris] [Drogueries ; pour peinture et teinture ; Iris] [Drogues ; pour la peinture et la teinture ; iris] [Drogues ; pour peinture et teinture ; iris] [Drogues ; Pour la teinture ; Iris],non
iris de citron,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
iris de Florence,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
irtaine,652,6e,Textiles laine poil,,ambiguous,,[Drap ; draperie ; irtaine],non
isaris,999,???,???,,ambiguous,[Isaris],[Isaris],non
issarions de palmes,,,,,new,,,non
istarions d'espars,,,,,new,,,non
Itaine de laine,,,,,,,,non
ivies,,,,,new,,,non
ivoire,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Ivoire] [Ivoire ; ?] [Yvoire] [Ivoire ; Divers] [Ivoire ; Diverse] [Ivoire ; diverse],[Ivoire] [Ivoire ; ?] [Yvoire] [Ivoire ; Divers] [Ivoire ; Diverse] [Ivoire ; diverse],non
ivoire brûlé,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
ivoire brut,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
ivoire de Dieppe,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,existing,,,non
ivoire dent d'éléphant,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Ivoire ; brut ; en dent d'éléphant] [Ivoire ; Dents d'éléphant] [Ivoire ; Dents d'éléphants] [Ivoire ; dents d'éléphant] [Ivoires ; Dents d'éléphants] [Ivoire ; en dent d'éléphant] [Ivoire ; en dents ; d'éléphants] [Ivoire ; en dents ; d'éléphant],non
ivoire noir,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[yvoire Noir],non
ivoire ou morphil,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
jais,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[J..is] [Jais] [Jaye] [Jayet] [Jaïa] [Jaïs],[J..is] [Jais] [Jaye] [Jayet] [Jaïa] [Jaïs] [Drogue ; pour la peinture et la teinture ; jais],non
jais brut,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
jais de chêne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Jas de chesne],non
jais ou ouvrages de jai,,,,,,,,non
jalap,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Jalap] [Jalaps] [Jalop] [jalap] [jalappe] [jalops],[Jalap] [Jalaps] [Jalop] [jalap] [jalappe] [jalops] [Drogues ; Médécinales ; Jalap] [Drogues ; médecinales ; jalap] [Drogues ; médicinales ; jalap] [Drogues ; médécinales ; jalap] [Drogues; Médicinales; Jalap] [Drogues ; medicinales ; jalap] [Drogues ; Medecinales en plantes ; Jalop] [Drogueries médicinales jalap],non
jamavar,,,,,new,,,non
jambon,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Jambon] [Jambons] [Jamboun] [Janbon] [jambon] [jambons] [Jambon ; fumé],[Jambon] [Jambons] [Jamboun] [Janbon] [jambon] [jambons] [Jambon ; fumé] [Comestibles ; jambon] [Jambon fumé] [Jmabons],non
jambon de Bayonne,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Jambon de bayonne] [Jambons de Bayonne] [Jambons de bayonne],non
jambon de Mayence,110,0a,Nourriture européenne et animaux vivants,,new,,,non
jambon du pays,110,0a,Nourriture européenne et animaux vivants,,new,,,non
jambon fumé,,,,,,,,non
jambon non fumé,110,0a,Nourriture européenne et animaux vivants,,new,,,non
jambons,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Chairs salées ; chair de porc ; jambon] [Chair ; de porc ; en jambons] [Chairs jambon] [Chair ; de porc ; jambons] [Chairs de porc en jambons] [Chairs ; jambon],non
jambons salés,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Chair ; salée ; en jambon] [Chair ; salée ; jambon] [Chair salée ; Jambon] [Chair salée ; Jambons] [Chairs ; salées ; en jambon] [Chairs ; salées ; jambons] [Chairs salée jambon] [Chairs salées ; jambon] [Chair salée jambon] [Chair ; salée ; en jambons] [Chairs salées de porc en jambon] [Chairs salées jambon] [Chaires salées ; jambon] [Chairs salées diverses ; jambon] [Chairs salées; Jambon] [Chairs ; salées ; de porc ; en jambon],non
Jambons salés,,,,,,,,non
jamis,,,,,new,,,non
jantes,,,,,,,,non
jantes et rais,,,,,,,,non
jardinage divers,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Jardinage ; divers],non
jardinage jasmin,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
jarre de terre,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Jarres ; de terre] [Jarres de terre] [jarre de terre],non
jarres,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Jarrca] [Jarres] [Ouvrage jarres] [Jarros],non
jarretières,800,8,Manufs divers,,new,,,non
jarretières d'argent,,,,,,,,non
jarretières d'argent et d'or et de soie,800,8,Manufs divers,,new,,,non
jarretières d'or et d'argent,,,,,,,,non
jarretières de fil,,,,,,,,non
jarretières de filoselle,,,,,,,,non
jarretières de fleuret,,,,,,,,non
jarretières de laine,800,8,Manufs divers,,ambiguous,,[Jaretieres ; de laine] [Jarretieres ; de laine] [Jarretieres de laines] [Jarretières ; de laine] [Jardiéres de laine],non
jarretières de soie,,,,,,,,non
jarretières et ruban de laine,,,,,,,,non
jas,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture ; Jas],non
jaspe,660,6k,Autres manufs classés par mat 1ères,,ambiguous,[Jaspe],[Jaspe],non
jatape,,,,,,,,non
jattes de bois,,,,,new,,,non
jaune commun,,,,,new,,,non
jaune de Naples,,,,,new,,,non
jaune doré,,,,,new,,,non
jaune gros,,,,,new,,,non
jaune paille,,,,,new,,,non
jaune royale,,,,,new,,,non
jeanne,,,,,,,,non
jeanne gros,,,,,,,,non
jet de bière,,,,,new,,,non
jet et lie de bière,,,,,new,,,non
jetons d'argent,,,,,,,,non
jets de cannes,,,,,,,,non
jets de cannes à poignée d'ambre,,,,,new,,,non
jets de terre,,,,,,,,non
jets de voile,,,,,,,,non
