"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","sheet","marchandises","pays","direction","value","remarks"
220,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1761,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
221,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1762,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
222,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1763,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
223,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1764,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
224,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1765,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
225,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1766,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
226,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1767,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
227,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1768,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
228,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1769,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
229,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1770,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
230,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1771,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
231,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1726,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes","2704130,9","En fait sur deux ans"
232,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1727,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes","2584311,5","En fait sur deux ans"
233,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1728,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes","873111,833333333","En fait sur deux ans"
234,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1729,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",371200,"En fait sur deux ans"
235,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1730,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",238525,"En fait sur deux ans"
236,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1731,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",156990,"En fait sur deux ans"
237,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1732,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
238,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1733,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",244470,"En fait sur deux ans"
239,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1734,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
240,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1735,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",316712,"En fait sur deux ans"
241,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1736,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes","224253,2","En fait sur deux ans"
242,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1737,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",250630,"En fait sur deux ans"
243,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1738,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes","421643,3625","En fait sur deux ans"
244,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1739,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",390302,"En fait sur deux ans"
245,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1740,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes","339801,5875","En fait sur deux ans"
246,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1741,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",273050,"En fait sur deux ans"
247,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1742,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",351060,"En fait sur deux ans"
248,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1743,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",281565,"En fait sur deux ans"
249,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1744,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",265600,"En fait sur deux ans"
250,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1745,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
251,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1746,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
252,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1747,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
253,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1748,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
254,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1749,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
255,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1750,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
256,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1751,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",160000,"En fait sur deux ans"
257,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1752,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
258,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1753,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
259,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1754,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
260,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1755,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
261,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1756,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
262,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1757,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
263,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1758,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
264,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1759,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
265,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1760,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
266,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1761,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
267,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1762,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
268,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1763,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
269,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1764,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
270,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1765,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
271,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1766,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
272,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1767,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
273,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1768,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
274,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1769,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
275,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1770,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
276,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Out",1771,"Imports",1,"nègres de Guinée","Guinée","Antilles par la Compagnie des Indes",0,"En fait sur deux ans"
277,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1726,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","4867,05416666667","En fait sur deux ans"
278,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1727,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","116409,670833333","En fait sur deux ans"
279,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1728,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","51298,275","En fait sur deux ans"
280,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1729,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
281,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1730,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","133568,179166667","En fait sur deux ans"
282,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1731,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
283,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1732,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
284,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1733,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
285,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1734,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
286,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1735,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","23774,7041666667","En fait sur deux ans"
287,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1736,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","113580,3875","En fait sur deux ans"
288,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1737,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
289,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1738,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
290,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1739,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","52037,4833333333","En fait sur deux ans"
291,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1740,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","10217,2208333333","En fait sur deux ans"
292,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1741,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","37421,275","En fait sur deux ans"
293,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1742,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
294,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1743,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
295,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1744,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes","15690,2083333333","En fait sur deux ans"
296,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1745,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
297,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1746,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
298,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1747,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
299,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1748,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
300,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1749,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
301,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","National toutes directions tous partenaires",1750,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
302,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1751,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
303,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1752,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
304,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1753,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
305,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1754,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
306,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1755,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
307,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1756,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
308,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1757,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
309,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1758,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
310,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1759,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
311,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1760,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
312,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1761,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
313,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1762,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
314,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1763,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
315,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1764,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
316,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1765,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
317,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1766,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
318,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1767,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
319,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1768,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
320,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1769,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
321,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1770,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
322,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1771,"Imports",1,"or, ivoire et morphil","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
323,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1726,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","433263,570833333","En fait sur deux ans"
324,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1727,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","142245,775","En fait sur deux ans"
325,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1728,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","130377,9125","En fait sur deux ans"
326,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1729,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","185300,183333333","En fait sur deux ans"
327,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1730,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","96112,8791666667","En fait sur deux ans"
328,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1731,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","32211,4625","En fait sur deux ans"
329,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1732,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","75238,2416666667","En fait sur deux ans"
330,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1733,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","219947,383333333","En fait sur deux ans"
331,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1734,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","140646,633333333","En fait sur deux ans"
332,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1735,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","228703,195833333","En fait sur deux ans"
333,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1736,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Sénégal","Sénégal","France par la Compagnie des Indes","233371,554166667","En fait sur deux ans"
