numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantit_unit,prix_unitaire,value,probleme,remarks
95,Hasna,Archives de la CCI de Marseille - I 124,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,jus de reglisse,Marseille,Espagne,"50,00",livres,"0,3500000","17,00","-0,50",
96,Hasna,Archives de la CCI de Marseille - I 125,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,laine de chevron,Marseille,Espagne,"25 072,00",livres,"3,0000000","75216,00","0,00",
97,Hasna,Archives de la CCI de Marseille - I 126,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,laine lavée,Marseille,Espagne,"93 671,00",livres,"1,1000000","103038,00","-0,10",
98,Hasna,Archives de la CCI de Marseille - I 127,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,laine de segovie,Marseille,Espagne,"72 600,00",livres,"1,6000000","116160,00","0,00",
99,Hasna,Archives de la CCI de Marseille - I 128,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,laine surge,Marseille,Espagne,"627 761,00",livres,"1,0000000","627761,00","0,00",
100,Hasna,Archives de la CCI de Marseille - I 129,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,laine de vigogne,Marseille,Espagne,"7 034,00",livres,"10,0000000","70340,00","0,00",
101,Hasna,Archives de la CCI de Marseille - I 130,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,librairie,Marseille,Espagne,"750,00",livres,"2,0000000","1500,00","0,00",
102,Hasna,Archives de la CCI de Marseille - I 131,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,liege,Marseille,Espagne,"107 098,00",livres,"0,1500000","16064,00","-0,70",
103,Hasna,Archives de la CCI de Marseille - I 132,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,marbre brut,Marseille,Espagne,"9,00",pierres,"30,0000000","270,00","0,00",
104,Hasna,Archives de la CCI de Marseille - I 133,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,meches,Marseille,Espagne,"2 300,00",livres,"0,2500000","575,00","0,00",
105,Hasna,Archives de la CCI de Marseille - I 134,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,morües seches,Marseille,Espagne,"969 800,00",livres,"0,1500000","145470,00","0,00",
106,Hasna,Archives de la CCI de Marseille - I 135,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,mouchoirs de soye,Marseille,Espagne,"882,00",pieces,"2,1000000","1852,00","-0,20",
107,Hasna,Archives de la CCI de Marseille - I 136,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,mouchoirs de soye,Marseille,Espagne,"9 224,00",douzaines,"28,0000000","258272,00","0,00",
108,Hasna,Archives de la CCI de Marseille - I 137,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,nattes,Marseille,Espagne,"10 007,00",nombre,"1,5000000","15010,00","-0,50",
109,Hasna,Archives de la CCI de Marseille - I 138,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,olives,Marseille,Espagne,"6 344,00",livres,"0,2500000","1586,00","0,00",
110,Hasna,Archives de la CCI de Marseille - I 139,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,palmes en feuille,Marseille,Espagne,"5 000,00",livres,"0,5000000","2500,00","0,00",
