numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantit_unit,prix_unitaire,value,probleme,remarks
766,Hasna,Archives de la CCI de Marseille - I 795,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,argenterie,Marseille,Savoye et Piemont,"772,00",marcs,"52,0000000","40140,00","-4,00",erreur de calcul
767,Hasna,Archives de la CCI de Marseille - I 796,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,aristoloche,Marseille,Savoye et Piemont,"1 560,00",livres,"0,2000000","312,00","0,00",
768,Hasna,Archives de la CCI de Marseille - I 797,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,arquifou,Marseille,Savoye et Piemont,"19 332,00",livres,"0,1500000","2899,00","-0,80",
769,Hasna,Archives de la CCI de Marseille - I 798,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,balais de palmes,Marseille,Savoye et Piemont,"127,00",douzaines,"0,9000000","114,00","-0,30",
770,Hasna,Archives de la CCI de Marseille - I 799,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,barrils vuides,Marseille,Savoye et Piemont,"198,00",nombre,"1,5000000","297,00","0,00",
771,Hasna,Archives de la CCI de Marseille - I 800,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bas de cotton,Marseille,Savoye et Piemont,"1,50",douzaines,"36,0000000","54,00","0,00",
772,Hasna,Archives de la CCI de Marseille - I 801,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bas de cotton,Marseille,Savoye et Piemont,"3 521,00",livres,"5,0000000","17605,00","0,00",
773,Hasna,Archives de la CCI de Marseille - I 802,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bas de laine,Marseille,Savoye et Piemont,"17,00",paires,"4,0000000","68,00","0,00",
774,Hasna,Archives de la CCI de Marseille - I 803,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bas de laine,Marseille,Savoye et Piemont,"2 500,00",livres,"6,0000000","15000,00","0,00",
775,Hasna,Archives de la CCI de Marseille - I 804,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,basin,Marseille,Savoye et Piemont,"6 975,00",livres,"6,0000000","41850,00","0,00",
776,Hasna,Archives de la CCI de Marseille - I 805,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bergamottes,Marseille,Savoye et Piemont,"7 600,00",livres,"0,1000000","760,00","0,00",
777,Hasna,Archives de la CCI de Marseille - I 806,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,beuf salé,Marseille,Savoye et Piemont,"2 300,00",livres,"0,3000000","690,00","0,00",
778,Hasna,Archives de la CCI de Marseille - I 807,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,beure,Marseille,Savoye et Piemont,"1 009,00",livres,"0,4000000","403,00","-0,60",
779,Hasna,Archives de la CCI de Marseille - I 808,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bled froment,Marseille,Savoye et Piemont,"7 806,00",charges,"20,0000000","156120,00","0,00",
780,Hasna,Archives de la CCI de Marseille - I 809,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bois de brezilles,Marseille,Savoye et Piemont,"3 000,00",livres,"45,0000000","135000,00","0,00",
781,Hasna,Archives de la CCI de Marseille - I 810,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bois a bruler,Marseille,Savoye et Piemont,"1 504 000,00",livres,"0,0075000","11280,00","0,00",
782,Hasna,Archives de la CCI de Marseille - I 811,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bois de buis,Marseille,Savoye et Piemont,"1 810,00",livres,"1,5000000","2715,00","0,00",
783,Hasna,Archives de la CCI de Marseille - I 812,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bois de charpente,Marseille,Savoye et Piemont,"200,00",livres,"0,0300000","6,00","0,00",
784,Hasna,Archives de la CCI de Marseille - I 813,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bois de construction,Marseille,Savoye et Piemont,"30,00",livres,"20,0000000","600,00","0,00",
785,Hasna,Archives de la CCI de Marseille - I 814,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bois de fustel,Marseille,Savoye et Piemont,"37 044,00",livres,"0,1500000","5556,00","-0,60",
786,Hasna,Archives de la CCI de Marseille - I 815,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bois ouvré,Marseille,Savoye et Piemont,"300,00",livres,"0,2500000","75,00","0,00",
787,Hasna,Archives de la CCI de Marseille - I 816,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bois ouvré,Marseille,Savoye et Piemont,"1,00",valeur,"36,0000000","36,00","0,00",en valeur
788,Hasna,Archives de la CCI de Marseille - I 817,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bois a faire paniers,Marseille,Savoye et Piemont,"800,00",livres,"0,1000000","80,00","0,00",
789,Hasna,Archives de la CCI de Marseille - I 818,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bonnets de cotton,Marseille,Savoye et Piemont,"1 981,00",livres,"5,0000000","9905,00","0,00",
790,Hasna,Archives de la CCI de Marseille - I 819,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bonnets de laine,Marseille,Savoye et Piemont,"340,00",douzaines,"18,0000000","6120,00","0,00",
791,Hasna,Archives de la CCI de Marseille - I 820,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bonnets de laine,Marseille,Savoye et Piemont,"4 819,00",livres,"6,0000000","28914,00","0,00",
792,Hasna,Archives de la CCI de Marseille - I 821,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bourde,Marseille,Savoye et Piemont,"3 748 400,00",livres,"0,0800000","299872,00","0,00",
793,Hasna,Archives de la CCI de Marseille - I 822,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,bourre a batir,Marseille,Savoye et Piemont,"62,00",livres,"0,1000000","6,00","-0,20",
794,Hasna,Archives de la CCI de Marseille - I 823,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,boutons de crin,Marseille,Savoye et Piemont,"80,00",livres,"6,0000000","480,00","0,00",
795,Hasna,Archives de la CCI de Marseille - I 824,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,cacao,Marseille,Savoye et Piemont,"4 000,00",livres,"1,3000000","5200,00","0,00",
796,Hasna,Archives de la CCI de Marseille - I 825,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,cannes de rozeaux,Marseille,Savoye et Piemont,"300,00",livres,"0,1000000","30,00","0,00",
797,Hasna,Archives de la CCI de Marseille - I 826,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,cantarides,Marseille,Savoye et Piemont,"2 151,00",livres,"2,5000000","5375,00","-2,50",erreur de calcul
798,Hasna,Archives de la CCI de Marseille - I 827,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,carnasse,Marseille,Savoye et Piemont,"1 150,00",livres,"0,2000000","230,00","0,00",
799,Hasna,Archives de la CCI de Marseille - I 828,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,13,1757,Imports,carrouge,Marseille,Savoye et Piemont,"3 300,00",livres,"0,0500000","165,00","0,00",
800,Hasna,Archives de la CCI de Marseille - I 829,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,carubis,Marseille,Savoye et Piemont,"1 118,00",livres,"0,0500000","55,00","-0,90",
801,Hasna,Archives de la CCI de Marseille - I 830,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cavelles,Marseille,Savoye et Piemont,"3,00",douzaines,"6,0000000","18,00","0,00",
802,Hasna,Archives de la CCI de Marseille - I 831,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cendre,Marseille,Savoye et Piemont,"6 000,00",livres,"5,0000000","30000,00","0,00",
803,Hasna,Archives de la CCI de Marseille - I 832,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cercles de bois,Marseille,Savoye et Piemont,"79,00",milliers,"40,0000000","3160,00","0,00",
804,Hasna,Archives de la CCI de Marseille - I 833,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cercles de bois,Marseille,Savoye et Piemont,"101,00",rodes,"1,5000000","151,00","-0,50",
805,Hasna,Archives de la CCI de Marseille - I 834,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cercles a tamis,Marseille,Savoye et Piemont,"54,00",rodes,"2,0000000","108,00","0,00",
806,Hasna,Archives de la CCI de Marseille - I 835,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,chair salées,Marseille,Savoye et Piemont,"54,00",livres,"0,2500000","13,00","-0,50",
807,Hasna,Archives de la CCI de Marseille - I 836,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,champignons,Marseille,Savoye et Piemont,"30,00",livres,"1,8000000","54,00","0,00",
808,Hasna,Archives de la CCI de Marseille - I 837,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,chandelle,Marseille,Savoye et Piemont,"15 160,00",livres,"0,4500000","6822,00","0,00",
809,Hasna,Archives de la CCI de Marseille - I 838,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,chanvre battu,Marseille,Savoye et Piemont,"94 238,00",livres,"0,2400000","22617,00","-0,12",
810,Hasna,Archives de la CCI de Marseille - I 839,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,chanvre crû,Marseille,Savoye et Piemont,"1 139 279,00",livres,"0,1800000","205069,00","-1,22",arrondi?
811,Hasna,Archives de la CCI de Marseille - I 840,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,chanvre peigné,Marseille,Savoye et Piemont,"4 050,00",livres,"0,5000000","2025,00","0,00",
812,Hasna,Archives de la CCI de Marseille - I 841,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,chataignes,Marseille,Savoye et Piemont,"16,00",septiers,"5,0000000","80,00","0,00",
813,Hasna,Archives de la CCI de Marseille - I 842,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,chataignes,Marseille,Savoye et Piemont,"302 360,00",livres,"0,0500000","15118,00","0,00",
814,Hasna,Archives de la CCI de Marseille - I 843,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cheval,Marseille,Savoye et Piemont,"1,00",en nombre,"50,0000000","50,00","0,00",
815,Hasna,Archives de la CCI de Marseille - I 844,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cheveux,Marseille,Savoye et Piemont,"6,00",livres,"20,0000000","120,00","0,00",
816,Hasna,Archives de la CCI de Marseille - I 845,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,chevrons de sapin,Marseille,Savoye et Piemont,"17,50",douzaines,"12,0000000","210,00","0,00",
817,Hasna,Archives de la CCI de Marseille - I 846,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,chocolat,Marseille,Savoye et Piemont,"40,00",livres,"2,0000000","80,00","0,00",
818,Hasna,Archives de la CCI de Marseille - I 847,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cire jaune,Marseille,Savoye et Piemont,"2 000,00",livres,"1,5000000","3000,00","0,00",
819,Hasna,Archives de la CCI de Marseille - I 848,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,citrons,Marseille,Savoye et Piemont,"353,50",milliers,"15,0000000","5302,00","-0,50",
820,Hasna,Archives de la CCI de Marseille - I 849,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cocons de soye,Marseille,Savoye et Piemont,"78 322,00",livres,"1,5000000","117483,00","0,00",
821,Hasna,Archives de la CCI de Marseille - I 850,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,confitures,Marseille,Savoye et Piemont,"521,00",livres,"1,0000000","521,00","0,00",
822,Hasna,Archives de la CCI de Marseille - I 851,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,corbeilles d'ozier,Marseille,Savoye et Piemont,"100,00",douzaines,"12,0000000","1200,00","0,00",
823,Hasna,Archives de la CCI de Marseille - I 852,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cordages de chanvre,Marseille,Savoye et Piemont,"9 983,00",livres,"0,3000000","2994,00","-0,90",
824,Hasna,Archives de la CCI de Marseille - I 853,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cornes de mouton,Marseille,Savoye et Piemont,"42 930,00",paires,"0,1000000","4293,00","0,00",
825,Hasna,Archives de la CCI de Marseille - I 854,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cotton en laine,Marseille,Savoye et Piemont,"7 264,00",livres,"0,5000000","3632,00","0,00",
826,Hasna,Archives de la CCI de Marseille - I 855,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cotton souffré,Marseille,Savoye et Piemont,"50,00",livres,"0,5000000","25,00","0,00",
827,Hasna,Archives de la CCI de Marseille - I 856,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,crin,Marseille,Savoye et Piemont,"14,00",livres,"2,0000000","28,00","0,00",
828,Hasna,Archives de la CCI de Marseille - I 857,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cuirs de bœuf,Marseille,Savoye et Piemont,"650,00",en nombre,"14,0000000","9100,00","0,00",
829,Hasna,Archives de la CCI de Marseille - I 858,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cuirs de bœuf,Marseille,Savoye et Piemont,"300,00",livres,"0,5000000","150,00","0,00",
830,Hasna,Archives de la CCI de Marseille - I 859,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cuirs de genisse en poil,Marseille,Savoye et Piemont,"15,00",en nombre,"9,0000000","135,00","0,00",
831,Hasna,Archives de la CCI de Marseille - I 860,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cuirs de vache en poil,Marseille,Savoye et Piemont,"13,00",en nombre,"12,0000000","156,00","0,00",
832,Hasna,Archives de la CCI de Marseille - I 861,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cuivre ouvré,Marseille,Savoye et Piemont,"35,00",livres,"1,8000000","63,00","0,00",
833,Hasna,Archives de la CCI de Marseille - I 862,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cuivre vieux,Marseille,Savoye et Piemont,"1 925,00",livres,"0,9000000","1732,00","-0,50",
834,Hasna,Archives de la CCI de Marseille - I 863,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,cuillieres de bois,Marseille,Savoye et Piemont,"800,00",douzaines,"2,0000000","1600,00","0,00",
835,Hasna,Archives de la CCI de Marseille - I 864,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,dentelle de fil commune,Marseille,Savoye et Piemont,"2,50",livres,"40,0000000","100,00","0,00",
836,Hasna,Archives de la CCI de Marseille - I 865,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,dorure fine,Marseille,Savoye et Piemont,"115,00",livres,"100,0000000","11500,00","0,00",
837,Hasna,Archives de la CCI de Marseille - I 866,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,douelles a tonneaux,Marseille,Savoye et Piemont,"115,00",tonneaux,"5,0000000","575,00","0,00",
838,Hasna,Archives de la CCI de Marseille - I 867,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,drapeaux vieux,Marseille,Savoye et Piemont,"84 430,00",livres,"0,0800000","6754,00","-0,40",
839,Hasna,Archives de la CCI de Marseille - I 868,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,drogueries,Marseille,Savoye et Piemont,"115,00",livres,"1,0000000","115,00","0,00",
840,Hasna,Archives de la CCI de Marseille - I 869,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,eau de citron,Marseille,Savoye et Piemont,"417,00",livres,"1,0000000","417,00","0,00",
841,Hasna,Archives de la CCI de Marseille - I 870,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,eau de fleur d'orange,Marseille,Savoye et Piemont,"2 797,00",livres,"0,5000000","1398,00","-0,50",
842,Hasna,Archives de la CCI de Marseille - I 871,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,eau de senteur,Marseille,Savoye et Piemont,"368,00",livres,"1,0000000","368,00","0,00",
843,Hasna,Archives de la CCI de Marseille - I 872,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,eau de vie,Marseille,Savoye et Piemont,"57,00",livres,"0,1000000","5,00","-0,70",
844,Hasna,Archives de la CCI de Marseille - I 873,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,eponges,Marseille,Savoye et Piemont,"2 950,00",livres,"1,5000000","4425,00","0,00",
845,Hasna,Archives de la CCI de Marseille - I 874,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,esprit de bergamotte,Marseille,Savoye et Piemont,"200,00",livres,"3,0000000","600,00","0,00",
846,Hasna,Archives de la CCI de Marseille - I 875,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,esprit de citron,Marseille,Savoye et Piemont,"293,00",livres,"2,5000000","732,00","-0,50",
847,Hasna,Archives de la CCI de Marseille - I 876,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,essence,Marseille,Savoye et Piemont,"40,00",livres,"2,0000000","80,00","0,00",
848,Hasna,Archives de la CCI de Marseille - I 877,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,estrasse de soye,Marseille,Savoye et Piemont,"10 384,00",livres,"0,5000000","5192,00","0,00",
849,Hasna,Archives de la CCI de Marseille - I 878,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,etain vieux,Marseille,Savoye et Piemont,"140,00",livres,"0,9000000","126,00","0,00",
850,Hasna,Archives de la CCI de Marseille - I 879,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,etoffe de soye,Marseille,Savoye et Piemont,"1 178,00",livres,"40,0000000","47120,00","0,00",
851,Hasna,Archives de la CCI de Marseille - I 880,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fer en barres,Marseille,Savoye et Piemont,"679,00",livres,"0,1200000","81,00","-0,48",
852,Hasna,Archives de la CCI de Marseille - I 881,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fer battû,Marseille,Savoye et Piemont,"42,00",livres,"15,0000000","630,00","0,00",
853,Hasna,Archives de la CCI de Marseille - I 882,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fer en cercles,Marseille,Savoye et Piemont,"4 500,00",livres,"0,2500000","1125,00","0,00",
854,Hasna,Archives de la CCI de Marseille - I 883,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fer ouvré,Marseille,Savoye et Piemont,"60,00",livres,"0,2500000","15,00","0,00",
855,Hasna,Archives de la CCI de Marseille - I 884,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,feves,Marseille,Savoye et Piemont,"60,00",charges,"10,0000000","600,00","0,00",
856,Hasna,Archives de la CCI de Marseille - I 885,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,feves,Marseille,Savoye et Piemont,"17,00",panneaux,"1,2500000","21,00","-0,25",
857,Hasna,Archives de la CCI de Marseille - I 886,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,feves,Marseille,Savoye et Piemont,"3,00",sacs,"5,0000000","15,00","0,00",
858,Hasna,Archives de la CCI de Marseille - I 887,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fil blanc,Marseille,Savoye et Piemont,"180,00",livres,"1,5000000","270,00","0,00",
859,Hasna,Archives de la CCI de Marseille - I 888,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fil de chevre,Marseille,Savoye et Piemont,"500,00",livres,"3,0000000","1500,00","0,00",
860,Hasna,Archives de la CCI de Marseille - I 889,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fil crû,Marseille,Savoye et Piemont,"50,00",livres,"1,2500000","62,00","-0,50",
861,Hasna,Archives de la CCI de Marseille - I 890,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fil de piemont,Marseille,Savoye et Piemont,"5 025,00",livres,"1,0000000","5025,00","0,00",
862,Hasna,Archives de la CCI de Marseille - I 891,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,filets a pecher,Marseille,Savoye et Piemont,"2,00",postes ,"50,0000000","100,00","0,00",
863,Hasna,Archives de la CCI de Marseille - I 892,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,filozelle,Marseille,Savoye et Piemont,"100,00",livres,"3,0000000","300,00","0,00",
864,Hasna,Archives de la CCI de Marseille - I 893,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fleurs artificielles,Marseille,Savoye et Piemont,"175,00",livres,"50,0000000","8750,00","0,00",
865,Hasna,Archives de la CCI de Marseille - I 894,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fleurs artificielles,Marseille,Savoye et Piemont,"36,00",bouquets,"3,0000000","108,00","0,00",
866,Hasna,Archives de la CCI de Marseille - I 895,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fleurs artificielles,Marseille,Savoye et Piemont,"1,00",valeur,"15,0000000","15,00","0,00",en valeur
867,Hasna,Archives de la CCI de Marseille - I 896,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,14,1757,Imports,fromage,Marseille,Savoye et Piemont,"503 921,00",livres,"0,2500000","125980,00","-0,25",
868,Hasna,Archives de la CCI de Marseille - I 897,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,17,1757,Imports,fruit crû,Marseille,Savoye et Piemont,"300,00",livres,"0,0500000","15,00","0,00",
869,Hasna,Archives de la CCI de Marseille - I 898,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,17,1757,Imports,galon de fleuret,Marseille,Savoye et Piemont,"168,00",livres,"1,5000000","252,00","0,00",
870,Hasna,Archives de la CCI de Marseille - I 899,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,17,1757,Imports,gaudron,Marseille,Savoye et Piemont,"400,00",livres,"0,1000000","40,00","0,00",
871,Hasna,Archives de la CCI de Marseille - I 900,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,17,1757,Imports,gomme de barbarie,Marseille,Savoye et Piemont,"100,00",livres,"1,0000000","100,00","0,00",
872,Hasna,Archives de la CCI de Marseille - I 901,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,17,1757,Imports,graine de chanvre,Marseille,Savoye et Piemont,"3 436,00",livres,"0,1000000","343,00","-0,60",
873,Hasna,Archives de la CCI de Marseille - I 902,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,17,1757,Imports,graine de jardin,Marseille,Savoye et Piemont,"150,00",livres,"1,0000000","150,00","0,00",
