numrodesource,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
449,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Citrons,Marseille,Italie,"2 730 200,00",pièces,"0,0150000","40953,00","0,00",
450,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Citrons,Marseille,Italie,"234 450,00",livres,"0,1000000","23445,00","0,00",
451,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cloux de fer,Marseille,Italie,"12 772,00",livres,"0,2500000","3193,00","0,00",
452,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cochenille mestek,Marseille,Italie,"400,00",livres,"20,0000000","8000,00","0,00",
453,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Confitures,Marseille,Italie,"25 749,00",livres,"1,0000000","25749,00","0,00",
454,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Corail brut,Marseille,Italie,"1 000,00",livres,"2,0000000","2000,00","0,00",
455,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Corbeille d'ozier,Marseille,Italie,"1 173,00",douzaines,"12,0000000","14076,00","0,00",
456,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cordages de chanvre,Marseille,Italie,"10 626,00",livres,"0,3000000","3187,00","-0,80",
457,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cordages d'espars,Marseille,Italie,"13,00",douzaines,"7,0000000","91,00","0,00",
458,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cordes d'embalage,Marseille,Italie,"5 525,00",livres,"0,3000000","1657,00","-0,50",
459,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cordes a violon,Marseille,Italie,"250,00",livres,"20,0000000","5000,00","0,00",
460,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cornes de mouton,Marseille,Italie,"37 565,00",paires,"0,0500000","1878,00","-0,25",
461,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Coton filé,Marseille,Italie,"49 240,00",livres,"1,0000000","49240,00","0,00",
462,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Coton en laine,Marseille,Italie,"78 594,00",livres,"0,5000000","39297,00","0,00",
463,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Coton souffré,Marseille,Italie,"305,00",livres,"0,5000000","152,00","-0,50",
464,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Couffins a boulangers,Marseille,Italie,"190,00",douzaines,"25,0000000","4750,00","0,00",
465,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Couffins d'auf,Marseille,Italie,"3,00",douzaines,"3,0000000","9,00","0,00",
466,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Couffins de joncs,Marseille,Italie,"800,00",livres,"0,5000000","400,00","0,00",
467,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Couperose verte,Marseille,Italie,"43 500,00",livres,"0,0900000","3915,00","0,00",
468,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Courgoussons,Marseille,Italie,"200,00",livres,"0,2000000","40,00","0,00",
469,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Courdouans,Marseille,Italie,"10 000,00",livres,"1,0000000","10000,00","0,00",
470,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Couvertures de fil,Marseille,Italie,"1,00",douzaines,"120,0000000","120,00","0,00",
471,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Couvertures de fil et coton,Marseille,Italie,"1 952,00",livres,"1,0000000","1952,00","0,00",
472,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Couvertures de laine,Marseille,Italie,"200,00",douzaines,"12,0000000","2400,00","0,00",
473,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Crepe de soye,Marseille,Italie,"105,00",livres,"6,0000000","630,00","0,00",
474,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Crin de cheval,Marseille,Italie,"4 500,00",livres,"0,6000000","2700,00","0,00",
475,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cristal brut,Marseille,Italie,"3 373,00",livres,"2,0000000","6746,00","0,00",
476,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cuirs de bœuf en poil,Marseille,Italie,"935,00",pièces,"14,0000000","13090,00","0,00",
477,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cuirs doré,Marseille,Italie,"269,00",livres,"5,0000000","1345,00","0,00",
478,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cuirs de vache en poil,Marseille,Italie,"214,00",pièces,"10,0000000","2140,00","0,00",
479,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cuirs de vache de Russie,Marseille,Italie,"480,00",en nombre,"20,0000000","9600,00","0,00",
480,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cuivre en chaudron,Marseille,Italie,"40,00",livres,"1,6000000","64,00","0,00",
481,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cuivre tangoul,Marseille,Italie,"155 362,00",livres,"0,9000000","139825,00","-0,80",
482,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Cumin,Marseille,Italie,"2 500,00",livres,"0,1500000","375,00","0,00",
483,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Dattes,Marseille,Italie,"2 500,00",livres,"0,2000000","500,00","0,00",
484,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Dentelles,Marseille,Italie,"50,00",livres,"50,0000000","2500,00","0,00",
485,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Dossiers de chaises,Marseille,Italie,"8,00",milliers,"100,0000000","800,00","0,00",
486,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Douelles a tonneaux,Marseille,Italie,"53,00",canettes,"4,0000000","212,00","0,00",
487,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Douelles a tonneaux,Marseille,Italie,"3 058,00",tonneaux,"5,0000000","15290,00","0,00",
488,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Douelles a tonneaux,Marseille,Italie,"7 100,00",livres,"0,0500000","355,00","0,00",
489,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Drogueries,Marseille,Italie,"22 352,00",livres,"1,0000000","22352,00","0,00",
490,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Eau de cedra,Marseille,Italie,"100,00",livres,"0,5000000","50,00","0,00",
491,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Eau de fleur d'orange,Marseille,Italie,"18 015,00",livres,"0,5000000","9007,00","-0,50",
492,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Eau mineralle,Marseille,Italie,"200,00",livres,"0,2500000","50,00","0,00",
493,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Ecailles de tortue,Marseille,Italie,"300,00",livres,"8,0000000","2400,00","0,00",
494,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1746,Import,Ecorce de citrons,Marseille,Italie,"1 100,00",livres,"0,1500000","165,00","0,00",
495,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Egoutoirs,Marseille,Italie,"344,00",douzaines,"5,0000000","1720,00","0,00",
496,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Email,Marseille,Italie,"796,00",livres,"1,0000000","796,00","0,00",
497,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Emery en pierres,Marseille,Italie,"2 000,00",livres,"0,0500000","100,00","0,00",
498,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Emery en poudre,Marseille,Italie,"300,00",livres,"0,0800000","24,00","0,00",
499,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Epées,Marseille,Italie,"2,00",en nombre,"0,0000000","30,00","0,00",
500,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Eponges,Marseille,Italie,"3 349,00",livres,"1,0000000","3349,00","0,00",
501,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Esprit de Bergamottes,Marseille,Italie,"400,00",livres,"10,0000000","4000,00","0,00",
502,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Esprit de citron,Marseille,Italie,"155,00",livres,"1,5000000","232,00","-0,50",
503,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Essence,Marseille,Italie,"1 430,00",livres,"1,0000000","1430,00","0,00",
504,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Etain en bloc,Marseille,Italie,"5 800,00",livres,"1,0000000","5800,00","0,00",
505,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Etoffe de soye,Marseille,Italie,"7 521,00",livres,"40,0000000","300840,00","0,00",
506,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Etoupes de chanvre,Marseille,Italie,"600,00",livres,"0,1000000","60,00","0,00",
507,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Evantails communs,Marseille,Italie,"150,00",livres,"4,0000000","600,00","0,00",
508,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fayance,Marseille,Italie,"28 290,00",livres,"0,5000000","14145,00","0,00",
509,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fenouil,Marseille,Italie,"1 625,00",livres,"0,2000000","325,00","0,00",
510,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fer en barres,Marseille,Italie,"229 825,00",livres,"0,1450000","33324,00","-0,63",
511,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fer blanc,Marseille,Italie,"200,00",livres,"0,6000000","120,00","0,00",
512,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fer ouvré,Marseille,Italie,"130,00",livres,"0,2500000","32,00","-0,50",
513,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Feves,Marseille,Italie,"355,00",charges,"15,0000000","5325,00","0,00",
514,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Ficelle,Marseille,Italie,"400,00",livres,"0,5000000","200,00","0,00",
515,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Figues,Marseille,Italie,"12 550,00",livres,"0,1000000","1255,00","0,00",
516,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fil de chanvre,Marseille,Italie,"58,00",livres,"4,0000000","232,00","0,00",
517,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fil de chevre,Marseille,Italie,"44 306,00",livres,"3,0000000","132918,00","0,00",
518,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fil a coudre,Marseille,Italie,"1 578,00",livres,"2,0000000","3156,00","0,00",
519,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fil cru,Marseille,Italie,"40,00",livres,"1,0000000","40,00","0,00",
520,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fil de piemont,Marseille,Italie,"8 800,00",livres,"1,0000000","8800,00","0,00",
521,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fil de tisserand,Marseille,Italie,"1 000,00",livres,"0,7500000","750,00","0,00",
522,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Filets pour la pesche,Marseille,Italie,"482,00",pièces,"50,0000000","24100,00","0,00",
523,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Filets pour la pesche,Marseille,Italie,"270,00",livres,"1,2500000","337,00","-0,50",
524,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Filoselle,Marseille,Italie,"624,00",livres,"6,0000000","3744,00","0,00",
525,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fleurs artificielles,Marseille,Italie,"880,00",livres,"50,0000000","44000,00","0,00",
526,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fromage,Marseille,Italie,"680 831,00",livres,"0,2500000","170207,00","-0,75",
527,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fruits confits,Marseille,Italie,"2 240,00",livres,"1,0000000","2240,00","0,00",
528,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fruits secs,Marseille,Italie,"19 150,00",livres,"0,2000000","3830,00","0,00",
529,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Fruits verts,Marseille,Italie,"10 000,00",livres,"0,1000000","1000,00","0,00",
530,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Gales du levant,Marseille,Italie,"14 529,00",livres,"0,5000000","7264,00","-0,50",
531,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Garence,Marseille,Italie,"8 000,00",livres,"0,4000000","3200,00","0,00",
532,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Gaudron,Marseille,Italie,"32 900,00",livres,"0,1500000","4935,00","0,00",
533,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Glue,Marseille,Italie,"20,00",livres,"0,6000000","12,00","0,00",
534,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Gome adragan,Marseille,Italie,"1 260,00",livres,"1,0000000","1260,00","0,00",
535,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Gome laque,Marseille,Italie,"6 634,00",livres,"1,2000000","7960,00","-0,80",
536,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Grabeau de cire,Marseille,Italie,"5 500,00",livres,"0,5000000","2750,00","0,00",
537,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Grabeau d'encens,Marseille,Italie,"2 100,00",livres,"0,1500000","315,00","0,00",
538,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Grabeau d'indigo,Marseille,Italie,"300,00",livres,"3,0000000","900,00","0,00",
539,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Grabeau de sené,Marseille,Italie,"1 235,00",livres,"0,6000000","741,00","0,00",
540,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Graine de chanvre,Marseille,Italie,"72 100,00",livres,"0,1500000","10815,00","0,00",
541,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Graine de jardin,Marseille,Italie,"400,00",livres,"1,1000000","440,00","0,00",
542,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Graisse,Marseille,Italie,"792,00",livres,"0,3000000","237,00","-0,60",
543,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Habits de soldats,Marseille,Italie,"1 600,00",livres,"5,0000000","8000,00","0,00",
544,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Harancades,Marseille,Italie,"4 150,00",en nombre,"0,2500000","1037,00","-0,50",
545,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Herbages,Marseille,Italie,"6,00",charges,"12,0000000","72,00","0,00",
546,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Herbe d'orseille,Marseille,Italie,"1 700,00",livres,"0,1000000","170,00","0,00",
547,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Huile d'amande douce,Marseille,Italie,"4 230,00",livres,"1,2000000","5076,00","0,00",
548,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Huile de lin,Marseille,Italie,"7 700,00",livres,"0,3000000","2310,00","0,00",
549,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Huile d'olive,Marseille,Italie,"29 646,00",milleroles,"36,0000000","1067256,00","0,00",
550,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Huile d'olive,Marseille,Italie,"250,00",livres,"0,3000000","75,00","0,00",
551,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1746,Import,Huile de poisson,Marseille,Italie,"172 620,00",livres,"0,2000000","34524,00","0,00",
552,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,12,1746,Import,Jalap,Marseille,Italie,"4 953,00",livres,"2,0000000","9906,00","0,00",
553,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,12,1746,Import,Iris,Marseille,Italie,"30 385,00",livres,"0,6000000","18231,00","0,00",
554,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,12,1746,Import,Jus de citron,Marseille,Italie,"194 100,00",livres,"0,0600000","11646,00","0,00",
555,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,12,1746,Import,Jus de limon,Marseille,Italie,"80 425,00",livres,"0,0600000","4825,00","-0,50",
556,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,12,1746,Import,Jus de reglisse,Marseille,Italie,"77 544,00",livres,"0,3000000","23263,00","-0,20",
557,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,12,1746,Import,Laque plate,Marseille,Italie,"2 538,00",livres,"1,5000000","3807,00","0,00",
