marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,classificationproduitsmdicinaux,remarques_marchandises,wallislist,exclusion_not_medical_primarily,nom_wallis,large,narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,commestibles_eur_grainsetsubstit,grains_ou_farine,categories_de_grains,v9,source_bdc,nbr_bdc_marchandises_normalisees,nbr_bdc_marchandises_simplifies
Gomme ; laque,Gomme,5,5,1,"Is used for varnish, for pigment, for medicine;",1,1,Gum Lack,1,0,,,15,Gomme,Gomme,,0,0,0,,1,159,1596
Gomme ; myrrhe,Gomme,2,2,1,MIRRHE ou MYRRHE : Elle pouvait être un des multiples constituants de la thériaque de la pharmacopée maritime occidentale au XVIIIe siècle,1,1,Myrrh,1,0,,,1,Gomme,Gomme,,0,0,0,,1,2,1596
Gomme ; opoponax,Gomme,2,2,1,"Savary, volume 3, 1748 :  « Espèce de gomme […] pour la guérison des plaies ; ce qui fait qu'il entre dans la composition de l'onguent divin avec le Galbanum, l'Ammoniac & le Bdelium»",1,0,Gum Opoponax,0,1,,,,,,,0,0,0,,1,3,1596
Gomme ; quile,Gomme,2,2,0,,0,,,0,0,,,1,Gomme,Gomme,,0,0,0,,1,1,1596
Gomme ; rouge,Gomme,2,2,0,,0,,,0,0,,,2,Gomme,Gomme,,0,0,0,,1,3,1596
Gomme ; sagapenum,Gomme,2,2,1,"SAGAPENUM ou SERAPHIQUE : Savary, volume 3, 1748 :  Même vertu que l'Opoponax",1,0,Gum Serapium,0,1,,,,,,,0,0,0,,1,1,1596
Gomme ; sandarac,,,,,,,,,,,,,,,,,,,,,1,35,63124
Gomme ; seraphique,Gomme,2,2,1,"SAGAPENUM ou SERAPHIQUE : Savary, volume 3, 1748 :  Même vertu que l'Opoponax",1,0,Gum Serapium,0,1,,,0,Gomme,Gomme,,0,0,0,,1,4,1596
Gomme ; tacamaque,Gomme,2,2,1,"Lemery, Dictionnaire universel des drogues simples, 1760 : « La gomme Tacamaque est digestive, résolutive, nervale, anodine, céphalique […] employé contre les maux de dents […] elle fortifie le coeur et l'estomac. »",1,0,Gum Taccamahaccae,0,1,,,33,Gomme,Gomme,,0,0,0,,1,6,1596
Gomme ; turque (forme de gomme arabique),Gomme,5,5,1,Liste wallis : Ou Gomme arabique,1,1,Gum Arabeck,1,0,,,14,Gomme,Gomme,,0,0,0,,1,53,1596
Gomme ; édorée,Gomme,2,2,1,Cf. P.H.Wallis,1,0,Gum Hederae,0,1,,,1,Gomme,Gomme,,0,0,0,,1,4,1596
Gomme ; élastique,Gomme,2,2,0,,0,,,0,0,,,22,Gomme,Gomme,,0,0,0,,1,3,1596
Gomme ; élemy,Gomme,2,2,1,Cf. P.H.Wallis,1,0,Gum Elemni,0,1,,,8,Gomme,Gomme,,0,0,0,,1,54,1596
Gomme ; d'acacias,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,11,63124
Gomme ; de Caregne,Gomme,2,2,1,Utilisé dans les compositions,1,0,Gum Carannae,0,1,,,,,,,0,0,0,,1,1,1596
Gomme ; gaïac,,,,,,,,,,,,,,,,,,,,,1,1,63124
Gomme ; élastique,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,7,63124
Goudron,"Brai, goudron et résine",2,2,0,,0,,,0,0,,,8,Goudron ; de Suède,Goudron ; de Suède,,0,0,0,,1,516,1355
Goudron ; de Suède,,,,,,,,,,,,,,,,,,,,,1,2,63124
Goudron ; fin,,,,,,,,,,,,,,,,,,,,,1,1,63124
Goudron ; gros,,,,,,,,,,,,,,,,,,,,,1,1,63124
Goudron et poix,,,,,,,,,,,,,,,,,,,,,1,1,63124
"Goudron, poix et résine","Brai, goudron et résine",2,2,0,,0,,,0,0,,,9,Goudron ; de Suède,Goudron ; de Suède,,0,0,0,,1,7,1355
Goules,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Gourgouran,Gourgouran,6,6c,0,"wikitionary : « Etoffe de soie, brochée, originaire de l'Inde »",0,,,0,0,,,4,,,,0,0,0,,1,11,11
Gournabes,Gournabes,???,???,0,Peut-être « Gournable »,0,,,0,0,,,9,,,,0,0,0,,1,4,4
Gournable,Gournable,6,6,0,gournable (cheville de bois pour la construction navale),0,,,0,0,,,4,,,,0,0,0,,1,9,9
Gournable ; de chêne,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,3,63124
Goutières ou goulots,,,,,,,,,,,,,,,,,,,,,1,1,63124
Gouvernail en bois,,,,,,,,,,,,,,,,,,,,,1,1,63124
Gouvernails ; vieux,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grabeau ; d'ivoire,Grabeau,2,2,1,Grabeau = petite substance pharmaceutique,0,,,1,0,,,,,,,0,0,0,,1,1,88
Grabeau ; de canefice,Grabeau,2,2,1,"Savary, volume 2, 1748 : « Ou CANEFICE ou CASSE. Drogue propre à la Médecine, qui purge doucement, & qui est communément ordonnée par les Médecins & Apothicaires de France, et surtout de Paris. ». Il existie  espèces : la Casse de Levant, d'Egy",1,0,Cassia Fistula,1,0,,,0,,,,0,0,0,,1,2,88
Grabeau ; de cire,Grabeau,2,2,0,Grabeau = petite substance pharmaceutique,0,,,0,0,,,0,,,,0,0,0,,1,13,88
Grabeau ; de corail,Grabeau,2,2,0,Liste Wallis : semi-precious stone,1,1,Coral Whole,0,0,,,2,,,,0,0,0,,1,7,88
Grabeau ; de gomme,Grabeau,2,2,1,Grabeau = petite substance pharmaceutique,0,,,1,0,,,1,,,,0,0,0,,1,4,88
Grabeau ; de mine,Grabeau,2,2,1,,,,,1,0,,,,,,,0,0,0,,1,1,88
Grabeau ; de mirthe,Grabeau,2,2,1,"Encyclopédie, 1751 : Myrthe : Les baies de myrte sont de quelque usage en Médecine, & on en fait en Allemagne une teinture de couleur d’ardoise qui a peu d’éclat.",1,0,Myrtil Berries,1,0,,,3,,,,0,0,0,,1,5,88
Grabeau ; de quinquina,Grabeau,2,2,1,"Savary, volume 3, 1748 : QUINQUINA ou KIKINNA,  « vers l'année 1680 la remit en vogue par le grand nombre de fuérisons surprenantes qu'il fit à la Cour et à la ville avec cette poudre. » Utilisée dans diverses remèdes",1,0,Jesuits Bark,0,1,,,,,,,0,0,0,,1,1,88
Grabeau ; de sel ;  armoniac,Grabeau,2,2,1,"Savary, volume 1, 1748 : OU ARMONIAC « L'usage de ce sel en France est fort considérable, soit pour la médecine, pour laquelle on en tire quantité de préparations, soit pour de nombreux ouvriers. »",1,1,Sal Armoniacum,1,0,,,,,,,0,0,0,,1,1,88
Grabeau ; de sené,Grabeau,2,2,1,"Savary, volume 3, 1748 : « Elle est une drogue très connue. C'est cette feuille purgative que les Médecins emploient souvent dans leurs compositions purgatives. L'arbrisseau qui porte cette feuille se cultive en plusieurs endroits du Levant. »",0,,,0,1,,,10,,,,0,0,0,,1,25,88
Grabeau ; de tartre,Grabeau,2,2,1,"Savary, volume 3, 1748 : « On peut en trouver dans la pharmacopée »",1,1,Cream Of Tartar,1,0,,,1,,,,0,0,0,,1,6,88
Grabeaux ; d'encens,Grabeau,2,2,1,Grabeau = petite substance pharmaceutique,1,0,Incense,1,0,,,,,,,0,0,0,,1,22,88
Graine,Graine,2,2,0,,0,,,0,0,,,23,,,,1,1,1,,1,6,2872
Graine ;  de millet,Graine,2,2,0,,0,,,0,0,,,,,,,1,1,3,,1,10,2872
Graine ; blanche,Graine,2,2,0,pas identifie',0,,,0,0,,,1,,,,0,0,0,,1,1,2872
Graine ; bleue,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graine ; comestible,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graine ; d'Inde,Graine,2,2,0,Teinture,0,,,0,0,,,,,,,1,1,3,,1,1,2872
Graine ; d'Indigo,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,4,63124
Graine ; d'alkerme,Graine,2,2,1,Wiki : Alkermès (sanglant ; rouge ; cochenille ; kermès) : nom d'une liqueur à base de plantes nommée aussi kermès officinal. Élixir alkermès : nom de médicaments composés renfermant le suc du kermès animal.Selon l'ouvrage de Dorvault (1875) (p,1,1,Grana Tinctorum,1,0,,,9,,,,0,0,0,,1,1,2872
Graine ; d'alpiste,Graine,2,2,0,"pour les oiseaux (encyclopedie methodique. Agriculture, tessier)",0,,,0,0,,,7,,,,0,0,0,,1,8,2872
Graine ; d'ambrette,Graine,2,2,0,,0,,,0,0,,,33,,,,0,0,0,,1,13,2872
Graine ; d'angélique,Graine,2,2,1,"Savary, volume 1, 1748 : «Qu'on appelle aussi Archangelic ou Racine du S. Esprit,Angelica en latin ou Radix Siriaca. Plante médicinale fort estimée à cause des vertus qu'on lui croit contre les poisons, qui la fait entrer dans la composition du",1,0,Angelica,0,1,,,,,,,0,0,0,,1,1,2872
Graine ; d'anis,Graine,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,24,2872
Graine ; d'asperge,Graine,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,2872
Graine ; d'aspic,Graine,2,2,1,"Savary, volume 1, 1748 : « Plante […] L'huile d'aspic dont les peintres, les maréchaux & ouvriers se servent, & qui est de quelque usage en médecine entrant dans plusieurs compositions galéniques. »",0,,,1,0,,,336,,,,0,0,0,,1,12,2872
Graine ; d'avignon,Graine,2,2,0,,0,,,0,0,,,42,,,,0,0,0,,1,68,2872
Graine ; d'esparecille,Graine,2,2,0,,0,,,0,0,,,351,,,,0,0,0,,1,8,2872
Graine ; d'indigo,Graine,2,2,0,,0,,,0,0,,,,,,,0,0,0,,1,1,2872
Graine ; d'oignon,Graine,2,2,0,,0,,,0,0,,,11,,,,0,0,0,,1,17,2872
Graine ; d'oiseau,Graine,2,2,0,,0,,,0,0,,,11,,,,0,0,0,,1,6,2872
Graine ; d'étain,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graine ; de France,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graine ; de Zedoaria,Graine,2,2,1,"ZEDOARIA ou ZEDOAIRE : La zédoaire est aussi utilisée comme plante médicinale dans certaines pharmacopées traditionnelles orientales. Elle est réputée pour aider à la digestion, soulager les coliques et purifier le sang.",1,0,Zedoaria,0,1,,,0,,,,0,0,0,,1,1,2872
Graine ; de betterave,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graine ; de bois ; d'Inde,,,,,,,,,,,,,,,,,,,,,1,3,63124
Graine ; de bois d'inde,Graine,2,2,0,,0,,,0,0,,,61,,,,0,0,0,,1,7,2872
Graine ; de bois du Brésil,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graine ; de brin,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graine ; de buisson,Graine,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,14,2872
Graine ; de cailloux,Graine,2,2,0,,0,,,0,0,,,,,,,0,0,0,,1,1,2872
Graine ; de campêche,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,3,63124
Graine ; de canari,Graine,2,2,0,,0,,,0,0,,,130,,,,0,0,0,,1,32,2872
Graine ; de canon,Graine,2,2,0,,0,,,0,0,,,3,,,,0,0,0,,1,3,2872
Graine ; de carotte,Graine,2,2,1,Cf. P.H.Wallis  : Daucus ou carotte. Les graines de la plante appelée Daucus de Crète étaient un des multiples constituants de la thériaque de la pharmacopée maritime occidentale au xviiie siècle.,1,1,Daucus,1,0,,,9,,,,0,0,0,,1,1,2872
Graine ; de cartarie,Graine,2,2,0,,0,,,0,0,,,8,,,,0,0,0,,1,2,2872
Graine ; de chanvre,Graine,2,2,0,,0,,,0,0,,,18,,,,0,0,0,,1,119,2872
Graine ; de chanvre et de trèfle,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graine ; de chapelet,Graine,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,13,2872
Graine ; de choux,Graine,2,2,0,,0,,,0,0,,,32,,,,0,0,0,,1,59,2872
Graine ; de clave,Graine,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,2872
Graine ; de colza,Graine,2,2,0,,0,,,0,0,,,67,,,,0,0,0,,1,20,2872
Graine ; de coton,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graine ; de coucouche,Graine,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,1,2872
Graine ; de cuscute,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graine ; de fenouil,Graine,2,2,1,Cf. P.H.Wallis,1,0,Fennel Seed,0,1,,,11,,,,0,0,0,,1,11,2872
Graine ; de foin,Graine,2,2,0,,0,,,0,0,,,3,,,,0,0,0,,1,40,2872
Graine ; de genièvre,,2,2,1,,,,,,,,,,,,,0,0,0,,1,66,63124
Graine ; de jardin,Graine,2,2,0,,0,,,0,0,,,174,,,,0,0,0,,1,709,2872
Graine ; de laitue,Graine,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,2,2872
Graine ; de laurier,Graine,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,2,2872
Graine ; de laurier dites bekelaers,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graine ; de lin,Graine,2,2,0,,0,,,0,0,,,42,,,,0,0,0,,1,432,2872
Graine ; de longue,Graine,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,10,2872
Graine ; de loupins,Graine,2,2,1,Cf. P.H.Wallis  : usage en médecine ???,1,0,Lupines,1,0,,,9,,,,2,1,4,,1,2,2872
Graine ; de lupin,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graine ; de luzerne,Graine,2,2,1,"La luzerne cultivée ou alfalfa ou alfa-alfa (Medicago sativa), aussi appelée « grand trèfle» ou « foin de Bourgogne », est une plante herbacée fourragère de la famille des fabacées, riche en vitamines et en sels minéraux et utilisée en diététiq",0,,,0,1,,,85,,,,0,0,0,,1,48,2872
Graine ; de manne,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graine ; de millet,Graine,2,2,0,,0,,,0,0,,,26,,,,1,1,3,,1,30,2872
Graine ; de moutarde,Graine,2,2,0,,0,,,0,0,,,16,,,,0,0,0,,1,32,2872
Graine ; de métillon,Graine,2,2,0,metillon=meteil,0,,,0,0,,,1,,,,1,1,2,,1,1,2872
Graine ; de navets,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Graine ; de navette,Graine,2,2,0,,0,,,0,0,,,7,,,,0,0,0,,1,56,2872
Graine ; de paradis,Graine,2,2,1,". Through the Middle Ages and into the early modern period, the theory of the four humours governed theorizing about nourishment on the part of doctors, herbalists and druggists",1,1,Guinea Pepper,1,0,,,89,,,,0,0,0,,1,7,2872
Graine ; de perroquet,Graine,2,2,1,"ou CARTHAME, Wallis : Main use in dying ((Pechey, 226-7); OED: A small genus of annual composite plants; esp. C. tinctorius (Safflower or Bastard Saffron), cultivated from southern Europe to China, the flowers of which yield red and yellow dyes",1,1,Carthamus Seed,1,0,,,2,,,,0,0,0,,1,2,2872
Graine ; de pirrette,Graine,2,2,0,,0,,,0,0,,,11,,,,0,0,0,,1,1,2872
Graine ; de prés,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graine ; de rabette,Graine,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,6,2872
Graine ; de sainfoin,Graine,2,2,0,,0,,,0,0,,,8,,,,0,0,0,,1,4,2872
Graine ; de senegré,Graine,2,2,1,"Savary, volume 2, 1723 : «Plante […] Les Médecins qui la mettent quelquefois en usage, ne l'ordonnent guère qu'en décoctions, ou en cataplasmes, et seulement à l'extérieur, pour ramollir et dissoudre  »",1,0,Fenugreek,0,1,,,1,,,,0,0,0,,1,2,2872
Graine ; de silvestre,Graine,2,2,0,Teinture,0,,,0,0,,,5,,,,0,0,0,,1,2,2872
Graine ; de soude,Graine,2,2,0,,0,,,0,0,,,,,,,0,0,0,,1,1,2872
Graine ; de trefle et luzerne,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Graine ; de tremailles,Graine,2,2,0,"mélange orge, vesse, avoine",0,,,0,0,,,5,,,,1,1,3,,1,2,2872
Graine ; de tremaine,Graine,2,2,0,,0,,,0,0,,,61,,,,1,1,3,,1,2,2872
Graine ; de trioter,Graine,2,2,0,"triolet, medicinale",0,,,0,0,,,1,,,,0,0,0,,1,1,2872
Graine ; de truelle,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graine ; de trèfle,Graine,2,2,0,,0,,,0,0,,,139,,,,0,0,0,,1,280,2872
Graine ; de trèfle et luzerne,Graine,2,2,0,,0,,,0,0,,,6,,,,0,0,0,,1,127,2872
Graine ; de vermillon,Graine,2,2,0,Teinture,0,,,0,0,,,,,,,0,0,0,,1,1,2872
Graine ; de verre ; à soie,Graine,6,6,0,,0,,,0,0,,,14,,,,0,0,0,,1,17,2872
Graine ; de vesse,Graine,2,2,0,Légume,0,,,0,0,,,0,,,,2,1,3,,1,2,2872
Graine ; diverse,Graine,2,2,0,,0,,,0,0,,,43,,,,0,0,0,,1,410,2872
Graine ; diverse et de jardin,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,24,63124
Graine ; du Sucrion,Graine,2,2,0,,0,,,0,0,,,0,,,,1,1,6,,1,1,2872
Graine ; d’alkermès,,,,,,,,,,,,,,,,,,,,,1,5,63124
Graine ; grainette,Graine,2,2,0,Teinture,0,,,0,0,,,0,,,,0,0,0,,1,2,2872
Graine ; grenailles,Graine,2,2,0,,0,,,0,0,,,71,,,,1,1,2,,1,2,2872
Graine ; huile d'olive,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graine ; jaune,Graine,2,2,0,Teinture,0,,,0,0,,,5,,,,0,0,0,,1,69,2872
Graine ; longue,Graine,2,2,0,Teinture,0,,,0,0,,,1,,,,0,0,0,,1,15,2872
Graine ; rouge,Graine,2,2,0,Teinture,0,,,0,0,,,1,,,,0,0,0,,1,1,2872
Graine ; verte,Graine,2,2,0,Teinture,0,,,0,0,,,18,,,,0,0,0,,1,1,2872
Graine ; écarlates,Graine,2,2,1,Wiki : Alkermès (sanglant ; rouge ; cochenille ; kermès) : nom d'une liqueur à base de plantes nommée aussi kermès officinal. Élixir alkermès : nom de médicaments composés renfermant le suc du kermès animal.Selon l'ouvrage de Dorvault (1875) (p,1,1,Grana Tinctorum,1,0,,,2,,,,0,0,0,,1,7,2872
Graine d'arin,Graine,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,1,2872
Graine et semences ; froides,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graines ; de bois de hêtre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graines ; de cardamone,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graines ; de genièvre,Graine,2,2,0,,0,,,0,0,,,31,,,,0,0,0,,1,79,2872
Graines ; de tremailles,,,,,,,,,,,,,,,,,,,,,1,3,63124
Graines ; jaune dit wauwe,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graine ; d'anis,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,26,63124
Graine ; de canarie,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,3,63124
Graine ; de cumin,,2,2,1,"CARVI ou CUMIN : Savary, volume 2, 1748 : « Est d'usage dans la médecine où elle est employée avec succès dans le vertige, dans les coliques venteuses, et dans les enflures de bas ventre, que l'on nomme Hydropisie Tympanique. On l'estime encore",1,1,Cumin Seed,0,1,,,,,,,0,0,0,,1,11,63124
Graine ; de lin et grasse,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,25,63124
Graine ; de prairie,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,28,63124
"Graine ; de prairie, de trèfle et luzerne",,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,22,63124
Graine ; grasse,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,67,63124
Graine ; jaune,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,8,63124
Graine ; jaune d'Avignon,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,87,63124
Grains ; blé,Grains,0,0a,0,,0,,,0,0,,,17,,,,1,1,1,,1,17,1318
Grains ; blé ; en gerbe,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grains ; blé de froment,,0,0a,0,,,,,0,0,,,,,,,1,1,1,,1,1,63124
Grains ; blé et autres grains,Grains,0,0a,0,,0,,,0,0,,,43,,,,1,1,1,,1,219,1318
Grains ; comestibles,Grains,0,0a,0,,0,,,0,0,,,16,,,,1,1,1,,1,6,1318
Grains ; comestibles ; blé ; d'Inde,,0,0a,0,,,,,0,0,,,,,,,1,1,3,,1,2,63124
Grains ; comestibles ; blé ; millet,,0,0a,0,,,,,0,0,,,,,,,1,1,3,,1,2,63124
Grains ; comestibles ; blé ; orge,,0,0a,0,,,,,0,0,,,,,,,1,1,2,,1,2,63124
Grains ; comestibles ; blé ; seigle,,0,0a,0,,,,,0,0,,,,,,,1,1,2,,1,2,63124
Grains ; comestibles ; divers,,0,0a,0,,,,,0,0,,,,,,,1,1,3,,1,6,63124
Grains ; d'avoine et de froment,,0,0a,0,,,,,0,0,,,,,,,1,1,2,,1,1,63124
Grains ; de cuscutes,,0,0a,0,,,,,0,0,,,,,,,1,1,3,,1,1,63124
Grains ; de seigle,,0,0a,0,,,,,0,0,,,,,,,1,1,2,,1,1,63124
Grains ; de verre,Grains,6,6,0,,0,,,0,0,,,5,,,,0,0,0,,1,18,1318
Grains ; divers,,0,0a,0,,,,,0,0,,,,,,,1,1,2,,1,3,63124
Grains ; en advestures de toute espèce,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grains ; froment,Grains,0,0a,0,,0,,,0,0,,,83,,,,1,1,1,,1,675,1318
Grains ; froment ; en gerbe,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grains ; maïs,Grains,0,0a,0,,0,,,0,0,,,45,,,,1,1,3,,1,53,1318
Grains ; méteil,Grains,0,0a,0,,0,,,0,0,,,44,,,,1,1,2,,1,22,1318
Grains ; petits,Grains,0,0a,0,,0,,,0,0,,,6,,,,1,1,,,1,1,1318
Grains ; riz,Grains,0,0a,0,,0,,,0,0,,,41,Riz,Riz,,1,1,3,,1,42,1318
Grains ; sarrasin,Grains,0,0a,0,,0,,,0,0,,,7,,,,1,1,3,,1,10,1318
Grains ; seigle,Grains,0,0a,0,,0,,,0,0,,,127,,,,1,1,3,,1,248,1318
Grains ; seigle ; en gerbe,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grains ; seigle et blé,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grains ; seigle et orge,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grains ; soucrions,Grains,0,0a,0,,0,,,0,0,,,1,,,,1,1,6,,1,1,1318
Grains ; épautre,Grains,0,0a,0,,0,,,0,0,,,2,,,,1,1,2,,1,2,1318
Grains ; épeautre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grains ; d'Espagne,Grains,0,0a,0,,0,,,0,0,,,,,,,1,1,3,,1,1,1318
Grains ; de jardin,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,7,63124
Grains ; de prunes,Grains,0,0a,0,,0,,,0,0,,,,,,,0,0,0,,1,2,1318
Grains ; noir,Grains,0,0a,0,,0,,,0,0,,,,,,,1,1,,,1,1,1318
Graisse,Graisse,4,4,0,,0,,,0,0,,,26,,,,0,0,0,,1,184,188
Graisse ; d'ours,Graisse,4,4,1,Adeps Ursi,1,0,Adeps Ursi,0,1,,,5,,,,0,0,0,,1,2,188
Graisse ; de poisson,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Graisse ; de porc,Graisse,4,4,0,,0,,,0,0,,,3,,,,0,0,0,,1,2,188
Graisse ; de tasson et autres,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graisse pour cuisine,,,,,,,,,,,,,,,,,,,,,1,1,63124
Graisses ; ou vieux-oing,,,,,,,,,,,,,,,,,,,,,1,1,63124
Granit,Granit,2,2,0,,0,,,0,0,,,82,,,,0,0,0,,1,1,1
Grapins ; de fer,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Grapins ; de tours,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Gravelle,Gravelle,2,2,0,"Savary, volume 2, 1748 : « Espèce de tartre »",0,,,0,0,,,16,,,,0,0,0,,1,17,17
Gravures,Gravures,8,8,0,,0,,,0,0,,,,,,,0,0,0,,1,1,1
Grelots,Grelots,???,???,0,Peut-être du fil ou un petit instrument de musique,0,,,0,0,,,1,,,,0,0,0,,1,27,27
Grelots ; de cuivre,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,20,63124
Grenades,Grenades,0,0b,1,"Some people use pomegranate for flu, swelling of the lining of the mouth, (stomatitis), gum disease, erectile dysfunction (ED), diabetes and a complication called acidosis, bleeding, and HiV disease. It is also used for preventing prostate canc",1,0,Pomegranate Pills,0,1,,,5,,,,0,0,0,,1,20,20
Grenades ; de fer,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,5,63124
"Grenadiers, lauriers, jasmin etc",,,,,,,,,,,,,,,,,,,,,1,1,63124
Grenailles,Grenailles,6,6,0,Métal réduit en menu grain (pour armes ?),0,,,0,0,,,2,,,,0,0,0,,1,3,3
Grenat,Grenat,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,12,14
Grenat ; faux,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Grenat ; fin,Grenat,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,2,14
Grenats ; faux et autres Pierre fausses non montées,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grenats ; fins montées,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grenats ; fins non montés,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grillage,Grillage et grille,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,1,6
Grille,Grillage et grille,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,2,6
Grille ; de fer,Grillage et grille,6,6,0,,0,,,0,0,,,7,,,,0,0,0,,1,3,6
Grilles ; de fer,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Grillon,Grillon,6,6,0,,0,,,0,0,,,16,,,,0,0,0,,1,1,2
Grillon ; de fonte,Grillon,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,2
Grinza,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Gris,,5,5,0,,0,,,0,0,,,,,,,0,0,0,,1,1,63124
Grisette,Grisette,6,6,0,Étoffe commune de teinte grise; p. ext. vêtement fait de cette étoffe que portaient les hommes et les femmes du commun.,0,,,0,0,,,58,,,,0,0,0,,1,51,51
Grive,,0,0a,0,,0,,,0,0,,,64,,,,0,0,0,,1,1,63124
Gros de Naples,,6,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Groseille,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grosgrain,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grosil ; de verre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Grossil,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Gruau,Gruau,0,0a,0,"Grains d'avoine (d'orge, de blé ou d'une autre céréale) mondés et grossièrement moulus, sans trace de son",0,,,0,0,,,2,,,,1,2,5,,1,119,121
Gruau ; d'avoine,,,,,,,,,,,,,,,,,,,,,1,2,63124
Gruau ; d'orge,,,,,,,,,,,,,,,,,,,,,1,1,63124
Gruau ; de Grains ; froment,,,,,,,,,,,,,,,,,,,,,1,1,63124
Gruau ; de Grains ; sarrasin,,,,,,,,,,,,,,,,,,,,,1,1,63124
