product,orthographic,note,sourceFR,sourceFR_nbr,sourceBEL,sourceBEL_nbr,sourceSUND,sourceSUND_nbr,sourceNAVIGO_nbr,_merge,sourceNAVIGO
Reste [de bois],bois,,,,,,,,1,Using only (2),1
Reste en beurre,beurre,,,,,,,,1,Using only (2),1
Restes de marchandises,"divers, assortiment",,,,,,,,1,Using only (2),1
"Riz, graines et légumes","riz, grains et légumes",,,,,,,,1,Using only (2),1
"Riz, grains et légumes","riz, grains et légumes",,,,,,,,88,Using only (2),1
Rocourt [roucou],rocou,,,,,,,,1,Using only (2),1
Sa cargaison,"divers, assortiment",,,,,,,,1,Using only (2),1
Sac vide,sac (vide),,,,,,,,1,Using only (2),1
"Salaisons, olives, capres et anchois","salaisons, olives, câpres et anchoix",,,,,,,,97,Using only (2),1
"Salaisons, olives, capres et anchoix","salaisons, olives, câpres et anchoix",,,,,,,,1,Using only (2),1
"Salaisons, olives, capres et canhois","salaisons, olives, câpres et anchoix",,,,,,,,1,Using only (2),1
Satinet [draps satinés],daps satinés,,,,,,,,1,Using only (2),1
Saudre,cendres,,,,,,,,4,Using only (2),1
Segles [seigle],seigle,,,,,,,,1,Using only (2),1
Sel (Sables d' Olonne),sel,,,,,,,,1,Using only (2),1
Siment [Ciment],ciment,,,,,,,,1,Using only (2),1
Solicor,salicorne,,,,,,,,1,Using only (2),1
Son reste [de beurre],beurre,,,,,,,,1,Using only (2),1
Son reste [de bois],bois,,,,,,,,1,Using only (2),1
Son reste [de futailles],"tonneaux vides, futailles vides",,,,,,,,1,Using only (2),1
Son reste [de tuiles],tuile,,,,,,,,1,Using only (2),1
Soufflets anglais,soufflet (anglais),,,,,,,,1,Using only (2),1
Stockefiche,stockfish,,,,,,,,6,Using only (2),1
Stokefiche,stockfish,,,,,,,,1,Using only (2),1
Suc de limon,jus de limon,,,,,,,,1,Using only (2),1
Suif en baril,suif (baril),,,,,,,,1,Using only (2),1
Suif en barils,suif (baril),,,,,,,,46,Using only (2),1
Suif en barrils,suif (baril),,,,,,,,1,Using only (2),1
Suif pour chandelle,suif (pour chandelle),,,,,,,,1,Using only (2),1
Sègle [seigle],seigle,,,,,,,,2,Using only (2),1
Tabac de la ferme en poudre,tabac (poudre),,,,,,,,1,Using only (2),1
Table,table,,,,,,,,1,Using only (2),1
Tableaux dépareillés,tableau (dépareillé),,,,,,,,1,Using only (2),1
Tasses à café de terre anglaises,"tasse à café (faïence, anglaise)",,,,,,,,1,Using only (2),1
Thé boay,thé bouy,,,,,,,,1,Using only (2),1
Thé bouie,thé bouy,,,,,,,,1,Using only (2),1
Thé bouy,thé bouy,,,,,,,,10,Using only (2),1
Thé bouye,thé bouy,,,,,,,,1,Using only (2),1
Thé bouïe,thé bouy,,,,,,,,1,Using only (2),1
Thé congo,thé (congo),,,,,,,,1,Using only (2),1
Thé fin,thé fin,,,,,,,,3,Using only (2),1
Thérébentine brune,térébenthine,,,,,,,,1,Using only (2),1
Tierçons vides,"tonneaux vides, futailles vides",,,,,,,,1,Using only (2),1
Toile de Guinée,toile (guinée),,,,,,,,1,Using only (2),1
Toile de l' Inde,toile (inde),,,,,,,,5,Using only (2),1
Toile de traite,toile (pour la traite),,,,,,,,1,Using only (2),1
Toile vide,toile (vide),,,,,,,,1,Using only (2),1
Toilerie de l' Inde,toile (inde),,,,,,,,2,Using only (2),1
Toilerie en l' Inde,toile (inde),,,,,,,,1,Using only (2),1
Toileries de l' Inde,toile (inde),,,,,,,,1,Using only (2),1
Toiles blanches et rousses,toile (rouge et blanche),,,,,,,,53,Using only (2),1
"Toiles blanches et rousses, ginga","toile (rouge, blanche et bleue)",,,,,,,,15,Using only (2),1
Toillerie de l' Inde,toile (inde),,,,,,,,8,Using only (2),1
Tonelles,filet (chasse),,,,,,,,1,Using only (2),1
Toupes,etoupe,,,,,,,,1,Using only (2),1
Ustencils [de pêche],effets de pêche,,,,,,,,3,Using only (2),1
Ustentiles de pêche,effets de pêche,,,,,,,,1,Using only (2),1
VIde,a vide,,,,,,,,2,Using only (2),1
"Vaisselles, bijoux et Meubles","vaisselles, bijoux et meubles",,,,,,,,1,Using only (2),1
"Vaisselles, bijoux et meubles","vaisselles, bijoux et meubles",,,,,,,,80,Using only (2),1
Velour coton et laine,velour (coton et laine),,,,,,,,1,Using only (2),1
Vernis de Chine,vernis (chine),,,,,,,,1,Using only (2),1
Verre pilé,verre,,,,,,,,2,Using only (2),1
Verroterie anglaise,verrerie (anglaise),,,,,,,,1,Using only (2),1
Vieilles douves,douve,,,,,,,,1,Using only (2),1
Viellies Futailles [vides],"tonneaux vides, futailles vides",,,,,,,,1,Using only (2),1
Vieux ligne lessivé,"vieux effets, vieux linge",,,,,,,,1,Using only (2),1
Vieux linge lescivé,"vieux effets, vieux linge",,,,,,,,21,Using only (2),1
