line_number;source_type;year;customs_region;customs_office;partner;export_import;product;origin;width_in_line;value;value_part_of_bundle;quantity;quantity_unit;value_per_unit;filepath;source;sheet;value_total;value_sub_total_1;value_sub_total_2;value_sub_total_3;data_collector;unverified;remarks;value_minus_unit_val_x_qty;absurd_observation;trade_deficit;trade_surplus;duty_quantity;duty_quantity_unit;duty_by_unit;duty_total;duty_part_of_bundle;duty_remarks
61;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Huile de girofle;;;120,00;;2,00;Livres;60,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;0,00;;;;;;;;;
62;National toutes directions partenaires manquants;1789;Caen;Caen;Dunkerque;Imports;Huile de graine;;;238,00;;265,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
63;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Huile de laurier;;;225,00;;225,00;Livres;1,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;0,00;;;;;;;;;
64;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Huile de Rabette;;;3 396,00;;9 705,00;Livres;0,3500000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;-0,75;;;;;;;;;
65;National toutes directions partenaires manquants;1789;Caen;Caen;Lorient;Imports;Huile de spermacéti;;;8 990,00;;22 475,00;Livres;0,4000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;0,00;;;;;;;;;
66;National toutes directions partenaires manquants;1789;Caen;Caen;Marseille;Imports;Liège en bouchons;;;100,00;;100,00;Livres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
67;National toutes directions partenaires manquants;1789;Caen;Caen;Marseille;Imports;Marchandises à la valeur;;;70,00;;;Valeurs;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
68;National toutes directions partenaires manquants;1789;Caen;Caen;Dunkerque;Imports;Marchandises à la valeur;;;66,00;;;Valeurs;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
69;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Marchandises à la valeur;;;263,00;;;Valeurs;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
70;National toutes directions partenaires manquants;1789;Caen;Caen;Lorient;Imports;Marchandises à la valeur;;;75,00;;;Valeurs;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
71;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Merceries diverses;;;1 717,00;;633;Livres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
72;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Meules à taillandiers;;;1 700,00;;340;Nombres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
73;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Oignons de fleurs;;;170,00;;;Valeurs;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
74;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Ouvrages de terre pipes à fumer;;;114,00;;19;Grosses;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
75;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Papier blanc;;;318,00;;318;Livres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
76;National toutes directions partenaires manquants;1789;Caen;Caen;Marseille;Imports;Pierres à faulx;;;394,00;;2630;Livres;0,1500000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;-0,50;;;;;;;;;
77;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Plomb en saumon;;;29 861,00;;149305;Livres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
78;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Plomb en table;;;2 827,00;;9425;Livres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
79;National toutes directions partenaires manquants;1789;Caen;Caen;Dunkerque;Imports;Poisson de mer morue;;;480,00;;1920;Livres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
80;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Poisson de mer saumon salé;;;8 760,00;;29200;Livres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
81;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Quincailleries diverses;;;220,00;;;Valeurs;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
82;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Quincailleries de fer;;;739,00;;615;Livres;1,2000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;1,00;;;;;;;;;
83;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Quincailleries de fer;;;146 700,00;;122255;Livres;1,2000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;erreur de calcul?;-6,00;;;;;;;;;
84;National toutes directions partenaires manquants;1789;Caen;Caen;Marseille;Imports;Savon;;;70 485,00;;107475;Livres;0,6000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;5;;;;;Xavier Bidard;;Difficulté lecture sur prix unitaire: 60 lt/quintal, erreur de calcul?;6 000,00;;;;;;;;;
85;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Suif;;;32 235,00;;64470;Livres;0,5000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;5;;;;;Xavier Bidard;;;0,00;;;;;;;;;
86;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Thé verd;;;724,00;;207;Livres;3,5000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;5;;;;;Xavier Bidard;;;-0,50;;;;;;;;;
