line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1501,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Sabres montés en cuivre doré,Isle de France,,135,0,9,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1502,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Armes à feu (fusils de traitte),Étranger,,149727,0,23035,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1503,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Armes à feu (fusils de traitte),Hainaut,,19383,0,2769,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1504,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Armes à feu (fusils de traitte),Flandres,,3000,0,400,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1505,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Armes à feu de munition,Foret,,480,0,40,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1506,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Armes à feu de munition,Hainaut,,9580,0,790,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1507,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Armes à feu de munition fine,Isle de France,,2448,0,34,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1508,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Armes à feu de munition fine,Foret,,3030,0,101,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,4200,,,Cyril Mouton,,,,,,,,,,,,
1509,National toutes directions partenaires manquants,1789,Nantes,Nantes,La Guadeloupe,Exports,Armes à feu de munition fine,Foret,,1170,0,39,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,4200,,,Cyril Mouton,,,,,,,,,,,,
1510,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Armes à feu de munition fine,Foret,,4650,0,155,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
