simplification,nbr_occurences_simpl,ulrich,obsolete,nbr_occurences_ulrich
sulfure de mercure en pierres,2,out,non,288284
sumac,344,out,non,288284
sumac des corroyeurs,1,out,non,288284
sumac et autres feuilles tinctoriales,1,out,non,288284
sumeuille de cuivre,1,out,non,288284
surge de laine,1,out,non,288284
surons,1,out,non,288284
sutoze,1,out,non,288284
tabac,336,tobacco,non,1644
tabac à fumer,27,tobacco,non,1644
tabac à mâcher,1,tobacco,non,1644
tabac à râper,4,tobacco,non,1644
tabac à varié,1,tobacco,non,1644
tabac avarié,4,tobacco,non,1644
tabac briquet,5,tobacco,non,1644
tabac brut,1,tobacco,non,1644
tabac commun,2,tobacco,non,1644
tabac commun en feuilles,1,tobacco,non,1644
tabac côte de ???,1,tobacco,oui,1644
tabac d'Espagne,30,tobacco,non,1644
tabac d'Espagne en feuilles,1,tobacco,non,1644
tabac de ???,1,tobacco,non,1644
tabac de Brésil,1,tobacco,non,1644
tabac de caisse,1,tobacco,non,1644
tabac de cantine,12,tobacco,non,1644
tabac de carottes,1,tobacco,non,1644
tabac de Clairac,1,,non,1091
tabac de coco,1,tobacco,non,1644
tabac de Hollande,10,tobacco,non,1644
tabac de la Ferme,77,tobacco,non,1644
tabac de la Havane,11,tobacco,non,1644
tabac de renvoi,1,tobacco,non,1644
tabac de Séville,1,tobacco,non,1644
tabac de St. Domingue,18,tobacco,non,1644
tabac de St. Vincent,2,tobacco,non,1644
tabac de Virginie,27,tobacco,non,1644
tabac de Virginie en feuilles,10,tobacco,non,1644
tabac des Indes,1,tobacco,non,1644
tabac des prises,4,tobacco,non,1644
tabac divers,1,tobacco,non,1644
tabac du Brésil,59,tobacco,non,1644
tabac du Brésil acheté à Lisbonne,2,tobacco,non,1644
tabac du Brésil acheté à Lisbonne en faisant route pour la Côte d'Or,2,tobacco,non,1644
tabac du Brésil de Virginie,2,tobacco,non,1644
tabac du Brésil pris à Lisbonne par les bâtiments français négriers expédiés des ports de France pour la Côte d'Or,1,tobacco,non,1644
tabac du Brésil pris à Lisbonne par les bâtiments négriers expédiés des côtes de France pour la Côte d'Or,1,tobacco,non,1644
tabac en ???,1,tobacco,non,1644
tabac en andouille,6,tobacco,non,1644
tabac en caisse,4,tobacco,non,1644
tabac en cantine,1,tobacco,non,1644
tabac en carotte,47,tobacco,non,1644
tabac en carotte et en feuilles,1,tobacco,non,1644
tabac en carotte et en feuilles et en côtes,1,tobacco,non,1644
tabac en carotte et en feuilles et râpé,1,tobacco,non,1644
tabac en carotte et fabriqué,1,tobacco,non,1644
tabac en carotte et feuilles côtes,1,tobacco,non,1644
tabac en carotte et rolles,1,tobacco,non,1644
tabac en carotte par Bayonne,1,tobacco,non,1644
tabac en cordes,12,tobacco,non,1644
tabac en coren ???,1,tobacco,non,1644
tabac en côtes,12,tobacco,non,1644
tabac en côtes et en feuilles,4,tobacco,non,1644
tabac en côtes et en feuilles des entrepôts pour la régie,1,tobacco,non,1644
tabac en côtes et en feuilles pour la régie,2,tobacco,non,1644
tabac en feuille,1,tobacco,non,1644
tabac en feuilles,2,tobacco,non,1644
tabac en feuilles de la Louisiane,1,tobacco,non,1644
tabac en feuilles de Virginie,10,tobacco,non,1644
tabac en feuilles et autres,1,tobacco,non,1644
tabac en feuilles et en poudre,1,tobacco,non,1644
tabac en feuilles par Bayonne,1,tobacco,non,1644
tabac en feuilles par Dunkerque,1,tobacco,non,1644
tabac en filé,1,tobacco,non,1644
tabac en graine,1,tobacco,non,1644
tabac en manoque,19,tobacco,non,1644
tabac en poudre,214,tobacco,non,1644
tabac en poudre commun,1,tobacco,non,1644
tabac en poudre commun supérieur,1,tobacco,non,1644
tabac en poudre de la Havane,3,tobacco,non,1644
tabac en rolle,4,tobacco,non,1644
tabac en rouleau,10,tobacco,non,1644
tabac et savon,1,tobacco,non,1644
tabac et son d'Espagne,1,tobacco,non,1644
tabac et sucre,2,,oui,1091
tabac fabriqué,29,tobacco,non,1644
tabac fabriqué et préparé,1,tobacco,non,1644
tabac ficelé,6,tobacco,non,1644
tabac filé,76,tobacco,non,1644
tabac fin,2,tobacco,non,1644
tabac frisé,2,tobacco,non,1644
tabac haché,4,tobacco,non,1644
tabac haché et à fumer,1,tobacco,non,1644
tabac pour échantillon,1,tobacco,non,1644
tabac pressé d'Allemagne,1,tobacco,non,1644
tabac râpé,46,tobacco,non,1644
tabac râpé de la Ferme,7,tobacco,non,1644
tabac râpé par Dunkerque,1,tobacco,non,1644
tabac viedé,1,tobacco,non,1644
tabagies,1,out,non,288284
tabatières,70,out,non,288284
tabatières à bergamote,1,out,non,288284
tabatières communes,3,out,non,288284
tabatières corne,1,out,non,288284
tabatières d'agate,4,out,non,288284
tabatières d'argent,16,out,non,288284
tabatières d'argent et d'or,1,out,non,288284
tabatières d'argent et dorées,1,out,non,288284
tabatières d'argent et petites,2,out,non,288284
tabatières d'écaille,23,out,non,288284
tabatières d'écaille à charnière d'or,1,out,non,288284
tabatières d'écaille à pitons d'argent,1,out,non,288284
tabatières d'écaille garnies d'argent,1,out,non,288284
tabatières d'écaille incrustées d'argent,1,out,non,288284
tabatières d'écaille incrustées d'argent et d'or,2,out,non,288284
tabatières d'écaille incrustées d'or,1,out,non,288284
tabatières d'écaille unie,3,out,non,288284
tabatières d'émail,1,out,non,288284
tabatières d'olivier,44,out,non,288284
tabatières d'or,7,out,non,288284
tabatières d'os,1,out,non,288284
tabatières de bergamote,11,out,non,288284
tabatières de bois,12,out,non,288284
tabatières de bois blanc,1,out,non,288284
tabatières de bois d'olivier,7,out,non,288284
tabatières de bois verni,1,out,non,288284
tabatières de buis,3,out,non,288284
tabatières de carton,15,out,non,288284
tabatières de coco,1,out,non,288284
tabatières de composition,2,out,non,288284
tabatières de corne,26,out,non,288284
tabatières de cuir,1,out,non,288284
tabatières de cuivre,1,out,non,288284
tabatières de cuivre jaune,1,out,non,288284
tabatières de fer-blanc,5,out,non,288284
tabatières de forme,1,out,non,288284
tabatières de nacre,1,out,non,288284
tabatières de paille,2,out,non,288284
tabatières de pinsbeck,3,out,non,288284
tabatières de vermeil,1,out,non,288284
tabatières émaillées,1,out,non,288284
tabatières enrichies,2,out,non,288284
tabatières garnies d'or,1,out,non,288284
tabatières unies,1,out,non,288284
tabatières vernies,3,out,non,288284
tabernacle,3,out,non,288284
tabernacle de marbre,1,out,non,288284
tabernacle doré,1,out,non,288284
table en plomb,30,out,non,288284
tableaux,251,out,non,288284
tableaux à bordures dorées,3,out,non,288284
tableaux à cadres dorés,3,out,non,288284
tableaux à l'huile,1,out,non,288284
tableaux anciens,1,out,non,288284
tableaux avec leurs cadres,2,out,non,288284
tableaux communs,21,out,non,288284
tableaux communs et sur toile,7,out,non,288284
tableaux communs et vieux,1,out,non,288284
tableaux d'optique,2,out,non,288284
tableaux de famille,3,out,non,288284
tableaux de papier peint,1,out,non,288284
tableaux et thèses,1,out,non,288284
tableaux fins et sur toile,1,out,non,288284
tableaux grossiers,3,out,non,288284
tableaux portraits,1,out,non,288284
tableaux sans bordures,2,out,non,288284
tableaux sans bordures et sur toile,2,out,non,288284
tableaux sur bois,1,out,non,288284
tableaux sur toile,17,out,non,288284
tableaux vieux,3,out,non,288284
tables,3,out,non,288284
tables à café,1,out,non,288284
tables à cannelle,1,out,non,288284
tables à écrire,1,out,non,288284
tables à jouer,6,out,non,288284
tables à thé,6,out,non,288284
tables d'acajou,1,out,non,288284
tables d'ardoises,11,out,non,288284
tables de bois,7,out,non,288284
tables de bois peintes,2,out,non,288284
tables de bois petites,1,out,non,288284
tables de chêne,2,out,non,288284
tables de marbre,95,out,non,288284
tables de marbre avec leurs pieds,1,out,non,288284
tables de marbre et à pieds dorés,2,out,non,288284
tables de marbre ouvré,1,out,non,288284
tables de marbre petites,2,out,non,288284
tables de noyer,1,out,non,288284
tables de nuit,1,out,non,288284
tables de quadrilles,3,out,non,288284
tables de sapin,14,out,non,288284
tables de sapin en forme de commonde,1,out,non,288284
tables de sapin peinte,2,out,non,288284
tables de sapin peintes,10,out,non,288284
tables de sapin vernies,2,out,non,288284
tables de toilette,1,out,non,288284
tables de verre,18,out,non,288284
tables en feuilles,1,out,non,288284
tables en marbre,24,out,non,288284
tables fermées,1,out,non,288284
tables jacinthes,1,out,non,288284
tables peintes,8,out,non,288284
tables vernies,12,out,non,288284
tabletterie,2,out,non,288284
tabletterie et porcelaine,1,out,non,288284
tablettes anisées,1,out,non,288284
tablettes d'ardoise,3,out,non,288284
tablier,4,out,non,288284
tablier brodé,3,out,non,288284
tablier brodé et de taffetas,1,out,non,288284
tablier de peau de chamois,1,out,non,288284
tablier de quadrilles,1,out,non,288284
tablier de taffetas,4,out,non,288284
tablier de toile peinte,3,out,non,288284
tablier peint,2,out,non,288284
tabourets,1,out,non,288284
tabourets d'enfant,1,out,non,288284
tacelle de fer,1,out,non,288284
taffetas,196,out,non,288284
taffetas à la bonne femme,1,out,non,288284
taffetas blanc,2,out,non,288284
taffetas bleu,3,out,non,288284
taffetas broché,1,out,non,288284
taffetas chiné,1,out,non,288284
taffetas cirés de soie,1,out,non,288284
taffetas crin,1,out,non,288284
taffetas d'Angleterre,4,out,non,288284
taffetas d'Avignon,1,out,non,288284
taffetas de Florence,2,out,non,288284
taffetas de Léon,1,out,non,288284
taffetas de Lyon,1,out,non,288284
taffetas de Pékin,2,out,non,288284
taffetas de soie,7,out,non,288284
taffetas foulard,1,out,non,288284
taffetas foulas,7,cotton goods,non,9461
taffetas lustré,1,out,non,288284
taffetas noir,3,out,non,288284
taffetas petit,2,out,non,288284
taffetas rayé,3,out,non,288284
tafia,227,out,non,288284
tafia par Dunkerque et étranger,1,out,non,288284
taillanderie,2,out,non,288284
taille de bois à couvrir,1,out,non,288284
taillole de coton,2,cotton goods,non,9461
taillole de laine,4,out,non,288284
talaris,2,out,non,288284
talc,3,out,non,288284
talc de Venise,2,out,non,288284
talons de bois,32,out,non,288284
talons de bois et forme de bois,1,out,non,288284
talons de cuir,1,out,non,288284
tamarin,191,out,non,288284
tamarin confit dans le sucre,2,out,non,288284
tamarin en gousse,3,out,non,288284
tamarin gousse entière,2,out,non,288284
tamarin gras,1,out,non,288284
tamarindy,2,out,non,288284
tambours,8,out,non,288284
tambours à sucre,5,out,non,288284
tambours d'acier,1,out,non,288284
tambours d'enfant,2,out,non,288284
tambours de fer,32,out,non,288284
tambours de fer pour moulins à sucre,1,out,non,288284
tambours de forme,1,out,non,288284
tambours pour moulins à sucre,1,out,non,288284
tamis,44,out,non,288284
tamis à faire et faits,1,out,non,288284
tamis à sucre,2,out,non,288284
tamis à tabac,1,out,non,288284
tamis de crin,3,out,non,288284
tamis de fil de laiton,3,out,non,288284
tamis de soie,1,out,non,288284
tamis de toile de crin,1,out,non,288284
tan,3,out,non,288284
tanabare ???,1,out,non,288284
tanches,1,out,non,288284
tanelles,1,out,non,288284
tanier de laine,1,out,non,288284
tanjebs,4,cotton goods,non,9461
tanquets de terre,1,out,non,288284
tapetal,1,out,non,288284
tapette,1,out,non,288284
tapette à mouches,1,out,non,288284
tapis,63,out,non,288284
tapis à côtes et à nœuds de laine,2,out,non,288284
tapis à petit point,1,out,non,288284
tapis autres qu'à côtes et à nœuds de laine,1,out,non,288284
tapis brodés,1,out,non,288284
tapis brodés en soie,1,out,non,288284
tapis brodés en surface et de drap,1,out,non,288284
tapis courtepointe,1,out,non,288284
tapis courtepointe de toile peinte,1,out,non,288284
tapis d'Angleterre,1,out,non,288284
tapis d'Aubusson,9,out,non,288284
tapis d'Auvergne,12,out,non,288284
tapis d'indienne,11,out,non,288284
tapis de billard,1,out,non,288284
tapis de chitte,1,out,non,288284
tapis de coton,1,cotton goods,non,9461
tapis de coton et de fil,2,cotton goods,non,9461
tapis de fil et de laine,2,out,non,288284
tapis de Guinée,2,out,non,288284
tapis de laine,78,out,non,288284
tapis de laine à côtes et à nœuds,1,out,non,288284
tapis de laine d'Aubusson,3,out,non,288284
tapis de laine d'Auvergne,1,out,non,288284
tapis de laine simples,4,out,non,288284
tapis de moquette,6,out,non,288284
tapis de palampoux,1,out,non,288284
tapis de Perse,2,out,non,288284
tapis de pieds,4,out,non,288284
tapis de pure laine,2,out,non,288284
tapis de Rouen,1,out,non,288284
tapis de satin,1,out,non,288284
tapis de satin blanc brodé,1,out,non,288284
tapis de satin brodé,4,out,non,288284
tapis de soie,1,out,non,288284
tapis de table,2,out,non,288284
tapis de table pièces,1,out,non,288284
tapis de toile cirée,1,out,non,288284
tapis de toile peinte,9,out,non,288284
tapis de toile rayée,1,out,non,288284
tapis de Turquie,4,out,non,288284
tapis de velours,6,out,non,288284
tapis des Indes,2,out,non,288284
tapis divers,2,out,non,288284
tapis du Caire,3,out,non,288284
tapis du Levant,2,out,non,288284
tapis et courtepointe,1,out,non,288284
tapis et tapisserie,1,out,non,288284
tapis fabrique de Tournai,1,out,non,288284
tapis fil teint,1,out,non,288284
tapis gros point,1,out,non,288284
tapis indienne,1,out,non,288284
tapis peints,7,out,non,288284
tapis peints brodés,1,out,non,288284
tapis vieux de renvoi,1,out,non,288284
tapisserie,77,out,non,288284
tapisserie à l'Aubusson,1,out,non,288284
tapisserie aux aiguilles,3,out,non,288284
tapisserie commune,5,out,non,288284
tapisserie d'Amiens,2,out,non,288284
tapisserie d'Anvers,1,out,non,288284
tapisserie d'Aubusson,31,out,non,288284
tapisserie d'Aubusson tenture,2,out,non,288284
tapisserie d'Audenarde,6,out,non,288284
tapisserie d'Auvergne,43,out,non,288284
tapisserie d'Auvergne tentures,1,out,non,288284
tapisserie d'Elbeuf,5,out,non,288284
tapisserie d'oudenarde,1,out,non,288284
tapisserie d'ouvrage,1,out,non,288284
tapisserie de Bayonne,1,out,non,288284
tapisserie de Beauvais,1,out,non,288284
tapisserie de Bergame,6,out,non,288284
tapisserie de Bruxelles,1,out,non,288284
tapisserie de Bruxelles et autres,1,out,non,288284
tapisserie de coton,1,cotton goods,non,9461
tapisserie de coton imprimé,1,cotton goods,non,9461
tapisserie de coutil,1,out,non,288284
tapisserie de coutil peinte,1,out,non,288284
tapisserie de cuir doré,9,out,non,288284
tapisserie de fil et de laine,2,out,non,288284
tapisserie de fil peint,1,out,non,288284
tapisserie de fil teint,1,out,non,288284
tapisserie de filoselle,1,out,non,288284
tapisserie de Flandre avec argent et or,1,out,non,288284
tapisserie de haut lieu vieille,1,out,non,288284
tapisserie de haute lice,11,out,non,288284
tapisserie de haute lice en tenture,2,out,non,288284
tapisserie de Hongrie,3,out,non,288284
tapisserie de la Marche,1,out,non,288284
tapisserie de laine,5,out,non,288284
tapisserie de laine d'Aubusson,1,out,non,288284
tapisserie de moquette,4,out,non,288284
tapisserie de papier peau,1,out,non,288284
tapisserie de papier peint,1,out,non,288284
tapisserie de point de Hongrie,3,out,non,288284
tapisserie de Rouen,31,out,non,288284
tapisserie de toile cirée,1,out,non,288284
tapisserie de toile peinte,4,out,non,288284
tapisserie de verdure,4,out,non,288284
tapisserie de verdure tentures,1,out,non,288284
tapisserie des Gobelins,9,out,non,288284
tapisserie du Dauphiné,1,out,non,288284
tapisserie fausse et de toile,1,out,non,288284
tapisserie filoselle et laine,1,out,non,288284
tapisserie fine coutil,1,out,non,288284
tapisserie hachée et de laine,2,out,non,288284
tapisserie peinte,7,out,non,288284
tapisserie peinte ??? toile,1,out,non,288284
tapisserie peinte de Hongrie,2,out,non,288284
tapisserie peinte sur coutil,2,out,non,288284
tapisserie peinte sur toile,2,out,non,288284
tapisserie peinte tentures,1,out,non,288284
tapisserie pièce,1,out,non,288284
tapisserie point de Hongrie,2,out,non,288284
tapisserie pour chaises,1,out,non,288284
tapisserie pur ??? coutil,1,out,non,288284
tapisserie simple,1,out,non,288284
tapisserie sur toile,2,out,non,288284
tapisserie tontisse,1,out,non,288284
tapisserie verdure,1,out,non,288284
tapisserie vieille,4,out,non,288284
tapsel,155,cotton goods,non,9461
tapsel des Indes,2,cotton goods,non,9461
tapsel étoffe,1,cotton goods,non,9461
tapsel étroite,1,cotton goods,non,9461
tapsel grand,4,cotton goods,non,9461
tapsel large,1,cotton goods,non,9461
tapsel longue et large,1,cotton goods,non,9461
taques de cheminée,1,out,non,288284
tarnatanes,3,cotton goods,non,9461
tars,1,out,non,288284
tartagogne,1,out,non,288284
tartre,483,out,non,288284
tartre blanc,7,out,non,288284
tartre brut,2,out,non,288284
tartre de lie de vin désséchée,1,out,non,288284
tartre de lie de vin liquide,1,out,non,288284
tartre de potasse de soude et de potasse,2,out,oui,288284
tartre de potasse de soudes et de potasse,1,,non,1091
tartre de soude et de potasse,1,out,oui,288284
tartre de soudes et de potasse,1,,non,1091
tartre émétique,3,out,non,288284
tartre en pierre,1,out,non,288284
tartre en poussière,1,out,non,288284
tartre et lie de vin,2,out,non,288284
tartre et térébenthine,2,turpentine,non,556
tartre glan,1,out,non,288284
tartre rouge,7,out,non,288284
tartre térébenthine,4,turpentine,non,556
tartre vitriolé,1,vitriol,non,620
tase rouge,1,out,non,288284
tasseaux,1,out,non,288284
tasses,3,out,non,288284
tasses de coco,1,out,non,288284
tasses de coraux garnies d'argent,1,out,non,288284
tasses de faïence,2,out,non,288284
tasses de terre blanche,1,out,non,288284
tasses de vermillon,4,out,non,288284
tatie,1,out,non,288284
taulier pour canon,1,out,non,288284
taupine,3,out,non,288284
taupine de coton et de soie,2,cotton goods,non,9461
taureaux,29,out,non,288284
taureaux et vaches,2,out,non,288284
tavelle,20,out,non,288284
tavelle de fil et de laine,1,out,non,288284
tavelle de laine,1,out,non,288284
tavelle passement,1,out,non,288284
tayolles,41,out,non,288284
tayolles de ???,1,,non,1091
tayolles de coton,8,cotton goods,non,9461
tayolles de coton et de fil,1,cotton goods,non,9461
tayolles de coton et de soie,1,cotton goods,non,9461
tayolles de fil,1,out,non,288284
tayolles de laine,10,out,non,288284
tayolles de soie,5,out,non,288284
tegers de cuivre,1,out,non,288284
teinture,32,dye other,non,1045
teinture cerise,2,dye other,non,1045
teinture commune,1,dye other,non,1045
teinture d'herbes,1,dye other,non,1045
teinture jaune,1,dye other,non,1045
teinture pour les filets,1,dye other,non,1045
teinture préparée,1,dye other,non,1045
tejenes de cuivre,1,out,non,288284
télescope,4,out,non,288284
télescope de bois uni,1,out,non,288284
télescope de cuivre poli,1,out,non,288284
temparille,1,out,non,288284
tenaille,3,out,non,288284
tenaille de fer,2,out,non,288284
tenaille grossière,2,out,non,288284
tendeurs pour voile,3,out,non,288284
tenelle d'espars,1,out,non,288284
tenevie,1,out,non,288284
tentes,1,out,non,288284
tentes canonnières,1,out,non,288284
tentes et voile,1,out,non,288284
tentes et voile en rolles ou pièces,2,out,non,288284
tepaye des Indes,1,out,non,288284
tepays,10,out,non,288284
terc,2,out,non,288284
térébenthine,328,turpentine,non,556
térébenthine commune,2,turpentine,non,556
térébenthine compacte,5,turpentine,non,556
térébenthine d' ???,1,turpentine,non,556
térébenthine de bergamote,1,turpentine,non,556
térébenthine de Venise,6,turpentine,non,556
térébenthine en essence et en huile et en pâte,1,turpentine,non,556
térébenthine en essence et térébenthine en huile et térébenthine en pâte,19,,oui,1091
térébenthine en pâte,12,turpentine,non,556
térébenthine essence,1,turpentine,non,556
térébenthine grosse,1,turpentine,non,556
térébenthine liquide,5,turpentine,non,556
terendine,5,out,non,288284
terixe,1,out,non,288284
ternilles,1,out,non,288284
terra merita,1,out,non,288284
terraille,240,out,non,288284
terraille blanche,18,out,non,288284
terraille commune,46,out,non,288284
terraille de brin ???,1,out,non,288284
terraille de Gênes,4,out,non,288284
terraille de Gênes noire,2,out,non,288284
terraille de grès,18,out,non,288284
terraille de terre,4,out,non,288284
terraille grise,1,out,non,288284
terraille grosse,2,out,non,288284
terraille grossière,1,out,non,288284
terraille minime,1,out,non,288284
terraille noire,14,out,non,288284
terraillon de grès,1,out,non,288284
terraque,1,out,non,288284
terrasse,1,out,non,288284
terre,11,out,non,288284
terre ?,4,out,non,288284
terre à bâtir,7,out,non,288284
terre à brûler,1,out,non,288284
terre à ciment,19,out,non,288284
terre à cimenter,2,out,non,288284
terre à faïence,24,out,non,288284
terre à faïence commune,1,out,non,288284
terre à fouler,1,out,non,288284
terre à fouler et à potier,1,out,non,288284
terre à foulon,36,out,non,288284
terre à nettoyer,1,out,non,288284
terre à piment,1,out,non,288284
terre à pipes,17,out,non,288284
terre à porcelaine,5,out,non,288284
terre à poterie,1,out,non,288284
terre à potier,83,out,non,288284
terre à pots à sucre,1,out,non,288284
terre à raffiner le sucre,1,out,non,288284
terre à sucre,64,out,non,288284
terre à teindre,1,out,non,288284
terre blanche,5,out,non,288284
terre ciselée,1,out,non,288284
terre commune,1,out,non,288284
terre d'émeri,2,out,non,288284
terre d'ombre,129,out,non,288284
terre d'ombre de Cologne et de rocou,1,out,non,288284
terre d'ombre et terre pour la peinture,1,out,non,288284
terre d'orfèvre,4,out,non,288284
terre de Bologne,1,out,non,288284
terre de Boulogne,1,out,non,288284
terre de ciment,3,out,non,288284
terre de Cologne,6,out,non,288284
terre de corail,2,out,non,288284
terre de creusets,1,out,non,288284
terre de cristal,1,out,non,288284
terre de foulon,4,out,non,288284
terre de graide,1,out,non,288284
terre de grès,10,out,non,288284
terre de Hongrie,1,out,non,288284
terre de marne,1,out,non,288284
terre de marne et argile,1,out,non,288284
terre de marne et engrais,2,out,non,288284
terre de mine,3,out,non,288284
terre de monnaie,1,out,non,288284
terre de mulardeau,1,out,non,288284
terre de myrthe,1,out,non,288284
terre de pipes,3,out,non,288284
terre de plomb,23,out,non,288284
terre de poil,1,out,non,288284
terre de porcelaine,110,out,non,288284
terre de pouzzolane,1,out,non,288284
terre de rocou,1,out,non,288284
terre de Rome,1,out,non,288284
terre de Rouen,1,out,non,288284
terre de satine,2,out,non,288284
terre de Vérone,5,out,non,288284
terre de Vérone verte,1,out,non,288284
terre de verrerie,3,out,non,288284
terre dite souda,1,out,non,288284
terre du Faubourg Saint-Antoine,1,out,non,288284
terre du Limousin,2,out,non,288284
terre glaise,4,out,non,288284
terre grasse,25,out,non,288284
terre houille,1,out,non,288284
terre jaune,14,out,non,288284
terre maganaise,1,out,non,288284
terre maganaize,1,out,non,288284
terre manganèse,8,out,non,288284
terre noire,1,out,non,288284
terre pour le goudron,1,out,non,288284
terre pour pipes et à potier,1,out,non,288284
terre pour teinture,1,out,non,288284
terre pour verrerie,2,out,non,288284
terre pourrie,1,out,non,288284
terre pouzolanne,8,out,oui,288284
terre pouzzolane,9,out,non,288284
terre rouge,19,out,non,288284
terre sigillée,20,out,non,288284
terre silvestre,1,,non,1091
terre vernie,1,out,non,288284
terre verte,6,out,non,288284
terrementil,1,out,non,288284
terrerie,16,out,non,288284
terrerie blanche,1,out,non,288284
terrerie de grès,2,out,non,288284
terrier de fer,2,out,non,288284
terrine,1,out,non,288284
terrine de grès,1,out,non,288284
têtes à perruques,4,out,non,288284
têtes brodées et de basin,1,out,non,288284
têtes de cabillaud,1,out,non,288284
têtes de carabé,1,out,non,288284
têtes de choux,3,out,non,288284
têtes de clou de girofle,2,out,non,288284
têtes de clous,1,out,non,288284
têtes de cuir,1,,non,1091
têtes de cuir et en poil,17,out,non,288284
têtes de cuivre en poêle,1,out,non,288284
têtes de girofle,8,out,non,288284
têtes de morue,4,out,non,288284
têtes de morue des Indes,1,out,non,288284
têtes de pavot,1,out,non,288284
thé,1013,out,non,288284
thé ???,2,out,non,288284
the bou,1,out,non,288284
thé bou,45,out,non,288284
thé cambou,12,out,non,288284
thé des entrepôts,1,out,non,288284
thé des Indes,4,out,non,288284
thé du pays,1,,oui,1091
thé en fleurs blanc,1,out,non,288284
thé et porcelaine,1,out,non,288284
thé étranger,1,out,non,288284
thé étranger par Strasbourg,1,out,non,288284
thé filé,1,out,non,288284
thé haysswen,3,out,non,288284
thé impérial,11,out,non,288284
thé ordinaire,1,out,non,288284
thé par Dunkerque,1,out,non,288284
thé par Pontarlier et Saint-Louis,1,out,non,288284
thé pays,1,,non,1091
thé pékan,5,out,non,288284
thé roux,6,out,non,288284
thé saotchaon,1,out,non,288284
thé saoul,3,out,non,288284
thé souchon,6,out,non,288284
thé tonkay,1,out,non,288284
thé vert,37,out,non,288284
thé vert commun,2,out,non,288284
thé vert saoul,6,out,non,288284
théières,3,out,non,288284
théières d'étain,11,out,non,288284
théières de cuivre,5,out,non,288284
théières de fer-blanc,1,out,non,288284
théières de métal,2,out,non,288284
théières de terre noire,1,out,non,288284
theloc,1,out,non,288284
thepays,6,out,non,288284
thériaque,95,out,non,288284
thériaque de Venise,1,out,non,288284
thermomètre,1,out,non,288284
thon,6,out,non,288284
thon à l'huile,3,out,non,288284
thon frais,20,out,non,288284
thon mariné,288,out,non,288284
thon mariné au vinaigre,2,out,non,288284
thon mariné et salé,6,out,non,288284
thon salé,76,out,non,288284
thon sec,1,out,non,288284
thon thonine,3,out,non,288284
thonine,66,out,non,288284
thonine salée,1,out,non,288284
tierçon en jarre,1,out,non,288284
tierçons de bois,1,out,non,288284
tierçons en bottes,1,out,non,288284
tiers à tonneau,1,out,non,288284
tiges de bottes,1,out,non,288284
tigois,1,out,non,288284
tilles à tonnelier,1,out,non,288284
tilleul,3,out,non,288284
timbres,1,out,non,288284
timon,1,out,non,288284
tin canarie,1,out,non,288284
tinettes,1,out,non,288284
tires-bouchons d'acier,1,out,non,288284
tiretaine,6,out,non,288284
tiretaine de laine,2,out,non,288284
tiretaine et miselaine,2,out,non,288284
tiretaine et miselaine aune,1,out,oui,288284
tobines,1,out,non,288284
tobines de Hollande,1,out,non,288284
toile,423,out,non,288284
toile ???,22,out,non,288284
toile ...,1,out,non,288284
toile 3/4,1,out,non,288284
toile a ???,1,out,non,288284
toile à 4 fils,5,out,non,288284
toile à bas,5,out,non,288284
toile à bas prix blanche de lin,1,out,non,288284
toile à bas prix blanche et de coton,1,cotton goods,non,9461
toile à bas prix de chanvre,1,out,non,288284
toile à bas prix de coton et imprimée,2,cotton goods,non,9461
toile à bâts,13,out,non,288284
toile à bluteaux,2,out,non,288284
toile à bouquets de laine de coton,2,cotton goods,non,9461
toile à Bretagne,1,out,oui,288284
toile à canevas,4,out,non,288284
toile à carreaux,160,out,non,288284
toile à carreaux de fil et de laine,1,out,non,288284
toile à carreaux de Rouen,2,out,non,288284
toile à carreaux et à matelas,1,out,non,288284
toile à carreaux et de coton,5,cotton goods,non,9461
toile à carreaux et de coutil,4,out,non,288284
toile à carreaux et de lin,11,out,non,288284
toile à carreaux et en pièces de 50 aunes,1,out,oui,288284
toile à carreaux fine et de lin,1,out,non,288284
toile à carreaux grosse et de Lille,1,out,non,288284
toile à carreaux pièces de 50 aunes,1,,non,1091
toile à carreaux pour matelas,2,out,non,288284
toile à cottray,1,out,non,288284
toile à doubler,1,out,non,288284
toile à drap,1,out,non,288284
toile à faire drap de lin,1,out,non,288284
toile à fleurs,4,out,non,288284
toile à halle,1,out,non,288284
toile à image,1,out,non,288284
toile à jamis,13,cotton goods,non,9461
toile à matelas,26,out,non,288284
toile à matelas et à carreaux,3,out,non,288284
toile à matelot,1,out,non,288284
toile à nappes,5,out,non,288284
toile à nappes et serviettes,3,out,non,288284
toile à nègre,6,out,non,288284
toile à paillasse,2,out,non,288284
toile à pavillon,3,out,non,288284
toile à peindre,1,out,non,288284
toile à robes,2,out,non,288284
toile à sacquette dite talette,2,out,non,288284
toile à sacs,9,out,non,288284
toile à serpillière,7,out,non,288284
toile à serviettes,49,out,non,288284
toile à sorties,1,out,non,288284
toile à tamis,9,out,non,288284
toile à tapisser,1,out,non,288284
toile à voile,1,,non,1091
toile à voile de 24 aunes,1,,non,1091
toile abas,1,out,non,288284
toile abat,28,out,non,288284
toile alanea,1,out,non,288284
toile amant,3,out,non,288284
toile anascotes,1,out,non,288284
toile anglaise,1,out,non,288284
