marchandises_simplification,grains,obsolete
cannelle et poivre,Pas grain (0),non
cannelle fine,,non
cannelle fine des entrepôts,,non
cannelle giroflée,Pas grain (0),non
cannelle malte,,non
cannelle ocyrez,,non
cannelle ordinaire,,non
cannelle sauvage,Pas grain (0),non
cannes,Pas grain (0),non
cannes à main,Pas grain (0),non
cannes à pêcher,Pas grain (0),non
cannes à pommes d'or,Pas grain (0),non
cannes à pommes d'or ayant servi,Pas grain (0),non
cannes de bambous,Pas grain (0),non
cannes de bois,Pas grain (0),non
cannes de bois montées et non montées,Pas grain (0),non
cannes de bois vernis,,non
cannes de jonc,Pas grain (0),non
cannes de jonc ou roseau,Pas grain (0),non
cannes de roseau,Pas grain (0),non
cannes dites genettes,Pas grain (0),non
cannes en brochettes,,non
cannes en canon,,non
cannes et bâtons vernis,Pas grain (0),non
cannes vernies,Pas grain (0),non
cannette de grès et de terre,Pas grain (0),non
cannettes,Pas grain (0),non
cannettes d'étain,Pas grain (0),non
cannettes de ???,Pas grain (0),non
cannettes de faïence,Pas grain (0),non
cannettes de grès,Pas grain (0),non
cannettes de sapin,Pas grain (0),non
cannettes de terre,Pas grain (0),non
cannettes ocyrez,,non
canonnières de cantil,Pas grain (0),non
canons,Pas grain (0),non
canons de 18 livres,Pas grain (0),non
canons de 2 livres,Pas grain (0),non
canons de 4 livres,Pas grain (0),non
canons de bronze,,non
canons de différents calibres,Pas grain (0),non
canons de fer,Pas grain (0),non
canons de fer avec leurs affûts,Pas grain (0),non
canons de fer de 12 livres,,non
canons de fer de 18 à 24 livres,Pas grain (0),non
canons de fer de 18 et 30 livres,Pas grain (0),non
canons de fer de 2 livres,Pas grain (0),non
canons de fer de 3 à 4 livres,,non
canons de fer de 3 livres,Pas grain (0),non
canons de fer de 4 livres,Pas grain (0),non
canons de fer de 6 livres,Pas grain (0),non
canons de fer de 8 livres,Pas grain (0),non
canons de fer et balles de fer,Pas grain (0),non
canons de fer petits,Pas grain (0),non
canons de fer vieux,Pas grain (0),non
canons de feu de 4 livres,,non
canons de filoselle,Pas grain (0),non
canons de fonte,Pas grain (0),non
canons de fonte petit,Pas grain (0),non
canons de fusils,Pas grain (0),non
canons de métal,Pas grain (0),non
canons de métal de 12 livres,,non
canons de vieux mousquets,Pas grain (0),non
canot neuf,Pas grain (0),non
cantharides,Pas grain (0),non
cantharides et cloportes,,non
cantharides ou mouches d'Espagne,Pas grain (0),non
cantines,Pas grain (0),non
cantines de cuir,,non
canules,Pas grain (0),non
canyolore,Pas grain (0),non
caoutchouc,Pas grain (0),non
capalme,Pas grain (0),non
caparaçons,Pas grain (0),non
caparaçons de peau,Pas grain (0),non
capeabas,Pas grain (0),non
capes,Pas grain (0),non
capes cabas,Pas grain (0),non
capes de camelot,Pas grain (0),non
capes du Béarn,Pas grain (0),non
capies,Pas grain (0),non
capillaire,Pas grain (0),non
capillaire en herbes,Pas grain (0),non
capillaire verte,Pas grain (0),non
capiton,Pas grain (0),non
capiton de soie,Pas grain (0),non
capons,Pas grain (0),non
capotes,Pas grain (0),non
capotes de drap,Pas grain (0),non
capotes de drap gros,Pas grain (0),non
capotes de marrègue,Pas grain (0),non
capotes et chemises casaques,,non
capots,Pas grain (0),non
capots (draps),Pas grain (0),non
capots de laine,Pas grain (0),non
câpres,Pas grain (0),non
câpres au vinaigre,Pas grain (0),non
câpres communes,Pas grain (0),non
câpres communes confits,Pas grain (0),non
câpres confits,Pas grain (0),non
câpres confits au vinaigre,Pas grain (0),non
câpres cornichons et olives,Pas grain (0),non
câpres d'Espagne,Pas grain (0),non
câpres et cornichons au vinaigre,Pas grain (0),non
câpres et olive,Pas grain (0),non
câpres et olives,,non
câpres fines,Pas grain (0),non
câpres gousses,,non
câpres grosses,Pas grain (0),non
câpres marinées,Pas grain (0),non
câpres non marinées,Pas grain (0),non
câpres salées et au vinaigre,Pas grain (0),non
capris,Pas grain (0),non
capsliattes,Pas grain (0),non
caput mortum,Pas grain (0),non
carabé,Pas grain (0),non
carabé jaune,Pas grain (0),non
carabine à air comprimé,Pas grain (0),non
caractères à imprimerie,Pas grain (0),non
caractères à imprimerie de plomb,Pas grain (0),non
caractères à imprimerie en langue allemande,,non
caractères à imprimerie en langue française,,non
caractères à imprimerie hors d'usage,,non
caractères à imprimerie neufs,,non
carafes de verre,,non
carafes de verre blanc,,non
caramel,Pas grain (0),non
carants et lanjents,,non
caraterie,Pas grain (0),non
carbonate d'ammoniaque,,non
carbonate de magnésie,,non
carbonate de plomb mélangé ou pur,,non
carbonate de plomb très pur,,non
carcajou,Pas grain (0),non
carcasse,Pas grain (0),non
carcasse à peu de soie,Pas grain (0),non
carcasses et parapluies,,non
cardamome,Pas grain (0),non
cardes,Pas grain (0),non
cardes à carder,Pas grain (0),non
cardes à carder neuves,,non
cardes à carder vieilles,,non
cardes à drapier,Pas grain (0),non
cardes de bois et de fil de fer,Pas grain (0),non
cardes de chanvre,,non
cardes et cardons champêtres,Pas grain (0),non
cardes neuves,Pas grain (0),non
cardes vieilles,Pas grain (0),non
cardilletrie,Pas grain (0),non
cardines,Pas grain (0),non
cardines de bois,Pas grain (0),non
cardines de sapin,Pas grain (0),non
cardon,,non
cardons,Pas grain (0),oui
cards à carder,,non
caret,Pas grain (0),non
cargaison,Pas grain (0),non
caril,Pas grain (0),non
carillon de fer,Pas grain (0),non
carisé,Pas grain (0),non
carisé blanc,Pas grain (0),non
carisé teint,Pas grain (0),non
carisel,Pas grain (0),non
carisel ou creseau,Pas grain (0),non
carives vieilles,Pas grain (0),non
carlé,Pas grain (0),non
carmin,Pas grain (0),non
carmin commun,,non
carmin fin,,non
carnasse,Pas grain (0),non
carnifié,Pas grain (0),non
carny,Pas grain (0),non
carols,Pas grain (0),non
caroots,Pas grain (0),non
carots,Pas grain (0),non
carotte,Pas grain (0),non
carotte d'enfant,Pas grain (0),non
carottes,Pas grain (0),non
carou,Pas grain (0),non
carpe et tanche,,non
carpeaux alevins,Pas grain (0),non
carpes,Pas grain (0),non
carpes de stockfish,Pas grain (0),non
carpes et brochets,Pas grain (0),non
carpette,Pas grain (0),non
carrabe,Pas grain (0),non
carré,Pas grain (0),non
carré de fer plat,Pas grain (0),non
carreaux,Pas grain (0),non
carreaux ???,Pas grain (0),non
carreaux à dentelle,Pas grain (0),non
carreaux à paver,Pas grain (0),non
carreaux à paver de pierre,Pas grain (0),non
carreaux à paver de terre,Pas grain (0),non
carreaux bleus,Pas grain (0),non
carreaux briques et tuiles,,non
carreaux d'ardoise,Pas grain (0),non
carreaux d'Île de France,Pas grain (0),non
carreaux de Bidache,Pas grain (0),non
carreaux de Bidache de pierre,Pas grain (0),non
carreaux de brique,Pas grain (0),non
carreaux de dentelle,Pas grain (0),non
carreaux de faïence,Pas grain (0),non
carreaux de marbre,Pas grain (0),non
carreaux de marbre à paver,Pas grain (0),non
carreaux de marbre gros,Pas grain (0),non
carreaux de marbre ouvrés,Pas grain (0),non
carreaux de marbre pour le Roi,Pas grain (0),non
carreaux de meulage,Pas grain (0),non
carreaux de pierre,Pas grain (0),non
carreaux de pierre de Bidache,Pas grain (0),non
carreaux de pierre de terre,Pas grain (0),non
carreaux de pierre noire,Pas grain (0),non
carreaux de sera,Pas grain (0),non
carreaux de terre,Pas grain (0),non
carreaux de terre cuite,Pas grain (0),non
carreaux de terre et tuiles bombées,,non
carreaux de verre,Pas grain (0),non
carreaux de verre à vitre,Pas grain (0),non
carreaux démoulés,,non
carreaux des prises,Pas grain (0),non
carreaux en nombre,Pas grain (0),non
carreaux meulage de Brie,Pas grain (0),non
carreaux meulage de France,Pas grain (0),non
carreaux moulage,Pas grain (0),non
carreaux moulage de Brie,Pas grain (0),non
carreaux moulage de France,Pas grain (0),non
carreaux noirs,Pas grain (0),non
carreaux rouges,Pas grain (0),non
carrelet,Pas grain (0),non
carres,Pas grain (0),non
carrosses,Pas grain (0),non
carrosses et harnais,Pas grain (0),non
carrosses grands montés sur leur train et harnais riche,Pas grain (0),non
carrosses neufs,Pas grain (0),non
carrosses vieux,Pas grain (0),non
carrouges,Pas grain (0),non
carrue,Pas grain (0),non
cartager,Pas grain (0),non
cartame,Pas grain (0),non
cartes,Pas grain (0),non
cartes à chaperonnier,Pas grain (0),non
cartes à jouer,Pas grain (0),non
cartes de géographie sur toile,Pas grain (0),non
cartes des côtes d'Angleterre,Pas grain (0),non
cartes géographiques,Pas grain (0),non
cartes géométriques,,non
cartes marines,Pas grain (0),non
carthame,,non
cartignette,Pas grain (0),non
carton,Pas grain (0),non
carton à drapier,Pas grain (0),non
carton assemblé et coupé,,non
carton lustré pour presser les draps,,non
carton moulé,Pas grain (0),non
carton peint,Pas grain (0),non
cartouches,Pas grain (0),non
caruane,,non
carubis,Pas grain (0),non
carvi,Pas grain (0),non
carzé,,non
casaques,Pas grain (0),non
casaques à nègre,Pas grain (0),non
casaques de froc,Pas grain (0),non
casaques de peau,Pas grain (0),non
casaques et camisoles,,non
casaques pour matelot,,non
cascarilles,Pas grain (0),non
casimir de laine,Pas grain (0),non
casimir de laine et mérinos,,non
casques,Pas grain (0),non
casques à nègre,Pas grain (0),non
casques et cuirasses,Pas grain (0),non
cassave,Pas grain (0),non
casse,Pas grain (0),non
casse de fer,Pas grain (0),non
casse de laiton,Pas grain (0),non
casse des entrepôts,,non
casse en baton,Pas grain (0),non
casse étoffe,Pas grain (0),non
casse garnie,Pas grain (0),non
casseroles de fer,Pas grain (0),non
cassia fistula,Pas grain (0),non
cassia lignea,Pas grain (0),non
cassia sèche,Pas grain (0),non
cassis,Pas grain (0),non
cassoles,Pas grain (0),non
cassonade,Pas grain (0),non
cassonade des Îles,Pas grain (0),non
cassube,Pas grain (0),non
castalogne,Pas grain (0),non
castine et spath,,non
castor,Pas grain (0),non
castor blanc,Pas grain (0),non
castor gras,Pas grain (0),non
castor sec,Pas grain (0),non
castoreum,Pas grain (0),non
castoréum civette musc,,non
castoreune du ???,Pas grain (0),non
castus doux,,non
catadarits,,non
Catalogne de laine,Pas grain (0),non
Catalogne de poil,Pas grain (0),non
catéchismes,Pas grain (0),non
catequin,Pas grain (0),non
caubrune,,non
cauride,,non
caurie,Pas grain (0),non
caurier,Pas grain (0),non
cauris,Pas grain (0),non
cauris des Indes,Pas grain (0),non
cauris pour la traite,Pas grain (0),non
causels de bar,Pas grain (0),non
causels de bois,Pas grain (0),non
causse de corde,Pas grain (0),non
cautardes,Pas grain (0),non
cavelle,Pas grain (0),non
cavelle de bois,,non
caves,Pas grain (0),non
caves à tabac,Pas grain (0),non
caves de ??? flacons,Pas grain (0),non
caves de 12 flacons,Pas grain (0),non
caves de 6 flacons,Pas grain (0),non
caves de 6 flacons pour eau-de-vie,Pas grain (0),non
caves de 8 flacons,,non
caves de 9 flacons,Pas grain (0),non
caves de flacons,Pas grain (0),non
caves et canevettes de 6 flacons,Pas grain (0),non
caves files,Pas grain (0),non
caves garnies,Pas grain (0),non
caves garnies de 10 flacons,Pas grain (0),non
caves garnies de 12 flacons,Pas grain (0),non
caves garnies de 15 flacons,Pas grain (0),non
caves garnies de 29 flacons,Pas grain (0),non
caves garnies de 6 flacons,Pas grain (0),non
caves garnies de 7 flacons,Pas grain (0),non
caves garnies de 8 flacons,Pas grain (0),non
caves garnies de 9 flacons,Pas grain (0),non
caves garnies de flacon,Pas grain (0),oui
caves garnies de flacons,Pas grain (0),non
caves garnies de flacons de cristal,Pas grain (0),non
caves non garnies de flacons,Pas grain (0),non
cavettes de bois,,non
cavial,Pas grain (0),non
caviers de terre,,non
cavizé,,non
cayette,Pas grain (0),non
cazé,,non
ceaustatille étoffe,Pas grain (0),non
cédrat,Pas grain (0),non
cédrat frais,Pas grain (0),non
cédrat zestes confits,Pas grain (0),non
cèdre,Pas grain (0),non
ceintures,Pas grain (0),non
ceintures brodées de soie,Pas grain (0),non
ceintures d'argent fin,Pas grain (0),non
ceintures de coton,Pas grain (0),non
ceintures de cuir,,non
ceintures de laine,Pas grain (0),non
ceintures de laine et de fil,Pas grain (0),non
ceintures de prêtre,Pas grain (0),non
ceintures de soie,Pas grain (0),non
ceintures marines,Pas grain (0),non
ceinturons,Pas grain (0),non
ceinturons brodés,Pas grain (0),non
ceinturons brodés d'argent,Pas grain (0),non
ceinturons brodés d'or,Pas grain (0),non
ceinturons de buffle,Pas grain (0),non
ceinturons de chamois,,non
ceinturons de coton,,non
ceinturons de cuir,,non
ceinturons de laine,Pas grain (0),non
ceinturons de peau,Pas grain (0),non
ceinturons de soie,Pas grain (0),non
ceinturons et bandoulières,Pas grain (0),non
ceinturons et bandoulières et gibernes,Pas grain (0),non
ceinturons piqués,Pas grain (0),non
ceinturons pour épée,,non
ceinturons unis,Pas grain (0),non
céleris,Pas grain (0),non
cendaline,Pas grain (0),non
cendre,Pas grain (0),non
cendre ???,Pas grain (0),non
cendre à engraisser,Pas grain (0),non
cendre à fumer,Pas grain (0),non
cendre à fumer terre,Pas grain (0),non
cendre à houille,Pas grain (0),non
cendre à orfèvre,Pas grain (0),non
cendre à savon,Pas grain (0),non
cendre barille,Pas grain (0),non
cendre barille de pierre,Pas grain (0),non
cendre barille et fonde,Pas grain (0),non
cendre blanche,Pas grain (0),non
cendre bleue,Pas grain (0),non
cendre bleue et verte,Pas grain (0),non
cendre bourde,Pas grain (0),non
cendre broyée à l'huile,Pas grain (0),non
cendre calcinée,Pas grain (0),non
cendre caleinée,Pas grain (0),non
cendre cassant,Pas grain (0),non
cendre casseaux,Pas grain (0),non
cendre commune,Pas grain (0),non
cendre d'Angleterre,,non
cendre d'Égypte,,non
cendre d'os,Pas grain (0),non
cendre de bois,Pas grain (0),non
cendre de bois commune,Pas grain (0),non
cendre de bois vive,,non
cendre de chaux,Pas grain (0),non
cendre de courbe,Pas grain (0),non
cendre de cuivre,,non
cendre de Damas,,non
cendre de fonde,Pas grain (0),non
cendre de frène,Pas grain (0),non
cendre de grignon,Pas grain (0),non
cendre de houille,Pas grain (0),non
cendre de lessive,Pas grain (0),non
cendre de Lyon,,non
cendre de Malte,Pas grain (0),non
cendre de mer,Pas grain (0),non
cendre de natron,Pas grain (0),non
cendre de paille et de tourbe,Pas grain (0),non
cendre de plomb,Pas grain (0),non
cendre de potasse,Pas grain (0),oui
cendre de Sicile,Pas grain (0),non
cendre de tabac,Pas grain (0),non
cendre de tourbe,Pas grain (0),non
cendre de varech,Pas grain (0),non
cendre de varet,Pas grain (0),non
cendre de védasse,Pas grain (0),oui
cendre de verre,Pas grain (0),non
cendre de vitarch,Pas grain (0),non
cendre des rois,Pas grain (0),non
cendre dite soude,Pas grain (0),oui
cendre du Levant,Pas grain (0),non
cendre gravelée,Pas grain (0),oui
cendre houille,Pas grain (0),oui
cendre lessivée,,non
cendre menuisée,Pas grain (0),non
cendre poland,Pas grain (0),non
cendre polasse,Pas grain (0),oui
cendre poreuse,Pas grain (0),non
cendre potasse et védasse et gravelée,Pas grain (0),oui
cendre pour manufactures,Pas grain (0),non
cendre pour verrerie,Pas grain (0),non
cendre salicor,Pas grain (0),non
cendre salins,Pas grain (0),non
cendre soudes,Pas grain (0),oui
cendre soudes d'Égypte ou Natrum,,non
cendre soudes et natron et salin,Pas grain (0),oui
cendre soudes et potasse,Pas grain (0),oui
cendre tourbe,Pas grain (0),oui
cendre verte,Pas grain (0),non
censes de bâtiments,Pas grain (0),non
censes de bois,,non
censes pour nettoyer les pots,,non
cercles,Pas grain (0),non
cercles à barils,Pas grain (0),non
cercles à barriques,Pas grain (0),non
cercles à bobillons,Pas grain (0),non
cercles à pipes,Pas grain (0),non
cercles à quart,Pas grain (0),non
cercles à relier,Pas grain (0),non
cercles à tamis,Pas grain (0),non
cercles à tamis dits standrepen,Pas grain (0),non
cercles à tonneaux,Pas grain (0),non
cercles communs,Pas grain (0),non
cercles d'osier,,non
cercles de 10 à 12 pieds,Pas grain (0),non
cercles de 12 à 16 pieds,Pas grain (0),non
cercles de 7 à 11 pieds,Pas grain (0),non
cercles de 8 à 10 pieds,Pas grain (0),non
cercles de 9 à 12 pieds,Pas grain (0),non
cercles de bois,Pas grain (0),non
cercles de bois à quarts,Pas grain (0),non
cercles de bois à tonneaux,Pas grain (0),non
cercles de bois de barrique,Pas grain (0),oui
cercles de bois et feuillard de bois,Pas grain (0),non
cercles de bois pour barils,,non
cercles de bois pour barriques,,non
cercles de bois pour bobillons,,non
cercles de bois pour la mire,Pas grain (0),non
cercles de bois pour pipes,Pas grain (0),non
cercles de bois pour tamis,,non
cercles de bois pour tanier,Pas grain (0),non
cercles de cuivre de poil,Pas grain (0),non
cercles de demitte,Pas grain (0),non
cercles de fer,Pas grain (0),non
cercles de fer et feuillardes de fer,Pas grain (0),non
cercles de fers,Pas grain (0),non
cercles de feuillards,Pas grain (0),non
cercles de jonc,Pas grain (0),non
cercles de tamis,,non
