marchandises_simplification,grains,obsolete
bandes de roues de fer,Pas grain (0),non
bandes de tulles brodées,,non
bandoulières garnies d'argent,,non
bannes et bannettes d'osier,,non
bannettes d'osier,Pas grain (0),non
bannettes de cuir,Pas grain (0),non
bannière de Damas,Pas grain (0),non
banquette,Pas grain (0),non
baquelets,,non
baquets,Pas grain (0),non
baquets de cuivre,Pas grain (0),non
baquets de fer,Pas grain (0),non
baquets de rechange,Pas grain (0),non
baquets de sapin,Pas grain (0),non
baracan,Pas grain (0),non
baracan aune,Pas grain (0),non
baracan de laine,Pas grain (0),non
baracan de laine et de poil,,non
baracan de poil,Pas grain (0),non
barail,Pas grain (0),oui
baras,Pas grain (0),non
barat de laine,Pas grain (0),non
baratte,Pas grain (0),non
barbançons,Pas grain (0),non
barbançons de grès,Pas grain (0),non
barbançons de terre,Pas grain (0),non
barbe de baleine,Pas grain (0),non
barbotine,,non
barbotines,Pas grain (0),non
barbues,Pas grain (0),non
barbues couvertes d'étamine,Pas grain (0),non
barbues de grès,Pas grain (0),non
barbues de terre,Pas grain (0),non
barbues ouvrées et cannettes ouvrées et jarres de terre ouvrées,Pas grain (0),non
bardes,Pas grain (0),non
barilleau,Pas grain (0),non
barilleau de laine,,non
barils,Pas grain (0),non
barils à poudre,Pas grain (0),non
barils ancres,Pas grain (0),non
barils de chêne,Pas grain (0),non
barils de sapin,Pas grain (0),non
barils de tonnelier,Pas grain (0),non
barils de vin de ???,Pas grain (0),non
barils neufs,Pas grain (0),non
barils pour saler sardines,,non
barils vides,Pas grain (0),non
barils vides de sardines,Pas grain (0),non
barois,Pas grain (0),non
baromètre,Pas grain (0),non
barques,Pas grain (0),non
barques démontées,Pas grain (0),non
barques en bottes,Pas grain (0),non
barquettes,Pas grain (0),non
barquettes et nacelles,Pas grain (0),non
barquettes vieilles,Pas grain (0),non
barreau de laine,Pas grain (0),non
barreaux,Pas grain (0),non
barreaux de bois,Pas grain (0),non
barreaux de bois et planches de bois,Pas grain (0),non
barreaux de sapin,Pas grain (0),non
barreaux de sapin de 10 pieds,Pas grain (0),non
barreaux neufs,Pas grain (0),non
barres,Pas grain (0),non
barres à nègre,Pas grain (0),non
barres carrées de fer étiré,,non
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement,,non
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement sur chaque face,,non
barres carrées de fer étiré de 22 millimètres et plus sur chaque face,,non
barres carrées de fer étiré de moins de 15 millimètres,,non
barres carrées de fer étiré de moins de 15 millimètres sur chaque face,,non
barres d'acier,Pas grain (0),oui
barres d'anspects,Pas grain (0),non
barres d'anspects et barres de cabestan,Pas grain (0),non
barres d'étain,Pas grain (0),non
barres d'étain ou blocs d'étain,Pas grain (0),non
barres de barrique,Pas grain (0),non
barres de bois,Pas grain (0),non
barres de cabestan,Pas grain (0),non
barres de chêne petites,Pas grain (0),non
barres de cuivre,Pas grain (0),non
barres de fer,Pas grain (0),non
barres de fer à frire,,non
barres de fer blanc,Pas grain (0),non
barres de fer étiré,,non
barres de futel,Pas grain (0),non
barres de guindeau,Pas grain (0),non
barres de sapin,Pas grain (0),non
barres de sapin de 3 à 4 pieds,Pas grain (0),non
barres et verges de fer,Pas grain (0),non
barres maître-fond,Pas grain (0),non
barres plates de fer étiré,,non
barres plates de fer étiré de 113 à 366 millimètres ou 42 à 72 lignes inclusivement,,non
barres plates de fer étiré de 213 à 366 millimètres de largueur multipliée par l'épaisseur,,non
barres plates de fer étiré de moins de 113 millimètres ou 42 lignes,,non
barres plates de fer étiré de moins de 213 millimètres de largueur multipliée par l'épaisseur,,non
