product_simplification,product_sitc_FR,observations_total,années_observées,product_new_classification_revised
mousseline de coton et nankin,Filés ou tissés de coton,11,1,"Mousseline, basin et nankin"
moutarde,Autres produits alimentaires et animaux,105,8,Moutarde
muscades,Produits agricoles alimentaires des régions de colonisation européenne,101,20,Muscades
muscades et macis,Produits agricoles alimentaires des régions de colonisation européenne,18,4,Muscades
nacre de perles,Matières brutes non-comestibles non transformées n.d.a.,43,7,Nacre de perles
nacre,Matières brutes non-comestibles non transformées n.d.a.,9,2,Nacre de perles
noir d'ivoire,Produits chimiques transformés n.d.a.,20,2,Noir d’ivoire
noir d'os,Produits chimiques transformés n.d.a.,8,2,Noir d’os
noir de fumée,Produits chimiques transformés n.d.a.,28,8,Noir de fumée
noir commun de fumée et autres,Produits chimiques transformés n.d.a.,13,3,Noir de fumée
noix de Galle,Produits chimiques transformés n.d.a.,312,28,Noix de Galle
noix pour peintures,Produits chimiques transformés n.d.a.,6,1,Noix pour peinture
objets d'art,Articles manufacturés divers n.d.a,6,1,Objets d’art et d’histoire naturelle
objets d'art et d'histoire naturelle,Articles manufacturés divers n.d.a,59,3,Objets d’arts et d’histoire naturelle
ocre,Matières brutes non-comestibles non transformées n.d.a.,18,2,Ocre
ocre et brun rouge,Matières brutes non-comestibles non transformées n.d.a.,4,1,Ocre
opium,Produits chimiques transformés n.d.a.,48,8,Drogues médicinales diverses
orseille ou tournesol préparé,Matières brutes non-comestibles non transformées n.d.a.,11,3,Orseille ou tournesol préparé
ouvrages de bois,"Produits du bois, liège, jonc",333,21,"Ouvrages de bois, liège et jonc"
ouvrages de jonc,"Produits du bois, liège, jonc",74,13,"Ouvrages de bois, liège et jonc"
futailles,"Produits du bois, liège, jonc",88,9,"Ouvrages de bois, liège et jonc"
boissellerie,"Produits du bois, liège, jonc",50,4,"Ouvrages de bois, liège et jonc"
ouvrages de sparterie,Articles manufacturés divers n.d.a,42,4,"Ouvrages de bois, liège et jonc"
sparterie brute en auf jonc et roseau,"Produits du bois, liège, jonc",26,4,Matières premières diverses
ouvrages de bois simple et doré,"Produits du bois, liège, jonc",25,3,"Ouvrages de bois, liège et jonc"
ouvrages de sparterie commune et cordage de jonc ...,Divers mélangés,20,2,"Ouvrages de bois, liège et jonc"
ouvrages de vannerie de bois et d'osier,Articles manufacturés divers n.d.a,19,2,"Ouvrages de bois, liège et jonc"
nattes de paille et de jonc,"Produits du bois, liège, jonc",13,2,"Ouvrages de bois, liège et jonc"
boisselerie et futailles,"Produits du bois, liège, jonc",12,1,"Ouvrages de bois, liège et jonc"
ouvrages de bois et ouvrages de passementerie,Divers mélangés,12,1,"Ouvrages de bois, liège et jonc"
futailles vides,"Produits du bois, liège, jonc",11,1,"Ouvrages de bois, liège et jonc"
ouvrages de bois et ouvrages d'osier,"Produits du bois, liège, jonc",10,1,"Ouvrages de bois, liège et jonc"
ouvrages de bois et vannerie d'osier,"Produits du bois, liège, jonc",10,1,"Ouvrages de bois, liège et jonc"
ouvrages de sparterie commune cordage de jonc paille roseaux et écorce de bois,Divers mélangés,10,1,"Ouvrages de bois, liège et jonc"
vannerie d'osier,Articles manufacturés divers n.d.a,10,1,"Ouvrages de bois, liège et jonc"
sparterie,"Produits du bois, liège, jonc",9,1,"Ouvrages de bois, liège et jonc"
ouvrages de bois en plaqué,"Produits du bois, liège, jonc",2,1,"Ouvrages de bois, liège et jonc"
ouvrages de jonc et sparterie,Divers mélangés,2,1,"Ouvrages de bois, liège et jonc"
ouvrages de cuivre doré et argenté,"Métaux, produits métalliques et outils",195,19,Ouvrages de cuivre
ouvrages en cuivre plaqué doré et argenté,Articles manufacturés divers n.d.a,38,2,Ouvrages de cuivre
cuivre argenté et doré et plaqué,"Métaux, produits métalliques et outils",37,2,Ouvrages de cuivre
ouvrages de cuivre,"Métaux, produits métalliques et outils",33,2,Ouvrages de cuivre
ouvrages de cuivre simples,"Métaux, produits métalliques et outils",4,1,Ouvrages de cuivre
ouvrages de marbre,"Articles minéraux non métalliques manufacturés, n.d.a.",36,4,Ouvrages de marbre et d’albâtre
ouvrages de marbre et ouvrages d'albâtre,"Articles minéraux non métalliques manufacturés, n.d.a.",29,2,Ouvrages de marbre et d’albâtre
pierres de marbre ouvré,"Articles minéraux non métalliques manufacturés, n.d.a.",6,1,Ouvrages de marbre et d’albâtre
ouvrages en terre cuite,"Articles minéraux non métalliques manufacturés, n.d.a.",77,5,Ouvrages de terre cuite
ouvrages de terre cuite,"Articles minéraux non métalliques manufacturés, n.d.a.",21,5,Ouvrages de terre cuite
ouvrages d'industrie,Divers incertains,296,16,Ouvrages divers et mélangés
objets manufacturés réunis,Divers incertains,186,16,Ouvrages divers et mélangés
ouvrages divers,Divers incertains,184,15,Ouvrages divers et mélangés
ouvrages de coutellerie,"Métaux, produits métalliques et outils",100,6,Ouvrages divers et mélangés
ouvrages de tabletterie,Divers incertains,82,5,Ouvrages divers et mélangés
ouvrages de corail,Articles manufacturés divers n.d.a,33,5,Ouvrages divers et mélangés
ouvrages,Divers incertains,73,4,Ouvrages divers et mélangés
ouvrages dorure fausse,Divers incertains,51,4,Ouvrages divers et mélangés
ouvrages d'industrie étrangers,Divers incertains,54,3,Ouvrages divers et mélangés
ouvrages de fer-blanc et tôle vernie,"Métaux, produits métalliques et outils",29,2,Ouvrages divers et mélangés
ouvrages riches et divers,Divers incertains,2,2,Ouvrages divers et mélangés
ouvrages dorés argentés et plaqués,Articles manufacturés divers n.d.a,20,1,Ouvrages divers et mélangés
ouvrages de bois et ouvrages de cuir,Divers mélangés,18,1,Ouvrages divers et mélangés
ouvrages de bois et ouvrages de modes et fleurs artificielles,Divers mélangés,18,1,Ouvrages divers et mélangés
ouvrages de bois et ouvrages de cuivre,Divers mélangés,16,1,Ouvrages divers et mélangés
ouvrages de bois et ouvrages en terre cuite et ouvrages en brique,Divers mélangés,13,1,Ouvrages divers et mélangés
coutellerie de bois,"Produits du bois, liège, jonc",12,1,Ouvrages divers et mélangés
ouvrages de bois et ouvrages de peau,Divers mélangés,10,1,Ouvrages divers et mélangés
sacs,Articles manufacturés divers n.d.a,9,1,Ouvrages divers et mélangés
ouvrages d'albâtre et ouvrages de bois et ouvrages de marbre,Divers mélangés,8,1,Ouvrages divers et mélangés
aiguilles,"Métaux, produits métalliques et outils",5,1,Ouvrages divers et mélangés
ouvrages de bois et ouvrages de fer-blanc,Divers mélangés,5,1,Ouvrages divers et mélangés
ouvrages en tôle vernie,"Métaux, produits métalliques et outils",4,1,Ouvrages divers et mélangés
pain de navette,Autres produits alimentaires et animaux,92,24,Pain de navette
pain de navettes,Autres produits alimentaires et animaux,2,2,Pain de navette
papier à écrire,Papier,288,18,Papier
papier pour tenture,Papier,192,15,Papier
papier,Papier,193,9,Papier
papier peint,Papier,90,5,Papier
feuilles de carton et ouvrages de carton,Papier,31,2,Papier
ouvrages de carton,Papier,31,2,Papier
papier musique gravé,Papier,12,1,Papier
carton moulé,Papier,3,1,Papier
parapluies et parasols,Articles manufacturés divers n.d.a,143,10,Parapluies et parasols
parasols,Articles manufacturés divers n.d.a,34,4,Parapluies et parasols
parfumerie,Produits chimiques transformés n.d.a.,560,27,Parfumerie
parfumerie huile et essence,Produits chimiques transformés n.d.a.,72,5,Parfumerie
parfumerie eau de senteur,Produits chimiques transformés n.d.a.,68,5,Parfumerie
parfumerie et eau spiritueuse,Produits chimiques transformés n.d.a.,16,1,Parfumerie
parfumerie mêlée de bois odorant ambre gris musc eau de senteur essence et huile odorante encens myrrhe poudre et pommade,Produits chimiques transformés n.d.a.,13,1,Parfumerie
essence,Produits chimiques transformés n.d.a.,4,1,Parfumerie
pierres,Matières brutes non-comestibles non transformées n.d.a.,33,2,Pierres et meules
pierres à aiguiser,Matières brutes non-comestibles non transformées n.d.a.,19,4,Pierres et meules
pierres à aiguiser et en meules et à taillandier,"Articles minéraux non métalliques manufacturés, n.d.a.",30,3,Pierres et meules
pierres à fusils,Matières brutes non-comestibles non transformées n.d.a.,88,7,Pierres à fusils
pierres à meules,Matières brutes non-comestibles non transformées n.d.a.,11,1,Pierres et meules
pierres en grès taillés meules,"Articles minéraux non métalliques manufacturés, n.d.a.",25,2,Pierres et meules
pierres en meules,"Articles minéraux non métalliques manufacturés, n.d.a.",11,1,Pierres et meules
pierres et grès taillés,"Articles minéraux non métalliques manufacturés, n.d.a.",28,2,Pierres et meules
pierres et meules à aiguiser,"Articles minéraux non métalliques manufacturés, n.d.a.",18,2,Pierres et meules
pierres meules,"Articles minéraux non métalliques manufacturés, n.d.a.",6,1,Pierres et meules
pierres ponces,Matières brutes non-comestibles non transformées n.d.a.,6,3,Pierres et meules
pierres taillées,"Articles minéraux non métalliques manufacturés, n.d.a.",13,1,Pierres et meules
plants d'arbres,Matières brutes non-comestibles non transformées n.d.a.,24,2,Plants d’arbres
plomb,"Métaux, produits métalliques et outils",235,24,Plomb et toutenague
plomb et toutenague,"Métaux, produits métalliques et outils",93,9,Plomb et toutenague
plumes,Matières brutes non-comestibles non transformées n.d.a.,171,21,Plumes brutes
plumes d'autruche,Matières brutes non-comestibles non transformées n.d.a.,152,21,Plumes brutes
plumes d'autruche et autres de parure,Matières brutes non-comestibles non transformées n.d.a.,66,4,Plumes brutes
plumes brutes de parure,Matières brutes non-comestibles non transformées n.d.a.,27,2,Plumes brutes
plumes d'autruche brutes,Matières brutes non-comestibles non transformées n.d.a.,12,1,Plumes brutes
plumes d'autruche et de vautour,Matières brutes non-comestibles non transformées n.d.a.,11,1,Plumes brutes
plumes à écrire,Articles manufacturés divers n.d.a,76,14,Plumes transformées
plumes à écrire et à lit,Divers mélangés,164,12,Plumes transformées
plumes à écrire et à lit duvet et édredon,Divers mélangés,15,2,Plumes transformées
plumes apprêtées d'autruche,Articles manufacturés divers n.d.a,7,1,Plumes transformées
poil de chèvre et de lapin et de lièvre,Matières brutes non-comestibles non transformées n.d.a.,193,27,"Poil de chèvre, de lapin et de lièvre"
soie de porcs et soie de sanglier,Matières brutes non-comestibles non transformées n.d.a.,90,13,Poil de porcs et de sangliers
poil de porcs et poil de sanglier,Matières brutes non-comestibles non transformées n.d.a.,61,11,Poil de porcs et de sangliers
poisson,Autres produits alimentaires et animaux,585,27,"Poisson frais, mariné et salé"
poisson frais et salé,Autres produits alimentaires et animaux,59,5,"Poisson frais, mariné et salé"
morue et stockfisch,Autres produits alimentaires et animaux,41,4,"Poisson frais, mariné et salé"
poisson anchois,Autres produits alimentaires et animaux,16,3,"Poisson frais, mariné et salé"
thon mariné,Autres produits alimentaires et animaux,4,3,"Poisson frais, mariné et salé"
anchois et boutargue,Autres produits alimentaires et animaux,13,2,"Poisson frais, mariné et salé"
morue de pêche française,Autres produits alimentaires et animaux,10,2,"Poisson frais, mariné et salé"
morue,Autres produits alimentaires et animaux,7,2,"Poisson frais, mariné et salé"
sardines,Autres produits alimentaires et animaux,2,2,"Poisson frais, mariné et salé"
poisson frais et mariné et salé,Autres produits alimentaires et animaux,11,1,"Poisson frais, mariné et salé"
poisson salé et mariné,Autres produits alimentaires et animaux,11,1,"Poisson frais, mariné et salé"
morue stockfisch,Autres produits alimentaires et animaux,9,1,"Poisson frais, mariné et salé"
poisson salé et frais,Autres produits alimentaires et animaux,9,1,"Poisson frais, mariné et salé"
anchois et sardines,Autres produits alimentaires et animaux,5,1,"Poisson frais, mariné et salé"
poivre,Produits agricoles alimentaires des régions de colonisation européenne,217,19,"Poivre, piment et gingembre"
piment et poivre,Divers mélangés,72,7,"Poivre, piment et gingembre"
gingembre et piment et poivre,Produits agricoles alimentaires des régions de colonisation européenne,13,1,"Poivre, piment et gingembre"
porcelaine,"Articles minéraux non métalliques manufacturés, n.d.a.",406,27,"Porcelaine, poterie, faïence et verrerie "
verrerie,"Articles minéraux non métalliques manufacturés, n.d.a.",358,23,"Porcelaine, poterie, faïence et verrerie "
poterie de faïence,"Articles minéraux non métalliques manufacturés, n.d.a.",254,20,"Porcelaine, poterie, faïence et verrerie "
poterie de faïence et verrerie,"Articles minéraux non métalliques manufacturés, n.d.a.",53,6,"Porcelaine, poterie, faïence et verrerie "
verrerie diverse,"Articles minéraux non métalliques manufacturés, n.d.a.",95,5,"Porcelaine, poterie, faïence et verrerie "
faïence,"Articles minéraux non métalliques manufacturés, n.d.a.",79,5,"Porcelaine, poterie, faïence et verrerie "
faïence et poterie de grès et de terre,"Articles minéraux non métalliques manufacturés, n.d.a.",68,4,"Porcelaine, poterie, faïence et verrerie "
poterie de terre,"Articles minéraux non métalliques manufacturés, n.d.a.",44,4,"Porcelaine, poterie, faïence et verrerie "
rassades et vitrifications,"Articles minéraux non métalliques manufacturés, n.d.a.",24,4,"Porcelaine, poterie, faïence et verrerie "
verrerie bouteilles,"Articles minéraux non métalliques manufacturés, n.d.a.",59,3,"Porcelaine, poterie, faïence et verrerie "
faïence et poterie,"Articles minéraux non métalliques manufacturés, n.d.a.",25,3,"Porcelaine, poterie, faïence et verrerie "
cauris,Matières brutes non-comestibles non transformées n.d.a.,4,3,"Porcelaine, poterie, faïence et verrerie "
poterie,"Articles minéraux non métalliques manufacturés, n.d.a.",30,2,"Porcelaine, poterie, faïence et verrerie "
faïence et poterie et verrerie,"Articles minéraux non métalliques manufacturés, n.d.a.",15,1,"Porcelaine, poterie, faïence et verrerie "
faïence et porcelaine et poterie,"Articles minéraux non métalliques manufacturés, n.d.a.",12,1,"Porcelaine, poterie, faïence et verrerie "
poterie tuiles et verrerie,"Articles minéraux non métalliques manufacturés, n.d.a.",3,1,"Porcelaine, poterie, faïence et verrerie "
vanille,Produits agricoles alimentaires des régions de colonisation européenne,49,8,Produits agricoles alimentaires des régions de colonisation européenne divers et mélangés
cacao et café et sucre,Produits agricoles alimentaires des régions de colonisation européenne,12,1,Produits agricoles alimentaires des régions de colonisation européenne divers et mélangés
café et cacao,Produits agricoles alimentaires des régions de colonisation européenne,10,1,Produits agricoles alimentaires des régions de colonisation européenne divers et mélangés
café et sucre et thé,Produits agricoles alimentaires des régions de colonisation européenne,10,1,Produits agricoles alimentaires des régions de colonisation européenne divers et mélangés
sirop et sucre,Produits agricoles alimentaires des régions de colonisation européenne,9,1,Produits agricoles alimentaires des régions de colonisation européenne divers et mélangés
sirop fins et sucre,Produits agricoles alimentaires des régions de colonisation européenne,9,1,Produits agricoles alimentaires des régions de colonisation européenne divers et mélangés
linge de table,Autres filés ou tissés,35,6,Produits filés ou tissés divers
dentelle et galon et passementerie,Autres filés ou tissés,54,4,Produits filés ou tissés divers
crêpe et gaze et tulle,Autres filés ou tissés,29,4,Produits filés ou tissés divers
dentelle et galon et passementerie et ruban,Autres filés ou tissés,28,2,Produits filés ou tissés divers
étoffe en dorure et galon et passementerie,Autres filés ou tissés,24,2,Produits filés ou tissés divers
soierie et dorure fine,Divers mélangés,13,1,Produits filés ou tissés divers
soierie et dorure,Divers mélangés,12,1,Produits filés ou tissés divers
étoffes et gaze et crêpe et tulle,Autres filés ou tissés,10,1,Produits filés ou tissés divers
ouvrages de coton et de laine et de fil et de filoselle,Autres filés ou tissés,9,1,Produits filés ou tissés divers
crêpe et gaze et mouchoirs,Autres filés ou tissés,6,1,Produits filés ou tissés divers
étoffe diverse couvertures et draperie pour le gouvernement,Autres filés ou tissés,5,1,Produits filés ou tissés divers
toile mouchoirs,Divers mélangés,4,1,Produits filés ou tissés divers
gaze en crêpe,Autres filés ou tissés,3,1,Produits filés ou tissés divers
tapisserie,Autres filés ou tissés,3,1,Produits filés ou tissés divers
??? d'une valeur moindre de deux mille francs chacun,Produits inconnus,473,15,Produits inconnus
[vide],,17,1,Produits inconnus
??? particulièrement en chevaux,Produits inconnus,6,1,Produits inconnus
de peu de valeur,Produits inconnus,2,1,Produits inconnus
origine inconnue,Produits inconnus,1,1,Produits inconnus
provisions de bouche,Autres produits alimentaires et animaux,480,25,Provisions diverses
provisions,Autres produits alimentaires et animaux,317,19,Provisions diverses
provisions diverses principalement en beurre,Autres produits alimentaires et animaux,13,1,Provisions diverses
quercitron,Produits chimiques transformés n.d.a.,7,1,Quercitron
quincaillerie,"Métaux, produits métalliques et outils",489,28,Quincaillerie
fil de fer,"Métaux, produits métalliques et outils",78,11,Quincaillerie
clous de fer,"Métaux, produits métalliques et outils",56,7,Quincaillerie
quincaillerie carde,"Métaux, produits métalliques et outils",51,6,Quincaillerie
quincaillerie d'acier et de fer,"Métaux, produits métalliques et outils",16,1,Quincaillerie
quincaillerie de menu fer,"Métaux, produits métalliques et outils",6,1,Quincaillerie
quinquina,Matières brutes non-comestibles non transformées n.d.a.,325,28,Quinquina
raclure de corne,Matières brutes non-comestibles non transformées n.d.a.,4,2,Ouvrages divers et mélangés
rhubarbe,Autres produits alimentaires et animaux,124,11,Rhubarbe
rhum et sirop fin,Divers mélangés,22,2,Rhum et sirop
rhum et tafia,Boissons et tabac,35,10,Eau-de-vie et rhum
rhum,Boissons et tabac,1,1,Eau-de-vie et rhum
grains riz,Autres produits alimentaires et animaux,380,28,Riz
rocou,Matières brutes non-comestibles non transformées n.d.a.,299,28,Rocou
rogues de poisson,Matières brutes non-comestibles non transformées n.d.a.,34,7,Rogues de poisson
rogues,Matières brutes non-comestibles non transformées n.d.a.,13,4,Rogues de poisson
rogues pour la pêche,Matières brutes non-comestibles non transformées n.d.a.,1,1,Rogues de poisson
rubanerie de soie,Filés ou tissés de soie et soie mélangée,214,16,Rubanerie et passementerie de soie
ruban de soie,Filés ou tissés de soie et soie mélangée,203,12,Rubanerie et passementerie de soie
passementerie de soie,Filés ou tissés de soie et soie mélangée,137,10,Rubanerie et passementerie de soie
ruban et passementerie de soie,Filés ou tissés de soie et soie mélangée,6,1,Rubanerie et passementerie de soie
passementerie,Articles manufacturés divers n.d.a,229,22,Rubanerie et passementerie diverse
ruban,Autres filés ou tissés,191,22,Rubanerie et passementerie diverse
rubanerie ordinaire,Autres filés ou tissés,103,14,Rubanerie et passementerie diverse
rubanerie et passementerie diverses celles de soie et dorure exceptées,Autres filés ou tissés,35,4,Rubanerie et passementerie diverse
passementerie ordinaire,Autres filés ou tissés,42,3,Rubanerie et passementerie diverse
rubanerie commune,Autres filés ou tissés,16,2,Rubanerie et passementerie diverse
ouvrages en passementerie ordinaire,Autres filés ou tissés,13,1,Rubanerie et passementerie diverse
rubanerie de coton,Filés ou tissés de coton,9,1,Rubanerie et passementerie diverse
ruban et passementerie diverse,Autres filés ou tissés,6,1,Rubanerie et passementerie diverse
rubanerie,Autres filés ou tissés,3,1,Rubanerie et passementerie diverse
safran,Autres produits alimentaires et animaux,390,28,Safran et tournesol
safranum,Autres produits alimentaires et animaux,97,12,Safran et tournesol
tournesol,Autres produits alimentaires et animaux,36,11,Safran et tournesol
safranum et tournesol,Autres produits alimentaires et animaux,7,1,Safran et tournesol
salpêtre et soufre,Matières brutes non-comestibles non transformées n.d.a.,115,15,Salpêtre et soufre
soufre,Matières brutes non-comestibles non transformées n.d.a.,236,12,Salpêtre et soufre
salpêtre,Matières brutes non-comestibles non transformées n.d.a.,34,8,Salpêtre et soufre
salsepareille,Autres produits alimentaires et animaux,157,27,Salsepareille
sassafras,Matières brutes non-comestibles non transformées n.d.a.,11,2,Drogues médicinales diverses
savon,Produits chimiques transformés n.d.a.,529,28,Savon
seil de grain,Autres produits alimentaires et animaux,3,1,Seil de grain
sel,Matières brutes non-comestibles non transformées n.d.a.,330,26,Sel
sel de mer et de salins,Matières brutes non-comestibles non transformées n.d.a.,35,2,Sel
sel chimique,Produits chimiques transformés n.d.a.,292,28,Sels chimiques
sel de Saturne,Produits chimiques transformés n.d.a.,63,6,Sels chimiques
sel de lait,Matières brutes non-comestibles non transformées n.d.a.,13,5,Sels chimiques
sel d'Epsom,Produits chimiques transformés n.d.a.,23,4,Sels chimiques
borax,Matières brutes non-comestibles non transformées n.d.a.,15,4,Sels chimiques
sel de Glauber,Produits chimiques transformés n.d.a.,26,3,Sels chimiques
sel chimique gemme,Produits chimiques transformés n.d.a.,5,2,Sels chimiques
sel Glauber,Produits chimiques transformés n.d.a.,4,2,Sels chimiques
sel d'oseille,Produits chimiques transformés n.d.a.,4,2,Sels chimiques
sel de Saturne et autres,Divers mélangés,7,1,Sels chimiques
sel d'opium,Produits chimiques transformés n.d.a.,6,1,Sels chimiques
sel chimique de Glauber,Produits chimiques transformés n.d.a.,4,1,Sels chimiques
sel chimique de lait,Produits chimiques transformés n.d.a.,2,1,Sels chimiques
sel chimique de nitre,Produits chimiques transformés n.d.a.,2,1,Sels chimiques
sel gemme,Matières brutes non-comestibles non transformées n.d.a.,1,1,Sels chimiques
semé,Produits chimiques transformés n.d.a.,6,1,Semé
séné,Matières brutes non-comestibles non transformées n.d.a.,150,22,Séné
follicule de séné et séné,Matières brutes non-comestibles non transformées n.d.a.,18,3,Séné
follicule de séné,Matières brutes non-comestibles non transformées n.d.a.,11,2,Séné
sirop,Autres produits alimentaires et animaux,173,15,Sirop et mélasse
sirop de mélasse,Produits agricoles alimentaires des régions de colonisation européenne,85,9,Sirop et mélasse
sirop mélasse,Produits agricoles alimentaires des régions de colonisation européenne,22,2,Sirop et mélasse
sirop fin,Autres produits alimentaires et animaux,9,1,Sirop et mélasse
sirop fin et mélasse,Produits agricoles alimentaires des régions de colonisation européenne,3,1,Sirop et mélasse
mélasse et sirop,Autres produits alimentaires et animaux,1,1,Sirop et mélasse
soie,Matières brutes non-comestibles non transformées n.d.a.,406,28,Soie
gaze crêpe et mouchoirs de soie,Divers mélangés,142,13,Soieries diverses
gaze crêpe et ruban de soie,Filés ou tissés de soie et soie mélangée,57,13,Soieries diverses
crêpe et gaze et tulle de soie,Filés ou tissés de soie et soie mélangée,144,10,Soieries diverses
gaze de soie et crêpe de soie et mouchoirs de soie,Divers mélangés,58,3,Soieries diverses
gaze et mouchoirs et ruban de soie,Divers mélangés,40,3,Soieries diverses
étoffe et rubanerie de fleuret,Filés ou tissés de soie et soie mélangée,10,3,Soieries diverses
crêpe et étoffe et gaze et passementerie et ruban de soie,Autres filés ou tissés,23,2,Soieries diverses
gaze crêpe et tulle de soie,Filés ou tissés de soie et soie mélangée,12,1,Soieries diverses
crêpe et étoffe et passementerie et ruban de soie,Autres filés ou tissés,11,1,Soieries diverses
soierie,Filés ou tissés de soie et soie mélangée,10,1,Soieries diverses
gaze crêpe mouchoirs et ruban de soie,Divers mélangés,7,1,Soieries diverses
gaze et mouchoir de soie,Divers mélangés,7,1,Soieries diverses
gaze en crêpe de soie,Filés ou tissés de soie et soie mélangée,3,1,Soieries diverses
soudes,Produits chimiques transformés n.d.a.,193,23,"Soudes, natron et salin"
soudes et natron et salin,Produits chimiques transformés n.d.a.,40,5,"Soudes, natron et salin"
soudes et potasse,Produits chimiques transformés n.d.a.,21,2,"Soudes, natron et salin"
stil de grain,Produits chimiques transformés n.d.a.,9,2,Stil de grain
stil de grains et vermillon,Produits chimiques transformés n.d.a.,1,1,Stil de grain
storax,Matières brutes non-comestibles non transformées n.d.a.,11,2,Storax
subsistances,Autres produits alimentaires et animaux,27,3,Subsistances diverses et mélangées
pain d'épice,Autres produits alimentaires et animaux,1,1,Subsistances diverses et mélangées
poudre à tirer,Produits chimiques transformés n.d.a.,31,9,Substances et produits chimiques
substances et produits chimiques,Produits chimiques transformés n.d.a.,29,2,Substances et produits chimiques
eau-forte,Produits chimiques transformés n.d.a.,7,2,Substances et produits chimiques
substances et produits chimiques principalement eau-forte et couperose,Produits chimiques transformés n.d.a.,14,1,Substances et produits chimiques
substances et produits chimiques principalement en eau-forte et couperose bleue et blanche,Produits chimiques transformés n.d.a.,12,1,Substances et produits chimiques
sucre,Produits agricoles alimentaires des régions de colonisation européenne,522,28,Sucre
sucre en pain sorti avec prime,Produits agricoles alimentaires des régions de colonisation européenne,13,1,Sucre
suif,"Huiles, graisses et cires d'origine animale et végétale",332,28,Suif
sulfate de potasse,Produits chimiques transformés n.d.a.,2,1,Sulfate de potasse
sumac,Produits chimiques transformés n.d.a.,78,11,Sumac
tabac,Boissons et tabac,626,28,Tabac
tabac en côtes et en feuilles,Boissons et tabac,21,2,Tabac
feuilles de tabac,Boissons et tabac,11,1,Tabac
tamarin,Autres produits alimentaires et animaux,34,5,Drogues médicinales diverses
tartre,Matières brutes non-comestibles non transformées n.d.a.,33,4,Tartre
tartre et lie de vin,Matières brutes non-comestibles non transformées n.d.a.,21,2,Tartre
terre,Matières brutes non-comestibles non transformées n.d.a.,18,2,Terre
terre d'ombre et terre pour la peinture,Matières brutes non-comestibles non transformées n.d.a.,4,1,Terre d’ombre et terre pour la peinture
terre de pipes,Matières brutes non-comestibles non transformées n.d.a.,19,6,Matières premières diverses
thé,Produits agricoles alimentaires des régions de colonisation européenne,339,27,Thé
toile de chanvre,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",93,10,Toile de chanvre
toile de chanvre et de lin,Autres filés ou tissés mélangés de fibres végétales dont toiles,650,28,Toile de chanvre et de lin
toile de coton et de fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,167,22,Toile de coton
toile de coton,Filés ou tissés de coton,386,19,Toile de coton
indienne de coton et toile de coton peinte,Filés ou tissés de coton,65,5,Toile de coton
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,Filés ou tissés de coton,25,2,Toile de coton
indienne peinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,20,2,Toile de coton
indienne de coton et siamoise de coton et toile de coton peinte,Filés ou tissés de coton,16,2,Toile de coton
siamoise de coton et toile de coton peinte,Filés ou tissés de coton,16,1,Toile de coton
Toile de coton,Filés ou tissés de coton,8,1,Toile de coton
toile de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",138,11,Toile de lin
batiste et linon,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",103,7,Toile de lin
toile de lin et de batiste et linon,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",72,4,Toile de lin
toile de lin blanche,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",27,3,Toile de lin
toile commune de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",12,1,Toile de lin
batiste de lin et linon de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",10,1,Toile de lin
toile,Autres filés ou tissés mélangés de fibres végétales dont toiles,87,7,Toileries diverses
toile à carreaux et de coutil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",56,6,Toileries diverses
toile treillis,Autres filés ou tissés mélangés de fibres végétales dont toiles,14,4,Toileries diverses
toile de coutil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",13,4,Toileries diverses
toile coutil,Autres filés ou tissés,12,4,Toileries diverses
toile cirée et de crin et gommée,Filés ou tissés de laine et de poil,30,3,Toileries diverses
toile de fil peinte et teinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,27,3,Toileries diverses
linge de table de toile,Autres filés ou tissés mélangés de fibres végétales dont toiles,12,3,Toileries diverses
toile à carreaux pour matelas,Autres filés ou tissés mélangés de fibres végétales dont toiles,8,3,Toileries diverses
toile écrue,Autres filés ou tissés mélangés de fibres végétales dont toiles,10,2,Toileries diverses
toile d'emballage,Autres filés ou tissés mélangés de fibres végétales dont toiles,8,2,Toileries diverses
toile à carreaux,Autres filés ou tissés mélangés de fibres végétales dont toiles,7,2,Toileries diverses
toile cirée et gommée,Autres filés ou tissés mélangés de fibres végétales dont toiles,11,1,Toileries diverses
toile de chanvre et écrue et de lin,Autres filés ou tissés mélangés de fibres végétales dont toiles,7,1,Toileries diverses
toile de crin cirée,Filés ou tissés de laine et de poil,7,1,Toileries diverses
