simplification_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
fichus de mousseline,1,,non,4126
fichus de mousseline brodés de couleur,1,,non,4126
fichus de soie,8,not raw cotton,non,549530
fichus de soie des Indes,1,not raw cotton,non,549530
fichus divers,1,not raw cotton,non,549530
fichus rayés,4,not raw cotton,non,549530
fideau,21,not raw cotton,non,549530
fifres et flageolets,2,not raw cotton,non,549530
fifres flageolets et flûtes,2,not raw cotton,non,549530
figue,853,not raw cotton,non,549530
figue et raisin,1,not raw cotton,non,549530
figue et raisins secs pruneaux et poires tapées,2,not raw cotton,non,549530
figue et sumac,2,not raw cotton,non,549530
figue fraîche et fruits verts,7,not raw cotton,non,549530
figue prune et raisin,2,not raw cotton,non,549530
figue sèche,70,not raw cotton,non,549530
figuier,1,not raw cotton,non,549530
figures,6,not raw cotton,non,549530
figures d'albâtre,2,not raw cotton,non,549530
figures d'ivoire,1,not raw cotton,non,549530
figures d'une vierge en bois,1,not raw cotton,non,549530
figures de bronze,3,not raw cotton,non,549530
figures de cire,3,not raw cotton,non,549530
figures de cire habillées,1,not raw cotton,non,549530
figures de cuivre,1,not raw cotton,non,549530
figures de fer,1,not raw cotton,non,549530
figures de marbre,2,not raw cotton,non,549530
figures de plâtre,9,not raw cotton,non,549530
figures de terre,2,not raw cotton,non,549530
figures en plâtre,1,not raw cotton,non,549530
figures sur bois,2,not raw cotton,non,549530
fil,343,not raw cotton,non,549530
fil à brin marin,1,,non,4126
fil à brocher,1,not raw cotton,non,549530
fil à broder,10,not raw cotton,non,549530
fil à câble,2,not raw cotton,non,549530
fil à carder,15,not raw cotton,non,549530
fil à corder,1,not raw cotton,non,549530
fil à cordonnier,15,not raw cotton,non,549530
fil à coudre,426,not raw cotton,non,549530
fil à coudre bis,1,not raw cotton,non,549530
fil à coudre commun,12,not raw cotton,non,549530
fil à coudre d'Épinal,34,not raw cotton,non,549530
fil à coudre d'épreuve,1,not raw cotton,non,549530
fil à coudre de Bretagne,8,not raw cotton,non,549530
fil à coudre de chanvre,18,not raw cotton,non,549530
fil à coudre de coton,1,not raw cotton,non,549530
fil à coudre de couleur,96,not raw cotton,non,549530
fil à coudre de couteau,1,not raw cotton,non,549530
fil à coudre de ménage,1,not raw cotton,non,549530
fil à coudre de Rennes,32,not raw cotton,non,549530
fil à coudre de ritte,1,not raw cotton,non,549530
fil à coudre divers,70,not raw cotton,non,549530
fil à coudre du fin,10,not raw cotton,non,549530
fil à coudre du Piémont,1,not raw cotton,non,549530
fil à coudre en masses,1,not raw cotton,non,549530
fil à coudre en poignées,1,not raw cotton,non,549530
fil à coudre gris,1,not raw cotton,non,549530
fil à coudre moyen,1,not raw cotton,non,549530
fil à coudre pour voile,8,not raw cotton,non,549530
fil à dentelle,74,not raw cotton,non,549530
fil à dentelle blanc,8,not raw cotton,non,549530
fil à dentelle commun,8,not raw cotton,non,549530
fil à dentelle cru,1,not raw cotton,non,549530
fil à dentelle fin,6,not raw cotton,non,549530
fil à dentelle mi fin,5,not raw cotton,non,549530
fil à dentelle moyen,1,not raw cotton,non,549530
fil à dentelle sain,1,not raw cotton,non,549530
fil à esturgeon,2,not raw cotton,non,549530
fil à femme,3,,non,4126
fil à fille,1,,non,4126
fil à flotte,1,not raw cotton,non,549530
fil à folle,11,not raw cotton,non,549530
fil à fondre,1,not raw cotton,non,549530
fil à forme,1,not raw cotton,non,549530
fil à gants,2,not raw cotton,non,549530
fil à gargousses,3,not raw cotton,non,549530
fil à laine,3,,non,4126
fil à ligne,1,not raw cotton,non,549530
fil à loup marin,1,not raw cotton,non,549530
fil à marquer,9,not raw cotton,non,549530
fil à mèche,1,not raw cotton,non,549530
fil à papillon,22,not raw cotton,non,549530
fil à pêche,1,,non,4126
fil à ralingue,4,not raw cotton,non,549530
fil à reine,1,,non,4126
fil à rets,38,not raw cotton,non,549530
fil à rouet,1,,non,4126
fil à sapillon,1,not raw cotton,non,549530
fil à sardineaux,2,not raw cotton,non,549530
fil à selle,1,,non,4126
fil à sennes,1,not raw cotton,non,549530
fil à sol,5,,non,4126
fil à table,1,not raw cotton,non,549530
fil à tisserand,7,not raw cotton,non,549530
fil à tisserand de chenette,1,not raw cotton,non,549530
fil à tisserand divers,2,not raw cotton,non,549530
fil à toile,8,not raw cotton,non,549530
fil à tricoter,2,not raw cotton,non,549530
fil auville,1,not raw cotton,non,549530
fil blanc,260,not raw cotton,non,549530
fil blanc à corder,1,not raw cotton,non,549530
fil blanc à coudre,312,not raw cotton,non,549530
fil blanc bas prix,1,not raw cotton,non,549530
fil blanc commun,1,not raw cotton,non,549530
fil blanc d'Épinal,7,not raw cotton,non,549530
fil blanc de chanvre,6,not raw cotton,non,549530
fil blanc de lin,2,not raw cotton,non,549530
fil blanc de lin d'Épinal,1,not raw cotton,non,549530
fil blanc de Rennes,2,not raw cotton,non,549530
fil blanc et couleur,1,not raw cotton,non,549530
fil blanc fin,5,not raw cotton,non,549530
fil blanc haut prix,1,not raw cotton,non,549530
fil blanc retors,8,not raw cotton,non,549530
fil cardé,5,not raw cotton,non,549530
fil chèvre,1,not raw cotton,non,549530
fil commun,6,not raw cotton,non,549530
fil corailleur,2,not raw cotton,non,549530
fil crin,2,not raw cotton,non,549530
fil cru,152,not raw cotton,non,549530
fil cru à toile,5,not raw cotton,non,549530
fil cru simple,1,not raw cotton,non,549530
fil d'acier,5,not raw cotton,non,549530
fil d'arbalètes,1,not raw cotton,non,549530
fil d'archal,4,not raw cotton,non,549530
fil d'argent,14,not raw cotton,non,549530
fil d'argent et d'or,25,not raw cotton,non,549530
fil d'argent et d'or faux,2,not raw cotton,non,549530
fil d'argent et d'or fin,4,not raw cotton,non,549530
fil d'argent faux,1,not raw cotton,non,549530
fil d'argent fin,1,not raw cotton,non,549530
fil d'Auvergne,1,not raw cotton,non,549530
fil d'emballage,1,not raw cotton,non,549530
fil d'Épinal,2,not raw cotton,non,549530
fil d'Épinal de Silésie,1,not raw cotton,non,549530
fil d'Épinal gris,1,not raw cotton,non,549530
fil d'Épinal simple,1,not raw cotton,non,549530
fil d'Epinay,1,not raw cotton,non,549530
fil d'épreuve,9,not raw cotton,non,549530
fil d'Espagne,1,,non,4126
fil d'espars,2,not raw cotton,non,549530
fil d'Espinay,6,not raw cotton,non,549530
fil d'estame,5,not raw cotton,non,549530
fil d'étoupes,56,not raw cotton,non,549530
fil d'étoupes de chanvre,1,not raw cotton,non,549530
fil d'étoupes de lin,1,not raw cotton,non,549530
fil d'or,41,not raw cotton,non,549530
fil d'or faux,5,not raw cotton,non,549530
fil d'or fin,9,not raw cotton,non,549530
fil d'or sur soie,3,not raw cotton,non,549530
fil d'or surdoré,1,not raw cotton,non,549530
fil d'or vrai,2,not raw cotton,non,549530
fil de Bergagne,1,not raw cotton,non,549530
fil de Bieustons,2,not raw cotton,non,549530
fil de Bourgogne,28,not raw cotton,non,549530
fil de Bretagne,29,not raw cotton,non,549530
fil de canette,1,not raw cotton,non,549530
fil de caret,31,not raw cotton,non,549530
fil de caret ou de voile,1,not raw cotton,non,549530
fil de chanvre,135,not raw cotton,non,549530
fil de chanvre cru,5,not raw cotton,non,549530
fil de chanvre écru,1,not raw cotton,non,549530
fil de chanvre ou de lin,253,not raw cotton,non,549530
fil de chanvre ou de lin à coudre retors et teint,28,not raw cotton,non,549530
fil de chanvre ou de lin bis ou herbé écru d'étoupes simple,2,not raw cotton,non,549530
fil de chanvre ou de lin bis ou herbé écru de mulquinerie simple,1,not raw cotton,non,549530
fil de chanvre ou de lin bis ou herbé écru simple autre que pour voile,2,not raw cotton,non,549530
fil de chanvre ou de lin bis ou herbé écru simple pour voile,2,not raw cotton,non,549530
fil de chanvre ou de lin blanchi à dentelle ou bis herbé retors,2,not raw cotton,non,549530
fil de chanvre ou de lin blanchi à dentelle retors,2,not raw cotton,non,549530
fil de chanvre ou de lin blanchi autre qu'à dentelle ou bis herbé retors,2,not raw cotton,non,549530
fil de chanvre ou de lin blanchi retors,5,not raw cotton,non,549530
fil de chanvre ou de lin blanchi simple,9,not raw cotton,non,549530
fil de chanvre ou de lin écru d'étoupes simple,6,not raw cotton,non,549530
fil de chanvre ou de lin écru de mulquinerie simple,3,not raw cotton,non,549530
fil de chanvre ou de lin écru pour voile,2,not raw cotton,non,549530
fil de chanvre ou de lin écru retors,9,not raw cotton,non,549530
fil de chanvre ou de lin écru retors autre que pour voile,2,not raw cotton,non,549530
fil de chanvre ou de lin écru retors pour voile,4,not raw cotton,non,549530
fil de chanvre ou de lin écru simple,5,not raw cotton,non,549530
fil de chanvre ou de lin écru simple pour voile,6,not raw cotton,non,549530
fil de chanvre ou de lin pour dentelle écru retors,2,not raw cotton,non,549530
fil de chanvre ou de lin retors teint,8,not raw cotton,non,549530
fil de chanvre ou de lin simple teint,4,not raw cotton,non,549530
fil de chanvre pour voile,1,not raw cotton,non,549530
fil de chanvre riz,1,not raw cotton,non,549530
fil de charrettes,14,not raw cotton,non,549530
fil de chèvre,452,not raw cotton,non,549530
fil de chevrette,2,not raw cotton,non,549530
fil de corailleur,40,not raw cotton,non,549530
fil de cordonnier,2,not raw cotton,non,549530
fil de coton,1302,not raw cotton,non,549530
fil de coton blanc,6,not raw cotton,non,549530
fil de coton bleu,1,not raw cotton,non,549530
fil de coton commun,29,not raw cotton,non,549530
fil de coton de Boza,1,not raw cotton,non,549530
fil de coton de retour,1,not raw cotton,non,549530
fil de coton des Indes,28,not raw cotton,non,549530
fil de coton du Levant,48,not raw cotton,non,549530
fil de coton étranger,1,not raw cotton,non,549530
fil de coton fin,6,not raw cotton,non,549530
fil de coton fin d'once,17,not raw cotton,non,549530
fil de coton pur ou mélangé,1,not raw cotton,non,549530
fil de coton rouge,7,not raw cotton,non,549530
fil de coton teint,2,not raw cotton,non,549530
fil de couleur,25,not raw cotton,non,549530
fil de couleur à coudre,2,not raw cotton,non,549530
fil de couleur de Rennes,2,not raw cotton,non,549530
fil de couleurs,3,not raw cotton,non,549530
fil de couture,2,not raw cotton,non,549530
fil de crin,3,not raw cotton,non,549530
fil de cuivre,2,not raw cotton,non,549530
fil de cuivre argenté,2,not raw cotton,non,549530
fil de cuivre doré,1,not raw cotton,non,549530
fil de cuivre en barreaux ronds,1,not raw cotton,non,549530
fil de cuivre pour fabrication d'épingles,1,not raw cotton,non,549530
fil de cuivre pur,2,not raw cotton,non,549530
fil de cuivre pur non-teint,4,not raw cotton,non,549530
fil de cuivre pur teint,1,not raw cotton,non,549530
fil de de soie,2,not raw cotton,non,549530
fil de dorure,2,not raw cotton,non,549530
fil de fer,864,not raw cotton,non,549530
fil de fer à carder,34,not raw cotton,non,549530
fil de fer de Couty,1,not raw cotton,non,549530
fil de fer gros,38,not raw cotton,non,549530
fil de fer même étamé,7,not raw cotton,non,549530
fil de fer ordinaire,8,not raw cotton,non,549530
fil de fer passe perles,38,not raw cotton,non,549530
fil de fer passepoil,1,not raw cotton,non,549530
fil de fer pour la Compagnie des Indes,4,not raw cotton,non,549530
fil de filoselle,2,not raw cotton,non,549530
fil de Flandre,2,not raw cotton,non,549530
fil de Flandre fin,1,not raw cotton,non,549530
fil de fleuret,2,not raw cotton,non,549530
fil de forêt,1,not raw cotton,non,549530
fil de France,1,,non,4126
fil de Hollande,1,not raw cotton,non,549530
fil de laine,30,not raw cotton,non,549530
fil de laine à broder,1,not raw cotton,non,549530
fil de laine à coudre,1,not raw cotton,non,549530
fil de laine blanc,3,not raw cotton,non,549530
fil de laine commune,317,not raw cotton,non,549530
fil de laine fine,18,not raw cotton,non,549530
fil de laine fine et teinte,13,not raw cotton,non,549530
fil de laine grasse,1,not raw cotton,non,549530
fil de laine ou sayette blanche,1,not raw cotton,non,549530
fil de laine ou sayette teinte,1,not raw cotton,non,549530
fil de laine pour tenture,1,not raw cotton,non,549530
fil de laine teint,3,not raw cotton,non,549530
fil de laine teinte,4,not raw cotton,non,549530
fil de laine teinte pour broder,1,not raw cotton,non,549530
fil de laiton,697,not raw cotton,non,549530
fil de laiton argenté,1,not raw cotton,non,549530
fil de laiton et laiton,23,not raw cotton,non,549530
fil de laiton jaune,8,not raw cotton,non,549530
fil de laiton jaune et noir,12,not raw cotton,non,549530
fil de laiton jaune et noir pour épingle,20,not raw cotton,non,549530
fil de laiton non poli,1,not raw cotton,non,549530
fil de laiton poli,5,not raw cotton,non,549530
fil de laiton poli pour cordes d'instrument,1,not raw cotton,non,549530
fil de laiton poli pour instrument,1,not raw cotton,non,549530
fil de laiton pour cordes d'instrument,3,not raw cotton,non,549530
fil de latez,1,not raw cotton,non,549530
fil de layette,1,not raw cotton,non,549530
fil de lignes,1,not raw cotton,non,549530
fil de lin,87,not raw cotton,non,549530
fil de lin à coudre,6,not raw cotton,non,549530
fil de lin bis,15,not raw cotton,non,549530
fil de lin bis blanc,10,not raw cotton,non,549530
fil de lin bis retors,1,not raw cotton,non,549530
fil de lin bis simple,1,not raw cotton,non,549530
fil de lin blanc,92,not raw cotton,non,549530
fil de lin blanc de 10 à 12 florins la livre,1,not raw cotton,non,549530
fil de lin blanc de 5 à 8 florins la livre,1,not raw cotton,non,549530
fil de lin blanc et cru pour dentelle,1,not raw cotton,non,549530
fil de lin blanc non tordu,2,not raw cotton,non,549530
fil de lin blanc pour dentelle,1,not raw cotton,non,549530
fil de lin blanc retors,8,not raw cotton,non,549530
fil de lin blanc simple,4,not raw cotton,non,549530
fil de lin cru,8,not raw cotton,non,549530
fil de lin cru à toile,1,not raw cotton,non,549530
fil de lin cru de 10 à 12 florins la livre,1,not raw cotton,non,549530
fil de lin cru de bas prix,1,not raw cotton,non,549530
fil de lin cru haut prix,1,not raw cotton,non,549530
fil de lin cru pour dentelle,1,not raw cotton,non,549530
fil de lin cru simple,2,not raw cotton,non,549530
fil de lin d'Épinal,2,not raw cotton,non,549530
fil de lin de couleur,1,not raw cotton,non,549530
fil de lin divers,6,not raw cotton,non,549530
fil de lin écru,5,not raw cotton,non,549530
fil de lin écru audelis,1,not raw cotton,non,549530
fil de lin fin,3,not raw cotton,non,549530
fil de lin fin retors,1,not raw cotton,non,549530
fil de lin gris,2,not raw cotton,non,549530
fil de lin gris retors,1,not raw cotton,non,549530
fil de lin gris simple,3,not raw cotton,non,549530
fil de lin non retors,1,not raw cotton,non,549530
fil de lin retors,40,not raw cotton,non,549530
fil de lin simple,6,not raw cotton,non,549530
fil de lin simple commun,1,not raw cotton,non,549530
fil de lin teint,1,not raw cotton,non,549530
fil de lin teint à coudre,1,not raw cotton,non,549530
fil de lin teint retors,1,not raw cotton,non,549530
fil de lin tors cru et simple cru,1,not raw cotton,non,549530
fil de literie,1,not raw cotton,non,549530
fil de loupe,1,not raw cotton,non,549530
fil de ménage,8,not raw cotton,non,549530
fil de Morlaix,1,not raw cotton,non,549530
fil de mulquinerie,3,not raw cotton,non,549530
fil de Niort,27,not raw cotton,non,549530
fil de palamard,10,not raw cotton,non,549530
fil de palangre,4,not raw cotton,non,549530
fil de palmes,1,not raw cotton,non,549530
fil de plocq,6,not raw cotton,non,549530
fil de poil de bœufs,1,not raw cotton,non,549530
fil de poil de cheval,1,not raw cotton,non,549530
fil de poil de chèvre,105,not raw cotton,non,549530
fil de poils autres que chèvre laine et plocq,1,not raw cotton,non,549530
fil de poils divers,1,not raw cotton,non,549530
fil de remsal,1,not raw cotton,non,549530
fil de Rennes,162,not raw cotton,non,549530
fil de ritte,9,not raw cotton,non,549530
fil de Rouen,2,not raw cotton,non,549530
fil de sayette,9,not raw cotton,non,549530
fil de sennes,46,not raw cotton,non,549530
fil de Silésie,8,not raw cotton,non,549530
fil de soie,2,not raw cotton,non,549530
fil de téton,5,not raw cotton,non,549530
fil de tisserand,26,not raw cotton,non,549530
fil de toile,1,not raw cotton,non,549530
fil de Turquie blanc,1,not raw cotton,non,549530
fil de Turquie cru,1,not raw cotton,non,549530
fil de Turquie teint,1,not raw cotton,non,549530
fil de verre,1,not raw cotton,non,549530
fil de ville,1,not raw cotton,non,549530
fil de voile,5,not raw cotton,non,549530
fil divers,23,not raw cotton,non,549530
fil dorure ??? fin,3,not raw cotton,non,549530
fil dorure d'argent,21,not raw cotton,non,549530
fil dorure d'argent et d'or,20,not raw cotton,non,549530
fil dorure d'argent et d'or faux,16,not raw cotton,non,549530
fil dorure d'argent et d'or fin,17,not raw cotton,non,549530
fil dorure d'or,49,not raw cotton,non,549530
fil du Piémont,37,not raw cotton,non,549530
fil écru,6,not raw cotton,non,549530
fil en gueule,1,not raw cotton,non,549530
fil en laiton,2,not raw cotton,non,549530
fil en lin,1,not raw cotton,non,549530
fil en masse,73,not raw cotton,non,549530
fil en peignée,1,not raw cotton,non,549530
fil en poignée,8,not raw cotton,non,549530
fil et laiton,1,not raw cotton,non,549530
fil et planches de laiton,13,not raw cotton,non,549530
fil et soie,1,not raw cotton,non,549530
fil et toile,1,not raw cotton,non,549530
fil everda,1,not raw cotton,non,549530
fil fin,1,not raw cotton,non,549530
fil gris,6,not raw cotton,non,549530
fil gris simple,4,not raw cotton,non,549530
fil gros,5,not raw cotton,non,549530
fil grossier,1,not raw cotton,non,549530
fil lessivé,2,not raw cotton,non,549530
fil neuf,1,,non,4126
fil noir,1,not raw cotton,non,549530
fil non retors,1,not raw cotton,non,549530
fil or et rang fin,5,not raw cotton,non,549530
fil ordinaire,2,not raw cotton,non,549530
fil ouvré,1,not raw cotton,non,549530
fil passe perle,2,not raw cotton,non,549530
fil plat,5,not raw cotton,non,549530
fil pour voile,388,not raw cotton,non,549530
fil pour voile pour la Compagnie des Indes,1,not raw cotton,non,549530
fil retors,20,not raw cotton,non,549530
fil retors à coudre,6,not raw cotton,non,549530
fil roux,1,not raw cotton,non,549530
fil simple,7,not raw cotton,non,549530
fil superfin,2,not raw cotton,non,549530
fil teint,12,not raw cotton,non,549530
fil teuil,1,not raw cotton,non,549530
fil tors,8,not raw cotton,non,549530
filasse,13,not raw cotton,non,549530
filasse apprêtée,1,not raw cotton,non,549530
filasse d'aloès,1,not raw cotton,non,549530
filet à pêcher vieux,1,not raw cotton,non,549530
filets,5,not raw cotton,non,549530
filets à pêcher,192,not raw cotton,non,549530
filets à pêcher éperviers,1,not raw cotton,non,549530
filets à pêcher par Marseille,1,not raw cotton,non,549530
filets à pêcher petit poisson,2,not raw cotton,non,549530
filets à pêcher sardineaux,1,not raw cotton,non,549530
filets à pêcher vieux,1,not raw cotton,non,549530
filets à petit poisson,1,not raw cotton,non,549530
filets à sardineaux,34,not raw cotton,non,549530
filets à sardines,1,not raw cotton,non,549530
filets à sennes,3,not raw cotton,non,549530
filets d'auf,5,not raw cotton,non,549530
filets d'espars,180,not raw cotton,non,549530
filets d'espars à pêcher,1,not raw cotton,non,549530
filets de chanvre,2,not raw cotton,non,549530
filets de palmes,6,not raw cotton,non,549530
filets de patines,1,not raw cotton,non,549530
filets de sardineaux,1,not raw cotton,non,549530
filets et ustensiles de pêche,11,not raw cotton,non,549530
filets pour la chasse et la pêche,1,not raw cotton,non,549530
filets vieux,3,not raw cotton,non,549530
filières,3,not raw cotton,non,549530
filières d'agate,2,not raw cotton,non,549530
filières de corail,1,not raw cotton,non,549530
filin,99,not raw cotton,non,549530
filin à cordage,2,not raw cotton,non,549530
filoers ou safran sauvage,1,not raw cotton,non,549530
filoselle,167,not raw cotton,non,549530
filoselle et bourre de soie,4,not raw cotton,non,549530
filoselle et fleuret,1,not raw cotton,non,549530
filoselle et fleuret et bourre de soie,31,not raw cotton,non,549530
filoselle et gilets de coton,1,not raw cotton,non,549530
filoselle et soie,170,not raw cotton,non,549530
fine,1,,non,4126
finette,3,not raw cotton,non,549530
finette de laine,2,not raw cotton,non,549530
finette des prises,3,not raw cotton,non,549530
finette étoffe,1,not raw cotton,non,549530
fioles,2,not raw cotton,non,549530
fioles de verre,2,not raw cotton,non,549530
fioles de verre blanc,1,not raw cotton,non,549530
fioles pour apothicaire,1,not raw cotton,non,549530
fioles vides,1,not raw cotton,non,549530
flacons,10,not raw cotton,non,549530
flacons à virole d'étain,1,not raw cotton,non,549530
flacons canettes,1,not raw cotton,non,549530
flacons d'osier,1,not raw cotton,non,549530
flacons de crème,1,not raw cotton,non,549530
flacons de cristal,1,not raw cotton,non,549530
flacons de rechange,3,not raw cotton,non,549530
flacons de terre,2,not raw cotton,non,549530
flacons de verre,50,not raw cotton,non,549530
flacons de verre à virole,1,not raw cotton,non,549530
flacons de verre sans virole,1,not raw cotton,non,549530
flacons de verres,4,not raw cotton,non,549530
flacons florentins,1,not raw cotton,non,549530
flacons peints,1,,non,4126
flacons pour caves garnies,1,not raw cotton,non,549530
flacons vides,2,not raw cotton,non,549530
flambeaux,28,not raw cotton,non,549530
flambeaux argentés,1,not raw cotton,non,549530
flambeaux argentés de cuivre,1,not raw cotton,non,549530
flambeaux d'harpoise,1,not raw cotton,non,549530
flambeaux de cire,7,not raw cotton,non,549530
flambeaux de cire blanche,1,not raw cotton,non,549530
flambeaux de cire rouge,1,not raw cotton,non,549530
flambeaux de mer,3,not raw cotton,non,549530
flanelle,293,not raw cotton,non,549530
flanelle à fleurs,43,not raw cotton,non,549530
flanelle aune,1,not raw cotton,non,549530
flanelle blanche,2,not raw cotton,non,549530
flanelle coton à fleurs,3,,non,4126
flanelle de coton,1,not raw cotton,non,549530
flanelle de laine,16,not raw cotton,non,549530
flanelle de laine 900 lignes,1,not raw cotton,non,549530
flanelle de laine imprimée,2,not raw cotton,non,549530
flanelle de santé autorisation spéciales,1,not raw cotton,non,549530
flanelle des prises,2,not raw cotton,non,549530
flanelle du Béarn,2,not raw cotton,non,549530
flanelle et Bergopzoom,1,not raw cotton,non,549530
flanelle fil et laine,1,not raw cotton,non,549530
flanelle fine,3,not raw cotton,non,549530
flanelle imprimée,41,not raw cotton,non,549530
flanelle peinte,2,not raw cotton,non,549530
flanelle rayée,1,not raw cotton,non,549530
flanelle simple,1,not raw cotton,non,549530
flasques à repasser,1,,non,4126
fléaux à poids de fer,1,not raw cotton,non,549530
fléaux de balance,2,not raw cotton,non,549530
fléaux de balance de fer,85,not raw cotton,non,549530
fléaux de fer,102,not raw cotton,non,549530
fléaux de fer et leur bassin,1,not raw cotton,non,549530
fléaux de fer et leurs bassins,0,not raw cotton,oui,549530
fléaux de fer et poids,2,,non,4126
fléaux de souffre,1,not raw cotton,non,549530
fléaux et balance,1,not raw cotton,non,549530
fléaux et leur garniture,1,,non,4126
fléaux et poids de fer,1,not raw cotton,non,549530
fléaux pour faucher,1,not raw cotton,non,549530
flèches,8,not raw cotton,non,549530
flèches à prendre des huîtres,1,not raw cotton,non,549530
flèches de marine,1,not raw cotton,non,549530
flèches de métal,1,not raw cotton,non,549530
flèches en quart de nonante,2,not raw cotton,non,549530
flèches et compas,1,,non,4126
flèches marines,24,not raw cotton,non,549530
fleures,0,not raw cotton,oui,549530
fleuret,73,not raw cotton,non,549530
fleuret à coudre,1,,non,4126
fleuret à faire des armes,2,not raw cotton,non,549530
fleuret et filoselle,1,not raw cotton,non,549530
fleuret et lames de fleuret,1,not raw cotton,non,549530
fleuret et soie,6,not raw cotton,non,549530
fleurs,39,not raw cotton,non,549530
fleurs aromatiques,18,not raw cotton,non,549530
fleurs artificielles,723,not raw cotton,non,549530
fleurs artificielles de jasmin,1,not raw cotton,non,549530
fleurs artificielles des Indes,1,not raw cotton,non,549530
fleurs artificielles et aigrettes,1,not raw cotton,non,549530
fleurs artificielles et ouvrages de modes,32,not raw cotton,non,549530
fleurs autres que de lavande et d'oranger,27,not raw cotton,non,549530
fleurs autres que médicinales,2,not raw cotton,non,549530
fleurs cannelle,1,not raw cotton,non,549530
fleurs d'aspic,79,not raw cotton,non,549530
fleurs d'avoine,1,not raw cotton,non,549530
fleurs d'esquinante,3,not raw cotton,non,549530
fleurs d'estima,1,not raw cotton,non,549530
fleurs d'iris,1,not raw cotton,non,549530
fleurs d'oranger,46,not raw cotton,non,549530
fleurs d'oranger et de lavande,6,not raw cotton,non,549530
fleurs d'oranger et de rose,2,not raw cotton,non,549530
fleurs de ???,1,not raw cotton,non,549530
fleurs de balauste,3,not raw cotton,non,549530
fleurs de benjoin,9,not raw cotton,non,549530
fleurs de bouquets,1,not raw cotton,non,549530
fleurs de busam,1,not raw cotton,non,549530
fleurs de cannelle,33,not raw cotton,non,549530
fleurs de chardon,1,not raw cotton,non,549530
fleurs de Chine,2,not raw cotton,non,549530
fleurs de dictame,9,not raw cotton,non,549530
fleurs de fer,2,not raw cotton,non,549530
fleurs de grenade,1,not raw cotton,non,549530
fleurs de houblon,1,not raw cotton,non,549530
fleurs de jardin,2,not raw cotton,non,549530
fleurs de jasmin,2,not raw cotton,non,549530
fleurs de laurier,1,,non,4126
fleurs de lavande,12,not raw cotton,non,549530
fleurs de lavande et d'oranger,49,not raw cotton,non,549530
fleurs de moutarde,3,not raw cotton,non,549530
fleurs de mouton,1,not raw cotton,non,549530
fleurs de muscade,25,not raw cotton,non,549530
fleurs de pin,1,not raw cotton,non,549530
fleurs de poix,1,not raw cotton,non,549530
fleurs de romarin,9,not raw cotton,non,549530
fleurs de rose,5,not raw cotton,non,549530
fleurs de siascade,1,not raw cotton,non,549530
fleurs de souffle,1,not raw cotton,non,549530
fleurs de souffre,178,not raw cotton,non,549530
fleurs de verre,1,not raw cotton,non,549530
fleurs de violette,96,not raw cotton,non,549530
fleurs sèches,4,not raw cotton,non,549530
fleurs violettes,1,not raw cotton,non,549530
florentine,1,not raw cotton,non,549530
flûtes,10,not raw cotton,non,549530
flûtes de bois de buis,1,not raw cotton,non,549530
flûtes douces,1,not raw cotton,non,549530
flûtes douces et hautbois et traversières,1,not raw cotton,non,549530
flûtes hautbois et traversières,1,not raw cotton,non,549530
flûtes traversières,2,not raw cotton,non,549530
foie,1,not raw cotton,non,549530
foin,181,not raw cotton,non,549530
foin et paille,1,not raw cotton,non,549530
foin paille et herbes de pâturage,3,not raw cotton,non,549530
foin paille herbes et pâturage,1,not raw cotton,non,549530
folas,3,not raw cotton,non,549530
folium,2,not raw cotton,non,549530
folium geriofilalum,2,not raw cotton,non,549530
folium indi,1,not raw cotton,non,549530
folium indicum,1,not raw cotton,non,549530
folle,1,not raw cotton,non,549530
follicule,5,not raw cotton,non,549530
follicule de séné,165,not raw cotton,non,549530
follicule de séné et séné,18,not raw cotton,non,549530
fondette de corail,18,not raw cotton,non,549530
fonds ?,1,not raw cotton,non,549530
fonds à meule blancs,1,not raw cotton,non,549530
fonds de bassin,1,not raw cotton,non,549530
fonds de bassines,1,,non,4126
fonds de bateau ?,1,not raw cotton,non,549530
fonds de cuivre,16,not raw cotton,non,549530
fonds de cuve,1,not raw cotton,non,549530
fonds et fourrure de cuivre,3,not raw cotton,non,549530
fontaine de cuivre,1,not raw cotton,non,549530
fontaine de faïence,1,not raw cotton,non,549530
fontaine de faïence et sa cuvette,1,,non,4126
fontaine de fer-blanc,16,not raw cotton,non,549530
fontaine de fer-blanc de peint,1,not raw cotton,non,549530
fontaine de fer-blanc et sa cuvette,1,not raw cotton,non,549530
fontaine de fer-blanc peinte et son bassin,1,not raw cotton,non,549530
fontaine de marbre,1,not raw cotton,non,549530
fontaine de verres,1,not raw cotton,non,549530
fonte,4,not raw cotton,non,549530
fonte brute,4,not raw cotton,non,549530
fonte brute en blocailles,1,not raw cotton,non,549530
fonte brute en gueuses,1,not raw cotton,non,549530
fonte brute en gueuses de 400 kilogrammes au moins,3,not raw cotton,non,549530
fonte de cloche,1,,non,4126
fonte de cuir pour pistolets,1,,non,4126
fonte de cuivre,1,not raw cotton,non,549530
fonte de métal,2,not raw cotton,non,549530
fonte de pistolet,13,not raw cotton,non,549530
fonte de pistolets de cuir de Russie,1,not raw cotton,non,549530
fonte en gueuses,1,not raw cotton,non,549530
