orthographic,nbr_occurences_ortho,simplification,nbr_occurences_simpl
gomme de Gaillac,29,gomme de gaïac,48
gomme de galbanum,1,gomme de galbanum,1
gomme de geda,3,gomme de geda,3
gomme de giette,1,gomme de giette,1
gomme de gutte,1,gomme de gutte,1
gomme de palme,1,gomme de palme,1
gomme de palmier,1,gomme de palmier,1
gomme de pays,5,gomme de pays,5
gomme de sandarac,5,gomme de sandarac,6
gomme de seraza,2,gomme de seraza,2
gomme de toute espèce,1,gomme de toute espèce,1
gomme demi,1,gomme demi,1
gomme dite laque,1,gomme dite laque,1
gomme diverse,5,gomme,49
gomme diverse adragant,1,gomme adragant,206
gomme diverse arabique,1,gomme arabique,359
gomme diverse réunie,1,gomme,49
gomme du Levant,1,gomme du Levant,1
gomme du pays,4,gomme du pays,4
gomme du Sénégal,160,gomme du Sénégal,170
gomme ederée,9,gomme ederée,9
gomme élastique,1,gomme élastique,4
gomme élémi,73,gomme élémi,73
gomme émeri,2,gomme émeri,2
gomme en feuilles,2,gomme en feuilles,2
gomme en grabeau,1,gomme en grabeau,1
gomme en pâte,2,gomme en pâte,2
gomme exotique,3,gomme exotique,3
gomme exotique d'acacia acajou adragante et arabique,1,gomme d'acacia acajou adragante et arabique,1
gomme gaïac,2,gomme de gaïac,48
gomme galle,1,gomme galle,3
gomme gedda,3,gomme gedda,6
gomme gutte,82,gomme gutte,87
gomme keraque,1,gomme keraque,1
gomme laque,170,gomme laque,179
gomme laque en bois,1,gomme laque en bois,1
gomme laque en feuilles,3,gomme laque en feuilles,3
gomme laque plate,1,gomme laque plate,1
gomme odorie,1,gomme odorie,1
gomme opoponax,3,gomme opoponax,3
gomme pure (d'amandier et de cerisier),2,gomme pure d'amandier et de cerisier,2
gomme pure exotique,1,gomme pure exotique,1
gomme pure exotique des entrepôts,1,gomme pure exotique des entrepôts,1
gomme quile,1,gomme quile,1
gomme rouge,3,gomme rouge,3
gomme sagapenum,4,gomme sagapenum,4
gomme sandarac,91,gomme sandaraque,97
gomme sandarasse,1,gomme sandaraque,97
gomme séraphine,9,gomme séraphine,9
gomme séraphique,5,gomme séraphique,5
gomme squinante,1,gomme esquinante,1
gomme tacamaca,5,gomme tacamaca,8
gomme tamaqua,1,gomme tacamaca,8
gomme tamaque,2,gomme tacamaca,8
gomme tandarac,1,gomme tandarac,1
gomme thurique,102,gomme thurique,102
gomme thurique du Levant,1,gomme du Levant thurique,1
gomme topal,1,gomme topal,1
gonds,1,gonds,1
goudron,987,goudron,990
goudron de Suède,1,goudron de Suède,1
goudron en baril,2,goudron,990
goudron et poix,1,goudron et poix,1
goudron ou gaudron,1,goudron,990
goules,1,goules,1
goupil,1,goupil,1
gourde,1,gourde,1
gournable,16,gournable,16
gournable de chêne,3,gournable de chêne,3
gournable de sapin,1,gournable de sapin,1
gouttières ou gulots,1,gouttières ou goulots,1
grabeau canefice,2,grabeau de canefice,10
grabeau cochenille,1,grabeau de cochenille,63
grabeau d'aspic,1,grabeau d'aspic,1
grabeau d'email,1,grabeau d'émail,1
grabeau d'encens,95,grabeau d'encens,95
grabeau d'indigo,65,grabeau d'indigo,68
grabeau d'ivoire,2,grabeau d'ivoire,2
grabeau de canefice,8,grabeau de canefice,10
grabeau de cire,75,grabeau de cire,76
grabeau de cochenille,53,grabeau de cochenille,63
grabeau de corail,22,grabeau de corail,23
grabeau de galipot,1,grabeau de galipot,1
grabeau de gomme,14,grabeau de gomme,14
grabeau de jalap,1,grabeau de jalap,1
grabeau de mioche,1,grabeau de mioche,1
grabeau de myrrhe,17,myrrhe en grabeau,18
grabeau de myrthe,3,grabeau de myrthe,3
grabeau de poivre,24,poivre en grabeau,34
grabeau de quinquina,2,grabeau de quinquina,2
grabeau de rhubarbe,1,grabeau de rhubarbe,1
grabeau de sel ammoniac,5,grabeau de sel ammoniac,6
grabeau de sel d'ammoniac,1,grabeau de sel ammoniac,6
grabeau de séné,114,grabeau de séné,114
grabeau de storax,1,grabeau de storax,1
grabeau de tartre,20,grabeau de tartre,20
grabeau de vermillon,1,grabeau de vermillon,1
grabeau encens,1,grabeau encens,1
grabeau indigo,3,grabeau d'indigo,68
grabeau manelle,1,grabeau manelle,1
grabot de mine,1,grabeau de mine,1
grai gras,1,grai gras,1
grai rouge,1,grès rouge,1
graine,11,graine,21
graine ?,1,graine ???,2
graine ???,1,graine ???,2
graine à chapelets,21,graine à chapelets,22
graine à chapelets pour l'entrepôt pour Guinée,1,graine à chapelets pour l'entrepôt pour Guinée,1
graine à chapelier,1,graine à chapelier,1
graine à chapelles,2,graine à chapelles,2
graine à couteaux,1,graine à couteaux,1
graine à faire chapelets,1,graine à chapelets,22
graine à foin,1,graine de foin,14
graine à moutarde,1,graine de moutarde,131
graine alkermès,1,alkermès en grains,17
graine alpiste,1,graine alpiste,1
graine anis,1,graine d'anis,15
graine anis vert,1,graine d'anis vert,2
graine arabique,1,graine arabique,1
graine avoine,3,grains avoine,51
graine blanche,1,graine blanche,1
graine blé,1,grains blé,29
graine blé froment,3,grains froment,1282
graine brocolis,1,graine de brocoli,1
graine chanvre,1,graine de chanvre,146
graine comestible avoine,3,grains avoine,51
graine comestible blé et froment,1,grains froment,1282
graine comestible blé froment,1,grains blé et froment,2
graine comestible blé noir,2,grains sarrasin,48
graine comestible des Indes,1,grains maïs,90
graine comestible diverse,1,grains divers,45
graine comestible en blé froment,1,grains froment,1282
graine comestible en orge,1,grains orge,482
graine comestible en seigle,1,grains seigle,423
graine comestible en soucrillon,1,grains soucrillon,7
graine comestible froment,6,grains froment,1282
graine comestible méteil,3,grains méteil,35
graine comestible orge,3,grains orge,482
graine comestible riz,10,grains riz,1110
graine comestible sarrazin,1,grains sarrasin,48
graine comestible seigle,3,grains seigle,423
graine comestible soucrillon,1,grains soucrillon,7
graine commune,1,graine commune,1
graine coton,1,graine de coton,14
graine d'abrus,1,graine d'abrus,1
graine d'absinthe,1,graine d'absinthe,1
graine d'acacia,1,graine d'acacia,1
graine d'alipiste,1,graine d'alipiste,1
graine d'alizari,6,graine d'alizari,6
graine d'alkermès,15,alkermès en grains,17
graine d'alpiste,20,graine d'alpiste,20
graine d'ambrette,19,graine d'ambrette,19
graine d'ameas,1,graine d'ameas,1
graine d'amome,1,graine d'amome,1
graine d'angélique,2,graine d'angélique,2
graine d'anis,12,graine d'anis,15
graine d'anis vert,1,graine d'anis vert,2
graine d'artichaut,1,graine d'artichaut,1
graine d'asperges,2,graine d'asperges,2
graine d'aspic,33,graine d'aspic,33
graine d'Avignon,79,graine d'Avignon,85
graine d'écarlate,5,graine écarlate,6
graine d'eparette,1,graine d'eparette,1
graine d'épicerie,1,graine d'épicerie,1
graine d'escayolle,1,graine d'escayolle,1
graine d'esparceil,5,graine d'esparceil,5
graine d'étain,1,graine d'étain,1
graine d'Inde,1,graine d'Inde,1
graine d'indigo,7,graine d'indigo,7
graine d'ivoire,1,graine d'ivoire,1
graine d'oignon,13,graine d'oignon,13
graine d'oiseau,1,graine d'oiseau,9
graine d'oiseaux,8,graine d'oiseau,9
graine de,1,graine de,1
graine de beau,1,graine de beau,1
graine de becs,1,graine de becs,1
graine de bois,1,graine de bois,1
graine de bois d'Inde,7,graine de bois d'Inde,7
graine de bois de Campêche,1,graine de campêche,4
graine de bois de hêtre,1,graine de bois de hêtre,2
graine de bois des Indes,8,graine de bois des Indes,8
graine de bois du Brésil,1,graine de bois du Brésil,1
graine de bouquette,1,graine de bouquette,1
graine de brim,1,graine de brim,1
graine de buisson,12,graine de buisson,12
graine de cailloux,1,graine de caillou,1
graine de Campêche,2,graine de campêche,4
graine de canarico,1,graine de canarico,1
graine de canarie,15,graine de canaris,16
graine de cardamome,1,graine de cardamome,1
graine de caron,3,grains méteil,35
graine de caron ou méteil,1,grains méteil,35
graine de carotte,1,graine de carotte,1
graine de cassave,1,graine de cassave,1
graine de chanvre,143,graine de chanvre,146
graine de chanvre colza navette et oliette,1,graine de chanvre colza navette et oliette,1
graine de chanvre et de trèfle,1,graine de chanvre et de trèfle,1
graine de chapelets,16,graine de chapelets,16
graine de choux,72,graine de choux,72
graine de choux-fleur,10,graine de choux-fleurs,10
graine de citron,1,graine de citron,1
graine de clave,1,graine de clave,1
graine de cochenille,10,graine de cochenille,10
graine de cocon,1,graine de cocon,1
graine de colza,6,graine de colza,6
graine de coriandre,2,graine de coriandre,2
graine de coton,7,graine de coton,14
graine de coucouche,1,grains cuscute,2
graine de cumin,1,graine de cumin,2
graine de fenouil,28,graine de fenouil,29
graine de foin,13,graine de foin,14
graine de foin luzerne et de trèfle,1,graine de foin de luzerne et de trèfle,1
graine de forestale,1,graine de forestale,1
graine de France,1,graine de France,1
graine de genièvre,155,graine de genièvre,156
graine de genièvre graine comestible,1,graine de genièvre graine comestible,1
graine de grenier,3,graine de grenier,3
graine de houblon,1,graine de houblon,1
graine de houx,1,graine de houx,1
graine de jardin,428,graine de jardin,432
graine de jardin et autres,1,graine diverse et de jardin,2
graine de jardin et de fleurs,1,graine de bois de hêtre,2
graine de kin,1,graine de kin,1
graine de laitue,4,graine de laitue,4
graine de lapin,1,graine de lapin,1
graine de laurier,3,graine de laurier,3
graine de laurier dite bekelaers,1,graine de laurier dite bekelaers,1
graine de léen,3,graine de léen,5
graine de légumes,2,graine de légumes,2
graine de lin,474,graine de lin,478
graine de lin et autres,1,graine,21
graine de lin et autres dites grasses,1,graine de lin et grasse,2
graine de lin vieille,1,graine de lin vieille,1
graine de longue,4,graine de longue,4
graine de lupin,2,graine de lupin,3
graine de luzerne,58,graine de luzerne,61
graine de luzerne et de trèfle,1,graine de luzerne et de trèfle,6
graine de melon,4,graine de melon,4
graine de millet,41,grains millet,205
graine de millet gros,3,grains millet gros,3
graine de mitte,1,grains millet,205
graine de moutarde,125,graine de moutarde,131
graine de mûriers,1,graine de mûriers,1
graine de musc,2,graine de musc,2
graine de muscade,1,graine de muscade,1
graine de navet,2,graine de navette,10
graine de navette,7,graine de navette,10
graine de pain,1,graine de pain,1
graine de Palma Christi,1,graine de ricin,1
graine de paradis,2,graine de paradis,2
graine de pécan,1,graine de pécan,1
graine de perroquet,14,graine de perroquet,14
graine de Perse,1,graine de Perse,1
graine de pigeon,1,graine de pigeon,1
graine de pirrette,1,graine de pirrette,1
graine de pivoine,1,graine de pivoine,1
graine de prairie,3,graine de prairie,4
graine de prairie trèfle et luzerne,1,graine de prairie et de trèfle et luzerne,1
graine de prés,3,graine de pré,3
graine de rabatte,1,graine de rabette,6
graine de rabette,5,graine de rabette,6
graine de Riga,2,grains de Riga,2
graine de riz,2,grains riz,1110
graine de rosette,1,graine de rosette,1
graine de safranum,1,graine de safranum,1
graine de sagou,1,graine de sagou,1
graine de sainfoin,6,graine de sainfoin,7
graine de Saint-Domingue,1,graine de Saint-Domingue,1
graine de scammonée,1,graine de scammonée,1
graine de seigle,1,seigle,1
graine de semaille,1,graine de semaille,1
graine de senegré,2,graine de fenugrec,4
graine de silvestre,1,graine de silvestre,2
graine de soudes,2,graine de soudes,2
graine de tabac,1,tabac en graine,1
graine de tasse,1,graine de tasse,1
graine de toute espèce,1,graine diverse,56
graine de toute sorte,1,graine diverse,56
graine de trèfle,78,graine de trèfle,83
graine de trèfle et de luzerne,1,graine de luzerne et de trèfle,6
graine de trèfle et luzerne,4,graine de luzerne et de trèfle,6
graine de tremaille,4,graine de tremaine,10
graine de tremaine,5,graine de tremaine,10
graine de triotet,1,graine de trioter,1
graine de truelle,1,graine de truelle,1
graine de truffe,5,graine de truffe,5
graine de vermillon,3,graine de vermillon,3
graine de vermillon ou d'eolatte,1,graine de vermillon ou d'eolatte,1
graine de verre,2,grains de verre,19
graine de verre à chapelet,1,grains de verre à chapelet,1
graine de vers,15,grains de verre,19
graine de vers à soie,23,graine de vers à soie,23
graine de vesse,2,graine de vesse,2
graine de zedoria,1,graine de zedoria,1
graine des Canaries,33,graine des Canaries,33
graine des îles,2,graine des Îles,2
graine des Indes,1,graine des Indes,1
graine diverse,54,graine diverse,56
graine diverse blé,1,grains froment,1282
graine diverse de chanvre,1,graine de chanvre,146
graine diverse de trèfle,1,graine de trèfle,83
graine diverse de tremaine,1,graine de tremaine,10
graine diverse et de jardin,1,graine diverse et de jardin,2
graine diverse riz,2,grains riz,1110
graine douce,2,graine douce,2
graine du jardin,1,graine du jardin,2
graine du soucrillon,1,graine du soucrillon,1
graine écarlate,1,graine écarlate,6
graine et semence froide,1,graine et semence froide,1
graine fenouil,2,graine fenouil,2
graine fermentale,1,graine fermentale,1
graine froment,6,grains froment,1282
graine froment seigle,1,grains froment seigle,1
graine grainette,2,graine grainette,2
graine grasse,1,graine grasse,3
graine grasse de chanvre colza lin et rabette,1,graine grasse,3
graine grasse de chanvre lin et colza,1,graine grasse,3
graine grasse et de lin,1,graine de lin et grasse,2
graine grenaille,1,grains grenaille,1
graine gruau,1,farine gruau,13
graine huile d'olive,1,graine huile d'olive,1
graine jardin,1,graine du jardin,2
graine jaune,154,graine jaune,156
graine jaune d'Avignon,1,graine jaune d'Avignon,2
graine jaune d'Avignon ou nerprun,1,graine jaune d'Avignon ou nerprun,1
graine jaune de laitue,1,graine jaune de laitue,1
graine jaune dite wauwe,1,graine jaune dit wauwe,1
graine jaune longue,1,graine jaune longue,1
graine jaune ou d'Avignon,1,graine jaune d'Avignon,2
graine lin,2,graine de lin,478
graine longue,50,graine longue,50
graine luzerne,2,graine de luzerne,61
graine mêlée,1,graine,21
graine millet,6,grains millet,205
graine moutarde,3,graine de moutarde,131
graine orge,2,grains orge,482
graine pour la teinture,1,graine pour teinture,15
graine pour teindre,3,graine pour teinture,15
graine pour teinture,11,graine pour teinture,15
graine riz,4,grains riz,1110
graine rouge,2,graine rouge,2
graine sapotille,1,graine de sapotille,1
graine seigle,8,grains seigle,423
graine silvestre,1,graine de silvestre,2
graine trèfle,1,graine de trèfle,83
graine triole,1,graine triole,1
graine truffe,1,graine truffe,1
graine verte,2,graine verte,2
graine vieille de lin,1,graine vieille de lin,1
graines comestibles diverses,1,grains divers,45
grainette,4,grainette,4
grainette d'Avignon,1,grainette d'Avignon,1
grainette jaune,2,grainette jaune,2
grains,2,grains divers,45
grains à chapelets,2,grains à chapelets,3
grains ails,3,grains ails,3
grains autres céréales,1,grains autre que céréales,1
grains avoine,14,grains avoine,51
grains blé,21,grains froment,1282
grains blé d'Inde,6,grains maïs,90
grains blé froment,10,grains froment,1282
grains blé orge,1,grains orge,482
grains blé riz,3,grains riz,1110
grains comestibles,12,grains divers,45
grains comestibles au blé froment,5,grains froment,1282
grains comestibles avoine,30,grains avoine,51
grains comestibles blé,3,grains froment,1282
grains comestibles blé blanc,5,grains froment,1282
grains comestibles blé d'Inde,1,grains maïs,90
grains comestibles blé froment,35,grains froment,1282
grains comestibles blé millet,1,grains millet,205
grains comestibles blé orge,1,grains orge,482
grains comestibles blé roux,1,grains froment,1282
grains comestibles blé seigle,1,grains seigle,423
grains comestibles des Indes,1,grains maïs,90
grains comestibles divers,7,grains divers,45
grains comestibles en avoine,1,grains avoine,51
grains comestibles en froment,1,grains froment,1282
grains comestibles en gruau,1,gruau de grains comestible,2
grains comestibles en millet,1,grains millet,205
grains comestibles en riz,1,grains riz,1110
grains comestibles froment,24,grains froment,1282
grains comestibles gruau,1,farine gruau,13
grains comestibles maïs,2,grains maïs,90
grains comestibles millet,10,millet,10
grains comestibles orge,30,grains orge,482
grains comestibles orge ???,1,grains orge,482
grains comestibles orge germé,2,grains orge germé,11
grains comestibles orge perlé,1,grains orge,482
grains comestibles riz,48,grains riz,1110
grains comestibles seigle,32,grains seigle,423
grains comestibles soucrillon,3,grains soucrillon,7
grains comestibles soucrillon grains pour la bière,1,grains soucrillon,7
grains d'ambre,1,ambre en grains,1
grains d'Avignon,1,grains d'Avignon,1
grains de blé,1,grains blé,29
grains de chapelets,1,grains à chapelets,3
grains de genièvre,1,graine de genièvre,156
grains de jardin,1,graine de jardin,432
grains de lin,5,grains de lin,5
grains de millet gros,1,grains de millet gros,1
grains de riz,1,grains riz,1110
grains de séné,1,grains de séné,1
grains de toute sorte,6,grains divers,45
grains de trèfle,1,grains de trèfle,1
grains de verre,1,grains de verre,19
grains de vers,1,grains de verre,19
grains divers,5,grains divers,45
grains divers blé,1,grains divers,45
grains divers blé froment,1,grains froment,1282
grains divers riz,4,grains riz,1110
grains divers seigle,1,grains seigle,423
grains durs à tailler,1,grains dur à tailler,1
grains en advestures de toute espèce,1,grains en advestures de toute espèce,1
grains en avoine et froment,1,grains avoine et froment,1
grains en blé d'Inde,1,grains maïs,90
grains en froment,1,grains froment,1282
grains en graine,5,graine,21
grains en seigle etc.,1,grains seigle,423
grains épautre,3,grains épeautre,3
grains et graine diverses,6,grains divers,45
grains farine fromage etc,1,grains farine fromage etc.,1
grains froment,30,grains froment,1282
grains froment méteil seigle orge avoine etc,1,grains divers,45
grains haricots,2,haricots,63
grains maïs,7,grains maïs,90
grains mêlés,1,grains divers,45
grains mêlés de toute sorte,1,grains divers,45
grains menus grains,1,grains menu,1
grains méteil,4,grains méteil,35
grains metillon,1,graine metillon,1
grains millet,4,grains millet,205
grains orge,13,grains orge,482
grains perlés et mondés,1,grains mondé et perlé,2
grains perlés ou mondés,1,grains mondé et perlé,2
grains petits,1,grains petits,1
grains riz,20,grains riz,1110
grains seigle,26,grains seigle,423
grains seigle et maïs,1,grains maïs seigle,1
grains soucrillon,1,grains soucrillon,7
graisse,151,graisse,161
graisse à chapeler,1,graisse à chapeler,1
graisse autre de toute sorte,1,graisse,161
graisse blanche,2,graisse blanche,2
graisse d'autruche,1,graisse d'autruche,1
graisse d'oint,1,graisse d'oint,1
graisse d'ours,2,graisse d'ours,2
graisse de baleine,2,graisse de baleine,2
graisse de bœuf,1,graisse de bœuf,1
graisse de boucherie,51,graisse de boucherie,51
graisse de cacao,1,graisse de cacao,1
graisse de chanvre,3,graisse de chanvre,3
graisse de cheval d'ours et de pied de bœuf,2,graisse de cheval d'ours et de pied de bœuf,2
graisse de cochon,6,graisse de cochon,6
graisse de gras de peau,1,graisse de gras de peau,3
graisse de jardin,1,graisse de jardin,1
graisse de mouton,4,graisse de mouton,4
graisse de pied de bœuf,1,graisse de pied de bœuf,1
graisse de poisson,4,graisse de poisson,4
graisse de poisson de pêche étrangère,1,graisse de poisson de pêche étrangère,1
graisse de poisson de pêche française,2,graisse de poisson de pêche française,2
graisse de poisson des pays hors d'Europe,1,graisse de poisson des pays hors d'Europe,1
graisse de porcs,108,graisse de porcs,109
graisse de tasson et autres,1,graisse de tasson et autres,1
graisse de toute sorte sauf suif brut et graisse de gras de peau,1,graisse de toute sorte sauf gras de peau et suif brut,1
graisse de toute sorte sauf suif brut graisse de cheval d'ours de pied de bœuf et de gras de peau,1,graisse de toute sorte sauf graisse de cheval d'ours de gras de peau et suif brut,1
graisse de toute sorte sauf suif brut graisse de cheval d'ours de pied de bœuf et dégras de peau,1,graisse de toute sorte sauf graisse de bœuf d'ours de gras de peau et suif brut,1
graisse de tripe,1,graisse de porcs,109
graisse dégras de peau,2,graisse de gras de peau,3
graisse dite saindoux,1,saindoux,49
graisse diverse,6,graisse,161
graisse douce,3,graisse douce,3
graisse douce de cochon,1,graisse douce de cochon,1
graisse fine,2,graisse fine,2
graisse fondue,1,graisse fondue,1
graisse ordinaire,2,graisse,161
graisse ou vieux-oint,1,vieux-oint,89
graisse saindoux,2,saindoux,49
graisse salée,1,graisse salée,1
graisse suif brut,2,suif brut,3
graisse vieux-oint,1,vieux-oint,89
grame de bois de Campêche,1,graine de campêche,4
grandes perches dites juffers,1,perches grandes dit juffers,1
granille de cochenille,22,granille de cochenille,22
granit,1,granit,1
graphite,1,graphite,3
graphite (carbure de fer dite mine de plomb noire),1,graphite,3
graphite (plombagine ou mine de plomb),1,graphite,3
grappins,4,grappins,4
grappins de fer,14,grappins de fer,43
gras de tours,1,gras de tours,1
gras rouge,1,gras rouge,1
gras-double,7,gras-double,7
grattes,1,grattes,1
grattoirs,3,grattoirs,3
grattoirs de fer,1,grattoirs de fer,1
gravelle,14,gravelle,14
gravures,2,gravures,2
gravures encadrées,1,gravures encadrées,1
gravures et lithographies,1,gravures et lithographies,1
gravures noires ou coloriées,2,gravures noires ou coloriées,2
grèles,1,grèles,1
grèles à café,1,grèles à café,1
grelin,2,grelin,2
grelots,40,grelots,40
grelots de cuivre,33,grelots de cuivre,49
grelots de laiton,1,grelots de laiton,1
grelots en cuivre,3,grelots de cuivre,49
grelots et sonnettes,1,grelots et sonnettes,1
grenade,21,grenade,21
grenade à feu,1,grenade à feu,1
grenade de coton,1,grenade de coton,1
grenade de fer,11,grenade de fer,12
grenade de Florence,1,grenade de Florence,1
grenade en fer,1,grenade de fer,12
grenade étoffe,2,grenade étoffe,2
grenade fruit,7,grenade fruit,7
grenade pour la Compagnie des Indes,1,grenade pour la Compagnie des Indes,1
grenadiers laurier jasmin etc.,2,grenadier et laurier et jasmin etc,2
grenaille,4,grenaille,4
grenaille de cochenille,3,grenaille de cochenille,3
grenaille de fer et acier,1,grenaille d'acier et de fer,1
grenailles de C ?,1,grenaille de C ?,1
grenat,4,grenat,4
grenat faux,2,grenat faux,2
grenat faux et autres pierres fausses non montées,1,grenat faux et autres pierres fausses non montées,1
grenat fin,2,grenat fin,2
grenat fin monté,1,grenat fin monté,1
grenat fin non monté,1,grenat fin non monté,1
grès,2,grès,2
grès à laver,4,grès à laver,4
grès en pavé,3,grès en pavé,3
grignon,5,bois de grignon,6
grillages,1,grillages,1
grillages de fer,1,grillages de fer,2
grillages en fer,1,grillages de fer,2
grilles,1,grilles,1
grilles de fer,19,grilles de fer,39
grilles de fer à moulins à sucre,1,grilles de fer à moulins à sucre,1
grilles de fer de fonte,3,grilles de fer de fonte,4
grilles de fer pour moulins à sucre,1,grilles de fer pour moulins à sucre,1
grilles de fonte de fer,1,grilles de fer de fonte,4
grilles et platines de fer,1,grilles et platines de fer,1
grillons,1,grillons,1
grillons de fonte,1,grillons de fonte,1
grinza,1,grinza,1
gris,1,gris,2
grisette,15,grisette,15
grisette de Flandre,1,grisette de Flandre,1
grisette de laine,1,grisette de laine,2
grisette de soie,2,grisette de soie,5
grisons,2,grisons,2
grives,3,grives,3
groisil,1,groisil,1
groisil de verres,1,groisil de verre,2
groisil ou verre cassé,1,groisil de verre,2
groison,1,groison,1
gros de Naples,1,gros de Naples,1
gros de Tours,5,gros de Tours,5
gros millet,1,millet gros,1
gros ouvrages de bois,1,ouvrages de bois gros,1
gros papier dit carton,1,carton,71
gros rouge,5,gros rouge,5
gros sacs,1,sacs gros,1
gros tors,2,gros tors,2
groseilles noires,1,groseille,1
grosgrain,1,grosgrain,1
grosil,12,grosil,12
grosse de soie,1,grosse de soie,1
grosse dentelle,1,dentelle grosse,8
grosses noix,1,noix grosses,1
gruau,206,gruau,212
gruau d'avoine,1,gruau d'avoine,1
gruau de céréales,1,gruau de grains comestible,2
gruau de millet,1,gruau de millet,1
gruau de sarrasin,1,gruau de grains sarrasin,1
gruau et fécule,1,gruau et fécule,2
gruau et fécule de toute sorte,1,gruau et fécule,2
grueau,3,gruau,212
grulleau,1,gruau,212
guéridon,4,guéridon,4
guéridon de sapin,1,guéridon de sapin,1
guéridon peint,1,guéridon peint,1
guêtres,4,guêtres,4
guêtres de coton,1,guêtres de coton,1
guêtres de cuir,3,guêtres de cuir,3
guêtres de toile,3,guêtres de toile,3
gueuse de fer,1,gueuse de fer,1
guftas,1,guftas,1
guignolet en ratafia,4,guignolet en ratafia,4
guignolet en ratafia de cerise,3,guignolet en ratafia de cerise,3
guildive,14,guildive,14
guildive des prises,1,guidive des prises,1
guin ???,1,guin ???,1
guina,1,guina,1
guincastafs,1,guincastafs,1
guindeaux,2,guindeaux,2
Guinée,124,guinée,155
Guinée blanche,78,guinée blanche,90
Guinée blanche ordinaire,2,guinée blanche ordinaire,2
Guinée bleue,153,guinée bleue,178
Guinée bleue demi,1,demi guinée bleue,2
Guinée bleue et blanche,1,guinée blanche et bleue,1
Guinée étoffe,1,guinée,155
Guinée masulipatan,1,guinée masulipatan,1
Guinée Sénégal,1,guinée Sénégal,1
Guinée tachée,1,guinée tachée,1
guingan,220,guingan,469
guingan blanc,1,guingan blanc,1
guingan bleu,1,guingan bleu,1
guingan de Bengale,2,guingan de Bengale,2
guingan de fil,4,guingan de fil,25
guingan de Madras,23,guingan de Madras,23
guingan de Masulipatan,1,guingan de Masulipatan,1
guingan de Pondichéry,26,guingan de Pondichéry,26
guingan de Pondichéry et de Madras,1,guingan de Pondichéry et de Madras,1
guingan des prises,1,guingan des prises,1
guingan divers,11,guingan,469
guingan du Bengale,8,guingan du Bengale,8
guingan en Madras,1,guingan en Madras,1
guingan peint,2,guingan peint,2
guingan pièces,1,guingan pièces,1
guinimos,1,guinimos,1
guipons,5,guipon,5
guisine,1,guisine,1
guitare,1,guitare,8
guitare de fer,3,guitare de fer,3
gullots,1,gullots,1
habassis,5,habassis,5
habillement,87,habits,105
habillement à nègre,2,habits pour nègre,3
habillement brodé d'or,13,habits brodés d'or,14
habillement brodé de soie,5,habits brodés de soie,6
habillement brodé or et argent,1,habits brodés d'argent et d'or,1
habillement cabans ou capots,3,cabans ou capotes,6
habillement casques,5,casques,5
habillement culottes de peaux,3,culottes de peaux,3
habillement de cour,1,habits de cour,1
habillement de drap noir,1,habillement de drap noir,1
habillement de femme,1,habits pour femme,3
habillement de laine,1,habits de laine,1
habillement de laine pour nègre,1,habits de laine pour nègre,1
habillement de nègre,1,habits de nègre,1
habillement de nègre en étoffe,1,habits de nègre en étoffe,1
habillement de négresse,1,habits de négresse,1
habillement de soie,19,habits de soie,37
habillement de toile,1,habits de toile,1
habillement de toile de chanvre,1,habits de toile de chanvre,1
habillement de troupes,2,habits de troupes,2
habillement divers,65,habits divers,65
habillement en capots de laine,1,capots de laine,1
habillement en fourrure de soie,1,fourrure de soie,84
habillement en gilets de coton,1,gilets de coton,1
habillement en gilets de soie,1,gilets de soie,5
habillement en gilets de soie brodés et dorure,1,gilets de soie,5
habillement en gilets de tricots de soie,1,gilets de soie,5
habillement en gilets fil et coton,2,gilets de coton et de fil,2
habillement en gilets filoselle et coton,1,gilets de coton et filoselle,1
habillement en gilets mélangés,1,gilets,4
habillement en gilets soie et coton,1,gilets de soie et coton,1
habillement en hardes neuves,6,hardes neuves,17
habillement en lingerie,1,lingerie,50
habillement en or,3,habits d'or,3
habillement en or et argent,1,habits d'argent et d'or,1
habillement en soie,2,habits de soie,37
habillement en vestes,2,vestes,11
habillement en vestes de coton,2,vestes de coton,4
habillement en vestes de fil et coton,5,vestes de coton et fil,5
habillement en vestes diverses,1,vestes,11
habillement en vestes et gilets de soie,1,vestes et gilets de soie,1
habillement et lingerie,4,habits et lingerie,8
habillement gilets de coton et filoselle,1,filoselle et gilets de coton,1
habillement hardes neuves,10,hardes neuves,17
habillement lingerie et effets militaires,2,habits et lingerie et effets militaires,2
habillement pour nègre,1,habits pour nègre,3
habillement redingotes,3,redingotes,20
habillement riche,1,habits riches,1
habillement supporté,1,habits supportés,3
habillés,1,habillés,1
habits,14,habits,105
habits à nègre,1,habits à nègre,1
habits brodés d'or,1,habits brodés d'or,14
habits brodés de soie,1,habits brodés de soie,6
habits complets,3,habits complets,3
habits complets neufs,2,habits complets et neufs,2
habits complets pour homme,1,habits pour homme complets,1
habits d'étamine,1,habits d'étamine,1
habits d'homme,1,habits pour homme,6
habits d'homme avec or et argent,1,habits pour homme avec argent et or,2
habits d'officiers uniformes,1,habits pour homme avec argent et or,2
habits de camelot,1,habits de camelot,1
habits de camelot complet,1,habits de camelot complet,1
habits de drap,10,habits de drap,10
habits de drap d'Elbeuf,1,habits de drap d'Elbeuf,1
habits de drap galonné,1,habits de drap galonné,1
