goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
aurcsats étoile,1,,,non,0,386384
aussière,2,,,non,0,386384
autel de marbre,2,,,non,0,386384
avelanèdes,58,,,non,0,386384
avelines,8,,,non,0,386384
avelines et noisettes sèches,22,,,non,0,386384
avelines faînes noisettes noix,1,,,non,0,386384
avelines noisettes noix,5,,,non,0,386384
avirons,639,Hors Canada,,non,1,154362
avirons bruts,17,,,non,0,386384
avirons de 12 pieds,1,,,non,0,386384
avirons de 18 pieds,1,,,non,0,386384
avirons de 30 pieds,1,,,non,0,386384
avirons de 5 pieds,1,,,non,0,386384
avirons de 8 à 12 pieds,1,,,non,0,386384
avirons de bois,51,,,non,0,386384
avirons de bois façonné,1,,,non,0,386384
avirons de chêne,1,,,non,0,386384
avirons de sapin,1,,,non,0,386384
avirons et perches de bois,3,,,non,0,386384
avirons et rames bruts,2,,,non,0,386384
avirons et rames de bois,1,,,non,0,386384
avirons et rames de bois façonné,2,,,non,0,386384
avirons et rames façonnés,5,,,non,0,386384
avirons polis,1,,,non,0,386384
avoine,496,,,non,0,386384
avoine en gerbes,1,,,non,0,386384
avoine et haricots,1,,,non,0,386384
avoine et orge etc.,1,,,non,0,386384
avoine mondée,1,,,non,0,386384
avoine moulée,1,,,non,0,386384
azur,729,,,non,0,386384
azur commun,197,,,non,0,386384
azur et bleu de Prusse,9,,,non,0,386384
azur et cobalt,20,,,non,0,386384
azur fin,13,,,non,0,386384
azur gros,22,,,non,0,386384
babassis,1,,,non,0,386384
babouches,90,,,non,0,386384
babouches de maroquin,2,,,non,0,386384
bacs d'1 aime,1,,,non,0,386384
bacs de pierre,1,,,non,0,386384
bacs de pierre bleue,1,,,non,0,386384
bacs de pierre d'1 aime,1,,,non,0,386384
bacs de pierre de 4 aimes,1,,,non,0,386384
bacs de pierre de demi d'aime,1,,,non,0,386384
bacs de pierre de moindre classe,1,,,non,0,386384
bacs de pierre de trois-quart d'aime,1,,,non,0,386384
bacs de pierre en dessous d'1 aime,1,,,non,0,386384
bacs de pierre en dessus d'1 aime,1,,,non,0,386384
badiane,59,,,non,1,386384
badiane ou anis étoilé de la Chine,0,,,oui,0,386384
baffetas,10,,,non,0,386384
baffetas blanc,19,,,non,0,386384
