goods_simpl_classification,nbr_occurences_simpl,grains_classification,obsolete,nbr_occurences_grains
marmites de fer coulé,2,Pas grain (0),non,539069
marmites de fer de fonte,5,Pas grain (0),non,539069
marmites de fer grandes,1,Pas grain (0),non,539069
marmites de fer moyennes,1,Pas grain (0),non,539069
marmites de fer petites,1,Pas grain (0),non,539069
marmites de feu,1,Pas grain (0),non,539069
marmites de fonte,4,Pas grain (0),non,539069
marmites de potier,1,Pas grain (0),non,539069
marmites en fer,282,Pas grain (0),non,539069
marne,7,Pas grain (0),non,539069
Maroc,53,Pas grain (0),non,539069
Maroc aune,1,Pas grain (0),non,539069
Maroc de laine,2,Pas grain (0),non,539069
Maroc raz de marron,1,Pas grain (0),non,539069
Maroc teint de douzaine,2,Pas grain (0),non,539069
maronic,1,Pas grain (0),non,539069
maroquins,17,Pas grain (0),non,539069
marquise,1,Pas grain (0),non,539069
marraye,2,Pas grain (0),non,539069
marregues,21,Pas grain (0),non,539069
marrons,141,Substituts (4),non,4342
marrons crus,1,Substituts (4),non,4342
marrons et châtaignes,0,Substituts (4),oui,4342
marrons secs,3,Pas grain (0),non,539069
marseille,1,,non,1391
marsouin,2,Pas grain (0),non,539069
marteaux,3,Pas grain (0),non,539069
marteaux de forge,1,Pas grain (0),non,539069
martinet de fer,2,Pas grain (0),non,539069
martinets à tonnelier,1,Pas grain (0),non,539069
martre,1,Pas grain (0),non,539069
marue,2,Pas grain (0),non,539069
masques,32,Pas grain (0),non,539069
masques communs,1,Pas grain (0),non,539069
masques de cire,1,Pas grain (0),non,539069
masques de Venise,23,Pas grain (0),non,539069
masques fins,3,Pas grain (0),non,539069
massepain,3,Pas grain (0),non,539069
masses,2,Pas grain (0),non,539069
masses de bois,1,Pas grain (0),non,539069
masses de coton,16,Pas grain (0),non,539069
masses de cuivre,1,Pas grain (0),non,539069
masses de cuivre rouge pour être raffiné,1,Pas grain (0),non,539069
masses de fer,9,Pas grain (0),non,539069
masses de lin,23,Pas grain (0),non,539069
masses de mail,3,Pas grain (0),non,539069
massicot,46,Pas grain (0),non,539069
massicot citron,1,Pas grain (0),non,539069
massicot fond d'or,1,Pas grain (0),non,539069
massicot jonquille,1,Pas grain (0),non,539069
massie,1,Pas grain (0),non,539069
massis,2,Pas grain (0),non,539069
massy,1,Pas grain (0),non,539069
mastaquy,1,Pas grain (0),non,539069
mastic,122,Pas grain (0),non,539069
mastic en larmes,9,Pas grain (0),non,539069
mastie,1,Pas grain (0),non,539069
mastrre,1,Pas grain (0),non,539069
masulipatan,5,Pas grain (0),non,539069
mateaux,1,Pas grain (0),non,539069
matelas,63,Pas grain (0),non,539069
matelas de coton,1,Pas grain (0),non,539069
matelas de crin,3,Pas grain (0),non,539069
matelas de crin et de noppes,1,Pas grain (0),non,539069
matelas de laine,70,Pas grain (0),non,539069
matelas de lit,1,Pas grain (0),non,539069
matelas de toile de coton et de fil,1,Pas grain (0),non,539069
matelas vieux,1,Pas grain (0),non,539069
mâtereaux,163,Pas grain (0),non,539069
mâtereaux 30 pieds,0,Pas grain (0),oui,539069
mâtereaux à barques,1,Pas grain (0),non,539069
mâtereaux communs de 30 pieds,1,Pas grain (0),non,539069
mâtereaux d'acajou de 7 à 8 pieds,1,Pas grain (0),non,539069
mâtereaux de 11 à 13 palmes,1,Pas grain (0),non,539069
mâtereaux de 12 palmes,1,Pas grain (0),non,539069
mâtereaux de 12 pieds,1,Pas grain (0),non,539069
mâtereaux de 14 palmes,1,Pas grain (0),non,539069
mâtereaux de 14 pieds,1,Pas grain (0),non,539069
mâtereaux de 15 à 20 pieds,1,Pas grain (0),non,539069
mâtereaux de 16 à 18 pieds,1,Pas grain (0),non,539069
mâtereaux de 16 pieds,1,Pas grain (0),non,539069
mâtereaux de 18 à 19 pieds,1,Pas grain (0),non,539069
mâtereaux de 19 pieds,1,Pas grain (0),non,539069
mâtereaux de 20 à 22 pieds,1,Pas grain (0),non,539069
mâtereaux de 20 à 24 pieds,1,Pas grain (0),non,539069
mâtereaux de 20 pieds,2,Pas grain (0),non,539069
mâtereaux de 22 à 26 pieds,1,Pas grain (0),non,539069
mâtereaux de 22 pieds,3,Pas grain (0),non,539069
mâtereaux de 24,1,Pas grain (0),non,539069
mâtereaux de 24 pieds 6 pouces,1,Pas grain (0),non,539069
mâtereaux de 25 à 28 pieds,1,Pas grain (0),non,539069
mâtereaux de 25 à 30 pieds,10,Pas grain (0),non,539069
mâtereaux de 25 à 40 centimètres,1,Pas grain (0),non,539069
mâtereaux de 25 centimètres à 40,2,Pas grain (0),non,539069
mâtereaux de 25 centimètres inclusivement à 40 exclusivement,5,Pas grain (0),non,539069
mâtereaux de 25 pieds,4,Pas grain (0),non,539069
mâtereaux de 26 à 28 pieds,1,Pas grain (0),non,539069
mâtereaux de 26 à 30 pieds,1,Pas grain (0),non,539069
mâtereaux de 27 pieds,1,Pas grain (0),non,539069
mâtereaux de 28 à 30 pieds,1,Pas grain (0),non,539069
mâtereaux de 28 pieds,2,Pas grain (0),non,539069
mâtereaux de 30 à 32 pieds,1,Pas grain (0),non,539069
mâtereaux de 30 à 34 pieds,1,Pas grain (0),non,539069
mâtereaux de 30 à 35 pieds,1,Pas grain (0),non,539069
mâtereaux de 30 à 36 pieds,3,Pas grain (0),non,539069
mâtereaux de 30 à 40 pieds,2,Pas grain (0),non,539069
mâtereaux de 30 pieds,12,Pas grain (0),non,539069
mâtereaux de 32 à 33 pieds,1,Pas grain (0),non,539069
mâtereaux de 32 à 34 pieds,1,Pas grain (0),non,539069
mâtereaux de 32 pieds,3,Pas grain (0),non,539069
mâtereaux de 33 pieds,2,Pas grain (0),non,539069
mâtereaux de 34 à 36 pieds,1,Pas grain (0),non,539069
mâtereaux de 34 pieds,3,Pas grain (0),non,539069
mâtereaux de 35 à 37 pieds,1,Pas grain (0),non,539069
mâtereaux de 35 à 40 pieds,1,Pas grain (0),non,539069
mâtereaux de 35 à 45 pieds,1,Pas grain (0),non,539069
mâtereaux de 35 pieds,8,Pas grain (0),non,539069
mâtereaux de 36 à 38 pieds,2,Pas grain (0),non,539069
mâtereaux de 36 à 45 pieds,1,Pas grain (0),non,539069
mâtereaux de 36 pieds,8,Pas grain (0),non,539069
mâtereaux de 36 pieds 9 pouces,1,Pas grain (0),non,539069
mâtereaux de 37 à 38 pieds,1,Pas grain (0),non,539069
mâtereaux de 38 pieds,4,Pas grain (0),non,539069
mâtereaux de 40 à 44 pieds,1,Pas grain (0),non,539069
mâtereaux de 40 à 45 pieds,2,Pas grain (0),non,539069
mâtereaux de 40 pieds,12,Pas grain (0),non,539069
mâtereaux de 42 à 47 pieds,1,Pas grain (0),non,539069
mâtereaux de 45 à 50 pieds,2,Pas grain (0),non,539069
mâtereaux de 45 pieds,6,Pas grain (0),non,539069
mâtereaux de 46 à 60 pieds,1,Pas grain (0),non,539069
mâtereaux de 47 à 48 pieds,1,Pas grain (0),non,539069
mâtereaux de 47 à 49 pieds,1,Pas grain (0),non,539069
mâtereaux de 48 à 50 pieds,1,Pas grain (0),non,539069
mâtereaux de 48 pieds,3,Pas grain (0),non,539069
mâtereaux de 50 à 55 pieds,2,Pas grain (0),non,539069
mâtereaux de 54 à 60 pieds,1,Pas grain (0),non,539069
mâtereaux de 6 à 7 pieds,1,Pas grain (0),non,539069
mâtereaux de 60 pieds,4,Pas grain (0),non,539069
mâtereaux de 7 à 11 palmes,1,Pas grain (0),non,539069
mâtereaux de 7 à 13 palmes,1,Pas grain (0),non,539069
mâtereaux de 7 à 9 palmes,1,Pas grain (0),non,539069
mâtereaux de 9 à 12 palmes,1,Pas grain (0),non,539069
mâtereaux de bois,2,Pas grain (0),non,539069
mâtereaux de chaloupe,1,Pas grain (0),non,539069
mâtereaux de différente longueur,2,Pas grain (0),non,539069
mâtereaux de sapin,6,Pas grain (0),non,539069
mâtereaux de sapin de 20 pieds,1,Pas grain (0),non,539069
mâtereaux de sapin de 25 pieds,1,Pas grain (0),non,539069
mâtereaux de sapin de 28 pieds,1,Pas grain (0),non,539069
mâtereaux de sapin de 30 pieds,2,Pas grain (0),non,539069
mâtereaux et mâts,4,,non,1391
mâtereaux petits,3,Pas grain (0),non,539069
matériaux,1,Pas grain (0),non,539069
matériaux de bois,9,Pas grain (0),non,539069
matériaux de construction,101,Pas grain (0),non,539069
matériaux de sapin,2,Pas grain (0),non,539069
matériaux moellons sable etc.,3,Pas grain (0),non,539069
mâtes de 13 à 20 palmes,0,Pas grain (0),oui,539069
mâtes de 13 à 25 palmes,0,Pas grain (0),oui,539069
matières de verre composées,1,Pas grain (0),non,539069
matières minérales,2,Pas grain (0),non,539069
matières premières,105,Pas grain (0),non,539069
matis,1,Pas grain (0),non,539069
matocaux,1,Pas grain (0),non,539069
mâts,363,Pas grain (0),non,539069
mâts à bateau,1,Pas grain (0),non,539069
mâts à chaloupe,1,Pas grain (0),non,539069
mâts assortis,17,Pas grain (0),non,539069
mâts au dessous de 6 paumes,1,Pas grain (0),non,539069
mâts bouts de 3 à 4 pieds,1,Pas grain (0),non,539069
mâts communs,5,Pas grain (0),non,539069
mâts communs de 50 pieds,1,Pas grain (0),non,539069
mâts de 12 à 13 palmes,1,Pas grain (0),non,539069
mâts de 13 à 20 palmes,1,Pas grain (0),non,539069
mâts de 13 à 25 palmes,1,Pas grain (0),non,539069
mâts de 14 palmes,2,Pas grain (0),non,539069
mâts de 16 à 18 pieds,1,Pas grain (0),non,539069
mâts de 18 pieds,1,Pas grain (0),non,539069
mâts de 20 à 25 palmes,1,Pas grain (0),non,539069
mâts de 20 à 30 pieds,1,Pas grain (0),non,539069
mâts de 20 pieds,1,Pas grain (0),non,539069
mâts de 24 a 30,1,Pas grain (0),non,539069
mâts de 24 pieds,1,Pas grain (0),non,539069
mâts de 25 palmes,1,Pas grain (0),non,539069
mâts de 28 à 32 pieds,1,Pas grain (0),non,539069
mâts de 30 à 40 pieds,1,Pas grain (0),non,539069
mâts de 30 pieds,6,Pas grain (0),non,539069
mâts de 31 à 36 pieds,1,Pas grain (0),non,539069
mâts de 33 à 43 pieds,1,Pas grain (0),non,539069
mâts de 35 à 40 pieds,1,Pas grain (0),non,539069
mâts de 35 à 45 pieds,1,Pas grain (0),non,539069
mâts de 36 à 38 pieds,1,Pas grain (0),non,539069
mâts de 38 à 40 pieds à barque,1,Pas grain (0),non,539069
mâts de 39 à 40 pieds,1,Pas grain (0),non,539069
mâts de 4 paumes,1,Pas grain (0),non,539069
mâts de 40 à 45 pieds,4,Pas grain (0),non,539069
mâts de 40 à 50 pieds,3,Pas grain (0),non,539069
mâts de 40 à 70 pieds,1,Pas grain (0),non,539069
mâts de 40 centimètres de diamètre et au-dessus,7,Pas grain (0),non,539069
mâts de 40 pieds,3,Pas grain (0),non,539069
mâts de 42 à 48 pieds,2,Pas grain (0),non,539069
mâts de 45 à 50 pieds,2,Pas grain (0),non,539069
mâts de 45 pieds,4,Pas grain (0),non,539069
mâts de 48 à 50 pieds,3,Pas grain (0),non,539069
mâts de 50 à 52 pieds,1,Pas grain (0),non,539069
mâts de 50 à 53 pied,1,Pas grain (0),non,539069
mâts de 50 à 55 pieds,2,Pas grain (0),non,539069
mâts de 50 à 56 pieds,1,Pas grain (0),non,539069
mâts de 50 à 60 pieds,2,Pas grain (0),non,539069
mâts de 50 pieds,5,Pas grain (0),non,539069
mâts de 52 à 55 pieds,1,Pas grain (0),non,539069
mâts de 55 à 56 pieds,1,Pas grain (0),non,539069
mâts de 55 à 60 pieds,2,Pas grain (0),non,539069
mâts de 55 pieds,1,Pas grain (0),non,539069
mâts de 56 pieds,1,Pas grain (0),non,539069
mâts de 59 à 60 pieds,1,Pas grain (0),non,539069
mâts de 6 à 9 palmes,1,Pas grain (0),non,539069
mâts de 60 à 65 pieds,1,Pas grain (0),non,539069
mâts de 60 à 66 pieds,1,Pas grain (0),non,539069
mâts de 60 à 70 pieds,2,Pas grain (0),non,539069
mâts de 60 à 80 pieds,1,Pas grain (0),non,539069
mâts de 60 pieds,1,Pas grain (0),non,539069
mâts de 66 à 55 pieds,1,Pas grain (0),non,539069
mâts de 66 à 70 pieds,1,Pas grain (0),non,539069
mâts de 66 à 72 pieds,1,Pas grain (0),non,539069
mâts de 66 pieds,1,Pas grain (0),non,539069
mâts de 68 à 70 pieds,1,Pas grain (0),non,539069
mâts de 68 pieds de long,1,Pas grain (0),non,539069
mâts de 7 pouces de diamètre,1,Pas grain (0),non,539069
mâts de 70 pieds,1,Pas grain (0),non,539069
mâts de 72 pieds,1,Pas grain (0),non,539069
mâts de 75 à 78 pieds,1,Pas grain (0),non,539069
mâts de barque,2,Pas grain (0),non,539069
mâts de beauprés,5,Pas grain (0),non,539069
mâts de beauprés de 35 pieds,1,Pas grain (0),non,539069
mâts de beauprés de 38 pieds,1,Pas grain (0),non,539069
mâts de beauprés de 40 pieds,1,Pas grain (0),non,539069
mâts de beauprés de 42 à 45 pieds,1,Pas grain (0),non,539069
mâts de bois petits,2,Pas grain (0),non,539069
mâts de chaloupe,12,Pas grain (0),non,539069
mâts de chêne,1,Pas grain (0),non,539069
mâts de diverse grandeur,3,Pas grain (0),non,539069
mâts de drapeaux,1,Pas grain (0),non,539069
mâts de hune,1,Pas grain (0),non,539069
mâts de navire,47,Pas grain (0),non,539069
mâts de navire de 10 palmes,2,Pas grain (0),non,539069
mâts de navire de 11 à 18 palmes,1,Pas grain (0),non,539069
mâts de navire de 12 palmes,2,Pas grain (0),non,539069
mâts de navire de 12 paumes de diamètre,1,Pas grain (0),non,539069
mâts de navire de 12 paumes de grosseur,0,Pas grain (0),oui,539069
mâts de navire de 18 pieds,1,Pas grain (0),non,539069
mâts de navire de 22 pieds,1,Pas grain (0),non,539069
mâts de navire de 24 pieds,1,Pas grain (0),non,539069
mâts de navire de 25 pieds,1,Pas grain (0),non,539069
mâts de navire de 27 à 30 pieds,2,Pas grain (0),non,539069
mâts de navire de 27 pieds,1,Pas grain (0),non,539069
mâts de navire de 28 à 31 pieds,1,Pas grain (0),non,539069
mâts de navire de 30 pieds,10,Pas grain (0),non,539069
mâts de navire de 34 pieds,2,Pas grain (0),non,539069
mâts de navire de 35 pieds,3,Pas grain (0),non,539069
mâts de navire de 36 pieds,3,Pas grain (0),non,539069
mâts de navire de 38 pieds,2,Pas grain (0),non,539069
mâts de navire de 40 pieds,9,Pas grain (0),non,539069
mâts de navire de 42 pieds,1,Pas grain (0),non,539069
mâts de navire de 45 pieds,8,Pas grain (0),non,539069
mâts de navire de 46 pieds,2,Pas grain (0),non,539069
mâts de navire de 48 pieds,1,Pas grain (0),non,539069
mâts de navire de 49 pieds,1,Pas grain (0),non,539069
mâts de navire de 50 pieds,18,Pas grain (0),non,539069
mâts de navire de 52 pieds,1,Pas grain (0),non,539069
mâts de navire de 55 pieds,11,Pas grain (0),non,539069
mâts de navire de 56 pieds,1,Pas grain (0),non,539069
mâts de navire de 58 pieds,1,Pas grain (0),non,539069
mâts de navire de 6 palmes,1,Pas grain (0),non,539069
mâts de navire de 60 pieds,10,Pas grain (0),non,539069
mâts de navire de 61 pieds,1,Pas grain (0),non,539069
mâts de navire de 65 pieds,3,Pas grain (0),non,539069
mâts de navire de 66 pieds,1,Pas grain (0),non,539069
mâts de navire de 69 pieds,1,Pas grain (0),non,539069
mâts de navire de 7 palmes,1,Pas grain (0),non,539069
mâts de navire de 7 paumes,1,Pas grain (0),non,539069
mâts de navire de 70 pieds,1,Pas grain (0),non,539069
mâts de navire de 76 pieds,1,Pas grain (0),non,539069
mâts de navire de 78 pieds,1,Pas grain (0),non,539069
mâts de navire de 8 palmes,2,Pas grain (0),non,539069
mâts de navire de 8 pieds,1,Pas grain (0),non,539069
mâts de navire de 80 pieds,1,Pas grain (0),non,539069
mâts de navire de 9 palmes,1,Pas grain (0),non,539069
mâts de navire moyens,1,Pas grain (0),non,539069
mâts de navire petits,1,Pas grain (0),non,539069
mâts de passementerie,2,Pas grain (0),non,539069
mâts de petit navire,1,Pas grain (0),non,539069
mâts de sapin,31,Pas grain (0),non,539069
mâts de sapin à bateau,1,Pas grain (0),non,539069
mâts de sapin de 10 à 11 pieds,1,Pas grain (0),non,539069
mâts de sapin de 10 à 17 palmes,1,Pas grain (0),non,539069
mâts de sapin de 10 palmes,1,Pas grain (0),non,539069
mâts de sapin de 11 palmes,1,Pas grain (0),non,539069
mâts de sapin de 12 à 14 paumes,1,Pas grain (0),non,539069
mâts de sapin de 12 à 16 palmes,1,Pas grain (0),non,539069
mâts de sapin de 12 à 16 paumes,1,Pas grain (0),non,539069
mâts de sapin de 12 palmes,1,Pas grain (0),non,539069
mâts de sapin de 12 paumes de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 12 paumes de grosseur,0,Pas grain (0),oui,539069
mâts de sapin de 13 à 15 palmes,1,Pas grain (0),non,539069
mâts de sapin de 14 paumes,1,Pas grain (0),non,539069
mâts de sapin de 14 pieds de long et de 3 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 15 à 17 pouces de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 15 à 20 palmes,1,Pas grain (0),non,539069
mâts de sapin de 15 palmes,1,Pas grain (0),non,539069
mâts de sapin de 16 à 17 paumes de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 16 à 17 paumes de grosseur,0,Pas grain (0),oui,539069
mâts de sapin de 16 paumes,1,Pas grain (0),non,539069
mâts de sapin de 20 palmes,1,Pas grain (0),non,539069
mâts de sapin de 20 pieds de long et de 3 pieds de diamètre,2,Pas grain (0),non,539069
mâts de sapin de 24 à 25 pieds de long et de 4 à 5 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 24 pieds,1,Pas grain (0),non,539069
mâts de sapin de 25 à 30 pieds,1,Pas grain (0),non,539069
mâts de sapin de 25 à 34 pieds,1,Pas grain (0),non,539069
mâts de sapin de 26 pieds de long et de 4 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 28 pieds de long et de 4 pieds de diamètre,2,Pas grain (0),non,539069
mâts de sapin de 3 paumes,1,Pas grain (0),non,539069
mâts de sapin de 30 pieds,2,Pas grain (0),non,539069
mâts de sapin de 30 pieds à 40 pieds de long et de 9 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 30 pieds de long et de 10 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 30 pieds de long et de 3 pieds de diamètre,2,Pas grain (0),non,539069
mâts de sapin de 30 pieds de long et de 6 à 8 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 30 pieds de long et de 6 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 30 pieds de long et de 9 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 35 pieds,1,Pas grain (0),non,539069
mâts de sapin de 36 pieds,1,Pas grain (0),non,539069
mâts de sapin de 36 pieds de long et de 5 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 36 pieds de long et de 6 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 36 pieds de long et de 7 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 37 pieds de long et de 6 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 38 à 40 pieds de long et de 7 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 38 pieds de long et de 6 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 38 pieds de long et de 7 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 4 à 8 paumes,1,Pas grain (0),non,539069
mâts de sapin de 40 pieds,1,Pas grain (0),non,539069
mâts de sapin de 40 pieds de long et de 10 pieds de diamètre,2,Pas grain (0),non,539069
mâts de sapin de 40 pieds de long et de 11 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 40 pieds de long et de 12 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 40 pieds de long et de 18 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 40 pieds de long et de 6 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 42 pieds de long et de 11 pieds de diamètre,1,Pas grain (0),non,539069
"mâts de sapin de 44 pieds de long et de 13,5 pieds de diamètre",1,Pas grain (0),non,539069
mâts de sapin de 45 à 50 pieds de long et de 15 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 45 pieds,2,Pas grain (0),non,539069
mâts de sapin de 45 pieds de long et de 4 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 45 pieds de long et de 7 à 8 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 45 pieds de long sans mention de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 46 pieds de long et de 12 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 48 pieds,1,Pas grain (0),non,539069
mâts de sapin de 48 pieds de long et de 6 à 7 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 48 pieds de long et de 8 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 48 pieds de long et de 9 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 5 palmes,1,Pas grain (0),non,539069
mâts de sapin de 5 paumes,1,Pas grain (0),non,539069
mâts de sapin de 50 à 55 pieds,1,Pas grain (0),non,539069
mâts de sapin de 50 pieds,2,Pas grain (0),non,539069
mâts de sapin de 50 pieds de long et de 10 à 12 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 50 pieds de long et de 16 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 54 pieds de long et de 15 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 54 pieds de long et de 16 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 55 pieds,3,Pas grain (0),non,539069
mâts de sapin de 6 à 7 paumes de grosseur,1,Pas grain (0),non,539069
mâts de sapin de 6 palmes,1,Pas grain (0),non,539069
mâts de sapin de 60 pieds,1,Pas grain (0),non,539069
mâts de sapin de 60 pieds de long et 5 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 60 pieds de long et de 10 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 60 pieds de long et de 12 pieds de diamètre,1,Pas grain (0),non,539069
mâts de sapin de 60 pieds de longueur et 5 pieds de grosseur,0,Pas grain (0),oui,539069
mâts de sapin de 7 palmes,1,Pas grain (0),non,539069
mâts de sapin de 78 pieds,1,Pas grain (0),non,539069
mâts de sapin de 8 à 12 paumes,1,Pas grain (0),non,539069
mâts de sapin de 9 palmes,1,Pas grain (0),non,539069
mâts de sapin et vergues de sapin,1,Pas grain (0),non,539069
mâts de sapin gros,1,Pas grain (0),non,539069
mâts de sapin moyens,1,Pas grain (0),non,539069
mâts de vaisseaux,21,Pas grain (0),non,539069
mâts de vaisseaux assortis,1,Pas grain (0),non,539069
mâts de vaisseaux beaupré,1,Pas grain (0),non,539069
mâts de vaisseaux de 71 pieds,1,Pas grain (0),non,539069
mâts de vaisseaux de chêne,1,Pas grain (0),non,539069
mâts de vaisseaux de misenne,1,Pas grain (0),non,539069
mâts doubles,1,Pas grain (0),non,539069
mâts en dessous de 8 paumes,1,Pas grain (0),non,539069
mâts espars,1,Pas grain (0),non,539069
mâts et espars de bois,2,Pas grain (0),non,539069
mâts et matériaux de bois,2,Pas grain (0),non,539069
mâts et planches de bois,1,Pas grain (0),non,539069
mâts façonnés,1,Pas grain (0),non,539069
mâts grands,6,Pas grain (0),non,539069
mâts gros,1,Pas grain (0),non,539069
mâts mâtereaux,16,Pas grain (0),non,539069
mâts matières,4,Pas grain (0),non,539069
mâts mâtures,26,Pas grain (0),non,539069
mâts peints,2,Pas grain (0),non,539069
mâts petits,51,Pas grain (0),non,539069
mâts pour galère,1,Pas grain (0),non,539069
mâts verts de 45 pieds,1,Pas grain (0),non,539069
mâts...,1,,non,1391
matu,6,Pas grain (0),non,539069
mâtures,12,,non,1391
mâtures complètes,6,,non,1391
mâtures complètes d'un grand vaisseau,1,,non,1391
mâtures complètes d'un vaisseau,0,Pas grain (0),oui,539069
mâtures complètes en 21 pièces,1,,non,1391
mâtures d'un vaisseau consistante en 56 pièces,0,Pas grain (0),oui,539069
mâtures de vaisseau,0,Pas grain (0),oui,539069
mâtures de vaisseau complète de 21 pièces chaque,0,Pas grain (0),oui,539069
mâtures de vaisseau complètes de 21 pièces chaque,0,,oui,1391
mâtures en 56 pièces,1,,non,1391
maugrebine,49,Pas grain (0),non,539069
maune,1,Pas grain (0),non,539069
maurelle,3,Pas grain (0),non,539069
mauris,1,Pas grain (0),non,539069
maurs,2,Pas grain (0),non,539069
mautes à mulets,1,Pas grain (0),non,539069
Mazamet,4,Pas grain (0),non,539069
mazon,1,Pas grain (0),non,539069
mecerie de bois,0,Pas grain (0),oui,539069
mèche à mousquet,0,Pas grain (0),oui,539069
mèche de chandelles flambeaux et lampes,0,Pas grain (0),oui,539069
mèche de lampe,0,Pas grain (0),oui,539069
mèches,64,Pas grain (0),non,539069
mèches à canons,42,Pas grain (0),non,539069
mèches à chandelle,5,Pas grain (0),non,539069
mèches à flambeau,1,Pas grain (0),non,539069
mèches à mousquet,1,Pas grain (0),non,539069
mèches d'étoupes de chanvre ou de lin,4,Pas grain (0),non,539069
mèches d'étoupes de fil de chanvre ou en lin,2,Pas grain (0),non,539069
mèches de chandelles flambeaux et lampes,2,Pas grain (0),non,539069
mèches de coton,1,Pas grain (0),non,539069
mèches de coton pour chandelle,1,Pas grain (0),non,539069
mèches de lampe,1,Pas grain (0),non,539069
mèches de souffre,1,Pas grain (0),non,539069
mèches de tarière et herminettes,1,Pas grain (0),non,539069
mèches et soufre,1,Pas grain (0),non,539069
mèches flambeaux et chandelles et lampes,0,Pas grain (0),oui,539069
mèches soufrées,50,Pas grain (0),non,539069
mechoacam,15,Pas grain (0),non,539069
médailles,3,Pas grain (0),non,539069
médailles antiques,1,Pas grain (0),non,539069
médailles d'argent,2,Pas grain (0),non,539069
médaillons de terre,2,Pas grain (0),non,539069
médicament composés,67,Pas grain (0),non,539069
médicaments,289,Pas grain (0),non,539069
médicaments composés,21,Pas grain (0),non,539069
médicaments composés autre qu'eau distillée au poids,1,Pas grain (0),non,539069
médicaments composés autres qu'eau distillée à la valeur,1,Pas grain (0),non,539069
médicaments composés déclarés à la valeur,1,Pas grain (0),non,539069
médicaments composés déclarés au poids,2,Pas grain (0),non,539069
meffles,1,Pas grain (0),non,539069
megelanne,1,Pas grain (0),non,539069
mélangées,2,Pas grain (0),non,539069
mélasse,13,Pas grain (0),non,539069
mélasse des colonies françaises,1,Pas grain (0),non,539069
mélasse et sirop,1,Pas grain (0),non,539069
melle,1,Pas grain (0),non,539069
melon,2,Pas grain (0),non,539069
melon d'eau,2,Pas grain (0),non,539069
membrures,2,Pas grain (0),non,539069
membrures de 7 pieds,1,Pas grain (0),non,539069
ménage,5,Pas grain (0),non,539069
ménages,0,Pas grain (0),oui,539069
menie,1,Pas grain (0),non,539069
menottes de cuivre,3,Pas grain (0),non,539069
menottes de fer,1,Pas grain (0),non,539069
mentes à moulir,1,Pas grain (0),non,539069
mentes à taillandier,1,Pas grain (0),non,539069
menu charbon de terre,1,Pas grain (0),non,539069
menu charbon de terre dit sméegruys,1,Pas grain (0),non,539069
menue graine,0,Pas grain (0),oui,539069
menuiserie,3,Pas grain (0),non,539069
menus grains,3,Menus grains (3),non,3252
menus sommiers,1,Pas grain (0),non,539069
menutés,1,Pas grain (0),non,539069
mercerie,3606,Pas grain (0),non,539069
mercerie ???,3,Pas grain (0),non,539069
mercerie à la valeur,5,Pas grain (0),non,539069
mercerie bimbeloterie,66,Pas grain (0),non,539069
mercerie commune,226,Pas grain (0),non,539069
mercerie cru,1,Pas grain (0),non,539069
mercerie d'Allemagne,1,Pas grain (0),non,539069
