marchandises,orthographic_normalization_class,état_du_travail,nbr_occurences_source,nbr_occurences_ortho
///Matières d'Or et d'argent///Argenterie et orfévrerie,matières d'or et d'argent argenterie et orfévrerie,,4,9
///Matières d'Or et d'argent///Argenteries et orfévrerie,matières d'or et d'argent argenterie et orfévrerie,,5,9
///Matieres d'Or et d'argent///Monnaies au type étranger,matières d'or et d'argent monnaies au type étranger,,1,7
"///Matières d'Or et d'argent///Monnaies étrangères , ou lingots",matières d'or et d'argent monnaies étrangères ou lingots,,10,14
///Matières d'or et d'argent///Monnaies étrangères et lingots,matières d'or et d'argent monnaies étrangères et lingots,,3,3
///Matières d'Or et d'argent///Monnaies étrangères ou lingots,matières d'or et d'argent monnaies étrangères ou lingots,,4,14
///Matieres d'Or et d'argent///Orfévrerie,matières d'or et d'argent orfévrerie,,7,34
///Matières d'or et d'argent///Orfévrerie,matières d'or et d'argent orfévrerie,,11,34
///Métaux///Argent vif,métal argent vif,,7,7
///Métaux///Articles réunis,métal articles réunis,,4,4
///Métaux///Autres métaux,métal autre métal,,29,29
///Métaux///Cuivre,métal cuivre,,28,28
"///Métaux///Cuivre, bronze et laiton",métal cuivre bronze et laiton,,15,34
"///Métaux///Cuivre, bronze et Laiton",métal cuivre bronze et laiton,,10,34
"///Métaux///Cuivre,bronze et laiton",métal cuivre bronze et laiton,,9,34
///Métaux///Etain,métal étain,,12,12
///Métaux///Fer blanc,métal fer-blanc,,6,18
///Métaux///Fer-blanc,métal fer-blanc,,9,18
///Métaux///Fers,métal fer,,37,37
///Métaux///Fers blanc,métal fer-blanc,,3,18
///Métaux///Fers et aciers,métal fer et acier,,42,42
///Métaux///plomb,métal plomb,,8,26
///Métaux///Plomb,métal plomb,,18,26
///Objets manufacturés///Armes,objets manufacturés armes,,1,1
///Objets manufacturés///Articles réunis,objets manufacturés articles réunis,,21,21
"///Objets manufacturés///Bonneterie en fil , coton et laine",objets manufacturés bonneterie en fil coton et laine,,11,15
"///Objets manufacturés///Bonneterie en fil, coton et laine",objets manufacturés bonneterie en fil coton et laine,,4,15
///Objets manufacturés///Bonneterie ordinaire en coton et laine,objets manufacturés bonneterie ordinaire en coton et laine,,5,5
///Objets manufacturés///Bonneteries de soie,objets manufacturés bonneterie de soie,,48,48
///Objets manufacturés///Bonneteries diverses,objets manufacturés bonneterie diverse,,36,36
///Objets manufacturés///chapellerie,objets manufacturés chapellerie,,1,45
///Objets manufacturés///Chapellerie,objets manufacturés chapellerie,,44,45
///Objets manufacturés///Dentelles,objets manufacturés dentelle,,40,40
///Objets manufacturés///Dentelles de fil,objets manufacturés dentelle de fil,,8,8
///Objets manufacturés///Draperies,objets manufacturés draperie,,69,69
///Objets manufacturés///Etoffe mélangées de ces matieres,objets manufacturés étoffe mélangée de ces matières,,13,33
///Objets manufacturés///Etoffe riches,objets manufacturés étoffe riche,,15,31
///Objets manufacturés///Etoffes de coton,objets manufacturés étoffe de coton,,26,26
///Objets manufacturés///Etoffes de laine,objets manufacturés étoffe de laine,,32,32
///Objets manufacturés///Etoffes de laine et de poil,objets manufacturés étoffe de laine et de poil,,17,17
///Objets manufacturés///Etoffes de soie,objets manufacturés étoffe de soie,,57,57
///Objets manufacturés///Etoffes diverses,objets manufacturés étoffe diverse,,34,34
///Objets manufacturés///Etoffes en coton et en laine,objets manufacturés étoffe en coton et en laine,,16,16
///Objets manufacturés///Etoffes mélangées de ces matières,objets manufacturés étoffe mélangée de ces matières,,20,33
///Objets manufacturés///Etoffes riches,objets manufacturés étoffe riche,,16,31
"///Objets manufacturés///Gazes, crepes et mouchoirs de soie",objets manufacturés gaze crêpe et mouchoirs de soie,,39,58
"///Objets manufacturés///Gazes, crêpes et mouchoirs de soie",objets manufacturés gaze crêpe et mouchoirs de soie,,19,58
///Objets manufacturés///Mouchoirs divers en fil et coton,objets manufacturés mouchoirs divers en fil et coton,,28,28
///Objets manufacturés///Mouchoirs divers et des Indes,objets manufacturés mouchoirs divers et des Indes,,17,17
///Objets manufacturés///Mousselines,objets manufacturés mousseline,,24,24
///Objets manufacturés///Objets manufacturés réunis,objets manufacturés objets manufacturés réunis,,27,27
///Objets manufacturés///Rubannerie de soie,objets manufacturés rubannerie de soie,,39,39
///Objets manufacturés///Rubannerie ordinaire,objets manufacturés rubannerie ordinaire,,16,16
///Objets manufacturés///Rubanneries diverses,objets manufacturés rubannerie diverse,,3,3
"///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans",objets manufacturés soierie en étoffe mouchoirs gaze et ruban,,12,40
"///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans",objets manufacturés soierie en étoffe mouchoirs gaze et ruban,,15,40
"///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans",objets manufacturés soierie en étoffe mouchoirs gaze et ruban,,13,40
///Objets manufacturés///Toile de coton,objets manufacturés toile de coton,,12,41
///Objets manufacturés///Toile de fil et coton,objets manufacturés toile de fil et coton,,11,38
///Objets manufacturés///Toiles de coton,objets manufacturés toile de coton,,29,41
"///Objets manufacturés///Toiles de coton, mousseline et nankin",objets manufacturés toile de coton mousseline et Nankin,,11,11
"///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes",objets manufacturés toile de coton mousseline Nankin et des Indes,,10,10
///Objets manufacturés///Toiles de fil et coton,objets manufacturés toile de fil et coton,,27,38
///Objets manufacturés///Toiles de lin et chanvre,objets manufacturés toile de lin et chanvre,,21,21
///Objets manufacturés///Toiles de lin et de chanvre,objets manufacturés toile de lin et de chanvre,,41,41
///Objets manufacturés///Toiles diverses de lin et de chanvre,objets manufacturés toile diverse de lin et de chanvre,,15,15
///Objets manufacturés///Toiles diverses en lin et chanvre,objets manufacturés toile diverse en lin et chanvre,,29,29
"///Objets manufacturés///Toiles en coton, mousseline et nankin",objets manufacturés toile en coton mousseline et Nankin,,11,11
1///Matières première///Articles réunis,matières premières articles réunis,,9,103
1///Matières première///Coton,matières premières coton,,16,78
1///Matières première///Fil,matières premières fil,,11,51
1///Matières première///Laine,matières premières laine,,15,86
1///Matières première///Soie,matières premières soie,,12,30
1///Matières premières///Chanvre,matières premières chanvre,,49,49
1///Matières premières///Chanvre et lin,matières premières chanvre et lin,,6,6
1///Matières premières///Coton,matières premières coton,,62,78
1///Matières premières///Fil,matières premières fil,,40,51
1///Matières premières///Laine,matières premières laine,,71,86
1///Matières premières///Lin,matières premières lin,,22,22
"1///Matières premières///Poil de chevre, lièvre et lapin",matières premières poil de chèvre lièvre et lapin,,1,9
"1///Matières premières///Poil de chèvre, lièvre et lapin",matières premières poil de chèvre lièvre et lapin,,8,9
1///Matières premières///Soie,matières premières soie,,18,30
1///Matières premières///Soie et filoselle,matières premières soie et filoselle,,35,35
"1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons",subsistances bestiaux en bœuf vaches porcs moutons,,5,17
"1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons",subsistances bestiaux en bœuf vaches porcs moutons,,6,17
"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",subsistances bestiaux en bœuf vaches veaux porcs et moutons,,6,12
"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",subsistances bestiaux en bœuf vaches veaux porcs et moutons,,6,12
"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",subsistances bestiaux en bœuf vaches porcs moutons,,6,17
"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",subsistances bestiaux en bœuf vaches veaux et moutons,,6,6
1///Subsistances///Beurre,subsistances beurre,,8,25
1///Subsistances///Bière,subsistances bière,,3,3
"1///Subsistances///Bière, cidre et vinaigre",subsistances bière cidre et vinaigre,,1,1
1///Subsistances///Biscuit de mer,subsistances biscuit de mer,,1,1
1///Subsistances///Biscuits de mer et pâtes d'Italie,subsistances biscuit de mer et pâte d'Italie,,1,1
1///Subsistances///Blé,subsistances blé,,15,15
1///Subsistances///Blé et autres grains,subsistances blé et autres grains,,17,17
1///Subsistances///Blé et autres grains comestibles,subsistances blé et autres grains comestibles,,22,56
"1///Subsistances///Blé et autres grains, comestibles",subsistances blé et autres grains comestibles,,34,56
1///Subsistances///Chairs salées,subsistances chair salée,,44,44
1///Subsistances///Eaux de vie,subsistances eau-de-vie,,23,68
1///Subsistances///Eaux-de-vie,subsistances eau-de-vie,,45,68
1///Subsistances///Farine,subsistances farine,,16,16
1///Subsistances///Farine et biscuit de mer,subsistances farine et biscuit de mer,,13,27
1///Subsistances///Farine et biscuits de mer et pâtes d'Italie,subsistances farine et biscuit de mer et pâte d'Italie,,9,9
1///Subsistances///Farine et pâtes d'Italie,subsistances farine et pâte d'Italie,,1,1
1///Subsistances///Fromage,subsistances fromage,,25,69
1///Subsistances///Fromages,subsistances fromage,,28,69
1///Subsistances///Fruits divers,subsistances fruits divers,,60,60
