goods_simpl_classification,nbr_occurences_simpl,sitc_classification,imprimatur,obsolete,nbr_occurences_sitc
licols de cuirs,1,7,,non,8907
licols en sangles,1,7,,non,8907
licols et sangles,2,7,,non,8907
lie d'huile,2,5,,non,49562
lie de bière,1,2,,non,73883
lie de vin,19,5,x,non,49562
liège,614,6b,x,non,17579
liège commun,1,6b,,non,17579
liège d'Espagne et du Portugal,2,6b,x,non,17579
liège en bois,1,6b,x,non,17579
liège en bouchons,1113,6b,,non,17579
liège en bouchons et en planches,15,6b,,non,17579
liège en catalant,1,???,x,non,4790
liège en feuilles,11,6b,,non,17579
liège en manches,10,6b,,non,17579
liège en planches,330,6b,,non,17579
liège et provisions,1,9b,,non,6225
liège fin,6,2,x,non,73883
liège grossier,1,2,,non,73883
lien de fer,0,6j,,oui,39131
liens de chanvre,1,6d,x,non,8013
liens de fer,2,6j,,non,39131
liens de fil,26,6i,x,non,21622
liens et fil,1,6i,x,non,21622
liettus,1,???,,non,4790
lièvres,9,0a,,non,80056
ligature,25,6i,x,non,21622
ligature de fil et soie,4,6f,x,non,12147
ligature de poil,1,6e,,non,11419
ligature de soie,2,6f,,non,12147
ligature ou droguet de fil et laine,3,6i,x,non,21622
lignes,5,9c,,non,11345
lignes à pêcher,119,8,,non,59809
lignes à pêcher pour l'entrepôt,1,8,,non,59809
lignes d'acier,1,6j,,non,39131
lignes d'Allemagne,1,9c,,non,11345
lignum,1,2,,non,73883
lillas,11,2,x,non,73883
limaces et sangsues et vipères,2,0a,,non,80056
limaille,4,2,x,non,73883
limaille d'argent,1,2,x,non,73883
limaille de cuivre,9,2,x,non,73883
limaille de cuivre et vieux cuivre brisé,1,2,,non,73883
limaille de fer,2,2,x,non,73883
limaille de laiton,2,2,,non,73883
limaille et paille de fer,1,2,,non,73883
limaille mâche-fer et paille,2,2,,non,73883
limancais,15,6g,,non,11410
limea,3,???,,non,4790
limeneas,295,6g,x,non,11410
limeneas bleues,1,6g,,non,11410
limeneas des Indes,2,6g,x,non,11410
limeneas larges,1,6g,,non,11410
limes,237,6j,x,non,39131
limes d'acier,91,6j,x,non,39131
limes d'acier et de fer,3,6j,x,non,39131
limes d'Autriche,1,6j,x,non,39131
limes de fer,77,6j,x,non,39131
limes de fer pour l'entrepôt de la Compagnie des Indes,1,6j,,non,39131
limes en feuilles,1,6j,,non,39131
limes et râpes à polir dites fines,1,6j,,non,39131
limes et râpes communes,6,6j,,non,39131
limes et râpes empaillées,1,6j,,non,39131
limes et râpes fines,7,6j,,non,39131
limes grosses,1,6j,,non,39131
limes petites,1,6j,,non,39131
limons,16,0a,x,non,80056
limons frais,4,0a,x,non,80056
limons ou citrons,1,0a,,non,80056
limons salés,1,0a,,non,80056
lin,308,2,x,non,73883
lin ???,2,2,x,non,73883
lin à filer,1,2,,non,73883
lin apprêté,13,2,x,non,73883
lin brut,1,2,x,non,73883
lin commun,9,2,x,non,73883
lin cru,612,2,x,non,73883
lin de Hollande,1,2,x,non,73883
lin divers,15,2,x,non,73883
lin du Béarn,5,2,x,non,73883
lin écru,8,2,x,non,73883
lin en bottes,4,2,,non,73883
lin en car,1,2,x,non,73883
lin en grosse pliure,1,2,,non,73883
lin en pierre,14,2,x,non,73883
lin en tiges roulées sèches et vertes,3,2,,non,73883
lin et pierres,1,9b,x,non,6225
lin et son étoupes,1,2,,non,73883
lin non apprêté,4,2,,non,73883
lin non battu et vert,1,2,x,non,73883
lin peigné,491,2,x,non,73883
lin peigné en laine,1,2,,non,73883
lin préparé,2,2,,non,73883
lin prêt à filer,1,2,,non,73883
lin sans paille et en potasse,1,2,x,non,73883
lin sec non roui,1,2,x,non,73883
lin taillé et étoupes,8,2,,non,73883
lin vert roui et non roui,1,2,x,non,73883
lina,1,???,,non,4790
linceuls,5,6i,,non,21622
linceuls vieux,4,6i,,non,21622
linge,20,6i,x,non,21622
linge ???,1,6i,,non,21622
linge à pansements,1,6i,x,non,21622
linge à pansements vieux,5,6i,x,non,21622
linge à papier vieux,3,2,,non,73883
linge à serviettes,1,6i,x,non,21622
linge à tapisserie,1,6i,x,non,21622
linge commun à visage d'homme,1,6i,,non,21622
linge damassé,2,6i,x,non,21622
linge damassé ouvragé et uni,2,6i,,non,21622
linge de chanvre et de lin damassé en pièce et de table,1,6h,,non,16365
linge de chanvre et de lin damassé en pièce et de table admis au droit de 5 p. c/o de la valeur par autorisation,1,6h,,non,16365
linge de chanvre et de lin ouvragé en pièce et de table,2,6h,,non,16365
linge de lin,1,6d,,non,8013
linge de lin fin,1,6d,x,non,8013
linge de table,520,6i,x,non,21622
linge de table à nappes,5,6i,,non,21622
linge de table à serviettes,14,6i,,non,21622
linge de table canapés,4,8,,non,59809
linge de table chemises,1,8,,non,59809
linge de table commun,2,6i,,non,21622
linge de table damassé,6,6i,x,non,21622
linge de table de chanvre et de lin en pièces,2,6h,,non,16365
linge de table de lin,10,6d,,non,8013
linge de table de toile,12,6h,,non,16365
linge de table et serviettes,1,6i,,non,21622
linge de table fin,1,6i,,non,21622
linge de table nappes ouvrées,1,6i,,non,21622
linge de table neuf,1,6i,x,non,21622
linge de table ordinaire,1,6i,,non,21622
linge de table ouvré,23,6i,x,non,21622
linge de table ouvré nappes,1,6i,,non,21622
linge de table serviettes ??? nappes,1,6i,,non,21622
linge de table vieux,1,6i,x,non,21622
linge de toile de lin,2,6d,x,non,8013
linge neuf,2,6i,,non,21622
linge ouvré de souillé,1,6i,,non,21622
linge ouvré serviettes,1,6i,,non,21622
linge pour papier vieux,2,2,x,non,73883
linge supporté,5,???,x,non,4790
linge travaillé,1,6i,x,non,21622
linge uni,2,6i,x,non,21622
linge vieux,129,6i,x,non,21622
linge vieux pour entrepôt,1,6i,,non,21622
lingerie,162,8,x,non,59809
lingerie commune,2,8,x,non,59809
lingerie de chanvre,1,8,x,non,59809
lingerie de coton,1,8,x,non,59809
lingerie de lin,26,8,x,non,59809
lingerie de lin et de toile guingan,1,8,,non,59809
lingerie de lit et de tables,4,8,x,non,59809
lingerie de tables,2,8,x,non,59809
lingerie de toile d'étoupes,1,8,,non,59809
lingerie de toile de lin,9,8,x,non,59809
lingerie des Indes,1,8,x,non,59809
lingerie en chanvre,1,8,x,non,59809
lingerie ouvrée,2,8,x,non,59809
lingerie pour nègre,1,8,,non,59809
lingerie vieille,1,6i,x,non,21622
lingettes,5,8,,non,59809
lingots d'or,7,9a,,non,1068
lingots d'or du Brésil reçus par l'envoi d'Angleterre,1,9a,,non,1068
lingots d'or venant de Francfort par Strasbourg,1,9a,x,non,1068
lingots de cuivre,1,6j,x,non,39131
lingots de cuivre et planches de cuivre,2,6j,x,non,39131
lingots et monnaies étrangères,150,9a,x,non,1068
lingots et monnaies étrangères d'argent et d'or,3,9a,x,non,1068
lingots ou monnaies étrangères d'argent et d'or,14,9a,x,non,1068
linnieuse,6,???,x,non,4790
linnieuse de poil,2,???,x,non,4790
linon,3,6d,x,non,8013
linon de lin,8,6d,x,non,8013
lions de faïence,1,6k,,non,17039
liqueur de légumes,1,1,,non,29116
liqueur de Malaga,1,1,,non,29116
liqueurs,1921,1,x,non,29116
liqueurs à boire,302,1,x,non,29116
liqueurs au fiasque,5,1,x,non,29116
liqueurs communes,28,1,x,non,29116
liqueurs d'Autriche,1,1,,non,29116
liqueurs de bière,1,1,,non,29116
liqueurs de côte-rôtie,1,1,,non,29116
liqueurs de Dantzig,1,1,,non,29116
liqueurs de Marseille,6,1,x,non,29116
liqueurs de sirop,3,1,x,non,29116
liqueurs de ville,28,1,x,non,29116
liqueurs distillées,1,1,,non,29116
liqueurs diverses,137,1,,non,29116
liqueurs en jus de citron,1,1,x,non,29116
liqueurs en maroquin,1,1,,non,29116
liqueurs en sirop,1,1,x,non,29116
liqueurs en sirop fin,3,1,,non,29116
liqueurs et rhum,10,1,x,non,29116
liqueurs et sirop,173,1,x,non,29116
liqueurs et sirop fin,34,1,x,non,29116
liqueurs fines,4,1,,non,29116
liqueurs médicinales,1,5,x,non,49562
liqueurs rhum,4,1,x,non,29116
liqueurs sirop,3,1,x,non,29116
liqueurs sirop fin,19,1,x,non,29116
lisières,1,6i,x,non,21622
lisières de drap,33,6i,x,non,21622
lisières de velours,4,6i,x,non,21622
lisières et rognures de drap,1,6i,,non,21622
lisses,1,9c,,non,11345
lissoirs de verre,1,6j,,non,39131
listeaux,1,9c,,non,11345
listeaux de sapin,1,6b,,non,17579
listonnerie,3,6i,,non,21622
lit d'étoffe de satin,0,8,,oui,59809
lit d'indienne,3,8,x,non,59809
lit de bourre,4,8,x,non,59809
lit de bourre de chèvre,1,8,x,non,59809
lit de camp,2,8,,non,59809
lit de camp de fer,1,8,,non,59809
lit de campagne,1,8,x,non,59809
lit de fer,1,8,x,non,59809
lit de fil,1,8,,non,59809
lit de plume,24,8,x,non,59809
lit de repos,1,8,,non,59809
lit de sangle,1,8,x,non,59809
lit de satin,9,8,,non,59809
lit de satin brodé,2,8,,non,59809
lit de satin brodé chantournés,1,8,,non,59809
lit de satin brodé ciels,1,8,,non,59809
lit de satin brodé couvertures,1,9b,,non,6225
lit de satin brodé dossiers,1,8,,non,59809
lit de satin brodé grandes pentes,1,8,,non,59809
lit de satin brodé petites,1,8,,non,59809
lit de satin brodé rideaux,1,8,,non,59809
lit de satin brodé tabourets,1,8,,non,59809
lit de satin brodé toilettes,1,8,,non,59809
lit de satin brodé...,9,8,,non,59809
lit de serge garnie,1,8,,non,59809
lit de siamoise,1,8,,non,59809
lit en 16 pièces,1,8,,non,59809
literie,2,8,x,non,59809
litharge,529,5,x,non,49562
litharge d'argent et d'or,3,5,x,non,49562
litharge d'or,26,5,x,non,49562
litharge dur,1,5,x,non,49562
litharge jaune ou rouge,3,5,,non,49562
litharge pour l'entrepôt,1,5,,non,49562
lithium,1,5,,non,49562
litières,2,8,,non,59809
litières de drap,1,8,,non,59809
litrage,1,???,,non,4790
livres,28,8,x,non,59809
livres anglais,1,8,,non,59809
livres d'imprimerie,1,8,,non,59809
livres de commerce,1,8,,non,59809
livres de musique,1,8,x,non,59809
livres de piété,1,8,x,non,59809
livres en blanc,43,6c,,non,4970
livres en blanc et de comptes,1,6c,x,non,4970
livres en feuilles,6,6c,,non,4970
livres en langue française,5,8,,non,59809
livres en langue française et autres ouvrages publiés à l'étranger,1,8,,non,59809
livres en langue française imprimés en France,1,8,,non,59809
livres en langue française mémoires scientifiques,1,8,,non,59809
livres en langue française publiés à l'étranger,1,8,,non,59809
livres en langue française réimprimés sur édition françaises,1,8,,non,59809
livres en langues étrangères et mortes,1,8,,non,59809
livres en langues française et étrangères,2,8,,non,59809
livres en langues mortes ou étrangères,6,8,,non,59809
livres espagnols,1,8,,non,59809
livres et registres,1,6c,,non,4970
livres hébreux,1,8,,non,59809
livres imprimés,3,8,x,non,59809
livres imprimés en France,2,8,,non,59809
livres journal en papier blanc,1,6c,,non,4970
livres non reliés,1,8,,non,59809
livres reliés,1,8,,non,59809
lizal toile,1,6h,,non,16365
locronan,22,6h,,non,16365
locronan pièce de 50 aunes,2,6h,,non,16365
lohoria,2,???,,non,4790
longs vieux,1,???,,non,4790
loques,1,2,,non,73883
loriaque,1,???,,non,4790
loup marin,1,0a,x,non,80056
loupine,1,???,,non,4790
loupins,4,???,,non,4790
louveas,2,???,,non,4790
lozes,10,???,,non,4790
luge,3,8,x,non,59809
luge en planches,1,8,,non,59809
lumières,1,8,,non,59809
lunettes,55,8,,non,59809
lunettes à charnière d'argent,1,8,,non,59809
lunettes d'approche,9,8,,non,59809
lunettes d'écaille,2,8,,non,59809
lunettes de corne,1,8,,non,59809
lunettes de verre,1,8,,non,59809
lunettes et microscope,1,8,,non,59809
lunettes garnies de corne,1,8,,non,59809
luspeck,1,???,,non,4790
lustres,181,8,,non,59809
lustres d'argent et d'or,1,8,,non,59809
lustres de bois doré,1,8,,non,59809
lustres de cristal,2,8,,non,59809
lustres de cristal et verre,1,8,,non,59809
lustres de Venise,58,8,,non,59809
lustres vieux,1,8,,non,59809
lustrine,12,6f,x,non,12147
luth,5,8,,non,59809
luzes,1,???,,non,4790
lycopodes,1,2,,non,73883
macaron,1,0a,,non,80056
macaroni,1,0a,,non,80056
macarons,5,0a,,non,80056
mâche,1,0a,,non,80056
mâchefer,5,2,,non,73883
maches de fer,2,2,,non,73883
machicot,9,???,,non,4790
machine à éteindre le feu,1,7,,non,8907
machine à feu,1,7,x,non,8907
machine à feu pour mine,1,7,,non,8907
machine militaire,1,7,,non,8907
machine pour fabriquer le tabac,1,7,x,non,8907
machines et mécaniques,7,7,,non,8907
machines pour couper le tabac,1,7,,non,8907
macis,86,0b,x,non,24735
macis des entrepôts,1,0b,,non,24735
Madères,2,1,,non,29116
Madras,3,6g,,non,11410
Madras mouchoirs,1,8,,non,59809
madriers,3,6i,,non,21622
madriers d'acajou,24,6b,x,non,17579
madriers d'acajou de 10 à 11 pieds,1,6b,x,non,17579
madriers d'acajou de 10 pieds,1,6b,x,non,17579
madriers d'acajou de 12 pieds,1,6b,x,non,17579
madriers d'acajou de 6 à 8 pieds,1,6b,x,non,17579
madriers d'acajou de 7 à 6 pieds,1,6b,x,non,17579
madriers d'acajou de 7 à 8 pieds,1,6b,x,non,17579
madriers d'acajou de 8 à 10 pieds,1,6b,x,non,17579
madriers d'acajou de 8 pieds,2,6b,x,non,17579
madriers d'acajou de 9 à 8 pieds,1,6b,x,non,17579
madriers d'acajou de 9 pieds,1,6b,x,non,17579
madriers de acajou,15,6b,x,non,17579
madriers de acajou de 10 à 11 pieds,1,6b,x,non,17579
madriers de acajou de 10 pieds,1,6b,x,non,17579
madriers de acajou de 11 pieds,1,6b,x,non,17579
madriers de acajou de 12 pieds,1,6b,x,non,17579
madriers de acajou de 5 pieds,1,6b,x,non,17579
madriers de acajou de 6 pieds,1,6b,x,non,17579
madriers de acajou de 9 pieds,1,6b,x,non,17579
madriers de bois,2,6b,x,non,17579
madriers de bois de cayenne,1,6b,,non,17579
madriers de bois de couleur,1,6b,x,non,17579
madriers de chêne,5,6b,,non,17579
madriers de chêne de 12 pieds,2,6b,,non,17579
madriers de chêne de 15 pieds,1,6b,,non,17579
madriers de chêne de 22 pieds,1,6b,,non,17579
madriers de chêne de 24 pieds,1,6b,,non,17579
madriers de chêne de 8 pieds,2,6b,x,non,17579
madriers de gaïac de 9 pieds,1,6b,,non,17579
madriers de marbre,1,6k,,non,17039
madriers de merisier,2,6b,,non,17579
madriers de noyer,10,6b,,non,17579
madriers de noyer de 10 pieds,1,6b,x,non,17579
madriers de noyer de 15 pieds,1,6b,,non,17579
madriers de Prusse,1,6b,x,non,17579
madriers de sapin,4,6b,x,non,17579
mages de fer,1,9c,,non,11345
magnésie,2,2,x,non,73883
magnol,1,???,,non,4790
magots,1,9c,,non,11345
mahaleb,1,0a,x,non,80056
maiclais,1,???,,non,4790
maillicot,1,???,,non,4790
maines,1,???,,non,4790
maines avec leurs fers,1,???,,non,4790
maïs et seigle de Corse grain,1,0a,,non,80056
maïs et seigle farine,5,0a,,non,80056
maïs et seigle grain,5,0a,,non,80056
malbroug,5,???,,non,4790
malemole,9,6g,,non,11410
malemole de 12 aunes,1,6g,,non,11410
malemole dome,1,6g,,non,11410
malles,14,8,,non,59809
malles ???,1,8,,non,59809
malles d'étoffes d'or,1,8,,non,59809
malles de cuir,3,8,x,non,59809
malles et valises et coffres,2,8,,non,59809
malles travaillées,1,8,,non,59809
malles vides,1,8,,non,59809
mallettes travaillées,1,8,,non,59809
mallons,1,6k,,non,17039
mallons ???,1,6k,,non,17039
mallons de briques,1,6k,,non,17039
malreaux,3,???,,non,4790
malt,1,2,,non,73883
mambres de chêne de 10 pieds,1,6b,,non,17579
mamoudis,1,???,,non,4790
mana,1,???,,non,4790
manades,1,???,,non,4790
manche de gaffe de 11 centimètre inclusivement à 15 exclusivement,2,7,,non,8907
manche de gaffe de 6 à 11 centimètres,2,7,,non,8907
manche de gaffe de 6 centimètres inclusivement à 11 exclusivement,2,7,,non,8907
manches à balais,11,6j,,non,39131
manches à lave-place,10,6j,,non,39131
manches brodées,3,8,,non,59809
manches d'alènes,1,6j,,non,39131
manches de bois blanc,1,6b,,non,17579
manches de bois de gaffes,8,6j,,non,39131
manches de bois pour brosse,1,6j,,non,39131
manches de brosses,1,6j,,non,39131
manches de café,1,9c,,non,11345
manches de couteau,1,6j,,non,39131
manches de couteau de bois,1,6j,,non,39131
manches de fouets,1,8,,non,59809
manches de gaffes,89,7,,non,8907
manches de gaffes de 11 à 15 centimètres,1,7,,non,8907
manches de gaffes de 12 pieds,1,7,,non,8907
manches de gaffes de 14 à 16 pieds,1,7,,non,8907
manches de gaffes de 18 pieds,1,7,,non,8907
manches de gaffes et livardes,1,9c,,non,11345
manches de mail,26,6b,,non,17579
manches de pinceau,1,6b,,non,17579
manches de sapin,1,6b,,non,17579
manches pour fourches et pour balais,1,6j,,non,39131
manches pour pioches,5,6j,,non,39131
manchettes,9,8,,non,59809
manchettes brodée,151,8,,non,59809
manchettes d'acier,1,6j,x,non,39131
manchettes d'or,1,8,,non,59809
manchettes de batiste,1,8,,non,59809
manchettes de coton,2,8,x,non,59809
manchettes de dentelle,5,8,,non,59809
manchettes de mousseline,3,8,x,non,59809
manchettes de mousseline brodée,1,8,x,non,59809
manchettes et mouchoirs brodés,1,8,,non,59809
manchettes et mouchoirs de mousseline,1,8,,non,59809
manchons,68,8,,non,59809
manchons communs,4,8,,non,59809
manchons de laine,1,8,,non,59809
manchons de martre,1,8,,non,59809
manchons de peau de grèbe,1,8,x,non,59809
manchons de peau de loup et d'ours,1,8,x,non,59809
manchons de plume,4,8,,non,59809
manchons de prix,1,8,x,non,59809
manchons de renard,2,8,,non,59809
manchons de tigre,2,8,,non,59809
manchons de velours,1,8,,non,59809
manchons et platines,1,9c,x,non,11345
manchons façon de martre,1,8,,non,59809
manchons fins,1,8,,non,59809
manchons pour femme,1,8,,non,59809
mandarine,11,0a,,non,80056
mandes et berces d'osier,1,8,,non,59809
mandragore,1,2,,non,73883
maneque,1,9c,,non,11345
manganèse,42,2,x,non,73883
mangarbine,1,???,,non,4790
manicot,4,???,,non,4790
maniguette,51,0b,x,non,24735
manille,4,6j,x,non,39131
manivelles,1,6j,,non,39131
manivelles de fer,1,6j,x,non,39131
manne,846,9c,x,non,11345
manne d'osier,1,8,,non,59809
manne de Calabre,93,9c,x,non,11345
manne fine,1,2,x,non,73883
manne vide,1,8,,non,59809
mannequins,1,8,,non,59809
manœuvre en grelin,1,7,,non,8907
manoudis,1,???,,non,4790
manouf,1,???,,non,4790
mansonque brodé,1,???,,non,4790
manteaux,11,8,,non,59809
manteaux à nègre,2,8,,non,59809
manteaux courts,1,8,,non,59809
manteaux d'écarlate,2,8,,non,59809
manteaux d'écarlate brodés d'or et d'argent,1,8,,non,59809
manteaux de drap,1,8,,non,59809
manteaux galonnés,2,8,,non,59809
manteaux vieux,2,8,,non,59809
mantelet,1,8,x,non,59809
mantelets,9,8,,non,59809
mantelets courts,1,8,,non,59809
mantelets de drap écarlate,1,8,,non,59809
mantelets de soie,1,8,,non,59809
mantelets pour femme,1,8,,non,59809
mantes,1,???,,non,4790
mantilles d'écarlate brodées d'or,1,8,,non,59809
maquereaux,54,0a,,non,80056
maquereaux frais,2,0a,,non,80056
maquereaux salés,48,0a,,non,80056
maquereaux salés ou marinés,1,0a,,non,80056
maquet,83,2,,non,73883
marbre,154,2,x,non,73883
marbre à broyer,1,6k,,non,17039
marbre à jouer,17,6k,x,non,17039
marbre à marbrer couleurs,1,2,,non,73883
marbre bâtard,3,2,,non,73883
marbre bille,2,2,,non,73883
marbre blanc,1,2,,non,73883
marbre brun,12,2,x,non,73883
marbre brut,260,2,x,non,73883
marbre brut en morceaux,1,2,,non,73883
marbre brut en pierres,27,2,,non,73883
marbre brut équarri en marbre statuaire ébauché,7,6k,,non,17039
marbre brut et ouvré,1,9c,,non,11345
marbre chique,2,2,,non,73883
marbre de Calabre,1,2,,non,73883
marbre en blocs,2,2,,non,73883
marbre en carreaux,3,6k,,non,17039
marbre en pièces,1,2,,non,73883
marbre en pierre,25,2,x,non,73883
marbre en sable,1,2,,non,73883
marbre et mortiers,2,2,,non,73883
marbre mortiers,4,2,,non,73883
marbre moulé poli ou sculpté,7,6k,,non,17039
marbre noir travaillé,1,6k,,non,17039
marbre rond,1,6k,x,non,17039
marbre rouge et gris,1,2,,non,73883
marbre scié sans autre main-d'œuvre ayant d'épaisseur 10 centimètres et plus,1,2,,non,73883
marbre scié sans autre main-d'œuvre ayant d'épaisseur 16 centimètres et plus,2,2,,non,73883
marbre scié sans autre main-d'œuvre ayant d'épaisseur moins de 10 centimètres,1,2,,non,73883
marbre scié sans autre main-d'œuvre ayant d'épaisseur moins de 16 centimètres,3,2,,non,73883
marbre travaillé,1,6k,,non,17039
marc d'olive,5,0a,x,non,80056
marc de raisin,9,0a,x,non,80056
marcassin,2,0a,,non,80056
marcassite,4,2,x,non,73883
marchandises,1665,9b,x,non,6225
marchandises à l'estimation,921,9b,x,non,6225
marchandises à la valeur,0,9b,x,oui,6225
marchandises blanche de la Compagnie,0,9b,,oui,6225
marchandises blanches,28,9b,,non,6225
marchandises blanches ???,2,9b,,non,6225
marchandises blanches de la Compagnie des Indes,4,9b,,non,6225
marchandises de détail,1,9b,x,non,6225
marchandises de Flandre,2,9b,,non,6225
marchandises de l'Inde,1,9b,,non,6225
marchandises de la compagnie des Indes,1,9b,,non,6225
marchandises de la Côte,2,9b,,non,6225
marchandises de mode,0,8,,oui,59809
marchandises de modes,148,8,,non,59809
marchandises de Montauban,27,9b,,non,6225
marchandises de Paris,1,8,,non,59809
marchandises de retour,1,9b,,non,6225
marchandises des Indes,8,9b,x,non,6225
marchandises des Indes en petits articles,1,9b,,non,6225
marchandises des prises,2,9b,,non,6225
marchandises dont le plus fort article n'excède pas 10000 livres,15,9b,,non,6225
marchandises en articles de moindre importance,20,9b,,non,6225
marchandises exportées par les port et pays du royaume traités comme étrangers,8,9b,,non,6225
marchandises hors espèces,45,9b,,non,6225
marchandises mêlées de prises anglaises,0,9b,,oui,6225
marchandises mêlées des prises anglaises,1,9b,,non,6225
marchandises non classifiées,1,9b,,non,6225
marchandises prohibées,25,9b,,non,6225
marchandises sèches,15,9b,,non,6225
marchandises venant de l'étranger pour être réexportées aux colonies françaises principalement en armes barres de fers toile Guinée viande salée etc.,10,9b,,non,6225
marche de fer blanche,1,6j,,non,39131
marche de pierre de grison,1,6k,,non,17039
marcottes d'œillets,1,2,x,non,73883
maréchauderie,4,7,,non,8907
marée,1,0a,,non,80056
marée fraiche,6,0a,x,non,80056
marègue,47,6e,x,non,11419
mares,2,???,,non,4790
mares divers,5,???,,non,4790
marete,1,???,,non,4790
mareule,2,???,,non,4790
marine,1,???,,non,4790
marine d'alizari,1,2,,non,73883
marinouttes,2,???,,non,4790
marjolaine,2,2,,non,73883
marle,1,0a,,non,80056
Marly,2,6i,,non,21622
Marly broché,2,6i,,non,21622
Marly de fil,3,6h,,non,16365
Marly de soie,1,6f,,non,12147
Marly plâtrée,1,???,,non,4790
marmelade,3,0a,,non,80056
marmites,1,6j,,non,39131
marmites de composition,1,9c,,non,11345
marmites de cuivre,6,6j,,non,39131
marmites de fer,141,6j,x,non,39131
marmites de fer coulé,2,6j,,non,39131
marmites de fer de fonte,5,6j,x,non,39131
marmites de fer grandes,1,6j,x,non,39131
marmites de fer moyennes,1,6j,x,non,39131
marmites de fer petites,1,6j,,non,39131
marmites de feu,1,6j,x,non,39131
marmites de fonte,4,6j,,non,39131
marmites de potier,1,6k,,non,17039
marmites en fer,282,6j,,non,39131
marne,7,2,x,non,73883
Maroc,53,6i,,non,21622
Maroc aune,1,6i,,non,21622
Maroc de laine,2,6e,,non,11419
Maroc raz de marron,1,6i,,non,21622
Maroc teint de douzaine,2,6i,,non,21622
maronic,1,???,,non,4790
maroquins,17,6a,x,non,20783
marquise,1,8,x,non,59809
marraye,2,???,,non,4790
marregues,21,???,,non,4790
marrons,141,0a,x,non,80056
marrons crus,1,0a,,non,80056
marrons secs,3,0a,,non,80056
marseille,1,???,,non,4790
marsouin,2,0a,x,non,80056
marteaux,3,6k,,non,17039
marteaux de forge,1,6k,,non,17039
martinet de fer,2,6k,,non,17039
martinets à tonnelier,1,6k,,non,17039
martre,1,0a,,non,80056
marue,2,5,x,non,49562
masques,32,8,,non,59809
masques communs,1,8,x,non,59809
masques de cire,1,8,,non,59809
masques de Venise,23,8,,non,59809
masques fins,3,8,x,non,59809
massepain,3,0a,,non,80056
masses,2,9c,,non,11345
masses de bois,1,6j,x,non,39131
masses de coton,16,2,x,non,73883
masses de cuivre,1,2,x,non,73883
masses de cuivre rouge pour être raffiné,1,2,x,non,73883
masses de fer,9,6j,,non,39131
masses de lin,23,2,x,non,73883
masses de mail,3,6b,,non,17579
massicot,46,5,x,non,49562
massicot citron,1,5,,non,49562
massicot fond d'or,1,5,,non,49562
massicot jonquille,1,5,,non,49562
massie,1,???,,non,4790
massis,2,???,,non,4790
massy,1,???,,non,4790
mastaquy,1,???,,non,4790
mastic,122,2,x,non,73883
mastic en larmes,9,2,,non,73883
mastie,1,???,x,non,4790
mastrre,1,???,,non,4790
masulipatan,5,6g,,non,11410
mateaux,1,???,,non,4790
matelas,63,8,x,non,59809
matelas de coton,1,8,,non,59809
matelas de crin,3,8,x,non,59809
matelas de crin et de noppes,1,8,,non,59809
matelas de laine,70,8,x,non,59809
matelas de lit,1,8,x,non,59809
matelas de toile de coton et de fil,1,8,,non,59809
matelas vieux,1,8,x,non,59809
mâtereaux,163,7,x,non,8907
mâtereaux 30 pieds,0,7,x,oui,8907
mâtereaux à barques,1,7,x,non,8907
mâtereaux communs de 30 pieds,1,7,,non,8907
mâtereaux d'acajou de 7 à 8 pieds,1,7,x,non,8907
mâtereaux de 11 à 13 palmes,1,7,,non,8907
mâtereaux de 12 palmes,1,7,,non,8907
mâtereaux de 12 pieds,1,7,x,non,8907
mâtereaux de 14 palmes,1,7,,non,8907
mâtereaux de 14 pieds,1,7,,non,8907
mâtereaux de 15 à 20 pieds,1,7,,non,8907
mâtereaux de 16 à 18 pieds,1,7,,non,8907
mâtereaux de 16 pieds,1,7,x,non,8907
mâtereaux de 18 à 19 pieds,1,7,x,non,8907
mâtereaux de 19 pieds,1,7,x,non,8907
mâtereaux de 20 à 22 pieds,1,7,x,non,8907
mâtereaux de 20 à 24 pieds,1,7,x,non,8907
mâtereaux de 20 pieds,2,7,x,non,8907
mâtereaux de 22 à 26 pieds,1,7,x,non,8907
mâtereaux de 22 pieds,3,7,x,non,8907
mâtereaux de 24,1,7,x,non,8907
mâtereaux de 24 pieds 6 pouces,1,7,x,non,8907
mâtereaux de 25 à 28 pieds,1,7,x,non,8907
mâtereaux de 25 à 30 pieds,10,7,x,non,8907
mâtereaux de 25 à 40 centimètres,1,7,,non,8907
mâtereaux de 25 centimètres à 40,2,7,,non,8907
mâtereaux de 25 centimètres inclusivement à 40 exclusivement,5,7,,non,8907
mâtereaux de 25 pieds,4,7,x,non,8907
mâtereaux de 26 à 28 pieds,1,7,x,non,8907
mâtereaux de 26 à 30 pieds,1,7,x,non,8907
mâtereaux de 27 pieds,1,7,x,non,8907
mâtereaux de 28 à 30 pieds,1,7,x,non,8907
mâtereaux de 28 pieds,2,7,x,non,8907
mâtereaux de 30 à 32 pieds,1,7,,non,8907
mâtereaux de 30 à 34 pieds,1,7,x,non,8907
mâtereaux de 30 à 35 pieds,1,7,x,non,8907
mâtereaux de 30 à 36 pieds,3,7,x,non,8907
mâtereaux de 30 à 40 pieds,2,7,x,non,8907
mâtereaux de 30 pieds,12,7,x,non,8907
mâtereaux de 32 à 33 pieds,1,7,x,non,8907
mâtereaux de 32 à 34 pieds,1,7,x,non,8907
