simplification,nbr_occurences_simpl,coton,obsolete,nbr_occurences_coton
argenterie vieille,11,not raw cotton,non,817071
argenterie vieille en couverts,1,,non,38841
argenterie vieille et bijouterie d'argent,2,,non,38841
argile et terre pour engrais,15,not raw cotton,non,817071
arins,1,not raw cotton,non,817071
aristoloche,68,not raw cotton,non,817071
armement de tables,3,not raw cotton,non,817071
armes,345,not raw cotton,non,817071
armes à feu,350,not raw cotton,non,817071
armes à feu de guerre,2,not raw cotton,non,817071
armes à feu de guerre et de traite,1,not raw cotton,non,817071
armes à feu de guerre portatives,2,not raw cotton,non,817071
armes à feu de luxe,4,not raw cotton,non,817071
armes à feu de luxe ou de traite,3,not raw cotton,non,817071
armes à feu de munitions,2,not raw cotton,non,817071
armes à feu de munitions fines,4,not raw cotton,non,817071
armes à feu de traite,1,not raw cotton,non,817071
armes à feu et artillerie,1,not raw cotton,non,817071
armes à feu et de traite,1,not raw cotton,non,817071
armes à feu et fusils,1,not raw cotton,non,817071
armes armureries,1,not raw cotton,non,817071
armes autres que de guerre à feu,1,not raw cotton,non,817071
armes autres que de guerre blanches,1,not raw cotton,non,817071
armes blanches,190,not raw cotton,non,817071
armes blanches à feu et artillerie,5,,oui,38841
armes blanches de guerre,1,not raw cotton,non,817071
armes blanches de guerre et de traite,1,not raw cotton,non,817071
armes blanches de luxe,2,not raw cotton,non,817071
armes blanches de luxe ou de traite,3,not raw cotton,non,817071
armes blanches de traite,1,not raw cotton,non,817071
armes de chasse ou de luxe à feu,2,not raw cotton,non,817071
armes de chasse ou de luxe blanches,2,not raw cotton,non,817071
armes de guerre,2,not raw cotton,non,817071
armes différentes,1,not raw cotton,non,817071
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,not raw cotton,non,817071
armes et munitions,9,not raw cotton,non,817071
armes lames,1,not raw cotton,non,817071
armes remontrances,3,not raw cotton,non,817071
armoires,57,not raw cotton,non,817071
armoires ayant servi,1,not raw cotton,non,817071
armoires d'acajou,12,not raw cotton,non,817071
armoires de bois,2,not raw cotton,non,817071
armoires de bois de noyer,1,not raw cotton,non,817071
armoires de bois de sapin peintes,0,not raw cotton,non,817071
armoires de bois des Indes,1,not raw cotton,non,817071
armoires de chêne,9,not raw cotton,non,817071
armoires de chêne ornée,1,not raw cotton,non,817071
armoires de noyer,9,not raw cotton,non,817071
armoires de sapin,4,not raw cotton,non,817071
armoires et commodes,1,not raw cotton,non,817071
armoires vieilles,2,not raw cotton,non,817071
armoisin,46,not raw cotton,non,817071
armure de fer,1,not raw cotton,non,817071
armure vieille,1,not raw cotton,non,817071
arnas,1,not raw cotton,non,817071
arpois,1,not raw cotton,oui,817071
arquebuse,1,not raw cotton,non,817071
arrangas,1,not raw cotton,non,817071
arrosoirs,7,not raw cotton,non,817071
arrosoirs de bois,2,not raw cotton,non,817071
arrosoirs de cuivre,1,not raw cotton,non,817071
arrosoirs de fer,1,,non,38841
arrosoirs de fer-blanc,6,not raw cotton,non,817071
arrosoirs de sapin,1,not raw cotton,non,817071
arrosoirs de terre,1,not raw cotton,non,817071
arrowroot,1,not raw cotton,non,817071
arséniate de potasse,2,not raw cotton,non,817071
arsenic,476,not raw cotton,non,817071
arsenic métallique,6,not raw cotton,non,817071
artichauts,82,not raw cotton,non,817071
artichauts champignons et truffes,2,not raw cotton,non,817071
artichauts confits,67,not raw cotton,non,817071
artichauts frais,17,not raw cotton,non,817071
artichauts marinés,2,not raw cotton,non,817071
artichauts secs,6,not raw cotton,non,817071
artifice,5,not raw cotton,non,817071
artifice fusées etc.,44,not raw cotton,non,817071
artillerie,6,not raw cotton,non,817071
asa fœtida,124,not raw cotton,non,817071
ascrile,1,,non,38841
asperges,9,not raw cotton,non,817071
asperges confites,1,not raw cotton,non,817071
asperges et scorsonères,69,not raw cotton,non,817071
asphaltum,19,not raw cotton,non,817071
aspic en grabeau,1,,non,38841
assiette,2,not raw cotton,non,817071
assiette de Biarritz,1,not raw cotton,non,817071
assiette de bois,1,not raw cotton,non,817071
assiette de faïence,10,not raw cotton,non,817071
assiette de porcelaine,3,not raw cotton,non,817071
assiette de porcelaine des Indes,1,not raw cotton,non,817071
assiette de terre,6,not raw cotton,non,817071
assiette et plats de terre,1,not raw cotton,non,817071
asustum,1,not raw cotton,non,817071
atastes,1,not raw cotton,non,817071
atchiabanis,14,,oui,38841
atlas,4,not raw cotton,non,817071
atlas à la feuille d'or,1,,non,38841
atlas et instruments de marine,2,not raw cotton,non,817071
atlas jaspé,1,,non,38841
