simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
esturgeon en adaube,3,0a,,non,122047
esturgeon mariné,4,0a,x,non,122047
esturgeon salé,43,0a,x,non,122047
étain,473,6j,x,non,52338
étain battu,16,6j,x,non,52338
étain battu ou limé,4,6j,,non,52338
étain brut,47,6j,x,non,52338
étain brut d'Inde,1,6j,,non,52338
étain brut d'Inde des entrepôts,0,6j,,non,52338
étain brut en masses ouvrages brisés et saumons,1,6j,,non,52338
étain creux,1,6j,,non,52338
étain d'Angleterre,2,6j,x,non,52338
étain de glaces,36,6j,,non,52338
étain de j ???,1,9c,,non,13242
étain de malgue,1,6j,x,non,52338
étain de Melac,11,6j,x,non,52338
étain de retour faute de vente,1,6j,,non,52338
étain des Indes,36,6j,x,non,52338
étain du Pérou,2,6j,,non,52338
étain en bloc,579,6j,x,non,52338
étain en bloc des Indes,1,6j,,non,52338
étain en enclumes de fer,1,6j,,non,52338
étain en faux,3,6j,,non,52338
étain en feuilles,12,6j,x,non,52338
étain en lingots,2,6j,x,non,52338
étain en plats,1,6j,x,oui,52338
étain en plomb,1,6j,,non,52338
étain en saumon,26,6j,x,non,52338
étain et plomb,18,6j,x,non,52338
étain fin,1,6j,x,non,52338
étain fin en bloc,1,6j,,non,52338
étain neuf,7,6j,x,non,52338
étain non ouvré,14,6j,x,non,52338
étain pour glaces,1,6j,x,non,52338
étain pour soudure,2,6j,x,non,52338
étain rouge,1,6j,,non,52338
étain seringues,2,8,x,non,73824
étain verni,1,6j,,non,52338
étain vieux,90,6j,x,non,52338
étais en bois,2,6b,x,non,36431
etalchasse,3,9c,,non,13242
étamette,29,6i,x,non,9168
étamette dauphine casinettes,8,6i,,non,9168
étamine,312,6e,x,non,20927
étamine à bluteau,4,6e,x,non,20927
étamine à passer fromage,9,6i,x,non,9168
étamine à pavillon,13,6i,x,non,9168
étamine à peu de soie,4,6f,x,non,16662
étamine au quart de soie,2,6f,x,non,16662
étamine au sixième de soie,1,6f,,non,16662
étamine avec soie,2,6f,x,non,16662
étamine avec vingt brins de soie,1,6f,x,non,16662
étamine blanche,1,6e,,non,20927
étamine burail,85,6e,x,non,20927
étamine buratée de laine,1,6e,,non,20927
étamine burette,2,6i,,non,9168
étamine commune,2,6i,,non,9168
étamine d'Agen,3,6e,,non,20927
étamine d'Allemagne,6,6i,x,non,9168
étamine d'Amiens,14,6e,x,non,20927
étamine d'argent,2,6i,,non,9168
étamine d'Auvergne,17,6i,,non,9168
étamine de Acims,0,6i,x,non,9168
étamine de belzamine,4,6i,x,non,9168
étamine de laine,646,6e,x,non,20927
étamine de laine d'Angleterre,2,6e,x,non,20927
étamine de laine et de soie,6,6f,x,non,16662
étamine de laine fine,1,6e,,non,20927
étamine de Laval,3,6e,,non,20927
étamine de Nogent,6,6e,x,non,20927
étamine de Noyau,2,6i,x,non,9168
étamine de Reims,226,6e,x,non,20927
étamine de Rouen,1,6i,x,non,9168
étamine de Sainte,1,6e,,non,20927
étamine de soie,7,6f,,non,16662
étamine des prises,3,6i,,non,9168
étamine du Mans,92,6e,x,non,20927
étamine du pays,1,6e,x,non,20927
étamine et serge,6,6e,,non,20927
étamine fine,4,6e,,non,20927
étamine Maine,1,6e,x,non,20927
étamine mi soie,2,6f,x,non,16662
étamine noire,2,6i,,non,9168
étamine oneraile,1,6i,,non,9168
étamine ouvrée,1,6i,x,non,9168
étamine piquée de soie,1,6f,,non,16662
étamine rayée,3,6i,x,non,9168
étamine virée,1,6i,x,non,9168
étampes,0,6h,,non,15105
étampes de chanvre,1,6h,,non,15105
etatchasse,6,9c,,non,13242
étaux,2,6j,,non,52338
étaux de fer,28,6j,x,non,52338
étaux en bâtit pour serruriers,1,6j,,non,52338
étaux ouvragés,1,6j,,non,52338
etaya,1,9c,,non,13242
étendards,2,6i,x,non,9168
etendelle,3,6e,x,non,20927
éternelle de coton,1,6g,,non,16886
etocs,4,9c,x,non,13242
etocs de fer,13,9c,x,non,13242
étocs de fer,12,9c,x,non,13242
étoffe,406,6i,x,non,9168
étoffe à carreaux,1,6i,,non,9168
étoffe à carreaux et de toile de coutil,1,6d,x,non,23025
étoffe à galon d'or,1,6i,,non,9168
étoffe à la valeur,2,6i,,non,9168
étoffe à peu de soie,343,6f,x,non,16662
étoffe au ??? de soie,3,6f,x,non,16662
étoffe au 4/5e de soie,4,6h,x,non,15105
étoffe au filoselle,2,6f,x,non,16662
étoffe au peu de soie,4,6f,,non,16662
étoffe au poil sorge de Rome,1,6h,x,non,15105
étoffe au quart de soie,362,6f,x,non,16662
étoffe au sixième,1,6f,x,non,16662
étoffe au sixième de soie,22,6f,x,non,16662
étoffe au sixième de soie en siamoise,2,6f,x,non,16662
étoffe au sixième de soie siamoise,1,6f,x,non,16662
étoffe au tiers de soie,1,6f,x,non,16662
étoffe au-dessus du sixième de soie,2,6f,,non,16662
étoffe avec argent et or,2,6i,x,non,9168
étoffe avec un brin de soie,3,6f,x,non,16662
étoffe brochée d'argent et d'or faux de soie,1,6f,,non,16662
étoffe brochée d'argent et d'or fin de soie,2,6f,,non,16662
étoffe brochée d'or ou d'argent faux de soie pure,2,6f,,non,16662
étoffe brochée d'or ou d'argent fin de soie pure,2,6f,,non,16662
étoffe brochée de coton et de fil siamois,1,6i,,non,9168
étoffe brochée de pure soie et unies,39,6f,,non,16662
étoffe brochée de soie,2,6f,,non,16662
étoffe brochée de soie et unies,70,6f,,non,16662
étoffe brochée de soie pure,2,6f,,non,16662
étoffe brochée et brodée,2,9c,,non,13242
étoffe cotonne,1,6g,,non,16886
étoffe crêpe,1,6i,x,non,9168
étoffe croisée,1,6i,,non,9168
étoffe d'Amiens façonnée,1,6i,x,non,9168
étoffe d'écorce,2,6b,,non,36431
étoffe d'herbes,5,6i,x,non,9168
étoffe de bourre de soie,7,6f,x,non,16662
étoffe de bourre de soie façon cachemire,1,6f,,non,16662
étoffe de capiton,4,6f,x,non,16662
étoffe de chanvre,4,6d,x,non,23025
étoffe de chanvre et de fil de lin en toile,12,6h,,non,15105
étoffe de chanvre et de lin en toile diverse,26,6h,,non,15105
étoffe de chanvre ou de lin,2,6h,,non,15105
étoffe de chanvre ou de lin mêlés,1,6h,,non,15105
étoffe de coton,393,6g,x,non,16886
étoffe de coton ???,2,6g,x,non,16886
étoffe de coton au quart de soie,3,6f,,non,16662
étoffe de coton basin piqués mousselinettes,2,6g,,non,16886
étoffe de coton brillant blanc,1,6g,x,non,16886
étoffe de coton brochée et brodée et imprimée,2,6g,,non,16886
étoffe de coton brodé,1,6g,x,non,16886
étoffe de coton de fil,6,6g,x,non,16886
étoffe de coton de fil et de laine,20,6f,,non,16662
étoffe de coton de fil et de soie,9,6f,,non,16662
étoffe de coton de fleuret et de soie,1,6f,,non,16662
étoffe de coton de laine,3,6i,x,non,9168
étoffe de coton de laine et de soie,3,6f,,non,16662
étoffe de coton de quart de soie,1,6f,x,non,16662
étoffe de coton de velours,7,6g,x,non,16886
étoffe de coton des Indes,1,6g,x,non,16886
étoffe de coton en drap,14,6g,x,non,16886
étoffe de coton en soie,8,6f,x,non,16662
étoffe de coton et bonneterie,1,9b,x,non,61966
étoffe de coton et chapeaux,1,9b,x,non,61966
étoffe de coton et de fil,232,6g,x,non,16886
étoffe de coton et de fil de soie,2,6f,,non,16662
étoffe de coton et de fil et de laine et de poil chameau,15,6i,,non,9168
étoffe de coton et de fil et de laine et de poil de chèvre,16,6i,,non,9168
étoffe de coton et de fil mélangés,10,6g,,non,16886
étoffe de coton et de fleuret,3,6i,x,non,9168
étoffe de coton et de laine,23,6i,x,non,9168
étoffe de coton et de laine diverse,1,6i,,non,9168
étoffe de coton et de laine et de filoselle,7,6i,x,non,9168
étoffe de coton et de laine et de soie mélangés,26,6f,,non,16662
étoffe de coton et de laine retour,1,6i,x,non,9168
étoffe de coton et de soie,315,6f,x,non,16662
étoffe de coton et de soie des Indes,1,6f,,non,16662
étoffe de coton et de soie éternelle,1,6f,,non,16662
étoffe de coton et de toile,1,6g,,non,16886
étoffe de coton et drap de coton et velours de coton,15,6g,x,non,16886
étoffe de coton et drap de coton et velours de coton et couvertures de coton,13,6g,,non,16886
étoffe de coton et mercerie,1,6i,,non,9168
étoffe de coton et pellerie,1,9b,,non,61966
étoffe de coton et velours commun,1,6g,,non,16886
étoffe de coton imprimé,2,6g,,non,16886
étoffe de coton mêlée,1,6g,,non,16886
étoffe de coton mêlée de soie,1,6f,,non,16662
étoffe de coton mi soie,2,6f,,non,16662
étoffe de coton peint,1,6g,,non,16886
étoffe de coton piqué,1,6g,,non,16886
étoffe de coton simple,2,6g,,non,16886
étoffe de crin,33,6e,,non,20927
étoffe de crin et de poils,2,6e,,non,20927
étoffe de dorure de laine et de soie,2,6f,,non,16662
étoffe de fil,8,6d,x,non,23025
étoffe de fil au quart de soie,1,6f,x,non,16662
étoffe de fil de laine,6,6e,x,non,20927
étoffe de fil et bourre de chèvre,1,6i,,non,9168
étoffe de fil et de laine,182,6i,x,non,9168
étoffe de fil et de poil,1,6i,,non,9168
étoffe de fil et de poil de chèvre,6,6i,x,non,9168
étoffe de fil et de soie,238,6f,,non,16662
étoffe de fil et moquette,1,6i,,non,9168
étoffe de fil et poil de chèvre,43,6i,x,non,9168
étoffe de filoselle,48,6f,x,non,16662
étoffe de filoselle et de laine,2,6f,,non,16662
étoffe de filoselle et de soie,37,6f,x,non,16662
étoffe de Flandre et de poil,2,6i,,non,9168
étoffe de fleuret,73,6f,x,non,16662
étoffe de fleuret au brin de soie,1,6f,,non,16662
étoffe de fleuret et de laine,5,6i,x,non,9168
étoffe de fleuret et de soie,8,6f,x,non,16662
étoffe de fleuret et laine,2,6i,x,non,9168
étoffe de fleuret pure,2,6f,,non,16662
étoffe de galette et de soie,1,6f,x,non,16662
étoffe de laine,552,6e,x,non,20927
étoffe de laine ???,5,6e,x,non,20927
étoffe de laine à faire moufles,9,6e,,non,20927
étoffe de laine à fil,1,6e,x,non,20927
étoffe de laine à la valeur,1,6e,x,non,20927
étoffe de laine angora,1,6e,,non,20927
étoffe de laine au quart de soie,1,6f,,non,16662
étoffe de laine avec dorure,1,6e,x,non,20927
étoffe de laine avec soie,1,6f,x,non,16662
étoffe de laine bêche,1,6e,x,non,20927
étoffe de laine beige 309 lignes,1,6e,,non,20927
étoffe de laine blanche,3,6e,x,non,20927
étoffe de laine brodée de dorure et de soie,1,6f,,non,16662
étoffe de laine cannelée,1,6e,,non,20927
étoffe de laine chaleur,1,6e,x,non,20927
étoffe de laine couterie,1,6e,x,non,20927
étoffe de laine crêpe,2,6e,x,non,20927
étoffe de laine de Rome,1,6e,,non,20927
étoffe de laine en cachemire,2,6e,x,non,20927
étoffe de laine en croisé,1,6e,x,non,20927
étoffe de laine en quart de soie,1,6f,,non,16662
étoffe de laine en raze de castor,5,6e,x,non,20927
étoffe de laine en sarain,1,6e,x,non,20927
étoffe de laine et de fil,1,6i,x,non,9168
étoffe de laine et de poil,33,6e,x,non,20927
étoffe de laine et de soie,169,6f,x,non,16662
étoffe de laine et de soie brodée,1,6f,,non,16662
étoffe de laine et de soie diverse,1,6f,,non,16662
étoffe de laine et de velours d'Utrecht,1,6i,x,non,9168
étoffe de laine et poil,11,6e,x,non,20927
étoffe de laine fabrique de Tournai,3,6e,x,non,20927
étoffe de laine fabriquée à Arras,1,6e,,non,20927
étoffe de laine fleuret au quart,1,6f,,non,16662
étoffe de laine fleuret et de soie,2,6f,,non,16662
étoffe de laine florentine,1,6e,,non,20927
étoffe de laine grains d'orge,1,6e,,non,20927
étoffe de laine grosse,1,6e,,non,20927
étoffe de laine imprimée,4,6e,x,non,20927
étoffe de laine large et serge,2,6e,,non,20927
étoffe de laine mêlée,1,6e,,non,20927
étoffe de laine mêlée de soie,3,6f,,non,16662
étoffe de laine mêlée ou pure,151,6e,,non,20927
étoffe de laine Minorque,3,6e,,non,20927
étoffe de laine poil et laine,4,6e,x,non,20927
étoffe de laine poil et laine velours,1,6e,,non,20927
étoffe de laine poil poil et laine,1,6e,x,non,20927
étoffe de laine pour nègre,1,6e,,non,20927
étoffe de laine pure,143,6e,x,non,20927
étoffe de laine reste,1,6e,x,non,20927
étoffe de laine retour,1,6e,x,non,20927
étoffe de laine riche,1,6f,x,non,16662
étoffe de laine royale,1,6f,,non,16662
étoffe de laine satinée,1,6e,,non,20927
étoffe de laine serge à doublure,2,6e,,non,20927
étoffe de laine teinte,9,6e,,non,20927
étoffe de laine turque,2,6i,,non,9168
étoffe de laine velverde,1,6i,x,non,9168
étoffe de laine verlastine,1,6e,x,non,20927
étoffe de laine voile noir,1,6e,x,non,20927
étoffe de lin et de chanvre mêlés,1,6d,,non,23025
étoffe de peluches pour nègre,1,6i,,non,9168
étoffe de plocq,2,6e,x,non,20927
étoffe de poil,37,6e,,non,20927
étoffe de poil de chameau,14,6e,x,non,20927
étoffe de poil de laine et de velours d'Utrecht,4,6i,,non,9168
étoffe de poil et de velour d'Utrecht,1,6i,,non,9168
étoffe de poil et de velours,2,6i,x,non,9168
étoffe de poil et fil,1,6i,x,non,9168
étoffe de poil et laine velours,2,6i,x,non,9168
étoffe de poil et laine velours d'Utrecht,1,6i,x,non,9168
étoffe de pure soie,2,6f,,non,16662
étoffe de pure soie et unie,3,6f,,non,16662
étoffe de pure soie façonnée,2,6f,,non,16662
étoffe de Reims,1,6i,,non,9168
étoffe de riche,1,6f,x,non,16662
étoffe de Rouen,1,6i,x,non,9168
étoffe de soie,2970,6f,x,non,16662
étoffe de soie à fil,1,6f,x,non,16662
étoffe de soie au quart,168,6f,x,non,16662
étoffe de soie avec argent et or,1,6f,x,non,16662
étoffe de soie blonde,5,6f,,non,16662
étoffe de soie brochée,1,6f,,non,16662
étoffe de soie brochée d'argent et d'or faux,1,6f,,non,16662
étoffe de soie brochée d'argent et d'or fin,1,6f,,non,16662
étoffe de soie brochée de soie,2,6f,,non,16662
étoffe de soie brodée,5,6f,x,non,16662
étoffe de soie brodée d'or,2,6f,x,non,16662
étoffe de soie brodée en dorure,1,6f,x,non,16662
étoffe de soie brodée en soie retour,1,6f,x,non,16662
étoffe de soie crêpe,10,6f,x,non,16662
étoffe de soie croisée,1,6f,,non,16662
étoffe de soie crue,1,6f,x,non,16662
étoffe de soie d'armoisin,1,6f,x,non,16662
étoffe de soie d'Utrecht,1,6f,x,non,16662
étoffe de soie de crêpe,2,6f,x,non,16662
étoffe de soie de fleuret et soie,4,6f,x,non,16662
étoffe de soie de laine,1,6f,x,non,16662
étoffe de soie de lin,1,6f,x,non,16662
étoffe de soie de renvoi,1,6f,,non,16662
étoffe de soie de Saint Bours,1,6f,x,non,16662
étoffe de soie de velours,3,6f,x,non,16662
étoffe de soie des Indes,41,6f,x,non,16662
étoffe de soie dite Florence,1,6f,x,non,16662
étoffe de soie dite milleret,1,6f,x,non,16662
étoffe de soie dorure d'argent,10,6f,,non,16662
étoffe de soie dorure d'argent et d'or,224,6f,,non,16662
étoffe de soie dorure d'argent et d'or faux,10,6f,,non,16662
étoffe de soie dorure d'argent et d'or fin,2,6f,,non,16662
étoffe de soie dorure d'or,42,6f,,non,16662
étoffe de soie dorure d'or faux,1,6f,,non,16662
étoffe de soie du Levant,12,6f,x,non,16662
étoffe de soie en coton,1,6i,,non,9168
étoffe de soie en drap,1,6f,x,non,16662
étoffe de soie en fleurs,1,6f,,non,16662
étoffe de soie en laine,1,6f,x,non,16662
étoffe de soie en or et argent,1,6f,,non,16662
étoffe de soie en velours,3,6f,x,non,16662
étoffe de soie et ???,2,6f,x,non,16662
étoffe de soie et d'argent,1,6f,,non,16662
étoffe de soie et de fil dorure d'argent,1,6f,,non,16662
étoffe de soie et de poil,1,6f,x,non,16662
étoffe de soie et de velours d'Utrecht,22,6f,x,non,16662
étoffe de soie et de velours de Gênes,4,6f,x,non,16662
étoffe de soie et galets,1,9c,,non,13242
étoffe de soie et prunelle de laine,1,6f,x,non,16662
étoffe de soie et ruban,1,6f,,non,16662
étoffe de soie et soierie,6,6f,x,non,16662
étoffe de soie fabriquée,1,6f,,non,16662
étoffe de soie façonnée,4,6f,,non,16662
étoffe de soie fleuret et soie,1,6f,x,non,16662
étoffe de soie herbage,1,6f,x,non,16662
étoffe de soie mêlée,2,6h,,non,15105
étoffe de soie mêlée de fil,3,6f,,non,16662
étoffe de soie mêlée de laine ou de coton,1,6f,,non,16662
étoffe de soie mi soie,191,6f,x,non,16662
étoffe de soie pays étrangers,6,6f,x,non,16662
étoffe de soie pièce,12,6f,x,non,16662
étoffe de soie pou de soie,1,6f,x,non,16662
étoffe de soie pure,52,6f,x,non,16662
étoffe de soie raze ??? cir,1,6f,x,non,16662
étoffe de soie raze ??? fin,2,6f,x,non,16662
étoffe de soie riche,4,6f,x,non,16662
étoffe de soie unie,4,6f,,non,16662
étoffe de taffetas,1,6f,x,non,16662
étoffe de velours,18,6i,x,non,9168
étoffe de velours d'Utrecht,6,6i,x,non,9168
étoffe de velours de coton,13,6g,,non,16886
étoffe de velours de soie,157,6f,,non,16662
étoffe de voile,2,7,x,non,14031
étoffe des Iles,4,6i,,non,9168
étoffe des Indes,24,6i,,non,9168
étoffe des Indes vestes brodées,1,9b,,non,61966
étoffe des prises,2,6i,,non,9168
étoffe dite calutras de coton et de soie,1,6f,,non,16662
étoffe dite pauvre madame,18,6i,x,non,9168
étoffe diverse couvertures et draperie pour le gouvernement,5,6i,,non,9168
étoffe dorure,24,6i,x,non,9168
étoffe dorure d'argent,28,6i,x,non,9168
étoffe dorure d'argent et d'or,339,6i,x,non,9168
étoffe dorure d'argent et d'or faux,12,6i,x,non,9168
étoffe dorure d'argent et d'or fin,45,6i,,non,9168
étoffe dorure d'or,76,6i,x,non,9168
étoffe dorure d'or faux,1,6i,x,non,9168
étoffe dorure et de soie,5,6f,x,non,16662
étoffe droguet,22,6e,x,non,20927
étoffe en bours du Levant,1,6i,x,non,9168
étoffe en dorure et galon et passementerie,24,6i,x,non,9168
étoffe en feuilles,8,6i,,non,9168
étoffe en or mêlée de soie,27,6f,x,non,16662
étoffe et fer en barres,1,9b,,non,61966
étoffe et galon d'argent et d'or,1,6i,x,non,9168
étoffe et gaze et crêpe et tulle,10,6g,x,non,16886
étoffe et gaze et toile des Indes,1,6g,x,non,16886
étoffe et lainages,1,6i,,non,9168
étoffe et ouvrages de soie,1,6f,,non,16662
étoffe et ruban de fleuret,10,6f,,non,16662
étoffe et ruban de soie,4,6f,,non,16662
Étoffe étamine fine,4,6e,,oui,20927
étoffe éternelle,1,6i,,non,9168
étoffe éternelle au ? de soie,1,6f,,non,16662
étoffe éternelle de laine,2,6e,,non,20927
étoffe éternelle mêlée de soie,1,6f,,non,16662
étoffe étrangère,5,6i,x,non,9168
étoffe étrangère de jude,1,6i,x,non,9168
étoffe façonnée,100,6i,x,non,9168
étoffe filoselle,4,6f,x,non,16662
étoffe filoselle de soie,1,6f,x,non,16662
étoffe filoselle et laine,3,6f,,non,16662
étoffe finette,2,6i,x,non,9168
étoffe flamande de mauvaise qualité,1,6i,x,non,9168
étoffe fleuret,5,6f,x,non,16662
étoffe fleuret et de soie,3,6f,x,non,16662
étoffe fleuret et soie,8,6f,x,non,16662
étoffe flotte,2,6i,,non,9168
étoffe flotte des Indes,1,6i,,non,9168
étoffe grosse de laine,2,6e,x,non,20927
étoffe herbage,2,6i,,non,9168
étoffe herbes,1,6d,x,non,23025
étoffe impériale,2,6f,x,non,16662
étoffe laine de soie,1,6f,x,non,16662
étoffe manchettes,1,9b,x,non,61966
étoffe mêlée au ??? soie,5,6f,,non,16662
étoffe mêlée de bourre en molleton,1,6i,,non,9168
étoffe mêlée de fil de soie,8,6f,,non,16662
étoffe mêlée de soie,1,6f,,non,16662
étoffe mêlée de soie ???,2,6f,,non,16662
étoffe mêlée de soie peluches,133,6f,,non,16662
étoffe mi soie,143,6f,x,non,16662
étoffe noire,1,6i,x,non,9168
étoffe peinte,1,6i,x,non,9168
étoffe peluches communes,1,6e,x,non,20927
étoffe peluches de laine,25,6e,x,non,20927
étoffe peluches de prise,1,6f,,non,16662
étoffe peluches de soie,7,6f,,non,16662
étoffe poil en panne à long poil,1,6e,x,non,20927
étoffe pour talits,1,6i,x,non,9168
étoffe pure brochée d'or fin,1,6i,,non,9168
étoffe pure façonnée,1,6i,,non,9168
étoffe pure unie,1,6i,,non,9168
étoffe pures de fleuret et mouchoirs,1,6f,,non,16662
étoffe refoulée,1,6i,,non,9168
étoffe riche,116,6f,x,non,16662
étoffe riche en or,1,6f,x,non,16662
étoffe riche en or et argent,24,6f,x,non,16662
étoffe riche or et argent,1,6f,x,non,16662
étoffe riche ou or et argent,1,6f,x,non,16662
étoffe royale,1,6f,,non,16662
étoffe soie crêpe,2,6f,x,non,16662
étoffe soie des Indes,1,6f,x,non,16662
étoffe soierie,1,6f,x,non,16662
étoffe taffetas,5,6f,x,non,16662
étoupes,214,2,x,non,131731
étoupes à calfater,9,2,,non,131731
étoupes blanches,2,2,x,non,131731
étoupes de chanvre,207,2,x,non,131731
étoupes de coton,1,2,,non,131731
étoupes de filoselle,1,2,,non,131731
étoupes de laine,3,2,,non,131731
étoupes de lin,15,2,x,non,131731
étoupes de soie,84,2,x,non,131731
