marchandises_norm_ortho,marchandises_simplification
balance petite,balance petite
balauste,balauste
baleine,baleine
baleine apprêtée,baleine apprêtée
baleine coupée,baleine coupée
baleine coupée en fanon,baleine coupée en fanon
baleine coupée et en fanon,baleine coupée et en fanon
baleine de fanon,baleine en fanon
baleine de sarde,baleine de sarde
baleine de sarde en fanon,baleine en fanon et de sarde
baleine en fanon,baleine en fanon
baleine fanon,baleine en fanon
baleine non sciée,baleine non sciée
baleine sciée ou coupée,baleine coupée
baleine taillée,baleine taillée
balfas,taffetas
balles,balles
balles à jouer,balles à jouer
balles d'osier,balles d'osier
balles de fer uni,balles de fer uni
balles de jonc,balles de jonc
balles de palme,balles de palme
balles vides,balles vides
balustres,balustres
bambous,bambous
banastron,banastron
banc à couper la paille,banc à couper la paille
banc de sapin,banc de sapin
bandages,bandages
bandages de peaux,bandages de peaux
bandages de soldats,bandages pour soldats
bandeaux,bandeaux
banderoles,banderoles
banderoles de cuir,banderoles de cuir
bandoulières garnies d'argent,bandoulières garnies d'argent
banjoin,banjoin
bannettes d'osier,bannettes d'osier
bannettes de cuir,bannettes de cuir
bannière de Damas,bannière de Damas
banquette,banquette
baquelets,baquelets
baquets,baquets
baquets à jeter l'eau,baquets à jeter l'eau
baquets de rechange,baquets de rechange
baquets de sapin,baquets de sapin
baracan,baracan
baracan aune,baracan aune
baracan de laine,baracan de laine
baracan de Lille,baracan de Lille
baratte,baratte
barbançons,barbançons
barbançons de grès,barbançons de grès
barbançons de terre,barbançons de terre
barbançons de terre de grès,barbançons de terre de grès
barbançons de verre,barbançons de verre
barbe de baleine,barbe de baleine
barbotine,barbotine
barbues,barbues
barbues couvertes d'étamine,barbues couvertes d'étamine
barbues de grès,barbues de grès
barbues de terre,barbues de terre
barbues et grès,barbues de grès
bardes diverses,bardes
barilleau,barilleau
barils,barils
barils à poudre,barils à poudre
barils à saler sardines,barils pour saler sardines
barils ancres,barils ancres
barils de chêne,barils de chêne
barils de sapin,barils de sapin
barils de vin de ???,barils de vin de ???
barils neufs,barils neufs
barils petits,barils petits
barils vides,barils vides
barils vides de sardines,barils vides de sardines
barils vieux,barils vieux
barils vin de ???,barils de vin de ???
barois,barois
baromètre,baromètre
barques,barques
barques démontées,barques démontées
barques en bottes,barques en bottes
barquettes,barquettes
barquettes et nacelles,barquettes et nacelles
barquettes vieilles,barquettes vieilles
barreaux,barreaux
