goods_simpl_classification,nbr_occurences_simpl,coffee_classification,obsolete,nbr_occurences_hamburg,nbr_occurences_coffee
mervillon,44,Not coffee,non,442379,551912
mesat de clocher,1,Not coffee,non,442379,551912
mesures d'étain,2,Not coffee,non,442379,551912
métal,101,Not coffee,non,442379,551912
métal argenté doré vernissé etc.,2,Not coffee,non,442379,551912
métal composé,1,Not coffee,non,442379,551912
métal de fonte,0,Not coffee,oui,442379,551912
métal des Indes,1,Not coffee,non,442379,551912
métal et bronze moulé,0,Not coffee,oui,442379,551912
métal frappé et moulé et ouvré,0,Not coffee,oui,442379,551912
métal moulé,0,Not coffee,oui,442379,551912
métal moulu,1,Not coffee,non,442379,551912
métal ou ???,1,Not coffee,non,442379,551912
métal pour horlogerie,1,Not coffee,non,442379,551912
métaux,144,Not coffee,non,442379,551912
methe,1,Not coffee,non,442379,551912
métiers,1,Not coffee,non,442379,551912
métiers à faire bas,16,Not coffee,non,442379,551912
métiers à faire tapisserie,1,Not coffee,non,442379,551912
métiers à filer,1,Not coffee,non,442379,551912
métiers de drapier,1,Not coffee,non,442379,551912
métiers de tisserand,1,Not coffee,non,442379,551912
métiers presse et bluteaux et cribles de moulin,2,Not coffee,non,442379,551912
meubles,10,Not coffee,non,442379,551912
meubles ???,1,Not coffee,non,442379,551912
meubles à bijouterie,1,Not coffee,non,442379,551912
meubles à coutelier,1,Not coffee,non,442379,551912
meubles à moulins,3,Not coffee,non,442379,551912
meubles à taillandier,18,Not coffee,non,442379,551912
meubles affiloires,1,Not coffee,non,442379,551912
meubles de bois,9,Not coffee,non,442379,551912
meubles et effets,3,Not coffee,non,442379,551912
meubles et miroirs,130,Not coffee,non,442379,551912
meubles et ornements,17,Not coffee,non,442379,551912
meubles et pierres,32,Not coffee,non,442379,551912
meubles glaces et miroirs,13,Not coffee,non,442379,551912
meubles habits et bijoux,1,Not coffee,non,442379,551912
meubles matelas,2,Not coffee,non,442379,551912
meubles miroirs de toilettes,1,Not coffee,non,442379,551912
meubles ornements,1,Not coffee,non,442379,551912
meulardeaux,12,Not coffee,non,442379,551912
meulardeaux à coutelier,1,Not coffee,non,442379,551912
meulardes,2,Not coffee,non,442379,551912
meules,35,Not coffee,non,442379,551912
meules à aiguiser,224,Not coffee,non,442379,551912
meules à aiguiser au-dessus de 1218 millimètres en diamètre,1,Not coffee,non,442379,551912
meules à aiguiser bâtardes,1,Not coffee,non,442379,551912
meules à aiguiser de 1083 à 920 millimètres inclusivement en diamètre,2,Not coffee,non,442379,551912
meules à aiguiser de 1218 à 1083 millimètres inclusivement en diamètre,2,Not coffee,non,442379,551912
meules à aiguiser de 541 à 406 millimètres inclusivement en diamètre,3,Not coffee,non,442379,551912
meules à aiguiser de 677 à 541 millimètres inclusivement en diamètre,3,Not coffee,non,442379,551912
meules à aiguiser de 920 à 677 millimètres inclusivement en diamètre,3,Not coffee,non,442379,551912
meules à aiguiser de moins de 406 millimètres inclusivement en diamètre,3,Not coffee,non,442379,551912
meules à aiguiser grandes,1,Not coffee,non,442379,551912
meules à aiguiser moyennes,1,Not coffee,non,442379,551912
meules à aiguiser petites,1,Not coffee,non,442379,551912
meules à callandre,2,Not coffee,non,442379,551912
meules à coutelier,46,Not coffee,non,442379,551912
meules à coutelier petites,1,Not coffee,non,442379,551912
meules à Couteliers,1,Not coffee,non,442379,551912
meules à couture,2,Not coffee,non,442379,551912
meules à faire,22,Not coffee,non,442379,551912
meules à faux,3,Not coffee,non,442379,551912
meules à favre,33,Not coffee,non,442379,551912
meules à gagne-petit,1,Not coffee,non,442379,551912
meules à huile,2,Not coffee,non,442379,551912
meules à moudre de 1949 millimètres à 1299 en diamètre,2,Not coffee,non,442379,551912
meules à moudre de moins de 1299 millimètres en diamètre,3,Not coffee,non,442379,551912
meules à moudre de plus de 1949 millimètres en diamètre,2,Not coffee,non,442379,551912
meules à sabres,2,Not coffee,non,442379,551912
meules à sucre,3,Not coffee,non,442379,551912
meules à tailland ???,0,Not coffee,oui,442379,551912
meules à taillande,0,Not coffee,oui,442379,551912
meules à taillander,0,Not coffee,oui,442379,551912
meules à taillandier,196,Not coffee,non,442379,551912
meules à taillandier d'1 à 2 pieds,1,Not coffee,non,442379,551912
meules à taillandier de 2 pieds,1,Not coffee,non,442379,551912
meules à taillandier de 3 à 4,1,Not coffee,non,442379,551912
meules à taillandier de 4 à 5,1,Not coffee,non,442379,551912
meules à taillandier de 4 à 5 pouces,1,Not coffee,non,442379,551912
meules à taillandier de 4 pieds,1,Not coffee,non,442379,551912
meules à Talandier,2,Not coffee,non,442379,551912
meules à tannerie,0,Not coffee,oui,442379,551912
meules acoustiques,1,Not coffee,non,442379,551912
meules affiloires,7,Not coffee,non,442379,551912
meules assorties,1,Not coffee,non,442379,551912
meules au dessous de 4 pouces,1,Not coffee,non,442379,551912
meules au dessus de 4 pouces,1,Not coffee,non,442379,551912
meules bâtardes,34,Not coffee,non,442379,551912
meules brodées,1,Not coffee,non,442379,551912
meules coutier,1,Not coffee,non,442379,551912
meules de 4 pieds,1,Not coffee,non,442379,551912
meules de coutelier,2,Not coffee,non,442379,551912
meules de différents modules à aiguiser,4,Not coffee,non,442379,551912
meules de différents modules à moudre,4,Not coffee,non,442379,551912
meules de moulins de 4 pieds 1/2,0,Not coffee,oui,442379,551912
meules de moulins de 55 pieds,0,Not coffee,oui,442379,551912
meules de moulins de 6 pieds,0,Not coffee,oui,442379,551912
meules de pierre,14,Not coffee,non,442379,551912
meules en têtes de renne,1,Not coffee,non,442379,551912
meules ordinaires et à taillandier,1,Not coffee,non,442379,551912
meules petites,2,Not coffee,non,442379,551912
meules pour moulin,6,Not coffee,non,442379,551912
meules pour moulins,268,Not coffee,non,442379,551912
meules pour moulins de 4 pieds 1/2,1,Not coffee,non,442379,551912
meules pour moulins de 55 pieds,1,Not coffee,non,442379,551912
meules pour moulins de 6 pieds,1,Not coffee,non,442379,551912
meules pour moulins de haute catégorie,2,Not coffee,non,442379,551912
meules pour moulins dites grand loup d'Angleterre,1,Not coffee,non,442379,551912
meules pour moulins dites petit loup d'Angleterre,1,Not coffee,non,442379,551912
meules pour moulins du poids de 1200 à 1800 livres,1,Not coffee,non,442379,551912
meules pour moulins du poids de 2000 à 2800 livres,1,Not coffee,non,442379,551912
meules pour moulins du poids de 300 à 1000 livres,1,Not coffee,non,442379,551912
meules pour moulins du poids de 3000 à 4000 livres,1,Not coffee,non,442379,551912
meules pour moulins du poids de 5000 à 6000 livres,1,Not coffee,non,442379,551912
meules pour moulins grosses,1,Not coffee,non,442379,551912
meules pour moulins petites,3,Not coffee,non,442379,551912
meulières,1,Not coffee,non,442379,551912
meuniers,1,Not coffee,non,442379,551912
microscope,1,Not coffee,non,442379,551912
miel,1329,Not coffee,non,442379,551912
miel blanc,1,Not coffee,non,442379,551912
miel brouche,1,Not coffee,non,442379,551912
miel brun,1,Not coffee,non,442379,551912
miel brut,1,Not coffee,non,442379,551912
miel commun,1,Not coffee,non,442379,551912
miel cru,4,Not coffee,non,442379,551912
miel cuit,4,Not coffee,non,442379,551912
miel de Narbonne,5,Not coffee,non,442379,551912
miel façonné,7,Not coffee,non,442379,551912
mignonette,1,Not coffee,non,442379,551912
mignonette au quart de soie,1,Not coffee,non,442379,551912
mignonette avec un brin de soie,1,Not coffee,non,442379,551912
mignonette de soie,1,Not coffee,non,442379,551912
mignonette des prises,2,Not coffee,non,442379,551912
mignonette étoffe,9,Not coffee,non,442379,551912
mignonnette,38,Not coffee,non,442379,551912
mignotte étoffe,4,Not coffee,non,442379,551912
migon,18,Not coffee,non,442379,551912
mil,3,Not coffee,non,442379,551912
mille gants,3,Not coffee,non,442379,551912
milleret,1,Not coffee,non,442379,551912
milleret et agréments,0,Not coffee,oui,442379,551912
milleret et agréments de soie,0,Not coffee,oui,442379,551912
millet,10,Not coffee,non,442379,551912
mimy,0,Not coffee,oui,442379,551912
mine,3,Not coffee,non,442379,551912
mine d'alquifoux,1,Not coffee,non,442379,551912
mine d'asphalte,1,Not coffee,non,442379,551912
mine de borde,1,Not coffee,non,442379,551912
mine de cuivre,4,Not coffee,non,442379,551912
mine de cuivre rouge,1,Not coffee,non,442379,551912
mine de fer,81,Not coffee,non,9794,551912
mine de plomb,332,Not coffee,non,3536,551912
mine de plomb noire,2,Not coffee,non,3536,551912
mine de plomb rouge,2,Not coffee,non,3536,551912
mine de Prusse,1,Not coffee,non,442379,551912
mine de roche,3,Not coffee,non,442379,551912
mine lavée,1,Not coffee,non,442379,551912
minerai de fer brut ou lavé,2,Not coffee,non,9794,551912
minerai de fer chromaté,2,Not coffee,non,9794,551912
minerai de fer sulfuré,1,Not coffee,non,9794,551912
minerai de plomb,1,Not coffee,non,3536,551912
minéraux,2,Not coffee,non,442379,551912
mini,0,Not coffee,oui,442379,551912
minium,99,Not coffee,non,103,551912
minium et mine orange,4,Not coffee,non,103,551912
minium rouge divisé,3,Not coffee,non,442379,551912
miniun,0,Not coffee,oui,442379,551912
minutier,3,Not coffee,non,442379,551912
miny,259,Not coffee,non,442379,551912
mireau,2,Not coffee,non,442379,551912
mirke,1,Not coffee,non,442379,551912
mirobolant,47,Not coffee,non,442379,551912
miroirs,206,Not coffee,non,442379,551912
miroirs à bordures dorées,6,Not coffee,non,442379,551912
miroirs à bordures dorées et grands,1,Not coffee,non,442379,551912
miroirs à bordures dorées et petits,1,Not coffee,non,442379,551912
miroirs à cadres dorés,10,Not coffee,non,442379,551912
miroirs communs,3,Not coffee,non,442379,551912
miroirs d'1 pied et demi,1,Not coffee,non,442379,551912
miroirs d'Allemagne,1,Not coffee,non,442379,551912
miroirs de 2 pieds,1,Not coffee,non,442379,551912
miroirs de 25 pieds de haut et 1 de large,1,Not coffee,non,442379,551912
miroirs de poche,2,Not coffee,non,442379,551912
miroirs de toilette,4,Not coffee,non,442379,551912
miroirs de toilettes,0,Not coffee,oui,442379,551912
miroirs de traite,5,Not coffee,non,442379,551912
miroirs encadrés,1,Not coffee,non,442379,551912
miroirs grands,4,Not coffee,non,442379,551912
miroirs grands de plus de 3 millimètres d'épaisseurs,2,Not coffee,non,442379,551912
miroirs petits,32,Not coffee,non,442379,551912
miroirs petits sans distinction,2,Not coffee,non,442379,551912
mistelle,1,Not coffee,non,442379,551912
mitaines,1,Not coffee,non,442379,551912
mitaines bordées de soie par paires,3,Not coffee,non,442379,551912
mitaines brodées,1,Not coffee,non,442379,551912
mitaines de peau,1,Not coffee,non,442379,551912
mitaines de peau lisérées de soie,1,Not coffee,non,442379,551912
mitaines de soie,2,Not coffee,non,442379,551912
mitaines de taffetas,2,Not coffee,non,442379,551912
mitaines garnies de ruban,1,Not coffee,non,442379,551912
mitaines garnies de soie,9,Not coffee,non,442379,551912
mitaines liserées,1,Not coffee,non,442379,551912
mitons à pierres fausses par paires de velours,1,Not coffee,non,442379,551912
mitons de soie,3,Not coffee,non,442379,551912
mitraille,2,Not coffee,non,442379,551912
mitraille de cuivre,1,Not coffee,non,442379,551912
mitraille vieille en batterie de cuisine,1,Not coffee,non,442379,551912
mitrailles de cuivre,103,Not coffee,non,442379,551912
mitrailles de cuivre pur vieux,1,Not coffee,non,442379,551912
mittes,2,Not coffee,non,442379,551912
mittes de soie,9,Not coffee,non,442379,551912
mittières de fer,1,Not coffee,non,442379,551912
mobilier,805,Not coffee,non,442379,551912
mobilier vieux,14,Not coffee,non,442379,551912
mocade,0,Not coffee,oui,442379,551912
mode de bœuf,1,Not coffee,non,442379,551912
"mode, peaux, porcelaine, ruban 16 onces",1,Not coffee,non,442379,551912
modèle de château de carton,1,Not coffee,non,442379,551912
modèle de plâtre,1,Not coffee,non,442379,551912
modèle de sculpture,1,Not coffee,non,442379,551912
modes,0,Not coffee,oui,442379,551912
modes de Montauban,1,Not coffee,non,442379,551912
moelle,1,Not coffee,non,442379,551912
moëlle,0,Not coffee,oui,442379,551912
moelle de bœuf,10,Not coffee,non,442379,551912
moëlle de bœuf,0,Not coffee,oui,442379,551912
moellons,6,Not coffee,non,442379,551912
moellons à faire chaux,1,Not coffee,non,442379,551912
moellons à faire des bâtiments,1,Not coffee,non,442379,551912
moellons argile ciment gypse sable stuc tuf pavés pierres à chaux pierres meulières pouzzolane,0,Not coffee,oui,442379,551912
moellons de brique,2,Not coffee,non,442379,551912
moellons de briques,0,Not coffee,oui,442379,551912
moellons pierres meulières etc.,2,Not coffee,non,442379,551912
moines garnis de fer-blanc,1,Not coffee,non,442379,551912
moire,1,Not coffee,non,442379,551912
moire blanche,2,Not coffee,non,442379,551912
moire d'argent,1,Not coffee,non,442379,551912
Moka,0,Not coffee,oui,442379,551912
molenaers,1,Not coffee,non,442379,551912
molleton,103,Not coffee,non,442379,551912
molleton aune,1,Not coffee,non,442379,551912
molleton de capiton,4,Not coffee,non,442379,551912
molleton de coton,16,Not coffee,non,442379,551912
molleton de laine,28,Not coffee,non,442379,551912
molleton de laine imprimé,2,Not coffee,non,442379,551912
molleton de soie,1,Not coffee,non,442379,551912
molleton et taffetas de laine,3,Not coffee,non,442379,551912
molleton frisé,1,Not coffee,non,442379,551912
mollues,1,Not coffee,non,442379,551912
momade,1,Not coffee,non,442379,551912
momie,7,Not coffee,non,442379,551912
moncayard,5,Not coffee,non,442379,551912
mongette,44,Not coffee,non,442379,551912
mongistere,7,Not coffee,non,442379,551912
monnaie d'argent,0,Not coffee,oui,442379,551912
monnaie de billon,0,Not coffee,oui,442379,551912
monnaie de cuivre,0,Not coffee,oui,442379,551912
monnaies au type étranger,95,Not coffee,non,442379,551912
monnaies d'argent,31,Not coffee,non,442379,551912
monnaies d'argent en espèces coursables,1,Not coffee,non,442379,551912
monnaies d'argent et d'or et au type étranger,7,Not coffee,non,442379,551912
monnaies d'argent par Calais,2,Not coffee,non,442379,551912
monnaies d'argent par Strasbourg et Metz,1,Not coffee,non,442379,551912
monnaies d'argent par Valenciennes,1,Not coffee,non,442379,551912
monnaies d'or,18,Not coffee,non,442379,551912
monnaies d'or par Calais,1,Not coffee,non,442379,551912
monnaies d'or quadruple,3,Not coffee,non,442379,551912
monnaies de billon,3,Not coffee,non,442379,551912
monnaies de cuivre,47,Not coffee,non,442379,551912
monnaies de cuivre de Suède,4,Not coffee,non,442379,551912
monnaies de cuivre jaune,1,Not coffee,non,442379,551912
monnaies de cuivre ouvré,1,Not coffee,non,442379,551912
monnaies de cuivre pur,4,Not coffee,non,442379,551912
monnaies du Portugal,1,Not coffee,non,442379,551912
montichon,2,Not coffee,non,442379,551912
montres,2,Not coffee,non,442379,551912
montres d'argent,8,Not coffee,non,442379,551912
montres d'argent et d'or,1,Not coffee,non,442379,551912
montres d'or,9,Not coffee,non,442379,551912
montres d'or à répétition,1,Not coffee,non,442379,551912
montres d'or ordinaires,1,Not coffee,non,442379,551912
montres de cuivre,2,Not coffee,non,442379,551912
montres de poche,3,Not coffee,non,442379,551912
montres de poche à caisse d'argent,1,Not coffee,non,442379,551912
montres de poche à caisse d'or,1,Not coffee,non,442379,551912
montres de poches à caisse de pinsbeck,1,Not coffee,non,442379,551912
montres et pendule,1,Not coffee,non,442379,551912
moque de gréz,0,Not coffee,oui,442379,551912
moques de grès,1,Not coffee,non,442379,551912
moquette,136,Not coffee,non,442379,551912
moquette de fil et de laine,4,Not coffee,non,442379,551912
moquette de fil et laine,1,Not coffee,non,442379,551912
moquette de laine,2,Not coffee,non,442379,551912
moquette de laine et de fil,1,Not coffee,non,442379,551912
moquette grasse de laine et fil,1,Not coffee,non,442379,551912
moquette rouge,1,Not coffee,non,442379,551912
moquette verte,1,Not coffee,non,442379,551912
morceaux cousus,2,Not coffee,non,442379,551912
morceaux cousus de hamsters,2,Not coffee,non,442379,551912
morceaux cousus de lapins et lièvres,2,Not coffee,non,442379,551912
morceaux cousus dos et ventre de petits-gris,2,Not coffee,non,442379,551912
morceaux d'espars,1,Not coffee,non,442379,551912
morceaux de bois,1,Not coffee,non,442379,551912
morceaux de bois ordinaire de 6 à 7 pieds,1,Not coffee,non,442379,551912
morceaux de bois puant de 6 pieds,1,Not coffee,non,442379,551912
morceaux de planches,1,Not coffee,non,442379,551912
morceaux de sapin,2,Not coffee,non,442379,551912
morenine de soie,1,Not coffee,non,442379,551912
morilles,16,Not coffee,non,442379,551912
morilles et mousserons et truffes,1,Not coffee,non,442379,551912
morilles et mousserons frais,1,Not coffee,non,442379,551912
morilles et mousserons secs ou marinés,2,Not coffee,non,442379,551912
morilles et truffes,1,Not coffee,non,442379,551912
mors de bride,0,Not coffee,oui,442379,551912
mors de brides,29,Not coffee,non,442379,551912
mors de brides dorés,1,Not coffee,non,442379,551912
mors et brides,3,Not coffee,non,442379,551912
mortiers,2,Not coffee,non,442379,551912
mortiers de bois,1,Not coffee,non,442379,551912
mortiers de bronze,1,Not coffee,non,442379,551912
mortiers de fer,6,Not coffee,non,442379,551912
mortiers de fonte,6,Not coffee,non,442379,551912
mortiers de marbre,135,Not coffee,non,442379,551912
mortiers de métal,1,Not coffee,non,442379,551912
mortiers de métal et pilon,1,Not coffee,non,442379,551912
mortiers de pierre,21,Not coffee,non,442379,551912
mortiers de terre,1,Not coffee,non,442379,551912
mortiers et pilon,1,Not coffee,non,442379,551912
morue,188,Not coffee,non,442379,551912
morue ???,1,Not coffee,non,442379,551912
morue avariée,1,Not coffee,non,442379,551912
morue avec harengs des prises,1,Not coffee,non,442379,551912
morue blanche,1,Not coffee,non,442379,551912
morue de Hollande,5,Not coffee,non,442379,551912
morue de pêche française,10,Not coffee,non,442379,551912
morue douce,1,Not coffee,non,442379,551912
morue en pavé,1,Not coffee,non,442379,551912
morue en saumure,2,Not coffee,non,442379,551912
morue et stockfisch,41,Not coffee,non,442379,551912
morue joues sèche,1,Not coffee,non,442379,551912
morue marinée et salée,4,Not coffee,non,442379,551912
morue note alang,1,Not coffee,non,442379,551912
morue par Bayonne,1,Not coffee,non,442379,551912
morue salée,62,Not coffee,non,442379,551912
morue salée d'Islande,1,Not coffee,non,442379,551912
morue salée et marinée,1,Not coffee,non,442379,551912
morue salée sèche,1,Not coffee,non,442379,551912
morue salée verte,1,Not coffee,non,442379,551912
morue sèche,63,Not coffee,non,442379,551912
morue sèche et salée et stockfisch salé suivant l'état des primes,6,Not coffee,non,442379,551912
morue séchée,997,Not coffee,non,442379,551912
morue stockfisch,9,Not coffee,non,442379,551912
morue têtes,1,Not coffee,non,442379,551912
morue verte,521,Not coffee,non,442379,551912
morue verte cabillaud,1,Not coffee,non,442379,551912
morue verte cap et queues,6,Not coffee,non,442379,551912
morue verte des Îles,1,Not coffee,non,442379,551912
morue verte et salée,3,Not coffee,non,442379,551912
morue verte grande et moyenne,1,Not coffee,non,442379,551912
morue verte salée,1,Not coffee,non,442379,551912
motte de lin,1,Not coffee,non,442379,551912
mottes à brûler,6,Not coffee,non,442379,551912
moucherons,1,Not coffee,non,442379,551912
mouches à miel,3,Not coffee,non,442379,551912
mouches cantharides,13,Not coffee,non,442379,551912
mouches de soie,110,Not coffee,non,442379,551912
mouches de taffetas,5,Not coffee,non,442379,551912
mouchoirs,214,Not coffee,non,442379,551912
mouchoirs ??? de fil de France,5,Not coffee,non,442379,551912
mouchoirs à carreaux,1,Not coffee,non,442379,551912
mouchoirs à la valeur,1,Not coffee,non,442379,551912
mouchoirs à peu de soie,1,Not coffee,non,442379,551912
mouchoirs à toile peinte,1,Not coffee,non,442379,551912
mouchoirs à vignettes,1,Not coffee,non,442379,551912
mouchoirs au brin de soie,1,Not coffee,non,442379,551912
mouchoirs baffetas,1,Not coffee,non,442379,551912
mouchoirs bandanas,1,Not coffee,non,442379,551912
mouchoirs batiste peint,1,Not coffee,non,442379,551912
mouchoirs blancs,2,Not coffee,non,442379,551912
mouchoirs blancs brodés en fil de chanvre et de lin,0,Not coffee,oui,442379,551912
mouchoirs blancs brodés en fil de chanvre ou de lin,3,Not coffee,non,442379,551912
mouchoirs blancs de chanvre et de lin,2,Not coffee,non,442379,551912
mouchoirs blancs et bleus,1,Not coffee,non,442379,551912
mouchoirs blancs et teints,27,Not coffee,non,442379,551912
mouchoirs bleus,3,Not coffee,non,442379,551912
mouchoirs brodés,9,Not coffee,non,442379,551912
mouchoirs brodés de soie,1,Not coffee,non,442379,551912
mouchoirs communs,4,Not coffee,non,442379,551912
mouchoirs coupés,3,Not coffee,non,442379,551912
mouchoirs d'Alep,2,Not coffee,non,442379,551912
mouchoirs d'indienne,72,Not coffee,non,442379,551912
mouchoirs d'organdis,3,Not coffee,non,442379,551912
mouchoirs de ???,2,Not coffee,non,442379,551912
mouchoirs de batiste,28,Not coffee,non,442379,551912
mouchoirs de batiste de Saint-Quentin,2,Not coffee,non,442379,551912
mouchoirs de Bengale,106,Not coffee,non,442379,551912
mouchoirs de Betton,1,Not coffee,non,442379,551912
mouchoirs de Champafaris,2,Not coffee,non,442379,551912
mouchoirs de chanvre et de lin blancs,2,Not coffee,non,442379,551912
mouchoirs de chanvre et de lin imprimés teints rayés par le tissage,3,Not coffee,non,442379,551912
mouchoirs de chanvre et de lin rayés teints ou imprimés,2,Not coffee,non,442379,551912
mouchoirs de chasse,1,Not coffee,non,442379,551912
mouchoirs de chocolat,2,Not coffee,non,442379,551912
mouchoirs de Cholet,144,Not coffee,non,442379,551912
mouchoirs de coton,794,Not coffee,non,442379,551912
mouchoirs de coton blanc,1,Not coffee,non,442379,551912
mouchoirs de coton blancs,1,Not coffee,non,442379,551912
mouchoirs de coton brin de soie,2,Not coffee,non,442379,551912
mouchoirs de coton communs,5,Not coffee,non,442379,551912
mouchoirs de coton de France,15,Not coffee,non,442379,551912
mouchoirs de coton de l'étranger,2,Not coffee,non,442379,551912
mouchoirs de coton découpés,1,Not coffee,non,442379,551912
mouchoirs de coton des Indes,14,Not coffee,non,442379,551912
mouchoirs de coton en soie,1,Not coffee,non,442379,551912
mouchoirs de coton et de fil,482,Not coffee,non,442379,551912
mouchoirs de coton et de fil découpés,1,Not coffee,non,442379,551912
mouchoirs de coton et de soie,1,Not coffee,non,442379,551912
mouchoirs de coton et fil,25,Not coffee,non,442379,551912
mouchoirs de coton et fil de coton,16,Not coffee,non,442379,551912
mouchoirs de coton et soie,15,Not coffee,non,442379,551912
mouchoirs de coton et soie de France,1,Not coffee,non,442379,551912
mouchoirs de coton étrangers,3,Not coffee,non,442379,551912
mouchoirs de coton fins,5,Not coffee,non,442379,551912
mouchoirs de coton gros,1,Not coffee,non,442379,551912
mouchoirs de coton grossiers,1,Not coffee,non,442379,551912
mouchoirs de coton peints,7,Not coffee,non,442379,551912
mouchoirs de cotongros,0,Not coffee,oui,442379,551912
mouchoirs de Craité,1,Not coffee,non,442379,551912
mouchoirs de demi soie,1,Not coffee,non,442379,551912
mouchoirs de différentes qualités en coton,3,Not coffee,non,442379,551912
mouchoirs de différentes quantités,6,Not coffee,non,442379,551912
mouchoirs de fil,375,Not coffee,non,442379,551912
mouchoirs de fil commun,1,Not coffee,non,442379,551912
mouchoirs de fil de ??? de Cholet et ???,3,Not coffee,non,442379,551912
mouchoirs de fil de Cholet,2,Not coffee,non,442379,551912
mouchoirs de fil de lin,1,Not coffee,non,442379,551912
mouchoirs de fil de lin imprimé,1,Not coffee,non,442379,551912
mouchoirs de fil de Rouen,2,Not coffee,non,442379,551912
mouchoirs de fil du Béarn,3,Not coffee,non,442379,551912
mouchoirs de fil et de batiste,1,Not coffee,non,442379,551912
mouchoirs de fil et de coton,89,Not coffee,non,442379,551912
mouchoirs de fil et de lin,1,Not coffee,non,442379,551912
mouchoirs de fil et de pitre,1,Not coffee,non,442379,551912
mouchoirs de fil fin,1,Not coffee,non,442379,551912
mouchoirs de fil organdi,15,Not coffee,non,442379,551912
mouchoirs de fil peint,1,Not coffee,non,442379,551912
mouchoirs de filoselle,1,Not coffee,non,442379,551912
mouchoirs de fleuret,3,Not coffee,non,442379,551912
mouchoirs de foulard,3,Not coffee,non,442379,551912
mouchoirs de France,1,Not coffee,non,442379,551912
mouchoirs de gaze,66,Not coffee,non,442379,551912
mouchoirs de gaze de soie,2,Not coffee,non,442379,551912
mouchoirs de gaze divers,3,Not coffee,non,442379,551912
mouchoirs de gaze grands,1,Not coffee,non,442379,551912
mouchoirs de guingan,3,Not coffee,non,442379,551912
mouchoirs de Hollande,1,Not coffee,non,442379,551912
mouchoirs de kinfin,1,Not coffee,non,442379,551912
mouchoirs de l'hotes,2,Not coffee,non,442379,551912
mouchoirs de la Compagnie des Indes,3,Not coffee,non,442379,551912
mouchoirs de laine,2,Not coffee,non,442379,551912
mouchoirs de laiton,1,Not coffee,non,442379,551912
mouchoirs de Laval,1,Not coffee,non,442379,551912
mouchoirs de lin,4,Not coffee,non,442379,551912
mouchoirs de linon,3,Not coffee,non,442379,551912
mouchoirs de Madras,8,Not coffee,non,442379,551912
mouchoirs de Masulipatan,17,Not coffee,non,442379,551912
mouchoirs de mousseline,25,Not coffee,non,442379,551912
mouchoirs de mousseline brodée,1,Not coffee,non,442379,551912
mouchoirs de Paliacate,10,Not coffee,non,442379,551912
mouchoirs de Patras,1,Not coffee,non,442379,551912
mouchoirs de pitre,1,Not coffee,non,442379,551912
mouchoirs de Pondichéry,162,Not coffee,non,442379,551912
mouchoirs de romals,55,Not coffee,non,442379,551912
mouchoirs de romals et de la Côte,1,Not coffee,non,442379,551912
mouchoirs de Rouen,97,Not coffee,non,442379,551912
mouchoirs de Saumur,1,Not coffee,non,442379,551912
mouchoirs de Sénégal,3,Not coffee,non,442379,551912
mouchoirs de siamoise,1,Not coffee,non,442379,551912
mouchoirs de soie,628,Not coffee,non,442379,551912
mouchoirs de soie de la Chine,2,Not coffee,non,442379,551912
mouchoirs de soie de renvoi,1,Not coffee,non,442379,551912
mouchoirs de soie de Rouen,1,Not coffee,non,442379,551912
mouchoirs de soie des Indes,1,Not coffee,non,442379,551912
mouchoirs de soie en coton,1,Not coffee,non,442379,551912
mouchoirs de soucis,1,Not coffee,non,442379,551912
mouchoirs de taffetas,1,Not coffee,non,442379,551912
mouchoirs de toile,8,Not coffee,non,442379,551912
mouchoirs de toile ???,1,Not coffee,non,442379,551912
mouchoirs de toile aune,1,Not coffee,non,442379,551912
mouchoirs de toile blanche,1,Not coffee,non,442379,551912
mouchoirs de toile de Bretagne,1,Not coffee,non,442379,551912
mouchoirs de toile de Cholet,52,Not coffee,non,442379,551912
mouchoirs de toile de Hin,1,Not coffee,non,442379,551912
mouchoirs de toile découpés,1,Not coffee,non,442379,551912
mouchoirs de toile fine,1,Not coffee,non,442379,551912
mouchoirs de toile peinte,11,Not coffee,non,442379,551912
mouchoirs de toile rayée,2,Not coffee,non,442379,551912
mouchoirs de traite,2,Not coffee,non,442379,551912
mouchoirs de Zurich,1,Not coffee,non,442379,551912
mouchoirs demi soie,2,Not coffee,non,442379,551912
mouchoirs des Îles,1,Not coffee,non,442379,551912
mouchoirs des Indes,214,Not coffee,non,442379,551912
mouchoirs des Indes communs,1,Not coffee,non,442379,551912
mouchoirs des Indes de coton,2,Not coffee,non,442379,551912
mouchoirs des Indes de soie,3,Not coffee,non,442379,551912
mouchoirs des Indes dit bandanas,1,Not coffee,non,442379,551912
mouchoirs des Indes dits romals,1,Not coffee,non,442379,551912
mouchoirs du Béarn,17,Not coffee,non,442379,551912
mouchoirs du Levant,2,Not coffee,non,442379,551912
mouchoirs du pays,1,Not coffee,non,442379,551912
mouchoirs du Sénégal,1,Not coffee,non,442379,551912
mouchoirs écorce d'arbre,1,Not coffee,non,442379,551912
mouchoirs en soie,1,Not coffee,non,442379,551912
mouchoirs et ???,1,Not coffee,non,442379,551912
mouchoirs et cravates de mousseline,1,Not coffee,non,442379,551912
mouchoirs et cravates de soie mêlée,2,Not coffee,non,442379,551912
mouchoirs et fichus de toile peinte,2,Not coffee,non,442379,551912
