simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
anchois câpres olives,1,Subsistances diverses et mélangées,non,10028
anchois et boutargue,13,Pêche et fruits de mer,non,13709
anchois et câpres,5,Subsistances diverses et mélangées,non,10028
anchois et sardes,1,Pêche et fruits de mer,non,13709
anchois et sardines,5,Pêche et fruits de mer,non,13709
anchois mariné,6,Pêche et fruits de mer,non,13709
anchois mariné et salé,39,Pêche et fruits de mer,non,13709
anchois salé et mariné,2,Pêche et fruits de mer,non,13709
anchois salés,4,Pêche et fruits de mer,non,13709
anchois salés et marinés,9,Pêche et fruits de mer,non,13709
ancres,53,Bâtiments de mer et apparaux,non,8061
ancres de chaudon,1,Bâtiments de mer et apparaux,non,8061
ancres de fer,562,Bâtiments de mer et apparaux,non,8061
ancres de fer à chaudrons,1,Bâtiments de mer et apparaux,non,8061
ancres de fer au-dessus de 250 kilogrammes,1,Bâtiments de mer et apparaux,non,8061
ancres de fer de 250 kilogrammes et au-dessous,1,Bâtiments de mer et apparaux,non,8061
ancres de fer et embarcations,2,Bâtiments de mer et apparaux,non,8061
ancres et embarcations,5,Bâtiments de mer et apparaux,non,8061
ancres et grappins de fer,1,Ouvrages métalliques,non,20598
ancres gravelées,1,Bâtiments de mer et apparaux,non,8061
ancres neuves,3,Bâtiments de mer et apparaux,non,8061
ancres vides,4,Bâtiments de mer et apparaux,non,8061
ancres vieilles,1,Bâtiments de mer et apparaux,non,8061
ancres vieilles vides,1,Bâtiments de mer et apparaux,non,8061
andolium,2,Pêche et fruits de mer,non,13709
andouilles,43,Chairs et œufs,non,7822
andouillette,1,Chairs et œufs,non,7822
ânes,173,Chevaux et bêtes de somme,non,1548
ânes et ânesses,8,Chevaux et bêtes de somme,non,1548
ânes et mulets,11,Chevaux et bêtes de somme,non,1548
ânesses,1,Chevaux et bêtes de somme,non,1548
angélique,28,Drogues médicinales diverses,non,11402
angélique du Rozème,1,Drogues médicinales diverses,non,11402
anguilles,22,Pêche et fruits de mer,non,13709
anguilles et truites,0,Pêche et fruits de mer,non,13709
anguilles fraîches,1,Pêche et fruits de mer,non,13709
anguilles marinées,1,Pêche et fruits de mer,non,13709
anguilles salées,22,Pêche et fruits de mer,non,13709
anille,1,Ouvrages métalliques,non,20598
animaux,5,Animaux,non,3801
anis,558,Drogues médicinales diverses,non,11402
anis et rac et rhum etc.,0,Boissons diverses et mélangées,non,513
anis et sucre,1,Denrées coloniales et épiceries diverses,non,3107
anis vert,93,Denrées coloniales et épiceries diverses,non,3107
anis vert à distiller,2,Denrées coloniales et épiceries diverses,non,3107
anisette,112,Eaux-de-vie et liqueurs,non,14680
anisette au fiasque,6,Eaux-de-vie et liqueurs,non,14680
anisette de Bordeaux,2,Eaux-de-vie et liqueurs,non,14680
anneau de cuivre,1,Ouvrages métalliques,non,20598
anneau de fer,2,Ouvrages métalliques,non,20598
anneaux de cuivre,1,Ouvrages métalliques,non,20598
anneaux de fer,1,Ouvrages métalliques,non,20598
ânon,2,Chevaux et bêtes de somme,non,1548
anspects,128,Bâtiments de mer et apparaux,non,8061
anspects de 3 à 4 pieds,1,Bâtiments de mer et apparaux,non,8061
anspects de bois,26,Bâtiments de mer et apparaux,non,8061
anspects de sapin,1,Bâtiments de mer et apparaux,non,8061
antale,3,Objets d'art et d'histoire naturelle,non,2314
antale et cauris,1,Objets d'art et d'histoire naturelle,non,2314
antenelle,1,Produits inconnus,non,7059
antennes,2,Divers incertains,non,8518
antennes et mâts de bateaux,1,"Ouvrages de bois, liège et jonc",non,32327
antimoine,228,Drogues médicinales diverses,non,11402
antimoine cru,27,Drogues médicinales diverses,non,11402
antimoine métallique et sulfuré,2,Drogues médicinales diverses,non,11402
antimoine préparé,2,Drogues médicinales diverses,non,11402
antimoine vert,1,Drogues médicinales diverses,non,11402
antofle,1,Girofle,non,1029
antofle de girofle,11,Girofle,non,1029
apasier,1,Produits inconnus,non,7059
apier,3,"Ouvrages de bois, liège et jonc",non,32327
apios,7,Matières premières diverses,non,15181
apparaux,1,Bâtiments de mer et apparaux,non,8061
apparaux et bâtiments de mer,38,Bâtiments de mer et apparaux,non,8061
apprêtée à toiler les livres,0,Divers incertains,non,8518
apprêtée pour parchemins,0,"Cuirs, peaux et pelleterie",non,22200
apprêts,2,Divers incertains,non,8518
arachis olives fraîches,1,Fruits frais,non,8185
arains,6,Étoffes de soie,non,8554
arak,17,Eaux-de-vie et liqueurs,non,14680
arbalètes,0,"Armes, munitions, poudre et pierres à fusil",non,4976
arbalètrie et cartes marines,1,Divers mélangés,non,39767
