orthographic_normalization_classification,simplification_classification,nbr_occurences_ortho,nbr_occurences_simpl
graine de trèfle et luzerne,graine de luzerne et de trèfle,128,130
graine de tremaille,graine de tremaine,4,10
graine de tremaine,graine de tremaine,5,10
graine de triotet,graine de trioter,1,1
graine de truelle,graine de truelle,1,1
graine de truffe,graine de truffe,5,5
graine de vermillon,graine de vermillon,3,3
graine de vermillon ou d'eolatte,graine de vermillon ou d'eolatte,1,1
graine de verre,grains de verre,2,29
graine de verre à chapelet,grains de verre à chapelet,1,1
graine de vers,grains de verre,24,29
graine de vers à soie,graine de vers à soie,37,37
graine de vesse,graine de vesse,4,4
graine de zedoria,graine de zedoria,1,1
graine des Canaries,graine des Canaries,33,33
graine des îles,graine des Îles,2,2
graine des Indes,graine des Indes,1,1
graine diverse,graine diverse,410,416
graine diverse blé,grains froment,1,1796
graine diverse de chanvre,graine de chanvre,1,257
graine diverse de trèfle,graine de trèfle,1,326
graine diverse de tremaine,graine de tremaine,1,10
graine diverse et de jardin,graine diverse et de jardin,1,25
graine diverse riz,grains riz,2,2075
graine douce,graine douce,2,2
graine du jardin,graine du jardin,1,2
graine du soucrillon,graine du soucrillon,1,1
graine écarlate,graine écarlate,1,7
graine et semence froide,graine et semence froide,1,1
graine fenouil,graine fenouil,2,2
graine fermentale,graine fermentale,1,1
graine froment,grains froment,6,1796
graine froment seigle,grains froment seigle,1,1
graine grainette,graine grainette,2,2
graine grasse,graine grasse,47,66
graine grasse de chanvre colza lin et rabette,graine grasse,13,66
graine grasse de chanvre lin et colza,graine grasse,6,66
graine grasse et de lin,graine de lin et grasse,18,25
graine grenaille,grains grenaille,2,2
graine gruau,farine gruau,1,13
graine huile d'olive,graine huile d'olive,1,1
graine jardin,graine du jardin,1,2
graine jaune,graine jaune,224,226
graine jaune d'Avignon,graine jaune d'Avignon,7,68
graine jaune d'Avignon ou nerprun,graine jaune d'Avignon ou nerprun,19,19
graine jaune de laitue,graine jaune de laitue,1,1
graine jaune dite wauwe,graine jaune dit wauwe,1,1
graine jaune longue,graine jaune longue,1,1
graine jaune ou d'Avignon,graine jaune d'Avignon,61,68
graine lin,graine de lin,3,716
graine longue,graine longue,67,67
graine luzerne,graine de luzerne,2,98
graine mêlée,graine,1,45
graine millet,grains millet,7,309
graine moutarde,graine de moutarde,3,267
graine orge,grains orge,2,738
graine pour la teinture,graine pour teinture,1,17
graine pour teindre,graine pour teinture,3,17
graine pour teinture,graine pour teinture,13,17
graine riz,grains riz,4,2075
graine rouge,graine rouge,3,3
graine sapotille,graine de sapotille,1,1
graine seigle,grains seigle,8,600
graine silvestre,graine de silvestre,1,2
graine trèfle,graine de trèfle,1,326
graine triole,graine triole,1,1
graine truffe,graine truffe,1,1
graine verte,graine verte,2,2
graine vieille de lin,graine vieille de lin,1,1
graines comestibles diverses,grains divers,1,56
grainette,grainette,4,4
grainette d'Avignon,grainette d'Avignon,1,1
grainette jaune,grainette jaune,2,2
grains,grains divers,1,56
grains à chapelets,grains à chapelets,2,3
grains ails,grains ails,3,3
grains autres céréales,grains autre que céréales,2,2
grains avoine,grains avoine,21,70
grains blé,grains froment,29,1796
grains blé d'Inde,grains maïs,6,113
grains blé froment,grains froment,12,1796
grains blé orge,grains orge,1,738
grains blé riz,grains riz,3,2075
grains comestibles,grains divers,12,56
grains comestibles au blé froment,grains froment,5,1796
grains comestibles avoine,grains avoine,36,70
grains comestibles blé,grains froment,3,1796
grains comestibles blé blanc,grains froment,5,1796
grains comestibles blé d'Inde,grains maïs,1,113
grains comestibles blé froment,grains froment,75,1796
grains comestibles blé millet,grains millet,1,309
grains comestibles blé orge,grains orge,1,738
grains comestibles blé roux,grains froment,1,1796
grains comestibles blé seigle,grains seigle,1,600
grains comestibles des Indes,grains maïs,1,113
grains comestibles divers,grains divers,8,56
grains comestibles en avoine,grains avoine,1,70
grains comestibles en froment,grains froment,1,1796
grains comestibles en gruau,gruau de grains comestible,1,2
grains comestibles en millet,grains millet,1,309
grains comestibles en riz,grains riz,1,2075
grains comestibles froment,grains froment,24,1796
grains comestibles gruau,farine gruau,1,13
grains comestibles maïs,grains maïs,2,113
grains comestibles millet,millet,10,10
grains comestibles orge,grains orge,46,738
grains comestibles orge ???,grains orge,1,738
grains comestibles orge germé,grains orge germé,2,14
grains comestibles orge perlé,grains orge,1,738
grains comestibles riz,grains riz,82,2075
grains comestibles seigle,grains seigle,47,600
grains comestibles soucrillon,grains soucrillon,3,7
grains comestibles soucrillon grains pour la bière,grains soucrillon,1,7
grains d'ambre,ambre en grains,1,1
grains d'Avignon,grains d'Avignon,1,1
grains de blé,grains blé,1,293
grains de chapelets,grains à chapelets,1,3
grains de genièvre,graine de genièvre,1,228
grains de jardin,graine de jardin,7,1046
grains de lin,grains de lin,5,5
grains de millet gros,grains de millet gros,1,1
grains de riz,grains riz,1,2075
grains de séné,grains de séné,1,1
grains de toute sorte,grains divers,6,56
grains de trèfle,grains de trèfle,1,1
grains de verre,grains de verre,1,29
grains de vers,grains de verre,2,29
grains divers,grains divers,8,56
grains divers blé,grains divers,1,56
grains divers blé froment,grains froment,1,1796
grains divers riz,grains riz,4,2075
grains divers seigle,grains seigle,1,600
grains durs à tailler,grains dur à tailler,2,2
grains en advestures de toute espèce,grains en advestures de toute espèce,1,1
grains en avoine et froment,grains avoine et froment,1,1
grains en blé d'Inde,grains maïs,1,113
grains en froment,grains froment,1,1796
grains en graine,graine,5,45
grains en seigle etc.,grains seigle,1,600
grains épautre,grains épeautre,3,3
grains et graine diverses,grains divers,6,56
grains farine fromage etc,grains farine fromage etc.,1,1
grains froment,grains froment,36,1796
grains froment méteil seigle orge avoine etc,grains divers,2,56
grains haricots,haricots,2,66
grains maïs,grains maïs,7,113
grains mêlés,grains divers,1,56
grains mêlés de toute sorte,grains divers,1,56
grains menus grains,grains menu,1,1
grains méteil,grains méteil,4,49
grains metillon,graine metillon,1,1
grains millet,grains millet,7,309
grains orge,grains orge,20,738
grains perlés et mondés,grains mondé et perlé,1,8
grains perlés ou mondés,grains mondé et perlé,7,8
grains petits,grains petits,1,1
grains riz,grains riz,26,2075
grains seigle,grains seigle,38,600
grains seigle et maïs,grains maïs seigle,2,2
grains soucrillon,grains soucrillon,1,7
graisse,graisse,319,334
graisse à chapeler,graisse à chapeler,1,1
graisse autre de toute sorte,graisse,2,334
graisse blanche,graisse blanche,2,2
graisse d'autruche,graisse d'autruche,1,1
graisse d'oint,graisse d'oint,1,1
graisse d'ours,graisse d'ours,2,2
graisse de baleine,graisse de baleine,1,1
graisse de boucherie,graisse de boucherie,51,51
graisse de cacao,graisse de cacao,1,1
graisse de chanvre,graisse de chanvre,3,3
graisse de cheval d'ours et de pied de bœuf,graisse de cheval d'ours et de pied de bœuf,3,3
graisse de cochon,graisse de cochon,6,6
graisse de gras de peau,graisse de gras de peau,2,6
graisse de jardin,graisse de jardin,1,1
graisse de mouton,graisse de mouton,6,6
graisse de pied de bœuf,graisse de pied de bœuf,1,1
graisse de poisson,graisse de poisson,11,11
graisse de poisson de pêche étrangère,graisse de poisson de pêche étrangère,1,1
graisse de poisson de pêche française,graisse de poisson de pêche française,2,2
graisse de poisson des pays hors d'Europe,graisse de poisson des pays hors d'Europe,1,1
graisse de porcs,graisse de porcs,109,110
graisse de tasson et autres,graisse de tasson et autres,1,1
graisse de toute sorte sauf suif brut et graisse de gras de peau,graisse de toute sorte sauf gras de peau et suif brut,2,2
graisse de toute sorte sauf suif brut graisse de cheval d'ours de pied de bœuf et de gras de peau,graisse de toute sorte sauf graisse de cheval d'ours de gras de peau et suif brut,1,1
graisse de toute sorte sauf suif brut graisse de cheval d'ours de pied de bœuf et dégras de peau,graisse de toute sorte sauf graisse de bœuf d'ours de gras de peau et suif brut,2,2
graisse de tripe,graisse de porcs,1,110
graisse dégras de peau,graisse de gras de peau,4,6
graisse dite saindoux,saindoux,1,58
graisse diverse,graisse,6,334
graisse douce,graisse douce,3,3
graisse douce de cochon,graisse douce de cochon,1,1
graisse fine,graisse fine,2,2
graisse fondue,graisse fondue,1,1
graisse ordinaire,graisse,2,334
graisse ou vieux-oint,vieux-oint,1,137
graisse saindoux,saindoux,2,58
graisse salée,graisse salée,1,1
graisse suif brut,suif brut,7,10
graisse vieux-oint,vieux-oint,1,137
grame de bois de Campêche,graine de campêche,1,4
grandes perches dites juffers,perches grandes dit juffers,1,1
granille de cochenille,granille de cochenille,44,44
granit,granit,1,1
graphite,graphite,4,7
graphite (carbure de fer dite mine de plomb noire),graphite,1,7
graphite (plombagine ou mine de plomb),graphite,2,7
grappins,grappins,4,4
grappins de fer,grappins de fer,15,56
gras de tours,gras de tours,1,1
gras rouge,gras rouge,1,1
gras-double,gras-double,7,7
grattes,grattes,1,1
grattoirs,grattoirs,3,3
grattoirs de fer,grattoirs de fer,1,1
gravelle,gravelle,17,17
gravures,gravures,2,2
gravures encadrées,gravures encadrées,1,1
gravures et lithographies,gravures et lithographies,2,2
gravures noires ou coloriées,gravures noires ou coloriées,6,6
grèles,grèles,1,1
grèles à café,grèles à café,1,1
grelin,grelin,4,4
grelots,grelots,52,52
grelots de cuivre,grelots de cuivre,33,60
grelots de laiton,grelots de laiton,1,1
grelots en cuivre,grelots de cuivre,3,60
grelots et sonnettes,grelots et sonnettes,1,1
grenade,grenade,37,37
grenade à feu,grenade à feu,1,1
grenade de coton,grenade de coton,1,1
grenade de fer,grenade de fer,11,12
grenade de Florence,grenade de Florence,1,1
grenade en fer,grenade de fer,1,12
grenade étoffe,grenade étoffe,2,2
grenade fruit,grenade fruit,7,7
grenade pour la Compagnie des Indes,grenade pour la Compagnie des Indes,1,1
grenadiers laurier jasmin etc.,grenadier et laurier et jasmin etc,2,2
grenaille,grenaille,7,7
grenaille de cochenille,grenaille de cochenille,3,3
grenaille de fer et acier,grenaille d'acier et de fer,1,1
grenat,grenat,15,15
grenat faux,grenat faux,2,2
grenat faux et autres pierres fausses non montées,grenat faux et autres pierres fausses non montées,1,1
grenat fin,grenat fin,3,3
grenat fin monté,grenat fin monté,1,1
grenat fin non monté,grenat fin non monté,1,1
grès,grès,1,1
grès à laver,grès à laver,4,4
grès en pavé,grès en pavé,3,3
grignons,grignons,5,5
grillages,grillages,1,1
grillages de fer,grillages de fer,1,2
grillages en fer,grillages de fer,1,2
grilles,grilles,1,1
grilles de fer,grilles de fer,21,56
grilles de fer à moulins à sucre,grilles de fer à moulins à sucre,1,1
grilles de fer de fonte,grilles de fer de fonte,3,4
grilles de fer pour moulins à sucre,grilles de fer pour moulins à sucre,1,1
grilles de fonte de fer,grilles de fer de fonte,1,4
grillons,grillons,1,1
grillons de fonte,grillons de fonte,1,1
grinza,grinza,1,1
gris,gris,2,3
grisette,grisette,53,53
grisette de Flandre,grisette de Flandre,1,1
grisette de laine,grisette de laine,1,2
grisette de soie,grisette de soie,2,10
grisons,grisons,2,2
grives,grives,3,3
groisil,groisil,1,1
groisil de verres,groisil de verre,1,2
groisil ou verre cassé,groisil de verre,1,2
groison,groison,2,2
gros de Naples,gros de Naples,1,1
gros de Tours,gros de Tours,5,5
gros ouvrages de bois,ouvrages de bois gros,1,1
gros papier dit carton,carton,1,114
gros rouge,gros rouge,5,5
gros sacs,sacs gros,1,1
gros tors,gros tors,2,2
groseilles noires,groseille,1,1
grosgrain,grosgrain,1,1
grosil,grosil,20,20
grosse de soie,grosse de soie,1,1
grosse dentelle,dentelle grosse,2,23
grosses noix,noix grosses,1,1
gruau,gruau,277,283
gruau d'avoine,gruau d'avoine,1,1
gruau de céréales,gruau de grains comestible,1,2
gruau de millet,gruau de millet,1,1
gruau de sarrasin,gruau de grains sarrasin,1,1
gruau et fécule,gruau et fécule,4,6
gruau et fécule de toute sorte,gruau et fécule,2,6
grueau,gruau,1,283
grulleau,gruau,1,283
guéridon,guéridon,4,4
guéridon de sapin,guéridon de sapin,1,1
guéridon peint,guéridon peint,1,1
guêtres,guêtres,18,18
guêtres de coton,guêtres de coton,1,1
guêtres de cuir,guêtres de cuir,3,3
guêtres de toile,guêtres de toile,3,3
gueuse de fer,gueuse de fer,2,2
guftas,guftas,1,1
guignolet en ratafia,guignolet en ratafia,4,4
guignolet en ratafia de cerise,guignolet en ratafia de cerise,3,3
guildive,guildive,16,16
guildive des prises,guidive des prises,1,1
guin ???,guin ???,1,1
guina,guina,1,1
guincastafs,guincastafs,1,1
guindeaux,guindeaux,2,2
Guinée,guinée,150,181
Guinée blanche,guinée blanche,79,91
Guinée blanche ordinaire,guinée blanche ordinaire,2,2
Guinée bleue,guinée bleue,161,186
Guinée bleue demi,demi guinée bleue,1,2
Guinée bleue et blanche,guinée blanche et bleue,1,1
Guinée étoffe,guinée,1,181
Guinée masulipatan,guinée masulipatan,1,1
Guinée Sénégal,guinée Sénégal,1,1
Guinée tachée,guinée tachée,1,1
guingan,guingan,254,580
guingan blanc,guingan blanc,1,1
guingan bleu,guingan bleu,1,1
guingan de Bengale,guingan de Bengale,2,2
guingan de fil,guingan de fil,3,24
guingan de Madras,guingan de Madras,22,22
guingan de Masulipatan,guingan de Masulipatan,1,1
guingan de Pondichéry,guingan de Pondichéry,25,25
guingan de Pondichéry et de Madras,guingan de Pondichéry et de Madras,1,1
guingan des prises,guingan des prises,1,1
guingan divers,guingan,11,580
guingan du Bengale,guingan du Bengale,7,7
guingan en Madras,guingan en Madras,1,1
guingan peint,guingan peint,2,2
guingan pièces,guingan pièces,1,1
guinimos,guinimos,1,1
guipons,guipon,6,6
guisine,guisine,1,1
guitare,guitare,1,8
guitare de fer,guitare de fer,3,3
gullots,gullots,1,1
habassis,habassis,5,5
habillement,habits,343,440
habillement à nègre,habits pour nègre,2,3
habillement brodé d'or,habits brodés d'or,13,15
habillement brodé de soie,habits brodés de soie,5,6
habillement brodé or et argent,habits brodés d'argent et d'or,1,1
habillement cabans ou capots,cabans ou capotes,3,6
habillement casques,casques,5,5
habillement culottes de peaux,culottes de peaux,3,3
habillement de cour,habits de cour,1,1
habillement de drap noir,habillement de drap noir,1,1
habillement de femme,habits pour femme,1,3
habillement de laine,habits de laine,1,1
habillement de laine pour nègre,habits de laine pour nègre,1,1
habillement de nègre,habits de nègre,1,1
habillement de nègre en étoffe,habits de nègre en étoffe,1,1
habillement de négresse,habits de négresse,1,1
habillement de soie,habits de soie,19,38
habillement de toile,habits de toile,1,1
habillement de toile de chanvre,habits de toile de chanvre,1,1
habillement de troupes,habits de troupes,2,2
habillement divers,habits divers,87,87
habillement en capots de laine,capots de laine,1,1
habillement en fourrure de soie,fourrure de soie,1,109
habillement en gilets de coton,gilets de coton,1,1
habillement en gilets de soie,gilets de soie,1,5
habillement en gilets de soie brodés et dorure,gilets de soie,1,5
habillement en gilets de tricots de soie,gilets de soie,1,5
habillement en gilets fil et coton,gilets de coton et de fil,2,2
habillement en gilets filoselle et coton,gilets de coton et filoselle,1,1
habillement en gilets mélangés,gilets,1,15
habillement en gilets soie et coton,gilets de soie et coton,1,1
habillement en hardes neuves,hardes neuves,6,17
habillement en lingerie,lingerie,9,162
habillement en or,habits d'or,3,3
habillement en or et argent,habits d'argent et d'or,1,1
habillement en soie,habits de soie,2,38
habillement en vestes,vestes,2,34
habillement en vestes de coton,vestes de coton,2,4
habillement en vestes de fil et coton,vestes de coton et fil,5,5
habillement en vestes diverses,vestes,1,34
habillement en vestes et gilets de soie,vestes et gilets de soie,1,1
habillement et lingerie,habits et lingerie,535,581
habillement gilets de coton et filoselle,filoselle et gilets de coton,1,1
habillement hardes neuves,hardes neuves,10,17
habillement lingerie et effets militaires,habits et lingerie et effets militaires,38,38
habillement pour nègre,habits pour nègre,1,3
habillement redingotes,redingotes,3,30
habillement riche,habits riches,1,1
habillement supporté,habits supportés,1,4
habillés,habillés,1,1
habits,habits,94,440
habits à nègre,habits à nègre,1,1
habits brodés d'or,habits brodés d'or,2,15
habits brodés de soie,habits brodés de soie,1,6
habits complets,habits complets,3,3
habits complets neufs,habits complets et neufs,2,2
habits complets pour homme,habits pour homme complets,1,1
habits d'étamine,habits d'étamine,1,1
habits d'homme,habits pour homme,1,6
habits d'homme avec or et argent,habits pour homme avec argent et or,1,2
habits d'officiers uniformes,habits pour homme avec argent et or,1,2
habits de camelot,habits de camelot,1,1
habits de camelot complet,habits de camelot complet,1,1
habits de drap,habits de drap,12,12
habits de drap d'Elbeuf,habits de drap d'Elbeuf,1,1
habits de drap galonné,habits de drap galonné,1,1
habits de drap neuf,habits de drap neuf,1,1
habits de drap unis,habits de drap uni,2,2
habits de droguet,habits de droguet,1,1
habits de droguet de soie,habits de droguet de soie,1,1
habits de gogorans,habits de gogorans,2,2
habits de livrée,habits de livrée,1,1
habits de peau,habits de peau,3,3
habits de peau complets,habits de peau complets,1,1
habits de peaux de mouton,habits de peaux de mouton,1,1
habits de Pékin brodés,habits de Pékin brodés,1,1
habits de pelleterie,habits de pelleterie,1,1
habits de pinchina,habits de pinchina,1,1
habits de satin brodé,habits de satin brodé,1,1
habits de soie,habits de soie,15,38
habits de soie brodé d'or,habits de soie,1,38
habits de soldat,habits de soldat,2,2
habits de velours,habits de velours,1,1
habits drap galonnés d'or et d'argent,habits de drap galonnés d'argent et d'or,1,1
habits enrichis,habits enrichis,1,1
habits et ornements d'Eglise,habits et ornements d'Eglise,2,2
habits et taffetas,habits et taffetas,1,1
habits et vestes brodés,habits et vestes brodés,1,1
habits et vestes vieux,habits et vestes vieux,1,1
habits neufs,habits neufs,1,3
habits pour femme,habits pour femme,2,3
habits pour homme,habits pour homme,5,6
habits pour homme brodés d'or,habits pour homme brodés d'or,1,1
habits pour homme et pour femme,habits pour homme et pour femme,1,1
habits supportés,habits supportés,1,4
habits uniformes,habits uniformes,1,1
habits unis,habits unis,1,1
habits vieux,habits vieux,4,5
habits vieux complets,habits vieux,1,5
haches,haches,56,57
haches d'armes,haches d'armes,1,1
haches de fer,haches de fer,24,25
haches de fer et acier,haches de fer et d'acier,5,5
haches et houes,haches et houes,4,4
haches et houes de fer,haches et houes de fer,1,1
haches et houes et serpes,haches et houe et serpes,1,1
haches et serpes,haches et serpes,2,2
haches houes et serpes,haches et houes et serpes,73,76
haches houes serpes,haches et houes et serpes,2,76
haches paille,haches paille,1,1
haches serpes et houes,haches et houes et serpes,1,76
haillons de laine,haillons de laine,2,2
hallebardes,hallebardes,1,1
haltsays,haltsays,1,1
hamacs,hamacs,71,71
hamacs de coton,hamacs de coton,8,8
hameçons,hameçons,56,56
hameçons cassés,hameçons cassés,1,1
hampes de plumes,hampes de plumes,1,1
harancade,harancades,9,22
harancades,harancades,13,22
haras,haras,1,1
hardes,hardes,45,80
hardes à usage,hardes à usage,4,4
hardes capillaire,hardes capillaire,1,1
hardes de toute sorte,hardes,2,80
hardes diverses,hardes,33,80
hardes diverses pour nègre,hardes pour nègre,1,2
hardes et habillement divers,hardes et habits,4,4
hardes neuves,hardes neuves,1,17
hardes perelle,hardes perelle,1,1
hardes pour nègre,hardes pour nègre,1,2
hardes vieilles,hardes vieilles,39,39
harengs,harengs,65,76
harengs blancs,harengs blancs,642,665
harengs blancs demi-feuillettes,harengs blancs demi-feuillettes,2,2
harengs blancs feuillettes,harengs blancs feuillettes,2,2
harengs bleus,harengs bleus,1,1
harengs cades,harengs cades,2,2
harengs de blancs,harengs blancs,1,665
harengs de la Baltique petits,harengs de la Baltique petits,1,1
harengs de la pêche nationale,harengs de la pêche nationale,1,1
harengs et maquereaux salés,harengs et maquereaux salés,4,4
harengs frais,harengs frais,4,5
harengs fumés,harengs fumés,65,65
harengs pecs,harengs pecs,2,3
harengs salés,harengs salés,16,29
harengs saurs,harengs saurs,397,411
harengs secs,harengs secs,11,11
harengs sorets,harengs saurs,1,411
haricots,haricots,21,66
haricots confits,haricots confits,2,2
haricots en fèves,haricots en fèves,1,1
haricots en fil,haricots en fil,1,1
haricots lentilles et pois secs,haricots et lentilles et pois secs,3,3
haricots marinés,haricots marinés,1,1
harmodattes,hermodatte,2,51
harnais,harnais,82,83
harnais de carrosses,harnais de carrosses,1,1
harnais de chaises,harnais de chaise,23,23
harnais de cheval,harnais de chevaux,1,20
harnais de chevaux,harnais de chevaux,18,20
harnais de chevaux de selles,harnais,1,83
harnais de cuir,harnais de cuir,2,2
harnais de cuir pour chaises,harnais pour chaise de cuir,1,1
harnais de selles,harnais et selles,1,11
harnais et chaises roulantes,harnais et chaises roulantes,1,1
harnais et housses de chevaux,harnais et housses de chevaux,1,1
harnais et sellerie,harnais et selles,3,11
harnais et selles,harnais et selles,1,11
harnais pour chevaux,harnais de chevaux,1,20
harpes,harpes,1,9
harpes et guitare,harpes et guitare,1,1
harpes guitare et psalterions,harpes et guitare et psalterions,2,2
harpins,harpins,1,1
harpons de scies,harpons de scies,1,1
hartreuse,hartreuse,1,1
hautbois,hautbois,2,3
hayes ou diables de mer,diables de mer,1,1
hebichets de fil de fer,hebichets de fil de fer,1,1
helateas,helateas,2,2
hemitacortum,hemitacortum,2,2
herbages,herbages,81,81
herbes,herbes,10,60
herbes à charpentier,herbes à charpentier,3,3
herbes à col,herbes à col,1,1
herbes à teindre,herbes à teindre,96,116
herbes à teinture,herbes à teindre,1,116
herbes absinthe,absinthe,19,19
herbes aromatiques,herbes aromatiques,1,1
herbes autres,herbes,45,60
herbes autres herbes médicinales,herbes médicinales,2,12
herbes capillaire,capillaire en herbes,130,137
herbes d'absinthe,herbes d'absinthe,2,2
herbes d'acacia,herbes d'acacia,1,1
herbes d'acacia à teindre,herbes d'acacia à teindre,1,1
herbes d'orseille,herbes d'orseille,101,101
herbes d'oseille,herbes d'oseille,26,26
herbes de capillaire,capillaire en herbes,2,137
herbes de sarriette,herbes de sarriette,2,2
herbes de violette,herbes de violette,1,1
herbes émollientes,herbes émollientes,1,1
herbes gaude,herbes gaude,72,72
herbes marjolaine,marjolaine,2,2
herbes mauves,herbes mauves,1,1
herbes médicinales,herbes médicinales,10,12
herbes pérelle,herbes pérelle,118,118
herbes plantes racines fleurs etc.,herbes plantes racines fleurs etc.,14,14
herbes qacrette,herbes qacrette,3,3
herbes sans désignation,herbes,5,60
herbes vaudes,herbes vaudes,28,28
herbes Véronique,herbes véroniques,1,1
herbes vulnéraire,herbes vulnéraires,8,24
herbes vulnéraires,herbes vulnéraires,16,24
hermine,hermine,2,2
herminettes,herminettes,2,2
hermodatte,hermodatte,49,51
herse,herse,1,1
hesses et hirondelles,hesses et hirondelles,1,1
hipocide,hipocide,3,4
hipocite,hipocide,1,4
hipouditte,hipouditte,1,1
histoire naturelle,histoire naturelle,18,18
histoire naturelle coquillages,histoire naturelle coquillages,1,1
homards et autres coquillages pleins à la valeur,coquillages pleins et homards à la valeur,1,1
homards et autres coquillages pleins au kilogramme,coquillages pleins et homards au kilogramme,1,1
homards moules et autres coquillages,coquillages homards moules,3,3
Hondschoote blanche,Hondschoote blanche,2,2
Hondschoote peinte,Hondschoote peinte,2,3
Hondschoote peinte aune,Hondschoote peinte,1,3
hôpitaux,hôpitaux,2,2
hôpitaux à café,hôpitaux à café,1,1
hôpitaux de cuivre,hôpitaux de cuivre,23,65
horloge,horloge,8,46
horloge à réveils,horloge à réveils,1,1
horloge à sable,horloge de sable,1,23
horloge boîtes d'argent,horlogerie boîtes d'argent,1,6
horloge boîtes d'or,horlogerie boîtes d'or,1,4
horloge boîtes de pendules,horlogerie boîtes de pendule,1,3
horloge cadrans,horlogerie cadrans,1,1
horloge chaînes d'argent,horlogerie chaînes d'argent,1,1
horloge chaînes d'or,horlogerie chaînes d'or,1,3
horloge chaînes de cuivre,horlogerie chaînes de cuivre,1,1
horloge commune,horloge commune,5,5
horloge d'église,horloge d'église,1,1
horloge de bois,horloge de bois,2,28
horloge de fer,horloge de fer,1,1
horloge de mer,horloge de mer,1,1
horloge de sable,horloge de sable,19,23
horloge de tables,horloge de tables,3,4
horloge diverse,horloge,2,46
horloge en bois,horloge de bois,1,28
horloge horloge de bois,horloge de bois,1,28
horloge horloge de fer,horlogerie horloge de fer,2,12
horloge monom à montres,horlogerie monom à montre,1,1
horloge monom à pendules,horlogerie monom à pendule,2,2
horloge montres d'argent,horlogerie montres d'argent,2,12
horloge montres d'or,horlogerie montres d'or,3,14
horloge montres de cuivre,horlogerie montres de cuivre,1,3
horloge montres maillées,horlogerie montres maillées,1,1
horloge neuve,horloge neuve,1,1
horloge outils d'horloge,horlogerie outils d'horloge,2,2
horloge pendules,horlogerie pendule,3,36
horloge pendules et réveils,horlogerie pendule et réveils,2,2
horloge ressorts de montres,horlogerie ressorts de montre,1,2
horloge ressorts de pendules,horlogerie ressorts de pendule,1,3
horloge réveils,horlogerie réveils,1,2
horloge timbres,horlogerie timbres,1,1
horlogerie,horlogerie,765,794
horlogerie boîtes d'argent,horlogerie boîtes d'argent,5,6
horlogerie boîtes d'or,horlogerie boîtes d'or,3,4
horlogerie boîtes de montres d'argent,horlogerie boîtes de montre d'argent,1,1
horlogerie boîtes de montres d'or,horlogerie boîtes de montre d'or,1,1
horlogerie boîtes de pendules,horlogerie boîtes de pendule,2,3
horlogerie cadrans d'émail,horlogerie cadrans d'émail,1,1
horlogerie carillon,horlogerie carillon,1,1
horlogerie carillon au-dessous d'un hectogramme,horlogerie carillon au-dessous d'une hectogramme,1,1
horlogerie chaînes d'or,horlogerie chaînes d'or,2,3
horlogerie clefs de montres,horlogerie clefs de montre,1,1
horlogerie d'or,horlogerie d'or,2,2
horlogerie de bois,horloge de bois,2,28
horlogerie de bois pendules,pendules de bois,2,2
horlogerie de pendules,horlogerie pendule,1,36
horlogerie diverse,horloge,33,46
horlogerie en montres d'argent,horlogerie montres d'argent,1,12
horlogerie en pendules de cuivre,horlogerie pendule de cuivre,1,2
horlogerie et carillon,horlogerie et carillon,4,4
horlogerie fournitures,horlogerie fournitures,4,6
horlogerie fournitures d'horlogerie,horlogerie fournitures,2,6
horlogerie horloge,horloge,3,46
horlogerie horloge de bois,horloge de bois,6,28
horlogerie horloge de fer,horlogerie horloge de fer,10,12
horlogerie horloge de sable,horloge de sable,3,23
horlogerie horloge de tables,horloge de tables,1,4
horlogerie horloge en bois,horloge de bois,6,28
horlogerie horlogerie pendule,horlogerie pendule,1,36
horlogerie montres d'argent,horlogerie montres d'argent,9,12
horlogerie montres d'or,horlogerie montres d'or,11,14
horlogerie montres de cuivre,horlogerie montres de cuivre,2,3
horlogerie montres de métal,horlogerie montres de métal,1,1
horlogerie mouvements de montres,horlogerie mouvements de montre,7,7
horlogerie mouvements de pendules,horlogerie mouvements de pendule,5,5
horlogerie ouvrages d'horlogerie (montés),ouvrages d'horlogerie montés,2,7
horlogerie ouvrages montés,ouvrages d'horlogerie montés,5,7
horlogerie pendules,horlogerie pendule,31,36
horlogerie pendules de cuivre,horlogerie pendule de cuivre,1,2
horlogerie principalement en bois,horloge de bois,9,28
horlogerie ressorts,ressorts,1,2
horlogerie ressorts de montres,horlogerie ressorts de montre,1,2
horlogerie ressorts de pendules,horlogerie ressorts de pendule,2,3
horlogerie réveils,horlogerie réveils,1,2
hôtes,hôtes,1,1
hôtes d'osier,hôtes d'osier,4,4
houblon,houblon,291,293
houes,houes,12,12
houes de fer,houes de fer,17,17
houes de serpes,houes et serpes,1,21
houes et serpes,houes et serpes,20,21
houes haches et serpes,houes haches et serpes,2,2
houille,houille,3,4
houille autres frontières,houille frontières,2,2
houille importée par mer,houille par mer,1,3
houille importée par terre,houille par terre,1,1
houille par mer,houille par mer,2,3
houille par terre Ardennes par la rivière de la Meuse,houille par Ardennes et Meuse,2,2
houille par terre Ardennes par tout autre voie,houille par terre Ardennes et autre,2,2
houille par terre de la mer à Baisieux exclusivement,houille par mer à Baisieux,2,2
houppes de cygnes,houppe de cygne,4,5
housses,housses,2,2
housses de chevaux,housses de chevaux,25,25
housses de chevaux enrichies,housses de chevaux enrichie,1,1
