source,nb_occurence_BdCFR,nbr_occurences_source,orthographic,note,obsolete,nbr_occurences_ortho
Grattes,1,1,grattes,x,non,1
Grattoirs,1,1,grattoirs,,non,3
Grattois de fer,1,1,grattoirs de fer,,non,1
Graudon,1,1,goudron,x,non,2389
Gravelle,14,15,gravelle,,non,18
GRavelle,1,1,gravelle,,non,18
Gravelles,1,1,gravelle,,non,18
Gravette,1,1,gravelle,x,non,18
Gravure,1,1,gravures,,non,2
Gravures,1,1,gravures,,non,2
Gravures encadrées,1,1,gravures encadrées,,non,1
Gravures et lythographies,2,2,gravures et lithographies,,non,2
Gravures noires ou coloriée,0,0,gravures noires ou coloriées,,oui,2
Gravures noires ou coloriées,2,2,gravures noires ou coloriées,,non,2
Gray,0,1,grenailles de C ?,,non,1
Gray gras,1,1,grai gras,x,non,1
Gray rouge,1,1,grai rouge,x,non,1
Gré,1,1,grès,x,non,2
Gré en pavé,3,3,grès en pavé,,non,3
Greabeau ; d'encens,1,1,grabeau d'encens,,non,115
Green,0,3,,,non,94525
Green earth,0,8,,,non,94525
Green powder,0,5,,,non,94525
Green wax,0,3,,,non,94525
Grelin,0,0,grelin,,oui,0
Grellots,7,7,grelots,,non,52
Grelon de cuivre,2,2,grelots de cuivre,x,non,33
Grelot,4,4,grelots,,non,52
Grelot de cuivre,1,1,grelots de cuivre,,non,33
Grelots,40,40,grelots,,non,52
Grêlots,1,1,grelots,,non,52
Grelots ; de leton,1,1,grelots de laiton,,non,1
Grelots de cuivre,23,23,grelots de cuivre,,non,33
Grelots de Cuivre,7,7,grelots de cuivre,,non,33
Grelots en cuivre,2,2,grelots en cuivre,,non,3
Grelots en Cuivre,1,1,grelots en cuivre,,non,3
Grelots et sonnettes,1,1,grelots et sonnettes,,non,1
Grenade,6,6,grenade,,non,37
Grenade ; de coton,1,1,grenade de coton,,non,1
Grenade ; etoffe,1,1,grenade étoffe,,non,2
Grenade ; étoffe,1,1,grenade étoffe,,non,2
Grenade de Fer,3,3,grenade de fer,,non,9
Grenade pour la Compagnie des Indes,0,0,grenade pour la Compagnie des Indes,,oui,0
Grenades,31,31,grenade,,non,37
Grenades ; fruits,1,1,grenade fruit,,non,7
Grenades a feu,1,1,grenade à feu,,non,1
Grenades de fer,5,5,grenade de fer,,non,9
Grenades de florence,1,1,grenade de Florence,,non,1
Grenades en Fer,1,1,grenade en fer,,non,1
Grenades fruit,4,4,grenade fruit,,non,7
Grenades fruits,2,2,grenade fruit,,non,7
"Grenadiers, lauriers, jasmin etc",0,0,grenadiers laurier jasmin etc.,,oui,0
Grenadiers. lauriers. jasmin etc,0,0,grenadiers laurier jasmin etc.,,oui,0
Grenads faux et autres pierres faussses non montées,0,0,grenat faux et autres pierres fausses non montées,,oui,0
Grenads fins montées,0,0,grenat fin monté,,oui,0
Grenads fins non montés,0,0,grenat fin non monté,,oui,0
Grenaille,3,3,grenaille,,non,7
Grenaille ; de cochenille,1,1,grenaille de cochenille,,non,3
Grenaille de cochenille,2,2,grenaille de cochenille,,non,3
Grenaille de fer et acier,1,1,grenaille de fer et acier,,non,1
Grenailles,4,4,grenaille,,non,7
Grenailles ; de C ??,1,1,grenaille de c ???,,non,1
Grenardes de Fer,1,1,grenade de fer,,non,9
Grenas,2,2,grenat,,non,15
Grenat,11,11,grenat,,non,15
Grenat ; fin,2,2,grenat fin,,non,3
Grenat faux,2,2,grenat faux,,non,2
Grenat fin,1,1,grenat fin,,non,3
Grenats,2,2,grenat,,non,15
Grene de lin,1,1,graine de lin,,non,718
Grenne de choux,0,0,graine de choux,,oui,94
Grennë de choux,1,1,graine de choux,,non,94
Grenne de jardin,1,1,graine de jardin,,non,1020
Grenne de lin,1,1,graine de lin,,non,718
Grennes de jardin,1,1,graine de jardin,,non,1020
Gres,0,1,grès,,non,2
Grès à laver,4,4,grès à laver,x,non,4
Gresles,1,1,grèles,,non,1
Gresles a caffé,1,1,grèles à café,x,non,1
Grey batiste,0,4,,,non,94525
Grey espinal yarn,0,3,,,non,94525
Grey hemp cloth (etouppe),0,6,,,non,94525
Grey hemp cloth (etouppe) per ell,0,4,,,non,94525
Grey linen,0,224,,,non,94525
Grey linen for table cloth and napkins,0,4,,,non,94525
Grey linen for towels,0,2,,,non,94525
Grey linen of less than 10 stivers,0,10,,,non,94525
Grey linen of more than 10 stivers,0,6,,,non,94525
Grey or crude salt,0,81,,,non,94525
Grey paper,0,71,,,non,94525
Grey pieces of cloth,0,70,,,non,94525
Grey sheep hides,0,40,,,non,94525
Grey wrapping paper,0,49,,,non,94525
Grignons,5,5,grignon,,non,5
Grile,1,1,grilles,,non,1
Grillages,1,1,grillages,,non,1
Grillages de fer,1,1,grillages de fer,,non,1
Grillages en fer,1,1,grillages en fer,,non,1
Grille de fer,2,2,grilles de fer,,non,21
Grilles ; de fer,3,3,grilles de fer,,non,21
Grilles de fer,16,16,grilles de fer,,non,21
Grilles de fer a moulin a sucre,1,1,grilles de fer à moulins à sucre,,non,1
Grilles de fer de fente,3,3,grilles de fer de fonte,x,non,3
Grilles de fer pour moulin a sucre,1,1,grilles de fer pour moulins à sucre,,non,1
Grilles de fonte de fer,1,1,grilles de fonte de fer,,non,1
Grilles et platinnes de fer,1,1,grilles et platines de fer,,non,1
Grillons,1,1,grillons,,non,1
Grillons ; de fonte,0,0,grillons de fonte,,oui,0
Grinza,0,0,grinza,x,oui,0
Gris,2,2,gris,,non,2
Griselle,3,3,grisette,x,non,41
Grisette,31,31,grisette,,non,41
Grisette de laine,1,1,grisette de laine,,non,1
Grisette de soye,1,1,grisette de soie,,non,2
Grisettes,7,7,grisette,,non,41
Grisettes de soye,1,1,grisette de soie,,non,2
Grives,3,3,grives,,non,3
Grizette de flandre,1,1,grisette de Flandre,,non,1
Grizons,2,2,grisons,x,non,2
Groats,0,3,,,non,94525
Groisil,22,22,grosil,x,non,22
Groisil ou verre cassé,1,1,groisil ou verre cassé,,non,1
Groison,0,0,groison,x,oui,0
Gros ; rouge,1,1,gros rouge,,non,5
Gros de Mours,1,1,gros de Tours,,non,5
Gros de naples,1,1,gros de Naples,,non,1
Gros de Tour,1,1,gros de Tours,,non,5
Gros de Tours,1,1,gros de Tours,,non,5
Gros detours,1,1,gros de Tours,,non,5
Gros millet,0,51,gros millet,,non,51
Gros ouvrages de bois,0,0,gros ouvrages de bois,,oui,0
Gros papier dit carton,0,0,gros papier dit carton,,oui,0
Gros rouge,3,3,gros rouge,,non,5
Gros Rouge,1,1,gros rouge,,non,5
Gros sacs,0,10,gros sacs,,non,10
Gros tord,1,1,gros tors,x,non,2
Groseilles noires,0,0,groseilles noires,,oui,0
Grosgrain,0,1,grosgrain,x,non,1
Grosil de verres,0,0,groisil de verres,x,oui,0
Grosse de soye,1,1,grosse de soie,,non,1
Grosse dentelle,0,0,grosse dentelle,,oui,0
Grosses noix,0,0,grosses noix,,oui,0
Grossil,1,1,groisil,x,non,1
Grostord,1,1,gros tors,x,non,2
Grrains ; meteil,1,1,grains méteil,,non,4
Gruan,2,2,gruau,,non,271
Gruau,269,269,gruau,,non,271
Gruau d'avoine,0,0,gruau d'avoine,,oui,0
Gruaux de céréales,0,6,gruau de céréales,,non,6
Gruaux de millet,0,3,gruau de millet,,non,3
Gruaux de sarrasin,0,3,gruau de sarrasin,,non,3
Gruaux et fécules,2,2,gruau et fécule,,non,2
Gruaux et fécules de toute sorte,2,2,gruau et fécule de toute sorte,,non,2
Grubeau ; de cochenille,1,1,grabeau de cochenille,x,non,87
Grudron,1,1,goudron,,non,2389
Grueau,3,3,grueau,,non,3
Grulleau,1,1,grulleau,x,non,1
Grus de Tours,1,1,gros de Tours,,non,5
Guaisnes de couteaux,2,2,gaine de couteaux,,non,10
Guanguan,2,2,guingans,,non,250
Guayac,0,0,gaïac,,oui,0
Guayacan,0,13,,,non,94525
Gueridon,0,0,guéridon,,oui,3
Guéridon,1,1,guéridon,,non,3
Gueridons,1,1,guéridon,,non,3
Gueridons peints,0,0,guéridon peint,,oui,0
Guerison,1,1,guéridon,,non,3
Guerison de sapin,1,1,guéridon de sapin,,non,1
Guesnes de couteaux,1,1,gaine de couteaux,,non,10
Guestre ; de toille,1,1,guêtres de toile,,non,2
Guestre de toile,1,1,guêtres de toile,,non,2
Guestres,14,14,guêtres,,non,18
Guestres de cuir,2,2,guêtres de cuir,,non,3
Guetres,3,3,guêtres,,non,18
Guêtres,1,1,guêtres,,non,18
Guêtres de cotton,1,1,guêtres de coton,,non,1
Guetres de cuir,1,1,guêtres de cuir,,non,3
Guettes de toille,0,0,guêtres de toile,x,oui,2
"Gueues, pennes et noppes",0,0,queues penne et noppes,,oui,0
Gueues. pennes et noppes,0,0,queues penne et noppes,,oui,0
Güeuses de fer,1,1,gueuse de fer,x,non,1
Guftas,0,0,guftas,x,oui,0
Guigan,1,1,guingans,,non,250
Guigans,1,1,guingans,x,non,250
Guigans divers,1,1,guingans divers,,non,11
Guigembre,1,1,gingembre,,non,858
Guignolet en ratafiat,4,4,guignolet en ratafia,,non,4
Guignolet en ratafiat de cerises,3,3,guignolet en ratafia de cerise,,non,3
Guilded and silvered buttons,0,67,,,non,94525
Guilded cabinetwork,0,44,,,non,94525
Guilded copper buttons,0,3,,,non,94525
Guilded metal buttons,0,21,,,non,94525
Guilded silk fabrics,0,145,,,non,94525
Guildive,11,11,guildive,x,non,16
Guildives,4,4,guildive,x,non,16
Guildives de prise,1,1,guildive des prises,x,non,1
Guimblette,0,0,gimblette,,oui,0
Guimgam,1,1,guingans,,non,250
GUIN...E,1,1,guin ???,,non,1
Guina,1,1,guina,x,non,1
Guincastafs,0,0,guincastafs,x,oui,0
Guincé blanc,1,1,Guinée blanche,,non,77
Guincé bleu,1,1,Guinée bleue,,non,159
Guindeaux,2,2,guindeaux,,non,2
Guiné Bleue,1,1,Guinée bleue,,non,159
Guine senegal,1,1,Guinée Sénégal,x,non,1
Guinee,5,5,Guinée,,non,150
Guinée,126,126,Guinée,,non,150
Guinée ; blanc,3,3,Guinée blanche,,non,77
Guinée ; bleu,10,10,Guinée bleue,,non,159
Guinée ; bleue,5,5,Guinée bleue,,non,159
Guinée blanc,10,10,Guinée blanche,,non,77
Guinée blanche,59,59,Guinée blanche,,non,77
Guinée blanche ordinaire,2,2,Guinée blanche ordinaire,,non,2
Guinée bleu,17,17,Guinée bleue,,non,159
Guinée bleu et blanc,1,1,Guinée bleue et blanche,,non,1
GUINEE Bleue,3,3,Guinée bleue,,non,159
Guinee bleüe,2,2,Guinée bleue,,non,159
Guinée bleue,62,62,Guinée bleue,,non,159
Guinée Bleue,4,4,Guinée bleue,,non,159
Guinée bleuë,11,11,Guinée bleue,,non,159
Guinée Bleuë,1,1,Guinée bleue,,non,159
Guinée bleüe,20,20,Guinée bleue,,non,159
Guinée Bleüe,2,2,Guinée bleue,,non,159
Guinéé bleue,1,1,Guinée bleue,,non,159
Guinée bleüe ; demi,1,1,Guinée bleue demi,,non,1
Guinée bleues,1,1,Guinée bleue,,non,159
Guinée blüe,1,1,Guinée bleue,,non,159
Guinéé blue,1,1,Guinée bleue,,non,159
Guinée mazulipatan,1,1,Guinée masulipatan,,non,1
Guinée tachée,1,1,Guinée tachée,,non,1
Guinée; bleuë,1,1,Guinée bleue,,non,159
Guinéen,1,1,Guinée,x,non,150
Guinées,18,18,Guinée,,non,150
Guinées ; blanches,1,1,Guinée blanche,,non,77
Guinées ; bleues,4,4,Guinée bleue,,non,159
Guinées blanches,1,1,Guinée blanche,,non,77
Guinées bleues,8,8,Guinée bleue,,non,159
Guinées bleües,1,1,Guinée bleue,,non,159
Guingain,1,1,guingans,,non,250
Guingam,14,14,guingans,,non,250
Guingam blanc,1,1,guingans blanc,,non,1
Guingam bleu,1,1,guingans bleu,,non,1
Guingam de Bengale,1,1,guingans de Bengale,,non,2
Guingam de madras,1,1,guingans de Madras,,non,23
Guingam de Madras,1,1,guingans de Madras,,non,23
Guingam de pontichery,1,1,guingans de Pondichéry,,non,26
Guingam de Pontichery,1,1,guingans de Pondichéry,,non,26
Guingam pieces,1,1,guingans pièces,,non,1
Guingamp,15,15,guingans,,non,250
Guingamp de Madras,1,1,guingans de Madras,,non,23
Guingamp de Pontichery,1,1,guingans de Pondichéry,,non,26
Guingamps,14,14,guingans,,non,250
Guingamps de pontichery,1,1,guingans de Pondichéry,,non,26
Guingamps de Pontichery,1,1,guingans de Pondichéry,,non,26
Guingamps divers,1,1,guingans divers,,non,11
Guingan,59,59,guingans,,non,250
Guingan de Bengale,1,1,guingans de Bengale,,non,2
Guingan de madras,2,2,guingans de Madras,,non,23
Guingan de Madras,1,1,guingans de Madras,,non,23
Guingan de mazulipatan,1,1,guingans de Masulipatan,,non,1
Guingan de Pontichery,2,2,guingans de Pondichéry,,non,26
Guingan de Pontichery et de Madras,1,1,guingans de Pondichéry et de Madras,,non,1
Guingan divers,2,2,guingans divers,,non,11
Guingan peint,1,1,guingans peint,,non,1
Guingances,0,0,guingans,,oui,250
Guingances (glazed cotton),0,2,,,non,94525
Guingand,1,1,guingans,,non,250
Guingans,40,40,guingans,,non,250
Guingans ; de Bengale,1,1,guingans du Bengale,,non,8
Guingans ; de madras,1,1,guingans de Madras,,non,23
Guingans ; de Ponthichery,1,1,guingans de Pondichéry,,non,26
Guingans ; divers,1,1,guingans divers,,non,11
Guingans de Bengale,3,3,guingans du Bengale,,non,8
Guingans de Bengalle,3,3,guingans du Bengale,,non,8
Guingans de Bingalle,1,1,guingans du Bengale,,non,8
Guingans de fil,3,3,guingans de fil,,non,4
Guingans de madras,12,12,guingans de Madras,,non,23
Guingans de Madras,3,3,guingans de Madras,,non,23
Guingans de Pondichery,1,1,guingans de Pondichéry,,non,26
Guingans de Ponticheri,1,1,guingans de Pondichéry,,non,26
Guingans de Ponticherie,2,2,guingans de Pondichéry,,non,26
Guingans de pontichery,2,2,guingans de Pondichéry,,non,26
Guingans de Pontichery,7,7,guingans de Pondichéry,,non,26
Guingans de Pontichéry,1,1,guingans de Pondichéry,,non,26
Guingans divers,3,3,guingans divers,,non,11
Guingans en madras,1,1,guingans en Madras,,non,1
Guingarri,1,1,guingans,,non,250
Guingas,27,27,guingans,,non,250
Guingas de pontichry,1,1,guingans de Pondichéry,,non,26
Guingas de prises,1,1,guingans des prises,,non,1
Guinglas,0,0,guingans,,oui,250
Guingnans divers,1,1,guingans divers,,non,11
Guinguamp,7,7,guingans,,non,250
Guinguan,32,32,guingans,,non,250
Guinguans,11,11,guingans,,non,250
Guinguans divers,2,2,guingans divers,,non,11
Guinguant,1,1,guingans,,non,250
Guinimos,1,1,guinimos,x,non,1
Guipons,4,4,guipons,x,non,5
Guipont,1,1,guipons,x,non,5
Guisine,1,1,guisine,x,non,1
Guitares,0,3,,,non,94525
Guitarre ; de fer,1,1,guitare de fer,,non,3
Guitarres,0,0,guitare,,oui,0
Guittarre de fer,1,1,guitare de fer,,non,3
Guittarres ; de fer,1,1,guitare de fer,,non,3
Guldive,1,1,guildive,,non,16
Gullons d´argent,0,0,galon d'argent,,oui,92
Gullots,1,1,gullots,x,non,1
Gum,0,113,,,non,94525
Gum (lac),0,13,,,non,94525
Gunée bleu,1,1,Guinée bleue,,non,159
Gunigan,1,1,guingans,,non,250
Gunpowder,0,115,,,non,94525
Gunpowder (rifles),0,14,,,non,94525
Gunpowder cakes,0,45,,,non,94525
Gut strings,0,117,,,non,94525
Gutters,0,3,,,non,94525
Guynée blanche,1,1,Guinée blanche,,non,77
Guynée Blanche,1,1,Guinée blanche,,non,77
Guynée bleue,1,1,Guinée bleue,,non,159
Guynée bleune,0,0,Guinée bleue,,oui,159
Guynée Etoffe,1,1,Guinée étoffe,,non,1
Guyngan de madras,1,1,guingans de Madras,,non,23
Guyngan de Pontichery,1,1,guingans de Pondichéry,,non,26
Habassis,5,5,habassis,x,non,5
Habilement brodé d'or,1,1,habillement brodé d'or,,non,13
Habilements ; de soye,1,1,habillement de soie,,non,19
Habillemence,2,2,habillement,,non,342
Habillemens,44,44,habillement,,non,342
Habillemens ; brodé d'or,1,1,habillement brodé d'or,,non,13
Habillemens ; brodés d'or,2,2,habillement brodé d'or,,non,13
Habillemens ; brodés or et argent,1,1,habillement brodé or et argent,,non,1
Habillemens ; de soye,5,5,habillement de soie,,non,19
Habillemens ; en or,2,2,habillement en or,,non,3
Habillemens ; en soye,1,1,habillement en soie,,non,2
Habillemens brodés d'or,1,1,habillement brodé d'or,,non,13
Habillemens brodez d'or,1,1,habillement brodé d'or,,non,13
Habillemens de drap noir,1,1,habillement de drap noir,,non,1
Habillemens de femme,0,0,habillement de femme,,oui,0
Habillemens de soye,4,4,habillement de soie,,non,19
Habillemens de troupes,1,1,habillement de troupes,,non,2
Habillemens diverses,1,1,habillement divers,,non,87
Habillemens en or et argent,1,1,habillement en or et argent,,non,1
Habillemens et lingerie,286,286,habillement et lingerie,,non,535
Habillemens et lingeries,17,17,habillement et lingerie,,non,535
"Habillemens, lingerie et effets militaires",19,19,habillement lingerie et effets militaires,,non,38
Habillement,141,141,habillement,,non,342
Habillement ; brodé d'or,3,3,habillement brodé d'or,,non,13
Habillement ; brodé de soye,1,1,habillement brodé de soie,,non,5
Habillement ; De cour,1,1,habillement de cour,,non,1
Habillement ; de laine ; pour nègres,1,1,habillement de laine pour nègre,,non,1
Habillement ; de soye,4,4,habillement de soie,,non,19
Habillement ; Divers,14,14,habillement divers,,non,87
Habillement ; en or,1,1,habillement en or,,non,3
Habillement ; pour nègres,1,1,habillement pour nègre,,non,1
Habillement brodé ; d'or,1,1,habillement brodé d'or,,non,13
Habillement brodé ; de soye,1,1,habillement brodé de soie,,non,5
Habillement brodé de soye,1,1,habillement brodé de soie,,non,5
Habillement brodés ; de soye,1,1,habillement brodé de soie,,non,5
Habillement brodez d'or,2,2,habillement brodé d'or,,non,13
Habillement brodez de soye,1,1,habillement brodé de soie,,non,5
Habillement de négresse,1,1,habillement de négresse,,non,1
Habillement de soye,2,2,habillement de soie,,non,19
Habillement de toile,1,1,habillement de toile,,non,1
Habillement de troupes,1,1,habillement de troupes,,non,2
Habillement divers,25,25,habillement divers,,non,87
Habillement et lingerie,156,156,habillement et lingerie,,non,535
Habillement or et argent,1,1,habillement,,non,342
Habillements,154,154,habillement,,non,342
Habillements ; à négres,1,1,habillement à nègre,,non,2
Habillements ; divers,10,10,habillement divers,,non,87
Habillements ; en capots ; de laine,1,1,habillement en capots de laine,,non,1
Habillements ; en fourure ; de soye,1,1,habillement en fourrure de soie,,non,1
Habillements ; en gilets ; de coton,1,1,habillement en gilets de coton,,non,1
Habillements ; en gilets ; de soye,1,1,habillement en gilets de soie,,non,1
Habillements ; en gilets ; de soye brodés et dorure,1,1,habillement en gilets de soie brodés et dorure,,non,1
Habillements ; en gilets ; fil et coton,2,2,habillement en gilets fil et coton,,non,2
Habillements ; en gilets ; filozelle et coton,1,1,habillement en gilets filoselle et coton,,non,1
Habillements ; en gilets ; mélangés,1,1,habillement en gilets mélangés,,non,1
Habillements ; en gilets ; soye et coton,1,1,habillement en gilets soie et coton,,non,1
Habillements ; en gillets ; de tricot ; de soye,1,1,habillement en gilets de tricots de soie,,non,1
Habillements ; en vestes,2,2,habillement en vestes,,non,2
Habillements ; en vestes ; de coton,2,2,habillement en vestes de coton,,non,2
Habillements ; en vestes ; de fil et coton,5,5,habillement en vestes de fil et coton,,non,5
Habillements ; en vestes ; diverses,1,1,habillement en vestes diverses,,non,1
Habillements ; en vestes et gilets ; de soye,1,1,habillement en vestes et gilets de soie,,non,1
Habillements ; riches,1,1,habillement riche,,non,1
Habillements à nègre,1,1,habillement à nègre,,non,2
Habillements brodés ; d'or,1,1,habillement brodé d'or,,non,13
Habillements cabans ou capots,3,3,habillement cabans ou capots,,non,3
Habillements casques,5,5,habillement casques,,non,5
Habillements culottes de peaux,3,3,habillement culottes de peaux,,non,3
Habillements de laine,1,1,habillement de laine,,non,1
Habillements de nègre en étoffe,1,1,habillement de nègre en étoffe,,non,1
Habillements de nègres,1,1,habillement de nègre,,non,1
Habillements de soye,3,3,habillement de soie,,non,19
Habillements de toiles de chanvre,1,1,habillement de toile de chanvre,,non,1
Habillements divers,37,37,habillement divers,,non,87
Habillements en hardes neuves,6,6,habillement en hardes neuves,,non,6
Habillements en lingerie,9,9,habillement en lingerie,,non,9
Habillements en soye,1,1,habillement en soie,,non,2
Habillements et lingerie,76,76,habillement et lingerie,,non,535
Habillements gilets de coton et filoselle,1,1,habillement gilets de coton et filoselle,,non,1
Habillements hardes neuves,10,10,habillement hardes neuves,,non,10
Habillements redingotes,3,3,habillement redingotes,,non,3
Habillements supportés,0,0,habillement supporté,,oui,0
"Habillements, lingerie et effets militaires",19,19,habillement lingerie et effets militaires,,non,38
Habillés,1,1,habillés,,non,1
Habit,5,5,habits,,non,93
Habit ; de drap,1,1,habits de drap,,non,12
Habit ; de Drap ; d'Elbeuf,1,1,habits de drap d'Elbeuf,,non,1
Habit ; de pelleterie,1,1,habits de pelleterie,,non,1
Habit ; de pinchinat,1,1,habits de pinchina,,non,1
Habit de camelot,1,1,habits de camelot,,non,1
Habit de droguet,1,1,habits de droguet,,non,1
Habit de gourgouran,1,1,habits de gogorans,,non,2
Habit de peaux de mouton,1,1,habits de peaux de mouton,,non,1
Habit de satin brodé,1,1,habits de satin brodé,,non,1
Habit de soye,2,2,habits de soie,,non,15
Habit de velours,1,1,habits de velours,,non,1
Habitd,1,1,habits,,non,93
Habits,84,87,habits,,non,93
Habits ; brodé ; d'or,2,2,habits brodés d'or,,non,2
Habits ; d'etamine,1,1,habits d'étamine,,non,1
Habits ; d'homme ; avec or et argent,1,1,habits d'homme avec or et argent,,non,1
Habits ; de drap,5,5,habits de drap,,non,12
Habits ; de drap neuf,1,1,habits de drap neuf,,non,1
Habits ; de droguet ; de soye,1,1,habits de droguet de soie,,non,1
Habits ; de livrée,1,1,habits de livrée,,non,1
Habits ; de soye,7,7,habits de soie,,non,15
Habits ; de soye ; brodé d'or,1,1,habits de soie brodé d'or,,non,1
Habits ; enrichis,1,1,habits enrichis,,non,1
Habits ; unis,1,1,habits unis,,non,1
Habits ; vieux,1,1,habits vieux,,non,4
Habits a negres,1,1,habits à nègre,,non,1
Habits brodés de soye,1,1,habits brodés de soie,,non,1
Habits complet,1,1,habits complets,,non,3
Habits complet pour homme,1,1,habits complets pour homme,,non,1
Habits complets,2,2,habits complets,,non,3
Habits complets neufs,2,2,habits complets neufs,,non,2
Habits d'hommes,1,1,habits d'homme,,non,1
Habits d'officiers uniformes,1,1,habits d'officiers uniformes,,non,1
Habits de camelotd complet,1,1,habits de camelot complet,,non,1
Habits de drap,4,4,habits de drap,,non,12
Habits de drap galonné,1,1,habits de drap galonné,,non,1
Habits de drap unis,2,2,habits de drap unis,,non,2
Habits de draps,2,2,habits de drap,,non,12
Habits de gourgourans,1,1,habits de gogorans,,non,2
Habits de peau,3,3,habits de peau,,non,3
Habits de peaux complets,1,1,habits de peau complets,,non,1
Habits de Pekin brodés,1,1,habits de Pékin brodés,,non,1
Habits de soie,1,1,habits de soie,,non,15
Habits de soldat,1,1,habits de soldat,,non,2
Habits de soldats,1,1,habits de soldat,,non,2
Habits de soye,5,5,habits de soie,,non,15
Habits drap galonnés d'or et d'argent,1,1,habits drap galonnés d'or et d'argent,,non,1
Habits et ornements d'Eglise,0,0,habits et ornements d'Eglise,,oui,0
Habits et tafetars,1,1,habits et taffetas,,non,1
Habits et vestes brodés,1,1,habits et vestes brodés,,non,1
Habits et vestes vieux,1,1,habits et vestes vieux,,non,1
Habits neuf,1,1,habits neufs,,non,1
Habits pour femme,2,2,habits pour femme,,non,2
Habits pour homme,5,5,habits pour homme,,non,5
Habits pour homme brodés d'or,1,1,habits pour homme brodés d'or,,non,1
Habits pour hommes et pour femmes,1,1,habits pour homme et pour femme,,non,1
Habits suportés,1,1,habits supportés,,non,1
Habits uniformes,1,1,habits uniformes,,non,1
Habits vieux,3,3,habits vieux,,non,4
Habits vieux complets,1,1,habits vieux complets,,non,1
Hache de fer,1,1,haches de fer,,non,22
Hache houes serpes,2,2,haches houes serpes,,non,2
Haches,56,56,haches,,non,57
"Haches , houer et serpes",1,1,haches houes et serpes,,non,73
"Haches , houes et serpes",5,5,haches houes et serpes,,non,73
"Haches , hoües et serpes",2,2,haches houes et serpes,,non,73
Haches ; houes et serpes,1,1,haches houes et serpes,,non,73
Haches ; hoües et serpes,3,3,haches houes et serpes,,non,73
Haches d'armes,1,1,haches d'armes,,non,1
Haches de fer,21,21,haches de fer,,non,22
Haches de fer et acier,3,3,haches de fer et acier,,non,5
Haches de fers et acier,2,2,haches de fer et acier,,non,5
Haches de hoües et serpes,1,1,haches et houes et serpes,,non,1
Haches et houes,4,4,haches et houes,,non,4
Haches et houes de fer,1,1,haches et houes de fer,,non,1
Haches et serpes,2,2,haches et serpes,,non,2
Haches houes et serpes,22,22,haches houes et serpes,,non,73
Haches houes et Serpes,1,1,haches houes et serpes,,non,73
Haches hoües et serpes,2,2,haches houes et serpes,,non,73
Hâches houes et serpes,1,1,haches houes et serpes,,non,73
Haches houes et serpetes,1,1,haches houes et serpes,,non,73
Haches houx et serpes,1,1,haches houes et serpes,,non,73
Haches paille,1,1,haches paille,,non,1
"Haches, hoües et serpe",1,1,haches houes et serpes,,non,73
"Haches, houes et serpes",18,18,haches houes et serpes,,non,73
"Haches, houës et serpes",4,4,haches houes et serpes,,non,73
"Haches, hoües et serpes",6,6,haches houes et serpes,,non,73
"Hâches, houes et serpes",2,2,haches houes et serpes,,non,73
"Haches, oues et serpes",1,1,haches houes et serpes,,non,73
"Haches, serpes et houes",1,1,haches serpes et houes,,non,1
Haches; houes et serpes,1,1,haches houes et serpes,,non,73
Hachier,1,1,haches,,non,57
Haddock,0,80,,,non,94525
Haillons de laine,2,2,haillons de laine,,non,2
Hair and wool in wigs,0,2,,,non,94525
Hair for wigs,0,106,,,non,94525
Hair irons,0,4,,,non,94525
Halbards,0,7,,,non,94525
Halibut,0,83,,,non,94525
Halite,0,7,,,non,94525
Hallebardes,0,0,hallebardes,,oui,0
Haltsays,0,0,haltsays,x,oui,0
Hamachs,1,1,hamacs,,non,69
Hamack,1,1,hamacs,,non,69
Hamacks,48,48,hamacs,,non,69
Hamacs,1,1,hamacs,,non,69
Hamacs de coton,8,8,hamacs de coton,,non,8
Hamacts,1,1,hamacs,,non,69
Hamak,2,2,hamacs,,non,69
Hamans,13,13,hamacs,x,non,69
Hamas,1,1,hamacs,,non,69
Hameçons,1,1,hameçons,,non,53
Hamiracontans,1,1,,,non,94525
Hampes de plumes,0,0,hampes de plumes,,oui,0
Hand and foot arches,0,7,,,non,94525
Hand mills,0,12,,,non,94525
Handes,1,1,hardes,x,non,56
Handkerchiefs,0,13,,,non,94525
Handkerchiefs (romals pour),0,18,,,non,94525
Handkerchiefs (romals pour) / ell,0,11,,,non,94525
Handkerchiefs and scarves of silk mixed,0,6,,,non,94525
Handkerchiefs and ties of muslin,0,3,,,non,94525
Handkerchiefs in cotton,0,94,,,non,94525
Handkerchiefs in half silk,0,17,,,non,94525
Handkerchiefs in linen,0,58,,,non,94525
Handkerchiefs in linen / ell,0,6,,,non,94525
Handkerchiefs in linen and cotton,0,58,,,non,94525
Handkerchiefs in muslin,0,4,,,non,94525
Handkerchiefs in serrated cotton,0,119,,,non,94525
Handkerchiefs in serrated linen,0,95,,,non,94525
Handkerchiefs in serrated linen and cotton,0,93,,,non,94525
Handles for sabers,0,3,,,non,94525
Hanspect,1,1,anspects,,non,118
Harams blanc,3,3,harengs blancs,,non,623
Haran,1,1,harengs,,non,125
Haran ;Blancs,1,1,harengs blancs,,non,623
Haran blanc,1,1,harengs blancs,,non,623
Haran blancs,1,1,harengs blancs,,non,623
Haran cades,1,1,harengs cades,,non,2
