goods_simpl_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
graisse de gras de peau,6,not raw cotton,non,549385
graisse de jardin,1,not raw cotton,non,549385
graisse de mouton,5,not raw cotton,non,549385
graisse de pied de bœuf,1,not raw cotton,non,549385
graisse de poisson,11,not raw cotton,non,549385
graisse de poisson de pêche étrangère,1,not raw cotton,non,549385
graisse de poisson de pêche française,2,not raw cotton,non,549385
graisse de poisson des pays hors d'Europe,1,not raw cotton,non,549385
graisse de porcs,110,not raw cotton,non,549385
graisse de tasson et autres,1,not raw cotton,non,549385
graisse de toute sorte sauf graisse de bœuf d'ours de gras de peau et suif brut,2,not raw cotton,non,549385
graisse de toute sorte sauf graisse de cheval d'ours de gras de peau et suif brut,1,not raw cotton,non,549385
graisse de toute sorte sauf gras de peau et suif brut,2,not raw cotton,non,549385
graisse douce,3,not raw cotton,non,549385
graisse douce de cochon,1,,non,4510
graisse et chair salée de porcs,1,not raw cotton,non,549385
graisse et suif,1,not raw cotton,non,549385
graisse fine,2,not raw cotton,non,549385
graisse fondue,1,not raw cotton,non,549385
graisse salée,1,not raw cotton,non,549385
grande voile de vaisseaux,1,not raw cotton,non,549385
granille de cochenille,44,not raw cotton,non,549385
granit,1,not raw cotton,non,549385
grannette de coton,1,not raw cotton,non,549385
graphite,7,not raw cotton,non,549385
grappins,4,not raw cotton,non,549385
grappins de fer,56,not raw cotton,non,549385
gras de tours,1,not raw cotton,non,549385
gras rouge,1,not raw cotton,non,549385
gras-double,7,not raw cotton,non,549385
grattes,1,not raw cotton,non,549385
grattes en fer,2,not raw cotton,non,549385
grattoirs,3,not raw cotton,non,549385
grattoirs de fer,1,,non,4510
gravelée,152,not raw cotton,non,549385
gravelée potasse et védasse,139,not raw cotton,non,549385
gravelle,17,not raw cotton,non,549385
gravures,2,not raw cotton,non,549385
gravures encadrées,1,not raw cotton,non,549385
gravures et lithographies,2,not raw cotton,non,549385
gravures noires ou coloriées,6,not raw cotton,non,549385
gravures peintures et sculptures,54,not raw cotton,non,549385
grèles,1,not raw cotton,non,549385
grèles à café,1,not raw cotton,non,549385
grelin,4,not raw cotton,non,549385
grelots,52,not raw cotton,non,549385
grelots de cuivre,60,not raw cotton,non,549385
grelots de laiton,1,not raw cotton,non,549385
grelots et sonnettes,1,,non,4510
grenade,37,not raw cotton,non,549385
grenade à feu,1,not raw cotton,non,549385
grenade de coton,1,not raw cotton,non,549385
grenade de fer,12,not raw cotton,non,549385
grenade de Florence,1,not raw cotton,non,549385
grenade étoffe,2,not raw cotton,non,549385
grenade fruit,7,not raw cotton,non,549385
grenade pour la Compagnie des Indes,1,not raw cotton,non,549385
grenades de fonte,1,not raw cotton,non,549385
grenadier et laurier et jasmin etc,2,not raw cotton,non,549385
grenaille,7,not raw cotton,non,549385
grenaille d'acier et de fer,1,not raw cotton,non,549385
grenaille de cochenille,3,not raw cotton,non,549385
grenat,15,not raw cotton,non,549385
grenat et rubis,1,not raw cotton,non,549385
grenat faux,2,not raw cotton,non,549385
grenat faux et autres pierres fausses non montées,1,not raw cotton,non,549385
grenat fin,3,not raw cotton,non,549385
grenat fin monté,1,not raw cotton,non,549385
grenat fin non monté,1,not raw cotton,non,549385
grès,1,not raw cotton,non,549385
grès à laver,4,not raw cotton,non,549385
grès en pavé,3,not raw cotton,non,549385
grès rouge,1,not raw cotton,non,549385
grignons,5,not raw cotton,non,549385
grillages,1,not raw cotton,non,549385
grillages de fer,2,not raw cotton,non,549385
grillages en fer,1,not raw cotton,non,549385
grilles,1,not raw cotton,non,549385
grilles de fer,56,not raw cotton,non,549385
grilles de fer à moulins à sucre,1,,non,4510
grilles de fer de fonte,4,not raw cotton,non,549385
grilles de fer pour moulins à sucre,1,not raw cotton,non,549385
grilles et tambours de fer,1,not raw cotton,non,549385
grillons,1,not raw cotton,non,549385
grillons de fonte,1,not raw cotton,non,549385
grinza,1,not raw cotton,non,549385
gris,3,not raw cotton,non,549385
grisette,53,not raw cotton,non,549385
grisette de Flandre,1,not raw cotton,non,549385
grisette de laine,2,not raw cotton,non,549385
grisette de soie,10,not raw cotton,non,549385
grisons,2,not raw cotton,non,549385
grives,3,not raw cotton,non,549385
groisil,1,not raw cotton,non,549385
groisil de verre,2,not raw cotton,non,549385
groison,2,not raw cotton,non,549385
gros de Naples,1,not raw cotton,non,549385
gros de Tours,5,not raw cotton,non,549385
gros rouge,5,not raw cotton,non,549385
gros tors,2,not raw cotton,non,549385
groseille,1,not raw cotton,non,549385
grosgrain,1,not raw cotton,non,549385
grosil,20,not raw cotton,non,549385
grosse de soie,1,,non,4510
gruau,283,not raw cotton,non,549385
gruau d'avoine,1,not raw cotton,non,549385
gruau de grains comestible,2,not raw cotton,non,549385
gruau de grains sarrasin,1,not raw cotton,non,549385
gruau de millet,1,not raw cotton,non,549385
gruau et fécule,6,not raw cotton,non,549385
gruyère,3,not raw cotton,non,549385
guajocum utilisé pour traiter la syphilis,1,not raw cotton,non,549385
guéridon,4,not raw cotton,non,549385
guéridon de sapin,1,not raw cotton,non,549385
guéridon et tables,1,,non,4510
guéridon peint,1,not raw cotton,non,549385
guêtres,18,not raw cotton,non,549385
guêtres de coton,1,not raw cotton,non,549385
guêtres de cuir,3,not raw cotton,non,549385
guêtres de toile,3,not raw cotton,non,549385
gueuse de fer,1,not raw cotton,non,549385
guftas,1,not raw cotton,non,549385
guidive des prises,1,not raw cotton,non,549385
guigan de Bengale,0,not raw cotton,oui,549385
guignolet en ratafia,4,not raw cotton,non,549385
guignolet en ratafia de cerise,3,not raw cotton,non,549385
guildive,16,not raw cotton,non,549385
guildive de prise,0,not raw cotton,oui,549385
guin ???,1,not raw cotton,non,549385
guina,1,not raw cotton,non,549385
guincastafs,1,not raw cotton,non,549385
guindeaux,2,not raw cotton,non,549385
guinée,181,not raw cotton,non,549385
guinée blanche,92,not raw cotton,non,549385
guinée blanche des Indes,4,not raw cotton,non,549385
guinée blanche et bleue,1,not raw cotton,non,549385
guinée blanche et bleue des Indes,4,not raw cotton,non,549385
guinée blanche ordinaire,2,not raw cotton,non,549385
guinée bleue,187,not raw cotton,non,549385
guinée bleue de coton,1,not raw cotton,non,549385
guinée bleue des Indes,1,not raw cotton,non,549385
guinée bleue imitant celle des Indes,1,not raw cotton,non,549385
guinée de coton,2,not raw cotton,non,549385
guinée des Indes,1,not raw cotton,non,549385
guinée imitant celle des Indes,2,not raw cotton,non,549385
guinée masulipatan,1,not raw cotton,non,549385
guinée Sénégal,1,not raw cotton,non,549385
guinée tachée,1,not raw cotton,non,549385
guingan,581,not raw cotton,non,549385
guingan blanc,1,not raw cotton,non,549385
guingan bleu,1,not raw cotton,non,549385
guingan de Bengale,2,,non,4510
guingan de coton,1,not raw cotton,non,549385
guingan de fil,24,not raw cotton,non,549385
guingan de Grenade,1,,non,4510
guingan de lin,19,not raw cotton,non,549385
guingan de Madras,23,not raw cotton,non,549385
guingan de Masulipatan,1,not raw cotton,non,549385
guingan de Pondichéry,26,not raw cotton,non,549385
guingan de Pondichéry et de Madras,1,not raw cotton,non,549385
guingan de prises,0,not raw cotton,oui,549385
guingan de Rouen,3,not raw cotton,non,549385
guingan des Indes,3,not raw cotton,non,549385
guingan des prises,1,not raw cotton,non,549385
guingan du Bengale,8,not raw cotton,non,549385
guingan en Madras,1,not raw cotton,non,549385
guingan peint,2,not raw cotton,non,549385
guingan pièces,1,not raw cotton,non,549385
guinimos,1,not raw cotton,non,549385
guipon,6,not raw cotton,non,549385
guisine,1,not raw cotton,non,549385
guitare,8,not raw cotton,non,549385
guitare de fer,3,not raw cotton,non,549385
gullots,1,not raw cotton,non,549385
habassis,5,not raw cotton,non,549385
habillement de drap noir,1,not raw cotton,non,549385
habillés,1,not raw cotton,non,549385
habits,438,not raw cotton,non,549385
habits à nègre,1,not raw cotton,non,549385
habits brodés d'argent et d'or,1,not raw cotton,non,549385
habits brodés d'or,15,not raw cotton,non,549385
habits brodés de soie,6,not raw cotton,non,549385
habits complets,3,not raw cotton,non,549385
habits complets et neufs,2,not raw cotton,non,549385
habits d'argent et d'or,1,not raw cotton,non,549385
habits d'étamine,1,not raw cotton,non,549385
habits d'homme,0,not raw cotton,oui,549385
habits d'homme avec argent et or,0,not raw cotton,oui,549385
habits d'or,3,not raw cotton,non,549385
habits de camelot,1,not raw cotton,non,549385
habits de camelot complet,1,,non,4510
habits de cour,1,not raw cotton,non,549385
habits de drap,12,not raw cotton,non,549385
habits de drap d'Elbeuf,1,not raw cotton,non,549385
habits de drap galonné,1,not raw cotton,non,549385
habits de drap galonnés d'argent et d'or,1,not raw cotton,non,549385
habits de drap neuf,1,not raw cotton,non,549385
habits de drap uni,2,not raw cotton,non,549385
habits de droguet,1,not raw cotton,non,549385
habits de droguet de soie,1,not raw cotton,non,549385
habits de femme,0,not raw cotton,oui,549385
habits de gogorans,2,not raw cotton,non,549385
habits de laine,1,not raw cotton,non,549385
habits de laine pour nègre,1,not raw cotton,non,549385
habits de livrée,1,not raw cotton,non,549385
habits de livrée et ornements d'église,2,not raw cotton,non,549385
habits de nègre,1,not raw cotton,non,549385
habits de nègre en étoffe,1,not raw cotton,non,549385
habits de négresse,1,,non,4510
habits de peau,3,not raw cotton,non,549385
habits de peau complets,1,not raw cotton,non,549385
habits de peaux de mouton,1,not raw cotton,non,549385
habits de Pékin brodés,1,not raw cotton,non,549385
habits de pelleterie,1,not raw cotton,non,549385
habits de pinchina,1,not raw cotton,non,549385
habits de satin brodé,1,not raw cotton,non,549385
habits de soie,38,not raw cotton,non,549385
habits de soldat,2,not raw cotton,non,549385
habits de toile,1,,non,4510
habits de toile de chanvre,1,not raw cotton,non,549385
habits de troupes,2,not raw cotton,non,549385
habits de velours,1,not raw cotton,non,549385
habits divers,87,not raw cotton,non,549385
habits enrichis,1,not raw cotton,non,549385
habits et lingerie,581,not raw cotton,non,549385
habits et lingerie et effets militaires,38,not raw cotton,non,549385
habits et meubles,2,not raw cotton,non,549385
habits et ornements d'Eglise,1,not raw cotton,non,549385
habits et taffetas,1,not raw cotton,non,549385
habits et vestes brodés,1,not raw cotton,non,549385
habits et vestes vieux,1,not raw cotton,non,549385
habits neufs,3,not raw cotton,non,549385
habits pour femme,3,,non,4510
habits pour homme,6,not raw cotton,non,549385
habits pour homme avec argent et or,2,,non,4510
habits pour homme brodés d'or,1,,non,4510
habits pour homme complets,1,not raw cotton,non,549385
habits pour homme et pour femme,1,not raw cotton,non,549385
habits pour nègre,3,not raw cotton,non,549385
habits riches,1,not raw cotton,non,549385
habits supportés,4,not raw cotton,non,549385
habits supportés à la valeur,1,not raw cotton,non,549385
habits supportés au kilogramme,2,not raw cotton,non,549385
habits uniformes,1,not raw cotton,non,549385
habits unis,1,not raw cotton,non,549385
habits vieux,5,not raw cotton,non,549385
haches,57,not raw cotton,non,549385
haches d'armes,1,not raw cotton,non,549385
haches de fer,25,not raw cotton,non,549385
haches de fer et d'acier,5,not raw cotton,non,549385
haches de fer et houes de fer et serpes de fer,3,not raw cotton,non,549385
haches et houe et serpes,1,,non,4510
haches et houes,4,not raw cotton,non,549385
haches et houes de fer,1,not raw cotton,non,549385
haches et houes et serpes,76,not raw cotton,non,549385
haches et serpes,2,not raw cotton,non,549385
haches paille,1,not raw cotton,non,549385
haillons de laine,2,not raw cotton,non,549385
hallebardes,1,not raw cotton,non,549385
haltsays,1,not raw cotton,non,549385
hamacs,71,not raw cotton,non,549385
hamacs de coton,8,not raw cotton,non,549385
hamacs de retour faute de vente,1,not raw cotton,non,549385
hameçons,56,not raw cotton,non,549385
hameçons cassés,1,not raw cotton,non,549385
hampes de plumes,1,not raw cotton,non,549385
harancades,22,not raw cotton,non,549385
haras,1,not raw cotton,non,549385
hardes,80,not raw cotton,non,549385
hardes à usage,4,not raw cotton,non,549385
hardes capillaire,1,not raw cotton,non,549385
hardes et habits,4,not raw cotton,non,549385
hardes neuves,17,not raw cotton,non,549385
hardes perelle,1,not raw cotton,non,549385
hardes pour nègre,2,not raw cotton,non,549385
hardes vieilles,38,not raw cotton,non,549385
harengs,77,not raw cotton,non,549385
harengs blancs,665,not raw cotton,non,549385
harengs blancs demi-feuillettes,2,not raw cotton,non,549385
harengs blancs feuillettes,2,not raw cotton,non,549385
harengs blancs marinés et salés,15,not raw cotton,non,549385
harengs blancs salés,1,not raw cotton,non,549385
harengs blancs salés et marinés,1,not raw cotton,non,549385
harengs bleus,1,,non,4510
harengs cades,2,not raw cotton,non,549385
harengs de la Baltique petits,1,not raw cotton,non,549385
harengs de la pêche nationale,1,not raw cotton,non,549385
harengs et maquereaux salés,4,not raw cotton,non,549385
harengs et saumons salés,1,not raw cotton,non,549385
harengs frais,5,not raw cotton,non,549385
harengs frais et merlan frais,1,not raw cotton,non,549385
harengs fumés,65,not raw cotton,non,549385
harengs marinés et salés,3,not raw cotton,non,549385
harengs marinés et salés et saurs,8,not raw cotton,non,549385
harengs pecks,0,not raw cotton,oui,549385
harengs pecs,3,not raw cotton,non,549385
harengs salés,29,not raw cotton,non,549385
harengs salés et sardines salées,4,not raw cotton,non,549385
harengs salés et sardines salées et saumon salé,6,not raw cotton,non,549385
harengs saurs,411,not raw cotton,non,549385
harengs secs,11,not raw cotton,non,549385
haricots,65,not raw cotton,non,549385
haricots confits,2,not raw cotton,non,549385
haricots en fèves,1,not raw cotton,non,549385
haricots en fil,1,not raw cotton,non,549385
haricots et lentilles et pois secs,3,not raw cotton,non,549385
haricots marinés,1,not raw cotton,non,549385
harmonica et orgues portatives,2,not raw cotton,non,549385
harnais,83,not raw cotton,non,549385
harnais de carrosses,1,not raw cotton,non,549385
harnais de chaise,23,not raw cotton,non,549385
harnais de chevaux,20,not raw cotton,non,549385
harnais de chevaux de cuir,8,not raw cotton,non,549385
harnais de cuir,2,not raw cotton,non,549385
harnais de sellier,1,not raw cotton,non,549385
harnais et chaises roulantes,1,not raw cotton,non,549385
harnais et housses de chevaux,1,not raw cotton,non,549385
harnais et housses de mulet,1,not raw cotton,non,549385
harnais et phaéton,1,not raw cotton,non,549385
harnais et selles,11,not raw cotton,non,549385
harnais pour chaise de cuir,1,not raw cotton,non,549385
harpes,9,not raw cotton,non,549385
harpes et guitare,1,not raw cotton,non,549385
harpes et guitare et psalterions,2,not raw cotton,non,549385
harpes et orgues d'église,2,not raw cotton,non,549385
harpins,1,not raw cotton,non,549385
harpons de scies,1,,non,4510
hartreuse,1,not raw cotton,non,549385
hautbois,3,not raw cotton,non,549385
hebichets de fil de fer,1,not raw cotton,non,549385
helateas,2,not raw cotton,non,549385
hellébore,1,not raw cotton,non,549385
hemitacortum,2,not raw cotton,non,549385
herbages,81,not raw cotton,non,549385
herbes,60,not raw cotton,non,549385
herbes à charpentier,3,not raw cotton,non,549385
herbes à col,1,not raw cotton,non,549385
herbes à teindre,116,not raw cotton,non,549385
herbes à teindre ou terre jaune,1,not raw cotton,non,549385
herbes aromatiques,1,,non,4510
herbes d'absinthe,2,not raw cotton,non,549385
herbes d'acacia,1,not raw cotton,non,549385
herbes d'acacia à teindre,1,not raw cotton,non,549385
herbes d'orseille,101,not raw cotton,non,549385
herbes d'oseille,26,not raw cotton,non,549385
herbes de sarriette,1,not raw cotton,non,549385
herbes de violette,1,not raw cotton,non,549385
herbes émollientes,1,not raw cotton,non,549385
herbes et plantes et racines,6,not raw cotton,non,549385
herbes et racines,1,not raw cotton,non,549385
herbes et trèfle,2,not raw cotton,non,549385
herbes gaude,72,not raw cotton,non,549385
herbes mauves,1,,non,4510
herbes médicinales,12,not raw cotton,non,549385
herbes médicinales et plantes médicinales,58,not raw cotton,non,549385
herbes médicinales et plantes médicinales et racines médicinales,35,not raw cotton,non,549385
herbes pérelle,118,not raw cotton,non,549385
herbes plantes racines fleurs etc.,14,not raw cotton,non,549385
herbes qacrette,3,not raw cotton,non,549385
herbes vaudes,28,not raw cotton,non,549385
herbes véroniques,1,,non,4510
herbes vulnéraires,24,not raw cotton,non,549385
hermine,2,not raw cotton,non,549385
herminettes,2,not raw cotton,non,549385
hermodatte,51,not raw cotton,non,549385
herse,1,not raw cotton,non,549385
hesses et hirondelles,1,not raw cotton,non,549385
hêtre en blocs,1,not raw cotton,non,549385
hipocide,4,not raw cotton,non,549385
hipouditte,1,not raw cotton,non,549385
histoire naturelle,18,not raw cotton,non,549385
histoire naturelle coquillages,1,not raw cotton,non,549385
Hondschoote blanche,2,not raw cotton,non,549385
Hondschoote peinte,3,not raw cotton,non,549385
hôpitaux,2,not raw cotton,non,549385
hôpitaux à café,1,not raw cotton,non,549385
hôpitaux de cuivre,65,not raw cotton,non,549385
horloge,46,not raw cotton,non,549385
horloge à réveils,1,not raw cotton,non,549385
horloge commune,5,not raw cotton,non,549385
horloge d'église,1,not raw cotton,non,549385
horloge de bois,28,not raw cotton,non,549385
horloge de fer,1,not raw cotton,non,549385
horloge de mer,1,not raw cotton,non,549385
horloge de sable,23,not raw cotton,non,549385
horloge de tables,4,not raw cotton,non,549385
horloge neuve,1,not raw cotton,non,549385
horlogerie,794,not raw cotton,non,549385
horlogerie boîtes d'argent,6,not raw cotton,non,549385
horlogerie boîtes d'or,4,not raw cotton,non,549385
horlogerie boîtes de montre d'argent,1,not raw cotton,non,549385
horlogerie boîtes de montre d'or,1,not raw cotton,non,549385
horlogerie boîtes de pendule,3,not raw cotton,non,549385
horlogerie cadrans,1,not raw cotton,non,549385
horlogerie cadrans d'émail,1,not raw cotton,non,549385
horlogerie carillon,1,not raw cotton,non,549385
horlogerie carillon au-dessous d'une hectogramme,1,not raw cotton,non,549385
horlogerie chaînes d'argent,1,not raw cotton,non,549385
horlogerie chaînes d'or,3,not raw cotton,non,549385
horlogerie chaînes de cuivre,1,not raw cotton,non,549385
horlogerie clefs de montre,1,not raw cotton,non,549385
horlogerie d'or,2,not raw cotton,non,549385
horlogerie et carillon,4,not raw cotton,non,549385
horlogerie fournitures,6,not raw cotton,non,549385
horlogerie horloge de fer,12,not raw cotton,non,549385
horlogerie monom à montre,1,not raw cotton,non,549385
horlogerie monom à pendule,2,not raw cotton,non,549385
horlogerie montres d'argent,12,not raw cotton,non,549385
horlogerie montres d'or,14,not raw cotton,non,549385
horlogerie montres de cuivre,3,not raw cotton,non,549385
horlogerie montres de métal,1,not raw cotton,non,549385
horlogerie montres maillées,1,not raw cotton,non,549385
horlogerie mouvements de montre,7,not raw cotton,non,549385
horlogerie mouvements de pendule,5,not raw cotton,non,549385
horlogerie outils d'horloge,2,not raw cotton,non,549385
horlogerie pendule,36,not raw cotton,non,549385
horlogerie pendule de cuivre,2,not raw cotton,non,549385
horlogerie pendule et réveils,2,not raw cotton,non,549385
horlogerie ressorts de montre,2,not raw cotton,non,549385
horlogerie ressorts de pendule,3,not raw cotton,non,549385
horlogerie réveils,2,not raw cotton,non,549385
horlogerie timbres,1,not raw cotton,non,549385
hôtes,1,not raw cotton,non,549385
hôtes d'osier,4,not raw cotton,non,549385
houblon,293,not raw cotton,non,549385
houes,12,not raw cotton,non,549385
houes de fer,17,not raw cotton,non,549385
houes et serpes,21,not raw cotton,non,549385
houes haches et serpes,4,not raw cotton,non,549385
houille,4,not raw cotton,non,549385
houille frontières,2,not raw cotton,non,549385
houille par Ardennes et Meuse,2,not raw cotton,non,549385
houille par mer,3,not raw cotton,non,549385
houille par mer à Baisieux,2,not raw cotton,non,549385
houille par terre,1,not raw cotton,non,549385
houille par terre Ardennes et autre,2,not raw cotton,non,549385
houppe de cygne,5,not raw cotton,non,549385
housses,2,not raw cotton,non,549385
housses de chevaux,25,not raw cotton,non,549385
housses de chevaux enrichie,1,not raw cotton,non,549385
housses de chevaux et faux,1,not raw cotton,non,549385
housses de chevaux et faux et fourreaux garnis de soie,1,not raw cotton,non,549385
housses de chevaux garnies d'argent et d'or,1,not raw cotton,non,549385
housses de drap,6,not raw cotton,non,549385
housses de drap et de velours,2,not raw cotton,non,549385
housses de lit,2,not raw cotton,non,549385
housses de selles,1,not raw cotton,non,549385
housses de velours,1,not raw cotton,non,549385
housses et faux fourreaux,3,not raw cotton,non,549385
housses et faux fourreaux garnis d'argent,1,not raw cotton,non,549385
housses et selles de chevaux,1,not raw cotton,non,549385
housses galonnées,2,not raw cotton,non,549385
housses galonnées d'or,4,not raw cotton,non,549385
housses galonnées d'or et d'argent,1,,non,4510
housses garnies d'or,2,,non,4510
housses garnies et d'or,0,not raw cotton,oui,549385
hubalingue,1,not raw cotton,non,549385
hubellimeus,1,not raw cotton,non,549385
huide de codde,1,not raw cotton,non,549385
huile,18,not raw cotton,non,549385
huile à ???,1,not raw cotton,non,549385
huile à brûler,48,not raw cotton,non,549385
huile à brûler de graine,1,not raw cotton,non,549385
huile à brûler et de poisson,12,not raw cotton,non,549385
huile ambrée,1,not raw cotton,non,549385
huile antique et huile volatile ambrée,1,not raw cotton,non,549385
huile blanche,1,not raw cotton,non,549385
huile carabée,1,not raw cotton,non,549385
huile chimique,1,not raw cotton,non,549385
huile citron orange et leurs variétés,2,not raw cotton,non,549385
huile commune,4,not raw cotton,non,549385
huile commune d'olive,1,not raw cotton,non,549385
huile concrète de cacao et de laurier,2,not raw cotton,non,549385
huile d'absinthe,2,not raw cotton,non,549385
huile d'Aix,2,not raw cotton,non,549385
huile d'amandes,77,not raw cotton,non,549385
huile d'amandes douces,14,not raw cotton,non,549385
huile d'ambre,11,not raw cotton,non,549385
huile d'anis,28,not raw cotton,non,549385
huile d'anis carvi et fenouil,1,not raw cotton,non,549385
huile d'anis et fenouil,2,not raw cotton,non,549385
huile d'aspic,58,not raw cotton,non,549385
huile d'élite dite keurolie,1,not raw cotton,non,549385
huile d'enc,1,not raw cotton,non,549385
huile d'étain,1,not raw cotton,non,549385
huile d'œillette,31,not raw cotton,non,549385
huile d'olive,3295,not raw cotton,non,549385
huile d'olive à manger,11,not raw cotton,non,549385
huile d'olive blanche de Gênes,1,not raw cotton,non,549385
huile d'olive comestible,3,not raw cotton,non,549385
huile d'olive commune,18,not raw cotton,non,549385
huile d'olive Corse pour la France,1,not raw cotton,non,549385
huile d'olive de fèce ou fie d'huile,2,not raw cotton,non,549385
huile d'olive et autres pour fabrique,21,not raw cotton,non,549385
huile d'olive fine,123,not raw cotton,non,549385
huile d'olive importée en grande partie à Marseille,1,not raw cotton,non,549385
huile d'olive pour fabrique,245,not raw cotton,non,549385
huile d'olive pour fabrique de la Corse,1,not raw cotton,non,549385
huile d'ours,1,not raw cotton,non,549385
huile de baleine,90,not raw cotton,non,549385
huile de baleine et spirituelle,1,not raw cotton,non,549385
huile de baume,1,not raw cotton,non,549385
huile de benedie,1,not raw cotton,non,549385
huile de benjoin,1,not raw cotton,non,549385
huile de brique,1,not raw cotton,non,549385
huile de cacao,2,not raw cotton,non,549385
huile de cacao et palme,1,not raw cotton,non,549385
huile de cade,4,not raw cotton,non,549385
huile de cahouanne,3,not raw cotton,non,549385
huile de cannelle,17,not raw cotton,non,549385
huile de cannelle macis muscade de Rhodes et rose,2,not raw cotton,non,549385
huile de carabe,7,not raw cotton,non,549385
huile de carde,3,not raw cotton,non,549385
huile de casse cède cédrin genièvre,2,not raw cotton,non,549385
huile de castor,1,not raw cotton,non,549385
huile de chanvre,11,not raw cotton,non,549385
huile de chien de mer,2,not raw cotton,non,549385
huile de chimie,1,not raw cotton,non,549385
huile de chimie ?,1,,non,4510
huile de citron bergamote et orange,1,not raw cotton,non,549385
huile de coco,1,not raw cotton,non,549385
huile de copahu,53,not raw cotton,non,549385
huile de corde,1,not raw cotton,non,549385
huile de corne de cerf,1,not raw cotton,non,549385
huile de crabette,1,not raw cotton,non,549385
huile de crème,1,not raw cotton,non,549385
huile de cumin,1,not raw cotton,non,549385
huile de dégras,1,not raw cotton,non,549385
huile de faine et de noix,5,not raw cotton,non,549385
huile de farde,1,not raw cotton,non,549385
huile de Flandre,1,not raw cotton,non,549385
huile de flanelle,1,not raw cotton,non,549385
huile de Florence,1,not raw cotton,non,549385
huile de gaïac,1,not raw cotton,non,549385
huile de Garonne,1,not raw cotton,non,549385
huile de genièvre,14,not raw cotton,non,549385
huile de girofle,46,not raw cotton,non,549385
huile de girofle et sassafras,1,not raw cotton,non,549385
huile de girofle et spirituelle,1,not raw cotton,non,549385
huile de grain,4,not raw cotton,non,549385
huile de graine,629,not raw cotton,non,549385
huile de graine d'anis,1,not raw cotton,non,549385
huile de graine d'olive,1,not raw cotton,non,549385
huile de graine de cannelle,1,not raw cotton,non,549385
huile de graine de colza lin navette etc. et de noix,2,not raw cotton,non,549385
huile de graine de girofle,1,not raw cotton,non,549385
huile de graine de lin,3,not raw cotton,non,549385
huile de graine de macis,1,not raw cotton,non,549385
huile de graine de moutarde,1,not raw cotton,non,549385
huile de graine de navette,1,not raw cotton,non,549385
huile de graine de navette et de chanvre,1,not raw cotton,non,549385
huile de graine de poisson,1,not raw cotton,non,549385
huile de graine de Rhodes,1,not raw cotton,non,549385
huile de graine de térébenthine,1,not raw cotton,non,549385
huile de graine et de lin,6,not raw cotton,non,549385
huile de graine et de noix,38,not raw cotton,non,549385
huile de graine grasse,3,not raw cotton,non,549385
huile de grains,5,not raw cotton,non,549385
huile de grains à peinures,1,not raw cotton,non,549385
huile de graisse,2,not raw cotton,non,549385
huile de graisse de poisson,1,not raw cotton,non,549385
huile de gras,1,not raw cotton,non,549385
huile de gras et de traens pour tanneurs,1,not raw cotton,non,549385
huile de gras pour tanneurs,1,not raw cotton,non,549385
huile de Haarlem,1,not raw cotton,non,549385
huile de hareng,1,not raw cotton,non,549385
huile de jasmin,17,not raw cotton,non,549385
huile de jasmin et autres fleurs,3,not raw cotton,non,549385
huile de jayet,1,not raw cotton,non,549385
huile de laine,1,not raw cotton,non,549385
huile de laurier,75,not raw cotton,non,549385
huile de lavande,6,not raw cotton,non,549385
huile de lin,842,not raw cotton,non,549385
huile de lin et spirituelle,6,not raw cotton,non,549385
huile de lin pour l'entrepôt pour la Compagnie des Indes,1,not raw cotton,non,549385
huile de loifon,9,not raw cotton,non,549385
huile de loup marin,7,not raw cotton,non,549385
huile de maïs,1,not raw cotton,non,549385
huile de Majorque,1,not raw cotton,non,549385
huile de marjolaine et sauge,1,not raw cotton,non,549385
huile de menthe,1,not raw cotton,non,549385
huile de morne,2,not raw cotton,non,549385
huile de morue,84,not raw cotton,non,549385
huile de muscade,24,not raw cotton,non,549385
huile de navette,179,not raw cotton,non,549385
huile de noisettes,2,,non,4510
huile de noix,249,not raw cotton,non,549385
huile de Palma Christi,9,not raw cotton,non,549385
huile de palme,32,not raw cotton,non,549385
huile de palmier,1,not raw cotton,non,549385
huile de parfum,4,not raw cotton,non,549385
huile de peinture,1,not raw cotton,non,549385
huile de pierre,1,not raw cotton,non,549385
huile de pignon et ricin,2,not raw cotton,non,549385
huile de pin,1,not raw cotton,non,549385
huile de plantes,1,not raw cotton,non,549385
huile de poisson,1646,not raw cotton,non,549385
huile de poisson des Indes,1,not raw cotton,non,549385
huile de poisson et de lin,1,not raw cotton,non,549385
huile de poisson et poix,1,not raw cotton,non,549385
huile de poix,9,not raw cotton,non,549385
huile de rabette,105,not raw cotton,non,549385
huile de rave,2,not raw cotton,non,549385
huile de Rhodes,14,not raw cotton,non,549385
huile de rhue,1,not raw cotton,non,549385
huile de romarin,4,not raw cotton,non,549385
huile de rose,4,not raw cotton,non,549385
huile de salmus,1,not raw cotton,non,549385
huile de sassafras,2,not raw cotton,non,549385
huile de saturne,1,not raw cotton,non,549385
huile de scorpion,6,not raw cotton,non,549385
huile de sein,1,not raw cotton,non,549385
huile de semence,1,not raw cotton,non,549385
huile de senteur,97,not raw cotton,non,549385
huile de soldat,3,not raw cotton,non,549385
huile de soufre,2,not raw cotton,non,549385
huile de spermaceti,5,not raw cotton,non,549385
huile de storax,8,not raw cotton,non,549385
