simplification,nbr_occurences_simpl,obsolete,coffee,nbr_occurences_hamburg,nbr_occurences_coffee
ardoise à piler,1,non,Not coffee,442379,825945
ardoise commune,215,non,Not coffee,442379,825945
ardoise dite chérubin et à mortier,63,non,Not coffee,442379,825945
ardoise dite grande voisine,2,non,Not coffee,442379,825945
ardoise dite moyenne voisine,3,non,Not coffee,442379,825945
ardoise dite petite voisine,2,non,Not coffee,442379,825945
ardoise dite voisine grande moyenne et petite,7,non,Not coffee,442379,825945
ardoise en carreaux,2,non,Not coffee,442379,825945
ardoise en carreaux et d'1 pied carré,1,non,Not coffee,442379,825945
ardoise en carreaux ou en table,7,non,Not coffee,442379,825945
ardoise en livret,7,non,Not coffee,442379,825945
ardoise encadrée,2,non,Not coffee,442379,825945
ardoise encadrée et en livret,71,non,Not coffee,442379,825945
ardoise non travaillée,8,non,Not coffee,442379,825945
ardoise pour fenêtre,6,non,Not coffee,442379,825945
ardoise pour toiture,8,non,Not coffee,442379,825945
ardoise pour toiture au kilogramme,1,non,Not coffee,442379,825945
ardoise pour toiture au nombre,2,non,Not coffee,442379,825945
ardoise verte,1,non,Not coffee,442379,825945
ardoises,3,non,Not coffee,442379,825945
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,non,Not coffee,442379,825945
arelles de baleine,1,non,Not coffee,442379,825945
argent,12,non,Not coffee,442379,825945
argent battu,1,non,Not coffee,442379,825945
argent battu et en feuille,2,non,Not coffee,442379,825945
argent battu filé laminé et tiré,3,non,Not coffee,442379,825945
argent brisé et en lingots et en masses,1,non,Not coffee,442379,825945
argent brûlé,9,non,Not coffee,442379,825945
argent brut,1,non,Not coffee,442379,825945
argent brut en lingot et en masse ouvrages détruits,2,non,Not coffee,442379,825945
argent carragoux,2,non,Not coffee,442379,825945
argent en barils,2,non,Not coffee,442379,825945
argent en barres,17,non,Not coffee,442379,825945
argent en lingots,27,non,Not coffee,442379,825945
argent en lingots par Calais,1,non,Not coffee,442379,825945
argent et or,237,non,Not coffee,442379,825945
argent et or billon,8,non,Not coffee,442379,825945
argent et or et bijouterie,1,non,,,43966
argent faux,9,non,Not coffee,442379,825945
argent faux en fil cantilles etc.,3,non,Not coffee,442379,825945
argent faux et or faux,54,non,Not coffee,442379,825945
argent faux et or faux traits,5,non,Not coffee,442379,825945
argent fin,1,non,Not coffee,442379,825945
argent monnayé et nogat d'or,4,non,Not coffee,442379,825945
argent talari,0,oui,Not coffee,442379,825945
argent vif,3,non,Not coffee,442379,825945
argenterie,737,non,Not coffee,442379,825945
argenterie épée,7,non,Not coffee,442379,825945
argenterie et bijouterie,21,non,Not coffee,442379,825945
argenterie et bijouterie et orfèvrerie,1,non,Not coffee,442379,825945
argenterie et orfévrerie,0,oui,Not coffee,442379,825945
argenterie et orfèvrerie,122,non,Not coffee,442379,825945
argenterie et orfèvrerie vermeil,37,non,Not coffee,442379,825945
