goods_simpl_classification;ulrich_classification
bassin de barbe;out
bassin de bois;out
bassin de cuivre;out
bassin de cuivre grand;out
bassin de cuivre jaune;out
bassin de cuivre jaune et chaudron de cuivre jaune;out
bassin de cuivre jaune pour l'entrepôt à la destination de la Compagnie des Indes;out
bassin de cuivre petit;out
bassin de cuivre pour l'entrepôt pour Guinée;out
bassin de fer;out
bassin de marbre;out
bassines de cuivre;out
bassons;out
bassons clarinettes;out
bast et écorce d'arbre et foularde;out
batanomes;out
batanony;out
bâtardes;out
batavia;out
bateaux;out
bateaux à pêcher;out
bateaux neufs;out
bâtiments de mer;out
bâtiments de mer vieux;out
bâtiments naufragés;out
batiste;out
batiste blanche;out
batiste brochée;out
batiste de 12 aunes;out
batiste de fil;out
batiste de lin;out
batiste de lin et linon de lin;out
batiste écrue;out
batiste et linon;out
batiste et linon de chanvre;out
batiste et linon de chanvre et de lin;out
batiste fine;out
batiste grise;out
batiste Lorient;out
batonge de bois;out
bâtons;out
bâtons à chandelle;out
bâtons à étendre le linge;out
bâtons à faire cercles;out
bâtons à frottoir;out
bâtons à gaffes;out
bâtons à lave-place;out
bâtons à œillets;out
bâtons à pinceaux;out
bâtons d'éventails d'ivoire;out
bâtons de bois;out
bâtons de bois peints;out
bâtons de bois vernis;out
bâtons de brosses à goudronner;out
bâtons de cap;out
bâtons de colliers;out
bâtons de fer;out
bâtons de gabares;out
bâtons de gabares de 14 à 16 pieds;out
bâtons de gaffe;out
bâtons de pompes;out
bâtons de saloups;out
bâtons de sapin;out
bâtons de sapin de 4 pieds de long;out
bâtons de sapin peint;out
bâtons peints;out
bâtons vernis;out
bâts;out
bâts à matelas;out
bâts d'ânes;out
bâts de bois;out
bâts de chevaux;out
bâts de mulets;out
batterie d'airain;out
batterie de cuisine;out
batterie de cuisine en cuivre;out
batterie de cuivre;out
batterie de fer;out
batterie de fer à cuisine;out
batterie de fer coulé;out
batterie de fer-blanc;out
batterie en plaque;out
battes à fer;out
battoirs;out
battoirs à lessive;out
baudriers;out
baudriers de cuir;out
baule;out
baumanes;out
baume;out
baume de benjoin;out
baume de Copahu;out
baume de Copahu et du Pérou;out
baume de gaïac;out
baume de l'Amérique;out
baume de la Mecque;out
baume de storax liquide et en pain;out
baume de storax naturel;out
baume de storax préparé;out
baume de storax préparé en grains;out
baume de storax préparé liquide;out
baume de Sucre;out
baume de Tolu;out
baume de vie;out
baume du Canada;out
baume du Levant;out
baume du Pérou;out
baume et élixir;out
baume et sucs d'espèces particulières;out
baume laque;out
baume noir;out
baume rouge;out
baume tranquille;out
bavette;out
bavoirs;out
bayette;out
bayette blanche;out
bayette blanche aune;out
bayette bleue;out
bayette bleue et rouge;out
bayette de Beauvais;out
bayette de prise;out
bayette des Indes;out
bayette grosse;out
bayette teinte;out
bayette teinte aune;out
bayoulen;out
bazzitte;out
bdellium;out
beau vert broyé;out
beaudeaux;out
beaupré;out
bécasses;out
bécassines;out
becfigues marinés;out
bêches;out
bêches de fer;out
beige;out
béliers brebis et moutons communs;out
béliers mérinos;out
béliers mérinos et métis;out
belinge;out
bem ???;out
bem de Vimoutiers;out
bem pour voile;out
benblanc;out
benfletins;out
Bengale;out
bénitier de marbre;out
bénitier de marbre ouvré;out
bénitier de marbre pesant 250 livres;out
benjoin;out
benjoin du Levant;out
bennes;out
bennes vides;out
berce de fer et lit de fer;out
berceau d'enfant;out
berceau d'osier;out
bergamote;out
bergamotes;out
bergamotes fraîches;out
Bergopzoom;out
Bergopzoom aune;out
berline;out
berline et harnais;out
berline garnie de velours;out
berline garnie de velours et crêpine d'or et harnais riche;out
berline vieille;out
bernes;out
bernes de laine;out
bernes ou tapsel;out
bernic;out
bestiaux;out
bestiaux et bêtes de somme;out
bêtes de somme;out
bêtes de somme et bœuf;out
bêtes de somme et poulains;out
bêtes principalement en mules et mulets;out
bétilles;cotton goods
bétilles des Indes;cotton goods
betteraves;out
beunne;out
beurre;out
beurre commun;out
beurre d'Angleterre;out
beurre d'Irlande;out
beurre d'Irlande non comestible;out
beurre d'Irlande salé;out
beurre de Bretagne;out
beurre de cacao;out
beurre de Dixmude;out
beurre du pays;out
beurre du pays salé;out
beurre et fromage;out
beurre fondu;out
beurre frais;out
beurre frais ou fondu;out
beurre frais ou fondu ou salé;out
beurre pour Genève par transit;out
beurre pour l'entrepôt des Îles;out
beurre salé;out
beurreterie en bar de fil blanc;out
beurrière;out
bezoar;out
bezoar du Ponent;out
bibelots et mercerie;out
bibliothèque;out
bidets;out
bidets de faïence;out
bidets de faïence avec leurs pieds de bois;out
bidets de faïence et leurs pièces;out
bidons;out
bière;out
bière aigre;out
bière blanche;out
bière cidre et vinaigre;out
bière commune du pays;out
