simplification,nbr_occurences_simpl,edentreaty,obsolete,nbr_occurences_edentreaty
anches de tonneaux,2,,non,739563
anchois,1015,,non,739563
anchois câpres et olives,10,,non,739563
anchois câpres etc.,1,,non,739563
anchois câpres olives,1,,non,739563
anchois et boutargue,13,,non,739563
anchois et câpres,5,,non,739563
anchois et sardes,1,,non,739563
anchois et sardines,5,,non,739563
anchois mariné,10,,non,739563
anchois mariné et salé,39,,non,739563
anchois salé,2,,non,739563
anchois salé et mariné,2,,non,739563
anchois salés,4,,non,739563
anchois salés et marinés,9,,non,739563
ancres,53,,non,739563
ancres de chaudon,1,,non,739563
ancres de fer,573,,non,739563
ancres de fer à chaudrons,1,,non,739563
ancres de fer au-dessus de 250 kilogrammes,1,,non,739563
ancres de fer de 250 kilogrammes et au-dessous,1,,non,739563
ancres de fer et embarcations,2,,non,739563
ancres et embarcations,5,,non,739563
ancres et grappins de fer,1,,non,739563
ancres gravelées,1,,non,739563
ancres neuves,3,,non,739563
ancres vides,4,,non,739563
ancres vieilles,1,,non,739563
ancres vieilles vides,1,,non,739563
andolium,5,,non,739563
andouilles,43,,non,739563
andouillette,1,,non,739563
ânes,175,,non,739563
ânes et ânesses,97,,non,739563
ânes et mulets,11,,non,739563
ânesses,1,,non,739563
angélique,28,,non,739563
angélique du Rozème,1,,non,739563
anguilles,25,,non,739563
anguilles et truites,118,,non,739563
anguilles fraîches,1,,non,739563
anguilles marinées,1,,non,739563
anguilles salées,22,,non,739563
anille,1,,non,739563
animaux,5,,non,739563
anis,556,,non,739563
anis et rac et rhum etc.,101,,non,739563
anis et sucre,1,,non,739563
anis étoilé,0,,oui,739563
anis vert,93,,non,739563
anis vert à distiller,2,,non,739563
anisette,112,,non,739563
anisette au fiasque,6,,non,739563
anisette de Bordeaux,2,,non,739563
anneau de cuivre,1,,non,739563
anneau de fer,2,,non,739563
anneaux de cuivre,1,,non,739563
anneaux de fer,1,,non,739563
ânon,2,,non,739563
anspects,128,,non,739563
anspects de 3 à 4 pieds,1,,non,739563
anspects de bois,26,,non,739563
anspects de sapin,1,,non,739563
antale,3,,non,739563
antale et cauris,1,,non,739563
antchibanis,9,,oui,739563
antenelle,1,,non,739563
antennes,2,,non,739563
antennes et mâts de bateaux,1,,non,739563
antimoine,282,,non,739563
antimoine cru,27,,non,739563
antimoine métallique et sulfuré,2,,non,739563
antimoine préparé,2,,non,739563
antimoine vert,1,,non,739563
antofle,1,,non,739563
antofle de girofle,11,,non,739563
apasier,1,,non,739563
apier,3,,non,739563
apios,7,,non,739563
apparaux,1,,non,739563
apparaux et bâtiments de mer,38,,non,739563
apprêtée à toiler les livres,2,,non,739563
apprêtée pour parchemins,2,,non,739563
apprêts,2,,non,739563
arachis olives fraîches,1,,non,739563
arains,6,,non,739563
arak,17,,non,739563
arbalètes,7,,non,739563
arbalètrie et cartes marines,1,,non,739563
arbalètrrie et cartes marines,1,,oui,739563
arbres,51,,non,739563
arbres à fruits,2,,non,739563
arbres à planter,142,,non,739563
arbres châtaignier,4,,non,739563
arbres d' ???,1,,non,739563
arbres d'auban,1,,non,739563
arbres de sapin,1,,non,739563
arbres et arbrisseaux,25,,non,739563
arbres et arbrisseaux à fruits,134,,non,739563
arbres et arbrisseaux sauvages,138,,non,739563
arbres et arbustes,6,,non,739563
arbres et plants,1,,non,739563
arbres fruitiers,90,,non,739563
arbres marronniers à planter,1,,non,739563
arbres nains,1,,non,739563
arbres tilleul,3,,non,739563
arbrisseaux,9,,non,739563
arbustes,3,,non,739563
arcanette,1,,non,739563
arcanie,1,,non,739563
arcanson,4,,non,739563
arcanum duplicatum,2,,non,739563
archets de violons,19,,non,739563
archets et violon,1,,non,739563
archiabanis,2,,oui,739563
arçons de bas de bois,1,,non,739563
arçons de bois,1,,non,739563
arçons de selles,22,,non,739563
arçons démontés,1,,non,739563
ardoise,370,,non,739563
ardoise à piler,1,,non,739563
ardoise commune,215,,non,739563
ardoise dite chérubin et à mortier,63,,non,739563
ardoise dite grande voisine,2,,non,739563
ardoise dite moyenne voisine,3,,non,739563
ardoise dite petite voisine,2,,non,739563
ardoise dite voisine grande moyenne et petite,7,,non,739563
ardoise en carreaux,2,,non,739563
ardoise en carreaux et d'1 pied carré,1,,non,739563
ardoise en carreaux ou en table,7,,non,739563
ardoise en livret,7,,non,739563
ardoise encadrée,2,,non,739563
ardoise encadrée et en livret,71,,non,739563
ardoise non travaillée,8,,non,739563
ardoise pour fenêtre,6,,non,739563
ardoise pour toiture,8,,non,739563
ardoise pour toiture au kilogramme,1,,non,739563
ardoise pour toiture au nombre,2,,non,739563
ardoise verte,1,,non,739563
ardoises,4,,non,739563
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,,non,739563
arelles de baleine,1,,non,739563
argent,11,,non,739563
argent battu,1,,non,739563
argent battu et en feuille,2,,non,739563
argent battu filé laminé et tiré,3,,non,739563
argent brisé et en lingots et en masses,1,,non,739563
argent brûlé,6,,non,739563
argent brut,1,,non,739563
argent brut en lingot et en masse ouvrages détruits,2,,non,739563
argent carragoux,2,,non,739563
argent en barils,2,,non,739563
argent en barres,17,,non,739563
argent en lingots,26,,non,739563
argent en lingots par Calais,1,,non,739563
argent et or,237,,non,739563
argent et or billon,8,,non,739563
argent faux,9,,non,739563
argent faux en fil cantilles etc.,3,,non,739563
argent faux et or faux,53,,non,739563
argent faux et or faux traits,1,,non,739563
argent fin,1,,non,739563
argent monnayé et nogat d'or,4,,non,739563
argent talari,0,,oui,739563
argent vif,3,,non,739563
argenterie,732,,non,739563
argenterie épée,7,,non,739563
argenterie et bijouterie,16,,non,739563
argenterie et bijouterie et orfèvrerie,1,,non,739563
argenterie et orfévrerie,0,,oui,739563
argenterie et orfèvrerie,122,,non,739563
argenterie et orfèvrerie vermeil,37,,non,739563
argenterie neuve,4,,non,739563
argenterie vieille,12,,non,739563
argile et terre pour engrais,15,,non,739563
arins,1,,non,739563
aristoloche,68,,non,739563
armement de tables,3,,non,739563
armes,338,,non,739563
armes à feu,350,,non,739563
armes à feu de guerre,2,,non,739563
armes à feu de guerre et de traite,1,,non,739563
armes à feu de guerre portatives,2,,non,739563
armes à feu de luxe,4,,non,739563
armes à feu de luxe ou de traite,3,,non,739563
armes à feu de munitions,2,,non,739563
armes à feu de munitions fines,4,,non,739563
armes à feu de traite,1,,non,739563
armes à feu et artillerie,1,,non,739563
armes à feu et de traite,1,,non,739563
armes à feu et fusils,1,,non,739563
armes armureries,1,,non,739563
armes autres que de guerre à feu,1,,non,739563
armes autres que de guerre blanches,1,,non,739563
armes blanches,201,,non,739563
armes blanches de guerre,1,,non,739563
armes blanches de guerre et de traite,1,,non,739563
armes blanches de luxe,2,,non,739563
armes blanches de luxe ou de traite,3,,non,739563
armes blanches de traite,1,,non,739563
armes de chasse ou de luxe à feu,2,,non,739563
armes de chasse ou de luxe blanches,2,,non,739563
armes de guerre,2,,non,739563
armes différentes,1,,non,739563
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,,non,739563
armes et munitions,9,,non,739563
armes lames,1,,non,739563
armes remontrances,3,,non,739563
armoires,57,,non,739563
armoires ayant servi,1,,non,739563
armoires d'acajou,12,,non,739563
armoires de bois,2,,non,739563
armoires de bois de noyer,1,,non,739563
armoires de bois de sapin peintes,0,,non,739563
armoires de bois des Indes,1,,non,739563
armoires de chêne,9,,non,739563
armoires de chêne ornée,1,,non,739563
armoires de noyer,9,,non,739563
armoires de sapin,4,,non,739563
armoires et commodes,1,,non,739563
armoires vieilles,2,,non,739563
armoisin,46,,non,739563
armure de fer,1,,non,739563
armure vieille,1,,non,739563
arnas,1,,non,739563
arpois,1,,oui,739563
arquebuse,1,,non,739563
arrangas,1,,non,739563
arrosoirs,6,,non,739563
arrosoirs de bois,2,,non,739563
arrosoirs de cuivre,1,,non,739563
arrosoirs de fer,1,,non,739563
arrosoirs de fer-blanc,6,,non,739563
arrosoirs de sapin,1,,non,739563
arrosoirs de terre,1,,non,739563
arrowroot,1,,non,739563
arséniate de potasse,2,,non,739563
arsenic,473,,non,739563
arsenic métallique,6,,non,739563
artichauts,82,,non,739563
artichauts champignons et truffes,2,,non,739563
artichauts confits,67,,non,739563
artichauts frais,17,,non,739563
artichauts marinés,2,,non,739563
artichauts secs,6,,non,739563
artifice,5,,non,739563
artifice fusées etc.,43,,non,739563
artillerie,6,,non,739563
asa fœtida,122,,non,739563
ascrile,1,,non,739563
asperges,9,,non,739563
asperges confites,1,,non,739563
asperges et scorsonères,69,,non,739563
asphaltum,19,,non,739563
aspic en grabeau,1,,non,739563
assiette,1,,non,739563
assiette de Biarritz,1,,non,739563
assiette de bois,1,,non,739563
assiette de faïence,9,,non,739563
assiette de porcelaine,3,,non,739563
assiette de porcelaine des Indes,1,,non,739563
assiette de terre,6,,non,739563
assiette et plats de terre,1,,non,739563
asustum,1,,non,739563
atastes,1,,non,739563
