goods_simpl_classification,nbr_occurences_simpl,porcelaine_classification,nbr_occurences_porcelaine,obsolete
arçons de selles,14,Sans lien avec la porcelaine,543223,non
arçons démontés,1,Sans lien avec la porcelaine,543223,non
ardoise,365,Sans lien avec la porcelaine,543223,non
ardoise à piler,1,Sans lien avec la porcelaine,543223,non
ardoise commune,2,Sans lien avec la porcelaine,543223,non
ardoise dite chérubin et à mortier,1,Sans lien avec la porcelaine,543223,non
ardoise dite grande voisine,1,Sans lien avec la porcelaine,543223,non
ardoise dite moyenne voisine,1,Sans lien avec la porcelaine,543223,non
ardoise dite petite voisine,1,Sans lien avec la porcelaine,543223,non
ardoise dite voisine grande moyenne et petite,2,Sans lien avec la porcelaine,543223,non
ardoise en carreaux,1,Sans lien avec la porcelaine,543223,non
ardoise en carreaux et d'1 pied carré,1,Sans lien avec la porcelaine,543223,non
ardoise en carreaux ou en table,7,Sans lien avec la porcelaine,543223,non
ardoise en livret,1,Sans lien avec la porcelaine,543223,non
ardoise encadrée,1,Sans lien avec la porcelaine,543223,non
ardoise encadrée et en livret,1,Sans lien avec la porcelaine,543223,non
ardoise non travaillée,1,Sans lien avec la porcelaine,543223,non
ardoise pour fenêtre,6,Sans lien avec la porcelaine,543223,non
ardoise pour toiture,8,Sans lien avec la porcelaine,543223,non
ardoise pour toiture au kilogramme,1,Sans lien avec la porcelaine,543223,non
ardoise pour toiture au nombre,2,Sans lien avec la porcelaine,543223,non
ardoise verte,1,Sans lien avec la porcelaine,543223,non
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,Sans lien avec la porcelaine,543223,non
arelles de baleine,1,,6813,non
argent,11,Sans lien avec la porcelaine,543223,non
argent battu,1,Sans lien avec la porcelaine,543223,non
argent battu et en feuille,2,Sans lien avec la porcelaine,543223,non
argent battu filé laminé et tiré,3,Sans lien avec la porcelaine,543223,non
argent brisé et en lingots et en masses,1,Sans lien avec la porcelaine,543223,non
argent brûlé,2,Sans lien avec la porcelaine,543223,non
argent brut,1,Sans lien avec la porcelaine,543223,non
