marchandises,marchandises_norm_ortho,état_du_travail,nbr_occurences_marchandises
necanias petit,nicaneas petits,,1
necanias petite,nicaneas petits,,1
Necanias petits,nicaneas petits,,1
Nécessaire de cuivre,nécessaires de cuivre,,1
Nécessaires,nécessaires,,1
Necessaires garnis en argent,nécessaires garnis en argent,,1
Neffre,nèfles,,1
nefles,nèfles,,1
Nefles,nèfles,,1
négampeaux,neganepeau,x,1
Neganapau,neganepeau,,1
Neganepau,neganepeau,x,1
Néganépau,neganepeau,x,1
neganepaux,neganepeau,x,1
Neganepaux,neganepeau,x,1
néganepaux,neganepeau,x,1
neganepeau,neganepeau,x,1
neganePeau,neganepeau,x,1
Neganepeau,neganepeau,x,1
neganepeaux,neganepeau,x,1
Neganepeaux,neganepeau,x,1
néganepeaux,neganepeau,x,1
Néganepeaux,neganepeau,x,1
Neganiar,neganepeau,,1
neganipau,neganepeau,x,1
Neganipau,neganepeau,x,1
Néganipau,neganepeau,x,1
neganipau = neganePeau,neganepeau,x,1
neganipau grand,neganepeau grand,,1
Neganipaus,neganepeau,x,1
neganipaux,neganepeau,x,1
Neganipaux,neganepeau,x,1
Néganipaux,neganepeau,x,1
Neganipeau,neganepeau,x,1
Néganipeau,neganepeau,x,1
Neganipeaux,neganepeau,x,1
Néganipeaux,neganepeau,x,1
Neganipou,neganepeau,x,1
Neganitapau,neganepeau,,1
Negatupeaux,neganepeau,x,1
Negnepeaux,neganepeau,x,1
Nègres,nègre,,1
Nekanias,nicaneas,,1
Nelei,nelis,x,1
nelis,nelis,x,1
Nelis,nelis,x,1
Nelïs,nelis,,1
Nelis ; étoffe,nelis étoffe,x,1
Nepres,nepres,x,1
Neptune,neptune,,1
Neptune de cuivre,neptune de cuivre,,1
Neptunes de cuivre,neptune de cuivre,,1
Nerfs de beuf,nerfs de bœuf,,1
Nerfs de bœuf,nerfs de bœuf,,1
nerfs de bœufs,nerfs de bœuf,,1
Nerprun,nerprun,,1
Nerprun (Baies de),nerprun (baies de),,1
Nerprun (baies de) ou graine d'Avignon,nerprun (baies de) ou graine d'Avignon,,1
Nervures,nervures,,1
nespres,nepres,x,1
neyainpaux,neganepeau,,1
Nicamias,nicaneas,,1
nicancas,nicaneas,,1
nicaneas,nicaneas,,1
Nicaneas,nicaneas,,1
nicanéas,nicaneas,,1
Nicanéas,nicaneas,,1
Nicaneas ; fin,nicaneas fins,,1
Nicaneas ; grands,nicaneas grands,,1
Nicanéas ; grands,nicaneas grands,,1
Nicaneas ; longs,nicaneas longs,,1
Nicaneas ; petits,nicaneas petits,,1
Nicanéas ; petits,nicaneas petits,,1
Nicaneas étroite,nicaneas étroite,,1
nicaneas grand,nicaneas grands,,1
Nicanéas grand,nicaneas grands,,1
nicaneas grands,nicaneas grands,,1
Nicaneas large,nicaneas larges,,1
Nicaneas larges,nicaneas larges,,1
nicaneas petit,nicaneas petits,,1
Nicanéas petit,nicaneas petits,,1
nicaneas petits,nicaneas petits,,1
nicanéca,nicaneas,,1
Nicanée,nicaneas,,1
nicanees,nicaneas,,1
nicanées,nicaneas,,1
Nicanées,nicaneas,,1
Nicanées petits,nicaneas petits,,1
Nicanes,nicaneas,,1
Nicanés,nicaneas,,1
Nicanes ; grandes,nicaneas grands,,1
Nicanés ; grands,nicaneas grands,,1
Nicanes ; petites,nicaneas petits,,1
Nicanés ; petits,nicaneas petits,,1
Nicanés = Nicanéas,nicaneas,,1
Nicanes grandes,nicaneas grands,,1
nicanez,nicaneas,,1
nicanias,nicaneas,,1
Nicanias,nicaneas,,1
Nid d'oyseaux,nid d'oiseaux,,1
Niicane,nicaneas,,1
Nina,nina,x,1
nipes,nippes,,1
Nipes,nippes,,1
Nipes ; de femme,nippes de femme,,1
Nipes de femme,nippes de femme,,1
Nipes de femmes,nippes de femme,,1
Nippes,nippes,,1
nippes de toute espèce,nippes de toute espèce,,1
nippes et atours,nippes et atours,,1
Nitrate de potasse (salpêtre brut),nitrate de potasse (salpêtre brut),,1
"Nitrate de potasse, brut",nitrate de potasse brut,,1
Noes et langues ; de morue,nots et langues de morue,x,1
Noës et langues de morue,nots et langues de morue,x,1
Nœud de cane,nœuds de cannes,,1
Nœuds ; d'épées,nœuds d'épée,,1
Nœuds ; d'épées ; avec or,nœuds d'épée avec or,,1
nœuds d'épées et cordons de montres,nœuds d'épée et cordons de montres,,1
Nogal,nogal,x,1
Nogas,nougat,x,1
Nogat,nougat,x,1
Nogat en plastre forte,nogat en piastre forte,x,1
Nogat or et argent monnoyé,nogat or et argent monnayé,x,1
Nogats,nougat,,1
Noir,noir,,1
Noir ; a imprimer,noir à imprimer,,1
Noir ; à imprimer,noir à imprimer,,1
Noir ; à noircir,noir à noircir,,1
Noir ; à souliers,noir à souliers,,1
"Noir ; à souliers, de fumée",noir à souliers de fumée,,1
Noir ; animal ; d'ivoire,noir d'animal d'ivoire,,1
"Noir ; animal ; d'os, de corne, etc",noir d'animal d'os de corne etc,,1
Noir ; animal (d'ivoire et d'os),noir d'animal d'ivoire et d'os,,1
Noir ; d'Espagne,noir d'Espagne,,1
"Noir ; d'impim. En taille douce, dit d'Allemagne",noir d'impim en taille douce dit d'Allemagne,x,1
Noir ; d'imprimerie,noir d'imprimerie,,1
Noir ; d'ivoire,noir d'ivoire,,1
Noir ; d'yvoire,noir d'ivoire,,1
Noir ; d'Yvoire,noir d'ivoire,,1
Noir ; de Chipres,noir de Chypre,,1
Noir ; de fumée,noir de fumée,,1
Noir ; de noircir,noir de noircir,,1
Noir ; minéral naturel,noir minéral naturel,,1
Noir ; minéral naturel de toute sorte,noir minéral naturel de toute sorte,,1
Noir A Fumée,noir à fumée,,1
Noir à fumée,noir à fumée,,1
Noir à imprimée,noir à imprimer,,1
Noir à noicir,noir à noircir,,1
Noir à Noir Cir,noir à noircir,,1
noir à noircir,noir à noircir,,1
Noir à noircir,noir à noircir,,1
Noir a noirer,noir à noircir,,1
noir broyé,noir broyé,,1
noir commun,noir commun,,1
Noir d'ivoire,noir d'ivoire,,1
Noir d'Ivoire,noir d'ivoire,,1
Noir d'os,noir d'os,,1
Noir d'yvoire,noir d'ivoire,,1
Noir d'Yvoire,noir d'ivoire,,1
Noir de fume,noir de fumée,,1
Noir de fumé,noir de fumée,,1
Noir de Fumé,noir de fumée,,1
noir de fumée,noir de fumée,,1
Noir de fumée,noir de fumée,,1
Noir de Fumée,noir de fumée,,1
Noir De Fumée,noir de fumée,,1
noir de fumer,noir de fumée,,1
Noir de fumer,noir de fumée,,1
Noir de fumés,noir de fumée,,1
noir de sapin,noir de sapin,,1
Noir en Fumée,noir en fumée,,1
Noir fume,noir fumée,,1
noir fumée,noir fumée,,1
Noir fumée,noir fumée,,1
Noir Fumée,noir fumée,,1
Noir;fumé,noir fumée,,1
Noird'yvoire,noir d'ivoire,,1
Noirs communs de fumée et autres,noir commun de fumée et autres,,1
"Noirs communs, de fumée et autres",noir commun de fumée et autres,,1
noirs de fumée,noir de fumée,,1
Nois,noix,,1
nois d'acajou,noix d'acajou,,1
Nois d'acajou,noix d'acajou,,1
nois de fumée,noir de fumée,,1
noisetes,noisettes,,1
noisette,noisettes,,1
Noisette,noisettes,,1
noisettes,noisettes,,1
Noisettes,noisettes,,1
noisettes ou avelinnes,noisettes ou avelines,,1
Noisietes,noisettes,,1
noix,noix,,1
Noix,noix,,1
Noix ; de galle,noix de galle,,1
Noix ; de Galle,noix de galle,,1
Noix ; de galles,noix de galle,,1
Noix ; de pipes,noix de pipes,,1
Noix ; sèches,noix sèches,,1
Noix ; vomique,noix vomiques,,1
Noix ; vomiques,noix vomiques,,1
noix d'acajou,noix d'acajou,,1
Noix d'acajou,noix d'acajou,,1
Noix d'Acajou,noix d'acajou,,1
Noix d'accajou,noix d'acajou,,1
Noix d'ivoire,noir d'ivoire,,1
Noix d'omiques,noix vomiques,,1
Noix de Capajou,noir de capajou,x,1
Noix de coco,noix de coco,,1
noix de cocos,noix de coco,,1
Noix de fumée,noir de fumée,,1
Noix de Fumée,noir de fumée,,1
Noix de fumés,noir de fumée,,1
Noix de gaille ; légères,noix de galle légère,,1
Noix de gaille ; pesantes,noix de galle pesante,,1
Noix de gale,noix de galle,,1
Noix de gale et gales légères,noix de galle et galle légère,,1
Noix de gales,noix de galle,,1
noix de galle,noix de galle,,1
Noix de galle,noix de galle,,1
Noix de Galle,noix de galle,,1
Noix de galle ; légères,noix de galle légère,,1
Noix de galle ; pesantes,noix de galle pesante,,1
Noix de galle ; pesantes ; des entrepôts,noix de galle pesante des entrepôts,,1
Noix de galle (légères),noix de galle légère,,1
Noix de galle (pesantes),noix de galle pesante,,1
Noix de galle et galles légères,noix de galle et galle légère,,1
noix de galles,noix de galle,,1
Noix de galles,noix de galle,,1
Noix de Galles,noix de galle,,1
Noix de marons,noix de marrons,,1
Noix de muscade,noix de muscade,,1
noix de pipes,noix de pipes,,1
Noix de pipes,noix de pipes,,1
Noix de Ravensara,noix de ravensara,,1
noix empoissonné,noix empoisonnées,x,1
Noix en coquilles,noix en coquilles,,1
noix épillées,noix épillées,x,1
Noix et noisettes,noix et noisettes,,1
Noix et riz,noix et riz,,1
Noix mondées,noix mondées,,1
Noix muscade,noix muscade,,1
Noix muscades,noix muscade,,1
Noix pour peinture,noix pour peintures,,1
Noix seiches,noix sèches,,1
noix venimeux,noix venimeuses,,1
noix vomique,noix vomiques,,1
Noix vomique,noix vomiques,,1
Noix vomique ou vornique,noix vomiques,,1
noix vomiques,noix vomiques,,1
Noix vomiques,noix vomiques,,1
Noix vonaques,noix vomiques,,1
Noix vonique,noix vomiques,,1
"Noix, amandes, noisettes, arachis, olives, noyaux",noix amandes noisettes arachis olives noyaux,,1
"noix, noisettes et avelines",noix noisettes et avelines,,1
"Noix, noisettes, avelines et faînes",noix noisettes avelines et faînes,,1
Noix. - Noisettes et avelines,noix noisettes et avelines,,1
Noixettes,noisettes,,1
Noizette,noisettes,,1
noizettes,noisettes,,1
Noizettes,noisettes,,1
Nom flou,???,,1
Non indiqué,???,,1
Noronges,noronges,x,1
Not a product,???,,1
Notes et langues de morue,nots et langues de morue,x,1
Nots de morues,nots de morue,x,1
Nots et langues ; de morue,nots et langues de morue,x,1
Nots et langues ; de morue ; des Isles,nots et langues de morue des Îles,x,1
Nots et langues de morue,nots et langues de morue,,1
Nots et langues de morüe,nots et langues de morue,,1
nottes et langues,nots et langues,,1
Nougat,nougat,,1
Nousouque,nousouque,x,1
Noves de morue,noves de morue,,1
Noyaux,noyaux,,1
Noyaux ; de paisches,noyaux de pêches,,1
Noyaux d'olives,noyaux d'olives,,1
Noyaux de noix,noyaux de noix,,1
Noyaux de peches,noyaux de pêches,,1
Noyaux de pesche,noyaux de pêches,,1
Noyaux ou noix,noyaux ou noix,,1
noyer et cerisier,noyer et cerisier,,1
noys d'yvoire,noix d'ivoire,,1
Numéraire en assignats,numéraire en assignats,,1
Numéraire en assignats ; par la Cure,numéraire en assignats par la Cure,,1
O??,,,1
Objets ; divers,objets divers,,1
Objets ; divers ; dont la valeur du plus fort n'excède pas 25000 livres,objets divers dont la valeur du plus fort n'excède pas 25000 livres,,1
Objets ; divers ; dont la valeur du plus fort n'excède pas 25000 Livres,objets divers dont la valeur du plus fort n'excède pas 25000 livres,,1
Objets à la valeur,objets à la valeur,,1
Objets d'arts,objets d'arts,,1
Objets d'arts et d'histoire naturelle,objets d'arts et d'histoire naturelle,,1
"Objets d'arts, histoire naturelle, peinture et grav.",objets d'arts histoire naturelle peintures et gravures,,1
"Objets d'arts, histoire naturelle, peinture et gravue",objets d'arts histoire naturelle peintures et gravures,,1
"Objets d'arts, histoire naturelle, peinture et gravure",objets d'arts histoire naturelle peintures et gravures,,1
"Objets d'arts, histoire naturelle, tableaux et grav.s",objets d'arts histoire naturelle tableaux et gravures,,1
Objets d'histoire naturelle,objets d'histoire naturelle,,1
Objets d'industrie,objets d'industrie,,1
Objets d'industrie ; divers,objets d'industrie divers,,1
objets d'industrie : marchandises non dénommées,objets d'industrie marchandises non dénommées,,1
Objets de collection,objets de collection,,1
"Objets de collection ; peinture, sculpture, gravure et histoire naturelle",objets de collection peintures sculpture gravures et histoire naturelle,,1
"Objets de collection en peinture, sculpture, gravure et histoire naturelle",objets de collection en peintures sculpture gravures et histoire naturelle,,1
Objets de collection hors de commerce,objets de collection hors de commerce,,1
"Objets de collection, hors de commerce",objets de collection hors de commerce,,1
"Objets de collection, peinture, sculpture, gravure et histoire naturelle",objets de collection peintures sculpture gravures et histoire naturelle,,1
Objets de collections,objets de collection,,1
Objets de moindre valeur,objets de moindre valeur,,1
Objets de peu d'importance,objets de moindre valeur,,1
Objets de peu de valeur,objets de peu d'importance,,1
Objets divers,objets de peu de valeur,,1
Objets divers a la Valeur,objets divers à la valeur,,1
Objets divers de moindre valeur,objets divers de moindre valeur,,1
Objets divers de moindre Valeur,objets divers de moindre valeur,,1
Objets divers dont le plus fort article n'excède pas 10000 liv.,objets divers dont les plus forts articles n'excèdent pas 10000 livres,,1
Objets divers dont le plus fort article n'excede pas 10000 livres,objets divers dont les plus forts articles n'excèdent pas 10000 livres,,1
Objets divers en peaux et pelleterie,objets divers en peaux et pelleterie,,1
Objets divers en petits articles,objets divers en petits articles,,1
Objets manufacturés réunis,objets manufacturés réunis,,1
Obliques,obliques,,1
Obusiers ; de fonte,obusiers de fonte,,1
Obusiers de fonte,obusiers de fonte,,1
ocre,ocre,,1
Ocre,ocre,,1
Ocre ; jaune,ocre jaune,,1
Ocre ; rouge,ocre rouge,,1
ocre broyé,ocre broyé,,1
ocre brun,ocre brun,,1
"Ocre brun, jaune ou rouge",ocre brun jaune ou rouge,,1
ocre de toute espèce,ocre de toute espèce,,1
Ocre en pierre,ocre en pierre,,1
Ocre en poudre,ocre en poudre,,1
ocre jaune,ocre jaune,,1
ocre Jaune,ocre jaune,,1
Ocre jaune,ocre jaune,,1
Ocre Jaune,ocre jaune,,1
Ocre jeanne,ocre jaune,x,1
ocre noir,ocre noir,,1
Ocre ou craye blanche,ocre ou craie blanche,,1
ocre rouge,ocre rouge,,1
ocre Rouge,ocre rouge,,1
Ocre rouge,ocre rouge,,1
Ocre Rouge,ocre rouge,,1
Ocres,ocre,,1
Ocres et brun rouge,ocre et brun rouge,,1
Octante,octant,,1
oculi cancri,oculi cancri,,1
Oculi Cancri,oculi cancri,x,1
oculi cancri ?,oculi cancri,,1
Odautes,odautes,x,1
Odeure,odeure,x,1
Œil de beuf,œil de bœuf,,1
Oeillards,œillards,,1
Œillet,œillets,,1
Œillets,œillets,,1
œuf,œufs,,1
Œuf,œufs,,1
oeufs,œufs,,1
Oeufs,œufs,,1
œufs,œufs,,1
Œufs,œufs,,1
Œufs ; de perdrix ; rouge,œufs de perdrix rouge,,1
Œufs ; de phaisants,œufs de faisans,,1
Œufs ; de poulles,œufs de poules,,1
Oeufs (15 ou 16 au kg),œufs (15 ou 16 au kilogramme),,1
Oeufs (15 ou 16 au kilogramme),œufs (15 ou 16 au kilogramme),,1
Œufs dautruche,œufs d'autruche,,1
Œufs de composition,œufs de composition,,1
œufs de poisson,œufs de poisson,,1
Œufs de poules,œufs de poules,,1
Oeufs de volaille et de gibier,œufs de volailles et de gibier,,1
Oeufs de volailles,œufs de volailles,,1
Œufs et volailles,œufs et volailles,,1
oeuil de bœuf,œuil de bœuf,,1
oeuil de bœuf garnis de cuivre,œuil de bœuf garni de cuivre,,1
Oeüillards ; de brie,œillards de Brie,,1
Ofevrerie ; argent,orfèvrerie argent,,1
Ofevrerie ; chandeliers ; d'église,orfèvrerie chandeliers d'église,,1
Ofévrerie ; d'or ou de vermeil,orfèvrerie d'or ou de vermeil,,1
Ognons,oignons,,1
Ognons de fleurs,ognons de fleurs,,1
oies,oies,,1
oignon,oignons,,1
Oignon,oignons,,1
Oignon ; de fleur,oignons de fleurs,,1
Oignon ; de fleurs,oignons de fleurs,,1
Oignon de fleur,oignons de fleurs,,1
Oignon de Fleur,oignons de fleurs,,1
Oignon de fleurs,oignons de fleurs,,1
Oignon de Narcisses,oignons de narcisse,,1
Oignon de tubereuse,oignons de tubéreuse,,1
Oignon ordinaire,oignons ordinaires,,1
oignons,oignons,,1
Oignons,oignons,,1
Oignons ; communs,oignons communs,,1
Oignons ; d'esquilles,oignons d'esquilles,,1
Oignons ; de fleur,oignons de fleurs,,1
Oignons ; de fleurs,oignons de fleurs,,1
Oignons ; de squille,oignons de squille,x,1
Oignons ; oignons,oignons oignons,,1
Oignons ;de fleur,oignons de fleurs,,1
Oignons a fleur,oignons à fleurs,,1
Oignons a fleurs,oignons à fleurs,,1
oignons commnuns,oignons communs,,1
Oignons d'Aubereufes,oignons de tubéreuse,x,1
Oignons d'esquille,oignons d'esquilles,,1
oignons d'esquilles,oignons d'esquilles,,1
Oignons d'esquilles,oignons d'esquilles,,1
Oignons d'Esquilles,oignons d'esquilles,,1
Oignons d'esquine,oignons d'esquilles,,1
Oignons d'hyacinthe,oignons d'hyacinthe,,1
oignons d'hyacrite,oignons d'hyacinthe,,1
Oignons de ?,oignons de ???,,1
oignons de barbarie,oignons de Barbarie,,1
Oignons de Barbarie,oignons de Barbarie,,1
Oignons de felurs,oignons de fleurs,,1
oignons de fleur,oignons de fleurs,,1
Oignons de fleur,oignons de fleurs,,1
Oignons de Fleur,oignons de fleurs,,1
oignons de fleurs,oignons de fleurs,,1
oignons de Fleurs,oignons de fleurs,,1
Oignons de fleurs,oignons de fleurs,,1
Oignons de fleurs jonquilles,oignons de fleurs jonquilles,,1
Oignons de jonquille,oignons de jonquille,,1
Oignons de narcisse,oignons de narcisses,,1
Oignons de narcisses,oignons de narcisses,,1
Oignons de squine,oignons en squille,,1
Oignons de Squine,oignons de squille,,1
Oignons de tubercules,oignons de tubéreuse,,1
Oignons de tubereuse,oignons de tubéreuse,,1
Oignons de tubereuses,oignons de tubéreuse,,1
Oignons de tuberuse,oignons de tubéreuse,,1
Oignons en fleurs,oignons en fleur,,1
Oing,oint,x,1
Oing vieux,oint vieux,x,1
Oiseaux,oiseaux,,1
Oiseaux ; petits,oiseaux petits,,1
Oiseaux de proye,oiseaux de proie,x,1
Oizeaux a l'eau de vie,oiseaux à l'eau de vie,,1
oleane ou roucou,oleane ou rocou,x,1
Oliban,oliban,x,1
Oliban ou encens,oliban ou encens,,1
Olibans,oliban,,1
olive,olive,,1
Olive,olive,,1
"Olive, Capres, Anchois &c.",olive câpre anchois etc,,1
olives,olive,,1
Olives,olive,,1
Olives d'Espagne,olive d'Espagne,,1
Olives et câpres,olive et câpres,,1
Olives fraîches et arachis,olive fraîche et arachis,,1
Olives marinées,olive marinée,,1
Olivettes,olivettes,,1
Olivier,olivier,,1
Olivres,olive,,1
Ollive,olive,,1
ollives,olive,,1
Ollives,olive,,1
Onerie de dieppe,onerie de Dieppe,x,1
Onetes de coton,onetes de coton,x,1
Ongles ; de beuf,ongles de bœuf,,1
Ongles ; de bœuf,ongles de bœuf,,1
Ongles ; de carres,ongles de caret,x,1
Ongles d'ecaille de tortue,ongles d'écaille de tortue,,1
Ongles d'Ecaille de tortue,ongles d'écaille de tortue,,1
ongles d'ecaille de tortuë,ongles d'écaille de tortue,,1
ongles d'ecailles de tortuë,ongles d'écaille de tortue,,1
ongles de caret,ongles de caret,,1
Ongles de caret,ongles de caret,,1
ongles de carret,ongles de caret,,1
Ongles de carret,ongles de caret,,1
Onglon de beuf,onglons de bœuf,,1
Onglons ; de beuf,onglons de bœuf,,1
Onglons ; de bœuf,onglons de bœuf,,1
Onglons ; de bœufs,onglons de bœuf,,1
onglons de beuf,onglons de bœuf,,1
Onglons de beuf,onglons de bœuf,,1
onglons de bœuf,onglons de bœuf,,1
Onglons de bœuf,onglons de bœuf,,1
Onglons de bœufs,onglons de bœuf,,1
Onguan,onguent,,1
Onguent,onguent,,1
Onguent ; de laurier,onguent de laurier,,1
Onguent de laurier,onguent de laurier,,1
Onguents,onguent,,1
Onions,oignons,,1
Opiam,opium,,1
Opiat,opiats,,1
Opiats,opiats,,1
Opiom,opium,,1
opium,opium,,1
Opium,opium,,1
opopanax,opoponax,x,1
opoponas,opoponax,x,1
Opoponas,opoponax,x,1
opoponax,opoponax,x,1
Opoponax,opoponax,x,1
Opponax,opoponax,x,1
Oppoponax,opoponax,x,1
opriment,orpiment,,1
Optiques,optiques,,1
Or ; battu,or battu,,1
Or ; battu en feuilles,or battu en feuilles,,1
"Or ; brut en masses, lingots, barres, poudre, bijoux cassés",or brut en masse lingots barres poudres bijoux cassés,,1
"Or ; brut, en masse, lingots et brisé",or brut en masse lingots et brisé,,1
Or ; en baissette,or en baissette,,1
Or ; en bijouterie,or en bijouterie,,1
Or ; en coquilles,or en coquilles,,1
Or ; en lingot,or en lingots,,1
Or ; en lingots,or en lingots,,1
Or ; en orfévrerie,or en orfèvrerie,,1
Or ; en poudre,or en poudre,,1
Or ; et arg. ; en feuilles,or et argent en feuilles,,1
Or ; et argent ; battû,or et argent battu,,1
Or ; et argent ; faux,or et argent faux,,1
Or ; et argent ; trail,or et argent trait,x,1
Or ; et argt ; faux,or et argent faux,,1
Or ; et argt. Faux,or et argent faux,,1
Or ; faux,or faux,,1
Or ; faux ; battu,or faux battu,,1
Or ; filé sue soie,or filé sur soie,,1
Or ; filé sur soie,or filé sur soie,,1
Or ; monnayé,or monnayé,,1
Or ; tiré ou laminé,or tiré ou laminé,,1
Or ; trait ; filé,or vrai filé,,1
Or a dorer,or à dorer,,1
or battu,or battu,,1
Or battu,or battu,,1
Or battu en feuilles,or battu en feuilles,,1
or batu,or battu,,1
Or batu,or battu,,1
or en feuilles,or en feuilles,,1
Or en feuilles,or en feuilles,,1
Or en lames,or en lames,,1
"Or en lames, par Marseill",or en lames par Marseille,,1
or en lingots,or en lingots,,1
Or en lingots,or en lingots,,1
Or en vaisselle,or en vaisselle,,1
Or et argent,or et argent,,1
Or et argent ; balles,or et argent balles,,1
Or et argent ; battu,or et argent battu,,1
Or et argent ; en lingot,or et argent en lingots,,1
Or et argent ; faulx,or et argent faux,,1
Or et argent ; faux,or et argent faux,,1
Or et argent ; fin,or et argent fin,,1
Or et argent battu,or et argent battu,,1
or et argent en barres et lingots,or et argent en barres et lingots,,1
Or et argent en feuilles,or et argent en feuilles,,1
or et argent en fil,or et argent en fil,,1
Or et argent en lingots,or et argent en lingots,,1
or et argent en piastres,or et argent en piastres,,1
Or et argent faux,or et argent faux,,1
Or et Argent faux,or et argent faux,,1
or et argent faux battu en livrets de 24 feuilles,or et argent faux battu en livret de 24 feuilles,,1
"or et argent faux en fil, cantilles, etc.",or et argent faux en fil cantilles etc.,,1
or et argent faux en fil. cantilles. etc.,or et argent faux en fil cantilles etc.,,1
Or et argent faux traits,or et argent faux traits,,1
or et argent fin battu en livrets de 24 feuilles,or et argent fin battu en livret de 24 feuilles,,1
or et argent fin en livrets,or et argent fin en livret,,1
"or et argent fin, en fil, cantilles, paillettes",or et argent fin en fil cantilles paillettes,,1
or et argent fin. en fil. cantilles. paillettes,or et argent fin en fil cantilles paillettes,,1
Or et argent monnayés,or et argent monnayés,,1
or et argent monnoyé,or et argent monnayés,,1
Or et argent monnoyé en piastre,or et argent monnayés en piastres,,1
Or et argents faux,or et argents faux,,1
Or et argt ; battu,or et argent battu,,1
Or et argt ; en lingots,or et argent en lingots,,1
Or et argt ; faux,or et argent faux,,1
Or et argt ; fin,or et argent fin,,1
Or faux,or faux,,1
Or filé,or filé,,1
Or fin ; En feuille,or fin en feuilles,,1
Or fin ; En Lingot,or fin en lingots,,1
Or fin ; En paillette et paillous,or fin en paillettes et paillous,x,1
Or fin ; Monnoyé en pièce d'Espagne,or fin monnayé en pièces d'Espagne,,1
Or fin battu,or fin battu,,1
Or fin en feuilles,or fin en feuilles,,1
or massif,or massif,,1
Or monnoyé,or monnayé,,1
Or monnoyé ; par Calais,or monnayé par Calais,,1
Or monnoyé en sequins,or monnayé en sequins,,1
"Or monnoyé en sequins, par Marseille",or monnayé en sequins par Marseille,,1
Or monnoyé et en lingots ; venant de Francfort par Strasbourg,or monnayé en lingots venant de Francfort par Strasbourg,,1
Or pur,or pur,,1
or travaillé,or travaillé,,1
orange,orange,,1
Orange,orange,,1
Orange aigre,orange aigre,,1
Orange Aigre,orange aigre,,1
orange aigres,orange aigre,,1
Orange aigres,orange aigre,,1
Orange de Malte,orange de Malte,,1
Orange douce,orange douce,,1
Orange Douce,orange douce,,1
orange douces,orange douce,,1
Orange Douces,orange douce,,1
orangelets,orangelets,,1
Orangelets,orangelets,,1
orangelets secs,orangelets secs,,1
Orangelets secs,orangelets secs,,1
orangers,orangers,,1
Orangers,orangers,,1
Orangers a planter,orangers à planter,,1
orangers petits,orangers petits,,1
Orangers petits,orangers petits,,1
oranges,orange,,1
Oranges,orange,,1
Oranges ; aigres,orange aigres,,1
Oranges ; chinoises,orange chinoise,,1
Oranges ; douces,orange douce,,1
Oranges ; en caisses,orange en caisse,,1
Oranges ; séchées ; à faire chapelet,orange séchée à faire chapelets,,1
Oranges Aigre,orange aigre,,1
oranges aigres,orange aigre,,1
Oranges aigres,orange aigre,,1
Oranges aires,orange aigre,,1
oranges chinois,orange chinoise,,1
oranges chinoises,orange chinoise,,1
Oranges chinoises,orange chinoise,,1
oranges confites,orange chinoise,,1
Oranges confites,orange confite,,1
Oranges de Portugal,orange du Portugal,,1
oranges douces,orange douce,,1
Oranges douces,orange douce,,1
Oranges Douces,orange douce,,1
Oranges et citron,orange et citrons,,1
oranges et citrons,orange et citrons,,1
oranges ordinaires,orange ordinaire,,1
Oranges petits,orange petite,,1
Oranges seches,orange sèche,,1
Oranges seiches,orange sèche,,1
Orcanette,orcanette,x,1
Orcanettes,orcanette,x,1
Orcillons ; à faire colle,orcillons à faire colle,x,1
Orcre,ocre,,1
Oregan,origan,x,1
orego,origan,x,1
Oreillers,oreillers,,1
oreilles et oreillons à faire colle,oreilles et oreillons à faire colle,,1
Oreillons,oreillons,,1
Oreillons --------,oreillons ???,,1
Oreillons ; à f. colle,oreillons à faire colle,,1
Oreillons ; à faire colle,oreillons à faire colle,,1
Oreillons ; à faire folle,oreillons à faire colle,,1
Oreillons à f. colle,oreillons à faire colle,,1
Oreillons à faire colle,oreillons à faire colle,,1
Oreillons à fre. Colle,oreillons à faire colle,,1
Oreillons a fre.colle,oreillons à faire colle,,1
Orfeverie,orfèvrerie,,1
Orfeverie ; en vaisselle ; d'argent,orfèvrerie en vaisselle d'argent,,1
orfeverie en argent,orfèvrerie en argent,,1
orfeverie en argenterie,orfèvrerie en argenterie,,1
Orfeverie en argenterie,orfèvrerie en argenterie,,1
Orfeverie en or,orfèvrerie en or,,1
Orfeverie en vaisselle d'argent,orfèvrerie en vaisselle d'argent,,1
Orfeverie et argenterie,orfèvrerie et argenterie,,1
Orfeveries ; En argent ; Diverses,orfèvrerie en argent diverse,,1
Orfeveries ; En argent ; Vesselle d'argent,orfèvrerie en argent vaisselle d'argent,,1
Orfeveries ; En argents ; Divers,orfèvrerie en argent diverse,,1
Orfeveries ; En argents ; Vesselles d'argents,orfèvrerie en argent vaisselle d'argent,,1
Orfeveries ; En or,orfèvrerie en or,,1
Orfeveries ; En or et argent,orfèvrerie en or et argent,,1
Orfevrerie,orfèvrerie,,1
Orfévrerie,orfèvrerie,,1
Orfèvrerie,orfèvrerie,,1
Orfevrerie ; boucles ; d'argent,orfèvrerie boucles d'argent,,1
Orfévrerie ; d'argent,orfèvrerie d'argent,,1
Orfèvrerie ; d'argent,orfèvrerie d'argent,,1
Orfévrerie ; d'or ou de vermeil,orfèvrerie d'or ou de vermeil,,1
Orfèvrerie ; d'or ou de vermeil,orfèvrerie d'or ou de vermeil,,1
Orfèvrerie ; de platine,orfèvrerie de platine,,1
Orfevrerie ; Diverse,orfèvrerie diverse,,1
