numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks,Droits totaux indiqués,Droits unitaires,unité pour les droits,quantité pour les droits,remarks pour les droits
2555,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Huille d'olive fine,Isles francoises de l'amérique,8260,11800,Livres,"0,7",,,,,,
2556,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Huille commune d'olive,Isles francoises de l'amérique,3900,7800,Livres,"0,5",,,,,,
2557,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Jambons,Isles francoises de l'amérique,7200,18000,Livres,"0,4",,,,,,
2558,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Jeux de voile,Isles francoises de l'amérique,28800,1,Valeur,28800,,,,,,
2559,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Lard,Isles francoises de l'amérique,3900,13000,Livres,"0,3",,,,,,
2560,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Legumes,Isles francoises de l'amérique,1164,194,Boisseaux,6,,,,,,
2561,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Liqueurs,Isles francoises de l'amérique,5100,1700,Pots,3,,,,,,
2562,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Mercerie,Isles francoises de l'amérique,8800,2200,Livres,4,,,,,,
2563,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Ozier,Isles francoises de l'amérique,180,60,Milliers,3,,,,,,
2564,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Papier blanc,Isles francoises de l'amérique,1284,214,Rames,6,,,,,,
2565,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Pipes a fumer,Isles francoises de l'amérique,315,105,Grosses,3,,,,,,
2566,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Plomb en grenaille,Isles francoises de l'amérique,1000,4000,Livres,"0,25",,,,,,
2567,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Plumes a ecrire,Isles francoises de l'amérique,90,3,Milliers,30,,,,,,
2568,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Plumes a ecrire,Isles francoises de l'amérique,150,30,Livres,5,,,,,,
2569,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Poudre a canon,Isles francoises de l'amérique,21600,21600,Livres,1,,,,,,
2570,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Provisions de bouche,Isles francoises de l'amérique,1950,6500,Livres,"0,3",,,,,,
2571,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Quincaille de fer,Isles francoises de l'amérique,2940,4900,Livres,"0,6",,,,,,
2572,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Savon,Isles francoises de l'amérique,8000,20000,Livres,"0,4",,,,,,
2573,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Sel,Isles francoises de l'amérique,144,24,Mines,6,,,,,,
2574,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Souliers,Isles francoises de l'amérique,61680,15420,Livres,4,,,,,,
2575,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Suif,Isles francoises de l'amérique,640,1600,Livres,"0,4",,,,,,
2576,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Toiles de toutes especes,Isles francoises de l'amérique,73500,1,Valeur,73500,doute nom du produit,,,,,
2577,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Toile linge de table et serviettes,Isles francoises de l'amérique,1020,85,Douzaines,12,,,,,,
2578,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Toile a voile,Isles francoises de l'amérique,11400,3800,Aunes,3,,,,,,
2579,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Verres a boire,Isles francoises de l'amérique,500,10,Barriques,50,,,,,,
2580,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Vin de haut,Isles francoises de l'amérique,37400,187,Tonneaux,200,,,,,,
2581,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Vin de ville,Isles francoises de l'amérique,279600,1165,Tonneaux,240,,,,,,
2582,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1760,Exports,Bordeaux,4,Vinaigre,Isles francoises de l'amérique,360,3,Tonneaux,120,,,,,,
2583,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Caffé,Danemark,"15182,7",17862,Livres,"0,85",,,,,,
2584,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Eau de vie,Danemark,93525,1247,Bariques,75,,,,,,
2585,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Eau de vie,Danemark,65408,584,Pièces,112,,,,,,
2586,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Indigo,Danemark,23303,3329,Livres,7,,,,,,
2587,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Pruneaux,Danemark,"37011,8",370118,Livres,"0,1",,,,,,
2588,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Vin ; de blaye,Danemark,5800,"64,5",Tonneaux,75,"962,5 erreur calcul",,,,,
2589,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Vin ; de bourg,Danemark,1890,21,Tonneaux,90,,,,,,
2590,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Vin ; de haut,Danemark,28575,"285,75",Tonneaux,100,,,,,,
2591,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Vin ; de ville,Danemark,521460,"4345,5",Tonneaux,120,,,,,,
2592,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Vinaigre,Danemark,20675,"206,75",Tonneaux,100,,,,,,
2593,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Bled,Espagne,11200,1400,Boisseaux,8,,,,,,
2594,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Eau de vie,Espagne,41700,556,Bariques,75,,,,,,
2595,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Eau de vie,Espagne,1456,1942,Pots,"0,75","-0,5 erreur calcul",,,,,
2596,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Farine,Espagne,21098,1507,Boisseaux,14,,,,,,
2597,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Legumes,Espagne,20760,3460,Boisseaux,6,,,,,,
2598,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Pruneaux,Espagne,55480,554800,Livres,"0,1",,,,,,
2599,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,1,Sucre blanc,Espagne,"7633,5",10178,Livres,"0,75",,,,,,
2600,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Taffia,Espagne,1050,21,Bariques,50,,,,,,
2601,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de blaye,Espagne,"47437,5","632,5",Tonneaux,75,,,,,,
2602,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de haut,Espagne,2550,"25,5",Tonneaux,100,,,,,,
2603,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de bourg,Espagne,3645,"40,5",Tonneaux,90,,,,,,
2604,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de ville,Espagne,237330,"1977,75",Tonneaux,120,,,,,,
2605,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vinaigre,Espagne,11925,"119,25",Tonneaux,100,,,,,,
2606,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Eau de vie,Flandre,35100,468,Bariques,75,,,,,,
2607,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Eau de vie,Flandre,20944,187,Pièces,112,,,,,,
2608,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Indigo,Flandre,97657,13951,Livres,7,,,,,,
2609,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de haut,Flandre,"11512,5","76,75",Tonneaux,150,,,,,,
2610,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de haut,Flandre,12600,36,Tonneaux,350,,,,,,
2611,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de ville,Flandre,99330,"827,75",Tonneaux,120,,,,,,
2612,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vinaigre,Flandre,3775,"37,75",Tonneaux,100,,,,,,
2613,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Caffé,Hollande,"13770,85",16201,Livres,"0,85",,,,,,
2614,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Chataignes,Hollande,36948,6158,Boisseaux,6,,,,,,
2615,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Eau de vie,Hollande,728475,9713,Bariques,75,,,,,,
2616,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Eau de vie,Hollande,40320,360,Pièces,112,,,,,,
2617,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Eau de vie,Hollande,"12562,5",16750,Pots,"0,75",,,,,,
2618,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Eau de vie,Hollande,"244,8",102,Veltes,"2,4",,,,,,
2619,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Graine de genievre,Hollande,975,39000,Livres,"0,025",,,,,,
2620,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Graine de lin,Hollande,14850,2700,Boisseaux,"5,5",,,,,,
2621,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Huille d'olive,Hollande,40,100,Livres,"0,4",,,,,,
2622,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Jambons,Hollande,90,200,Livres,"0,45",,,,,,
2623,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Indigo,Hollande,90650,12950,Livres,7,,,,,,
2624,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Legumes,Hollande,50556,8426,Boisseaux,6,,,,,,
2625,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Noix,Hollande,4300,430,Boisseaux,10,,,,,,
2626,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Papier commun,Hollande,800,20,Balles,40,,,,,,
2627,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Pruneaux,Hollande,990770,9907700,Livres,"0,1",,,,,,
2628,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Savon,Hollande,280,700,Livres,"0,4",,,,,,
2629,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de blaye,Hollande,,"269,25",Tonneaux,75,,,,,,
2630,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de blaye,Hollande,0,1,Tiercon,75,-75 résultat non lisible,,,,,
2631,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de bourg,Hollande,1200,12,Tonneaux,100,,,,,,
2632,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de haut,Hollande,1715475,"11436,5",Tonneaux,150,,,,,,
2633,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de ville,Hollande,2258600,16293,Tonneaux,200,-1000000 erreur calcul,,,,,
2634,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vinaigre,Hollande,38675,"386,75",Tonneaux,100,,,,,,
2635,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Cacao,Italie,25273,21061,Livres,"1,2","-0,2",,,,,
2636,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Caffé,Italie,"132905,25",156365,Livres,"0,85",-5,,,,,
2637,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Gingembre,Italie,8575,6125,Livres,"1,4",,,,,,
2638,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Indigo,Italie,1398436,228348,Livres,7,-200000 erreur calcul,,,,,
2639,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Sucre ; blanc,Italie,1253238,1670984,Livres,"0,75",,,,,,
2640,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Sucre ; brut,Italie,"10788,8",19616,Livres,"0,55",,,,,,
2641,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Caffé,Nord,"79169,85",93141,Livres,"0,85",,,,,,
2642,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Eau de vie,Nord,181664,1622,Pièces,112,,,,,,
2643,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Eau de vie,Nord,165000,2200,Bariques,75,,,,,,
2644,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Indigo,Nord,392371,56053,Livres,7,,,,,,
2645,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Pruneaux,Nord,28350,283500,Livres,"0,1",,,,,,
2646,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Rocou,Nord,1788,596,Livres,3,,,,,,
2647,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Sucre blanc,Nord,"22964,25",30619,Livres,"0,75",,,,,,
2648,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de blaye,Nord,25800,258,Tonneaux,100,,,,,,
2649,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de bourg,Nord,5000,50,Tonneaux,100,,,,,,
2650,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de haut,Nord,"81562,5","543,75",Tonneaux,150,,,,,,
2651,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vin ; de ville,Nord,1658940,"13824,5",Tonneaux,120,,,,,,
2652,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Vinaigre,Nord,34750,"173,75",Tonneaux,200,,,,,,
2653,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,2,Bled,Portugal,25200,3150,Boisseaux,8,,,,,,
2654,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Eau de vie,Russie,39525,527,Bariques,75,,,,,,
2655,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Indigo,Russie,76083,10869,Livres,7,,,,,,
2656,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Pruneaux,Russie,3500,35000,Livres,"0,1",,,,,,
2657,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Vin ; de haut,Russie,46537,"310,25",Tonneaux,150,"-0,5 erreur calcul",,,,,
2658,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Vin ; de ville,Russie,335450,"1677,25",Tonneaux,200,,,,,,
2659,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Vinaigre,Russie,5500,"27,5",Tonneaux,200,,,,,,
2660,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Caffé,Savoye,"13951,9",16414,Livres,"0,85",,,,,,
2661,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Sucre blanc,Savoye,"31430,25",41907,Livres,"0,75",,,,,,
2662,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Caffé,Suede,18619,21905,Livres,"0,85","-0,25 erreur calcul",,,,,
2663,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Eau de vie,Suede,47264,422,Pièces,112,,,,,,
2664,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Eau de vie,Suede,119025,1587,Bariques,75,,,,,,
2665,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Indigo,Suede,825069,117867,Livres,7,,,,,,
2666,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Pruneaux,Suede,29700,297000,Livres,"0,1",,,,,,
2667,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Vin ; de haut,Suede,13375,"133,75",Tonneaux,100,,,,,,
2668,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Vin ; de ville,Suede,"359062,5","2393,75",Tonneaux,150,,,,,,
2669,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Vinaigre,Suede,14700,147,Tonneaux,100,,,,,,
2670,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Indigo,Suisse,44968,6424,Livres,7,,,,,,
2671,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Acier,Isles francoises de l'amérique,2940,8400,Livres,"0,35",,,,,,
2672,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Amidon,Isles francoises de l'amérique,1000,5000,Livres,"0,2",,,,,,
2673,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Anchoyes,Isles francoises de l'amérique,"237,6",396,Flacons,"0,6",,,,,,
2674,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Armes a feu Fusils,Isles francoises de l'amérique,2253600,93900,En nombre,24,,,,,,
2675,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Artichaux confis,Isles francoises de l'amérique,312,416,Flacons,"0,75",,,,,,
2676,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Artichaux confis,Isles francoises de l'amérique,603,201,Livres,3,,,,,,
2677,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Bas de soye,Isles francoises de l'amérique,2880,30,Douzaines,96,,,,,,
2678,Pascal Fontaine,AD 33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1762,Exports,Bordeaux,3,Bazin,Isles francoises de l'amérique,8130,2710,Aunes,3,,,,,,
