marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,Classification produits médicinaux,Répétition,remarques_marchandises,Column1,Wallis List,EXCLUSION, not medical primarily,Nom Wallis,Large,Narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,,,,,,,,,,,,,
Moulins ; à tabac,Moulins,7,7,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Moulins ; à tordre fil,Moulins,7,7,0,,,,0,,,0,0,6,6,2,,,,,,,,,,,,,,,,,
Moureaux ; de mulets,,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Moyeux,Moyeux,7,7,0,,,,0,,,0,0,,,18,,,,,,,,,,,,,,,,,
Mât,Mât,7,7,0,,,,0,,,0,0,,,82,,,,,,,,,,,,,,,,,
Mât ; de sapin,Mât,7,7,0,,,,0,,,0,0,,,46,,,,,,,,,,,,,,,,,
Mât ; façonné,Mât,7,7,0,,,,0,,,0,0,,,31,,,,,,,,,,,,,,,,,
Mât ; petit,Mât,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Mâts,Mât,7,7,0,,,,0,,,0,0,,,88,,,,,,,,,,,,,,,,,
Mâts ; de navire,Mât,7,7,0,,,,0,,,0,0,,,25,,,,,,,,,,,,,,,,,
Mâts ; grands,Mât,7,7,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Mâts ; petits,Mât,7,7,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Mâture,Mâture,7,7,0,,,,0,,,0,0,,,13,,,,,,,,,,,,,,,,,
Métier,Métier,7,7,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Métier ; de drapier,Métier,7,7,0,,,,0,,,0,0,6,6,2,,,,,,,,,,,,,,,,,
Métier ; de tisserand,,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Métier ; à faire bas,,7,7,0,,,,0,,,0,0,,,14,,,,,,,,,,,,,,,,,
Métier ; à faire tapisserie,,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Métier ; à filer,,7,7,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
"Métier, presses, cribles, bulteaux ; de moulin",Métier,7,7,0,,,,0,,,0,0,6,6,1,,,,,,,,,,,,,,,,,
Nacelles,Nacelles,7,7,0,,,,0,,,0,0,,,127,,,,,,,,,,,,,,,,,
Nacettes,Nacettes,7,7,0,,,,0,,,0,0,7,7,1,,,,,,,,,,,,,,,,,
Navettes,Navettes,7,7,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Navettes ; à drapier,Navettes,7,7,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Nerfs de Bœuf,,7,7,0,,,,0,,,0,0,,,84,,,,,,,,,,,,,,,,,
Ouvrage ; ancres,Ouvrages,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Ouvrage ; de bois ; aviron,Ouvrage ; de bois,7,7,0,,,,0,,,0,0,,,20,,,,,,,,,,,,,,,,,
Ouvrage ; de bois ; navires,Ouvrage ; de bois,7,7,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Ouvrage ; de charron,Ouvrages,7,7,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Ouvrage ; de cuir ; cordonnerie et sellerie,Ouvrages,7,7,0,,,,0,,,0,0,,,45,,,,,,,,,,,,,,,,,
Ouvrage ; de fer ; ancre,Ouvrage ; de fer,7,7,0,,,,0,,,0,0,,,85,,,,,,,,,,,,,,,,,
Ouvrage ; de fer ; cricks,Ouvrage ; de fer,7,7,0,,,,0,,,0,0,,,165,,,,,,,,,,,,,,,,,
Ouvrage ; de fer pour maréchal,Ouvrage ; de fer,7,7,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Ouvrage ; de mécanique,Ouvrages,7,7,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Ouvrage ; de plomb ; caractères d'imprimerie,Ouvrages,7,7,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Ouvrage ; de selliers de toutes sortes,Ouvrages,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Ouvrage ; de serrurerie ; ressort de voiture,Ouvrage ; de serrurerie,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Ouvrage ; de taillandier,Ouvrages,7,7,0,,,,0,,,0,0,,,15,,,,,,,,,,,,,,,,,
Ouvrage ; sellerie,,7,7,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Palan,,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Phaeton,Phaeton,7,7,0,,,,0,,,0,0,7,7,0,,,,,,,,,,,,,,,,,
Pompe,,7,7,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Pompe ; de bois,,7,7,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Pompe ; en cuivre,,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Pompe ; pour pompiers,,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Pompe ; à feu,,7,7,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Pompe ; à hollande,,7,7,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Poulies,Poulies,7,7,0,,,,0,,,0,0,,,23,,,,,,,,,,,,,,,,,
Poulies ; de bois,,7,7,0,,,,0,,,0,0,,,169,,,,,,,,,,,,,,,,,
Presse,Presse,7,7,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Quilles ; de hêtre,Quilles ; de hêtre,7,7,0,,,,0,,,0,0,,,13,,,,,,,,,,,,,,,,,
Quilles ; de vaisseaux,Quilles ; de vaisseaux,7,7,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Rames ; de bateau,,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Remorque ; de navire,,7,7,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Rez ; de charrette,Rez,7,7,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Roue,Roue,7,7,0,,,,0,,,0,0,,,30,,,,,,,,,,,,,,,,,
Roue ; de bois,Roue,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Roue ; de chariot,Roue,7,7,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Roue ; de charrette,Roue,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Roue ; diverses,Roue,7,7,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Roue ; ferrées,Roue,7,7,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Roue ; neuves,Roue,7,7,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Roue ; non ferrées,Roue,7,7,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Rouets,Rouets,7,7,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Rouets ; à filer,Rouets,7,7,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Selle,Selle,7,7,0,,,,0,,,0,0,9,9,3,,,,,,,,,,,,,,,,,
Selle ; de cheval,Selle,7,7,0,,,,0,,,0,0,,,29,,,,,,,,,,,,,,,,,
Sellerie,,7,7,0,,,,0,,,0,0,,,32,,,,,,,,,,,,,,,,,
Tour ; pour tourneur,,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Tour ; à filer,Tour ; à filer,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Tours,Tours,7,7,0,,Machine à filer (Savary),,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Tours ; de lit ; de bourre,Tours ; de lit ; de bourre,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Trains ; de carosse,Trains ; de carosse,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Treuils,,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Ustensile ; d'imprimerie,Ustensiles ; d'imprimerie,7,7,0,,,,0,,,0,0,,,16,,,,,,,,,,,,,,,,,
Vaisseaux montées,Vaisseaux montées,7,7,0,,,,0,,,0,0,7,7,0,,,,,,,,,,,,,,,,,
Voile ; de bateaux,Voile ; de bateaux,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Voiture,,7,7,0,,,,0,,,0,0,,,9,,,,,,,,,,,,,,,,,
Voitures et tombereaux,,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Wagon,,7,7,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Éperons,Éperons,7,7,0,,,,0,,,0,0,9,9,3,,,,,,,,,,,,,,,,,
Éperons et etriers,Éperons et etriers,7,7,0,,,,0,,,0,0,9,9,3,,,,,,,,,,,,,,,,,
Équipement de navire,,7,7,0,,,,0,,,0,0,,,123,,,,,,,,,,,,,,,,,
Étriers,Étriers,7,7,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Abaci,Abaque,8,8,0,,Abaque (Abacus en latin, Abaci au pluriel)Abaque (Abacus en latin, Abaci au pluriel),,0,,,0,0,,,1,,,,,,,,,,,,,,,
Ailes de moulin,Ailes de moulin,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Ains à pêcher,Ains à pêcher,8,8,0,,Savary, volume 1, 1748 : Hameçons,,0,,,0,0,,,3,,,,,,,,,,,,,,,
Ajustements,Ajustements,8,8,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Allumettes,Allumettes,8,8,0,,,,0,,,0,0,8,8,30,,,,,,,,,,,,,,,,,
Almanach,Livre,8,8,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Alpargate,Alpargate,8,8,0,,espadrilles (Savary),,0,,,0,0,,,48,,,,,,,,,,,,,,,,,
Archets de violons,Archets de violons,8,8,0,,,,0,,,0,0,8,8,12,,,,,,,,,,,,,,,,,
Argenterie,Argenterie et orfèvrerie,8,8,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Argenterie ; bagues,Argenterie et orfèvrerie,8,8,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Argenterie ; boucle,Argenterie et orfèvrerie,8,8,0,,,,0,,,0,0,,,14,,,,,,,,,,,,,,,,,
Argenterie ; croix,Argenterie et orfèvrerie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Argenterie ; diverse,Argenterie et orfèvrerie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Argenterie ; épées,Argenterie et orfèvrerie,8,8,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Argenterie et orfèvrerie,Argenterie et orfèvrerie,8,8,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Armoires,Armoires,8,8,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Art de peau,,8,8,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Articles ; réunis,Marchandises diverses,8,8,0,,,,0,,,0,0,,,19,,,,,,,,,,,,,,,,,
Artifice,Artifice,8,8,0,,artifice,,0,,,0,0,8,8,7,,,,,,,,,,,,,,,,,
Babouches,Babouches,8,8,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Bagages,,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Bagues,Bagues,8,8,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Bagues ; de cuivre,Bagues ; de cuivre,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bagues ; de laiton,Bagues ; de laiton,8,8,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Bahuts,Bahuts,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Balais,Balais,8,8,0,,,,0,,,0,0,,,373,,,,,,,,,,,,,,,,,
Balais ; coupée,Balais,8,8,0,,,,0,,,0,0,,,14,,,,,,,,,,,,,,,,,
Balais ; de bois,Balais,8,8,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Balais ; de bruyère,Balais,8,8,0,,,,0,,,0,0,,,106,,,,,,,,,,,,,,,,,
Balais ; de crin,Balais,8,8,0,,,,0,,,0,0,,,95,,,,,,,,,,,,,,,,,
Balais ; de jonc,Balais,8,8,0,,,,0,,,0,0,,,115,,,,,,,,,,,,,,,,,
Balais ; de palmes,Balais,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Balais ; de riz,Balais,8,8,0,,,,0,,,0,0,,,180,,,,,,,,,,,,,,,,,
Balais ; de soie,Balais,8,8,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Balais ; du roi,Balais,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Balais, petits,Balais,8,8,0,,petits balais de bruyere,,0,,,0,0,6,6,22,,,,,,,,,,,,,,,,
Balles,Balles,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Balles ; d'osier,Balles,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Balles ; en fer,Balles,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Balles ; à jouer,Balles,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Balustre,Balustre,8,8,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Banderoles,Banderoles,8,8,0,,,,0,,,0,0,8,8,1,,,,,,,,,,,,,,,,,
Banquette,,8,8,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Baquets de sapin,Baquets de sapin,8,8,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Baromètre,Baromètre,8,8,0,,,,0,,,0,0,,,34,,,,,,,,,,,,,,,,,
Barreaux ; neufs,,8,8,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Barrettes,Barrettes,8,8,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Barrois,Barrois,8,8,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Bas,Bas,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bas ; assortis,Bas,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bas ; coton,Bas,8,8,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Bas ; coton et fil,Bas,8,8,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Bas ; d'Estame,Bas,8,8,0,,,,0,,,0,0,,,22,,,,,,,,,,,,,,,,,
Bas ; d'enfants,Bas,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Bas ; de Leyden,Bas,8,8,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Bas ; de bourre ; de soie,Bas,8,8,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Bas ; de castor,Bas,8,8,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Bas ; de chamois,Bas,8,8,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Bas ; de coton,Bas,8,8,0,,,,0,,,0,0,,,15,,,,,,,,,,,,,,,,,
Bas ; de fil,Bas,8,8,0,,,,0,,,0,0,,,16,,,,,,,,,,,,,,,,,
Bas ; de fil et coton,Bas,8,8,0,,,,0,,,0,0,8,8,26,,,,,,,,,,,,,,,,,
Bas ; de filoselle,Bas,8,8,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Bas ; de fleuret,Bas,8,8,0,,,,0,,,0,0,,,23,,,,,,,,,,,,,,,,,
Bas ; de laine,Bas,8,8,0,,,,0,,,0,0,,,41,,,,,,,,,,,,,,,,,
Bas ; de peau,Bas,8,8,0,,,,0,,,0,0,,,28,,,,,,,,,,,,,,,,,
Bas ; de soie,Bas,8,8,0,,,,0,,,0,0,,,26,,,,,,,,,,,,,,,,,
Bas ; de soie ; à coins d'or,Bas,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bas ; drapés,Bas,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bas ; en laine ; de Jersey,Bas,8,8,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Bas ; longs,Bas,8,8,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Bas ; soie et laine,Bas,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bas ; soie et poil,Bas,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bas ; tricotés,Bas,8,8,0,,,,0,,,0,0,,,18,,,,,,,,,,,,,,,,,
Bas et Bonneterie ; bonnet de coton,,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Basse ; de viole,Instruments ; de musique,8,8,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Basses,Basses,8,8,0,,,,0,,,0,0,8,8,1,,,,,,,,,,,,,,,,,
Basses et bassons,Instruments ; de musique,8,8,0,,,,0,,,0,0,8,8,1,,,,,,,,,,,,,,,,,
Bassins ; en argent,Bassins,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bassins ; en laiton,Bassins,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bassins ; à barbe,Bassins,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Basson,Instruments ; de musique,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Bas ; de soie et coton,,8,8,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Bennes,Bennes,8,8,0,,,,0,,,0,0,8,8,3,,,,,,,,,,,,,,,,,
Bennes vuides,Bennes vuides,8,8,0,,,,0,,,0,0,8,8,1,,,,,,,,,,,,,,,,,
Berceaux ; d'enfant,Berces et Berceaux,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Berces et lits d'enfants,Berces et Berceaux,8,8,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Bijouterie,Bijouterie,8,8,0,,,,0,,,0,0,,,24,,,,,,,,,,,,,,,,,
Bijouterie ; en épingles,,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bijouterie ; pour montre d'argent,,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Billard,Billard,8,8,0,,,,0,,,0,0,,,9,,,,,,,,,,,,,,,,,
Billes ; de bois,Billes,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Billes d'ivoire,Billes,8,8,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Billots,Billots,8,8,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Bonnet ; d'enfant,Bonnet,8,8,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Bonnet ; de blonde,Bonnet,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Bonnet ; de coton,Bonnet,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Bonnet ; de fil,Bonnet,8,8,0,,,,0,,,0,0,,,15,,,,,,,,,,,,,,,,,
Bonnet ; de laine,Bonnet,8,8,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Bonnet ; de soie,Bonnet,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonnet ; de toile,Bonnet,8,8,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Bonnet ; de velours,Bonnet,8,8,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Bonnet ; pique ; carcasse et fer à coiffure,Bonnet,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonnet et pique,Bonnet,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie,Bonneterie,8,8,0,,,,0,,,0,0,,,37,,,,,,,,,,,,,,,,,
Bonneterie ; bas ; de bourre ; de soie,Bonneterie,8,8,0,,,,0,,,0,0,,,27,,,,,,,,,,,,,,,,,
Bonneterie ; bas ; de coton,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; bas ; de laine,Bonneterie,8,8,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Bonneterie ; bas ; de soie,Bonneterie,8,8,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; d'enfant,Bonneterie,8,8,0,,,,0,,,0,0,,,66,,,,,,,,,,,,,,,,,
"Bonneterie ; bonnet ; d'enfant, de velours et Bonnet à la postillonne",Bonneterie,8,8,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de castor,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de coton,Bonneterie,8,8,0,,,,0,,,0,0,,,25,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de femme,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de fil et coton,Bonneterie,8,8,0,,,,0,,,0,0,,,72,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de filosel,Bonneterie,8,8,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de grenadines,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de laine,Bonneterie,8,8,0,,,,0,,,0,0,,,26,,,,,,,,,,,,,,,,,
"Bonneterie ; bonnet ; de laine, fil et coton",Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de peaux,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de postillons,Bonneterie,8,8,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de prêtres,Bonneterie,8,8,0,,,,0,,,0,0,,,63,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de soie,Bonneterie,8,8,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de toile cirée,Bonneterie,8,8,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; de velours,Bonneterie,8,8,0,,,,0,,,0,0,,,168,,,,,,,,,,,,,,,,,
Bonneterie ; bonnet ; piqués,Bonneterie,8,8,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Bonneterie ; de bourre ; de fil,Bonneterie,8,8,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Bonneterie ; de bourre ; de soie,Bonneterie,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Bonneterie ; de coton,Bonneterie,8,8,0,,,,0,,,0,0,,,15,,,,,,,,,,,,,,,,,
Bonneterie ; de coton ; tricot,Bonneterie,8,8,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Bonneterie ; de fil,Bonneterie,8,8,0,,,,0,,,0,0,,,19,,,,,,,,,,,,,,,,,
Bonneterie ; de fil et coton,Bonneterie,8,8,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
"Bonneterie ; de fil, coton et laine",Bonneterie,8,8,0,,,,0,,,0,0,,,96,,,,,,,,,,,,,,,,,
Bonneterie ; de filain ; d'or,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; de filoselle,Bonneterie,8,8,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Bonneterie ; de laine,Bonneterie,8,8,0,,,,0,,,0,0,,,46,,,,,,,,,,,,,,,,,
Bonneterie ; de soie,Bonneterie,8,8,0,,,,0,,,0,0,,,29,,,,,,,,,,,,,,,,,
Bonneterie ; de soie ; tricot,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; de soie et dorure,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bonneterie ; en poil ; de lapin,Bonneterie,8,8,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Bonneterie ; fil et coton,Bonneterie,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bordures ; de tapisseries,Bordures,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bordures ; dorées,Bordures,8,8,0,,Cadres ?,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Bottes,Bottes,8,8,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Bottes ; fortes,Bottes,8,8,0,,,,0,,,0,0,,,44,,,,,,,,,,,,,,,,,
Bottes ; molles,Bottes,8,8,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Bottes et bottines,Bottes,8,8,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Bottes pantalons,Bottes,8,8,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Bottines,Bottes,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Boucles,Boucles,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Boucles ; d'argent,Boucles,8,8,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Boucles ; d'oreilles,Boucles,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Boucles ; de Pinsbeck,Boucles,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Boucles ; de cuivre,Boucles,8,8,0,,,,0,,,0,0,,,16,,,,,,,,,,,,,,,,,
Boucles ; de fer,Boucles,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bougie,Bougie,8,8,0,,,,0,,,0,0,,,68,Bougie ; de suif,Bougie ; de suif,,,,,,,,,,,,,,,
Bougie ; blanche,Bougie,8,8,0,,,,0,,,0,0,,,2,Bougie ; de suif,Bougie ; de suif,,,,,,,,,,,,,,,
Bougie ; de suif,Bougie,8,8,0,,,,0,,,0,0,,,,Bougie ; de suif,Bougie ; de suif,,,,,,,,,,,,,,,
Bougie ; jaune,Bougie,8,8,0,,,,0,,,0,0,,,2,Bougie ; de suif,Bougie ; de suif,,,,,,,,,,,,,,,
Bougran,Bougran,8,8,0,,,,0,,,0,0,,,16,,,,,,,,,,,,,,,,,
Boules ; de bois,Boules ; de bois,8,8,0,,,,0,,,0,0,,,27,,,,,,,,,,,,,,,,,
Boules ; de buis,Boulles ; de bois,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Boules ; de mail,Boules ; de mail,8,8,0,,Boule de buis, pour jouer au maillet (Savary),,0,,,0,0,,,0,,,,,,,,,,,,,,,,
Bourse,Bourse,8,8,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Bourse ; de Damas,Bourse,8,8,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
