marchandises;id;marchandises_normalisees_inter;marchandises_normalisees;product_prix;dutchtranslation;englishproduct;unit;alternativenames;source_rg_1774;source_rgbase;source_france;source_sound;source_hambourg;v14;v15;remarques;nbr_lignes_fr;nbr_lignes_hambourg
///Métaux///Plomb;184;Plomb;Plomb;;;;;;0;0;1;;;;;;18;
///Métaux///plomb;185;Plomb;Plomb;;;;;;0;0;1;;;;;;8;
///Objets manufacturés///Armes;186;Armes;Arme;;;;;;0;0;1;;;;;;1;
///Objets manufacturés///Articles réunis;187;"Armes ; réunies";Arme;;;;;;0;0;1;;;;;;21;
///Objets manufacturés///Bonneterie en fil , coton et laine;188;"Bonneterie ; de fil, coton et laine";"Bonneterie ; de fil, coton et laine";;;;;;0;0;1;;;;;;11;
///Objets manufacturés///Bonneterie en fil, coton et laine;189;"Bonneterie ; de fil, coton et laine";"Bonneterie ; de fil, coton et laine";;;;;;0;0;1;;;;;;4;
///Objets manufacturés///Bonneterie ordinaire en coton et laine;190;"Bonneterie ; de fil, coton et laine";"Bonneterie ; de fil, coton et laine";;;;;;0;0;1;;;;;;5;
///Objets manufacturés///Bonneteries de soie;191;"Bonneterie ; de soie";"Bonneterie ; de soie";;;;;;0;0;1;;;;;;48;
///Objets manufacturés///Bonneteries diverses;192;"Bonneterie ; diverse";Bonneterie;;;;;;0;0;1;;;;;;36;
///Objets manufacturés///Chapellerie;193;Chapellerie;Chapellerie;;;;;;0;0;1;;;;;;44;
///Objets manufacturés///Dentelles;194;Dentelle;Dentelle;;;;;;0;0;1;;;;;;40;
///Objets manufacturés///Dentelles de fil;195;"Dentelle ; de fil et soie";"Dentelle ; de fil et soie";;;;;;0;0;1;;;;;;8;
///Objets manufacturés///Draperies;196;Draperie;Draperie;;;;;;0;0;1;;;;;;69;
///Objets manufacturés///Etoffe mélangées de ces matieres;197;"Étoffe ; mélangées de ces matières";"Étoffe ; mélangées de ces matières";;;;;;0;0;1;;;;;;13;
///Objets manufacturés///Etoffe riches;198;"Étoffe ; riche";"Étoffe ; riche";;;;;;0;0;1;;;;;;15;
///Objets manufacturés///Etoffes de coton;199;"Étoffe ; de coton";"Étoffe ; de coton";;;;;;0;0;1;;;;;;26;
///Objets manufacturés///Etoffes de laine;200;"Étoffe ; de laine";"Étoffe ; de laine";;;;;;0;0;1;;;;;;32;
///Objets manufacturés///Etoffes de laine et de poil;201;"Étoffe ; de laine et poil";"Étoffe ; de laine et poil";;;;;;0;0;1;;;;;;17;
///Objets manufacturés///Etoffes de soie;202;"Étoffe ; de soie";"Étoffe ; de soie";;;;;;0;0;1;;;;;;57;
///Objets manufacturés///Etoffes diverses;203;"Étoffe ; diverses";Étoffe;;;;;;0;0;1;;;;;;34;
///Objets manufacturés///Etoffes en coton et en laine;204;"Étoffe ; de coton et laine";"Étoffe ; de coton et laine";;;;;;0;0;1;;;;;;16;
///Objets manufacturés///Etoffes mélangées de ces matières;205;"Étoffe ; mélangées de ces matières";"Étoffe ; mélangées de ces matières";;;;;;0;0;1;;;;;;20;
///Objets manufacturés///Etoffes riches;206;"Étoffe ; riche";"Étoffe ; riche";;;;;;0;0;1;;;;;;16;
///Objets manufacturés///Gazes, crepes et mouchoirs de soie;207;Gazes, crêpes et mouchoirs de soie;Gazes, crêpes et Mouchoir de soie;;;;;;0;0;1;;;;;;39;
///Objets manufacturés///Gazes, crêpes et mouchoirs de soie;208;Gazes, crêpes et mouchoirs de soie;Gazes, crêpes et Mouchoir de soie;;;;;;0;0;1;;;;;;19;
///Objets manufacturés///Mouchoirs divers en fil et coton;209;"Mouchoir ; divers";Mouchoir;;;;;;0;0;1;;;;;;28;
///Objets manufacturés///Mouchoirs divers et des Indes;210;"Mouchoir ; divers";Mouchoir;;;;;;0;0;1;;;;;;17;
