marchandises_normalisees	marchandises_simplifiées	SITC_rev1	SITC_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG
Bœuf ; à l'Ecarlate	Bœuf ; à l'Ecarlate	0	0a					
Bœuf ; à la daube	Bœuf ; à la daube	0	0a					
Bœuf ; à la mode	Bœuf ; à la mode	0	0a					
Bœuf ; en vie	Bestiaux	0	0a					
Bœuf ; salé	Bœuf ; salé	0	0a					
Bœufs ; en vie	Bestiaux	0	0a					
Bœufs ; fumé	Bœufs ; fumé	0	0a					
Bœufs ; salé	Bœufs ; salé	0	0a					...
Bœufs et taureaux	Bestiaux	0	0a		0	0a		
Boeuftins et genisses	Bestiaux	0	0a		0	0a		
Bois ; ??	Bois	2	2					
Bois ; à baril non scié	Bois	2	2		2	2		
Bois ; à barils	Bois	2	2					
Bois ; à bâtir	Bois	3	3					
Bois ; à bruler	Bois ; à brûler	3	3		2	2		
Bois ; à brûler	Bois ; à brûler	2	2					
Bois ; à cribles	Bois	2	2					...
Bois ; à faire corbin	Bois	2	2					
Bois ; à faire des boîtes	Bois	2	2					
Bois ; à faire des étuis	Bois	2	2					
Bois ; à faire fourreaux d'épées	Bois	2	2					
Bois ; à faire sommier	Bois	2	2					
Bois ; à faire violons	Bois	2	2					
Bois ; à fourreau d'Epée	Bois	2	2					
Bois ; à fusils	Bois	2	2					
Bois ; à meubles	Bois	2	2					
Bois ; a parquet	Bois	2	2					
Bois ; à tamis	Bois	2	2					
Bois ; à tapis	Bois	2	2					...
Bois ; à teindre	Bois	2	2					
Bois ; à teindre de toutes sortes	Bois	2	2		5	5		
Bois ; anspects	Bois	6	6					
Bois ; autre	Bois	2	2					
Bois ; blanc	Bois	2	2					
Bois ; blanc à faire sabots	Bois	2	2		2	2		
Bois ; bordages	Bois	2	2					
Bois ; bordages ; de chêne	Bois	2	2					
Bois ; bordages ; de sapin	Bois	2	2					...
Bois ; bourdillons	Bois	2	2					
Bois ; boway ; de chêne	Bois	2	2					
Bois ; boway ; de sapin	Bois	2	2					
Bois ; brandilles	Bois	2	2					
