marchandises_normalisees	marchandises_pour_graphe_RG	SITC_rev1	SITC_18th	remarks_marchandises	_merge
Laine ; lavée	crude wool	2	2		matched (3)
Laine ; peignée	crude wool	2	2		matched (3)
Laine ; pelade	crude wool	2	2		matched (3)
Laine ; pellude	crude wool	2	2		matched (3)
Laine ; serge	crude wool	2	2		matched (3)
Laine ; Surge	crude wool	2	2		matched (3)
Laine ; surge	crude wool	2	2		matched (3)
Laine ; teinte	crude wool	2	2		matched (3)
Laiton	...	6	6		matched (3)
Laiton ; brun	...	6	6		matched (3)
Laiton ; Divers	...	6	6		matched (3)
Laiton ; en feuilles	...	6	6		matched (3)
Laiton ; en planches	...	6	6		matched (3)
Laiton ; fil de laiton	...	6	6		matched (3)
Laiton ; gouté	...	6	6		matched (3)
Laiton ; gratté	...	6	6		matched (3)
Laiton ; gravé	...	6	6		matched (3)
Laiton ; gravé ou gratté	...	6	6		matched (3)
Laiton ; ouvré	...	6	6		matched (3)
Laiton ; vieux	...	6	6		matched (3)
Lama	...	0	0a		matched (3)
Lames ; d'épées	…	9	9		matched (3)
Lames ; de couteaux ; de chasse	…	9	9		master only (1)
Lames ; de couteaux de chasse	…	9	9		matched (3)
Lames ; de fleuret	…	9	9		matched (3)
Lames ; de sabres	…	9	9		matched (3)
Lampareille	...	6	6b	Etoffe de poil	matched (3)
Lampes	...	8	8		matched (3)
Lampes ; de cuivre	...	8	8		matched (3)
Lampes ; de fer	...	8	8		matched (3)
Lampes ; de laiton	...	8	8		matched (3)
Lampes ; de verre	...	8	8		matched (3)
Lamproie	...	0	0a		matched (3)
Langues	...	0	0a		matched (3)
Langues ; de bœuf	...	0	0a		matched (3)
Langues ; de morüe	...	0	0a		matched (3)
Langues ; salées	...	0	0a		matched (3)
Lanillas	...	6	6b	Lanisse est de la bourre de Laine ? Sortie Flandres Camelots courants (en laine) – BD	matched (3)
Lanternes	...	8	8		matched (3)
Lapins	...	0	0a		matched (3)
Lapis ; lazule	...	2	2		matched (3)
Laque ; en bois	...	5	5		matched (3)
Laque ; plane	...	5	5		matched (3)
Laque ; platte	...	5	5		matched (3)
Laque ; ronde	...	5	5		matched (3)
Lard	...	0	0a		matched (3)
Larque place	...	...	...		matched (3)
Lattes	...	2	2	Du bois ? Pourrait être un sabre aussi	matched (3)
Laurier	...	0	0a		matched (3)
Lauzes	…	2	2		matched (3)
Lavande	…	2	2		matched (3)
Légumes	...	0	0a		matched (3)
Légumes ; divers	...	0	0a		matched (3)
Lelarge	...	...	...		matched (3)
Lentilles	...	0	0a		matched (3)
Leviers ferrés	...	8	8		matched (3)
Levure de bierre	...	0	0a		matched (3)
Librairie	...	8	8		matched (3)
Lie de Vin	...	2	2		matched (3)
Liège	...	2	2		matched (3)
Liège ; Divers	...	2	2		matched (3)
Liège ; En bouchons	...	6	6		matched (3)
Liège ; En planches	...	2	2		matched (3)
Liens ; de fil	...	6	6a		matched (3)
Lièvres	…	0	0a		matched (3)
Ligatures	...	6	6		matched (3)
Lignes ; à pêcher	...	6	6		matched (3)
Lilarge	...	...	...		matched (3)
Lillas	...	2	2		matched (3)
Limaille	...	6	6		matched (3)
Limaille ; de cuivre	...	6	6		matched (3)
Limas	...	...	...	Pour la Hollande	matched (3)
Limeneas	...	6	6a	toiles du Coromandel – BD	matched (3)
Limes	...	6	6		matched (3)
Limes ; d'acier	...	6	6		matched (3)
Limes ; de fer	...	6	6		matched (3)
Lin	...	2	2		matched (3)
Lin ; ?	...	2	2		matched (3)
Lin ; cru	...	2	2		matched (3)
Lin ; divers	...	2	2		matched (3)
Lin ; en bottes	...	2	2		matched (3)
Lin ; en gerbes	...	2	2		matched (3)
Lin ; en masses	...	2	2		matched (3)
Lin ; en pelottes	...	2	2		matched (3)
Lin ; en pierres	...	2	2		matched (3)
Lin ; en rames	...	2	2		matched (3)
Lin ; peigné	...	2	2		matched (3)
Lina	...	2	2	Cassia Ligna (épicerie) BD	matched (3)
Linge ; de table	...	2	2		matched (3)
Linge ; vieux	...	2	2		matched (3)
Lingerie	...	6	6a		matched (3)
Lingerie ; de toile ; de lin	...	6	6a		matched (3)
Linnieuse	...	...	...		matched (3)
Liqueurs	...	1	1		matched (3)
Liqueurs ; Diverses	...	1	1		matched (3)
Liqueurs ; Rhum	...	1	1		matched (3)
Liqueurs ; Sirops	...	1	1		matched (3)
Liqueurs ; Sirops ; Fins	...	1	1		matched (3)
Liqueurs ; Sirops ; Melasse	...	1	1		matched (3)
Liqueurs ; Sirops ; Melasse étranger	...	1	1		matched (3)
Liqueurs ; Taffia	...	1	1		matched (3)
Lissoirs de verre	...	8	8		matched (3)
Lit ; garny	...	8	8		matched (3)
Litarge	...	2	2	Savary	matched (3)
Lits ; de Bourre	...	8	8		matched (3)
Lits ; de Bourre de chèvre	...	8	8		matched (3)
Lits ; de fer	...	8	8		matched (3)
Lits ; de plumes	...	8	8		matched (3)
Livres ; en blanc	...	6	6		matched (3)
Lizières ; de drap	...	6	6b		matched (3)
Lizières ; de velours	...	6	6		matched (3)
Loupins	...	0	0a		matched (3)
Lunettes	...	8	8		matched (3)
Lustres	…	8	8		matched (3)
Lustres ; de Venise	…	8	8		matched (3)
Lustrine	…	8	8		matched (3)
Luzes	…	…	…		matched (3)
Machicot	…	…	…		matched (3)
Macis	...	0	0b	Arille de la noix muscade, surtout utilisé comme aromate ou condiment.	matched (3)
Maganaise	...	2	2		matched (3)
Maiclais	…	…	…		matched (3)
Maïs	…	0	0a		matched (3)
Malbroug	…	…	…		matched (3)
Malemole	Cotton	2	2	Pierre	matched (3)
Malles	...	8	8	Bottin	matched (3)
Malles ; de cuir	...	8	8		matched (3)
Malles ; vides	...	8	8		matched (3)
Manches  ; de balain	...	6	6		master only (1)
Manches ; à lave place	...	6	6		matched (3)
Manches ; d'alaisnes	...	6	6		matched (3)
Manches ; de balain	...	6	6		using only (2)
Manches ; de balain	...	6	6		master only (1)
Manches ; de gaffe	...	6	6		matched (3)
Manches ; de mail	...	6	6		matched (3)
Manches ; de pioche	...	6	6		matched (3)
Manchettes	...	6	6		matched (3)
Manchettes ; brodées	...	6	6		matched (3)
Manchettes ; de dentelles	...	6	6a		matched (3)
Manchons	...	6	6		matched (3)
Manchons ; communs	...	6	6		matched (3)
Manchons ; fins	...	6	6		matched (3)
Mandarins	...	...	...		matched (3)
Manicot	...	...	...	Manivelle ? (manico) BD	matched (3)
Manille	...	6	6	Anneau de fer ou fibre végétale ?	matched (3)
Maniquette	...	6	6		matched (3)
Manne	...	2	2	Suc qui s'écoule de certains arbres	matched (3)
Manne ; de Calabre	...	2	2		matched (3)
Manteaux	...	8	8		matched (3)
Manteaux ; vieux	...	2	2		matched (3)
Mantelets	...	8	8	Grand vêtement ecclésiastique	matched (3)
Maquereaux	...	0	0a		matched (3)
Maquereaux ; salés	...	0	0a		matched (3)
Maquet	...	8	8	Brayoire (Savary)	matched (3)
Marbre	...	2	2		matched (3)
Marbre  ; brun	...	2	2		master only (1)
Marbre ; brun	...	2	2		using only (2)
Marbre ; brun	...	2	2		master only (1)
Marbre ; brut	...	2	2		matched (3)
Marbre ; divers	...	2	2		matched (3)
Marbre ; en pierres	...	6	6		matched (3)
Marbre ; ouvré	...	6	6		matched (3)
Marbre ; ouvré ; à jouer	...	6	6		matched (3)
Marbre ; ouvré ; divers	...	6	6		matched (3)
Marbre ; ouvré ; en carreaux	...	6	6		matched (3)
Marbre ; ouvré ; en mortier	...	6	6		matched (3)
Marbre ; ouvré ; en tables	...	6	6		matched (3)
Marc	...	2	2		matched (3)
Marc ; divers	...	2	2		matched (3)
Marc d'olive	...	2	2		matched (3)
Marc de raisin	...	2	2		matched (3)
Marcassite	...	2	2	Sulfure de fer	matched (3)
Marchandises	...	8	8		matched (3)
Marchandises ; à l'estimation	...	8	8		matched (3)
Marchandises ; blanches	...	8	8		matched (3)
Marchandises ; de la cote	...	8	8		matched (3)
Marchandises ; de modes	...	8	8		matched (3)
Marchandises ; de Montauban	...	8	8		matched (3)
Marchandises ; des Indes	...	8	8		matched (3)
Marchandises ; diverses	...	8	8		matched (3)
Marchandises ; en meubles	...	8	8		matched (3)
Marchandises ; mêlées	...	8	8		matched (3)
marchandises_normalisees	marchandises_pour_graphe_RG	SITC_rev1	SITC_18th	remarques_marchandises	master only (1)
Marechauderie	...	...	...	Marchanderie ? (marchandises en vrac, de faible valeur)BD	matched (3)
Marée ; fraiche	...	0	0a		matched (3)
Marègue	...	6	6b	Gros tissu de laine de diverses natures, servant à confectionner un manteau pour les charretiers, dit limousine. La marègue se fabrique dans différentes localités, à Hasparren (Basses-Pyrénées), à Clermont, à Lodève, etc.	matched (3)
Mareule	...	...	...	Marelle ? Pièce de cuir BD	matched (3)
marmites	...	8	8		matched (3)
marmites ; de fer	...	8	8		matched (3)
marmites ; de fonte	...	8	8		matched (3)
Marmittes	...	8	8		master only (1)
Marmittes ; de fer	...	8	8		master only (1)
Marmittes ; de fonte	...	8	8		master only (1)
Maroc	...	6	6		matched (3)
Marons	...	0	0a		matched (3)
Marquise	...	8	8	Fauteuils ?	matched (3)
Marsoin	...	...	...		matched (3)
Masques	...	8	8		matched (3)
Masques ; de Venise	...	8	8		matched (3)
Masses ; de mail	...	8	8	Masse marteau. De mail ?	matched (3)
Massicot	...	2	2	Protoxyde naturel du plomb pour teintures	matched (3)
Mastic	...	2	2		matched (3)
Mastic ; en larmes	...	2	2		matched (3)
matelas	...	6	6		matched (3)
matelas ; de crin	...	6	6a		matched (3)
matelas ; de laine	...	6	6b		matched (3)
matelas ; vieux	...	6	6		matched (3)
Matelats	...	6	6		master only (1)
Matelats ; de crin	...	6	6a		master only (1)
Matelats ; de laine	...	6	6b		master only (1)
Matelats ; vieux	...	6	6		master only (1)
Matereaux	...	7	7		matched (3)
Matereaux ; ou petits mats	...	7	7		matched (3)
Mats	...	7	7		matched (3)
Mats ; de vaisseaux	...	7	7		matched (3)
Mats ; divers	...	7	7		matched (3)
Mats ; matures	...	7	7		matched (3)
Mats ; petits	...	7	7		matched (3)
Matures	...	7	7	BD	matched (3)
Maugrebine	...	6	6a	toile de lin, ou toile maugrébineBD	matched (3)
Mêche	...	6	6a		matched (3)
Mêches ; à canon	...	6	6		matched (3)
Mêches ; à chandelle	...	6	6		matched (3)
Mêches ; à flambeaux	...	6	6		matched (3)
Mêches ; souffrées	...	6	6		matched (3)
Mecoacam	...	2	2	Racine médicinale	matched (3)
Medailles ; antiques	…	8	8		matched (3)
Médicaments	...	5	5		matched (3)
Menages	...	8	8	Petits ustensils de ménage ?	matched (3)
Mentes ; à moulir	…	2	2		matched (3)
Mentes ; à taillandier	…	2	2		matched (3)
Menuiserie	...	6	6		matched (3)
Mercerie	...	6	6		matched (3)
Mercerie ; Commune	...	6	6		matched (3)
Mercerie ; Fine	...	6	6		matched (3)
Mercerie ; Fine ; Aiguille	...	6	6		matched (3)
Mercerie ; Fine ; Aiguille à coudre	...	6	6		matched (3)
Mercerie ; Fine ; Aiguille à voile	...	6	6		matched (3)
Mercerie ; Fine ; Diverse	...	6	6		matched (3)
Mercerie ; Fine ; Epingles	...	6	6		matched (3)
Mercerie ; Melée	...	6	6		matched (3)
Mercerie ; Mêlée	...	6	6		matched (3)
Mercerie ; Ordinaire	...	6	6		matched (3)
Mercure	...	2	2		matched (3)
Mercure ; doux	...	2	2		matched (3)
Meriers	...	...	...		matched (3)
Merlans	...	0	0a		matched (3)
Merlus	...	0	0a		matched (3)
Merrain ; à bariques	...	2	2		master only (1)
Merrain ; à barriques	...	2	2		matched (3)
Merriers	...	...	...		matched (3)
Mervillons	...	0	0a		matched (3)
Meslus	...	...	...		matched (3)
Mesures ; d'étain	...	6	6		matched (3)
Métal	...	6	6		matched (3)
Métal ; ?	...	6	6		matched (3)
Metal ; de cloche	...	6	6		matched (3)
Métaux ; autres	...	6	6		matched (3)
Métaux ; divers	...	6	6		matched (3)
Métiers ; à faire bas	...	6	6		matched (3)
Meubles	...	8	8		matched (3)
Meubles et miroirs	...	8	8		matched (3)
Meules ; ?	...	7	7		matched (3)
Meules ; à callandre	...	7	7		matched (3)
Meules ; à éguiser	...	7	7		matched (3)
Meules ; à favre	...	7	7		matched (3)
Meules ; à huile	...	7	7		matched (3)
Meules ; à moulin	...	7	7		matched (3)
Meules ; à taillandes	...	7	7		matched (3)
Meules ; à tannerie	...	7	7		matched (3)
Meules ; batardes	...	7	7		matched (3)
Miel	...	0	0a		matched (3)
Miel ; cru	...	0	0a		matched (3)
Miel ; façonnée	...	0	0a		matched (3)
Mignonnette	...	6	6	Etoffe de laine ou de soie	matched (3)
Migon	...	6	6		matched (3)
Millet	...	0	0a		matched (3)
Millet ; gros	...	0	0a		matched (3)
Mine ; d'antimoine	...	2	2		matched (3)
Mine ; de fer	...	2	2		matched (3)
Mine ; de plomb	...	2	2		matched (3)
Mine ; de roche	...	2	2		matched (3)
Mini	...	...	...		matched (3)
Minium	...	5	5	Pigment rouge à orangé	matched (3)
Mirche	...	...	...	Peut-être de la mercerie ? BD	matched (3)
Mirke	...	...	...	Peut-être de la mercerie ? BD	matched (3)
Mirobolans	...	0	0b	Fruit du badamier	matched (3)
Miroirs	...	6	6		matched (3)
Miroirs ; divers	...	6	6		matched (3)
Miroirs ; glaces	...	6	6		matched (3)
Mirrhe	...	2	2		matched (3)
Mitaines	…	6	6		matched (3)
Mitaines ; brodées	…	6	6		matched (3)
Mitaines ; garnies de soye	…	6	6c		matched (3)
Mitaines ; lizerées	…	6	6		matched (3)
Mittes	…	6	6		matched (3)
Mittes ; de soie	…	6	6c		matched (3)
Moëles	…	0	0a		matched (3)
Moëles ; de beuf	…	0	0a		matched (3)
Molton	...	6	6b		matched (3)
Molton ; de laine	...	6	6b		matched (3)
Momade	...	...	...		matched (3)
Momie	...	2	2		matched (3)
Moncayard	...	6	6c	Etoffe très fine, chaine de soie, trame de fil	matched (3)
Mongette	...	0	0a		matched (3)
Mongistere	...	...	...		matched (3)
Monnaies ; étrangères	…	9	9		matched (3)
Monnaies ; étrangères ou lingots	…	9	9		matched (3)
Montres ; d'argent	…	8	8		matched (3)
Montres ; d'or	…	8	8		matched (3)
Montres ; de cuivre	…	8	8		matched (3)
Moquette	...	6	6		matched (3)
Mords ; de brides	...	6	6		matched (3)
Morilles	...	0	0a		matched (3)
Mortiers ; de marbre	...	6	6		matched (3)
Mortiers ; de métal	...	6	6		matched (3)
Mortiers ; de pierre	...	6	6		matched (3)
Morue	...	0	0a		matched (3)
Morue ; note alang	...	0	0a		matched (3)
Morue ; sèche	...	0	0a		matched (3)
Morue ; têtes	...	0	0a		matched (3)
Morue ; verte	...	0	0a		matched (3)
Moucade	...	6	6a	Etoffe à chaîne / Moquette Savary	matched (3)
Mouches ; cantardes	...	6	6		matched (3)
Mouches ; cantarides	...	6	6		matched (3)
Mouches ; de soie	...	6	6c		matched (3)
Mouchoirs	...	6	6a		matched (3)
Mouchoirs  ; de souey	silk fabrics	6	6c		master only (1)
Mouchoirs ; à peu de soie	silk fabrics	6	6c		matched (3)
Mouchoirs ; à vignettes	...	6	6a		matched (3)
Mouchoirs ; communs	...	6	6a		matched (3)
Mouchoirs ; d'aleph	cotton	6	6d		matched (3)
Mouchoirs ; d'indienne	cotton	6	6d		matched (3)
Mouchoirs ; de Bearn	...	6	6a		matched (3)
Mouchoirs ; de Bengal	cotton	6	6d		matched (3)
Mouchoirs ; de Betton	...	6	6a		matched (3)
Mouchoirs ; de Cholet	...	6	6a		matched (3)
Mouchoirs ; de coton	cotton	6	6d		matched (3)
Mouchoirs ; de coton et soie	cotton	6	6d		matched (3)
Mouchoirs ; de coton peints	cotton	6	6d		matched (3)
Mouchoirs ; de fil	linens	6	6a		matched (3)
Mouchoirs ; de fil et coton	linens	6	6d		matched (3)
Mouchoirs ; de foulard	...	6	6		matched (3)
Mouchoirs ; de gaze	...	6	6c		matched (3)
Mouchoirs ; de guinguan	...	6	6a		matched (3)
Mouchoirs ; de l'hotes	...	6	6		matched (3)
Mouchoirs ; de laine	...	6	6b		matched (3)
Mouchoirs ; de Madras	cotton	6	6d		matched (3)
Mouchoirs ; de masulipatan	cotton	6	6d		matched (3)
Mouchoirs ; de mousseline	cotton	6	6d		matched (3)
Mouchoirs ; de paliacatte	cotton	6	6d		matched (3)
Mouchoirs ; de Pondichery	cotton	6	6d		matched (3)
Mouchoirs ; de Romald	cotton	6	6d		matched (3)
Mouchoirs ; de Rouen	cotton	6	6d		matched (3)
Mouchoirs ; de Saumur	...	6	6a		matched (3)
Mouchoirs ; de siamoise	...	6	6		matched (3)
Mouchoirs ; de soie	silk fabrics	6	6c		matched (3)
Mouchoirs ; de souey	silk fabrics	6	6c		using only (2)
Mouchoirs ; de souey	...	6	6		master only (1)
Mouchoirs ; de toile cholet	linens	6	6a		matched (3)
Mouchoirs ; de Zurick	cotton	6	6d		matched (3)
Mouchoirs ; des Indes	cotton	6	6d		matched (3)
Mouchoirs ; des Indes ; de coton	cotton	6	6d		matched (3)
Mouchoirs ; des Indes ; de soie	silk fabrics	6	6c		matched (3)
Mouchoirs ; des Indes ; dit bandannais	...	6	6		matched (3)
Mouchoirs ; divers	...	6	6		matched (3)
Mouchoirs ; du Levant	...	6	6		matched (3)
Mouchoirs ; en soie	silk fabrics	6	6c		matched (3)
Mouchoirs ; fins	…	6	6a		matched (3)
Mouchoirs ; Komel et Renis	cotton	6	6d		matched (3)
Mouchoirs ; peints	cotton	6	6d		matched (3)
Mouchoirs ; points	cotton	6	6d		matched (3)
Moules	…	0	0a		matched (3)
Moules ; de bouton	…	0	0a		matched (3)
Moules ; de mouton	…	0	0a		matched (3)
Moulins ; à café	...	8	8		matched (3)
Moulins ; à dessécher	...	8	8		matched (3)
Moulins ; à grains	...	8	8		matched (3)
Moulins ; à lapidaire	...	8	8		matched (3)
Moulins ; à maïs	...	8	8		matched (3)
Moulins ; à moutarde	...	8	8		matched (3)
Moulins ; à poivre	...	8	8		matched (3)
Moulins ; à sucre	...	8	8		matched (3)
Moulins ; à tabac	...	8	8		matched (3)
Moulins ; de fer	...	8	8		matched (3)
Moulons	...	...	...	Peaux de Moutons ? BD	matched (3)
Moureaux	...	7	7		matched (3)
Moureaux de mulets	...	7	7		matched (3)
Mousse	...	2	2		matched (3)
Mousse ; de bois	...	2	2		matched (3)
Mousseline	cotton	6	6d		matched (3)
Mousserons	...	0	0a	Champignon	matched (3)
Moutarde	...	0	0a		matched (3)
Moutons	...	0	0a		matched (3)
Mouvements ; de montres	…	8	8		matched (3)
Mouvements ; de pendules	…	8	8		matched (3)
Mouvements ; de pendulles	…	8	8		master only (1)
Mules et mulets	...	0	0a		matched (3)
Mulets	...	0	0a		matched (3)
Musc	...	2	2		matched (3)
Muscade	...	0	0b		matched (3)
Muscades	...	0	0b		matched (3)
Muscades ; de perles	...	2	2		matched (3)
Muscat à l'eau de vie	...	1	1		matched (3)
Muse	...	...	...		matched (3)
Musique	...	8	8		matched (3)
Nacelles	...	2	2		matched (3)
Nacre ; de perles	...	2	2		matched (3)
Nacre ; en coquille	...	2	2		matched (3)
Nanquin	cotton	6	6d		matched (3)
Napes	…	6	6		matched (3)
Napes ; ouvrées	…	6	6		matched (3)
Napes ; unies	…	6	6		matched (3)
Nattes	...	6	6		matched (3)
Nattes ; de jongs	…	6	6		matched (3)
Nattes ; de paille	…	6	6		matched (3)
Nattrons	...	...	...		matched (3)
Nature ; de baleine	...	2	2	Sperme (cerveaux de baleine)	matched (3)
Navets	...	0	0a		matched (3)
Navettes	...	7	7		matched (3)
Navettes ; à drapier	...	7	7		matched (3)
Neganepeau	...	6	6d	Sorte de toile, venue des Indes orientales BD	matched (3)
Nelis	...	6	6		matched (3)
Nelis ; étoffe	...	6	6		matched (3)
Nepres	...	...	...		matched (3)
Neptunes de cuivre	...	6	6		matched (3)
Nerfs de beuf	...	6	6		matched (3)
Nicaneas	cotton	6	6d	Marchandise pour le commerce de guinée, se mesurant au aulne	matched (3)
Nids ; d'oiseaux	...	2	2		matched (3)
Nina	...	...	...		matched (3)
Nipes	...	8	8	Vêtement usagé ? (Nippe)	matched (3)
Noir ; à imprimer	...	5	5		matched (3)
Noir ; à noircir	...	5	5		matched (3)
Noir ; d'Espagne	...	5	5		matched (3)
Noir ; d'ivoire	...	5	5		matched (3)
Noir ; de Chipre	...	5	5		matched (3)
Noir ; de fumée	...	5	5		matched (3)
Noisettes	...	0	0a		matched (3)
Noix	...	0	0a		matched (3)
Noix ; de Galle	...	0	0a		matched (3)
Noix ; vomiques	...	2	2		matched (3)
Noronges	...	0	0a	Oranges BD	matched (3)
Nougat	...	0	0a		matched (3)
Nousouque	...	...	...		matched (3)
Noyaux	...	2	2		matched (3)
Noyaux ; de pêche	...	2	2		matched (3)
Objets ; manufacturés ; réunis	…	8	8		matched (3)
Ocre	...	5	5		matched (3)
Ocre ; jaune	...	5	5		matched (3)
Ocre ; rouge	...	5	5		matched (3)
Odeure	...	...	...		matched (3)
Œil ; de bœuf	…	0	0a		matched (3)
Œillets	...	2	2		matched (3)
Œufs	...	0	0a		matched (3)
Œufs ; de phaisants	...	0	0a		matched (3)
Œufs ; de poules	...	0	0a		matched (3)
Oignons	...	0	0a		matched (3)
Oignons ; communs	...	0	0a		matched (3)
Oignons ; de fleurs	...	2	2		matched (3)
Oiseaux ; de proie	…	0	0a		matched (3)
Oiseaux ; petits	…	0	0a		matched (3)
Olives	...	0	0a		matched (3)
Ongles ; de beuf	...	2	2		matched (3)
Ongles ; de carres	...	2	2		matched (3)
Onglons ; de bœuf	...	2	2		matched (3)
Opium	...	2	2		matched (3)
Opoponax	...	2	2	Résine	matched (3)
Optiques	...	8	8		matched (3)
Or ; batty	...	6	6		matched (3)
Or ; en baissette	...	6	6		matched (3)
Or ; en coquilles	...	6	6		matched (3)
Or ; faux	...	6	6		matched (3)
Or ; fin , en feuille	...	6	6		matched (3)
Or ; fin ; en lingot	...	9	9		matched (3)
Or ; fin ; en monnaie	...	9	9		matched (3)
Or ; fin ; en pailette	...	6	6		matched (3)
Or en lingots	...	9	9		matched (3)
Or et argent  ; en lingots	...	6	6		master only (1)
Or et argent ; balles	...	6	6		matched (3)
Or et argent ; battu	...	6	6		matched (3)
Or et argent ; en lingots	...	6	6		using only (2)
Or et argent ; en lingots	...	6	6		master only (1)
Or et argent ; faux	...	6	6		matched (3)
Or et argent ; fin	...	6	6		matched (3)
Or et argent ; trail	...	6	6		matched (3)
Or fin en feuilles	...	6	6		matched (3)
Oranges	...	0	0a		matched (3)
Oranges ; aigres	...	0	0a		matched (3)
Oranges ; douces	...	0	0a		matched (3)
Orcanettes	...	2	2	Poudre issue d'une plante méditerranéenne	matched (3)
Oreillons	...	2	2	Rognures des cuirs ou peaux de bœufs, veaux, vaches, moutons dont on se sert pour faire de la colle (Savary).	matched (3)
Oreillons ; à faire colle	...	2	2		matched (3)
Orfèvrerie	…	6	6		matched (3)
Orfèvrerie ; diverse	…	6	6		matched (3)
Orfèvrerie ; en argent ; diverse	…	6	6		matched (3)
Orfèvrerie ; en argent ; vaiselle d'argent	…	6	6		matched (3)
Orfèvrerie ; en or	…	6	6		matched (3)
Orfèvrerie ; en or et argent	…	6	6		matched (3)
Orfèvrerie ; vaisselle d'agent	…	6	6		matched (3)
Organdis	cotton	6	6d	Sorte de mousseline ou toile de coton, syn.: Betille (Savary)	matched (3)
Orge	…	0	0a		matched (3)
Orge ; ?	…	0	0a		matched (3)
Orge ; en graines	…	0	0a		matched (3)
Orge ; germée	…	0	0a		matched (3)
Orge ; mondée	...	0	0a		matched (3)
Orge ; perlée	...	0	0a		matched (3)
Origanum	...	0	0a	Plantes/Origan	matched (3)
Ornements ; d'Eglise	…	8	8		matched (3)
Ornements ; de table	…	8	8		matched (3)
Orobes	…	2	2	Plante Savary	matched (3)
Orpiments	...	2	2		matched (3)
Orpin	...	2	2		matched (3)
Orseille	...	2	2	Substance colorante extraite de certains lichans	matched (3)
Ortites ; de menuisier	...	8	8		matched (3)
Os ; de bœuf	...	2	2		matched (3)
Os ; de cœur ; de bœuf	...	2	2		matched (3)
Os ; de sêche	...	2	2		matched (3)
Osserie ; de dieppe	...	2	2		matched (3)
Oüate	...	2	2		matched (3)
Outils	...	6	6		matched (3)
Outils ; à batre l'or	...	6	6		matched (3)
Outils ; à soutirer le vin	...	6	6		matched (3)
Outils ; d'horloger	...	6	6		matched (3)
Outils ; d'ouvriers	...	6	6		matched (3)
Outils ; divers	...	6	6		matched (3)
Outils ; menuisier	...	6	6		matched (3)
Outils de charpentier	...	6	6		matched (3)
Ouvrage ; de bois	...	6	6		matched (3)
Ouvrage ; de buis	...	6	6		matched (3)
Ouvrage ; de fleuret	...	6	6		matched (3)
Ouvrage ; de laine	...	6	6		matched (3)
Ouvrages ; D'airain	...	6	6		matched (3)
Ouvrages ; D'albatre	...	6	6		matched (3)
Ouvrages ; D'ozier	...	6	6		matched (3)
Ouvrages ; De bois ; doré	...	6	6		matched (3)
Ouvrages ; De bois simple	...	6	6		matched (3)
Ouvrages ; De bois simple ; Aviron	...	6	6		matched (3)
Ouvrages ; De bois simple ; Divers	...	6	6		matched (3)
Ouvrages ; De bois simple ; En bateaux	...	6	6		matched (3)
Ouvrages ; De bois simple ; En grilles de sapin	...	6	6		matched (3)
Ouvrages ; De bois simple ; En horloge	...	6	6		matched (3)
Ouvrages ; De boissellerie	...	6	6		matched (3)
Ouvrages ; De bronze	...	6	6		matched (3)
Ouvrages ; De carton	...	6	6		matched (3)
Ouvrages ; De charon	...	6	6		matched (3)
Ouvrages ; De charpentier	...	6	6		matched (3)
Ouvrages ; De cire	...	6	6		matched (3)
Ouvrages ; De codonnier en souliers	...	6	6		matched (3)
Ouvrages ; De cristal	...	6	6		matched (3)
Ouvrages ; De cuir	...	6	6		matched (3)
Ouvrages ; De cuir ; doré et argenté	...	6	6		matched (3)
Ouvrages ; De cuir ; en cordonnerie et sellerie	...	6	6		matched (3)
Ouvrages ; De cuivre ; Divers	...	6	6		matched (3)
Ouvrages ; De cuivre ; Doré et argenté	...	6	6		matched (3)
Ouvrages ; De cuivre ; Simples	...	6	6		matched (3)
Ouvrages ; De fer ; ancres	...	6	6		matched (3)
Ouvrages ; De fer ; blanc	...	6	6		matched (3)
Ouvrages ; De fer ; cricks	...	6	6		matched (3)
Ouvrages ; De fer ; divers	...	6	6		matched (3)
Ouvrages ; De fer ; en enclames	...	6	6		matched (3)
Ouvrages ; De fournisseur	...	6	6		matched (3)
Ouvrages ; De joncs	...	6	6		matched (3)
Ouvrages ; De laiton	...	6	6		matched (3)
Ouvrages ; De marqueterie	...	6	6		matched (3)
Ouvrages ; De mécanique	...	6	6		matched (3)
Ouvrages ; De menuiserie	...	6	6		matched (3)
Ouvrages ; De métal	...	6	6		matched (3)
Ouvrages ; De mi soie	...	6	6		matched (3)
Ouvrages ; De modes ; Divers	...	8	8		matched (3)
Ouvrages ; De modes ; En fleurs artificielles	...	8	8		matched (3)
Ouvrages ; De passmenterie	...	6	6		matched (3)
Ouvrages ; De pattes	...	6	6		matched (3)
Ouvrages ; De peaux	...	6	6		matched (3)
Ouvrages ; De pierres	...	6	6		matched (3)
Ouvrages ; De platre	...	6	6		matched (3)
Ouvrages ; De plomb	...	6	6		matched (3)
Ouvrages ; De plumes	...	6	6		matched (3)
Ouvrages ; De porcelaine	...	6	6		matched (3)
Ouvrages ; De sculpture	...	6	6		matched (3)
Ouvrages ; De sellerie	...	6	6		matched (3)
Ouvrages ; De serrurerie	...	6	6		matched (3)
Ouvrages ; De serrurerie ; en ressorts de voitures	...	6	6		matched (3)
Ouvrages ; De soie	...	6	6		matched (3)
Ouvrages ; De soie et dorure	...	6	6		matched (3)
Ouvrages ; De spa	...	6	6		matched (3)
