orthographic_pierre,FDO simpl,simplification,status,beforeItems,afterItems,obsolete,imprimatur
toile ; de coton ; mousseline,,toile ; de coton ; mousseline,rewire,[Toille ; coton ; mousseline] [Toiles ; De coton ; Mousseline] [Toiles ; de coton ; mousseline] [Toile ; de coton ; mousseline],,yes,
toile ; de coton ; peinte,,toile ; de coton ; peinte,rewire,[toile de coton peinte] [Toille ; coton ; peinte] [Toille ; de coton ; peinte] [Toiles ; de coton ; peinte] [Toile ; de coton ; peinte] [Toile de coton pinte],,yes,
toile ; de coton ; persiste,,toile ; de coton ; persiste,rewire,[Toile ; de coton ; persiste],,yes,
toile ; de coton ; piquée,,toile ; de coton ; piquée,rewire,[toille de coton picquée] [Toile ; de coton ; piquée],,yes,
toile ; de coton ; soyée,,toile ; de coton et soie,rewire,[Toile ; de coton ; soyée],,yes,
toile ; de coton ; teinte,,toile ; de coton ; teinte,rewire,[Toiles ; de coton ; teinte] [Toile ; de coton ; teinte],,yes,
toile ; de coton ; vieux,,toile ; de coton ; vieux,rewire,[Toille cotton vieu],,yes,
toile ; de couleur,,toile ; de couleur,rewire,[Toile ; de couleurs] [Toile; de couleur] [Toile ; de couleur],,yes,
toile ; de crin,,toile ; de crin,rewire,[Toiles ; De crin] [Toile ; De Crin] [Toile ; en crin] [Toile; de crin] [Toiles ; de crin] [Toille de crin] [Toile ; de crin] [toille de crin] [toile de crin] [Toile de crin],,yes,
toile ; de crin ; cirée,,toile ; de crin ; cirée,rewire,[Toiles cirées et de crin],,yes,
toile ; de fil ; blanche,,toile ; de fil ; blanche,rewire,[Toiles ; de fil ; blanche],,yes,
toile ; de fil ; commune,,toile ; de fil ; commune,rewire,[Toiles ; de fil ; commune],,yes,
toile ; de fil ; en coutil,,toile ; de fil ; en coutil,rewire,[Toile ; de fil ; en coutil],,yes,
toile ; de Flandre,,toile ; de Flandre,rewire,[Toile ; de Flandre] [Toiles ; de Flandre] [Toile ; de flandre] [Toille de Flandre] [Toile de Flandre] [Toille de flandres],,yes,
toile ; de fougère,,toile ; de fougère,rewire,[Toile ; de fougere] [Toile de fougere] [Toile de fourgere] [Toile de Fougere] [Toille de fougère] [Toille de fougere],,yes,
toile ; de France,,toile ; de France,rewire,[Toile ; de France],,yes,
toile ; de Grenade,,toile ; de Grenade,rewire,[Toile ; de grenade],,yes,
toile ; de Grenoble,,toile ; de Grenoble,rewire,[Toile ; de Grenoble] [Toile; de Grenoble] [Toile ; de grenoble],,yes,
toile ; de gris,,toile ; de gris,rewire,[Toile de gris],,yes,
toile ; de Hanovre,,toile ; de Hanovre,rewire,[Toile ; d'Hanovre],,yes,
toile ; de Hollande,,toile ; d'Hollande,rewire,[Toile de Hollande] [Toile ; de Hollande] [Toiles ; d'Hollande] [Toile ; d'Hollande] [Toille d'holande] [toile d'hollande] [toille d'hollande] [toile d'holande] [Toile d'Hollande] [Toile ; d'hollande] [Toille d'Hollande] [Toile d'Holland] [Toille ; de Holande],,yes,
toile ; de Laval,,toile ; de Laval,rewire,[Toiles ; de Laval] [Toilles de Laval] [Toile de Laval] [Toille de Lavac] [Toille de laval] [Toile ; de laval] [Toile ; de Laval] [Toille deLaval] [Toiles de Laval] [Toille de Laval],,yes,
toile ; de Levant,,toile ; du Levant,rewire,[Toile ; De levant] [Toile ; de Levant] [Toile ; de levant],,yes,
toile ; de Levant ; divers,,toile ; du Levant,rewire,[Toile ; de Levant ; diverses],,yes,
toile ; de Lille,,toile ; de Lille,rewire,[Toile ; de Lille],,yes,
toile ; de lin,,toile ; de lin,rewire,[Toile ; De lin] [Toiles ; de lin] [Toile de Lin] [Toiles de Lin] [Toille ; de lin] [Toillle de lin] [Toilles de lin] [Toile ; de lin] [Toille de lain] [Toille en lin] [Toille de lin] [Toille de Lin] [Toille ; de Lin] [Toiles de lin] [Toile de lin],,yes,
toile ; de lin ; à doubler,,toile ; de lin ; à doubler,rewire,[Toile ; de lin ; à doubler],,yes,
toile ; de lin ; à matelas,,toile ; de lin ; à matelas,rewire,[Toile ; de lin ; à matelats],,yes,
toile ; de lin ; au lait,,toile ; de lin ; au lait,rewire,[Toile ; de lin ; au lait],,yes,
toile ; de lin ; batiste,,toile ; de lin ; batiste,rewire,[Toile ; de lin ; baptiste] [Toiles ; De pin ; Batistes] [Toiles ; De lin ; Batiste] [Toile ; De lin ; Batiste] [Toiles ; de lin ; batiste] [Toile ; de lin ; batiste],,yes,
toile ; de lin ; blanche,,toile ; de lin ; blanche,rewire,"[toile de lin blanche] [Toile de lin, blanche] [Toiles de lin, blanches] [Toile ; de lin ; blanche ;] [Toile ; De lin ; Blanches] [Toile ; de lin ; blanch] [Toille ; de lin ; blanche] [Toiles ; de lin ; blanche] [Toile ; de lin ; Blanche] [Toile ; de lin blanche] [Toile ; de lin ; blanche] [Toile de lin blanche]",,yes,
toile ; de lin ; blanche ; commune,,toile ; de lin ; blanche,rewire,[Toile ; de lin ; blanche ; commune],,yes,
toile ; de lin ; brochée,,toile ; de lin ; brochée,rewire,[Toile ; de lin ; brochée],,yes,
toile ; de lin ; cirée,,toile ; de lin ; cirée,rewire,[Toile ; de lin ; cirée],,yes,
toile ; de lin ; claire,,toile ; de lin ; claire,rewire,[Toile ; de lin ; claire],,yes,
toile ; de lin ; claire et gaze,,toile ; de lin ; claire et gaze,rewire,[Toiles ; de lin ; claire et gaze],,yes,
toile ; de lin ; commune,,toile ; de lin,rewire,[Toiles ; de lin ; commune] [Toile ; de lin ; commune],,yes,
toile ; de lin ; coutil,,toile ; de lin ; coutil,rewire,[Toiles ; de lin ; coutit],,yes,
toile ; de lin ; crue,,toile ; de lin ; crue,rewire,[Toile ; de lin ; crüe] [Toile ; de lin ; crue],,yes,
toile ; de lin ; d'Abbeville,,toile ; de lin ; d'Abbeville,rewire,[Toile ; de lin ; d'Abbeville],,yes,
toile ; de lin ; d'Alençon,,toile ; de lin ; d'Alençon,rewire,[Toile ; de lin ; d'Alençon],,yes,
toile ; de lin ; d'Amiens,,toile ; de lin ; d'Amiens,rewire,[Toile ; de lin ; d'Amiens],,yes,
toile ; de lin ; de Beaujolais,,toile ; de lin ; de Beaujolais,rewire,[Toile ; de lin ; de Beaujolais],,yes,
toile ; de lin ; de Beauvais,,toile ; de lin ; de Beauvais,rewire,"[Toile ; De lin ; Beauvais] [Toile ; de lin , de Beauvais] [Toile; de lin; de Beauvais] [Toile ; de lin ; de beauvais] [Toiles ; de lin ; de Beauvais] [Toile ; de lin ; de Beauvais]",,yes,
toile ; de lin ; de bernay,,toile ; de lin ; de bernay,rewire,[Toile ; de lin ; de bernay],,yes,
toile ; de lin ; de Cholet,,toile ; de lin ; de Cholet,rewire,[Toile ; De Lin ; Choler] [Toile ; de lin ; cholet] [Toile ; de lin ; de Cholet] [Toile ; de lin ; Cholet],,yes,
toile ; de lin ; de Flandre,,toile ; de lin ; de Flandre,rewire,[Toile ; de lin ; de flandres] [Toile ; De Lin ; De Flandre] [Toile ; de lin ; de Flandre] [Toile; de lin; de Flandre] [Toile ; de lin ; de flandre],,yes,
toile ; de lin ; de Frise,,toile ; de lin ; de Frise,rewire,[Toile ; de lin ; de frize],,yes,
toile ; de lin ; de Gand,,toile ; de lin ; de Gand,rewire,[Toile ; de lin ; de gand],,yes,
toile ; de lin ; de Hollande,,toile ; de lin ; de Hollande,rewire,[Toile ; De lin ; D'hollande] [Toile ; de lin ; de Hollande] [Toile ; de lin ; Hollande] [Toile; de lin; d'Hollande] [Toile ; de lin ; de hollande] [Toile ; de lin ; d'Hollande] [Toile ; de lin ; d'hollande] [Toile ; de lin d'hollande],,yes,
toile ; de lin ; de Laval,,toile ; de lin ; de Laval,rewire,[Toile ; De Lin ; De Laval] [Toile ; de lin ; de Lavat] [Toile; de lin; de Laval] [Toile ; de lin ; de laval] [Toiles ; de lin ; de Laval] [Toile ; de lin de Laval] [Toile ; de lin ; de Laval],,yes,
toile ; de lin ; de Lille,,toile ; de lin ; de Lille,rewire,[Toile ; De Lin ; De Lille] [Toiles ; de lin ; de Lille] [Toile ; de lin ; de Lille],,yes,
toile ; de lin ; de Marigny,,toile ; de lin ; de Marigny,rewire,[Toile ; de lin ; de Marigny] [Toile ; de lin ; deMarigny],,yes,
toile ; de lin ; de Pinon,,toile ; de lin ; de Pinon,rewire,[Toiles ; De lin ; De Pinon],,yes,
toile ; de lin ; de Rouen,,toile ; de lin ; de Rouen,rewire,[Toile; de lin; de Roüen] [Toile ; de lin ; de rouen] [Toile ; de lin de Roüen] [Toiles ; de lin ; de Roüen] [Toile ; de lin ; de Roüen] [Toile ; de lin ; de Rouen],,yes,
toile ; de lin ; de Russie,,toile ; de lin ; de Russie,rewire,[Toile ; de lin ; de Russie],,yes,
toile ; de lin ; de Senlis,,toile ; de lin ; de Senlis,rewire,[Toile ; de lin ; de Senlis],,yes,
toile ; de lin ; de Servins,,toile ; de lin ; de Servins,rewire,[Toile ; de lin ; de Servins],,yes,
toile ; de lin ; de St. Malo,,toile ; de lin ; de St. Malo,rewire,[Toile ; de lin ; de St. Malo],,yes,
toile ; de lin ; de Troyes,,toile ; de lin ; de Troyes,rewire,[Toile; de lin; de Troyes] [Toile ; de lin ; de troyes] [Toile ; de lin ; de Troyes] [Toiles ; de lin ; de Troyes],,yes,
toile ; de lin ; de Valenciennes,,toile ; de lin ; de Valenciennes,rewire,[Toile ; De Lin ; De valenciennes] [Toile ; de lin ; de Valencienness] [Toile ; de lin ; de valenciennes] [Toile ; de lin ; Valenciennes] [Toile ; de lin ; de Valenciennes],,yes,
toile ; de lin ; fine ; de Hollande,,toile ; de lin ; fine ; de Hollande,rewire,[Toile ; de lin ; fine de hollande],,yes,
toile ; de lin ; gingas,,toile ; de lin ; gingas,rewire,[Toile ; de lin ; gingas],,yes,
toile ; de lin ; grasse,,toile ; de lin ; grosse,rewire,[Toile ; de lin ; grasse],,yes,
toile ; de lin ; grosse,,toile ; de lin ; grosse,rewire,[Toiles ; de lin ; grosse] [Toile ; de lin ; grosse],,yes,
toile ; de lin ; grosse pointe,,toile ; de lin ; grosse pointe,rewire,[Toile ; de lin ; grosse pointe],,yes,
toile ; de lin ; imprimée,,toile ; de lin ; imprimée,rewire,[toile de lin imprimée] [Toile ; de lin ; imprimee] [Toile ; de lin ; imprimée],,yes,
toile ; de lin ; indigo,,toile ; de lin ; indigo,rewire,[Toile ; de lin ; indigo],,yes,
toile ; de lin ; lingerie,,toile ; de lin ; lingerie,rewire,[Toile ; de lin ; lingerie],,yes,
toile ; de lin ; linon,,toile ; de lin ; linon,rewire,[Toile ; de lin ; linon] [Toile ; de lin ; limon],,yes,
toile ; de lin ; linon ; brodée,,toile ; de lin ; linon ; brodée,rewire,[Toile ; de lin ; limon ; brodée],,yes,
toile ; de lin ; platille,,toile ; de lin ; platille,rewire,[Toiles ; de lin ; platille] [Toile ; de lin ; platille] [Toile ; de lin ; latille],,yes,
toile ; de lin ; rayée,,toile ; de lin ; rayée,rewire,[toile de lin rayée] [Toile ; de lin ; rayée],,yes,
toile ; de lin ; royale,,toile ; de lin ; royale,rewire,[Toile ; de Lin ; Royale] [Toile ; de lin ; Royale],,yes,
toile ; de lin ; teinte,,toile ; de lin ; teinte,rewire,[toille de lin teinte] [toile de lin teinte] [Toile ; de lin ; teinté] [Toile ; de lin ; teuile] [Toile ; de lin ; teinte] [Toile ; de lin teinte],,yes,
toile ; de lin ; toilette,,toile ; de lin ; toilette,rewire,[Toiles ; de lin ; toilette] [Toile ; de lin ; toilette],,yes,
toile ; de lisson,,toile ; de lisson,rewire,[Toille de lisson],,yes,
toile ; de Lyon,,toile ; de Lyon,rewire,[Toile ; de Lyon] [Toile; de Lyon],,yes,
toile ; de Marigny,,toile ; de Marigny,rewire,[Toile ; de marigny] [Toile ; de Marigny],,yes,
toile ; de Moûtiers,,toile ; de Moûtiers,rewire,[Toile ; de moutiers],,yes,
toile ; de paille,,toile ; de paille,rewire,[Toile de paille] [Toile de Paille] [toille de Paille],,yes,
toile ; de ploc,,toile ; de ploc,rewire,[Toile ; de plock] [Toile; de plocq] [Toile ; de plocq] [Toile ; de ploc],,yes,
toile ; de Pontivy,,toile ; de Pontivy,rewire,[Toile de pontivy],,yes,
toile ; de Pouldavi,,toile ; de Pouldavi,rewire,[Toille de Pouldavi],,yes,
toile ; de Quintin,,toile ; de Quintin,rewire,[Toille de Quintin] [Toile de Quintin] [Toille ; de Quintin],,yes,
toile ; de Rosconne,,toile ; de Rosconne,rewire,[Toile ; de Rosconne],,yes,
toile ; de Rouen,,toile ; de Rouen,rewire,[Toile; de Roüen] [Toile ; de Roüen] [Toile ; de Rouen] [Toille de rouen] [Toile de Rouen] [Toiles de Rouen] [Toille de Rouen],,yes,
toile ; de Russie,,toile ; de Russie,rewire,[Toile ; de Russie],,yes,
toile ; de Saint Jean,,toile ; de Saint Jean,rewire,[Toile ; de Saint Jean] [Toille de Saint-Jean],,yes,
toile ; de Saintonge,,toile ; de Saintonge,rewire,[Toile ; de Saintongs] [Toile; de Saintonges] [Toile ; de saintonges] [Toiles ; de Saintonges] [Toile ; de Saintonges] [Toile ; de Saintonge] [Toille de Saintonge] [Toile de Saintonges],,yes,
toile ; de Sevigneau,,toile ; de Sevigneau,rewire,[Toille de Sevigneau],,yes,
toile ; de soie,,toile ; de soie,rewire,[Toille ; de Soye],,yes,
toile ; de St Georges,,toile ; de St Georges,rewire,[Toile ; de St Georges] [Toile de St George] [Toile de Saint-Georges],,yes,
toile ; de Vimoutiers,,toile ; de Vimoutiers,rewire,[Toile ; Idem ; de Vinroutiers] [Toile ; de Virmoutiers] [Toile ; de Vimoutiers],,yes,
toile ; de voile,,toile ; de voile,rewire,[Toile ; de voile] [Toille de voille] [Toile de Voile],,yes,
toile ; découpée,,toile ; découpée,rewire,[Toile ; découpée],,yes,
toile ; diverse ; en batiste,,toile ; diverse ; en batiste,rewire,[Toiles ; diverses ; en batiste],,yes,
toile ; du Béarn,,toile ; du Béarn,rewire,[Toile ; de Béarn] [Toile ; de bearn] [Toile ; de Bearn],,yes,
toile ; du Lyonnais,,toile ; du Lyonnais,rewire,[Toile ; du Lyonnais],,yes,
toile ; dure,,toile ; dure,rewire,[Toile ; dure] [Toile; dure] [Toiles ; dure],,yes,
toile ; embabis,,toile ; embabis,rewire,[Toile ; embabis] [Toile; embabis] [toiles embabis],,yes,
toile ; en chemise,,toile ; en chemise,rewire,[Toille en Chemise] [Toille ; en chemise],,yes,
toile ; en fair,,toile ; en fair,rewire,[Toile ; en fair],,yes,
toile ; en serviette,,toile ; en serviette,rewire,[Toile ; en serviette] [Toiles en fervielle],,yes,
toile ; et bonneterie,,toile et bonneterie,rewire,[Toile ; et bonneterie],,yes,
toile ; et fil,,toile et fil,rewire,[Toile ; et fil],,yes,
toile ; étrangère,,toile ; étrangère,rewire,[Toiles ; étrangères] [Toiles ; Etrangères] [Toile ; étrangères] [Toile ; Etrangères] [Toile ; étrangeres] [Toile ; étrangere] [Toile ; étrangère],,yes,
toile ; étrangère ; du Piémont,,toile ; étrangère ; du Piémont,rewire,[Toiles ; étrangères ; du Piémont],,yes,
toile ; façonnée en sac,,toile ; sac,rewire,[toille façonnée en sacs],,yes,
toile ; fine,,toile ; fine,rewire,[Toille ; fine] [Toiles ; fines] [Toile; fine] [Toile ; fin] [Toile ; fine] [Toiles ; fine] [Toile fine],,yes,
toile ; flamande,,toile ; flamande,rewire,[Toile flamande],,yes,
toile ; gingas ; nationale,,toile ; gingas ; nationale,rewire,[Toilles ; gingas ; nationales],,yes,
toile ; gomme,,toile ; gommée,rewire,[Toile ; gomme],,yes,
toile ; gracienne,,toile ; gracienne,rewire,[Toile ; gracienne],,yes,
toile ; grise,,toile ; grise,rewire,[Toile ; Grise] [Toiles ; grise] [Toile ; grise] [Toile grise] [Toille grise],,yes,
toile ; grise ; non battue,,toile ; grise ; non battue,rewire,[Toille grise non battue],,yes,
toile ; gros fort,,toile ; gros fort,rewire,[Toile ; Gros fort] [Toile; gros fort] [Toile ; grosfort] [Toile ; gros fort],,yes,
toile ; guinée,,toile ; guinée,rewire,[Toile ; guinée] [Toille guinée],,yes,
toile ; guinée ; bleue,,toile ; guinée ; bleue,rewire,[Toile ; guinée ; bleue],,yes,
toile ; idem ; d'Olonne,,toile ; idem ; d'Olonne,rewire,[Toile ; Idem ; d'Olonne],,yes,
toile ; idem ; fin,,toile ; idem ; fin,rewire,[Toile ; idem ; fin],,yes,
toile ; imprimée,,toile ; imprimée,rewire,[Toile; imprimée] [Toile ; imprimée],,yes,
toile ; indienne,,toile ; indienne,rewire,[Toiles ; indiennes] [Toile ; indienne],,yes,
toile ; kettroy,,toile ; kettroy,rewire,[Toile ; kettroy],,yes,
toile ; killis,,toile ; killis,rewire,[Toile ; kittis] [Toile; Killis] [Toile ; Killis] [Toile ; killis],,yes,
toile ; lavée,,toile ; lavée,rewire,[Toile ; lavée] [Toile; lavée],,yes,
toile ; linge de table ; vieux,,toile ; linge de table ; vieux,rewire,[Toile ; linge de table ; vieux],,yes,
toile ; linon,,toile ; linon,rewire,[Toilles ; linon] [Toile; linon] [Toile ; Linon] [Toile ; limon] [Toile ; linon],,yes,
toile ; linon ; batiste,,toile ; linon ; batiste,rewire,[Toile ; linon ; batiste],,yes,
toile ; lustrée,,toile ; lustrée,rewire,[Toile; lustrée] [Toile ; lustrée],,yes,
toile ; manche,,toile ; manche,rewire,[Toille manche],,yes,
toile ; manouf,,toile ; manouf,rewire,[Toile ; monouf] [Toile; manouf] [Toile ; Manouf] [Toile ; manouf] [Toiles ; manouf] [Toile manouf] [toiles manouf] [Toille manouf],,yes,
toile ; montagne,,toile ; montagne,rewire,[Toile ; montagne],,yes,
toile ; nankin,,toile ; étoffe ; coton ; nankin,rewire,[Toile ; mankin] [Toile ; Mankin] [Toille ; Nankin] [Toiles ; Nankin] [Toile nankin] [Toiles nankin],,yes,
toile ; non battue,,toile ; non battue,rewire,[Toile; non battue] [Toile ; non battue] [Toile ; non battüe] [Toiles ; non battue],,yes,
toile ; ouvrée,,toile ; ouvrée,rewire,[Toile ; ouvré] [Toile ; ouvrée],,yes,
toile ; peinte ; imprimée,,toile ; peinte ; imprimée,rewire,[Toile ; peinte ; imprimée],,yes,
toile ; petite,,toile ; petite,rewire,[Toile ; petite] [Toile petite],,yes,
toile ; poméranienne,,toile ; de Poméranie,rewire,[Toile poméranienne],,yes,
toile ; pour ameublement,,toile ; pour ameublement,rewire,[toile pour ameublement],,yes,
toile ; pour matelas,,toile ; à matelas,rewire,[toile pour matelats],,yes,
toile ; pour serviette,,toile ; pour serviette,rewire,[toile pour serviettes],,yes,
toile ; pour tabac,,toile ; pour tabac,rewire,[toile pour tabac],,yes,
toile ; pour tableau,,toile ; pour tableau,rewire,[Toile ; pour tableaux],,yes,
toile ; pour talliet,,toile ; pour talliet,rewire,[toile pour talliet],,yes,
toile ; pour tente,,toile ; pour tente,rewire,[Toile ; pour tentes],,yes,
toile ; presitte,,toile ; presitte,rewire,[Toile ; presitte],,yes,
toile ; pressée,,toile ; pressée,rewire,[Toile ; pressée],,yes,
toile ; rouge,,toile ; rouge,rewire,[toille rouge] [Toile ; rouge],,yes,
toile ; sangalette,,toile ; sangalette,rewire,[Toile; sangalette] [Toile ; Sangalette] [Toile ; sangalette],,yes,
toile ; tissée ; très fin,,toile ; fine,rewire,"[Toile tissée, très fin]",,yes,
toilette,,toilette,rewire,[Toilette] [Toilettes],,yes,
toilette ; de bois,,toilette ; de bois,rewire,[Toilette ; de bois],,yes,
tôle ; de cuivre,,tôle ; de cuivre,rewire,[Tôle de cuivre],,yes,
tombeau,,tombeau,rewire,[Tombeaux],,yes,
tonneau,,tonneau,rewire,[Tonneaux],,yes,
tonneau ; à bière,,tonneau ; à bière,rewire,[Tonneaux à bière],,yes,
tonneau ; en bois,,tonneau ; en bois,rewire,[Tonneaux en bois],,yes,
tour ; à filer,,tour ; à filer,rewire,[Tours ; à filer] [Tour ; à filer],,yes,
tour ; pour tourneur,,tour ; pour tourneur,rewire,[tour pour tourneur],,yes,
tournesol ; en drapeau,,tournesol ; en drapeau,rewire,[Tournesol en drapeau],,yes,
touron,,touron,rewire,[tourons] [Tourons] [tourrons] [Touron],,yes,
tours ; à filer,,tour ; à filer,rewire,[Tours à filer],,yes,
tours ; de lit ; de bourre,,tours ; de lit ; de bourre,rewire,[Tours de lit de bourre] [Tours ; de lit ; de bourre],,yes,
toutenague,,toutenague,rewire,[Toutenagues] [Toutenagne] [Toutenage] [toute vague] [Toutenagre] [Toutellagne] [Toutenague],,yes,
trait ; d'or,,trait ; d'or,rewire,[Trait d'or] [Trait ; d'or],,yes,
treillis ; d'Allemagne,,treillis ; d'Allemagne,rewire,[Treillis ; d'Allemagne],,yes,
tresse ; d'argent,,tresse ; d'argent,rewire,[Tresse ; d'argent],,yes,
tresse ; d'or,,tresse ; d'or,rewire,[Tresse ; d'or] [Tresses ; d'or],,yes,
tresse ; d'or et d'argent,,tresse ; d'or et d'argent,rewire,[Tresse ; or et argent],,yes,
tresse ; de fil,,tresse ; de fil,rewire,[Tresse de fil],,yes,
tresse ; de fleuret,,tresse ; de fleuret,rewire,[Tresse ; de fleuret],,yes,
tresse ; de laine,,tresse ; de laine,rewire,[Tresse de laine] [Tresses ; de laine] [Tresse ; de laine],,yes,
tresse ; de soie,,tresse ; de soie,rewire,[Tresse ; de soye] [Tresses ; de soye] [Tresse de soye],,yes,
tripe ; de laine,,tripe ; de laine,rewire,[Trippe ; de laine],,yes,
tripe ; de Lannoy,,tripe ; de Lannoy,rewire,[Trippe ; de Lannoy],,yes,
tripe ; de velours,,tripe ; de velours,rewire,[Trippe de velour] [Trippe ; de velou] [Trippe ; de velour] [Trippe de velours] [Tripes de velours] [Trippe ; de velours] [Tripe de velours] [Tripe ; de velours] [Tripe de velour] [Tripes ; de Velours],,yes,
tripe ; sur soie,,tripe ; sur soie,rewire,[trippe sur soye],,yes,
tube ; long,,tube ; long,rewire,[Tubes longs],,yes,
tuile ; courbée,,tuile ; courbée,rewire,[tuilles courbées],,yes,
tuile ; de Bretagne ; de pontivy,,toile ; de Bretagne ; de Pontivy,rewire,[Tuile ; de Bretagne ; de pontivy],,yes,
tuile ; de lin ; de Beauvais,,toile ; de lin ; de Beauvais,rewire,[Tuile ; de lin ; de Beauvais],,yes,
tuile ; de lin ; de Laval,,toile ; de lin ; de Laval,rewire,[Tuile ; de lin ; de Laval],,yes,
tuile ; plate,,tuile ; plate,rewire,[tuilles plattes],,yes,
turbot ; salé,,poisson ; turbot ; salé,rewire,[turbots salés],,yes,
tuyau ; d'orgue,,tuyau ; d'orgue,rewire,[tuyaux d'orgues] [tuyaux d'orges],,yes,
ustensile ; de ménage,,ustensile ; de ménage,rewire,[Ustensiles de ménage] [Ustensile ; de ménage],,yes,
vaisselle ; d'argent,,vaisselle ; d'argent,rewire,[vaiselle d'argent] [Vaiselle d'argnet] [Vaisselle d'agent] [Vaisselle ; d'argent] [Vaisselles d'argent] [Vaiselle d'argent] [Vaisselle d'argent],,yes,
vaisselle ; d'étain,,vaisselle ; d'étain,rewire,[Vaisselle d'Etain],,yes,
vaisselle ; d'or,,vaisselle ; d'or,rewire,[Vaisselle d'or],,yes,
vaisselle ; de bois,,vaisselle ; de bois,rewire,[Vaisselle ; de bois],,yes,
vaisselle ; plate,,vaisselle ; plate,rewire,[Vaisselle ; plate],,yes,
van ; à vanner,,van ; à vanner,rewire,[vans à vanner] [Vans à ranner] [Vans à vanner] [Van ; à vanner] [Vans ; à vanner] [Vans ; à vaner],,yes,
vas ; du Rhin,,vas ; du Rhin,rewire,[Vas du Rhin],,yes,
vase,,vase,rewire,[Vase] [Vases],,yes,
vaude,,vaude,rewire,[vaude] [Vaudes] [Vaude],,yes,
velours ; avec argent,,velours ; avec argent,rewire,[Velour ; avec argent],,yes,
velours ; de coton,,velours ; de coton,rewire,[velour de cotton] [Velour; de coton] [Velour ; de coton] [Velour de coton] [Velours ; de coton],,yes,
velours ; de Gênes,,velours ; de Gênes,rewire,[Velours ; de Genes] [Velours de gènes] [velours de gennes],,yes,
velours ; de gueux,,velours ; de gueux,rewire,[velours de gueux] [Velour; de gueux] [Velour ; de gueux] [Velours ; de gueux] [Velour ; de Gueux] [velours ; de gueux],,yes,
velours ; de soie,,velours ; de soie,rewire,[velour de soye] [Velours ; de soye],,yes,
velours ; uni,,velours ; uni,rewire,[Velour ; uni],,yes,
vendange,,vendange,rewire,[Vendanges],,yes,
verd ; d'ambre,,ambre ; vert,rewire,[Verd ; d'ambre],,yes,
verd ; d'antimoine,,drogue ; chimique et métallique ; antimoine,rewire,[Verd; d'antimoine] [Verd ; d'antimoine],,yes,
verd ; d'eau,,verd ; d'eau,rewire,[Verd d'eau],,yes,
verd ; d'Espagne,,verd ; d'Espagne,rewire,[verd d'Espagne],,yes,
verd ; de mer,,verd ; de mer,rewire,[Verd ; de mer] [Verd; de mer],,yes,
verd ; de vessie,,verd ; de vessie,rewire,[verd de vessies] [Verd ; de vessie] [Verd ;de Vessie] [Verd de vessie] [Vert de vessie],,yes,
verd ; rouge,,verd ; rouge,rewire,[Verd ; rouge],,yes,
verre ; à vin,,verre ; à vin,rewire,[Verre; a Vin],,yes,
verre ; cassé ; en groisil,,verre ; cassé ; en groisil,rewire,[Verre ; cassé ; en groisil],,yes,
verre ; cuivré ; en table,,verre ; en table,rewire,[Verre ; Cuivré ; En table],,yes,
verre ; d'Allemagne,,verre ; d'Allemagne,rewire,[Verres ; d'Allemagne],,yes,
verre ; d'Alsace,,verre ; d'Alsace,rewire,[Verres ; d'Alsace] [Verres ; d'Asace],,yes,
verre ; d'ambre,,verre ; d'ambre,rewire,[Verre d'ambre],,yes,
verre ; d'antimoine,,verre ; d'antimoine,rewire,[Verre d'antimoine] [Verre;d'antimoine] [Verre ; d'antimoine],,yes,
verre ; de baromètre,,verre ; de baromètre,rewire,[Verres ; de barometre] [Verres ; de baromètre] [Verre ; de baromètre] [Verres; de baromettre] [Verres; de barometre] [Verres ; de baromettre],,yes,
verre ; de Barrois,,verre ; de Barrois,rewire,[Verres ; de Barrois],,yes,
verre ; de Bohème,,verre ; de Bohème,rewire,[Verres ; De Bohème] [Verres ; de boheme] [Verres ; de Bohème] [Verre ; de Bohème] [Verres ; de Boheme],,yes,
verre ; de composition,,composition ; de verre,rewire,[Verre ; de composition] [Verres ; de composition],,yes,
verre ; de France,,verre ; de France,rewire,[Verre de France],,yes,
verre ; de Hessen,,verre ; de Hessen,rewire,[Verre de Hessen],,yes,
verre ; de lampe,,verre ; de lampe,rewire,[Verres ; de lampes] [Verre ; de lampe],,yes,
verre ; de Lorraine,,verre ; de Lorraine,rewire,[Verres ; De lorraine] [Verres ; de lorraine] [Verres ; de Lorraine],,yes,
verre ; de mer,,verre ; de mer,rewire,[Verre; de mer],,yes,
verre ; de montre,,verre ; de montre,rewire,[Verres ; De montre] [Verres ; De montres] [Verre ; de montre] [Verres; de montres] [Verres ; de montres] [Verres ; de montre],,yes,
verre ; de Saint Louis,,verre ; de Saint Louis,rewire,[Verres ; de Saint Louis],,yes,
verre ; de Venise,,verre ; de Venise,rewire,[Verre de Venice],,yes,
verre ; filé,,verre ; filé,rewire,[verre filé],,yes,
verre ; moulein,,verre ; moulein,rewire,[Verre moulein],,yes,
verre ; ouvré ; en table,,ouvrage ; de verre ; en table,rewire,[Verre ; Ouvré ; En table],,yes,
verre ; pour lustre,,verre ; pour lustre,rewire,[verre pour lustres],,yes,
verre ; pour montre,,verre ; pour montre,rewire,[verres pour montres],,yes,
verre ; verroterie,,verre ; verroterie,rewire,[Verres ; verroteries] [Verre ; verroterie] [Verres ; verroterie] [Verres; verroterie],,yes,
