marchandises_norm_ortho,marchandises_simplifiees,source_bdc,nbr_bdc_marchandises_norm_ortho,nbr_bdc_marchandises_simplifiees
"balai, petit","balai, petit",1,1,1
balance,balance,1,5,5
balance ; de bois,balance ; de bois,1,1,1
balance ; de cuivre,balance ; de cuivre,1,2,2
balance ; en fer,balance ; en fer,1,1,1
balance ; à la romaine,balance ; à la romaine,1,1,1
balance et ses poids,balance et ses poids,1,1,1
balance petit,balance petit,1,1,1
baldaquin,baldaquin,1,1,1
baleine,baleine,1,117,117
baleine ; coupée,baleine ; coupée,1,323,323
baleine ; coupée et en fanon,baleine ; coupée et en fanon,1,1,1
baleine ; de sarde,baleine ; de sarde,1,16,16
baleine ; en fanon,baleine ; en fanon,1,164,164
baleine ; nageoire,baleine ; nageoire,0,0,0
baleine en fanon,baleine en fanon,1,1,1
baleine ; nageoire,,1,1,31324
balle,balle,1,1,1
balle ; d'osier,balle ; d'osier,1,3,3
balle ; en fer,balle ; en fer,1,1,1
balle ; vide,balle ; vide,1,1,1
balle ; à jouer,balle ; à jouer,1,2,2
balustre,balustre,1,2,2
balzanne tannée,balzanne tannée,1,1,1
bambou,bambou,1,1,1
banc ; a couper ; la paille,banc ; a couper ; la paille,1,1,1
banc ; de sapin,banc ; de sapin,1,1,1
bande de chapeau,bande de chapeau,1,1,1
bandeau,bandeau,1,2,2
banderole,banderole,1,1,1
bandoulière,bandoulière,1,1,1
bannette ; d'osier,bannette ; d'osier,1,1,1
bannette ; de cuir,bannette ; de cuir,1,1,1
bannière ; de Damas,bannière ; de Damas,1,1,1
banquette,banquette,1,1,1
baque ; de verre,baque ; de verre,1,1,1
baquet,baquet,1,1,1
baquet de sapin,baquet de sapin,1,1,1
baracan,étoffe ; de laine ; baracan,1,121,123
baracan ; de laine,baracan ; de laine,0,0,0
baracan ; de laine,,1,1,31324
barbaçon ; de grès,barbaçon ; de grès,1,3,3
barbe ; de baleine,barbe ; de baleine,1,7,7
barbotine,barbotine,1,2,2
barbue,barbue,1,1,1
barbue ; couverte ; d'étamine,barbue ; couverte ; d'étamine,1,1,1
barbue ; de grès,barbue ; de grès,1,9,9
barbue ; de terre,barbue ; de terre,1,1,1
barbue et grès,barbue et grès,1,1,1
baressus,baressus,1,1,1
baril,baril,1,5,5
baril ; de chêne,baril ; de chêne,1,1,1
baril ; de sapin,baril ; de sapin,1,1,1
baril ; neuf,baril ; neuf,1,1,1
baril ; vide,baril ; vide,1,46,46
bariteau,bariteau,1,6,6
bariteaux,bariteaux,1,1,1
baromètre,baromètre,1,5,5
baromètre et lunette,baromètre et lunette,0,0,0
baromètres et lunette,,1,1,31324
barque ; démontée,barque ; démontée,1,1,1
barquette,barquette,1,1,1
barquette et nacelle,barquette et nacelle,1,1,1
barquette vieille,barquette vieille,1,1,1
barre,barre,1,3,3
barre ; d'anspect,barre ; d'anspect,1,22,22
barre ; d'aspect,barre ; d'aspect,1,1,1
barre ; de barrique,barre ; de barrique,1,1,1
barre ; de bois,barre ; de bois,1,24,24
barre ; de cabestan,barre ; de cabestan,1,18,18
barre ; de cabestan et d'anspect,barre ; de cabestan et d'anspect,1,1,1
barre ; de fer,fer ; en barre,1,1,1185
barre ; de fer pour les clôture,fer ; en barre ; pour les clôture,1,1,1
barre ; de futel,barre ; de futel,1,1,1
barre ; de guindeau,barre ; de guindeau,1,14,14
barre ; de guindeaux,,1,4,31324
barre ; de sapin,barre ; de sapin,1,2,2
barre ; en bois ; pour navire,barre ; en bois ; pour navire,1,1,1
barre ; maître-fond,barre ; maître-fond,1,1,1
barre ; petite,barre ; petite,1,1,1
barre ; pour édifiée,barre ; pour construction,1,1,1
barreau ; bois,barreau ; bois,1,7,7
barreau ; de sapin,barreau ; de sapin,1,1,1
barreau ; neuf,barreau ; neuf,1,2,2
barreau et planche ; bois,barreau et planche ; bois,1,5,5
barrette,barrette,1,1,1
barrique,barrique,1,1,1
barrique ; en botte,barrique ; en botte,1,21,21
barrique ; neuve,barrique ; neuve,1,5,5
barrique ; vide,barrique ; vide,1,50,50
barrique ; vieille,barrique ; vieille,1,10,10
barrique ; vieille ; vide,barrique ; vieille ; vide,1,35,35
barrois,barrois,1,8,8
bas,bas,1,6,6
bas ; assorti,bas ; assorti,1,2,2
bas ; coton,bas ; coton,1,20,20
bas ; coton et fil,bas ; coton et fil,1,1,1
bas ; d'enfant,bas ; d'enfant,1,1,1
bas ; d'estame,bas ; d'estame,1,38,38
bas ; de Leyden,bas ; de Leyden,1,1,1
bas ; de Saint Mexant,bas ; de Saint Mexant,0,0,0
bas ; de bourre ; de soie,bas ; de bourre ; de soie,1,2,2
bas ; de castor,bas ; de castor,1,9,9
bas ; de chamois,bas ; de chamois,1,5,5
bas ; de coton,bas ; de coton,1,196,196
bas ; de coton ; fil et soie,bas ; de coton ; fil et soie,0,0,0
bas ; de fil,bas ; de fil,1,241,241
bas ; de fil ; de coton,bas ; de fil ; de coton,0,0,0
bas ; de fil ; de coton ; par paire,bas ; de fil ; de coton ; par paire,0,0,0
bas ; de fil ; en paire,bas ; de fil ; en paire,1,1,1
bas ; de fil ; par paire,bas ; de fil ; par paire,1,2,2
bas ; de fil et coton,bas ; de fil et coton,1,194,194
bas ; de fil et laine,bas ; de fil et laine,1,1,1
bas ; de filoselle,bas ; de filoselle,1,136,136
bas ; de fleuret,bas ; de fleuret,1,68,68
bas ; de laine,bas ; de laine,1,416,416
bas ; de laine ; fin,bas ; de laine ; fin,1,3,3
bas ; de laine fine,bas ; de laine fine,0,0,0
bas ; de peau,bas ; de peau,1,15,15
bas ; de poil,bas ; de poil,1,1,1
bas ; de segovie,bas ; de segovie,1,1,1
bas ; de soie,bas ; de soie,1,664,664
bas ; de soie ; brodé ; d'or,bas ; de soie ; brodé ; d'or,0,0,0
bas ; de soie ; brodé ; or et argent,bas ; de soie ; brodé ; or et argent,0,0,0
bas ; de soie ; pour femme,bas ; de soie ; pour femme,0,0,0
bas ; de soie ; à coin d'argent,bas ; de soie ; à coin d'argent,1,1,1
bas ; de soie ; à coin d'or,bas ; de soie ; à coin d'or,1,1,1
bas ; de soie ; à coin d'or et d'argent,bas ; de soie ; à coin d'or et d'argent,1,2,2
bas ; de soie brodée,bas ; de soie brodée,1,1,1
bas ; de toile,bas ; de toile,0,0,0
bas ; drapé,bas ; drapé,1,1,1
bas ; en laine ; de Jersey,bas ; en laine ; de Jersey,1,1,1
bas ; long,bas ; long,1,1,1
bas ; poil et soie,bas ; poil et soie,0,0,0
bas ; soie et coton,bas ; de soie et coton,0,0,0
bas ; soie et laine,bas ; soie et laine,1,1,1
bas ; soie et poil,bas ; soie et poil,1,1,1
bas ; tricoté,bas ; tricoté,1,1,2
bas ; tricoté ; en laine,bas ; tricoté,1,1,2
bas ; écrier,bas ; écrier,1,1,1
bas et bonnet de coton,bas et bonneterie ; bonnet de coton,1,1,1
bas et bonnet en coton,bas et bonnet en coton,1,1,1
bas et gant ; de soie,bas et gant ; de soie,0,0,0
bas et gant ; de soie,,1,1,31324
bas relief ; de marbre,bas relief ; de marbre,0,0,0
bas relief ; de marbre,,1,1,31324
"bas, gant et bonnet de laine",bonneterie ; de laine,1,1,141
"bas, gant et bonnet de laine, fil et coton",bonneterie ; fil et coton,1,1,1
basane,basane,1,11,11
basane ; tannée,basane ; tannée,1,119,119
basin,basin,1,236,236
basin ; blanc,basin ; blanc,1,1,1
