marchandises,marchandises_normalisees_orthogr,source_bdc,nbr_bdc_marchandises,nbr_bdc_marchandises_normalisees
Fil ; à dentelles,fil ; à dentelle,1,1,71
Fil ; à faire dentelle,fil ; à dentelle ; mi fin,1,1,5
Fil ; à faire toile cru,fil ; à faire toile cru,1,1,1
Fil ; à folle,fil ; à folle,1,1,6
Fil ; à gans,fil ; à gant,1,1,5761
Fil ; à gargourfe,fil ; à gargousse,1,1,5761
Fil ; à marquer,fil ; à marquer,1,4,9
Fil ; à papillon,fil ; à papillon,1,14,16
Fil ; à pavillon,fil ; à papillon,1,1,16
Fil ; à relingues,fil ; à papillon,1,1,16
Fil ; à rez,fil ; à rez,1,8,34
Fil ; à seme,fil ; à senne,1,1,8
Fil ; à senne,fil ; à senne,1,4,8
Fil ; à sennes,fil ; à senne,1,1,8
Fil ; à sisserans,fil ; à tisserand,1,1,4
Fil ; à tisserand,fil ; à tisserand,1,2,4
Fil ; à tisserand ; dechenette,fil ; à tisserand ; de chenette,1,1,1
Fil ; à tisserand ; divers,fil ; à tisserand ; divers,1,2,2
Fil ; à tricoter,fil ; à tricoter,1,1,2
Fil ; à voile,fil ; à voile,1,83,178
Fil ; à voiles,fil ; à voile,1,6,178
Fil ; écru,fil ; écru,1,2,2
Fil ; épinal,fil ; Épinal,1,2,5761
Fil ; épinal ; blanc,fil ; blanc ; épinal,1,3,5
Fil ; épinal blanc,fil ; blanc ; épinal,1,1,5
Fil A Retz,fil ; à rez,1,2,34
Fil A Toile,fil ; à toile,1,2,3
Fil A Voile,fil ; à voile,1,4,178
Fil A coudre,fil ; à coudre,1,3,125
Fil Arez,fil ; à rez,1,4,34
Fil a Retz,fil ; à rez,1,1,34
Fil a Réz,fil ; à rez,1,1,34
Fil a Sennes,fil ; à Sennes,1,1,4
Fil a Voile,fil ; à voile,1,8,178
Fil a brods,fil ; à broder,1,1,7
Fil a coudre,fil ; à coudre,1,9,125
Fil a marques,fil ; à marquer,1,1,9
Fil a rets,fil ; à rez,1,1,34
Fil a retz,fil ; à rez,1,4,34
Fil a senne,fil ; à Sennes,1,1,4
Fil a voile,fil ; à voile,1,13,178
Fil a voille,fil ; à voile,1,1,178
Fil arcts,fil ; arez,1,1,2
Fil arets,fil ; à rez,1,1,34
Fil auville,fil ; auville,1,1,1
Fil blanc,fil ; blanc,1,6,24
Fil blanc a coudre,fil ; à coudre ; blanc,1,1,2
Fil blanc à coudre,fil ; à coudre ; blanc,1,1,2
Fil d'Etoupe,fil ; d'étoupe,1,1,49
Fil d'acier,fil ; d'acier,0,0,0
Fil d'or et d'argent,fil ; dorure ; or et argent,1,1,19
Fil d'or et d'argent faux,fil ; dorure ; or et argent ; faux,1,1,1
Fil d'or et d'argent fin,fil ; dorure ; or et argent ; fin,1,1,18
Fil d'étampe,fil ; d'étame,1,1,2
Fil de Bretagne,fil ; de Bretagne,1,3,7
Fil de Chanvre,fil ; de chanvre,1,1,101
Fil de Coton,fil ; de coton,1,1,8
Fil de Cotton,fil ; de coton,1,1,8
Fil de Fer,fil ; de fer,1,44,46
Fil de Laine,fil ; de laine,1,1,7
Fil de Laiton,fil ; de laiton,1,24,407
Fil de Laton,fil ; de laiton,1,3,407
Fil de Latton,fil ; de laiton,1,1,407
Fil de Leton,fil ; de laiton,1,2,407
Fil de Lin,fil ; de lin,1,5,27
Fil de Léton,fil ; de laiton,1,4,407
Fil de Morlaix,fil ; de Morlaix,1,1,1
Fil de Remes,fil ; de Rennes,1,1,57
Fil de Renne,fil ; de Rennes,1,1,57
Fil de Rennes,fil ; de Rennes,1,33,57
Fil de Retz,fil ; à rez,1,3,34
Fil de Rome,fil ; de Rennes,1,1,57
Fil de Rènnes,fil ; de Rennes,1,2,57
Fil de Toile,fil ; à toile,1,1,3
Fil de Turquie,fil ; de Turquie,0,0,0
Fil de Voile,fil ; à voile,1,3,178
Fil de carret,fil ; de caret,1,1,17
Fil de caton,fil ; de coton,1,1,8
Fil de chanure,fil ; de chanvre,1,1,101
Fil de chanvre,fil ; de chanvre,1,2,101
Fil de chevre,fil ; de chanvre,1,2,101
Fil de chèvre,fil ; de chanvre,1,1,101
Fil de chévre,fil ; de chanvre,1,1,101
Fil de coton,fil ; de coton,1,2,8
Fil de cotons,fil ; de coton,1,1,8
Fil de coulleur,fil ; de couleur,1,1,1
Fil de cuivre,fil ; de cuivre,0,0,0
Fil de fer,fil ; de fer,1,28,445
Fil de fer ; assorti,fil ; de fer ; assorti,1,1,445
Fil de fer ; divers,fil ; de fer ; divers,1,13,445
Fil de fer ; gros,fil ; de fer ; gros,1,1,445
Fil de fer ; passe perle,fil ; de fer ; passe perle,1,1,445
Fil de fer ; à cardes,fil ; de fer ; à carde,1,1,445
Fil de fer à cardre,fil ; de fer ; à carde,1,1,1
Fil de fer à diverse,fil ; de fer ; divers,1,1,1
Fil de flandre fin,fil ; de Flandre ; fin,1,1,1
Fil de laine,fil ; de laine,0,0,0
Fil de laine à coudre,fil ; de laine ; à coudre,1,1,1
Fil de laiton,fil ; de laiton,0,0,0
Fil de laret,fil ; de layette,1,1,10
Fil de laton,fil ; de laiton,1,8,407
Fil de latton,fil ; de laiton,1,5,407
Fil de leton,fil ; de laiton,1,3,407
Fil de lin,fil ; de lin,1,4,27
Fil de lin ; bis ; blanc,fil ; de lin ; bis ; blanc,1,1,10
Fil de lin et de chanvre,fil ; de lin et de chanvre,1,209,209
Fil de léton,fil ; de laiton,1,26,407
Fil de poil de chevre,fil ; de poil ; de chèvre,1,7,14
Fil de reines,fil ; de Rennes,1,1,57
Fil de rennes,fil ; de Rennes,1,2,57
Fil de retz,fil ; à rez,1,1,34
Fil de rènes,fil ; de Rennes,1,1,57
Fil de soie,fil ; de soie,0,0,0
Fil double,fil ; double,0,0,0
Fil d’argent,fil ; d'argent,0,0,0
Fil d’estame,fil ; d'étame,0,0,0
Fil d’or,fil ; d'or,0,0,0
Fil en Fer,fil ; de fer,1,2,2
Fil en cuivre,fil ; de cuivre,0,0,0
Fil en laton,fil ; de laiton,1,1,407
Fil en lin,fil ; de lin,0,0,0
Fil en masse,fil ; en masse,1,9,37
Fil gros,fil ; gros,1,1,1
Fil or et argent,fil ; or et argent ; fin,1,2,2
Fil pour dentelles ?,fil ; pour dentelle ?,0,0,0
Fil retore,fil ; retord,1,1,9
Fil s Aretz,fil ; à rez,1,1,34
Fil s de laton,fil ; de laiton,1,1,407
Fil tord,fil ; tord,1,1,7
Fil à Fondre,fil ; à fondre,1,1,1
Fil à Senne,fil ; à Sennes,1,1,4
Fil à Sennes,fil ; à Sennes,1,1,4
Fil à Voile,fil ; à voile,1,8,178
Fil à coudre,fil ; à coudre,1,17,125
Fil à fol,fil ; à folle,1,4,6
Fil à forme,fil ; à forme,1,1,1
Fil à gans,fil ; à gant,1,1,1
Fil à lignes,fil ; à ligne,1,1,1
Fil à marques,fil ; à marquer,1,1,9
Fil à rez,fil ; à rez,1,2,34
Fil à tricotter,fil ; à tricoter,0,0,0
Fil à voile,fil ; à voile,1,18,178
Fil à voiles,fil ; à voile,1,1,178
Fil à voille,fil ; à voile,1,3,178
Fil à voilles,fil ; à voile,1,1,178
Filages,filage,0,0,0
Filain,filin,1,46,46
Filasse,filasse,1,6,6
Files à pescher,filet ; pour la pêche,1,1,39
Filet ; pour la pêche,filet ; pour la pêche,1,1,39
Filet ; à pêcher,filet ; à pêcher,1,1,5761
Filet ; à sardineaux,filet ; à sardine,1,1,1
Filet a pescher,filet ; pour la pêche,1,1,39
Filet à pescher,filet ; pour la pêche,1,1,39
Filets,filet,1,2,2
Filets ; d'Espars,filet ; d'Espars,1,6,56
Filets ; d'auf,filet ; d'auf,1,2,2
Filets ; d'espars,filet ; d'Espars,1,49,56
Filets ; de la pêche,filet ; pour la pêche,1,4,39
Filets ; de lapache,filet ; pour la pêche,1,2,39
Filets ; de palmes,filet ; de palme,1,1,1
Filets ; de patines,filet ; de patine,1,1,1
Filets ; lapesch,filet ; pour la pêche,1,1,39
Filets ; p. la pesche,filet ; pour la pêche,1,1,39
Filets ; pour la peche,filet ; pour la pêche,1,5,39
Filets ; pour la pesche,filet ; pour la pêche,1,1,39
Filets ; pour la pêche,filet ; pour la pêche,1,10,39
Filets ; pour le pêche,filet ; pour la pêche,1,1,39
Filets ; pr la peche,filet ; pour la pêche,1,1,39
Filets ; pr la pesche,filet ; pour la pêche,1,1,39
Filets ; pr la pêche,filet ; pour la pêche,1,2,39
Filets ; sennes,filet ; à sennes,1,1,4
Filets ; à pecher,filet ; pour la pêche,1,3,39
Filets ; à peches,filet ; pour la pêche,1,1,39
Filets ; à pêcher,filet ; pour la pêche,1,1,39
Filets ; à sardinaux,filet ; à sardinaux,1,4,9
Filets ; à sardineaux,filet ; à sardinaux,1,5,9
Filets ; à senne,filet ; à sennes,1,1,4
Filets ; à sennes,filet ; à sennes,1,2,4
Filets pour la pêche,filet ; pour la pêche,1,1,39
Filets à pecher d'espars,filet ; pour la pêche ; d'Espars,1,1,56
Fill à fol,fil ; à folle,1,1,6
Fille à coudre,fil ; à coudre,1,1,125
Filoselle,filoselle,1,5,77
Filoselle et bourre de soie,filoselle et bourre de soie,1,4,4
"Filoselle, fleures et bourre de soie","filoselle, fleuret et bourre de soie",1,9,31
"Filoselle, fleuret et bourre","filoselle, fleuret et bourre de soie",1,3,31
"Filoselle, fleuret et bourre de soie","filoselle, fleuret et bourre de soie",1,19,31
Filozelle,filoselle,1,70,77
Filozette,filoselle,1,2,77
Fils ; A coudre,fil ; à coudre,1,6,125
Fils ; A dentelle,fil ; à dentelle,1,1,71
Fils ; A voile,fil ; à voile,1,8,178
Fils ; Divers de lin et de chanvre,fil ; divers de lin et de chanvre,1,9,41
Fils ; d'argent,fil ; d'argent,1,1,7
Fils ; d'or et d'argent,fil ; d'or et d'argent,1,1,7
Fils ; de chanvre,fil ; de chanvre,1,1,101
Fils ; divers de lin et de chanvre,fil ; divers de lin et de chanvre,1,15,41
Fils ; à coudre,fil ; à coudre,1,14,125
Fils ; à coudre ; de couleur,fil ; à coudre ; de couleur,1,1,94
Fils ; à dentelle,fil ; à dentelle,1,1,71
Fils ; à voile,fil ; à voile,1,3,178
Fils d'or et d'argent,fil ; d'or et d'argent,0,0,0
"Fils de lin et de chanvre retords, teints et à coudre","fil ; de lin et de chanvre ; retord, teint et à coudre",1,14,28
"Fils de lin et de chanvre retors, teints et à coudre","fil ; de lin et de chanvre ; retord, teint et à coudre",1,14,28
Fils en lin,fil ; de lin,0,0,0
Fils filés,fil,0,0,0
Fils longues,fil ; long,0,0,0
Finette,finette,1,1,2
Fiolles ; de verre blanc,fiolle ; de verre blanc,1,1,1
Fiselle,fisselle,1,3,13
Fisselle,fisselle,1,10,13
FlEau de Fer,fer ; en fléau,1,1,36
Flacons,flacon,1,1,1
Flacons ; de cristal,flacon ; de cristal,1,1,5761
Flacons ; de verre,flacon ; de verre,1,10,27
Flacons de verre,flacon ; de verre,1,5,27
Flacons de verres,flacon ; de verre,1,1,27
Flacons vuides,flacon ; vide,1,1,2
Flambeaux,flambeau,1,22,22
Flambeaux ; argentés,flambeau ; argenté,1,1,1
Flambeaux ; de cuivre ; argentés,flambeau ; de cuivre ; argenté,1,1,5761
Flanelle,flanelle,1,89,98
Flanelle / aune,flanelle,0,0,0
Flanelle ; de laine,flanelle ; de laine,1,1,5761
Flanelle ; imprimée,flanelle ; imprimée,1,6,5761
Flaçons de verre,flacon ; de verre,1,1,27
Fleau ; de balance,fléau ; de balance,1,1,5761
Fleau ; de fer,fléau ; de fer,1,1,1
Fleau de fer,fléau ; de fer,1,2,53
Fleaux ; de fer,fléau ; de fer,1,10,53
Fleaux de Fer,fléau ; de fer,1,18,53
Fleaux de fer,fléau ; de fer,1,7,53
Fleches,flèche,1,1,2
Fleches ; en quart de nonante,flèche ; en quart de nonante,1,1,5761
Fleches marine,flèche ; marine,1,1,12
Fleches marines,flèche ; marine,1,1,12
"Flets, carrelets",flet et carrelet,0,0,0
Fleur ; d'esquinante,fleur ; d'esquinante,1,1,1
Fleur ; d'orange,fleur ; d'orange,1,1,1
Fleur ; de canelle,fleur ; de cannelle,1,1,1
Fleur ; de fouffre,fleur ; de souffre,1,1,65
Fleur ; de moutarde,fleur ; de moutarde,1,1,1
Fleur ; de muscade,fleur ; de muscade,1,5,10
Fleur ; de poix,fleur ; de poix,1,1,1
Fleur ; de souffre,fleur ; de souffre,1,10,65
Fleur ; de soufre,fleur ; de soufre,1,4,65
Fleur de Muscade,fleur de muscade,1,1,1
Fleur de Souffre,fleur ; de soufre,1,7,65
Fleur de dietam,fleur ; de dictame,1,1,1
Fleur de muscade,fleur ; de muscade,0,0,0
Fleur de souffre,fleur ; de soufre,1,4,65
Fleures,fleuret,1,1,59
Fleuret,fleuret,1,53,59
Fleurets,fleuret,1,1,59
Fleurs ; artifficielle,fleur ; artificielle,1,4,156
Fleurs ; artifficielles,fleur ; artificielle,1,46,156
Fleurs ; artificielles,fleur ; artificielle,1,105,156
Fleurs ; d'aspic,fleur ; d'aspic,1,29,29
Fleurs ; d'avoine,fleur ; d'avoine,1,1,1
Fleurs ; d'estima,fleur ; d'estima,1,1,1
Fleurs ; d'orange,fleur ; d'oranger,1,9,33
Fleurs ; d'oranger,fleur ; d'oranger,1,4,33
Fleurs ; d'oranges,fleur ; d'oranger,1,4,33
Fleurs ; de Violette,fleur ; de violette,1,2,35
Fleurs ; de benjoin,fleur ; de benjoin,1,4,5
Fleurs ; de bouquets,fleur ; de bouquet,1,1,1
Fleurs ; de canelle,épicerie ; cannelle ; de fleur,1,12,16
Fleurs ; de canelles,épicerie ; cannelle ; de fleur,1,1,16
Fleurs ; de chardon,fleur ; de chardon,1,1,5761
Fleurs ; de chine,fleur ; de Chine,1,1,1
Fleurs ; de d?,fleur ; ?,1,1,1
Fleurs ; de diclam,fleur ; de dictame,1,1,2
Fleurs ; de dietame,fleur ; de dictame,1,1,2
Fleurs ; de fouffre,fleur ; de souffre,1,5,65
Fleurs ; de jardin,fleur ; de jardin,1,1,1
Fleurs ; de jasmin,fleur ; de jasmin,1,1,1
Fleurs ; de lavande,fleur ; de lavande,1,7,7
Fleurs ; de muscade,fleur ; de muscade,1,2,5761
Fleurs ; de muscades,fleur ; de muscade,1,4,10
Fleurs ; de roze,fleur ; de rose,1,1,2
Fleurs ; de rozes,fleur ; de rose,1,1,2
Fleurs ; de siascades,fleur ; de muscade,1,1,1
Fleurs ; de souffre,fleur ; de souffre,1,25,65
Fleurs ; de sousfre,fleur ; de souffre,1,1,65
Fleurs ; de violette,fleur ; de violette,1,32,35
Fleurs ; de violettes,fleur ; de violette,1,1,35
Fleurs ; doranges,fleur ; d'oranger,1,2,33
Fleurs aromatiques,fleur ; aromatique,1,17,18
Fleurs aromtiques,fleur ; aromatique,1,1,18
Fleurs d'oranger,fleur ; d'oranger,1,2,33
Fleurs d'oranger et de lavande,fleur ; d'oranger et de lavande,1,6,6
Fleurs d'oranges,fleur ; d'oranger,1,1,33
Fleurs de Romarin,fleur ; de romarin,1,1,3
Fleurs de Souffre,fleur ; de souffre,1,1,65
Fleurs de romarin,fleur ; de romarin,1,2,3
Fleurs de soufre,fleur ; de souffre,1,4,65
Fleurs et feuilles d'oranger,fleur ; d'oranger,1,11,33
Flocons de soie,soie ; en cocon,0,0,0
Flotte etoffe,étoffe ; flotte,1,1,2
Flotte etoffe des L'Indes,étoffe ; flotte,1,1,2
Flotteurs en écorce,flotteur ; en écorce,0,0,0
Flutes ; traversieres,flûte ; traversière,1,1,5761
Flutte,flûte,1,1,1
Fluttes,flûte,1,1,5761
Fluttes ; traversiere,flûte ; traversière,1,1,5761
Flèche ; marine,flèche ; marine,1,1,12
Flèches ; marines,flèche ; marine,1,1,12
Flèches ; marinés,flèche ; marine,1,2,12
Fléau de Fer,fer ; en fléau,1,4,36
Fléaux ; de fer,fléau ; de fer,1,1,53
Fléaux Fer,fléau ; de fer,1,1,53
Fléaux de Fer,fléau ; de fer,1,2,53
Fléaux de fer,fléau ; de fer,1,5,53
Fléaux de feu,fléau ; de fer,1,2,53
Fléaux à poids de fer,fléau ; de fer,1,1,53
Flétan,flétan,0,0,0
Flêches ; marines,flèche ; marine,1,1,12
Foie,foie,1,1,5761
Foin,foin,1,104,106
Folicate ; de senné,,1,1,5761
Folicule,folicule,1,4,4
Folicule ; de sene,folicule ; de sené,1,1,52
Folicule ; de sené,folicule ; de sené,1,22,52
Folicule de sené,folicule ; de sené,1,15,52
Folicule de séné,folicule ; de sené,1,4,52
Folium,folium,1,1,2
Folium ; geriofilalum,folium ; geriofilalum,1,1,2
Folium ; indi,folium,1,1,2
Folium geriofilalum,folium ; geriofilalum,1,1,2
Follicule de séné,folicule ; de sené,1,7,52
Fondette ; de corail,fondette ; de corail,1,2,6
Fondettes ; de Corail,fondette ; de corail,1,1,5761
Fondettes ; de corail,fondette ; de corail,1,2,6
Fondettes de corail,fondette ; de corail,1,2,6
Fonds (de bateau?),fond ; de bateau/navire ?,0,0,0
Fonds ?,fond ; ?,0,0,0
Fonds de bassins,fond ; de bassin,1,1,1
Fonds de bateau/navire?,fond ; de bateau/navire ?,0,0,0
Fonds de chaudron,chaudron ; fond,0,0,0
Fonds de chaudrons en cuivre,cuivre ; en fond de chaudron,0,0,0
Font A Meule blanc,fond à meule ; blanc,1,1,1
Fontaine ; de Fer ; blanc,fontaine ; de fer ; blanc,1,2,12
Fontaine de Fer ; blanc,fontaine ; de fer blanc,1,3,12
Fontaines ; de fer blanc,fontaine ; de fer blanc,1,1,12
Fontaines de Fer ; blanc ; peintes avec leurs bassins,fontaine de fer ; blanc ; peinte avec son bassin,1,1,5761
Fontaines de Fer ; blanc avec leve cuvette,fontaine de fer blanc ; avec lève cuvette,1,1,1
Fontaines de fer blanc,fontaine de fer blanc,1,1,12
Fonte,fonte,0,0,0
Fonte de pistolet,fonte ; de pistolet,1,1,5
Fontes ; de pistolets ;  de cuir de Roussy,fonte ; de pistolet ; de cuir de Roussy,1,1,5761
Fontes de pistoles,fonte ; de pistolet,1,1,5
Fontes de pistolets,fonte ; de pistolet,1,1,5
Force ; à drapier,force ; à drapier,1,1,41
Forces ; à drapier,force ; à drapier,1,29,41
Forces ; à drapiers,force ; à drapier,1,1,41
Forces ; à tondre,force ; à tondre,1,1,3
Forces a tondre,force ; à tondre,1,1,3
Forces à drapier,force ; à drapier,1,10,41
Forces;  à tondre,force ; à tondre,1,1,3
Forme a cordonnier,forme ; à cordonnier,1,1,1
Forme de terre en sucre,forme ; de terre à sucre,1,1,17
Forme de terre à sucre,forme ; de terre à sucre,1,3,17
Forme en pots de terre a sucre,forme ; de terre à sucre,1,1,17
Formes ; de chapeaux,forme ; de chapeau,1,1,1
Formes ; de terre ; a sucre,forme ; de terre ; à sucre,1,1,17
Formes ; de terre ; à sucre,forme ; de terre ; à sucre,1,1,17
Formes ; à souliers,forme ; à soulier,1,1,4
Formes ; à sucres,forme ; à sucre,1,2,10
Formes de souliers,forme ; à soulier,1,1,4
Formes de soulliers,forme ; à soulier,1,2,4
Formes de terre à sucre,forme ; de terre à sucre,1,6,17
Formes à sucre,forme ; à sucre,1,1,2
Fort ; en diable,fort ; en diable,1,4,6
Fort en diable,fort ; en diable,1,2,6
Fotail,fotail,1,1,1
Fotas,fotas,1,13,16
Fotes,fotas,1,1,16
Foticule de semé,folicule ; de sené,1,1,52
Foticule de sené,folicule ; de sené,1,2,52
Fouets,fouet,1,4,7
Foulard,foulard,1,1,2
Foulards en soie,foulard ; en soie,0,0,0
Foulards pour femmes en tissu très fin,foulard ; pour femme en tissu très fin,0,0,0
Foulas,foulas,1,1,1
Four,four,1,1,1
Fourage ; en foin,fourrage ; foin,1,1,16
Fourage ; en foin ; à bestiaux,fourrage ; foin ; à bestiau,1,1,16
Fourage ; en paille,fourrage ; paille,1,1,11
Fourages ; Divers,fourrage ; divers,1,2,3
Fourages ; Foin,fourrage ; foin,1,13,16
Fourages ; Paille,fourrage ; paille,1,7,11
Fourages ; Son,fourrage ; son,1,1,3
Fourages ; divers,fourrage ; divers,1,1,3
Fourages ; foin,fourrage ; foin,1,1,16
Fourages ; glands de chêne,fourrage ; gland de chêne,1,1,1
Fourages ; paille,fourrage ; paille,1,2,11
Fourages ; son,fourrage ; son,1,2,3
Fourages ; vesses,fourrage ; vesse,1,1,1
Fourchettes,fourchette,0,0,0
Foureaux d'epée,fourreau ; d'épée,1,1,3
Foureaux d'epéés,fourreau ; d'épée,1,1,3
Fourneaux ; de briques,fourneau ; de brique,1,5,7
Fourneaux ; de fer,fourneau ; de fer,1,3,5
Fourneaux ; de plastre,fourneau ; de plâtre,1,1,5761
Fourneaux de Fer,fourneau ; de fer,1,1,5
Fourneaux de briques,fourneau ; de brique,1,2,7
Fourneaux de terre,fourneau ; de terre,1,1,1
Fourniments,fourniment,1,1,1
Fourrage,fourrage,1,3,43
Fourrage et paturage,fourrage et pâturage,1,1,1
Fourrages,fourrage,1,40,43
Fourrages ; pailles,fourrage ; paille,1,1,11
"Fourrages en foin, paille, sons, &c","fourrage ; paille, son, foin",1,7,7
Fourrure,fourrure,0,0,0
Fourrure ; de martre,fourrure ; de martre,1,1,2
Fourrure ; de soye,fourrure ; de soie,1,3,29
Fourrure de Russie,fourrure ; de Russie,0,0,0
Fourrure de chat,fourrure ; de chat,0,0,0
Fourrure de chaton,fourrure ; de chaton,0,0,0
Fourrure de chevreuil,fourrure ; de chevreuil,0,0,0
Fourrure de chèvre,fourrure ; de chèvre,0,0,0
Fourrure de lapin,fourrure ; de lapin,0,0,0
Fourrure de leopard,fourrure ; de léopard,0,0,0
Fourrure de lynx,fourrure ; de lynx,0,0,0
Fourrure de martre,fourrure ; de martre,0,0,0
Fourrure de phoque,fourrure ; de phoque,0,0,0
Fourrure de soie,fourrure ; de soie,1,1,29
Fourrure de soye,fourrure ; de soie,1,2,29
Fourrure d’agneau,fourrure ; d'agneau,0,0,0
Fourrures,fourrure,0,0,0
Fourrures ; de soye,fourrure ; de soie,1,2,29
Fourrures de soye,fourrure ; de soie,1,4,29
Fourues ; de soye,fourrure ; de soie,1,2,29
Fourure ; de martres,fourrure ; de martre,1,1,5761
Fourure ; de petit gris,fourrure ; de petit gris,1,1,1
Fourure ; de soye,fourrure ; de soie,1,7,29
Fourure de soye,fourrure ; de soie,1,2,29
Fourures ; de soye,fourrure ; de soie,1,4,29
Fourures de soye,fourrure ; de soie,1,2,29
Foüets,fouet,1,1,7
Foüets et guêtres,fouet et guêtre,1,1,5761
Fr ; blanc,fer ; blanc,1,1,5761
Frage ; de soye,frange ; de soie,1,1,5761
Fraisset ; de Vermillon,fraisset ; de vermillon,1,1,4
Fraisset ; de vermillon,fraisset ; de vermillon,1,2,4
Fraisset ; de vermitton,fraisset ; de vermillon,1,1,4
Frange ; d'argent,frange ; d'argent,1,2,5761
Frange ; d'argent ; faux,frange ; d'argent ; faux,1,1,5761
Frange ; d'argent ; fin,frange ; d'argent ; fin,1,1,5761
Frange ; d'or,frange ; or,1,2,3
Frange ; d'or ; faux,frange ; d'or ; faux,1,3,4
Frange ; d'or ; vieille,frange ; d'or ; vieille,1,1,5761
Frange ; d'or et d'argent,frange ; or et argent,1,1,4
Frange ; d'or et d'argent faux,frange ; or et argent ; faux,1,2,4
Frange ; de fil ; pour veste par garnitures,frange ; de fil ; pour veste par garniture,1,1,5761
Frange ; de raiseau ; or et argent,,1,1,5761
Frange ; de soye,frange ; de soie,1,7,10
Frange ; or et argent,frange ; or et argent,1,3,4
Frange ; or et argent ; faux,frange ; or et argent ; faux,1,1,4
Frange ; or et argent faux,frange ; or et argent ; faux,1,1,4
Frange d'or faux,frange ; d'or ; faux,1,1,1
Frange de soye,frange ; de soie,1,2,10
Franges d'or,frange ; or,1,1,3
Franges d'or faux,frange ; or ; faux,1,1,4
Franges en soie,frange ; de soie,0,0,0
Fraomage ; de Brie,fromage ; de Brie,1,2,20
Freze,fraise,1,1,5761
Friperie,friperie,1,32,32
Friperie;  vieille,friperie ; vieille,1,1,5761
Frisade / aune,frisade,0,0,0
Frise ; seiche,frise ; sèche,1,1,1
Frise ; à la Gode,frise ; à la Gode,1,8,8
Frise étoffe,frise ; étoffe,1,1,1
Frisons ; d'Angleterre,frison ; d'Angleterre,1,6,7
Frize,frise,1,1,1
Froc de Bolbec,froc de Bolbec,1,1,1
Froc de laine,froc de laine,1,2,2
Froce,froc,1,1,5761
Fromae ; d'Hollande,fromage ; de Hollande,1,1,115
Fromage,fromage,1,737,1111
Fromage ; commun,fromage ; commun,1,467,479
Fromage ; commune,fromage ; commun,1,11,479
Fromage ; communs,fromage ; d'auvergne,1,20,22
Fromage ; cru,fromage ; cru,1,6,6
Fromage ; d'Auvergne,fromage ; d'auvergne,1,2,22
Fromage ; d'Hollande,fromage ; de Hollande,1,48,115
Fromage ; d'auvergne,fromage ; de Hollande,1,5,115
Fromage ; d'herbes,fromage ; de Hollande,1,1,115
Fromage ; d'hollande,fromage ; de Hollande,1,44,115
Fromage ; d'holllande,fromage ; de Hollande,1,1,115
Fromage ; de Brie,fromage ; de Brie,1,14,20
Fromage ; de Chester,fromage ; de Chester,1,5,6
Fromage ; de Comté,fromage ; de Comté,1,5,9
Fromage ; de Cruyers,fromage ; de Gruyère,1,4,149
Fromage ; de Grayeres,fromage ; de Gruyère,1,2,149
Fromage ; de Gruyere,fromage ; de Gruyère,1,12,149
Fromage ; de Gruyeres,fromage ; de Gruyère,1,35,149
Fromage ; de Gruyers,fromage ; de Gruyère,1,3,149
Fromage ; de Gruyère,fromage ; de Gruyère,1,13,149
Fromage ; de Gruyères,fromage ; de Gruyère,1,7,149
Fromage ; de Gruïere,fromage ; de Gruyère,1,3,149
Fromage ; de Hollande,fromage ; de Hollande,1,3,115
Fromage ; de Karolles,fromage ; de Karolles,1,2,2
Fromage ; de Maroilles,fromage ; de maroille,1,5,18
Fromage ; de Marolle,fromage ; de maroille,1,1,18
Fromage ; de Marolles,fromage ; de maroille,1,6,18
Fromage ; de Marottes,fromage ; de Marottes,1,14,17
Fromage ; de Milan,fromage ; de Milan,1,1,1
Fromage ; de Moroilles,fromage ; de maroille,1,2,18
Fromage ; de Normandie,fromage ; de Normandie,1,3,6
Fromage ; de Parmesan,fromage ; de Parmesan,1,5,7
Fromage ; de Roquefort,fromage ; de Roquefort,1,17,41
Fromage ; de Sassenage,fromage ; de Sassenage,1,2,2
Fromage ; de Suisse,fromage ; de Suisse,1,8,8
Fromage ; de brie,fromage ; de Brie,1,4,20
Fromage ; de chester,fromage ; de Chester,1,1,6
Fromage ; de chevre,fromage ; de chèvre,1,9,15
Fromage ; de chèvre,fromage ; de chèvre,1,5,15
Fromage ; de comté,fromage ; de Comté,1,4,9
Fromage ; de gruyere,fromage ; de Gruyère,1,37,149
Fromage ; de gruyère,fromage ; de Gruyère,1,19,149
Fromage ; de gruyères,fromage ; de Gruyère,1,6,149
Fromage ; de guyere,fromage ; de Gruyère,1,6,149
Fromage ; de maroilles,fromage ; de maroille,1,2,18
Fromage ; de marolles,fromage ; de maroille,1,2,18
Fromage ; de marottes,fromage ; de Marottes,1,3,17
Fromage ; de normandie,fromage ; de Normandie,1,3,6
Fromage ; de parmesan,fromage ; de Parmesan,1,1,7
Fromage ; de roquefort,fromage ; de Roquefort,1,6,41
Fromage ; dhollande,fromage ; de Hollande,1,3,3
Fromage ; du pays,fromage ; du pays,1,1,1
Fromage ; en jambons,fromage ; en jambon,1,1,1
Fromage ; parmessan,fromage ; de Parmesan,1,1,1
Fromage commun,fromage ; commun,1,1,479
Fromage d'Auvergne,fromage ; d'Auvergne,1,13,14
Fromage d'Hollande,fromage ; de Hollande,1,4,115
Fromage d'auvergne,fromage ; d'Auvergne,1,1,14
