marchandises	marchandises_norm_ortho		source_bdc	nbr_bdc_marchandises	nbr_bdc_marchandises_norm_ortho
Huile de navette	huile de navette		1	8	65
huile de navettes	huile de navette		1	1	65
Huile de Nitriol	huile de vitriol	x	1	1	3
huile de Nitriol	huile de vitriol	x	1	1	3
Huile de Noix	huile de noix				
Huile de noix	huile de noix				
huile de Noix	huile de noix		1	1	112
Huile de Palma Christi	huile de Palma Christi	x			
Huile de palme	huile de palme				
huile de palmes	huile de palme		1	1	9
Huile de Parfum	huile de parfum		1	2	3
huile de pierre	huile de pierre		0	0	0
Huile de poison	huile de poisson		1	52	981
Huile de Poisson	huile de poisson				
Huile de poisson	huile de poisson				
huile de Poisson	huile de poisson		1	4	981
huile de poisson	huile de poisson		1	20	981
Huile de poisson et poix	huile de poisson et poix	x	0	0	0
Huile de poissons	huile de poisson		1	1	981
huile de poissons	huile de poisson		0	0	0
Huile de poix	huile de poix	x			
Huile de Rabelle	huile de rabette	x	1	1	54
Huile de rabelles	huile de rabette	x	1	1	54
Huile de rabette	huile de rabette	x	1	1	54
huile de rabette	huile de rabette	x			
Huile de rose	huile de rose		0	0	0
Huile de scorpion	huile de scorpion				
Huile de sein	huile de sein	x			
huile de semences	huile de semence		0	0	0
Huile de senteur	huile de senteur		1	6	8
huile de senteur	huile de senteur				
Huile de soldat	huile de soldat		1	1	1
huile de storax	huile de storax				
huile de tamarin	huile de tamarin		1	1	2
Huile de térébenthine	huile de térébenthine		1	3	204
Huile de Terebentine	huile de térébenthine		1	1	204
Huile de therebentine	huile de térébenthine				
huile de therebentinne	huile de térébenthine		0	0	0
huile de verre	huile de verre		0	0	0
Huile de Vitriol	huile de vitriol		1	2	123
Huile de vitriol	huile de vitriol				
huile de Vitriol	huile de vitriol		1	1	123
huile de vitriol	huile de vitriol		0	0	0
Huile démordue	huile de morue	x	1	1	21
Huile derabette	huile de rabette	x	1	1	54
Huile diverse	huile diverse		1	6	26
Huile et essence de térébenthine	huile et essence de térébenthine		1	115	204
Huile et essence de térébentine	huile et essence de térébenthine		1	5	204
Huile et provisions	huile et provisions		0	0	0
Huile et sirop	huile et sirop		0	0	0
Huile et sirops	huile et sirop		0	0	0
Huile fine	huile fine		1	1	1
huile rabette	huile rabette	x	1	1	54
Huile s de poison	huile de poisson		1	1	981
Huile Terebantine	huile térébenthine		1	1	204
Huiles ; A bruler	huile à brûler		1	2	27
Huiles ; D'olive	huile d'olive		1	31	1580
Huiles ; De Baleine	huile de baleine		1	3	53
Huiles ; De baleine	huile de baleine		1	6	53
Huiles ; De graine	huile de graine		1	10	375
Huiles ; de graine ; d'anis	huile de graine d'anis		1	1	1
Huiles ; de graine ; d'olive	huile de graine d'olive		1	1	1
Huiles ; de graine ; de canelle	huile de graine de cannelle		1	1	1
Huiles ; de graine ; de gerofle	huile de graine de girofle		1	1	1
Huiles ; de graine ; de graine	huile de graine de graine		1	2	2
Huiles ; de graine ; de laurier	huile de graine de laurier		1	1	1
Huiles ; de graine ; de lin	huile de graine de lin		1	1	1
Huiles ; de graine ; de macis	huile de graine de macis	x	1	1	1
Huiles ; de graine ; de moutarde	huile de graine de moutarde		1	1	1
Huiles ; de graine ; de poisson	huile de graine de poisson		1	1	1
Huiles ; de graine ; de Rhode	huile de graine de Rhodes		1	1	1
Huiles ; de graine ; de thérébentine	huile de graine de térébenthine		1	1	1
Huiles ; De jayet	huile de jayet	x	1	1	1
Huiles ; De lin	huile de lin		1	10	90
Huiles ; De morne	huile de morne	x	1	2	2
Huiles ; DE noix	huile de noix		1	1	112
Huiles ; De noix	huile de noix		1	2	112
Huiles ; De poisson	huile de poisson		1	19	981
Huiles ; Diverses	huile diverse		1	6	26
Huiles ; diverses ; de poisson ; etc.	huile diverse de poisson etc.		1	1	981
Huiles ; En crasse ou Degnes ****	huile en crasse ou degnes ???	x	1	2	3
Huiles (marc d'olive ou amurca)	huile marc d'olive ou amurca	x	1	1	1
Huiles d'oeillette ou de pavot	huile d'œillette ou de pavots		1	13	13
Huiles d'oeillette, de nois, de pavots	huile d'œillette de noix de pavots		1	12	18
Huiles d'oeillette, de noix, de pavots	huile d'œillette de noix de pavots		1	6	18
Huiles d'olive	huile d'olive		1	1	1580
Huiles d'olive commune	huile d'olive commune		1	2	2
Huiles d'olive et autres pour fabriques	huile d'olive et autres pour fabrique		1	21	74
Huiles d'olive pour fabrique	huile d'olive pour fabrique		1	36	74
Huiles d'olive pour fabriques	huile d'olive pour fabrique		1	17	74
Huiles de faine et de noix	huile de faine et de noix	x	1	1	2
Huiles de genièvre	huile de genièvre		1	1	1
Huiles de graines	huile de graine		1	63	80
Huiles de graines et autres	huile de graine et autres		1	17	80
Huiles de graines et de noix	huile de graine et de noix		1	32	32
Huiles de graines ordinaires	huile de graine ordinaire		1	55	57
Huiles de noix	huile de noix				
Huiles de poisson	huile de poisson		1	105	981
Huiles de poissons	huile de poisson		1	20	981
Huiles diverses	huile diverse		1	11	26
Huiles et acides vitrioliques	huile et acide vitriolique		1	29	29
Huille ; copahu	huile Copahu		1	1	1
Huille ; d'anis	huile d'anis		1	1	1
Huille ; d'Olive	huile d'olive		1	16	1580
Huille ; d'olive	huile d'olive		1	5	1580
huille ; d'olive	huile d'olive		1	3	1580
Huille ; d'ollive	huile d'olive		1	2	1580
Huille ; de Baleine	huile de baleine		1	8	53
Huille ; de baleine	huile de baleine		1	1	53
Huille ; de cacao	huile de cacao				
Huille ; de cade	huile de cade	x	1	1	1
Huille ; de Carabé	huile de carabé		1	1	1
Huille ; de carde	huile de carde		1	1	1
Huille ; de chanvre	huile de chanvre		1	1	1
Huille ; de Copahu	huile de Copahu		1	1	4
Huille ; de copahu	huile de Copahu		1	3	4
Huille ; de geroffle	huile de girofle		1	1	1
Huille ; de Graine	huile de graine		1	4	375
Huille ; de graine	huile de graine		1	2	57
Huille ; de laurier	huile de laurier				
Huille ; de lin	huile de lin				
Huille ; de navette	huile de navette		1	12	12
Huille ; de noix	huile de noix		1	1	112
Huille ; de palme	huile de palme				
Huille ; de Poisson	huile de poisson		1	10	981
Huille ; de poisson	huile de poisson		1	20	981
huille ; de poisson	huile de poisson		1	2	981
Huille ; de rabette	huile de rabette	x	1	1	2
Huille ; de rave	huile de rave		1	1	1
Huille ; de Rhodes	huile de Rhodes		1	2	2
Huille ; de scorpion	huile de scorpion		1	1	1
Huille ; de tartre	huile de tartre		1	1	1
Huille ; de vitriol	huile de vitriol		1	9	9
Huille ; dolive	huile d'olive		1	1	61
Huille à la daube ou marinée	huitre à la daube ou marinée	x	1	1	1
huille d'amande	huile d'amande				
huille d'anis	huile d'anis		1	1	18
huille d'aspic	huile d'aspic				
huille d'enc	huile d'enc	x	0	0	0
huille d'Harlem	huile de Haarlem	x	0	0	0
Huille d'holive	huile d'olive		1	1	1580
Huille d'Olive	huile d'olive		1	11	1580
Huille d'olive	huile d'olive				
huille d'olive	huile d'olive				
Huille d'olives	huile d'olive		1	1	1580
Huille d'ollive	huile d'olive				
huille d'ollive	huile d'olive				
Huille d'ollive fine	huile d'olive fine				
Huille de baleine	huile de baleine		1	1	53
huille de cades	huile de cade	x			
Huille de Capahu Ou Copahu	huile de Capahu ou Copahu		1	1	18
huille de girofle	huile de girofle		1	1	30
Huille de graine	huile de graine		1	1	375
huille de graine	huile de graine		1	2	375
Huille de laine	huile de laine	x	1	1	249
Huille de Laurier	huile de laurier		1	1	2
Huille de laurier	huile de laurier		1	1	2
Huille de Lin	huile de lin		1	3	90
Huille de lin	huile de lin		1	5	249
huille de Lin	huile de lin		1	5	90
huille de lin	huile de lin		1	15	90
huille de Mayorque	huile de Majorque				
Huille de Morue	huile de morue		1	1	21
Huille de morue	huile de morue				
Huille de moruë	huile de morue				
huille de muscade	huile de muscade		1	1	15
huille de navette	huile de navette		1	3	65
huille de navettes	huile de navette		1	1	65
huille de nitriol	huile de vitriol		1	1	3
Huille de Noix	huile de noix		1	1	112
Huille de noix	huile de noix		1	6	112
Huille de palme	huile de palme		1	1	9
huille de palme	huile de palme		1	1	9
huille de palmes	huile de palme		1	1	9
huille de poison	huile de poisson		1	4	981
Huille de Poisson	huile de poisson		1	5	981
Huille de poisson	huile de poisson				
huille de Poisson	huile de poisson		1	14	981
huille de poisson	huile de poisson				
Huille de rabette	huile de rabette	x	1	1	54
huille de Rabette	huile de rabette	x	1	1	54
huille de Rabotte	huile de rabette	x	1	1	54
Huille de Senteur	huile de senteur				
Huille de senteur	huile de senteur		1	2	8
huille de senteur	huile de senteur				
Huille de terbantine	huile de térébenthine		1	1	204
Huille de Vitriol	huile de vitriol		1	1	123
huille de Vitriol	huile de vitriol		1	1	123
huille de vitriol	huile de vitriol		1	1	123
Huille dolive	huile d'olive		1	1	1580
huille medicinale	huile médicinale		0	0	0
Huille Olive	huile olive		1	1	1580
Huille petrolle	huile pétrole		1	1	5
huille petrolle	huile pétrole				
Huille; d'olive	huile d'olive		1	1	1580
Huilled' aspic	huile d'aspic		1	1	20
Huilles ; de capahu	huiles de Copahu		1	1	18
Huilles d'olive	huile d'olive		1	1	1580
Huilles d'olives	huile d'olive		1	1	1580
Huilles de lin	huile de lin		1	1	90
huilles de Poils Cru	huile de poisson	x	1	1	1
huilles de poisson	huile de poisson		1	1	981
Huilles de senteur	huile de senteur				
huilr de rabette	huile de rabette	x	1	1	1
Huistres ; marines	huîtres marines		1	1	1
Huitre ; à l'écaille	huîtres à l'écaille		1	2	19
Huitre ; à la Daube	huîtres à la daube		1	2	10
Huitre ; marinée	huîtres marinées		1	1	1
Huitres	huîtres		1	51	52
huitres	huîtres		0	0	0
Huitres ; à l'Ecaille	huîtres à l'écaille		1	4	19
Huitres ; à l'ecaille	huîtres à l'écaille		1	4	19
Huitres ; à l'écaille	huîtres à l'écaille		1	7	19
Huitres ; à l'haille	huîtres à l'écaille	x	1	2	19
Huitres ; a la daube	huîtres à la daube		1	2	10
Huitres ; à la daube	huîtres à la daube		1	6	10
Huitres ; en pierres	huîtres en pierres		1	1	1
Huitres ; fraiches	huîtres fraîches		1	3	3
Huitres ; marinée	huîtres marinées		1	1	10
Huitres ; marinées	huîtres marinées		1	6	10
Huitres ; vertes	huîtres vertes		1	5	5
Huitres marinées	huîtres marinées		1	2	10
huitres;a mariner	huîtres à mariner		1	1	10
Hulille ; de lin	huile de lin		1	1	249
Hydromel	hydromel		0	0	0
Hypocristis	hypocristis	x	1	1	1
Igname	igname				
Image ; de papiers	images de papier		1	3	36
Image ; de veslin	images de vélin		1	1	36
Images	images		1	12	12
Images ; de corne	images de corne		1	1	1
Images ; de isles	images des Îles		1	1	1
Images ; de papier	images de papier		1	31	36
Images ; de parchemin	images de parchemin		1	8	11
Images ; de parchermin	images de parchermin		1	1	11
Images ; de parechemin	images de parchermin		1	1	11
Images ; de veslin	images de vélin		1	5	5
Images ; peintes	images peintes		1	1	2
images ; peintes	images peintes		1	1	2
Images de papier	images de papier		1	1	36
images de papier, estampes et cartes géographiques	images de papier estampes et cartes géographiques		0	0	0
images de parchemin	images de parchemin		0	0	0
images de parchemin de cornes	images de parchemin de corne		0	0	0
Images dites dominoterie	images dites dominoterie		1	4	6
Images et cartes géographiques	images et cartes géographiques		1	2	2
Images ou dominoterie	images ou dominoterie		1	2	6
imperiale	impériale		0	0	0
imperialle	impériale		1	1	2
Inde	inde		1	5	5
Inde ; fine	inde fine		1	13	23
Inde ; flottante	inde flottante		1	3	3
Inde ; java	inde Java		1	1	1
Inde ; plate	inde plate		1	8	8
Inde ; platte	inde plate		1	16	65
Inde fine	inde fine		1	4	23
Inde flotante	inde flottante				
Inde flottante	inde flottante				
Inde Java	inde Java		1	1	1
Inde Plante	inde plante		1	1	65
Inde plate	inde plate		1	5	65
inde plate	inde plate		1	1	65
Inde plates	inde plate		1	1	65
Inde Plats	inde plate		1	1	65
Inde Platte	inde plate		1	8	65
Inde platte	inde plate		1	2	65
inde platte	inde plate		1	3	65
Inde Plattes	inde plate		1	2	65
Indeplate	inde plate		1	7	65
indeplats	inde plate		1	1	65
Indeplatte	inde plate		1	11	65
indeplatte	inde plate		1	2	65
Indes ; fine	inde fine		1	1	23
Indes ; fines	inde fine		1	2	23
Indes ; platte	inde plate		1	1	65
Indes ; plattes	inde plate		1	1	65
Indes fines	inde fine		1	3	23
Indes flottante	inde flottante				
Indes Plates	inde plate		1	1	65
Indes platte	inde plate		1	1	65
Indiene	indienne		1	1	198
indiene	indienne		1	1	198
Indiènes	indienne		1	1	198
Indienne	indienne		1	169	198
indienne	indienne				
Indiennes	indienne				
indiennes	indienne				
Indiennes étrangéres	indienne étrangére		1	1	1
Indiennes Françoise	indienne française		1	1	1
Indigo	indigo		1	1553	1670
indigo	indigo		1	7	1670
Indigo ; des Isles	indigo des Îles		1	7	7
Indigo ; floré	indigo floré		1	3	2352
Indigo commun	indigo commun		1	1	1670
Injubes	injubes	x	1	2	2352
Inpecacuahanna	ipécacuanha		1	1	1
Insectes	insectes		1	3	4
Insects	insectes		1	1	4
Instrements ; d'astronomie	instruments d'astronomie		1	1	2
Instrum de musique	instruments de musique		1	4	295
Instrum. ; de musique	instruments de musique		1	6	295
Instrumens ; de mathematique	instruments de mathématique		1	1	2
Instrumens ; de musique	instruments de musique		1	15	295
instrumens d' optique et ouvrages dito	instruments d'optiques et ouvrages ditto		0	0	0
instrumens de chirurgie	instruments de chirurgie		0	0	0
instrumens de mathématique	instruments de mathématique		0	0	0
instrumens de mathématique, chirurgie etc	instruments de mathématique chirurgie etc		0	0	0
Instrumens de musique	instruments de musique		1	96	295
instrumens de musique	instruments de musique		0	0	0
Instrumens de musique ; basses	instruments de musique basse		1	1	4
Instrumens de musique ; da vessin	instruments de musique clavecin		1	1	1
Instrumens de musique ; divers	instruments de musique divers		1	10	37
Instrumens de musique ; épinette	instruments de musique épinettes		1	1	3
Instrumens de musique ; fluttes	instruments de musique flûtes		1	1	37
Instrumens de musique ; hautbois	instruments de musique hautbois		1	1	37
Instrumens de musique ; violons	instruments de musique violons		1	7	37
Instrumens de musique et autres	instruments de musique et autres		1	11	11
Instrumens divers	instruments divers		1	43	43
Instrumens pour les sciences et les arts	instruments pour les sciences et les arts		1	116	190
Instrumens propres aux arts et aux sciences	instruments propres aux arts et aux sciences		1	24	190
Instrumens propres aux sciences	instruments propres aux sciences		1	2	2
Instrumens propres aux sciences et arts	instruments propres aux sciences et arts		1	14	190
Instrumens, machines et mécaniques propres aux arts et aux sciences	instruments machine et mécanique propres aux arts et aux sciences		1	11	190
Instrument ; de chirurgie	instruments de chirurgie		1	1	37
Instrument ; de mathématiques	instruments de mathématiques		1	1	2
Instrument ; de musique	instruments de musique		1	4	37
Instrument de musique	instruments de musique		1	6	295
instrument de pillotage	instruments de pilotage		1	2	2
Instruments ; à jouer	instruments à jouer		1	1	1
Instruments ; Astronomie	instruments astronomie		1	1	1
Instruments ; astronomiques	instruments astronomiques		1	1	1
Instruments ; clavessins	instruments clavecin		1	2	3
Instruments ; d'astronomie	instruments d'astronomie		1	1	2
Instruments ; D'Optiques	instruments d'optiques		1	6	12
Instruments ; D'optiques	instruments d'optiques		1	5	12
Instruments ; d'orfevrerie	instruments d'orfèvrerie		1	1	1
Instruments ; De chimie	instruments de chimie		1	1	3
Instruments ; de chimie	instruments de chimie		1	2	3
Instruments ; De chirurgie	instruments de chirurgie		1	6	14
Instruments ; de chirurgie	instruments de chirurgie		1	6	14
Instruments ; De jardinage	instruments de jardinage		1	1	1
Instruments ; De marine	instruments de marine		1	5	7
Instruments ; de marine	instruments de marine		1	2	2
Instruments ; de mathematique	instruments de mathématique		1	2	22
Instruments ; de mathématique	instruments de mathématique		1	2	22
Instruments ; de mathematiques	instruments de mathématique		1	1	22
Instruments ; De mathématiques	instruments de mathématique		1	9	22
Instruments ; de mathématiques	instruments de mathématique		1	7	22
Instruments ; De mécanique	instruments de mécanique		1	2	3
Instruments ; de mécanique	instruments de mécanique		1	1	3
Instruments ; de mer	instruments de mer		1	2	7
Instruments ; De musique	instruments de musique		1	37	295
Instruments ; de musique	instruments de musique		1	76	295
Instruments ; de musique ; Basses	instruments de musique basse		1	1	4
Instruments ; de musique ; basses	instruments de musique basse		1	1	4
Instruments ; de musique ; Bassons	instruments de musique bassons		1	1	1
Instruments ; de musique ; claveine	instruments de musique clavecin	x	1	1	3
Instruments ; de musique ; de mathématique	instruments de musique de mathématique		1	9	9
Instruments ; de musique ; divers	instruments de musique divers		1	9	12
Instruments ; de musique ; en piano	instruments de musique en piano		1	2	2
Instruments ; de musique ; épinettes	instruments de musique épinettes		1	1	3
Instruments ; de musique ; fluttes	instruments de musique flûtes		1	2	4
Instruments ; de musique ; guitares	instruments de musique guitare		1	1	1
Instruments ; de musique ; Luth	instruments de musique luth		1	2	4
Instruments ; de musique ; Violons	instruments de musique violons		1	5	37
Instruments ; de musique ; violons	instruments de musique violons		1	4	37
Instruments ; De phisique	instruments de physique		1	9	14
Instruments ; de phisique	instruments de physique		1	4	14
Instruments ; De physique	instruments de physique		1	1	14
Instruments ; de xxx	instruments de ???		0	0	0
Instruments ; Divers	instruments divers		1	6	55
Instruments ; divers	instruments divers		1	3	55
Instruments ; divers ; pour phisique	instruments divers pour physique		1	5	5
Instruments ; divers ; propres aux arts libéraux	instruments divers propres aux arts libéraux		1	6	6
Instruments ; épinettes	instruments épinettes		1	1	3
Instruments ; fluttes	instruments flûtes		1	1	4
Instruments de musique	instruments de musique		1	42	295
Instruments de musique ; basse de violle	instruments de musique basse de viole		1	1	4
Instruments de musique ; divers	instruments de musique divers		1	3	12
Instruments de musique ; flutes	instruments de musique flûtes		1	1	4
Instruments de musique ; harpes	instruments de musique harpes		1	1	1
Instruments de musique ; violon	instruments de musique violons		1	4	37
Instruments de musique basse	instruments de musique basse				
Instruments de musique guitare	instruments de musique guitare				
Instruments de musiques	instruments de musique		1	6	295
instruments de pillotage	instruments de pilotage		1	1	1
Instruments de pilotage	instruments de pilotage				
Instruments divers	instruments divers		1	46	55
Instruments pour les arts et les sciences	instruments pour les arts et les sciences		1	10	190
Instruments propres aux sciences et aux arts	instruments propres aux sciences et aux arts		1	15	190
Instrumts ; de chirurgie	instruments de chirurgie		1	1	14
Instrumts ; de musique	instruments de musique		1	4	295
Intrusments ; de musique	instruments de musique		1	1	295
Ionce	joncs		1	2	40
Ioncs à fer chaises	joncs à faire chaises		1	1	37
ioncs et pailles travaillés	joncs et paille travaillés		0	0	0
Iongs	Iongs		1	3	40
Ipacuana	ipécacuanha	x	1	1	136
Ipecacuana	ipécacuanha		1	19	136
ipecacuana	ipécacuanha				
Ipécacuana	ipécacuanha		1	11	136
Ipecacuanha	ipécacuanha		1	3	136
Ipécacuanha	ipécacuanha		1	69	136
Ipecacuanna	ipécacuanha		1	15	136
Ipécacuanna	ipécacuanha		1	7	136
Ipecacuanns	ipécacuanha		1	1	136
Ipecacunana	ipécacuanha		1	1	136
Ipeccacuana	ipécacuanha		1	1	136
ipecuacana	ipécacuanha				
Ipencmana	ipécacuanha	x	1	4	136
Iris	iris		1	55	68
iris	iris				
Iris ; de Florence	iris de Florence		1	3	13
Iris ; de florence	iris de Florence		1	2	2
iris de citron	iris de citron				
Iris de Florence	iris de Florence		1	9	13
Iris de florence	iris de Florence				
iris de florence	iris de Florence		0	0	0
Irix	iris		1	4	68
Isaris	isatis	x	1	2	2
issarions de palme	issarions de palmes	x			
Istarions d' Espars	istarions d'espars	x			
ivoir brulé	ivoire brûlé		0	0	0
ivoir brut	ivoire brut		0	0	0
ivoir travaillé	ivoire travaillé		0	0	0
Ivoire	ivoire		1	3	26
Ivoire ; ?	ivoire ?		1	1	26
Ivoire ; brut ; en dent d'éléphant	ivoire brut en dents d'éléphant		1	3	3
Ivoire ; Dents d'éléphant	ivoire dents d'éléphant		1	8	14
Ivoire ; dents d'éléphant	ivoire dents d'éléphant		1	1	14
Ivoire ; Dents d'éléphants	ivoire dents d'éléphant		1	1	14
Ivoire ; Divers	ivoire divers		1	2	5
Ivoire ; Diverse	ivoire divers		1	2	5
Ivoire ; diverse	ivoire divers		1	1	5
Ivoire ; en dent d'éléphant	ivoire en dents d'éléphant		1	1	2
Ivoire ; en dents ; d'éléphants	ivoire en dents d'éléphant		1	1	2
Ivoire ; ouvré	ivoire ouvré		1	1	1
Ivoires ; Dents d'éléphants	ivoires dents d'éléphant		1	4	14
J..is	J ???		1	1	74
Jaïa	jais	x	1	2	74
Jaïa ; ouvré	jais ouvré	x	1	2	3
Jais	jais		1	56	74
Jaïs	jais		1	8	74
jait travaillé en dentelles, colliers et boutons	jais travaillé en dentelle colliers et boutons		0	0	0
Jalap	jalap				
jalap	jalap				
jalappe	jalap		0	0	0
Jalaps	jalap		1	2	153
Jalop	jalap		1	1	153
jalops	jalap		1	1	153
Jambon	jambon		1	160	545
jambon	jambon		1	2	545
Jambon ; de mayence	jambon de Mayence		1	2	3
Jambon ; fumé	jambon fumé		1	2	2
Jambon de bayonne	jambon de Bayonne		1	7	7
Jambons	jambon		1	381	545
jambons	jambon				
Jambons ; de mayance	jambon de Mayence		1	1	3
Jamboun	jambon		1	1	545
Jamejeannes de verre	dame-jeannes de verre		1	1	9
Janbon	jambon		1	1	545
janne	jeanne	x	1	1	1
Janne gros	jeanne gros	x	1	1	1
jantes	jantes		0	0	0
jantes et rais	jantes et rais		0	0	0
Jardiéres de laine	jarretières de laine	x	1	1	1
Jardinage ; divers	jardinage divers		1	1	1
Jaretieres ; de laine	jarretières de laine		1	1	1
Jarrca	jarres	x	1	3	48
jarre de terre	jarres de terre				
Jarres	jarres		1	45	48
Jarres ; de terre	jarres de terre		1	6	9
Jarres de terre	jarres de terre				
Jarretière ; de fleuret	jarretières de fleuret		1	2	12
Jarretiere ; de soye	jarretières de soie		1	1	5
Jarretière ; de soye	jarretières de soie		1	3	5
Jarretière de soie	jarretières de soie		0	0	0
Jarretieres	jarretières		1	2	2
Jarretieres ; d'argent	jarretières d'argent		1	2	2
Jarretieres ; de fil	jarretières de fil		1	1	2
Jarretières ; de fil	jarretières de fil		1	1	2
Jarretieres ; de filozelle	jarretières de filoselle		1	2	2
Jarretieres ; de fleures	jarretières de fleuret	x	1	1	12
Jarretieres ; de fleuret	jarretières de fleuret		1	5	12
Jarretières ; de fleuret	jarretières de fleuret		1	2	12
Jarretieres ; de fleurs	jarretières de fleurs		1	2	12
Jarretieres ; de laine	jarretières de laine		1	3	5
Jarretières ; de laine	jarretières de laine		1	1	5
Jarretieres ; de soye	jarretières de soie		1	10	12
Jarretières ; de soye	jarretières de soie		1	2	12
Jarretières ; de soye, or et argent	jarretières de soie or et argent		1	1	1
Jarretieres ; or et argent	jarretières or et argent		1	1	1
Jarretieres de laines	jarretières de laine		1	1	5
Jarretieres de soye	jarretières de soie				
Jarretieres et rubans ; de laine	jarretières et ruban de laine		1	1	1
Jarros	jarres				
Jas d'ancre	jas d'ancres		0	0	0
Jas de chesne	jas de chêne		1	1	1
Jaspe	jaspe		1	3	3
Jaspe ; ouvré	jaspe ouvré		1	6	17
Jaspe ouvré	jaspe ouvré		1	11	17
Jattes ; de bois	jattes de bois		1	3	3
Jaune ; de Naples	jaune de Naples		1	12	26
Jaune ; de naples	jaune de Naples		1	1	26
Jaune ; gros	jaune gros		1	1	1
jaune commun	jaune commun		0	0	0
jaune de naple	jaune de Naples				
Jaune de Naples	jaune de Naples		1	7	26
Jaune de naples	jaune de Naples		1	3	26
jaune de naples	jaune de Naples				
jaune de paille	jaune de paille		0	0	0
Jaune des Naples	jaune de Naples		1	2	26
jaune doré	jaune doré		0	0	0
jaune paille	jaune paille		0	0	0
jaune royale	jaune royal		0	0	0
Jaunes de Naples	jaune de Naples		1	1	26
Jaye	jaye	x	1	1	74
Jayes brut	jaye brut	x			
Jayet	jayet	x			
Jayet ouvré	jayet ouvré	x	1	2	74
jet de bierre	jet de bière	x	0	0	0
jet et lie de bierre	jet et lie de bière	x	0	0	0
Jetis de voile	jets de voile		1	1	38
Jets ; de canne	jets de cannes		1	1	2
Jets ; de cannes	jets de cannes		1	1	2
Jets ; de cannes ; à poignée ; d'ambre	jets de cannes à poignée d'ambre		1	1	1
Jets ; de voile	jets de voile		1	7	38
Jets de terre	jets de terre		1	1	1
Jets de voile	jets de voile		1	3	38
Jettons d'argent	jetons d'argent		1	1	1
Jeux ; d'echecs	jeux d'échecs		1	1	1
Jeux ; de moulin	jeux de moulins		1	8	12
Jeux ; de moulins	jeux de moulins		1	2	12
Jeux ; de voile	jeux de voile		1	13	38
Jeux ; de voiles	jeux de voile		1	8	38
jeux de camagnolle	jeux de camagnolle	x	0	0	0
Jeux de moulin	jeux de moulins		1	2	12
Jeux de moulin a sucre	jeux de moulins à sucre				
Jeux de moulins a sucre	jeux de moulins à sucre				
Jeux de voile	jeux de voile		1	2	38
Jeux de voiles	jeux de voile		0	0	0
jolités en cristal garnis de cuivre	jolités en cristal garnis de cuivre	x	0	0	0
jolités en pinsbeck	jolités en pinsbeck	x	0	0	0
jolités mellées	jolités mêlées	x	0	0	0
Jonc	joncs		1	6	40
jonc	joncs				
Jonc ; pour chaises	joncs pour chaises		1	2	37
Jonc ; rotin	joncs rotin		1	2	2
Joncs	joncs				
joncs	joncs		0	0	0
Joncs ; à F chaises	joncs à faire chaises		1	1	37
Joncs ; à faire chaises	joncs à faire chaises		1	3	37
Joncs ; à faire des chaises	joncs à faire des chaises		1	1	37
Joncs ; des Indes	joncs des Indes		1	1	1
Joncs ; esté	joncs esté	x	1	1	4
joncs à couvrir	joncs à couvrir		0	0	0
joncs à couvrir / botte	joncs à couvrir bottes		0	0	0
joncs à couvrir toits	joncs à couvrir toits		0	0	0
Joncs à faire ...	joncs à faire ???		1	2	37
Joncs à faire chaises	joncs à faire chaises		1	1	37
joncs à faire chaises	joncs à faire chaises		0	0	0
Joncs à faire les chaises des Indes	joncs à faire les chaises des Indes		1	1	37
joncs à faire vertugadins	joncs à faire vertugadins		0	0	0
Joncs à fre chaises	joncs à faire chaises		1	1	37
joncs à joncher les volailles	joncs à joncher les volailles				
joncs communs	joncs communs		0	0	0
Joncs et roseaux	joncs et roseaux		1	32	32
joncs ouvré	joncs ouvrés		0	0	0
joncs ouvré en cabas compris les cabas de paille	joncs ouvrés en cabas compris les cabas de paille		0	0	0
Joncs pour Cannes	joncs pour cannes		1	1	2
Joncs pour cannes, bambous et rotains	joncs pour cannes bambous et rotin		1	4	18
Joncs pour cannes, bambous et rotins	joncs pour cannes bambous et rotin		1	14	18
Joncs pour cannes, bambous et rubans	joncs pour cannes bambous et ruban		1	8	8
Jones	joncs		1	5	40
Jongs	joncs		1	11	40
Jongs ; à faire ; des chaises	joncs à faire des chaises		1	6	37
Jongs ; a faire chaises	joncs à faire chaises		1	5	37
Jongs ; à faire chaises	joncs à faire chaises		1	3	37
Jongs ; à faire des chaises	joncs à faire des chaises		1	2	37
Jongs ; à fer chaises	joncs à faire chaises		1	1	37
Jongs ; à joncher ; volailles	joncs à joncher volailles		1	1	1
Jongs ; à voile	joncs à voile		1	5	5
Jongs ; entes	joncs entes	x	1	3	4
Jongs à fre chaise	joncs à faire chaises		1	2	37
Jongs a fre chaises	joncs à faire chaises		1	1	37
Jongs à fre. Chaises	joncs à faire chaises		1	2	37
Jonquine	jonquine	x	1	8	9
jonquine	jonquine	x			
Jons ; à faire chaises	joncs à faire chaises		1	1	1
Jons ; à faire des chaises	joncs à faire des chaises		1	1	37
Jons pour canne	joncs pour canne		1	1	2
Jouer ; pour choisir	joncs pour chaises	x	1	1	1
Jouet	jouets		1	2	12
Jouet ; pour chaises	joncs pour chaises	x	1	1	2
Jouet ; pour choisir	joncs pour chaises	x	1	1	2
Jouets	jouets		1	4	12
Joüets ; d'enfant	jouets d'enfant		1	1	1
Jouets d'enfance	jouets d'enfance	x	1	1	12
