item,group,status,beforeItems,afterItems,obsolete,imprimatur
droguet de fil et laine,[0],ambiguous,[droguet ; fil et laine],[droguet ; fil et laine],no,
droguet de fil et de laine,[0],ambiguous,"[Drap , droguet ; fil et laine] [Drap ; drogues ; fil et laine] [Drap ; droguet ; fil et laine] [Draps ; droguet ; fil et laine]","[Drap , droguet ; fil et laine] [Drap ; drogues ; fil et laine] [Drap ; droguet ; fil et laine] [Draps ; droguet ; fil et laine]",no,
droguet de fil de laine,[0],ambiguous,[Draps ; droguet ; fil a laine],[Draps ; droguet ; fil a laine],no,
droguet de castor,[0],ambiguous,[Draps ; droguet ; decastor] [Drogues ; de castor],[Draps ; droguet ; decastor],no,
droguet d'Angleterre,[0],ambiguous,[Drap ; droguet ; d'Angleterre] [Droguet d'Angleterre],[Drap ; droguet ; d'Angleterre] [Droguet d'Angleterre],no,
droguet,[0],ambiguous,[Drap ; droguet],[Drap ; droguet],no,
drogues pour peintures et teinture ???,[0],ambiguous,[Drogues ; pour peinture et teinture ; ?] [Drogues; Pour peintures et teintures; ?],[Drogues ; pour peinture et teinture ; ?] [Drogues; Pour peintures et teintures; ?] [Drogue ; pour la peinture et la teinture ; ...] [Drogue ; pour la peinture et la teinture ; **] [Drogue ; pour la peinture et la teinture ; ***] [Drogue ; pour la peinture et la teinture ; µµµ],no,
drogues pour peintures et teinture,[0],ambiguous,[Droguerie ; pour la peinture et la teinture] [Droguerie ; Pour la Peinture et la Teinture] [Droguerie pour la peinture et la teinture] [Drogueries ; pour la peinture et la teinture] [Drogueries ; pour peinture et teinture] [Drogueries pour peintures et teinture] [Drogues ; peinture et teinture] [Drogue pour la peinture et la teinture] [Drogues ; pour la peinture et la teinture] [Drogues pour la peinture et la teinture] [Drogues ; pour la peinture et la teinture ; diverses] [Drogues ; Pour la peinture et la teinture ; Diverses] [Drogues ; pour la peinture et teinture] [Drogues pour la peinture et teinture] [Drogues pour la peinture et teinture;] [Drogues ; pour peinture et teinture] [Drogues; Pour peinture et teinture] [Drogues ; pour peinture et teinture ; diverse] [Drogues ; pour peinture et teinture ; diverses] [Drogues pour peinture et teinture diverses] [Drogues; Pour peinture et teinture diverses] [Drogues; Pour peinture et teinture; Diverses] [Drogues; Pour peintures et teintures; Diverses],[Droguerie ; pour la peinture et la teinture] [Droguerie ; Pour la Peinture et la Teinture] [Droguerie pour la peinture et la teinture] [Drogueries ; pour la peinture et la teinture] [Drogueries ; pour peinture et teinture] [Drogueries pour peintures et teinture] [Drogues ; peinture et teinture] [Drogue pour la peinture et la teinture] [Drogues ; pour la peinture et la teinture] [Drogues pour la peinture et la teinture] [Drogues ; pour la peinture et la teinture ; diverses] [Drogues ; Pour la peinture et la teinture ; Diverses] [Drogues ; pour la peinture et teinture] [Drogues pour la peinture et teinture] [Drogues pour la peinture et teinture;] [Drogues ; pour peinture et teinture] [Drogues; Pour peinture et teinture] [Drogues ; pour peinture et teinture ; diverse] [Drogues ; pour peinture et teinture ; diverses] [Drogues pour peinture et teinture diverses] [Drogues; Pour peinture et teinture diverses] [Drogues; Pour peinture et teinture; Diverses] [Drogues; Pour peintures et teintures; Diverses] [Drogueries diverses pour la peinture et teinture],no,
drogues pour la teinture,[0],ambiguous,[Drogues ; Pour la teinture ; Diverses],[Drogues ; Pour la teinture ; Diverses],no,
drogues pour la peinture,[0],ambiguous,[Droguerie à peindre],[Drogues ; pour peinture],no,
drogues pour la médecine,[0],ambiguous,[Drogues pour la médecine],[Drogues pour la médecine],no,
drogues métalliques ???,[0],ambiguous,[Drogues ; Métalliques ; **] [Drogues ; Métalliques ; *****],[Drogues ; Métalliques ; **] [Drogues ; Métalliques ; *****],no,
drogues métalliques,[0],ambiguous,[Drogues ; metalliques] [Drogues ; Métalliques ; Diverses],[Drogues ; metalliques] [Drogues ; Métalliques ; Diverses] [Drogueries ; métalliques ; diverses],no,
drogues médicinales en plantes diverses,[0],ambiguous,[Drogues ; Medecinales en plantes ; Diverses] [Drogues ; Médecinales en plantes ; Diverses],[Drogues ; Medecinales en plantes ; Diverses] [Drogues ; Médecinales en plantes ; Diverses],no,
drogues médicinales casse en ???,[0],ambiguous,[Drogues ; Médécinales ; Casse en ***],[Drogues ; Médécinales ; Casse en ***],no,
drogues médicinales ???,[0],ambiguous,[Drogues ; Médécinales ; *****] [Drogues ; médicinales ; ?],[Drogues ; Médécinales ; *****] [Drogues ; médicinales ; ?],no,
drogues médicinales,[0],ambiguous,[Drogueries diverses médicinales] [Drogueries ; médécinales] [Drogueries medicinales] [Drogueries médicinales] [Drogueries médicinales;] [Drogues médicinales réunies],[Droguerie ; Medecinales diverses] [Droguerie médicinales diverses] [Drogueries ; médecinales ; diverses] [Drogueries ; médécinales ; diverses] [Drogueries médicinales diverses] [Droguerie médicinales en drogues diverses pour la médecine] [Drogueries diverses médicinales] [Drogueries ; médécinales] [Drogueries medicinales] [Drogueries médicinales] [Drogueries médicinales;] [Drogues médicinales réunies],no,
drogues gomme métalliques diverses,[0],ambiguous,[Drogues ; gomme ; métalliques ; diverses],[Drogues ; gomme ; métalliques ; diverses],no,
drogues gomme médicinales diverses,[0],ambiguous,[Drogues ; gomme ; médécinales ; diverses],[Drogues ; gomme ; médécinales ; diverses],no,
drogues galle,[0],ambiguous,[Drogueries ; galle],[Drogueries ; galle],no,
drogues fines,[0],ambiguous,[drogues fines] [Drogues fines] [Drogues finnes],[drogues fines] [Drogues fines] [Drogues finnes] [Droguerie fine] [drogueries fines],no,
drogues et épicerie,[0],ambiguous,[Drogueries en epiceries] [Droguerie et épiceries],[Drogueries en epiceries] [Droguerie et épiceries],no,
drogues en plantes,[0],ambiguous,[Drogues ; Medecinales en plantes ; ***],[Drogues ; Medecinales en plantes ; ***],no,
drogues du Languedoc,[0],ambiguous,[Droguerie de Languedoc],[Droguerie de Languedoc],no,
drogues des Indes,[0],ambiguous,[Marchandises provenant du commerce français dans l'Inde ; Drogues],[Marchandises provenant du commerce français dans l'Inde ; Drogues],no,
drogues de soie,[0],ambiguous,[Drogues ; de soye],[Drogues ; de soye],no,
