item,group,,,afterItems,obsolete,imprimatur
gomme élastique,2,,,[Cadis Rouge],no,
gomme élémi,2,,,[Cadis de Montauban],no,
gomme elemy,2,,,[cadis] [Cadis] [Cadix] [Drap ; draperie ; cadis] [Drap ; draperies ; cadis] [Etoffes ; de laine ; cadix],no,
gomme emery,2,,,[Etoffes ; de laine ; cadeligue],no,
gomme en feuilles,,,,[Cabas ; de laine],no,
gomme en grabeau,2,,,[Bure ; étoffe],no,
gomme en pâte,2,,,[Bure],no,
gomme euphorbe,2,,,[Burat d'auvergne],no,
gomme galanga,2,,,[bural] [Burat] [Burate] [Burats] [Buratte] [Burats de laine] [Buratte de laine] [Etoffe ; burat] [Etoffe burat] [Etoffes ; de laine ; burat] [Etoffes de laine burat],no,
gomme galle,2,,,[Etoffes ; de laine ; etamine ; burail] [Etoffes ; de laine ; Etamine ; burail],no,
gomme gedda,2,,,[Etoffes de bouracan],no,
gomme gutte,2,,,[Etoffes ; de laine ; bluteau] [Etoffes ; de laine ; en bluteau],no,
gomme herbes grandes,2,,,[Bermus de laine] [bernus de laine] [Bernus de laine],no,
gomme keraque,2,,,[Etoffe bayette grosse de laine],no,
gomme laque,5,,,[Toiles ; Des Indes ; Bayette],no,
gomme myrrhe,2,,,[Bayetes des pirses] [Bayetes des prises],no,
gomme odorie,2,,,[Bayettes de Beauvais],no,
gomme opoponax,2,,,[Bayes bleu et rouge],no,
gomme pour peintures et teinture,5,,,[Bayette bleu] [Toile bayette (bleue)] [Toile bayette bleue],no,
gomme quile,2,,,[Bayetes] [bayette] [Bayette] [Bayettes] [Drap ; draperie ; bay???] [Drap ; draperie ; bayette] [Drap ; draperie ; bryelle] [Etoffe bayette] [Étoffe bayette] [Etoffes bayette de laine] [Etoffes de Bayette] [Etoffe de camelot dit bayette] [Etoffes ; de laine ; bay] [Etoffe ; de laine ; ditte bayette] [Toile bayette] [Toille ; bayette],no,
gomme racines d'alizari,5,,,[Etoffes ; de laine ; barreau],no,
gomme rouge,2,,,[Etoffe ; de laine ; barat],no,
gomme sagapenum,2,,,[Etoffe ; de poil ; baracan] [Etoffe ; de poil ; beracon],no,
gomme sandaraque,2,,,[Baracan ; de laine] [Baracan de laine] [Etoffe ; de laine ; baracan] [Etoffes ; de laine ; baracan],no,
gomme séraphine,2,,,[Baracan / aune],no,
gomme séraphique,2,,,[baracan] [Baracan] [Barracan] [Barracans] [Bouracan] [Etoffe ; baracan],no,
gomme tacamaca,2,,,[Baignes],no,
gomme tandarac,2,,,[Anacoste] [Anascoles],no,
gomme thurique,2,,,[Etoffes ; de laine ; amer],no,
gomme topal,2,,,[Etoffe ; de poil ; allemande],no,
gomme verdet,2,,,[Toile fil en laine],no,
gonds,,,,[Tiretaine de laine],no,
goudron,2,,,[Etoffes ; de laine ; serge ; de Rouen],no,
goudron de Suède,2,,,[Etoffes ; de laine ; serge ; de Rome],no,
goudron et poix,2,,,[Serges ; de Londres et autres],no,
goudron et poix et résines,2,,,[Etoffe ; de laine ; serge ; drapée] [Etoffes ; de laine ; serge ; drapée],no,
gourgouran,6f,,,[Etoffes ; de laine ; en serge ; diverses] [Etoffes ; de laine ; serge ; diverses],no,
gournable,???,,,[Serge écarlatine] [Drap ; serge ; écarlatine],no,
gournable de chêne,7,,,[Serge ; de laine croisée],no,
gournable de sapin,,,,[Blicourt escarlate],no,
gousses,2,,,[ratinne teint],no,
gousses ???,9c,,,"[Etoffe ; au poil ; polini] [Etoffe ; de poil , poliny] [Etoffe ; de poil ; polimi] [Etoffe ; de poil ; polini] [Etoffe ; de poile ; polimy]",no,
gousses arabiques,2,,,[Polin ; gris] [Polin gris],no,
gousses de sandaraque,,,,[Etoffes ; de laine ; perpetuanne] [Etoffes ; de laine ; perpetuaux],no,
gousses du Sénégal,,,,[Peluche ; de laine] [Peluche de laine] [Peluches ; de laine] [Peluches de laine] [pluche de laine] [Pluches de laine] [Etoffes ; de laine ; peluche],no,
gousses gatte,2,,,[Etoffe ; de laine ; en molton ; imprimés] [Etoffes ; de laine ; molton ; imprimé],no,
gousses lagne,2,,,"[Laines filées, blanches et teintes]",no,
gouttières ou goulots,,,,[Lainages ; couvertures] [Lainages ; Couvertures],no,
gouvernail vieux,7,,,[Lanets ; de laine],no,
grabeau d'encens,5,,,[imperiale] [imperialle],no,
grabeau d'indigo,5,,,[Drap ; draperie ; fulaine] [Drap ; draperie ; furaine] [Drap ; draperie ; futaine],no,
grabeau d'ivoire,2,,,[Etoffes ; de laine ; florentine],no,
grabeau de canefice,,,,[Etoffe ; de laine ; teinte] [étoffe de laine sans specification teinte],no,
grabeau de cire,4,,,[etoffes de laine pure ou mellée],no,
grabeau de cochenille,,,,[Etoffes ; mélangées ; serge et laine ; large],no,
grabeau de corail,2,,,[Etoffes de laine pour nègres],no,
grabeau de galipot,,,,[etoffe de laine à faire mouffles],no,
grabeau de gomme,2,,,[Etoffe eternelle laine],no,
grabeau de mine,2,,,[Drogues ; de castor],no,
grabeau de mirthre,2,,,[Lainages ; draperies petites et étoffes] [Lainages ; Draperies petites et étoffes],no,
grabeau de myrrhe,2,,,[Couverture de ploc] [Couvertures ; de ploc] [Couvertures ; de plock] [Couvertures ; de plocq] [Couvertures ; de Plocq] [Couvertures ; de ploecq] [Couvertures ; deploeq] [Couvertures de ploc] [Couverture ; en plocq] [Couvertures ; en plocq],no,
grabeau de myrthe,2,,,[couvertes d'etouppe de laine],no,
grabeau de quinquina,2,,,[Etoffe ; de poil ; castalogne] [Etoffe ; de poil ; catalogne],no,
grabeau de sel ammoniac,,,,[Etoffes ; de laine ; catalogne],no,
grabeau de séné,,,,[Etoffe ; de poil ; bouras],no,
grabeau de tartre,2,,,[Toile mousseline brodée] [mousseline ; brodée],no,
grabeau de vermillon,,,,[Mousselinne / aune],no,
grabeau manelle,,,,[Marchandises des Indes ; Mousseline] [Mouselline] [mousseline] [Mousseline] [Mousselines] [mousselinne] [Moussline] [Mousselines diverses] [Mousselinette] [///Objets manufacturés///Mousselines] [Toiles dites de mousseline] [Toile ; mousseline] [Toile mousseline] [Toiles ; mousseline] [Toiles mousseline] [Toiles mousselines] [Toille ; mousseline],no,
grai gras,???,,,[Etoffes ; de coton ; en moleton] [Etoffes ; de coton ; molleton] [Etoffes ; de coton ; molton] [Moleton ; de coton] [Molton de coton],no,
grain avoine,0a,,,[cotton en meches pour chandelles],no,
grain avoine et froment,0a,,,[Coton ; en mêches],no,
grain baillarge,0a,,,[Drogues ; mauris],no,
grain blé,0a,,,[Toiles ; Des Indes ; Liménéas],no,
grain blé de Turquie,0a,,,[Limeneas ; bleues],no,
grain blé et autre grain,0a,,,[limenas] [Limenas] [Limencas] [Limenças] [limeneas] [Limeneas] [Limenéas] [Liméneas] [Liménéas] [Limèneas] [Linenas] [Toile ; limeneas] [Toile limencas] [Toile liméncas] [Toiles limencas] [Toille ; liménéa] [Toille Liménéas] [Toilles limeneas],no,
grain blé et autres,0a,,,[Indiennes Françoise],no,
grain blé et riz,0a,,,[Indiennes étrangéres],no,
grain cuscute,2,,,[Toiles ; Des Indes ; Indienne],no,
grain d'Espagne,0a,,,[Cotonades ; Toiles peintes et indiennes] [Cotonnade ; Toiles peintes et indiennes] [Cotonnades ; toiles peintes et indiennes] [Cotonnades ; Toiles peintes et indiennes],no,
grain de jardin,2,,,"[Cotonades ; Toiles peintes, indiennes et siamoises] [Cotonnades ; toiles peintes, indiennes et siamoises]",no,
grain de prune,0a,,,"[Cotonades ; toiles peintes, teintes et imprimées, indiennes et siamoises] [Cotonnades ; toiles peintes, teintes et imprimées, indiennes et siamoises]",no,
grain de Riga,0a,,,[indiene] [Indiene] [Indiènes] [indienne] [Indienne] [indiennes] [Indiennes] [Indïennes],no,
grain de verre,6k,,,[Hamacs de coton],no,
grain divers,0a,,,[Gingamp] [Gingan] [Gingas] [Ginguamp] [Guigans] [Guingain] [Guingamp] [Guingamps] [Guingan] [guingances] [Guingand] [guingans] [Guingans] [Guingarri] [guingas] [Guingas] [Guinguamp] [guinguan] [Guinguan] [Guinguans] [Guinguant] [Guingamps divers] [Guingans ; divers] [Toile ; de gingas] [Toile de guingas] [Toiles ; de gingas] [Toiles diverses ; gingas] [Toiles en Gingas] [Toile ; ginga] [Toile ; gingan] [Toile ; gingas] [Toile ; Gingas] [Toile ; ginges] [Toile ; guingas] [Toile ginagas] [Toile ginga] [Toile gingamp] [Toile gingard] [Toile gingas] [Toile Gingas] [Toile Gringas] [Toile guingamp] [Toile guingams] [Toile guingan] [Toile Guingansd] [Toile guingas] [Toile; gingas] [Toile; Gingas] [Toiles ; gingas] [Toiles ; Gingas] [Toiles gingas] [Toiles guingams] [Toille ; gingas] [Toille ginga] [Toille Ginga] [Toille Gingar] [Toille gingas] [Toille Guingac] [Toille Guingan] [Toille Guinguamg] [Toilles Guingamp] [Toiles ; mêlées ; gingas] [Toiles ; meslées ; Guigas],no,
grain en advestures de toute espèce,???,,,[Guincé bleu] [guiné Bleue] [Guinée ; bleu] [Guinée ; bleue] [guinée bleu] [Guinée bleu] [GUINEE Bleue] [guinée Bleue] [Guinée bleue] [Guinée Bleue] [Guinée bleuë] [Guinée Bleuë] [guinée Bleüe] [Guinée bleüe] [Guinée Bleüe] [Guinéé bleue] [Guinée blüe] [Guinée; bleuë] [Guinées ; bleues] [Guinées bleues] [Guynée bleue] [Toiles guinée bleue] [Toile ; guinée ; bleue] [Toile guinée bleue] [Toille guinée bleue],no,
grain épeautre,0a,,,[Toile guinée blanc] [Toile guinée blanche] [Toille guinée blanche] [Guincé blanc] [Guinée ; blanc] [Guinée blanc] [Guinée blanche] [Guinées ; blanches] [Guynée blanche],no,
grain froment,0a,,,[Guinee] [guinée] [Guinée] [Guinéen] [guinées] [Guinées] [Toile ; guinée] [Toile guinée] [Toile Guynée] [Toille ; guinée] [Toille guinée],no,
grain froment en gerbe,0a,,,[Cotonades ; Gazes et tulles],no,
grain froment par Bayonne et Marseille,0a,,,[Cotonades ; gazes] [Cotonnades ; gazes idem],no,
grain froment par Marseille,0a,,,[garad Bleu] [garade Bleue] [garas Bleu] [Garas bleu] [Garas Bleuë],no,
grain grenaille,0a,,,[Garas ; blanc] [Garas blanc] [Garas blanche] [Garas; blancs],no,
grain maïs,0a,,,[Etoffes ; de coton ; futaine] [futaine de coton] [Toiles ; De coton ; Fulaine],no,
grain maïs par Marseille,0a,,,[futaine] [Futaine] [Futaîne],no,
grain méteil,0a,,,[fil de cotton teint],no,
grain métillon,0a,,,[fil de cotton blanc],no,
grain métillon en gerbe,0a,,,[Coton fil] [Cotton Fil] [Fil ; de Cotton] [Fil de coton] [Fil de Coton] [Fil de cotons] [fil de cotton] [Fil de Cotton],no,
grain millet,0a,,,[Etoffes ; de coton ; eternelle],no,
grain orge,0a,,,"[Cotonnades ; étoffes, draps, velours, couvertures]",no,
grain orge en gerbe,0a,,,"[Cotonnades ; étoffes, draps et velours]",no,
grain orge et soucrion,0a,,,[etoffes de fil et cotton / aune] [Etoffe coton et fil] [Etoffe de cotton et fil] [Etoffes ; De coton et fil] [Etoffes ; de coton et fils ; diverses] [Etoffes ; de fil et coton] [Etoffes de fil et coton] [etoffes de fil et cotton] [Etoffe ; fil et coton] [Etoffe fil et coton] [Etoffes ; fil et coton],no,
grain orge et soucrion en gerbe,0a,,,[Etoffe de coton en drap] [Etoffes ; de coton ; en drap] [Etoffes de coton (en drap)],no,
grain orge germé,0a,,,[Coton etoffes ; des Indes],no,
grain orge paillarge,0a,,,[Etoffes ; de coton de fil],no,
grain orge par Marseilles,0a,,,[Etoffe de coton brodé],no,
grain orge perlé et mondé,0a,,,[Etoffes ; de coton ; brillant ; blanc],no,
grain riz,0a,,,[Cotonades ; Etoffes] [Cotonades ; étoffes] [Cotonnade ; Etoffes] [Cotonnades ; Etoffes] [Cotonnades ; étoffes idem] [Etoffes coton;] [Etoffes coton; Velours] [Etoffe ; de coton] [Etoffe de coton] [Etoffe de Coton] [Étoffe de coton] [Etoffes ; de coton] [Etoffes ; De coton] [Etoffes de camelot] [Etoffes de coton] [Etoffe ; de coton diverses] [Etoffe de coton diverses] [Etoffes ; de coton ; diverses] [Etoffes de coton diverses] [Etoffe divers ; de coton] [Etoffes ; diverses ; de coton] [Etoffes diverses de coton] [Etoffe fil en coton] [Etoffes sur coton] [///Objets manufacturés///Etoffes de coton],no,
grain sarrasin,0a,,,[Escamille] [Escamite] [escamitte] [Escamitte] [Escamittes] [escauritte],no,
grain seigle,0a,,,[Etoffes ; de coton ; drap ; imprimé] [Etoffes ; de coton ; en drap ; imprimé],no,
grain seigle avarié,0a,,,[Etoffe de coton en drap et velours],no,
grain seigle en gerbe,0a,,,[Etoffes ; de coton ; en drap ; teint],no,
grain seigle et blé,0a,,,"[Cotonades ; draps, étoffes de toute sorte] [Cotonnades ; draps, étoffes de toute sorte]",no,
grain seigle par Marseille,0a,,,[Drap ; de coton] [Drap de coton] [Etoffes coton; Drap] [Etoffes ; de coton ; draps ; de coton] [Etoffe en drap de coton],no,
grain soucrillon,0a,,,[Cotonades ; dentelles et blondes],no,
graine,2,,,[Demi guinée bleue],no,
graine ???,2,,,[couverture de lit de coton],no,
graine à chapelets,2,,,[couvertes de cotton] [Courvertures de coton] [Couverture ; de coton] [couverture de coton] [Couverture de coton] [Couvertures ; de coton] [Couvertures ; de Coton] [couvertures de coton] [Couvertures de coton] [Couvertures de cotons] [couvertures de cotton] [Couvertures de cotton] [Couvertures ; fil a coton] [Couvertures ; fil en coton] [Couvertures fil en coton] [Cotonades ; couvertures] [Cotonnades ; couvertures],no,
graine à chapelier,2,,,[Couverture d'indienne] [Couvertures ; d'indienne] [Couvertures ; d'Indienne] [couvertures d'indienne] [Couvertures d'indienne] [Couvertures indienne] [couvertures indiennes],no,
graine à chapelles,2,,,[Courtepointe de cotton d'Angleterre],no,
graine blanche,2,,,[Courtes pointes de coton],no,
graine d'alizari,2,,,[Courtepointe d'Indienne],no,
graine d'alkermès,2,,,[Toiles ; Des Indes ; Coupis],no,
graine d'alpiste,2,,,[coupis] [Coupis],no,
graine d'ambrette,2,,,[cotonne] [Cotonne] [Cotonnes] [cottone] [Cottone] [Cottonne],no,
graine d'ameas,2,,,[Etoffe ; de coton ; colonne] [Etoffe ; de coton ; cotonne] [Etoffe ; de coton ; cotonné],no,
graine d'angélique,2,,,[Cotonille] [cotonine] [Cotonine] [Cotonnille] [Cottonille] [cottonine] [Cottonine],no,
graine d'anis,2,,,[Coton ; teint] [coton teint] [Coton teint] [Coton Teint],no,
graine d'anis carvi coriandre etc.,0a,,,[Coton ; filé ; teint],no,
graine d'artichaut,2,,,[Coton ; filé ; rouge],no,
graine d'asperge,2,,,[coton filé fin d'once] [Coton filé fin d'once] [coton file fin donce] [Coton file fin donce] [coton filé fin donce] [Coton filé fin donce] [coton filé; fin d'once],no,
graine d'aspic,2,,,[Coton filé fin] [cotton filé fin] [Cotton filé fin],no,
graine d'Avignon,2,,,[Coton ; filé ; étranger],no,
graine d'écarlate,2,,,[Coton filé en laine] [Coton filé; En laine],no,
graine d'épicerie,2,,,[Coton ; Filé ; de Levant] [Coton ; filé ; du Levant] [Coton filé ; du Levant] [Coton file de Levant] [Coton filé du Levant] [Cotons ; Filet du Levant],no,
graine d'esparceil,2,,,[coton des Indes] [Coton des L'Indes] [Coton ; Filé ; des Isles] [Coton ; filé ; des Indes],no,
graine d'étain,2,,,[Coton filé ;de retour],no,
graine d'indigo,2,,,[Coton ; filé ; de Boza],no,
graine d'ivoire,2,,,[coton file commun] [coton filé commun] [Coton filé commun] [Coton filé comun] [Coton files commun] [Cotton ; filé commun] [Cotton file commun] [Cotton Filé commun] [Cotton filé comun],no,
graine d'oignon,2,,,[coton filé bleu],no,
graine d'oiseau,2,,,[Coton ; blanc ; filé] [Coton blanc filé],no,
graine d'oliette,,,,[Coton ; file] [Coton ; filé] [Coton ; Filé] [Coton ; filés] [coton file] [Coton File] [coton filé] [Coton filé] [Coton Filé] [Coton filé;] [Coton filée] [Coton fillé] [Coton; Filé] [Cotton ; filé] [cotton filé] [Cotton filé] [cotton filets] [Cotton fillé] [Cotton Fillé] [Cottons filés] [Couton filé] [cton ; fillé],no,
graine d'oliette et de sénegré,,,,[Coton ; à broder],no,
graine de,2,,,[Chilas] [Chille],no,
graine de bois de hêtre,2,,,[Etoffes ; de coton ; camelot],no,
graine de bois des Indes,2,,,[Cambay] [Cambaye],no,
graine de bois du Brésil,2,,,[Calicot],no,
graine de bouquette,2,,,[Toiles ; des Indes ; caladaris] [Toiles ; Des Indes ; Caladaris] [Marchandises des Indes ; Toiles des Indes ; Caladarit],no,
graine de brim,2,,,[Caladanis] [Caladaric] [Caladaris] [Caladarits] [Calladaris],no,
graine de brion,,,,[Etoffes ; de coton ; cadis ; ratiné],no,
graine de buisson,2,,,[Brocatelles ; de Venise],no,
graine de caillou,2,,,[Brocatelle],no,
graine de campêche,2,,,[Boura; de coton],no,
graine de canarico,2,,,[Toiles ; Des Indes ; Bétilles] [Toiles ; Des Indes ; De mousseline dite Betille],no,
graine de canaris,2,,,[Béthille] [Betille] [Betiller] [Betilles] [Bétilles] [Betittes] [Bettilles] [Toile bethille],no,
graine de cardamome,2,,,[Bazin ; tout coton],no,
graine de carotte,2,,,[basin rayé],no,
graine de chanvre,2,,,[basin peint],no,
graine de chanvre et de trèfle,2,,,[basin en aunes],no,
graine de chapelets,2,,,[Bazin de Indes] [Bazin des Indes] [Bazin des L'Indes] [Bazines des L'Indes] [Bazins des L'Indes] [Toiles ; des Indes ; Bazin],no,
graine de chou,2,,,[Basin ; de Troyes] [Basin de Troyes] [Bazin de troye],no,
graine de chou-fleur,2,,,[Basin ; de Rouen],no,
graine de clave,2,,,[Toile de bazin en fil],no,
graine de cochenille,2,,,"[Cotonades ; toiles unies, bazin et nankin] [Cotonnades ; toiles unies, bazin et nankin]",no,
graine de colza,2,,,"[Cotonades ; Toiles, basin et nankin] [Cotonnade ; Toiles, basin et nankin] [Cotonnades ; toiles, basin et nankin] [Cotonnades ; toiles, bazin et nankin] [Cotonnades ; Toiles, bazin et nankin]",no,
graine de colza et ?,,,,"[Bazin ; de Bruges ; écru ; en pièces de 11,5 aunes]",no,
graine de coton,2,,,[Basin commun] [Bazin ; commun] [Bazin commun],no,
graine de cumin,2,,,[Bazin ; blanc ; de 11 aunes],no,
graine de d'Alma Christi,2,,,[Bazin ; blanc ; de 10 aunes],no,
graine de diverse,2,,,[basin blanc] [Basin blanc] [Bazin ; blanc],no,
graine de fenouil,2,,,[basin] [Basin] [Batin] [Bazain] [bazin] [Bazin] [Bazins] [Toile ; de bazin] [Toile ; de Bazin] [Toile de bazin] [Toiles ; de bazin] [Toiles ; de Bazin] [Toiles diverses ; bazin],no,
graine de foin,2,,,[Toiles ; Des Indes ; Bajutapeaux],no,
graine de foin de luzerne et de trèfle,,,,[Toile bajutapaux commun],no,
graine de France,2,,,[Bajetapeaux] [Bajitapau] [bajutabeau] [bajutapau] [Bajutapau] [bajutapaux] [Bajutapaux] [Bajutapeau] [Bajutapeaux] [cajutapau] [Toile bajutapaux] [Toile bajutapeaux] [Toiles bajutapaux] [Toille ; bajutapaux] [Toille ; Bajutapeaux],no,
graine de genièvre,0a,,,[Toiles ; Des Indes ; Baffetas],no,
graine de genièvre graine comestible,0a,,,[bafetas Bleu] [Bafetas bleu] [baffetas Bleu] [Baffetas bleu] [Baffetas Bleu],no,
graine de houx,2,,,[Baffetas blanc],no,
graine de jardin,2,,,[Amertis],no,
graine de kin,2,,,[Alibania] [alibanic] [Alibanic] [alibanir] [alibanis] [Alibanis] [Alibans] [Allibanis],no,
graine de laitue,2,,,[Toile ; de coton ; en bazin] [Toile de coton en bazin] [Toiles de coton en bazin],no,
graine de laurier,2,,,[Toiles ; De fil de coton ; Siamoise],no,
graine de laurier dite bekelaers,2,,,[toille de cotton teinte bas prix],no,
graine de léen,2,,,[Toiles ; de coton ; saisie],no,
graine de lin,2,,,[Toile ; de coton ; rousse],no,
graine de lin à battre huile,,,,[Toile fil en coton rayé] [toile de coton rayé] [Toiles de coton rayée] [Toille ; de coton ; rayée] [Toille de cotton rayée],no,
graine de lin et à semer,,,,[Toiles de coton quadrillée],no,
graine de lin et grasse,2,,,[Toilles ; de coton ; peintes ; nationales],no,
graine de longue,2,,,[Toiles de coton peinte et indienne] [Toiles de coton peintes et indienne],no,
graine de lupin,2,,,[Toiles ; de coton ; indienne],no,
graine de luzerne,2,,,[toile de coton peinte et imprimé],no,
graine de luzerne et de trèfle,2,,,"[toile de coton peinte, peigne et imprimé]",no,
graine de melon,2,,,[toile de coton imprimé haut prix],no,
graine de moutarde,0a,,,[toile de coton imprimé bas prix],no,
graine de mûrier,0a,,,[toile de coton imprimé / aune],no,
graine de muscade,2,,,[toile de coton imprimé] [Toile ; de coton ; imprimé] [Toile ; de coton ; imprimée] [Toile de coton imprimée] [Toiles ; de coton ; imprimée] [Toiles de coton imprimée] [Toille ; de coton ; imprimée] [toille de Coton imprimée],no,
graine de navette,2,,,[toille de cotton teinte haut prix],no,
graine de paradis,2,,,[Toile fine de coton],no,
graine de perles,,,,[Toiles des Indes ; de coton étranger],no,
graine de perroquet,2,,,[Toiles de coton ; de coton étranger],no,
graine de pirrette,2,,,[toille de coton (à imprimer)],no,
graine de prairie,2,,,[Toiles de coton pour nègres],no,
graine de prairie et de trèfle et luzerne,2,,,[Toile de coton et nankin] [Toiles de coton et nankin],no,
graine de pré,2,,,[Toile de coton en fil] [Toile ; De fil de coton] [Toiles ; De fil de coton ; Diverses] [Toiles ; De fil de coton diverses] [Toile ; fil de coton] [Toile fil en coton],no,
graine de rabette,2,,,[Toile basin de coton commune],no,
graine de rosette,2,,,[Toile basin de coton] [Toile bazin de coton],no,
graine de sagou,2,,,[Toiles ; bazin ; clair ; uni],no,
graine de sainfoin,2,,,[Toile de coton commune],no,
graine de Saint-Domingue,2,,,[Toile bazin commun],no,
graine de sapin,,,,[Toile de coton bleüe] [Toile de cotton bleuë] [Toille de cotton bleu],no,
graine de sapotille,2,,,[Toiles de coton blanches rayées],no,
graine de senegré,2,,,[Toilles ; de coton ; blanches ; nationales],no,
graine de sénegré,,,,[Toile blanche fine de coton],no,
graine de silvestre,2,,,[Toilles ; de coton ; blanches ; de l'Inde] [Toiles ; des Indes ; coton ; blanche],no,
graine de soude,2,,,[toile de coton blanche bas prix],no,
graine de tabac,2,,,[Toile ; de coton ; blanche] [Toile ; de coton blanche] [Toile de coton blanche] [Toiles ; de coton ; blanches] [Toiles de coton blanche] [toiles de coton blanches] [Toiles de coton blanches] [Toille de coton blanche] [toille de Cotton blanche] [Toille de Cotton blanche],no,
graine de trèfle,2,,,[pluche de cotton],no,
graine de tremaine,2,,,[Toiles ; Des Indes ; Nicanéas] [Toille ; nicanéar] [Nacaneas] [Necaneas] [Nécanéas] [necaniade] [necanias] [Necanias] [Nécanias] [Nekanias] [Nicamias] [nicancas] [nicaneas] [Nicaneas] [nicanéas] [Nicanéas] [Nicanée] [nicanees] [Nicanées] [Nicanes] [Nicanés] [Nicanés = Nicanéas] [Nicanias] [Niicane] [Toile ; micanéas] [Toile nicaneas] [Toile nicanéas] [Toile nieanéas] [Toiles nicanéas] [Toille ; micanéa] [Toille nicanéas] [Toilles Nicanais],no,
graine de trioter,2,,,[Toiles ; des Indes ; guinée ; blanche] [Toiles ; Des Indes ; Guinée blanche],no,
graine de truelle,2,,,[Toiles ; des Indes ; guinée ; blanche et bleue] [Toiles ; Des Indes ; Guinée blanche et bleue],no,
graine de vermillon,2,,,"[Cotonades ; gazes, crêpes et tulles] [Cotonnades ; gazes, crèpes et tulles] [Cotonnades ; gazes, crêpes et tulles]",no,
graine de vermillon ou d'eolatte,2,,,[Toile ; et etoffes ; de coton],no,
graine de vers à soie,2,,,[Tissus de fil et coton mélangés],no,
graine de vesse,2,,,[Doreas] [Doréas],no,
graine de zedoria,2,,,[Bazin ; pièces de 15 aunes],no,
graine des Indes,2,,,[Bazin ; pièces de 11 aunes],no,
graine diverse,2,,,[Etoffe ; velour ; de coton] [Etoffes de velour de coton],no,
graine diverse et de jardin,2,,,[Toile siamoise fil en coton] [etoffes de fil et cotton dite sciamoises] [Siamoise ; fil et coton] [Siamoises fil et coton] [Toiles ; de fil ; en coton ; siamoise] [Toiles ; de fil et coton ; siamoise] [Toiles ; De fil et coton ; Siamoise] [Toiles de fil et coton ; siamoise] [Toiles de fil et coton siamoise] [toile de fil et de coton dite Sciamoise] [Toile de fil et coton en siamoise] [Toile de fil et coton ; siamoise] [Toile de fil et Coton Siamoise] [Tooile ; en siamoise ; fil et coton] [Toile ; fil et coton ; en siamoise] [Toile ; fil et coton ; siamoise] [Toiles ; fil et coton ; siamoise] [Toiles fil et coton ; siamoise] [Toile ; siamoise ; fil et coton] [Toile ; Siamoise ; fil et coton] [Toile siamoise fil et coton] [Toiles ; siamoise ; fil et coton] [Toiles ; siamoise fil et coton] [Toiles siamoise fil et coton] [Toille ; siamoise ; fil et coton] [Toille siamoise fil et coton] [Toilles ; siamoises ; fil et coton],no,
graine du jardin,2,,,[Vieux ; Linge],no,
graine du soucrillon,2,,,[Tripe ; de velours] [Tripe de velour] [Tripe de velours] [Tripes ; de Velours] [Tripes de velours] [Trippe ; de velou] [Trippe ; de velour] [Trippe ; de velours] [Trippe de velour] [Trippe de velours],no,
graine écarlate,2,,,[Trippe ; de Lannoy],no,
graine et graine de lin,2,,,[Etoffes ; de fil et laine ; en tripe],no,
graine et semence froide,2,,,[Tresse de fil],no,
graine fermentale,2,,,[Toile ; de lin ; lingerie],no,
graine grainette,2,,,[Toile de lin fil d'epreuve],no,
graine grasse,2,,,[Toiles ; de lin ; claire et gaze],no,
graine huile d'olive,2,,,[Toile ; fleuret et blancard] [Toile ; fleurs et blancard],no,
graine jaune,2,,,[Toiles ; fil et laine de Lille],no,
graine jaune d'Avignon,2,,,[Toile de coton de duvet],no,
graine jaune d'Avignon ou nerprun,2,,,[Toiles ; fil et laine à carreaux],no,
graine jaune dit wauwe,2,,,[Tissu de fil],no,
graine longue,2,,,[Tiretaine] [Tirtaine],no,
graine metillon,2,,,[Tavelle fil et laine],no,
graine pour teinture,5,,,[tavelle] [Tavelle] [tavelles] [Tavette],no,
graine rouge,2,,,[Tapisserie ; vieille] [Tapisserie ; vieilles],no,
graine vermillon,2,,,[Tapisserie ; verdure],no,
graine verte,2,,,[Tapisserie ; pour chaise],no,
grainette,2,,,[Tapisserie ; point ; d'Hongrie] [Tapisserie ; point d'Hongrie],no,
grainette jaune,2,,,[Tapisserie ; peint ; d'Hongrie] [Tapisserie ; peinte ; d'Hongrie],no,
grains à chapelets,2,,,[Tapisserie ; peint] [Tapisserie ; peinte] [tapisserie peinte],no,
grains ails,2,,,[Tapisserie; fine ; coutil],no,
grains de cire,4,,,[Tapisseries filozelle et laine],no,
grains de cire blanche,4,,,[Tapisserie faux de toille],no,
grains de coton,2,,,[Tapisserie ; de gobelins] [Tapisserie ; des gobelins] [Tapisserie ; des Gobelins] [Tapisserie ; des goblins] [Tapisserie ; des Goblins] [Tapisserie des Gobelins] [Tapisseries ; des Gobelins] [Tapisseries des Gobelins],no,
grains de genièvre,0a,,,[Tapisserie de verdure],no,
grains de lin,2,,,[Tapisserais ; de Roüen] [Tapisserie ; de rouen] [Tapisserie ; de Rouen] [Tapisserie ; de Roüen] [Tapisserie de Rouen] [Tapisserie; de Roüen] [Tapisseries ; de Roüen] [Tappisserie de Rouen],no,
grains de plomb,6j,,,[Tapisserie ; de point d'hongrie] [Tapisserie ; de point d'Hongrie] [Tapisserie de point d'Hongrie],no,
grains de séné,2,,,[Tapisserie; de la Marche],no,
grains de trèfle,2,,,[Tapisserie ; d'Hongrie],no,
