product,orthographic_normalization,note
Cuivre Rouge,cuivre ; rouge,
Bois ;;mairin;a Barrique,merrain ; à barrique,
Vert de vessie,verd ; de vessie,"Encyclopédie, Diderot & d'Alembert : Verd de vessie, (Arts.) pâte dure qu'on prépare avec le fruit de nerprun ; les Teinturiers & les Peintres s'en servent."
Verre d'ambre,verre ; d'ambre,
Touques petites,touques ; petite,
Sacs,sac,
Rouge clair,rouge ; clair,
Racine d'angeliquz,racine ; d'angélique,"Encyclopédie, Diderot & d'Alembert : ANGELIQUE, (Medecine.) des quatre especes d'angélique énoncées par Dale, celle de Boheme est la meilleure. C'est l'angelica officin. angelica sativa, C. B. imperatoria sativa, Tourn. Inst. 317. La racine de"
Poupée d'Enfant,poupée ; d'enfant,
Porcelaire,porcelaine,
Poivre en grain,poivre ; en grain,
orge;mondé,orge ; mondée,
Noir;fumé,noir ; de fumée,
Nates;de Jon,natte ; de jonc,
Mine;de plomb,mine ; de plomb,
Manches de Balais,manche ; de balai,
Lin en masse,lin ; en masse,
Lin; prét;a filer,lin ; prét à filer,
Manches de lave place,manche ; à lave place,
inde plate,indes ; plate,
huile de Vitriol,huile ; de vitriol,
huile de Noix,huile ; de noix,
Gérofle,girofle,
fer en fleaux,fer ; en fléau,
fer blancs,fer ; blanc,
Espares,épart,
Cruches de gréz,cruche ; de grès,
Couperose Blanches,couperose ; blanche,
Colliatour;moulu,bois ; de caliatour ; moulu,
Cole;forte,colle ; forte,
Cole; de poisson,colle ; de poisson,
Cole;commune,colle ; commune,
Chaise;d'Enfant,chaise ; d'enfant,
Brun; Rougs,brun ; rouge,
Bourlets; de velours,bourrelet ; de velours,
Bois ; de Sermambourg,bois ; de Pernambouc,
Bois ; d'olivier,bois ; d'olivier,
Bois ; de brézil,bois ; de Brésil,
Baleine;coupé,baleine ; coupée,
ambre;Jaune,ambre ; jaune,
Sucreterie,sucreterie,
Tripes; de beuf; Saléer,tripes ; de bœuf ; salées,
Plomb;en planches,plomb ; en planche,
Pois; Secs,pois ; sec,"cnrtl.fr : POIS : Graine comestible, de forme ronde, enfermée dans une gousse ou cosse verte. Petits pois (synon. pois verts p.oppos. à pois secs)"
Peinture;preparée,peinture ; préparée,
huitres;a mariner,huître ; marinée,
Ferés,ferré,
fer en feuillard,fer ; en feuillard,
Eau de roze,eau ; rose,
Bray ; séc,bray ; sec,
Solivaux,soliveaux,cnrtl.fr : SOLIVEAU : Petite solive.
Planches; de Sapin,planche ; de sapin,
Planches; de Sapin; 8 pieds,planche ; de sapin ; de 8 pieds,
Morue;verte,morue ; verte,
Maquereaux; Sallé,maquereau ; salé,
Bois ; ; mairin; a Bariques,bois ; de merrain ; à barrique,
Toile a matelat,toile ; à matelas,
Toile de chollet,toile ; de Cholet,
Poéles a frire,poêle ; à frire,
Gillets de molton,gilet ; de molleton,
Bœuf d'Irlande,bœuf ; d'Irlande,
Peaux de loup,peau ; de loup,
Pelletries,pelleterie,
Peaux de veaux aprêtées,peau ; de veau ; apprêtée,
Peaux blanche,peau ; blanche,
Guinées,guinée,
Blanchissoires,blanchissoire,
Peaux de Loups,peau ; de loup,
Eau de Milice,eau ; de mélisse,
Surons,,
Nates de paille,,
Toile ecrüe,,
Fer en poëles,,
Toile Lavale,,
Toile beurière,,
Tenaille,,
Selle,,
Plomb en barre,,
Huile de navettes,,
Fer en poël,,
Cloux de caboche,,
Boeuf,,
Vin du fayal,,
Peaux de chevraux,,
Toile Laval,,
Jarretieres d'argent,,
Fer à cheval,,
Etoffe à peu de soye,,
Cotonettes,,
Chemises de guingas,,
Turquoise des prises,,
Tresse de soye,tresse ; de soie,
Tresse d'or,,
Toile cotrai,,
Tasses de terre blanche,,
Serges des prises,,
Serge drapée,,
Ruban d'argent,,
Plumes d'autruches apretées,,
Pequin,,
pane des prises,,
Moules de boutons,moule ; de bouton,
Mitaines de peaux liserés de soye,,
Mignonettes de prise,,
Marchandises de Montauban,,
Laine à broder,,
Ivies,,
Habillement brodez d'or,,
Habillement brodé de soye,,
Grisettes de soye,,
Grisette de laine,,
Gase de soye,,
Gase à peu de soye,,
Foulard des prises,,
Flutes de bois de buis,,
Finetes de prises,,
Fil de Niort,,
Fer en canon,,
Espagnolettes des prises,,
Effile de fil,,
Drap des prises,,
Courrois,,
Chapeaux fins des prises,,
Carou,,
Buis ouvré,,
Bourses or et argent,,
Bourre à bastier,,
Bazanes,,
Bayetes des prises,,
bahus,,
Agrements de soye,,
Agrements de fil,,
Sucre ; cassonade,sucre ; cassonade,
Pois ; de Bourgogne,poix ; de Bourgogne,cnrtl.fr : POIX DE BOURGOGNE : ou poix des Vosges (obtenue par dessiccation du suc résineux de l'épicéa).
Mmorue ; verte,morue ; verte,
Fer ; en cercles,cercle ; de fer,
Bureaux ; vernis,bureau ; verni,
Boutons ; de coco,bouton ; de coco,
Vin ; de Xeres,vin ; de Xérès,"Cnrtl.fr : Xérès ou Jerez : Vin blanc liquoreux sec ou doux, de couleur pâle ou foncée, produit dans la région de Jerez à partir de cépages variés."
Laine ; en toison,laine ; en toison,
Brais ; sec,brai ; sec,
Brais ; gras,brai ; gras,
Rogues ; de morue,rogue ; de morue,"Encyclopédie, Diderot & d'Alembert : Rogue, Rave ou Resure, terme de péche, est une sorte d'appât dont les pêcheurs se servent pour attirer le poisson, & le prendre ensuite lorsqu'il a mordu l'appât;"
Or et argent ; faux,or et argent ; faux,
Graine ; d'Avignon,graine ; d'Avignon,
Bois ; de violette,bois ; de violette,
Planches de sapin ; demies planches,planche ; de sapin ; demie planche,
Passepierre,passe-pierre,
Souffre en canon,soufre ; en canon,
Fer en enclumes,fer ; en enclume,
Bureaux vernis,bureau ; verni,
Boutons de coco,bouton ; de coco,
Bois de gayas,bois ; de gaïac,
Vin de Xeres,vin ; de Xérès,"Cnrtl.fr : Xérès ou Jerez : Vin blanc liquoreux sec ou doux, de couleur pâle ou foncée, produit dans la région de Jerez à partir de cépages variés."
Brais gras,brai ; gras,
Rogues de Moruë,rogue ; de morue,"Encyclopédie, Diderot & d'Alembert : Rogue, Rave ou Resure, terme de péche, est une sorte d'appât dont les pêcheurs se servent pour attirer le poisson, & le prendre ensuite lorsqu'il a mordu l'appât;"
Or et argent faux,or ; et argent ; faux,
Bois de violette,bois ; de violette,
Soucis,soucis,
Moutarde,moutarde,
Drap de Louviers,,
Chapeaux micastors,,
Baudriers de cuir,,
pelletrie,pelleterie,
Peaux;de cerf § chevreuil,peau ; de cerf et chevreuil,
Jus; de citron,jus ; de citron,
Cuirs; de beuf; Illinois,cuir ; de bœuf ; d'Illinois,
Planches ; de Sapin;ordinaires,planche ; de sapin ; ordinaire,
fautx a faucher,faux ; à faucher,
Bois ;;mérain;a fonds,merrain ; à fond,
Bois ;;merain;à barriques,merrain ; à barrique,
Vuide Constance,vuide Constance,
Touques de gréz,touques ; de grès,
Ruban ;Fil § Laine,ruban ; de fil ; et laine,
Raisine;de Jalap,résine ; de jalap,"cnrtl.fr : JALAP : Jalap, (Mat. méd.) le jalap est une racine qu'on nous apporte de l'Amérique, dans un état très - sec, & coupée en tranches. L'extérieur en est noir ou très brun, & le dedans d'un gris foncé, & même un peu noirâtre, parsemé de"
Poix de bourgongne,poix ; de Bourgogne,cnrtl.fr : POIX DE BOURGOGNE : ou poix des Vosges (obtenue par dessiccation du suc résineux de l'épicéa).
Planches; de Sapin;ordinaire,planche ; de sapin ; ordinaire,
Noir de fumés,noir ; de fumée,
Marbre en pierres,marbre ; en pierre,
Largue platte,laque ; plate,
Jardiéres de laine,jardiére de laine,
Graine;de Jardin,graine ; de jardin,
Galons de laine,galon ; de laine,
fleur de Souffre,fleur ; de soufre,
fiolles de verre,fiole ; de verre,
fer;en verges,fer ; en verge,
fer;rond,fer ; rond,
fer ;en fleaux,fer ; en fléau,
fer en bottes,fer ; en botte,
Connoissement,connoissement,
Cendre;bleue et verte,cendre ; bleue et verte,
Carmin,carmin,
Boure de beuf,bourre ; de bœuf,
Bois ;;jaune;rapé,bois ; jaune ; râpé,
Bois ; de Camanbourg,bois ; de Camanbourg,
Bois ; de campeche en buches,bois ; de campêche ; en bûche,
Bois ; de brezil rapé,bois ; de Brésil ; rapé,
Bleu; de Prusse,bleu ; de Prusse,
Blan;de baleine,blanc ; de baleine,
Barriques;Vuides,barrique ; vide,
Ballaine en fanon,baleine ; en fanon,
harangs blans,hareng ; blanc,
Morue;;Séche,morue ; sèche,
Morue;; verte,morue ; verte,
Maqueraux Sallés,maquereau ; salé,
Toille linge de table,toile ; linge de table,
Gillet de molton,gilet ; de molleton,
Galons d'argent,galon ; d'argent,
Etofe de soye,étoffe ; de soie,
Chapeaux de castor unis,chapeau ; de castor ; uni,
Camellot de soye,camelot ; de soie,
Cabriollet,cabriolet,
Peaux d'origniaux,peau ; d'orignal,
Féves,fève,
poids ; verds,poids ; vert,
Vin ; de Cheris,vin ; de Cheris,
Verres ; de Christal,verre ; de cristal,
Terre ; dombre,terre ; d'ombre,
Terra Merita,terra-mérita,
Stil ; de grain,stil de grain,"encyclopédie, Diderot & d'Alembert : STIL DE GRAIN, (Peint.) pâte jaune faite avec une espece de craie ou marne blanche, qu'on teint par une décoction de graines d'Avignon dans de l'eau, jointe à de l'alun ordinaire. De ce mélange, on en forme"
Ruban ; de laine,ruban ; de laine,
Planches ; de sapin ; de rebut,planche ; de sapin ; de rebut,
Planches ; de sapin ; de 26 pieds,planche ; de sapin ; de 26 pieds,
Pierres ; d'emery,pierre ; d'émeri,
Orpis ; rouge,orpin ; rouge,
Mats ; petits,mât ; petit,
Jongs,jonc,
Gomme ; sagapenum,gomme ; sagapénum,
Gomme ; opoponax,gomme ; opoponax,
Gomme ; laïque,gomme ; laque,
Gomme ; ederée,gomme ; édorée,
Gomme ; animée,gomme ; animée,
Garance ; bilon,garance ; billon,
Fil ; de silesie,fil ; de Silésie,
Fil ; de fer ; passe perles,fil ; de fer ; passe perle,
Fer ; en poëles ; a frire,fer ; en poêle à frire,
Essence ; de vitriol,essence ; de vitriol,
Cuivre ; en hopitaux,cuivre ; en hôpitaux,
Cuir ; en echantillons,cuir ; en échantillon,
Cercles ; de bois,cercle ; de bois,
Cascarille,cascarille,
Boulettes ; de marbre,boulette de marbre,
Bois ; merrain ; à barriques,merrain ; à barrique,
Bois ; merrain ; a tierçons,bois ; merrain ; à tierçon,
Bois ; merrain ; a pipes,merrain ; à pipe,
Bois ; merrain ; a fonds,bois ; merrain ; à fond,
Bois ; merrain ; a fond,bois ; merrain ; à fond,
Bois ; merrain ; a barrriques,bois ; merrain ; à barrique,
Bois ; merrain ; a barriques,bois ; merrain ; a barrique,
Bois ; de merrain a fond,bois ; de merrain a fond,
Bled; seigle,bled ; seigle,
Batons ; vernis,bâton ; verni,
Barres ; de guindeaux,barre ; de guindeaux,
Avirons ; polis,aviron ; poli,
Alumettes,allumette,
Toile linge de table et serviettes,,
Toiles de toutes especes,,
Huille commune d'olive,,
Huille d'olive fine,,
Draperie de toute espece,,
Cordilatrie,,
Vin de bourg,,
Demi-cuirs de beuf tannés,,
Toille grossière,,
Spermaetty,,
Fil de fer diverses,,
Toille de brabant,,
Toille beurière,,
Cuirs de bœuf tanné,,
Chair sallé,,
Meules a tailandier,,
Toile ; linge de table ; serviettes,toile ; linge de table ; à serviettes,
Toile ; linge de table ; napes,,
Toile ; gingas,toile ; gingas,"cnrtl.fr : Gingas : Toile, généralement à carreaux bleus et blancs, servant à la confection des matelas."
Toile ; de Saint Quentin,toile ; de Saint Quentin,
Toile ; de menage,toile ; de ménage,
Toile ; de flandre,toile ; de Flandre,
Toile ; coutil,toile ; coutil,"cnrtl.fr : Coutil : Toile de chanvre, de lin ou de coton, d'un tissage croisé, fortement serré, propre à faire des tentes, des enveloppes de matelas, d'oreillers, etc., ou à confectionner certains vêtements."
Planches de sapin ou pin,,
Mouchoirs cholet,,
Marchandies melées,,
Volaille ; poulets,,
Volaille ; dindons,,
Volaille ; chapons,,
Tables en bois,,
Sonde ou soude,,
Serges de Montauban,,
Pomes,,
Peaux de dains apretées,,
Peaux de buffle,peau ; de buffle,
Leton,laiton,
Graine millot,,
Gome,,
Gans liseré de soye,,
Fil or et argent,fil ; or et argent ; fin,
Fil de niord,,
Drap d'angletterre,,
Dents d'elephants,,
Dentelle de fille,,
Cuirs de vache tanés,,
Crasse d'huille,,
Cordelats,,
Coffres,coffre,
Cheses de paille,,
Sucre terré en forme,sucre ; terré ; en forme,
Sucre derabe,sucre ; d'érable,
Sucre;brut,sucre ; brut,
Bougie; de cire; verte,bougie ; de cire ; verte,
Bois ; de Sap,bois ; de sapin,
Bœufs Illinois,bœuf ; illinois,
Poivre géroflé,poivre ; girofle,
Cuivre brute Rouge,cuivre ; brut ; rouge,
Bois ; merain a Quarts,bois ; merrain à quart,
Bois ; merrin a pipes,merrain ; à pipe,
Bois ; merrin a barique,merrain ; à barrique,
Vin de Constance,vin ; de Constance,
Vernir,vernis,
Verd d'eau,verd ; d'eau,
Sulmac,sumac,
Sacs vieux,sac ; vieux,
Ruban de Fil § laine,ruban ; de fil ; et laine,
poivre blanc,poivre ; blanc,
plomb Laminé,plomb ; laminé,
Planches de Sapin ; ordinaires,planche ; de sapin ; ordinaire,
Planches de Sapin ; 12 a 14 pieds,planche ; de sapin ; 12 à 14 pieds,
Planches de Sapin ; 18 pieds,planche ; de sapin ; de 18 pieds,
Pierres a Razoir,pierre ; à rasoir,
Papier à Lettre,papier ; à lettre,
Papier Blancs,papier ; blanc,
Massicots,massicot,
Marchandise Mêléer,marchandise mêlée,
Lime de fer,lime ; de fer,
Langue de Morue;,langue ; de morue,
herbes; d'orseille,herbe ; d'orseille,
huille de palmes,huile ; de palme,
huille de muscade,huile ; de muscade,
huille de lin,huile ; de lin,
huille de girofle,huile ; de girofle,
huille d'anis,huile ; d'anis,
Guipons,guipon,
Graine de treffle,graine ; de trèfle,
Graine d'ognons,graine ; d'oignon,
Gomme apoponase,gomme ; opoponax,
Gomme Elemy,gomme ; élemi,
fontaines de fer Blanc,fontaine de fer blanc,
fil a voiles,fil ; à voile,
fil a marques,fil ; à marquer,
fil de Laiton,fil ; de laiton,
fer en plat,fer ; en plate,
fer en Etocks,fer ; en étau,
fer en Enclumes,fer ; en enclume,
fer en balances,fer ; en balance,
Esprit;de sel;armoniac,esprit ; de sel ; d'ammoniac,
Espars Simples,espar ; simple,
Esparts Doubler,espar ; double,
Couperose; blanche,couperose ; blanche,
Contre;foyer;de fer,contre-foyer de fer,
Coffre a thé,coffre ; de thé,
Cochenille Silvestre,cochenille ; silvestre,
Brosses a gaudronner,brosse ; à goudronner,
Bois ; merain a barriques,merrain ; à barrique,
Bois ; de Fermanbourg moulu,bois ; de Fernambourg ; moulu,
Bois ; de Fermanbourg en Buches,bois ; de Fernambourg ; en bûche,
Bois ; de campêche en moulu,bois ; de campêche ; moulu,
Bois ; de campêche en Buches,bois ; de campêche ; en bûche,
Bois ; de Brésil en Buches,bois ; de Brésil ; en bûche,
Biére,bière,
harangs Sors,hareng ; saur,
Vin du cap,vin ; du Cap,
Térébantine,térébenthine,"cnrtl.fr : térébenthine : Résine semi-liquide, très odorante, que l'on recueille par gemmage de certains conifères et des térébinthes et dont on tire de nombreux produits (baumes, collophane, vernis, cires) et des substances pharmaceutiques."
fer en verger,fer ; en verge,
Cuisser d'oye,cuisse ; d'oie,
Planches de Sapin ; 7 a8 pieds,planche ; de sapin ; 7 à 8 pieds,
Planches de Sapin ; 9 a 10 pieds,planche ; de sapin ; 9 à 10 pieds,
Planches de Sapin ; 10 a 11 pieds,planche ; de sapin ; 10 à 11 pieds,
Planches de Sapin ; 12 pieds,planche ; de sapin ; de 12 pieds,
Macqueraux Salés,maquereau ; salé,
Manches de gaffe,manche ; de gaffe,
Espard,épart,
Bois ; merrin a Pipes,merrain ; à pipe,
Bois ; merrin a Fonds,merrain ; à fond,
Bois ; merrin a Barrique,merrain ; à barrique,
Verres a vittres,verre ; à vitrer,
Toille a voilles,toile ; à voile,
Drap ecarlatine,drap ; écarlate,
Bouras a cheveux,bourras ; à cheveu,
Toile; d'embalage,,
Rognures de cartes,rognure ; de carte,
Peaux de cerf en poil,,
Huile de genièvre,,
Marchandises mellées,marchandise ; mêlée,
Vin de cahors,,
Mouchoirs Cholet,,
Haches hoües et serpes,,
Fil a tisseran,,
Cuirs de bœuf tanés,,
Ble d'inde,,
Peleterie,,
Reglise,,
Volailles poulets,,
Toilles à carreaux,,
Toille beurriere,,
Toile de Gand,,
Toile de frise,,
Peaux de moutons aprettées,,
Peaux de daint aprettées,,
Peaux de cerf paretées,,
Laine grossiere,,
Laine de Bearn,,
Graine de millot,,
Graine de caron,,
Graine d'oignons,,
Culottes de laine tricottées,,
Cordeillards,cordeillard,
Cheveaux,cheval,
Cards à carder,,
Bœufs salés,,
Peaux de Castor sec,peau ; de castor ; sec,
Maqueraux Salin,maquereau ; salé,
cuirs Tannés,cuir ; tanné,
canéfice,canefice,
Bois ;;mairin,bois ; merrain,
Bois ;;mairin;a bariques,merrain ; à barrique,
Planches demie prusse,planche ; de Prusse ; demie,
Planches de Sapin ; demies,planche ; de sapin ; demie,
Planches de Sapin ; petite,planche ; de sapin ; petite,
Planches de Sapin ; 15 pieds,planche ; de sapin ; de 15 pieds,
fer;en poëles;a frire,fer ; en poêle à frire,
Bois ;;mairin;à pipes,merrain ; à pipe,
verd ;de grin,vert-de-gris,
Tutic,tutie,cnrtl.fr : Tuthie ou Tutie : Chimie : Oxyde de zinc résultant de la calcination de certains minerais et entrant dans la préparation de certains collyres. Onguent de tutie.
Theyeres d'Etain,théières ; d'étain,
Theyeres de cuivre,théières ; de cuivre,
Ruban de laine,ruban ; de laine,
quinquaille de fer,quincaille ; de fer,
Poivre Lang,poivre ; lang,
Poivre gerofle,poivre ; girofle,
Mercerie ordinaires,mercerie ; ordinaire,
Mercerie de Bois ;,mercerie ; de bois,
Mats diverse,mât ; divers,
Manches;a lave;place,manche ; à lave place,
Lin en pierres,lin ; en pierre,
Jaune de Naples,jaune ; de Naples,
Grain,graine,
Huilled' aspic,huile ; d'aspic,
harangs Blancs,hareng ; blanc,
Gommeétamy,gomme ; élemi,
foutaine de fer blanc,fontaine de fer blanc,
fil;a voile,fil ; à voile,
fer Rond,fer ; rond,
fer en anclumes,fer ; en enclume,
fer en chaudrons,fer ; en chaudronnerie,
fer Battu,fer ; battu,
faulx; a faucher,faux ; à faucher,
Etocs de fer,étau ; de fer,
Esprit; de nittre,esprit ; de nitre,
Epousteries,épousterie,
Encre Rouge,encre ; rouge,
Crick de fer,crick,
Corail blanc,corail ; blanc,
Beure; de beuf,bourre ; de bœuf,
Bonbardes ; de fer,bombarde ; de fer,
Bonbardes ; de cuivre,bombarde ; de cuivre,
Bois ; de fermanbourg,bois ; de Fernambourg,
Bois ;.de caillatours;moulu,bois ; de caliatour ; moulu,
Bois ; de brezil en buches,bois ; de Brésil ; en bûche,
alvés,alvés,
Vin; de Rancio,vin ; de Rancio,"cnrtl.fr : Rancio : Vin de liqueur, originaire d'Espagne qui, en vieillissant, devient doré et acquiert une saveur sucrée très veloutée."
Vin;de Navarre,vin ; de Navarre,
Vin;d'Espagne,vin ; d'Espagne,
Thon salé,thon ; salé,
Rasine,résine,
Meules a éguiser,meule ; à aiguiser,
Bois ;;merain;a pipes,merrain ; à pipe,
Bois ;;merain;a barriques,merrain ; à barrique,
soliveaux de sapin,soliveaux ; de sapin,cnrtl.fr : SOLIVEAU : Petite solive.
Rogue de Morue;,rogue ; de morue,"Encyclopédie, Diderot & d'Alembert : Rogue, Rave ou Resure, terme de péche, est une sorte d'appât dont les pêcheurs se servent pour attirer le poisson, & le prendre ensuite lorsqu'il a mordu l'appât;"
Poisson Salé,poisson ; salé,
fer;en barres,fer ; en barre,
Bois ;;mairin;à bariques,merrain ; à barrique,
Vin de Querey,vin ; de Querey,
Vin de Malaya,vin ; de Malaga,
Vin de Languedoc,vin ; du Languedoc,
Trefe or et argent,trèfle ; or ; et argent,
Toille linge de table serviettes ? Nappes,toile ; linge de table ; serviettes ; illisible ; à Nappe,
Toille linge de table a serviettes,toile ; linge de table ; à serviettes,
Toille linge de table divers,toile ; linge de table ; divers,
Toille au lait,toile ; au lait,
Toille grise non battue,toile ; grise ; non battue,
Toille gingas,toile ; gingas,"cnrtl.fr : Gingas : Toile, généralement à carreaux bleus et blancs, servant à la confection des matelas."
Toille de Bretagne de Morlaix,toile ; de Bretagne ; de Morlaix,
Toille de Bretagne de halle,toile ; de Bretagne ; de halle,
Toille de Bretagne de fougere,toile ; de Bretagne ; de fougère,
Toille de Bretagne diverses,toile ; de Bretagne ; diverse,
Toille de Bretagne créé,toile ; de Bretagne ; crée,
Toille de Bretagne de brin,toile ; de Bretagne ; de brin,
