orthographic_pierre,simplification,status,beforeItems,afterItems,obsolete,imprimatur
bois des Indes râpé,[bois ; d'Inde ; rapé],ambiguous,,[Bois d'Inde ; rapé] [Bois ; dinde rapé] [Bois dinde Rapé] [bois d'inde rapé] [Bois d'Inde rapé] [Bois d'inde rapé] [Bois des Indes rapé],no,
bois en clafou ou merrains,[merrain],ambiguous,,[Bois ; en claffous ou merrain],no,
bois merrains à tortue,[merrain],ambiguous,,[Bois ; merrain ; à tortues],no,
bois merrains à fond,[merrain] [merrain ; à fond] [bois ; merrain ; à fond],ambiguous,,[Bois ; merrains ; à fonds] [Bois ; merains ; à fonds] [Bois; merrain; à fondo] [Bois ; merrain ; a Sonds] [Bois ; merrain ; à fonds] [Bois ; merrain à fonds] [Bois ; merrain a fonds] [Bois ; merrain a fond] [Bois ; merrain ; à fond] [Bois ;;mérain;a fonds] [Bois ; merrain ; a fonds] [Bois ; merrain ; a fond] [Bois ; merrin a Fonds] [Bois merrain ; a fonds],no,
merrains pour faire des douves de fûts,[merrain],ambiguous,,[Merreins (pour faire des douves de fûts)],no,
bois merrains en chêne,[merrain],ambiguous,,[Bois ; merrain ; en chêne],no,
bois merrains de sapin,[merrain] [bois ; merrain ; de sapin],ambiguous,,[Bois ; mérain ; de sapin] [Bois; merrain; de sapin] [Bois ; merrain ; de sapin] [Bois ; meriés ; de sapin],no,
bois en merrains,[merrain],ambiguous,,[Bois ; en merrain],no,
bois merrains,[merrain] [bois ; merrain],ambiguous,,[Bois merrains] [Bois ; Merrains] [Bois ; marrain] [Bois ; merrains] [Bois ; merrein] [Bois ; mérain] [Bois ; Merain] [Bois ;;mairin] [Bois ; mairin] [Bois ; merain] [Bois Merrain] [bois merrain] [Bois merrain],no,
merrains,[merrain],ambiguous,,[Merrein] [Mérain] [Merrain],no,
bois merrains à muid,[merrain],ambiguous,,[Bois ; merains ; à muids],no,
bois merrains à barils,[merrain],ambiguous,,[Bois ; merains ; à barils] [Bois ; merain ; à barils] [Bois ; merrain ; à barils],no,
bois en clafou,[bois ; merrain],ambiguous,,[Bois ; en clafousses],no,
bois merrains merrains,[bois ; merrain],ambiguous,,[Bois ; merrain ; merrain],no,
bois jaune,[bois ; jaune],ambiguous,,[Bois; jaune] [Bois ; Jeaune] [Bois ; Jaune] [Bois ; Jeaunes] [Bois jeaune] [Bois ; jeaune] [bois jaune] [Bois jaune] [Bois Jaune],no,
bois merrains à quart,[bois ; merrain à quart] [merrain ; à quart],ambiguous,,[Bois ; merrain ; à quarts] [Bois ; merrain ; a Quarts] [Bois ; Merain à quarts] [Bois ; Merain; a quart] [Bois ; merain a quarts] [Bois ; merain a Quarts],no,
bois merrains à tierçons,[bois ; merrain ; à tierçon],ambiguous,,[Bois ; merrains ; à tierçons] [Bois; merrain; à tierçons] [Bois ; merrain ; à tierçons] [Bois ; merrain ; a tierçons] [Bois ; merrain a tierçpn],no,
bois osier,[bois ; osier],ambiguous,,[Bois ozier],no,
bois de Caliatour râpé,[bois ; de caliatour ; rapé],ambiguous,,[Bois de Caliatour Rapé] [Bois de Caliatour rapé] [Bois de caliatour rapé],no,
acacia,[ouvrage ; de bois],ambiguous,[Acacia] [acacia] [Agacia] [Accacia],[Acacia] [acacia] [Agacia] [Accacia],no,
ouvrages divers de bois,[ouvrage ; de bois],ambiguous,,[Ouvrages divers de bois] [Ouvrages divers; De bois],no,
ouvrages divers en bois,[ouvrage ; de bois],ambiguous,,[Ouvrages divers en bois],no,
ouvrages de charpentier,[ouvrage ; de bois],ambiguous,,[ouvrages de charpentiers] [ouvrages de charpentier] [Ouvrages ; de charpentier] [Ouvrages ; De Charpentier] [Ouvrages ; De charpentier],no,
ouvrages de buis,[ouvrage ; de bois],ambiguous,,[Ouvrage ; de buis] [Ouvrages de buis],no,
ouvrages de bois simples en grilles de sapin,[ouvrage ; de bois],ambiguous,,[Ouvrages ; De bois simples ; En grilles de sapin],no,
ouvrages de bois simple divers,[ouvrage ; de bois],ambiguous,,[Ouvrages ; De bois simple ; Divers] [Ouvrages ; De bois simples ; Divers],no,
ouvrages de bois,[ouvrage ; de bois],ambiguous,,[ouvrages de bois] [Ouvrage de bois] [Ouvrages; De bois] [Ouvrage s de Bois] [Ouvrage ; de bois] [Ouvrage de Bois] [Ouvrages de bois],no,
ouvrages de bois en,[ouvrage ; de bois],ambiguous,,[Ouvrages ; de bois ; en],no,
ouvrages en bois,[ouvrage ; de bois] [ouvrage ; en bois],ambiguous,,[Ouvrages ; en bois] [Ouvrages en bois],no,
gros ouvrages de bois,[ouvrage ; de bois],ambiguous,,[gros ouvrages de bois],no,
bois ouvrés divers,[ouvrage ; de bois],ambiguous,,"[Bois ouvrés, divers]",no,
bois ouvré,[ouvrage ; de bois],ambiguous,,[Bois; ouvré] [Bois ; ouvre] [Bois ; ouvré] [Bois ouvré] [Bois osier],no,
bois ouvrés,[ouvrage ; de bois],ambiguous,,[Bois ouvrés],no,
cahouannes,"[""""""""""""""""""""""""""""""""""""""""""""""""]",ambiguous,,[Cachouane] [Cahouanne],no,
busquière d'argent,"[""""""""""""""""""""""""""""""""""""""""""""""""]",ambiguous,,[Busquiers ; d'argent],no,
bourlets,"[""""""""""""""""""""""""""""""""""""""""""""""""]",ambiguous,,[Bourlets],no,
bombasin de Troyes,"[""""""""""""""""""""""""""""""""""""""""""""""""]",ambiguous,,[Bombazin ; de Troyes],no,
bonneterie de coton,[bonneterie ; de coton] [bonneterie ; bonnet ; de coton],ambiguous,,[Bonneteries de coton] [Bonneterie ; De coton] [Bonneterie ; De Coton] [Bonneterie ; de cotton] [Bonneterie; de coton] [Boneterie ; de coton] [Bonneterie de coton],no,
bonnets de fil,[bonnet ; de fil] [bonnet ; de laine],ambiguous,,[Bonnets; de fil] [Bonnet ; de fil] [bonnets de fil] [Bonnets de fil] [Bonnets ; de fil],no,
bonneterie de fil,[bonneterie ; de fil],ambiguous,,[Bonneterie ; De fil] [Bonnetterie de fil] [Bonnetterie; De fil] [Bonneterie de fil],no,
bonneterie de soie au sixième,[bonneterie ; de soie],ambiguous,,[Bonneterie ; de soye ; au 6è],no,
bonneterie de soie,[bonneterie ; de soie],ambiguous,,[Bonneterie ; De soye] [Bonneterie ; De Soye] [Bonnetterie ; de soye] [Bonnetterie; De soye] [Bonneteries de soie] [Bonneterie de soye],no,
bonneterie ; diverse,[bonneterie],ambiguous,[bonneteries mellées] [Bonneterie ; Diverses] [Bonneterie ; de toute sorte] [Bonneterie ; diverse] [Bonneteries diverses] [Bonneterie diverse],[bonneteries mellées],no,
