marchandises,marchandises_norm_ortho,mériteplusdetravail,imprimatur,nbr_dans_bdc
Moulins ; à dessecher,moulins à déssécher,,Pierre Gervais,1
Moulins ; à grains,moulins à grains,,Pierre Gervais,1
Moulins ; a lapidaire,moulins à lapidaire,,Pierre Gervais,1
Moulins ; a Mahy,moulins à maïs,,Pierre Gervais,1
Moulins ; a mahy,moulins à maïs,,Pierre Gervais,1
Moulins ; à mahy,moulins à maïs,,Pierre Gervais,1
Moulins ; à maïs,moulins à maïs,,Pierre Gervais,1
Moulins ; a matrys,moulins à maïs,x,Pierre Gervais,1
Moulins ; à momarde,moulins à moutarde,,Pierre Gervais,1
Moulins ; à moutarde,moulins à moutarde,,Pierre Gervais,1
Moulins ; à poivre,moulins à poivre,,Pierre Gervais,6
Moulins ; à poivre et à caffé,moulins à poivre et à café,,Pierre Gervais,1
Moulins ; a retordre,moulins à retordre,,Pierre Gervais,1
Moulins ; à sucre,moulins à sucre,,Pierre Gervais,9
Moulins ; à tabac,moulins à tabac,,Pierre Gervais,4
Moulins ; de fer,moulins de fer,,Pierre Gervais,1
Moulins ; de soye,moulins de soie,,Pierre Gervais,1
Moulins ; de sucre,moulins de sucre,,Pierre Gervais,1
moulins à bras,moulins à bras,,Pierre Gervais,
Moulins A Caffe,moulins à café,,Pierre Gervais,1
Moulins a Caffe,moulins à café,,Pierre Gervais,1
Moulins a Caffé,moulins à café,,Pierre Gervais,2
Moulins a caffé,moulins à café,,Pierre Gervais,23
moulins a caffé,moulins à café,,Pierre Gervais,7
Moulins à Caffé,moulins à café,,Pierre Gervais,1
Moulins à caffé,moulins à café,,Pierre Gervais,9
moulins à caffé,moulins à café,,Pierre Gervais,8
Moulins à caffé doux,moulins à café doux,,Pierre Gervais,1
moulins à filer,moulins à filer,,Pierre Gervais,
Moulins a grains,moulins à grains,,Pierre Gervais,1
Moulins a mahy,moulins à maïs,,Pierre Gervais,2
Moulins à Mahy,moulins à maïs,,Pierre Gervais,1
Moulins a matri,moulins à maïs,x,Pierre Gervais,1
moulins à moudre grain,moulins à moudre grains,,Pierre Gervais,
Moulins a poivre,moulins à poivre,,Pierre Gervais,1
Moulins à poivre,moulins à poivre,,Pierre Gervais,1
Moulins a sarasin,moulins à sarrasin,,Pierre Gervais,1
Moulins a sucre,moulins à sucre,,Pierre Gervais,9
Moulins à sucre,moulins à sucre,,Pierre Gervais,2
Moulins à sucre complet,moulins à sucre complets,,Pierre Gervais,1
Moulins à sucre en fer,moulins à sucre en fer,,Pierre Gervais,2
moulins à tordre fil,moulins à tordre fil,,Pierre Gervais,
Moulins à vanner le café,moulins à vanner le café,,Pierre Gervais,7
Moulins a vanner le caffé,moulins à vanner le café,,Pierre Gervais,2
moulins de bois,moulins de bois,,Pierre Gervais,
Moulins de caffé,moulins de café,,Pierre Gervais,2
moulins de fer,moulins de fer,,Pierre Gervais,
moulins et presses à tabac,moulins et presses à tabac,,Pierre Gervais,
moulles,moules,,Pierre Gervais,
Moulles ; de plastre,moules de plâtre,,Pierre Gervais,1
Moullin a caffe,moulins à café,,Pierre Gervais,2
moulLin a Poivre,moulins à poivre,,Pierre Gervais,1
moulLins à caffé,moulins à café,,Pierre Gervais,1
Moulons,moulons,x,Pierre Gervais,3
moulons à faire chaux,moulons à faire chaux,x,Pierre Gervais,
moulons et kibbelinck,moulons et kibbelinck,x,Pierre Gervais,
Moulures,moulures,,Pierre Gervais,
Moulures dorées,moulures dorées,,Pierre Gervais,1
mouquette,mouquette,x,Pierre Gervais,
Mourcaux d' espart,morceaux d' espars,,Pierre Gervais,1
Moureaux,moureaux,x,Pierre Gervais,9
Moureaux ; de bois,moureaux de bois,x,Pierre Gervais,1
Moureaux de mulets,moureaux de mulets,x,Pierre Gervais,1
Mouse de Lin,mouse de lin,x,Pierre Gervais,1
Mouselline,mousselines,,Pierre Gervais,1
Mousquets,mousquets,,Pierre Gervais,
Mousse,mousse,,Pierre Gervais,11
Mousse ; de bois,mousse de bois,,Pierre Gervais,2
Mousse ; de roches,mousse de roche,,Pierre Gervais,1
Mousse de mer,mousse de mer,,Pierre Gervais,7
Mousse de mer et herbes à teindre,mousse de mer et herbes à teindre,,Pierre Gervais,4
Mousseline,mousselines,,Pierre Gervais,268
mousseline,mousselines,,Pierre Gervais,5
mousseline ; brodée,mousselines brodées,,Pierre Gervais,2
Mousseline ; de la Compagnie,mousselines de la Compagnie,,Pierre Gervais,2
Mousseline ; imprimée,mousselines imprimées,,Pierre Gervais,1
Mousseline de l'Inde,mousselines des Indes,,Pierre Gervais,3
mousseline de Suisse et sciamoise à ligne de soye,mousselines de Suisse et siamoise à ligne de soie,,Pierre Gervais,
Mousseline des Indes,mousselines des Indes,,Pierre Gervais,1
mousseline et toile de coton blanc,mousselines et toile de coton blanc,,Pierre Gervais,
Mousselines,mousselines,,Pierre Gervais,145
Mousselines ; de France,mousselines de France,,Pierre Gervais,3
Mousselines ; de l'étranger,mousselines de l'étranger,,Pierre Gervais,1
Mousselines ; de l'Inde,mousselines des Indes,,Pierre Gervais,5
Mousselines ; de l'Inde,mousselines des Indes,,Pierre Gervais,5
Mousselines ; nationales,mousselines nationales,,Pierre Gervais,3
Mousselines diverses,mousselines diverses,,Pierre Gervais,5
Mousselinette,mousselinette,,Pierre Gervais,1
mousselinne,mousselines,,Pierre Gervais,
Mousselinne / aune,mousselines aune,,Pierre Gervais,
Mousseron,mousserons,,Pierre Gervais,3
Mousserons,mousserons,,Pierre Gervais,36
Mousserons et morilles,mousserons et morilles,,Pierre Gervais,1
Mousserons secs,mousserons secs,,Pierre Gervais,3
Mousseront,mousserons,,Pierre Gervais,1
Moussline,mousselines,,Pierre Gervais,1
Moustiquaire en fil,moustiquaire en fil,,Pierre Gervais,1
Moût,moût,,Pierre Gervais,
Moutade,moutarde,,Pierre Gervais,1
Moutarde,moutarde,,Pierre Gervais,154
moutarde,moutarde,,Pierre Gervais,
Moutardelle,moutardelle,x,Pierre Gervais,1
Moutardes,moutarde,,Pierre Gervais,1
Moutins ; à caffé,moulins à café,,Pierre Gervais,1
Mouton,moutons,,Pierre Gervais,4
Mouton en vie,moutons en vie,,Pierre Gervais,1
Moutons,moutons,,Pierre Gervais,248
moutons,moutons,,Pierre Gervais,1
Moutons ; en vie,moutons en vie,,Pierre Gervais,1
Moutons en vie,moutons en vie,,Pierre Gervais,4
Moutons et Brebis,moutons et brebis,,Pierre Gervais,2
moutons et brebis,moutons et brebis,,Pierre Gervais,
Mouvemens ; de pendulles,mouvements de pendules,,Pierre Gervais,2
Mouvements ; de montre,mouvements de montre,,Pierre Gervais,1
Mouvements ; de montres,mouvements de montres,,Pierre Gervais,3
moyeux,moyeux,,Pierre Gervais,
Mucades,muscades,x,Pierre Gervais,1
Muchoirs de madras,mouchoirs de Madras,,Pierre Gervais,1
Mufle à Chandelle,mufle à Chandelle,,Pierre Gervais,1
Mules,mules,,Pierre Gervais,6
Mules ; brodées ; pour femme,mules brodées pour femme,,Pierre Gervais,1
Mules ; et mulet,mules et mulets,,Pierre Gervais,4
Mules et Mulets,mules et mulets,,Pierre Gervais,2
Mules et mulets,mules et mulets,,Pierre Gervais,130
Mules et mulets ; d'un an,mules et mulets d'1 an,,Pierre Gervais,1
Mules et mulots,mules et mulets,,Pierre Gervais,2
Mules ou mulets,mules ou mulets,,Pierre Gervais,1
Mulet,mulets,,Pierre Gervais,2
Mulets,mulets,,Pierre Gervais,74
mulets,mulets,,Pierre Gervais,1
Mulets ; mules,mulets mules,,Pierre Gervais,3
Mulets ; mulets,mulets mulets,,Pierre Gervais,3
Mulets et ânes,mulets et ânes,,Pierre Gervais,11
Mulets poulins,mulets poulains,,Pierre Gervais,2
Mulle et mullets,mules et mulets,,Pierre Gervais,1
Mulles,mules,,Pierre Gervais,2
Mulles ; de mattes,mules de nattes,,Pierre Gervais,1
Mulles de natte,mules de nattes,,Pierre Gervais,1
Mulles et mulets,mules et mulets,,Pierre Gervais,5
Mulles et mulets ; d'un an,mules et mulets d'1 an,,Pierre Gervais,1
Mullets,mulets,,Pierre Gervais,5
Mungistere,mungistere,x,Pierre Gervais,1
Munitions,munitions,,Pierre Gervais,
Munitions de guerre,munitions de guerre,,Pierre Gervais,2
"Munitions de guerre, projectiles",munitions de guerre projectiles,,Pierre Gervais,2
Mûres sauvages,mûres sauvages,,Pierre Gervais,
mus cades,muscades,,Pierre Gervais,1
Musc,musc,,Pierre Gervais,15
musc,musc,,Pierre Gervais,1
Muscade,muscades,,Pierre Gervais,200
muscade,muscades,,Pierre Gervais,12
Muscade ; confite,muscades confites,,Pierre Gervais,1
Muscade ; en confiture,muscades en confiture,,Pierre Gervais,1
Muscade ; en noix,muscades en noix,,Pierre Gervais,1
Muscade et macis,muscades et macis,,Pierre Gervais,18
Muscades,muscades,,Pierre Gervais,140
muscades,muscades,,Pierre Gervais,16
Muscades ; confites,muscades confites,,Pierre Gervais,1
Muscades de perles,muscades de perles,,Pierre Gervais,3
Muscat à l'eau de vie,muscat à l'eau-de-vie,,Pierre Gervais,1
muscave,muscades,x,Pierre Gervais,1
Muse,muse,x,Pierre Gervais,2
muse,muse,x,Pierre Gervais,1
Muselet/fils d'acier,muselet fil d'acier,,Pierre Gervais,
Musique,musique,,Pierre Gervais,14
Musserons,mousserons,x,Pierre Gervais,1
Myrrhe,myrrhe,,Pierre Gervais,1
Nacaneas,nicaneas,,Pierre Gervais,1
Nacelles,nacelles,,Pierre Gervais,1
nacettes,nacelles,,Pierre Gervais,
nacis,macis,x,Pierre Gervais,1
Nacre,nacre,,Pierre Gervais,12
nacre,nacre,,Pierre Gervais,
Nacre ; à perles,nacre à perles,,Pierre Gervais,1
Nacre ; De perle,nacre de perles,,Pierre Gervais,2
Nacre ; de perle,nacre de perles,,Pierre Gervais,8
Nacre ; de perle ; ouvré,nacre de perles ouvrée,,Pierre Gervais,1
Nacre ; de perles,nacre de perles,,Pierre Gervais,6
Nacre ; En coquille,nacre en coquilles,,Pierre Gervais,6
Nacre ; en coquille,nacre en coquilles,,Pierre Gervais,2
Nacre de perle,nacre de perles,,Pierre Gervais,42
Nacre de perles,nacre de perles,,Pierre Gervais,3
Nacre en coquille,nacre en coquilles,,Pierre Gervais,1
Nacre et perle,nacre et perles,,Pierre Gervais,1
Nacres ; de perle,nacre de perles,,Pierre Gervais,1
Nacres ; de perles,nacre de perles,,Pierre Gervais,11
Nacres de perle,nacre de perles,,Pierre Gervais,3
Nacres de perles,nacre de perles,,Pierre Gervais,25
nacres de perles,nacre de perles,,Pierre Gervais,1
Nageoires de baleine,nageoires de baleine,,Pierre Gervais,
Nageoires de flétan salés,nageoires de flétan salé,,Pierre Gervais,
Naire ; en coquilles,nacre en coquilles,,Pierre Gervais,3
Naires de perles,nacre de perles,,Pierre Gervais,1
nalle de Jonc,nattes de jonc,,Pierre Gervais,2
nalle de Paille,nattes de paille,,Pierre Gervais,1
Nankin,Nankin,,Pierre Gervais,20
Nankins,Nankin,,Pierre Gervais,1
Nanquin,Nankin,,Pierre Gervais,2
Napes,nappes,,Pierre Gervais,5
Napes ; ouvrées,nappes ouvrées,,Pierre Gervais,2
Napes ; unies,nappes unies,,Pierre Gervais,1
Napes de table,nappes de tables,,Pierre Gervais,2
Napes et serviettes ?,nappes et serviettes ???,,Pierre Gervais,1
Napes et serviettes ouvrés,nappes et serviettes ouvrées,,Pierre Gervais,1
Napes ouvrées fines,nappes ouvrées fines,,Pierre Gervais,1
Nappe,nappes,,Pierre Gervais,
Nappes,nappes,,Pierre Gervais,
nappes faittes,nappes faites,,Pierre Gervais,
Narval,narval,,Pierre Gervais,
Nates,nattes,,Pierre Gervais,3
Nates ; de jong,nattes de jonc,,Pierre Gervais,1
nates de Jong,nattes de jonc,,Pierre Gervais,1
Nates de paille,nattes de paille,,Pierre Gervais,8
nates de Paille,nattes de paille,,Pierre Gervais,1
Nates;de Jon,nattes de jonc,,Pierre Gervais,1
Nates;de paille,nattes de paille,,Pierre Gervais,1
Natrons,natrons,x,Pierre Gervais,1
Nats,nattes,x,Pierre Gervais,1
Natte de jong,nattes de jonc,,Pierre Gervais,1
Nattes,nattes,,Pierre Gervais,145
nattes,nattes,,Pierre Gervais,5
Nattes ; d'emballage,nattes d'emballage,,Pierre Gervais,1
Nattes ; de jonc,nattes de jonc,,Pierre Gervais,8
Nattes ; de jong,nattes de jonc,,Pierre Gervais,7
Nattes ; de jongs,nattes de jonc,,Pierre Gervais,7
Nattes ; de paille,nattes de paille,,Pierre Gervais,7
Nattes ; de russie,nattes de Russie,,Pierre Gervais,1
nattes communes à pacqueter,nattes communes à paqueter,,Pierre Gervais,
Nattes d'Embalage,nattes d'emballage,,Pierre Gervais,1
Nattes d'emballage,nattes d'emballage,,Pierre Gervais,2
Nattes de chanvre,nattes de chanvre,,Pierre Gervais,
Nattes de jon,nattes de jonc,,Pierre Gervais,1
Nattes de Jonc,nattes de jonc,,Pierre Gervais,3
Nattes de jonc,nattes de jonc,,Pierre Gervais,10
nattes de jonc large,nattes de jonc large,,Pierre Gervais,
nattes de jonc rondes pour les pieds,nattes de jonc rondes pour les pieds,,Pierre Gervais,
Nattes de joncs,nattes de jonc,,Pierre Gervais,6
nattes de joncs,nattes de jonc,,Pierre Gervais,2
nattes de joncs et de paille larges,nattes de jonc et de paille larges,,Pierre Gervais,
nattes de joncs et paille étroites,nattes de jonc et paille étroites,,Pierre Gervais,
Nattes de Jong,nattes de jonc,,Pierre Gervais,6
Nattes de Jong A Pot emballage,nattes de jonc à pot emballage,x,Pierre Gervais,2
Nattes de Jong s,nattes de jonc,,Pierre Gervais,2
Nattes de Jongs,nattes de jonc,,Pierre Gervais,1
Nattes de moscovie,nattes de Moscovie,,Pierre Gervais,1
nattes de paelle,nattes de paille,,Pierre Gervais,1
Nattes de Paille,nattes de paille,,Pierre Gervais,5
Nattes de paille,nattes de paille,,Pierre Gervais,29
Nattes de paille et de jonc,nattes de paille et de jonc,,Pierre Gervais,13
Nattes de Pailles,nattes de paille,,Pierre Gervais,4
Nattes et cercles ; de jonc,nattes et cercles de jonc,,Pierre Gervais,7
Nattes moyennes,nattes moyennes,,Pierre Gervais,1
Nattes pour greniers,nattes pour grenier,,Pierre Gervais,2
nattes rondes,nattes rondes,,Pierre Gervais,
Nattes;de jon,nattes de jonc,,Pierre Gervais,1
Nattrons,natrons,x,Pierre Gervais,1
Nature ; de baleine,nature de baleine,,Pierre Gervais,4
Nature de baleine,nature de baleine,,Pierre Gervais,1
Naukinel,Nankin,x,Pierre Gervais,1
Naurougue,naurougue,x,Pierre Gervais,1
naveaux,naveaux,x,Pierre Gervais,
Navetes,navettes,x,Pierre Gervais,1
Navets,navets,,Pierre Gervais,36
navets,navets,,Pierre Gervais,1
Navette ; a drapier,navettes à drapier,,Pierre Gervais,1
Navettes ; à drapier,navettes à drapier,,Pierre Gervais,1
Navettes ; d'ecaille,navettes d'ecaille,,Pierre Gervais,1
Navettes à tisserand,navettes à tisserand,,Pierre Gervais,1
Navire,navire,,Pierre Gervais,1
Necaneas,nicaneas,,Pierre Gervais,1
Nécanéas,nicaneas,,Pierre Gervais,2
necaniade,nicaneas,,Pierre Gervais,2
Necanias,nicaneas,,Pierre Gervais,3
necanias,nicaneas,,Pierre Gervais,1
Nécanias,nicaneas,,Pierre Gervais,1
Nécessaire de cuivre,nécessaires de cuivre,,Pierre Gervais,1
Nécessaires,nécessaires,,Pierre Gervais,2
Necessaires garnis en argent,nécessaires garnis en argent,,Pierre Gervais,1
nefles,nèfles,,Pierre Gervais,1
Néganépau,neganepeau,x,Pierre Gervais,1
Neganepaux,neganepeau,x,Pierre Gervais,3
neganepaux,neganepeau,x,Pierre Gervais,1
Neganepeau,neganepeau,x,Pierre Gervais,22
neganePeau,neganepeau,x,Pierre Gervais,1
neganepeau,neganepeau,x,Pierre Gervais,1
Neganepeaux,neganepeau,x,Pierre Gervais,31
Néganepeaux,neganepeau,x,Pierre Gervais,7
Neganipau,neganepeau,x,Pierre Gervais,3
neganipau,neganepeau,x,Pierre Gervais,1
Néganipau,neganepeau,x,Pierre Gervais,1
neganipau = neganePeau,neganepeau,x,Pierre Gervais,1
Neganipaus,neganepeau,x,Pierre Gervais,1
Neganipaux,neganepeau,x,Pierre Gervais,1
neganipaux,neganepeau,x,Pierre Gervais,1
Néganipaux,neganepeau,x,Pierre Gervais,1
Neganipeau,neganepeau,x,Pierre Gervais,1
Néganipeau,neganepeau,x,Pierre Gervais,1
Neganipeaux,neganepeau,x,Pierre Gervais,2
Néganipeaux,neganepeau,,Pierre Gervais,1
Neganipou,neganepeau,x,Pierre Gervais,1
Negatupeaux,neganepeau,x,Pierre Gervais,1
Negnepeaux,neganepeau,,Pierre Gervais,1
Nègres,nègre,,Pierre Gervais,16
Nekanias,nicaneas,,Pierre Gervais,1
Nelei,nelis,x,Pierre Gervais,1
Nelis,nelis,x,Pierre Gervais,9
Nelis ; étoffe,nelis étoffe,x,Pierre Gervais,1
Nepres,nepres,x,Pierre Gervais,1
Neptune de cuivre,neptune de cuivre,,Pierre Gervais,5
Neptunes de cuivre,neptune de cuivre,,Pierre Gervais,7
Nerfs de beuf,nerfs de bœuf,,Pierre Gervais,1
nerfs de bœufs,nerfs de bœuf,,Pierre Gervais,
Nervures,nervures,,Pierre Gervais,
nespres,nepres,x,Pierre Gervais,1
Nicamias,nicaneas,,Pierre Gervais,1
nicancas,nicaneas,,Pierre Gervais,1
Nicaneas,nicaneas,,Pierre Gervais,63
nicaneas,nicaneas,,Pierre Gervais,2
Nicanéas,nicaneas,,Pierre Gervais,12
nicanéas,nicaneas,,Pierre Gervais,1
Nicaneas ; fin,nicaneas fins,,Pierre Gervais,1
Nicaneas ; grands,nicaneas grands,,Pierre Gervais,4
Nicanéas ; grands,nicaneas grands,,Pierre Gervais,1
Nicaneas ; longs,nicaneas longs,,Pierre Gervais,1
Nicaneas ; petits,nicaneas petits,,Pierre Gervais,2
Nicanéas ; petits,nicaneas petits,,Pierre Gervais,1
Nicanée,nicaneas,,Pierre Gervais,1
nicanees,nicaneas,,Pierre Gervais,1
Nicanées,nicaneas,,Pierre Gervais,4
Nicanées petits,nicaneas petits,,Pierre Gervais,1
Nicanes,nicaneas,,Pierre Gervais,16
Nicanés,nicaneas,,Pierre Gervais,4
Nicanés ; grands,nicaneas grands,,Pierre Gervais,1
Nicanés ; petits,nicaneas petits,,Pierre Gervais,1
Nicanés = Nicanéas,nicaneas,,Pierre Gervais,1
Nicanias,nicaneas,,Pierre Gervais,1
Nid d'oyseaux,nid d'oiseaux,,Pierre Gervais,1
Niicane,nicaneas,,Pierre Gervais,1
Nina,nina,x,Pierre Gervais,2
Nipes,nippes,,Pierre Gervais,97
nipes,nippes,,Pierre Gervais,1
Nippes,nippes,,Pierre Gervais,7
nippes de toute espèce,nippes de toute espèce,,Pierre Gervais,
nippes et atours,nippes et atours,,Pierre Gervais,
Noes et langues ; de morue,nots et langues de morue,x,Pierre Gervais,1
Noës et langues de morue,nots et langues de morue,x,Pierre Gervais,1
Nœuds ; d'épées,nœuds d'épée,,Pierre Gervais,1
Nœuds ; d'épées ; avec or,nœuds d'épée avec or,,Pierre Gervais,1
nœuds d'épées et cordons de montres,nœuds d'épée et cordons de montres,,Pierre Gervais,
Nogal,nogal,x,Pierre Gervais,1
Nogat,nogat,x,Pierre Gervais,8
Nogat en plastre forte,nogat en piastre forte,x,Pierre Gervais,1
Nogat or et argent monnoyé,nogat or et argent monnayé,x,Pierre Gervais,4
Noir,noir,,Pierre Gervais,4
Noir ; a imprimer,noir à imprimer,,Pierre Gervais,1
Noir ; à imprimer,noir à imprimer,,Pierre Gervais,6
Noir ; à noircir,noir à noircir,,Pierre Gervais,23
Noir ; d'Espagne,noir d'Espagne,,Pierre Gervais,1
Noir ; d'imprimerie,noir d'imprimerie,,Pierre Gervais,2
Noir ; d'ivoire,noir d'ivoire,,Pierre Gervais,2
Noir ; d'Yvoire,noir d'ivoire,,Pierre Gervais,1
Noir ; d'yvoire,noir d'ivoire,,Pierre Gervais,11
Noir ; de Chipres,noir de Chypre,,Pierre Gervais,1
Noir ; de fumée,noir de fumée,,Pierre Gervais,129
Noir ; de noircir,noir de noircir,,Pierre Gervais,1
Noir A Fumée,noir à fumée,,Pierre Gervais,1
Noir à imprimée,noir à imprimer,x,Pierre Gervais,1
Noir à Noir Cir,noir à noircir,,Pierre Gervais,2
Noir à noircir,noir à noircir,,Pierre Gervais,1
noir broyé,noir broyé,,Pierre Gervais,1
noir commun,noir commun,,Pierre Gervais,
Noir d'Ivoire,noir d'ivoire,,Pierre Gervais,8
Noir d'ivoire,noir d'ivoire,,Pierre Gervais,12
Noir d'os,noir d'os,,Pierre Gervais,8
Noir d'Yvoire,noir d'ivoire,,Pierre Gervais,3
Noir d'yvoire,noir d'ivoire,,Pierre Gervais,1
Noir de fume,noir de fumée,,Pierre Gervais,5
Noir de Fumé,noir de fumée,,Pierre Gervais,1
Noir de fumé,noir de fumée,,Pierre Gervais,3
Noir De Fumée,noir de fumée,,Pierre Gervais,1
Noir de Fumée,noir de fumée,,Pierre Gervais,33
Noir de fumée,noir de fumée,,Pierre Gervais,116
noir de fumée,noir de fumée,,Pierre Gervais,25
Noir de fumer,noir de fumée,,Pierre Gervais,4
noir de fumer,noir de fumée,,Pierre Gervais,2
Noir de fumés,noir de fumée,,Pierre Gervais,2
Noir en Fumée,noir en fumée,,Pierre Gervais,2
Noir fume,noir fumée,,Pierre Gervais,2
Noir Fumée,noir fumée,,Pierre Gervais,7
noir fumée,noir fumée,,Pierre Gervais,3
Noir;fumé,noir fumée,,Pierre Gervais,2
Noirs communs de fumée et autres,noir commun de fumée et autres,,Pierre Gervais,8
"Noirs communs, de fumée et autres",noir commun de fumée et autres,,Pierre Gervais,5
Nois,nois,x,Pierre Gervais,1
Nois d'acajou,noix d'acajou,,Pierre Gervais,1
nois de fumée,noir de fumée,,Pierre Gervais,1
noisetes,noisettes,,Pierre Gervais,1
Noisette,noisettes,,Pierre Gervais,13
noisette,noisettes,,Pierre Gervais,1
Noisettes,noisettes,,Pierre Gervais,155
noisettes,noisettes,,Pierre Gervais,21
noisettes ou avelinnes,noisettes ou avelines,,Pierre Gervais,
Noisietes,noisettes,,Pierre Gervais,1
Noix,noix,,Pierre Gervais,243
noix,noix,,Pierre Gervais,2
Noix ; de Galle,noix de galle,,Pierre Gervais,2
Noix ; de galle,noix de galle,,Pierre Gervais,4
Noix ; de galles,noix de galle,,Pierre Gervais,2
Noix ; sèches,noix sèches,,Pierre Gervais,1
Noix ; vomique,noix vomiques,,Pierre Gervais,6
Noix ; vomiques,noix vomiques,,Pierre Gervais,8
Noix d'Acajou,noix d'acajou,,Pierre Gervais,2
Noix d'acajou,noix d'acajou,,Pierre Gervais,10
Noix d'accajou,noix d'acajou,,Pierre Gervais,4
Noix d'omiques,noix vomiques,,Pierre Gervais,1
noix de cocos,noix de coco,,Pierre Gervais,
Noix de Fumée,noir de fumée,,Pierre Gervais,1
Noix de fumée,noir de fumée,,Pierre Gervais,1
Noix de fumés,noir de fumée,,Pierre Gervais,1
Noix de gale et gales légères,noix de galle et galle légère,,Pierre Gervais,10
Noix de gales,noix de galle,,Pierre Gervais,11
Noix de Galle,noix de galle,,Pierre Gervais,3
Noix de galle,noix de galle,,Pierre Gervais,164
Noix de galle et galles légères,noix de galle et galle légère,,Pierre Gervais,13
Noix de Galles,noix de galle,,Pierre Gervais,17
Noix de galles,noix de galle,,Pierre Gervais,97
noix de galles,noix de galle,,Pierre Gervais,1
Noix de marons,noix de marrons,,Pierre Gervais,2
Noix de muscade,noix de muscades,,Pierre Gervais,
Noix de pipes,noix de pipes,,Pierre Gervais,1
noix de pipes,noix de pipes,,Pierre Gervais,5
noix empoissonné,noix empoisonnées,x,Pierre Gervais,
noix épillées,noix épillées,x,Pierre Gervais,
Noix et noisettes,noix et noisettes,,Pierre Gervais,2
Noix et riz,noix et riz,,Pierre Gervais,
Noix muscade,noix muscade,,Pierre Gervais,3
Noix muscades,noix muscade,,Pierre Gervais,1
Noix pour peinture,noix pour peintures,,Pierre Gervais,6
noix venimeux,noix venimeuses,,Pierre Gervais,
Noix vomique,noix vomiques,,Pierre Gervais,2
Noix vomique ou vornique,noix vomiques,,Pierre Gervais,1
Noix vomiques,noix vomiques,,Pierre Gervais,5
noix vomiques,noix vomiques,,Pierre Gervais,7
Noix vonaques,noix vomiques,,Pierre Gervais,1
Noixettes,noisettes,,Pierre Gervais,
Noizette,noisettes,,Pierre Gervais,1
Noizettes,noisettes,,Pierre Gervais,7
Nom flou,???,,Pierre Gervais,65
Non indiqué,???,,Pierre Gervais,6
Noronges,noronges,x,Pierre Gervais,1
Not a product,???,,Pierre Gervais,
Notes et langues de morue,nots et langues de morue,x,Pierre Gervais,1
Nots de morues,nots de morue,x,Pierre Gervais,1
Nots et langues ; de morue,nots et langues de morue,x,Pierre Gervais,1
Nots et langues ; de morue ; des Isles,nots et langues de morue des Îles,x,Pierre Gervais,1
Nots et langues de morue,nots et langues de morue,,Pierre Gervais,1
Nots et langues de morüe,nots et langues de morue,,Pierre Gervais,1
Nousouque,nousouque,x,Pierre Gervais,1
Noyaux,noyaux,,Pierre Gervais,9
Noyaux ; de paisches,noyaux de pêches,,Pierre Gervais,1
Noyaux de pesche,noyaux de pêches,,Pierre Gervais,1
noyer et cerisier,noyer et cerisier,,Pierre Gervais,
Numéraire en assignats,numéraire en assignats,,Pierre Gervais,1
Numéraire en assignats ; par la Cure,numéraire en assignats par la Cure,,Pierre Gervais,1
Objets ; divers,objets divers,,Pierre Gervais,13
Objets ; divers ; dont la valeur du plus fort n'excède pas 25000 Livres,objets divers dont la valeur du plus fort n'excède pas 25000 livres,,Pierre Gervais,2
Objets ; divers ; dont la valeur du plus fort n'excède pas 25000 livres,objets divers dont la valeur du plus fort n'excède pas 25000 livres,,Pierre Gervais,3
Objets à la valeur,objets à la valeur,,Pierre Gervais,1
Objets d'arts,objets d'arts,,Pierre Gervais,9
Objets d'arts et d'histoire naturelle,objets d'arts et d'histoire naturelle,,Pierre Gervais,59
"Objets d'arts, histoire naturelle, peinture et grav.",objets d'arts histoire naturelle peintures et gravures,,Pierre Gervais,20
"Objets d'arts, histoire naturelle, peinture et gravue",objets d'arts histoire naturelle peintures et gravures,,Pierre Gervais,19
"Objets d'arts, histoire naturelle, peinture et gravure",objets d'arts histoire naturelle peintures et gravures,,Pierre Gervais,20
"Objets d'arts, histoire naturelle, tableaux et grav.s",objets d'arts histoire naturelle tableaux et gravures,,Pierre Gervais,19
Objets d'industrie,objets d'industrie,,Pierre Gervais,1
Objets d'industrie ; divers,objets d'industrie divers,,Pierre Gervais,3
"Objets de collection ; peinture, sculpture, gravure et histoire naturelle",objets de collection peintures sculpture gravures et histoire naturelle,,Pierre Gervais,18
"Objets de collection en peinture, sculpture, gravure et histoire naturelle",objets de collection en peintures sculpture gravures et histoire naturelle,,Pierre Gervais,19
"Objets de collection, peinture, sculpture, gravure et histoire naturelle",objets de collection peintures sculpture gravures et histoire naturelle,,Pierre Gervais,17
Objets de moindre valeur,objets de moindre valeur,,Pierre Gervais,20
Objets de peu d'importance,objets de moindre valeur,,Pierre Gervais,2
Objets de peu de valeur,objets de peu d'importance,,Pierre Gervais,6
Objets divers,objets de peu de valeur,,Pierre Gervais,28
Objets divers de moindre valeur,objets divers,,Pierre Gervais,20
Objets divers dont le plus fort article n'excède pas 10000 liv.,objets divers dont les plus forts articles n'excèdent pas 10000 livres,,Pierre Gervais,2
Objets en corne,objets en corne,,Pierre Gervais,
Objets en cuivre,objets en cuivre,,Pierre Gervais,
Objets en étain,objets en étain,,Pierre Gervais,
Objets en laiton,objets en laiton,,Pierre Gervais,
