obsolete,orthographic_pierre,simplification,imprimatur,Suggestion de simplification,status,beforeItems,afterItems
no,poil de chèvre filé,poil de chèvre filé,Guillaume Daudin,poil ; de chèvre ; filé,rewire,,"[Poils ; De chevres ; Filé] [Poils ; De chevre ; Filé] [Poil ; de chevres filé] [Poil ; de chevre filé] [Poil : de chevre ; filé] [Poil ; de chevre ; filé] [Poil ; de chevre ; filée] [Poil ; de chèvre ; filé] [Poil ; de chevre, filée] [poil ; de chèvre ; filé] [Poil de chevre filé] [Poil de chèvre filé]"
no,poil de chèvre simple,poil de chèvre simple,Guillaume Daudin,poil ; de chèvre ; simple,rewire,,[Poil ; de chèvre ; simple] [Poils ; De chevres ; Simple] [Poils ; De chevre ; Simple] [Poil ; de chevre ; simple]
no,poil de chevreau,poil de chevreau,Guillaume Daudin,poil ; de chevreau,rewire,,[Poil ; de chevreau] [Poil de chevreau] [poil de chevreau]
no,poil de chevrotin,poil de chevrotin,Guillaume Daudin,poil ; de chevrotin,rewire,,[Poil ; de chevrolins] [Poil; de chevrotin] [Poil ; de chevrottin] [Poil ; de chevrotin]
no,poil de lapin,poil de lapin,Guillaume Daudin,poil ; de lapin,rewire,,[Poils de lapin] [Poils ; de lapin] [Poil; de lapin] [Poil de lapin] [poil de lapin] [Poil ; de lapin]
no,poil de lièvre,poil de lièvre,Guillaume Daudin,poil ; de lièvre,rewire,,[Poil; de lievre] [Poil ; de liévre] [Poil ; de lievre] [poil de lievre] [Poil ; de lièvre]
no,poil de loup,poil de loup,Guillaume Daudin,poil ; de loup,rewire,,[Poil ; de lou]
no,poil de porc,poil de porc,Guillaume Daudin,poil ; de porc,rewire,,[Poil ; de porc]
no,poil de porc ou de soie,poil de porc,Guillaume Daudin,poil ; de porc,rewire,,[Poil ; de porc ou de soie]
no,poil de sanglier,poil de sanglier,Guillaume Daudin,poil ; de sanglier,rewire,,[Poil; de sanglier] [Poil de Sanglier] [Poil ; de snaglier] [Poils de sanglier] [Poil ; de sanglier] [poil de sanglier] [Poil de sanglier]
no,poil de vache,poil de vache,Guillaume Daudin,poil ; de vache,rewire,,[Poils de vache] [Poil de vache] [Poil ; de vache]
no,poil cheveux,poil et cheveu,Guillaume Daudin,poil et cheveu,rewire,,[Poils/cheveux]
no,poinade,poinade,Guillaume Daudin,,existing,,
no,point d'or,point d'or,Guillaume Daudin,point ; d'or,rewire,,[Point ; d'or]
no,point de Hongrie,point de Hongrie,Guillaume Daudin,point ; de Hongrie,rewire,,[points d'hongrie]
no,pointes de bâts,pointe de bat,Guillaume Daudin,pointe ; de bat,rewire,,[Pointes ; de bats]
no,ouvrages de boisselier et ouvrages de crin et ouvrages en tamis,ouvrages de boisselier et ouvrages de crin et ouvrages en tamis,Eilsa Tirindelli,,new,,
no,ouvrages de sparterie commune cordage de jonc paille roseaux et écorce de bois,ouvrages de sparterie commune cordage de jonc paille roseaux et écorce de bois,Eilsa Tirindelli,,new,,
no,pointes de corne,pointe de corne,Guillaume Daudin,pointe ; de corne,rewire,,[Pointes de corne]
no,pointes de Hollande,pointe de Hollande,Guillaume Daudin,pointe ; de Hollande,rewire,,[Pointes de Hollande]
no,pointes de Lübeck,pointe de Lübeck,Guillaume Daudin,pointe ; de Lübeck,rewire,,[Pointes de Lübeck]
no,pointes de queues de martre,pointe de queue de martre,Guillaume Daudin,pointe ; de queue ; de martre,rewire,,[Pointes ; de queue de martre]
no,pointes de queues et martre,pointe de queue de martre,Guillaume Daudin,pointe ; de queue ; de martre,rewire,,[Pointes de queue et martre]
no,pointes en métal,pointe en métal,Guillaume Daudin,pointe ; en métal,rewire,,[Pointes en métal]
no,poires,poire,Guillaume Daudin,poire,rewire,,[poires] [Poires]
no,poires du bon chrétien,poire de bon chrétien,Guillaume Daudin,poire de bon chrétien,rewire,,[poires de bons chretiens] [Poire ; de bon chrétien]
no,pois,pois,Federico D'Onofrio,pois,existing,,
no,pois communs,pois commun,Guillaume Daudin,pois ; commun,rewire,,[pois communs]
no,légumes pois chiches,pois d'Espagne,Federico D'Onofrio,,new,,
no,pois d'Espagne ou Garavance,pois d'Espagne,Federico D'Onofrio,,new,,
no,pois en gerbes,pois en gerbe,Federico D'Onofrio,,new,,
no,pois secs,pois secs,Federico D'Onofrio,[pois ; sec],ambiguous,,[Pois; Secs] [Pois Secs] [Pois ; secs] [Pois Sec] [Poids secs] [Poids ; secs] [Poix Sec] [Pois secs]
no,légumes pois verts,pois vert,Federico D'Onofrio,,new,,
no,pois verds,pois vert,Federico D'Onofrio,[pois ; vert],ambiguous,,[Poix ; verds]
no,pois verts,pois vert,Federico D'Onofrio,[pois ; sec] [poil ; vert] [pois ; vert],ambiguous,,[Poils ; verds] [Pois ; verds] [poids ; verds] [Poids Verte] [Pois ; vers] [Pois verds] [Poids ; verds] [Poids verds] [pois verds] [Pois verts] [Poids ; verts] [Pois ; verts] [Poids verts] [Poix vers]
no,poisson,poisson,Guillaume Daudin,poisson,rewire,[Poissons],[Poissons]
no,poisson de toute sorte,poisson,Guillaume Daudin,poisson,rewire,,[Poissons de toute sorte] [Poissons de toutes sortes]
no,poisson divers,poisson,Guillaume Daudin,poisson,rewire,,[Poissons divers] [Poissons; Divers] [Poissons ; divers] [Poisson ; divers]
no,poisson en tonneau,poisson,Guillaume Daudin,poisson,rewire,,[Poissons en tonneau]
no,sorte de poison,poisson,Guillaume Daudin,poisson,rewire,[sorte de poison],[sorte de poison]
no,sorte de poisson,poisson,Guillaume Daudin,poisson,rewire,[Sorte de poisson],[Sorte de poisson]
no,sprats,poisson,Guillaume Daudin,poisson,rewire,[Sprats],[Sprats]
no,narval,poisson ; de mer ; narval,Guillaume Daudin,poisson ; de mer ; narval,existing,,
no,thon,poisson ; de mer ; thon,Guillaume Daudin,poisson ; de mer ; thon,existing,,
no,flétan,poisson ; flétan,Guillaume Daudin,poisson ; flétan,existing,,
no,merlan,poisson ; merlan,Guillaume Daudin,poisson ; merlan,existing,,
no,poisson anchois,poisson anchois,Guillaume Daudin,poisson ; anchois,rewire,,[Poissons ; anchois] [Poissons anchois] [Poissons; Anchoix]
no,poisson d'eau douce,poisson d'eau douce,Guillaume Daudin,poisson ; d'eau douce,rewire,,[Poisson ; D'eau douce] [Poissons D'eau douce] [Poissons ; D'eau douce] [Poisson; d'eau douce] [Poissons ; d'eau douce] [Poisson ; d'eau douce]
no,poisson d'eau cru,poisson d'eau douce frais,Guillaume Daudin,poisson ; d'eau douce ; frais,rewire,,[Poisson ; d'eau crue]
no,poisson en truites,poisson d'eau douce truite,Guillaume Daudin,poisson ; d'eau douce ; truite,rewire,,[Poisson ; en truites]
no,poisson d'Islande,poisson d'Islande,Guillaume Daudin,poisson ; d'Islande,rewire,,[Poissons d'Islande]
no,poisson de mer,poisson de mer,Guillaume Daudin,poisson ; de mer,rewire,,[Poisson; de mer] [Poissons ; de mer] [Poisson ; de mer]
no,poisson de mer divers,poisson de mer divers,Guillaume Daudin,poisson ; de mer ; divers,rewire,,[Poissons de mer; Divers] [Poisson ; de mer ; divers]
no,poisson de mer frais,poisson de mer frais,Guillaume Daudin,poisson ; de mer ; frais,rewire,,[Poissons ; de mer ; frais] [Poissons ; De mer frais]
no,poisson de mer frais divers,poisson de mer frais,Guillaume Daudin,poisson ; de mer ; frais,rewire,,[Poisson ; de mer ; frais ; divers]
no,poisson en harengs frais,poisson de mer frais hareng,Guillaume Daudin,poisson ; de mer ; frais ; hareng,rewire,,[Poisson ; en harengs ; frais]
no,morue têtes,poisson de mer morue tête,Guillaume Daudin,poisson ; de mer ; morue ; tête,rewire,,[Morue ; testes]
no,poisson de mer salé morue verte,poisson de mer morue verte,Guillaume Daudin,poisson ; de mer ; morue ; verte,rewire,,[Poissons ; de mer ; salés ; morue ; verte]
no,poisson de mer salé,poisson de mer salé,Guillaume Daudin,poisson ; de mer ; salé,rewire,,[Poissons ; de mer ; salés] [Poissons de mer; Salé]
no,poisson de mer salé anchois,poisson de mer salé anchois,Guillaume Daudin,poisson ; de mer ; salé ; anchois,rewire,,[Poissons ; de mer ; salés ; anchois]
no,poisson de mer salé divers,poisson de mer salé divers,Guillaume Daudin,poisson ; de mer ; salé ; divers,rewire,,[Poissons ; de mer ; salés ; divers]
no,poisson de mer salé harengs blancs,poisson de mer salé hareng blanc,Guillaume Daudin,poisson ; de mer ; salé ; hareng ; blanc,rewire,,[Poissons ; de mer ; salés ; harengs ; blancs]
no,poisson de mer salé harengs saurs,poisson de mer salé hareng saur,Guillaume Daudin,poisson ; de mer ; salé ; hareng ; saur,rewire,,[Poissons ; de mer ; salés ; harengs ; sors]
no,poisson de mer salé merluche,poisson de mer salé merluche,Guillaume Daudin,poisson ; de mer ; salé ; merluche,rewire,,[Poissons ; de mer ; salés ; merluche]
no,morue sèche,poisson de mer salé morue,Guillaume Daudin,poisson ; de mer ; salé ; morue,rewire,,[Morues ; seche] [Morues ; Seches] [Morues ; seches] [Morüe ; sèche] [Morue ; sèche] [Morue ; Sêche] [Morüe ; Sêche] [Morue ; sêche] [Morües ; seches] [Morüe ; sêche] [Morüe ; seche] [Moruë ; seche] [Morues Séches] [Morues Seches] [Morüe Seche] [morue Seche] [Morue;;Séche] [Morue; seche] [Morue; sêche] [Morue sséche] [Morue; Séche] [Morue; séche] [Morue seiches] [Morue; Seche] [Morue Seche] [Morue séches] [Morue sêche] [morue seiche] [Morue Séche] [morües seches] [Moruë seiche] [Morue sèches] [morue seche] [morüe seche] [Morue seches] [Morues seches] [Moruës seches] [Morues seche] [Moruë seche] [Morue ; seche] [Morüe seche] [Morue seche] [Morue seiche] [Morue séche] [Morue Seiche] [Morues sèche] [Morues seiches] [Morue Sèche] [Moluë ; seiche] [Morue sèche]
no,morue séchée,poisson de mer salé morue,Guillaume Daudin,poisson ; de mer ; salé ; morue,rewire,,[Morues séchées] [Morue séchée] [Morue ; secher] [Morue sechées] [Morue secher] [Morue sécher] [Morue Séché]
no,morue séchée d'Islande,poisson de mer salé morue,Guillaume Daudin,poisson ; de mer ; salé ; morue,rewire,,[Morue séchée d'Islande]
no,morue séchée et salée,poisson de mer salé morue et salée,Guillaume Daudin,poisson ; de mer ; salé ; morue et salée,rewire,,[Morue séchée et salée]
no,poisson de mer salé morue sèche,poisson de mer salé morue sèche,Guillaume Daudin,poisson ; de mer ; salé ; morue ; sèche,rewire,,[Poissons ; de mer ; salés ; morue ; sèche]
no,harengs salés,poisson de mer salé ou mariné hareng,Guillaume Daudin,poisson ; de mer ; salé ou mariné ; hareng,rewire,,[harengs salés] [Harengs salées] [Harengs salés] [Harangs ; salés] [Harangs ; salé] [harang Salés] [Harans ; sales] [Harangs salés] [Harans ; salés] [Hareng salé]
no,poisson maquereaux salés,poisson de mer salé ou mariné maquereau,Guillaume Daudin,poisson ; de mer ; salé ou mariné ; maquereau,rewire,,[Poisson ; maqueraux ; salés]
no,poisson de mer salé rogues de morue,poisson de mer salé rogue de morue,Guillaume Daudin,poisson ; de mer ; salé ; rogue ; de morue,rewire,,[Poissons ; de mer ; salés ; rogues ; de morue]
no,poisson de mer salé sardines,poisson de mer salé sardine,Guillaume Daudin,poisson ; de mer ; salé ; sardine,rewire,,[Poissons ; de mer ; salés ; sardines]
no,poisson de mer salé saumon,poisson de mer salé saumon,Guillaume Daudin,poisson ; de mer ; salé ; saumon,rewire,,[Poissons ; de mer ; salés ; saumons]
no,poisson de mer salé stockfish,poisson de mer salé stockfish,Guillaume Daudin,poisson ; de mer ; salé ; stockfish,rewire,,[Poissons ; de mer ; salés ; stocfiche]
no,poisson de mer salé thon,poisson de mer salé thon,Guillaume Daudin,poisson ; de mer ; salé ; thon,rewire,,[Poissons ; de mer ; salés ; thon]
no,poisson de mer saumon,poisson de mer saumon,Guillaume Daudin,poisson ; de mer ; saumon,rewire,,[Poisson ; de mer ; saumon]
no,poisson de mer sec,poisson de mer sec,Guillaume Daudin,poisson ; de mer ; sec,rewire,,[Poisson ; de mer ; sec]
no,poisson de mer stockfish,poisson de mer stockfish,Guillaume Daudin,poisson ; de mer ; stockfish,rewire,,[Poisson ; de mer ; stocfich] [Poisson ; de mer ; stockfish]
no,thon thonine,poisson de mer thon thonine,Guillaume Daudin,poisson ; de mer ; thon ; thonine,rewire,,[Thon ; thomine] [Thon ; tonine] [Thon ; thonine]
no,sardines salées,poisson de mersalé sardine,Guillaume Daudin,poisson ; de mer; salé ; sardine,rewire,,[Sardines salés] [Sardines ; sallées] [Sardines ; salés] [Sardines ; Salées] [Sardines ; salées] [Sardinnes sallées] [Sardines sallées] [Sardines Salées] [sardines salée] [Sardines salées] [sardines salées]
no,poisson de Norvège,poisson de Norvège,Guillaume Daudin,poisson ; de Norvège,rewire,,[Poissons de Norvège]
no,poisson de rebut,poisson de rebut,Guillaume Daudin,poisson ; de rebut,rewire,,[Poissons de rebut]
no,poisson divers salé,poisson divers salé,Guillaume Daudin,poisson ; divers ; salé,rewire,,[Poissons ; divers ; salés] [Poisson divers salé]
no,dos de poisson,poisson dos,Guillaume Daudin,poisson ; dos,rewire,,[Dos de poisson]
no,poisson en anchois,poisson en anchoi,Guillaume Daudin,poisson ; en anchoi,rewire,,[Poisson ; en anchoix]
no,poisson à la daube,poisson en daube,Guillaume Daudin,poisson ; à la daube,rewire,,[Poisson ; à la daube]
no,poisson en harengs,poisson en hareng,Guillaume Daudin,poisson ; en hareng,rewire,,[Poisson ; en harengs] [Poissons ; en harengs] [Poisson en harengs]
no,poisson harengs,poisson en hareng,Guillaume Daudin,poisson ; en hareng,rewire,,[Poisson ; harengs] [Poissons ; harengs] [Poissons; Harengs]
no,poisson en huîtres,poisson en huître,Guillaume Daudin,poisson ; en huître,rewire,,[Poisson ; en huitres]
no,poisson et produits de poisson,poisson et produit de poisson,Guillaume Daudin,poisson et produit de poisson,rewire,,[Poissons et produits de poisson]
no,filets carrelet,poisson flet et carrelet,Guillaume Daudin,poisson ; flet et carrelet,rewire,,"[Flets, carrelets]"
no,nageoires de flétan salé,poisson flétan salé,Guillaume Daudin,poisson ; flétan ; salé,rewire,,[Nageoires de flétan salés]
no,poisson frais,poisson frais,Guillaume Daudin,poisson ; frais,rewire,,[poissons frais] [Poissons ;frais] [Poisson ;frais] [Poisson ; frais] [Poissons ; frais] [Poissons frais] [poisson frais] [Poisson fraix] [Poisson frais]
no,poisson frais divers,poisson frais,Guillaume Daudin,poisson ; frais,rewire,,[Poisson ; Frais ; Divers] [Poisson ; frais ; divers]
no,poisson frais vendu en mer,poisson frais,Guillaume Daudin,poisson ; frais,rewire,,[Poisson ; Frais ; Vendu en mer]
no,poisson frais en anguilles,poisson frais anguille,Guillaume Daudin,poisson ; frais ; anguille,rewire,,[Poisson ; frais ; en aiguilles]
no,poisson frit,poisson frit,Guillaume Daudin,poisson ; frit,rewire,,[Poissons ; Frits] [Poisson ; fris] [Poisson; frit] [Poissons ; frit] [Poisson ; frit] [Poissons ; frits] [Poisson frits] [poisson frit] [Poisson frit]
no,harengs de la Baltique,poisson hareng,Guillaume Daudin,poisson ; hareng,rewire,,[Harengs de la Baltique]
no,harengs de la Baltique petits,poisson hareng,Guillaume Daudin,poisson ; hareng,rewire,,[Harengs de la Baltique (petits)]
no,poisson harengs blancs,poisson hareng blanc,Guillaume Daudin,poisson ; hareng ; blanc,rewire,,[Poisson ; Harengs ; Blanc] [Poisson harengs blancs]
no,harengs de la pêche nationale,poisson hareng de la pêche nationale,Guillaume Daudin,poisson ; hareng ; de la pêche nationale,rewire,,[harengs de la pêche nationale]
no,harengs frais,poisson hareng frais,Guillaume Daudin,poisson ; hareng ; frais,rewire,,[harengs frais] [Harengs frais] [Harangs ; frais] [Harangs frais]
no,harengs fumés,poisson hareng fumé,Guillaume Daudin,poisson ; hareng ; fumé,rewire,,[Harengs fumés] [Harangs ; fumés] [Harans fumes]
no,harengs séchés,poisson hareng sec,Guillaume Daudin,poisson ; hareng ; sec,rewire,,[Harengs séchés]
no,harengs secs,poisson hareng sec,Guillaume Daudin,poisson ; hareng ; sec,rewire,,[Harangs ; secs] [Harengs ; secs]
no,poisson huîtres,poisson huître,Guillaume Daudin,poisson ; huître,rewire,,[Poissons huîtres]
no,poisson maquereaux,poisson maquereau,Guillaume Daudin,poisson ; maquereau,rewire,,[Poisson ; macquereaux] [Poissons ; maquereaux] [Poisson ; Maquereaux]
no,poisson mariné,poisson mariné,Guillaume Daudin,poisson ; mariné,rewire,,[Poissons ; marinés] [Poisson ; marine] [Poissons ; mariné] [Poisson ; mariné] [Poisson mariné]
no,poisson morue,poisson morue,Guillaume Daudin,poisson ; morue,rewire,,[Poissons morue] [Poisson ; morue] [Poissons ; morue] [Poissons; Morue] [Poisson morue]
no,œufs de poisson,poisson œuf,Guillaume Daudin,poisson ; œuf,rewire,,[Œufs de poisson]
no,poisson œufs de thon,poisson œuf de thon,Guillaume Daudin,poisson ; œuf de thon,rewire,,[Poisson ; Œufs de thon]
no,poisson rogues,poisson rogue,Guillaume Daudin,poisson ; rogue,rewire,,[Poissons ; rogues]
no,poisson rogues de macy,poisson rogue de Macy,Guillaume Daudin,poisson ; rogue ; de Macy,rewire,,[Poisson ; Rogues ; de Macy]
no,poisson salé anchois,poisson salé anchois,Guillaume Daudin,poisson ; salé ; anchois,rewire,,[Poisson ; salé ; anchoix]
no,poisson salé maquereaux,poisson salé maquereau,Guillaume Daudin,poisson ; salé ; maquereau,rewire,,[Poisson ; salé ; maquereaux] [Poisson ; salé ; maqueraux]
no,poisson salé mariné anchois,poisson salé mariné anchois,Guillaume Daudin,poisson ; salé ; mariné ; anchois,rewire,,[Poissons ; salés ; marinés ; anchois] [Poisson ; salé ; mariné ; anchois] [Poisson salé mariné anchois]
no,poisson salé mariné harengs blancs,poisson salé mariné hareng blanc,Guillaume Daudin,poisson ; salé ; mariné ; hareng ; blanc,rewire,,[Poisson ; salé ; mariné ; harengs ; blanc]
no,poisson salé mariné morue,poisson salé mariné morue,Guillaume Daudin,poisson ; salé ; mariné ; morue,rewire,,[Poisson ; salé ; mariné ; morue]
no,poisson salé mariné saumon,poisson salé mariné saumon,Guillaume Daudin,poisson ; salé ; mariné ; saumon,rewire,,[Poisson ; salé ; mariné ; saumont]
no,poisson salé morue,poisson salé morue,Guillaume Daudin,poisson ; salé ; morue,rewire,,[Poissons ; salés ; morue] [Poisson ; salé ; morue] [Poissons salés ; morues]
no,poisson salé morue verte,poisson salé morue verte,Guillaume Daudin,poisson ; salé ; morue ; verte,rewire,,[Poisson ; salé ; morue ; verte]
no,poisson harengs saurs,poisson salé ou mariné hareng,Guillaume Daudin,poisson ; salé ou mariné ; hareng,rewire,,[Poisson ; harengs saurs] [Poisson ; Harengs ; Saurs] [Poissons; Harengs saurs]
no,poisson salé sardines,poisson salé sardine,Guillaume Daudin,poisson ; salé ; sardine,rewire,,[Poisson ; salé ; sardines] [Poisson salé sardines] [Poissons salé ; sardines]
no,poisson sardine,poisson sardine,Guillaume Daudin,poisson ; sardine,rewire,,[Poissons sardines]
no,poisson sardines,poisson sardine,Guillaume Daudin,poisson ; sardine,rewire,,"[Poissons, sardines] [Poisson ; Sardine] [Poissons ; sardines] [Poisson ; sardines] [Poisson (sardines)]"
no,poisson saumon,poisson saumon,Guillaume Daudin,poisson ; saumon,rewire,,[Poissons; Saumon] [Poissons ; saumon] [Poisson ; saumon]
no,poisson salé en saumon,poisson saumon salé,Guillaume Daudin,poisson ; saumon ; salé,rewire,,[Poisson ; salé ; en saumon]
no,poisson saumon salé,poisson saumon salé,Guillaume Daudin,poisson ; saumon ; salé,rewire,,[Poisson ; saumon ; salé] [Poissons; Saumon salé] [Poisson saumon salé]
no,poisson sec,poisson sec,Guillaume Daudin,poisson ; sec,rewire,,[Poisson; sec] [Poissons ; secs] [Poisson sec] [Poisson ; sec]
no,soles,poisson sole,Guillaume Daudin,poisson ; sole,rewire,,[Soles]
no,poisson stockfish,poisson stockfish,Guillaume Daudin,poisson ; stockfish,rewire,,[Poisson ; stocfish] [Poissons ; stockfiche] [Poisson ; Stockfich] [Poissons; Stocfish] [Poissons ; stocfich] [Poisson ; stocfich] [Poisson stocfich]
no,poisson thon mariné,poisson thon mariné,Guillaume Daudin,poisson ; thon ; mariné,rewire,,[Poissons thon mariné] [Poissons; Thon mariné] [Poisson thon mariné]
no,poivre blanc-noir,poivre blanc-noir,Guillaume Daudin,poivre ; blanc-noir,rewire,,[Poivre ; blanc-noir]
no,poivre commun,poivre commun,Guillaume Daudin,poivre ; commun,rewire,,[Poivre ; commun] [Poivre; commun]
no,poivre doux,poivre doux,Guillaume Daudin,poivre ; doux,rewire,,[Poivre doux]
no,poivre en grains,poivre en grain,Guillaume Daudin,poivre ; en grain,rewire,,[Poivre en grain]
no,poivre ordinaire,poivre ordinaire,Guillaume Daudin,poivre ; ordinaire,rewire,,[Poivre ; ordianire] [Poivre ordinaire] [Poivre ; ordinaire]
no,ouvrages de vannerie de bois et d'osier,"ouvrages de vannerie, bois et osier",Guillaume Daudin,"ouvrage ; de vannerie, bois et osier",rewire,,"[Ouvrages de vannerie, de bois et d'osier]"
no,ouvrages en nattes de bois,ouvrages en natte de bois,Guillaume Daudin,ouvrage ; en natte ; de bois,rewire,,[Ouvrages ; en nattes ; de bois]
no,poix,poix,Guillaume Daudin,poix,rewire,[Poix] [poix],[Poix] [poix]
no,poix blanche,poix blanche,Guillaume Daudin,poix ; blanche,rewire,,[Poix ; blanche]
no,pois fin,poix fin,Guillaume Daudin,poix ; fin,rewire,,[Poix fin]
no,poix grosse,poix gros,Guillaume Daudin,poix ; gros,rewire,,[Poix grosse]
no,poix molle,poix molle,Guillaume Daudin,poix ; molle,rewire,,[Poix molle]
no,polimi,polimi,Guillaume Daudin,[polemits],ambiguous,[Polimi],[Potimy] [Poliny] [Polemits] [Polimy] [Polimi]
no,polipode,polipode,Guillaume Daudin,,new,,
no,polonaises,polonaises,Guillaume Daudin,,new,,
no,pommade,pommade,Guillaume Daudin,pommade,existing,,
no,pommade de senteur,pommade de senteur,Guillaume Daudin,pommade ; de senteur,rewire,,[Pommades de senteur] [Pomade de senteur] [Pomades de senteur] [pomade de senteur] [Pommade de senteur] [Pommade de Senteur] [Pommades de Senteur]
no,pommade senteur,pommade de senteur,Guillaume Daudin,pommade ; de senteur,rewire,,[Pommade Senteur]
no,pommes,pomme,Guillaume Daudin,pomme,rewire,,[Pomes] [Pomme] [pomme] [pommes] [Pommes]
no,pommes de Gaule,pomme,Guillaume Daudin,pomme,rewire,,[Pommes de Gaule]
no,pommes de cannes,pomme de canne,Guillaume Daudin,pomme ; de canne,rewire,,[Pommes ; de canne]
no,pommes de grenade,pomme de grenade,Guillaume Daudin,pomme ; de grenade,rewire,,[pommes de grenades]
no,pommes de terre,pomme de terre,Guillaume Daudin,pomme ; de terre,rewire,,[pommes de terre] [Pommes ; de terre] [pommes de Terre] [Pomes de terre] [Pommes de terre]
no,pompes à feu,pompe à feu,Guillaume Daudin,pompe ; à feu,rewire,,[Pompe à feu] [Pompes à feu]
no,pompes à Hollande,pompe à hollande,Guillaume Daudin,pompe ; à hollande,rewire,,[Pompes ; à hollande]
no,papier et bois d'éventail,papier et bois d'éventail,Eilsa Tirindelli,,new,,
no,pompes en cuivre,pompe en cuivre,Guillaume Daudin,pompe ; en cuivre,rewire,,[Pompes en cuivre]
no,pompes pour pompiers,pompe pour pompier,Guillaume Daudin,pompe ; pour pompier,rewire,,[pompes pour pompiers]
no,pompes,pompes,Guillaume Daudin,[pompe],ambiguous,,[pompes] [Pompes] [Pompal]
no,pompons,pompons,Guillaume Daudin,,new,,
no,poncire,poncire,Guillaume Daudin,poncire,existing,,
no,populeum,populeum,Guillaume Daudin,populeum,existing,,
no,porcs,porc,Guillaume Daudin,porc,rewire,,[porcs] [Porc] [Porcs]
no,porcs en vie,porc,Guillaume Daudin,porc,rewire,,[Porcs ; en viz] [Porc ; en vie] [Porcs ; en vie]
no,porcs frais,porc frais,Guillaume Daudin,porc ; frais,rewire,,[Porcs ; frais] [Porc ; frais]
no,porcs gras,porc gras,Guillaume Daudin,porc ; gras,rewire,,[Porcs; gras] [Porc gras] [porcs ; gras] [Porcs gras] [Porcs ; gras]
no,porcs maigres,porc maigre,Guillaume Daudin,porc ; maigre,rewire,,[Porcs ; maigres]
no,porcs maigres salés,porc maigre salé,Guillaume Daudin,porc ; maigre ; salé,rewire,,[Porcs ; maigres ; salés]
no,porcelets,porc porcelet,Guillaume Daudin,porc ; porcelet,rewire,,[porcelets] [Porcelet] [Porcelets]
no,porcs porcelets,porc porcelet,Guillaume Daudin,porc ; porcelet,rewire,,[Porcs; porcelets] [Porcs ; porcelets]
no,pourceaux,porc porcelet,Guillaume Daudin,porc ; porcelet,rewire,,[Porcaux]
no,porcs salés,porc salé,Guillaume Daudin,porc ; salé,rewire,,[Porc ; sallé] [Porcs ; salés] [Porcs salés] [Porcs ; salé] [Porc Salé] [Porcs salé] [Porc; Salé] [Porc ; salé] [Porc sallé] [Porc salé]
no,porcs tués,porc tué,Guillaume Daudin,porc ; tué,rewire,,[Porcs ; tués]
no,porcelaine,porcelaine,Guillaume Daudin,[porcelaine],ambiguous,[Porcelaines] [Porcelaire] [porcelaine] [Porcelaine],[Porcelaines] [Porcelaire] [Porcellaine] [porcelaine] [Porcelaine]
no,porcelaine commune,porcelaine commune,Guillaume Daudin,porcelaine ; commune,rewire,,[porcelaine commune] [Porcelaine commune]
no,porcelaine contrefaite,porcelaine contrefaite,Guillaume Daudin,porcelaine ; contrefaite,rewire,,[Porcelaine ; contrefaitte] [Porcelaine ; contrefaite]
no,porcelaine de Saxe,porcelaine de Saxe,Guillaume Daudin,porcelaine ; de Saxe,rewire,,[Porcelaine; de Saxe] [Porcelaine ; de Saxe] [Porcelaine ; de faxe] [Porcelaine ; de saxe]
no,porcelaine de Tournai,porcelaine de Tournai,Guillaume Daudin,porcelaine ; de Tournai,rewire,,[porcelaine de Tournay] [porcelaine de Tournai]
no,porcelaine ordinaire,porcelaine ordinaire,Guillaume Daudin,porcelaine ; ordinaire,rewire,,[Porcelaine ordinaire] [Porcelaine; ordinaire] [Porcelaine ; ordinaire]
no,bestiaux en porcelets,porcelets,Guillaume Daudin,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; en porcelets]
no,bestiaux porcelets,porcelets,Guillaume Daudin,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; Porcelets] [Bestiaux ; porcelets]
no,bestiaux divers porcs,porcs,Guillaume Daudin,,new,,
no,bestiaux en porcs,porcs,Guillaume Daudin,[bestiau ; porc],ambiguous,,[Bestiaux ; en porc]
no,bestiaux et bêtes de somme porcs,porcs,Guillaume Daudin,,new,,
no,bestiaux porcs,porcs,Guillaume Daudin,,new,,
no,bestiaux divers porcs de lait,porcs de lait,Guillaume Daudin,,new,,
no,bestiaux divers porcs et porcelets,porcs et porcelets,Guillaume Daudin,,new,,
no,bestiaux en porcs et porcelets,porcs et porcelets,Guillaume Daudin,,new,,
no,bestiaux en porcs gras,porcs gras,Guillaume Daudin,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; en porcs ; gras]
no,bestiaux porcs gras,porcs gras,Guillaume Daudin,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; Porcs gras] [Bestiaux ; porcs ; gras]
no,bestiaux en porcs maigres,porcs maigres,Guillaume Daudin,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; en porcs ; maigres]
no,portants,portant,Guillaume Daudin,portant,rewire,,[Portants]
no,ouvrages en porte de verre,porte de verre,Guillaume Daudin,porte ; de verre,rewire,,[Ouvrages ; en portes ; de verre]
no,portemanteaux,porte manteau,Guillaume Daudin,porte manteau,rewire,,[Portmanteaux] [Portes manteaux]
