numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,value,quantit,total,quantity_unit,prix_unitaire
302,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,59,Eponges ; fines,50520,2526,50520,Kilo,20
303,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,147,Feuilles ; d'Oranger,197,197,197,Kilo,1
304,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,147,Feuilles ; de Séné,78295,22370,78295,Kilo,3.5
305,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,149,Feuilles non dénommées,19273,19273,19273,Kilo,1
306,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,149,Fleurs de Lavande et d'Oranger,187832,93916,187832,Kilo,2
307,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,151,Fleurs non dénommées,35782,35782,35782,Kilo,1
308,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,155,Fruits ; Autres,103331,103331,103331,Kilo,1
309,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,4932,2466,4932,Kilo,2
310,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,153,Fruits ; Barbotine,413,1376,413,Kilo,0.3
311,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,151,Fruits ; Casse sans apprêt,134675,89783,134675,Kilo,1.5
312,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,155,Fruits ; Follicules de séné,10195,3641,10195,Kilo,2.8
313,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,153,Fruits ; Graine de moutarde,15493,30986,15493,Kilo,0.5
314,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,153,Fruits ; Tamarins en gousses,581,1292,581,Kilo,0.45
315,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,147,Herbes,2738,5475,2738,Kilo,0.5
316,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,137,Ipécacuana,9256,712,9256,Kilo,13
317,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,129,Jus de réglisse,311944,311944,311944,Kilo,1
318,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,155,Lichens médicinaux,1039,3462,1039,Kilo,0.3
319,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,127,Manne,50135,27853,50135,Kilo,1.8
320,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,315,Médicaments composés ; Autres,1903620,190362,1903620,Kilo,10
321,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,315,Médicaments composés ; Eaux distillées,577275,115455,577275,Kilo,5
322,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,125,Opium,664352,20761,664352,Kilo,32
323,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,141,Racines ; Iris de Florence,9461,5256,9461,Kilo,1.8
324,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,139,Racines ; Jalap,136563,42676,136563,Kilo,3.2
325,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,139,Racines ; Rhubarbe,42310,8462,42310,Kilo,5
326,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,141,Racines ; Réglisse,143170,318155,143170,Kilo,0.45
327,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,143,Racines non dénommées,507558,169186,507558,Kilo,3
328,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,121,Résineux exotiques ; Scammonée,88080,2202,88080,Kilo,40
329,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,137,Salsepareille,132717,44239,132717,Kilo,3
330,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,57,Sangsues,26059,868650,26059,pièce,0.03
331,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,271,Sels ammoniacaux,21091,5216,21091,Kilo,4.0435199387
332,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,275,"Sels, sulfates ; de magnésie",8444,9596,8444,Kilo,0.88
333,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,273,"Sels, sulfates ; de soude",276846,922820,276846,Kilo,0.3
334,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,117,Térébenthine ; compacte,30550,152751,30550,Kilo,0.2
335,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,119,Térébenthine ; essence,829003,1184290,829003,Kilo,0.7
336,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,119,Térébenthine ; liquide,475,3168,475,Kilo,0.15
337,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,285,Acétates ; de plomb,24089,14170,24089,Kilo,1.7
338,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,125,Aloès,10303,4683,10303,Kilo,2.2
339,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,121,Baume ; Benjoin,20562,6854,20562,Kilo,3
340,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,123,Baume ; Copahu,5542,2771,5542,Kilo,2
341,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,123,Baume ; Storax liquide,2496,1607,2496,Kilo,1.55
342,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,125,Camphre ; raffiné,50099,5894,50099,Kilo,8.5
343,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,57,Cantharides,27740,2774,27740,Kilo,10
344,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,59,Cornes de cerf et de snack ; en morceaux,775,1107,775,Kilo,0.7
345,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,59,Cornes de cerf et de snack ; en râpures,1398,1998,1398,Kilo,0.7
346,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,145,Ecorces ; autres,3426,4283,3426,Kilo,0.8
347,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,145,Ecorces ; de Quinquina,764952,95619,764952,Kilo,8
348,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",20303,40606,20303,Kilo,0.5
349,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,59,Eponges ; communes,52098,8683,52098,Kilo,6
350,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,59,Eponges ; fines,90740,4537,90740,Kilo,20
351,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,147,Feuilles ; d'Oranger,1284,1284,1284,Kilo,1
352,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,147,Feuilles ; de Séné,98490,28140,98490,Kilo,3.5
353,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,149,Feuilles non dénommées,16749,16749,16749,Kilo,1
354,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,149,Fleurs de Lavande et d'Oranger,209756,104878,209756,Kilo,2
355,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,151,Fleurs non dénommées,25721,25721,25721,Kilo,1
356,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,155,Fruits ; Autres,60493,60493,60493,Kilo,1
357,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,2172,1086,2172,Kilo,2
358,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,153,Fruits ; Barbotine,670,2234,670,Kilo,0.3
359,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,151,Fruits ; Casse sans apprêt,97400,64933,97400,Kilo,1.5
360,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,155,Fruits ; Follicules de séné,15349,5482,15349,Kilo,2.8
361,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,153,Fruits ; Graine de moutarde,22276,44552,22276,Kilo,0.5
362,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,153,Fruits ; Tamarins en gousses,1523,3385,1523,Kilo,0.45
363,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,147,Herbes,1645,3290,1645,Kilo,0.5
364,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,137,Ipécacuana,20189,1553,20189,Kilo,13
365,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,129,Jus de réglisse,136679,136679,136679,Kilo,1
366,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,155,Lichens médicinaux,820,2732,820,Kilo,0.3
367,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,127,Manne,34983,19435,34983,Kilo,1.8
368,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,315,Médicaments composés ; Autres,1737150,173715,1737150,Kilo,10
369,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,315,Médicaments composés ; Eaux distillées,553194,110639,553194,Kilo,5
370,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,125,Opium,253976,7843,253976,Kilo,32.38
371,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,141,Racines ; Iris de Florence,14647,8137,14647,Kilo,1.8
372,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,139,Racines ; Jalap,106218,33193,106218,Kilo,3.2
373,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,139,Racines ; Rhubarbe,48055,9611,48055,Kilo,5
374,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,141,Racines ; Réglisse,110063,244585,110063,Kilo,0.45
375,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,143,Racines non dénommées,528537,176179,528537,Kilo,3
376,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,121,Résineux exotiques ; Scammonée,146760,3669,146760,Kilo,40
377,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,137,Salsepareille,83625,27875,83625,Kilo,3
378,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,57,Sangsues,26373,879100,26373,pièce,0.03
379,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,271,Sels ammoniacaux,19268,5025,19268,Kilo,3.8344278607
380,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,275,"Sels, sulfates ; de magnésie",11964,13595,11964,Kilo,0.88
381,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,273,"Sels, sulfates ; de soude",302880,1009601,302880,Kilo,0.3
382,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,117,Térébenthine ; compacte,29057,145284,29057,Kilo,0.2
383,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,119,Térébenthine ; essence,825888,1179840,825888,Kilo,0.7
384,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1834,Exports,119,Térébenthine ; liquide,953,6352,953,Kilo,0.15
385,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,285,Acétates ; de plomb,36837,21669,36837,Kilo,1.7
386,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,125,Aloès,4173,1897,4173,Kilo,2.2
387,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,121,Baume ; Benjoin,20052,6684,20052,Kilo,3
388,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,123,Baume ; Copahu,2940,1470,2940,Kilo,2
389,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,123,Baume ; Storax liquide,2893,1887,2893,Kilo,1.53
390,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,125,Camphre ; raffiné,20655,2430,20655,Kilo,8.5
391,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,57,Cantharides,20150,2015,20150,Kilo,10
392,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,59,Cornes de cerf et de snack ; en morceaux,860,1228,860,Kilo,0.7
393,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,59,Cornes de cerf et de snack ; en râpures,1320,1886,1320,Kilo,0.7
394,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,145,Ecorces ; autres,5056,6320,5056,Kilo,0.8
395,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,145,Ecorces ; de Quinquina,426792,53349,426792,Kilo,8
396,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",11819,23638,11819,Kilo,0.5
397,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,59,Eponges ; communes,35562,5927,35562,Kilo,6
398,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,59,Eponges ; fines,39360,1968,39360,Kilo,20
399,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,147,Feuilles ; d'Oranger,413,413,413,Kilo,1
400,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,147,Feuilles ; de Séné,45573,13021,45573,Kilo,3.5
401,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,149,Feuilles non dénommées,15801,15801,15801,Kilo,1
402,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,149,Fleurs de Lavande et d'Oranger,137922,68961,137922,Kilo,2
403,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,151,Fleurs non dénommées,23449,23449,23449,Kilo,1
404,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,155,Fruits ; Autres,63518,63518,63518,Kilo,1
405,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,6468,3234,6468,Kilo,2
406,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,153,Fruits ; Barbotine,399,1330,399,Kilo,0.3
407,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,151,Fruits ; Casse sans apprêt,110130,73420,110130,Kilo,1.5
408,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,155,Fruits ; Follicules de séné,4936,1763,4936,Kilo,2.8
409,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,153,Fruits ; Graine de moutarde,13977,27954,13977,Kilo,0.5
410,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,153,Fruits ; Tamarins en gousses,3748,8330,3748,Kilo,0.45
411,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,147,Herbes,1241,2483,1241,Kilo,0.5
412,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,137,Ipécacuana,18902,1454,18902,Kilo,13
413,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,129,Jus de réglisse,123398,123398,123398,Kilo,1
414,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,155,Lichens médicinaux,594,1981,594,Kilo,0.3
415,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,127,Manne,30972,17207,30972,Kilo,1.8
416,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,315,Médicaments composés ; Autres,1925590,192559,1925590,Kilo,10
417,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,315,Médicaments composés ; Eaux distillées,300735,60147,300735,Kilo,5
418,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,125,Opium,322560,10080,322560,Kilo,32
419,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,141,Racines ; Iris de Florence,5445,3025,5445,Kilo,1.8
420,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,139,Racines ; Jalap,108611,33941,108611,Kilo,3.2
421,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,139,Racines ; Rhubarbe,30620,6124,30620,Kilo,5
422,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,141,Racines ; Réglisse,72666,161481,72666,Kilo,0.45
423,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,143,Racines non dénommées,282741,94247,282741,Kilo,3
424,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,121,Résineux exotiques ; Scammonée,11280,282,11280,Kilo,40
425,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,137,Salsepareille,102543,34181,102543,Kilo,3
426,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,57,Sangsues,37096,1236630,37096,pièce,0.03
427,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,271,Sels ammoniacaux,11503,3595,11503,Kilo,3.1997218359
428,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,275,"Sels, sulfates ; de magnésie",8285,9416,8285,Kilo,0.88
429,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,273,"Sels, sulfates ; de soude",400096,1333651,400096,Kilo,0.3
430,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,117,Térébenthine ; compacte,37162,185809,37162,Kilo,0.2
431,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,119,Térébenthine ; essence,994931,1421330,994931,Kilo,0.7
432,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1835,Exports,119,Térébenthine ; liquide,842,5610,842,Kilo,0.15
433,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,285,Acétates ; de plomb,56904,33473,56904,Kilo,1.7
434,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,125,Aloès,16030,7287,16030,Kilo,2.2
435,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,121,Baume ; Benjoin,30801,10267,30801,Kilo,3
436,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,123,Baume ; Copahu,4608,2304,4608,Kilo,2
437,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,123,Baume ; Storax liquide,1534,1004,1534,Kilo,1.53
438,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,125,Camphre ; raffiné,16065,1890,16065,Kilo,8.5
439,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,57,Cantharides,77290,7729,77290,Kilo,10
440,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,59,Cornes de cerf et de snack ; en morceaux,1067,1525,1067,Kilo,0.7
441,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,59,Cornes de cerf et de snack ; en râpures,2580,3685,2580,Kilo,0.7
442,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,145,Ecorces ; autres,3762,4703,3762,Kilo,0.8
443,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,145,Ecorces ; de Quinquina,701904,87738,701904,Kilo,8
444,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",6612,13224,6612,Kilo,0.5
445,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,59,Eponges ; communes,56166,9361,56166,Kilo,6
446,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,59,Eponges ; fines,31460,1573,31460,Kilo,20
447,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,147,Feuilles ; d'Oranger,282,282,282,Kilo,1
448,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,147,Feuilles ; de Séné,48489,13854,48489,Kilo,3.5
449,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,149,Feuilles non dénommées,10838,10838,10838,Kilo,1
450,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,149,Fleurs de Lavande et d'Oranger,109448,54724,109448,Kilo,2
451,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,151,Fleurs non dénommées,18758,18758,18758,Kilo,1
452,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1836,Exports,155,Fruits ; Autres,50674,50674,50674,Kilo,1
